,https://roic.ai/company/SYPR,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,31200000,28300000,17000000,10400000,41000000,37379000,39806000,30517000,30565000,31071000,39541000,39166000,41225000,40619000,45860000,31107000,30984000,28814000,34702000,33541000,36110000,28624000,22338000,13166000,10474000,13680000,11351000,12596000
11,COGS and Expenses,263700000,291900000,229700000,118800000,198800000,187964000,208149000,241610000,254521000,261664000,412788000,510594000,497799000,436738000,425009000,280989000,271771000,329210000,332557000,314202000,352056000,173629000,113386000,92478000,90871000,91688000,82132000,95524000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2000000,2900000,2900000,- -,1300000,- -,4035000,4111000,2742000,1693000,2100000,5979000,3708000,3685000,4235000,4289000,2379000,1732000,437000,522000,617000,4223000,4882000,809000,850000,903000,838000,868000
14,Depreciation and Amortization,5400000,5600000,5200000,3800000,6900000,7582000,9351000,9856000,11386000,12831000,19066000,25909000,28782000,29386000,25381000,15190000,14724000,14216000,12251000,12401000,10409000,9035000,6288000,3884000,2648000,2671000,2503000,- -
15,EBITDA,15400000,-13100000,300000,800000,19900000,20237000,15172000,23244000,30501000,27542000,31818000,39456000,29034000,28532000,-102426000,19009000,7903000,26476000,17983000,2943000,14411000,-11966000,17514000,-6747000,-212000,-379000,2049000,4864000
16,EBITDA ratio,0.0562,-0.0479,0.0013,0.0071,0.0940,0.1001,0.0701,0.0913,0.1115,0.0996,0.0748,0.0755,0.0583,0.0655,-0.2490,0.0715,0.0296,0.0789,0.0526,0.0095,0.0406,-0.0823,0.1908,-0.0820,-0.0024,-0.0043,0.0249,0.0499
17,Operating Income,10400000,-18300000,-5000000,-5400000,12800000,14166000,8422000,13030000,18956000,14941000,12614000,12222000,-135000,-823000,-59217000,-22785000,-7413000,6184000,9047000,-10388000,2720000,-29644000,-22758000,-12544000,-4296000,-4306000,90000,1910000
18,Operating Income ratio,0.0379,-0.0669,-0.0223,-0.0476,0.0605,0.0701,0.0389,0.0512,0.0693,0.0540,0.0297,0.0234,-0.0003,-0.0019,-0.1440,-0.0857,-0.0278,0.0184,0.0265,-0.0334,0.0077,-0.2040,-0.2479,-0.1524,-0.0488,-0.0490,0.0011,0.0196
19,Total Other Income Expenses (Gains),-2400000,-3300000,-2800000,2400000,-1100000,-1511000,-6636000,-3753000,-2583000,-1923000,-1962000,-4654000,-3321000,-3716000,-72825000,14317000,-1291000,4872000,3468000,408000,665000,4420000,29102000,1104000,586000,353000,-1382000,2086000
20,Income Before Tax,8000000,-21600000,-7800000,-3000000,11700000,12655000,1786000,9277000,16373000,13018000,10652000,7568000,-3456000,-4539000,-132042000,-8468000,-8704000,11056000,12515000,-9980000,3385000,-25224000,6344000,-11440000,-3710000,-3953000,-1292000,3996000
21,Income Before Tax Ratio,0.0292,-0.0789,-0.0347,-0.0265,0.0553,0.0626,0.0082,0.0364,0.0599,0.0471,0.0250,0.0145,-0.0069,-0.0104,-0.3210,-0.0318,-0.0326,0.0329,0.0366,-0.0321,0.0095,-0.1736,0.0691,-0.1390,-0.0422,-0.0450,-0.0157,0.0410
22,Income Tax expense (Gain),3300000,-3900000,800000,200000,4300000,3099000,-1398000,2910000,4934000,4883000,3245000,2247000,-2094000,-2400000,-1486000,-3160000,1004000,2621000,2248000,-93000,4569000,1992000,301000,-618000,-205000,-4000,-2960000,1073000
23,Net Income,4700000,-17700000,-8600000,-3200000,7400000,9556000,3184000,6367000,11439000,8135000,7407000,5321000,-1362000,-2139000,-130556000,2690000,-10204000,7907000,3047000,-9887000,-1184000,-27216000,6043000,-10822000,-3505000,-3949000,1668000,2923000
24,Net Income ratio,0.0171,-0.0647,-0.0383,-0.0282,0.0350,0.0473,0.0147,0.0250,0.0418,0.0294,0.0174,0.0102,-0.0027,-0.0049,-0.3174,0.0101,-0.0383,0.0236,0.0089,-0.0318,-0.0033,-0.1873,0.0658,-0.1315,-0.0398,-0.0449,0.0203,0.0300
25,EPS,1.24,-4.52,-2.12,-0.80,0.79,1.00,0.33,0.65,0.87,0.57,0.43,0.30,-0.08,-0.12,-7.11,0.14,-0.55,0.40,0.13,-0.51,-0.06,-1.38,0.30,-0.53,-0.17,-0.19,0.08,0.14
26,EPS Diluted,1.20,-4.52,-2.12,-0.80,0.76,0.97,0.32,0.63,0.84,0.56,0.42,0.29,-0.08,-0.12,-7.11,0.14,-0.55,0.40,0.13,-0.51,-0.06,-1.38,0.30,-0.53,-0.17,-0.19,0.08,0.13
27,Weighted Average Shares Outstanding,3790323,3915929,4039250,4056000,9438000,9515000,9671000,9828000,13117000,14237000,17119000,18016000,18079000,18231000,18365000,18473000,18605000,18823000,19050000,19345000,19586000,19688000,19861000,20326000,20512000,20865000,21084000,21585000
28,Weighted Average Shares Outstanding Diluted,3916667,3915929,4039250,4056000,9793000,9861000,9964000,10028000,13664000,14653000,17745000,18323000,18079000,18231000,18365000,18514000,18605000,19008000,19415000,19345000,19586000,19688000,19861000,20326000,20512000,20865000,21086000,23001000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/864240/000119312504021254/0001193125-04-021254-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000119312505047812/0001193125-05-047812-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000119312506054553/0001193125-06-054553-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000119312507054315/0001193125-07-054315-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000119312508051536/0001193125-08-051536-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000119312509069331/0001193125-09-069331-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000119312510064553/0001193125-10-064553-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000119312511067221/0001193125-11-067221-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000119312512111947/0001193125-12-111947-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000119312513102967/0001193125-13-102967-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000143774914003830/0001437749-14-003830-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000143774915006400/0001437749-15-006400-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000143774916028628/0001437749-16-028628-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000143774917005382/0001437749-17-005382-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000143774918005023/0001437749-18-005023-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000143774919005857/0001437749-19-005857-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000143774920005641/0001437749-20-005641-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000143774921006412/0001437749-21-006412-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000143774922006515/0001437749-22-006515-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,700000,3100000,12400000,10406000,14674000,13232000,12403000,12019000,14060000,12060000,32400000,14622000,13717000,15608000,16592000,18173000,18664000,18674000,7003000,1349000,15270000,8144000,10704000,5095000,11606000,11620000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,700000,3100000,12400000,10406000,14674000,13232000,12403000,12019000,14060000,12060000,32400000,14622000,13717000,15608000,16592000,18173000,18664000,18674000,7003000,1349000,15270000,8144000,10704000,5095000,11606000,11620000
34,Net Receivables,- -,- -,22800000,11200000,26300000,23793000,31896000,39758000,37951000,45484000,104637000,95432000,59876000,59067000,44695000,38317000,41434000,42984000,38530000,38533000,47666000,12394000,8010000,9317000,10720000,8350000,7234000,8467000
35,Inventory,- -,- -,20200000,21900000,38500000,49462000,51055000,60574000,64443000,61932000,94252000,79724000,74146000,71789000,48394000,29042000,30264000,33621000,33958000,34422000,29031000,20192000,14558000,17641000,18584000,20784000,16236000,30100000
36,Other Current Assets,- -,- -,2000000,2900000,1700000,4279000,7695000,7991000,9187000,11370000,21566000,26020000,35016000,108015000,12473000,6480000,8717000,5207000,4946000,5403000,5666000,7689000,5062000,4901000,5390000,5609000,4360000,5868000
37,Total Current Assets,- -,- -,45700000,39100000,78900000,87940000,105320000,121555000,123984000,130805000,234515000,213236000,201438000,253493000,119279000,89447000,97007000,99985000,96098000,97032000,89366000,41624000,42900000,40003000,45398000,39838000,39436000,56055000
38,PP&E,- -,- -,21200000,8300000,27500000,40192000,54317000,70452000,75305000,106683000,166940000,176719000,155341000,137104000,105219000,80280000,68590000,56891000,53050000,44683000,37654000,22178000,17943000,15574000,14655000,18689000,16264000,19280000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,14277000,- -,- -,- -,14277000,14277000,13837000,6900000,6900000,6900000,6900000,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,12100000,18038000,17154000,15926000,- -,14277000,14277000,14277000,2526000,- -,- -,- -,- -,- -,30000,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,12100000,18038000,17154000,15926000,14277000,14277000,14277000,14277000,16803000,14277000,13837000,6900000,6900000,6900000,6930000,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2769000,- -,- -,1749000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3277000,2401000,1575000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,600000,- -,2600000,2394000,2331000,3511000,10039000,11730000,13222000,13392000,5451000,17186000,12101000,13320000,7195000,10200000,1613000,2167000,1086000,4310000,1794000,1578000,1515000,1529000,5008000,4170000
45,Total Non-Current Assets,- -,- -,21800000,8300000,42200000,60624000,73802000,89889000,99621000,132690000,194439000,204388000,177595000,168567000,133926000,100500000,82685000,75740000,64870000,49251000,40315000,26488000,19737000,17152000,16170000,20218000,21272000,23450000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,67500000,47400000,121100000,148564000,179122000,211444000,223605000,263495000,428954000,417624000,379033000,422060000,253205000,189947000,179692000,175725000,160968000,146283000,129681000,68112000,62637000,57155000,61568000,60056000,60708000,79505000
48,Accounts Payable,- -,- -,18000000,8500000,13000000,11022000,25670000,26828000,23356000,29598000,61778000,76567000,76291000,54119000,44645000,36185000,39488000,51303000,36267000,36684000,39027000,11311000,6973000,10465000,13427000,9346000,6734000,11962000
49,Short-Term Debt,- -,- -,3500000,200000,10100000,5400000,2500000,7500000,7000000,3200000,7000000,- -,5000000,5000000,- -,4000000,2000000,- -,- -,- -,17000000,3846000,208000,829000,593000,1525000,2544000,1063000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,472000,532000,2439000,301000,360000,387000,453000,355000,253000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4386000,- -,- -,- -,- -,- -,13357000,12357000,6120000,1208000,632000,1772000,8869000,6082000,- -,- -
52,Other Current Liabilities,- -,- -,16400000,18300000,23600000,17813000,18548000,19902000,16035000,17491000,20378000,24904000,15044000,41933000,28433000,22279000,22763000,23569000,8631000,11449000,12655000,10453000,9909000,8558000,6096000,6413000,13409000,20965000
53,Total Current Liabilities,- -,- -,37900000,27000000,46700000,34235000,46718000,54230000,46391000,50289000,89156000,101471000,100721000,101052000,73078000,62464000,64251000,74872000,58255000,60490000,74802000,26818000,17722000,21624000,28985000,23366000,22687000,33990000
54,Long-Term Debt,- -,- -,10100000,- -,18500000,49000000,62500000,80000000,30000000,53000000,110000000,80000000,55000000,60000000,73000000,19305000,21305000,10000000,19000000,24000000,- -,15500000,6375000,6435000,6449000,6463000,8849000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8657000,- -,- -,- -,3892000,3576000,3093000,1616000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,100000,100000,6500000,4509000,5699000,7094000,10179000,15425000,22362000,22419000,13426000,53529000,47142000,41960000,34338000,30385000,12123000,5541000,7991000,6082000,8550000,8590000,8207000,15180000,14397000,26229000
58,Total Non-Current Liabilities,- -,- -,10200000,100000,25000000,53509000,68199000,87094000,40179000,68425000,132362000,102419000,68426000,113529000,120142000,61265000,55643000,40385000,39780000,29541000,7991000,21582000,18817000,18601000,17749000,23259000,23246000,26229000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3158000,4226000,3397000,10782000,9226000,- -
61,Total Liabilities,- -,- -,48100000,27100000,71700000,87744000,114917000,141324000,86570000,118714000,221518000,203890000,169147000,214581000,193220000,123729000,119894000,115257000,98035000,90031000,82793000,48400000,36539000,40225000,46734000,46625000,45933000,60219000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,96000,97000,99000,142000,143000,179000,182000,183000,183000,195000,200000,199000,201000,202000,204000,206000,208000,213000,214000,214000,213000,213000,218000
64,Retained Earnings,- -,- -,-5400000,-8600000,27300000,36876000,40060000,46427000,57017000,63443000,68724000,73375000,69816000,65402000,-67205000,-64434000,-74629000,-66722000,-65282000,-76786000,-79596000,-106812000,-100769000,-111591000,-114926000,-117433000,-115765000,-112842000
65,Other Comprehensive Income/Loss,- -,- -,-23800000,-21600000,-44600000,-50724000,-58156000,-65353000,-2699000,-2346000,-2365000,-3173000,-3634000,-3943000,-19744000,-17187000,-14324000,-22170000,-21562000,-17734000,-25035000,-25760000,-26598000,-25551000,-24842000,-24051000,-24698000,-22994000
66,Other Total Stockholders Equity,- -,- -,48600000,50500000,66700000,74572000,82204000,88947000,82575000,83541000,140898000,143350000,143521000,145837000,146739000,147639000,148552000,149159000,149575000,150568000,151313000,152076000,153252000,153858000,154388000,154702000,155025000,154904000
67,Total Stockholders Equity,- -,- -,19400000,20300000,49400000,60820000,64205000,70120000,137035000,144781000,207436000,213734000,209886000,207479000,59985000,66218000,59798000,60468000,62933000,56252000,46888000,19712000,26098000,16930000,14834000,13431000,14775000,19286000
68,Total Liabilities And Stockholders Equity,- -,- -,67500000,47400000,121100000,148564000,179122000,211444000,223605000,263495000,428954000,417624000,379033000,422060000,253205000,189947000,179692000,175725000,160968000,146283000,129681000,68112000,62637000,57155000,61568000,60056000,60708000,79505000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,67500000,47400000,121100000,148564000,179122000,211444000,223605000,263495000,428954000,417624000,379033000,422060000,253205000,189947000,179692000,175725000,160968000,146283000,129681000,68112000,62637000,57155000,61568000,60056000,60708000,79505000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/864240/000119312504021254/0001193125-04-021254-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000119312505047812/0001193125-05-047812-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000119312506054553/0001193125-06-054553-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000119312507054315/0001193125-07-054315-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000119312508051536/0001193125-08-051536-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000119312509069331/0001193125-09-069331-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000119312510064553/0001193125-10-064553-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000119312511067221/0001193125-11-067221-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000119312512111947/0001193125-12-111947-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000119312513102967/0001193125-13-102967-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000143774914003830/0001437749-14-003830-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000143774915006400/0001437749-15-006400-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000143774916028628/0001437749-16-028628-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000143774917005382/0001437749-17-005382-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000143774918005023/0001437749-18-005023-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000143774919005857/0001437749-19-005857-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000143774920005641/0001437749-20-005641-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000143774921006412/0001437749-21-006412-index.htm,https://www.sec.gov/Archives/edgar/data/864240/000143774922006515/0001437749-22-006515-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4700000,-17700000,-8600000,-3200000,7400000,9556000,3184000,6367000,11439000,8135000,7407000,5321000,-1362000,-2139000,-130556000,2690000,-10204000,7907000,3047000,-9887000,-1184000,-27216000,6043000,-10822000,-3505000,-3949000,1668000,2923000
74,Depreciation and Amortization,5400000,5600000,5200000,3800000,6900000,7582000,9351000,9856000,11386000,12831000,19066000,25909000,28782000,29386000,25381000,15190000,14724000,14216000,12251000,12401000,10409000,9035000,6288000,3884000,2648000,2671000,2503000,- -
75,Deferred Income Tax,400000,700000,300000,- -,1000000,-645000,-2478000,479000,3684000,6009000,3692000,-1091000,-5079000,-15373000,-1512000,-3887000,604000,508000,871000,-1286000,1050000,2230000,- -,-667000,-509000,-260000,-3070000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1826000,1689000,1597000,842000,1372000,730000,637000,469000,426000,- -
77,Change in Working Capital,-26200000,- -,7800000,4300000,20100000,21505000,4897000,8723000,10268000,2923000,64843000,-33594000,-11048000,51724000,-106240000,-19218000,5773000,-7643000,12730000,-1301000,-21978000,242000,10372000,-6799000,-1966000,59000,277000,5316000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14757000,-181000,-3261000,-1509000,4307000,-19000,-9091000,24700000,4072000,-1419000,-612000,2425000,214000,- -
79,Inventory,-6600000,3300000,15500000,-7000000,4200000,-11277000,-2046000,-3519000,-4559000,6219000,-28495000,11555000,5123000,5964000,13434000,16686000,660000,-4302000,-1191000,-1708000,4276000,5432000,-1809000,-3204000,-2857000,-2823000,4230000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8646000,-5993000,3138000,- -,-15193000,705000,2425000,-13388000,-4330000,3491000,2948000,-4066000,-2591000,- -
81,Other Working Capital,- -,- -,7800000,12100000,32200000,53705000,58602000,67325000,77593000,80516000,145359000,111765000,100717000,152441000,46201000,26983000,32756000,25113000,37843000,36542000,14564000,14806000,25178000,18379000,16413000,16472000,16749000,22065000
82,Other Non-Cash Items,2800000,20800000,3000000,-10500000,-24400000,-40066000,-6822000,-16954000,-23176000,-2623000,-122418000,76043000,41513000,-74102000,217590000,8519000,-9172000,2004000,-35645000,-1909000,13151000,1420000,-43379000,4215000,4587000,-4810000,1844000,-8239000
83,Cash Provided by Operating Activities,-12900000,9400000,7700000,-5600000,11000000,-2068000,8132000,8471000,13601000,27275000,-27410000,72588000,52806000,-10504000,4663000,3294000,1725000,16992000,-4920000,-293000,3045000,-13447000,-19304000,-9459000,1892000,-5820000,3648000,- -
84,CAPEX,-7300000,-8000000,-3400000,-1200000,-5800000,-14443000,-23886000,-27623000,-19747000,-22521000,-55900000,-36264000,-10326000,-10155000,-13084000,-5507000,-2233000,-6848000,-7082000,-5053000,-5259000,-1825000,-1763000,-1637000,-2051000,-859000,-1542000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,-11642000,- -,- -,- -,- -,-29648000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21830000,- -,- -,1914000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,5200000,11600000,18000000,- -,-329000,8941000,-5320000,-451000,-23296000,-593000,24000,-243000,766000,-11255000,27971000,-741000,-1783000,-2487000,-2788000,-5229000,13916000,48318000,2664000,1604000,999000,427000,- -
89,Cash Used for Investing Activites,-7300000,-2800000,8200000,16800000,-5800000,-26414000,-14945000,-32943000,-20198000,-45817000,-86141000,-36240000,-10569000,-9389000,-11255000,49801000,-741000,-1783000,-573000,-2788000,-5229000,13916000,48318000,2664000,1604000,999000,427000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50818000,- -,-23305000,- -,- -,-7000000,-21065000,-15523000,-208000,-829000,-632000,-715000,- -
91,Common Stock Issued,17800000,400000,1000000,2600000,- -,684000,481000,530000,56692000,667000,56815000,816000,296000,264000,- -,- -,- -,64000,1000,- -,3000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1410000,-693000,-855000,-77000,-191000,-123000,-107000,-156000,-103000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-424000,-1709000,-2023000,-2164000,-2193000,-2264000,-2313000,-386000,- -,- -,-1607000,-1216000,-1635000,-410000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-3400000,-6200000,-18400000,-11400000,-2500000,25817000,10600000,22500000,-50500000,19200000,60800000,-37000000,-20000000,4115000,8000000,- -,- -,9613000,9000000,5000000,- -,15429000,621000,- -,- -,- -,3558000,- -
95,Cash Used/Provided by Financing Activities,14400000,-5800000,-17400000,-8800000,-2600000,26501000,11081000,23030000,5768000,18158000,115592000,-38348000,-21897000,2115000,5687000,-51204000,- -,-13628000,5984000,3091000,-9487000,-6123000,-15093000,-331000,-936000,-788000,2740000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-304000,- -
97,Net Change In Cash,14400000,-5800000,-17400000,-8800000,-2600000,-1981000,4268000,-1442000,-829000,-384000,2041000,-2000000,20340000,-17778000,-905000,1891000,984000,1581000,491000,10000,-11671000,-5654000,13921000,-7126000,2560000,-5609000,6511000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,10406000,14674000,13232000,12403000,12019000,14060000,12060000,32400000,14622000,13717000,15608000,16592000,18173000,18664000,18674000,7003000,1349000,15270000,8144000,10704000,5095000,11606000,- -
99,Cash at the Beginning of Period,7100000,1300000,2100000,700000,9900000,12387000,10406000,14674000,13232000,12403000,12019000,14060000,12060000,32400000,14622000,13717000,15608000,16592000,18173000,18664000,18674000,7003000,1349000,15270000,8144000,10704000,5095000,11606000
100,Free Cash Flow,-20200000,1400000,4300000,-6800000,5200000,-16511000,-15754000,-19152000,-6146000,4754000,-83310000,36324000,42480000,-20659000,-8421000,-2213000,-508000,10144000,-12002000,-5346000,-2214000,-15272000,-21067000,-11096000,-159000,-6679000,2106000,- -
