,https://roic.ai/company/VOLT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-0.0236,-0.0418,0.0239,0.0004,0.0191,-0.0035,-0.0026,0.0035,-0.0100,0.0270,0.0301,0.0340,0.0448,0.0210,0.0244,0.0245,0.0064,-0.0050,0.0044,0.0219,0.0135,0.0145,0.0200,-0.0497,-0.0151,-0.0173,0.0068,-0.0067,-0.0049,0.0011,-0.0101,-0.0093,0.0270,-0.0305,-0.0142,-0.0396,0.0031
22,Income Tax expense (Gain),-3200000,-13100000,5200000,1100000,4000000,-700000,-1500000,700000,-1900000,7800000,10900000,12700000,22800000,14900000,18900000,20500000,4800000,-2300000,2900000,15517000,12200000,12900000,16200000,-24500000,-3500000,62614000,-300000,2391000,469000,5226000,4646000,2175000,3388000,958000,978000,1045000,1403000
23,Net Income,-6000000,-4000000,5600000,-900000,4000000,-1900000,300000,1100000,-2700000,11800000,16300000,22300000,39900000,20900000,29000000,30700000,6500000,-32700000,4200000,33716000,17000000,30700000,39300000,-11700000,-26200000,-96375000,15600000,-13600000,-30900000,-18988000,-24620000,-14570000,27132000,-32685000,-15186000,-33587000,1374000
24,Net Income ratio,-0.0154,-0.0098,0.0124,-0.0019,0.0081,-0.0039,0.0006,0.0021,-0.0048,0.0161,0.0180,0.0213,0.0285,0.0122,0.0140,0.0145,0.0034,-0.0223,0.0026,0.0175,0.0078,0.0135,0.0172,-0.0043,-0.0133,-0.0493,0.0070,-0.0063,-0.0153,-0.0111,-0.0164,-0.0109,0.0227,-0.0315,-0.0152,-0.0409,0.0016
25,EPS,-0.19,-0.13,0.19,-0.03,0.14,-0.07,0.02,0.05,-0.13,0.56,0.75,1.03,1.75,0.93,1.29,1.35,0.25,-1.44,0.21,1.47,0.74,1.32,1.71,2.92,-1.26,-4.63,0.75,-0.65,-1.48,-0.91,-1.18,-0.70,1.30,-1.55,-0.72,-1.56,0.06
26,EPS Diluted,-0.19,-0.13,0.19,-0.03,0.14,-0.07,0.02,0.05,-0.13,0.55,0.75,1.01,1.75,0.91,1.27,1.33,0.25,-1.44,0.21,1.47,0.74,1.31,1.71,2.92,-1.26,-4.63,0.75,-0.65,-1.48,-0.91,-1.18,-0.70,1.29,-1.55,-0.72,-1.56,0.06
27,Weighted Average Shares Outstanding,32126794,31563166,28951042,26986507,28557150,25896143,23559649,20614693,21305137,20882416,21626355,21709924,22773360,22381666,22527596,22697876,22855097,22813454,22815592,22851000,22968516,23215892,22935000,21982000,20833000,20812000,20813000,20813000,20849462,20922796,20816000,20831000,20942000,21051000,21119000,21507000,21507000
28,Weighted Average Shares Outstanding Diluted,32126794,31563166,28951042,26986507,28557150,25896143,23559649,20614693,21305137,21391743,21819447,21995581,22773360,22871776,22763487,22962454,22855097,22813454,22826087,23031000,23113943,23376312,22985000,21982000,20833000,20812000,20896000,20813000,20849462,20922796,20816000,20831000,21017000,21051000,21119000,21507000,21507000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/103872/000095012395000109/0000950123-95-000109-index.html,https://www.sec.gov/Archives/edgar/data/103872/000095012396000306/0000950123-96-000306-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/103872/000100547701000553/0001005477-01-000553-index.html,- -,https://www.sec.gov/Archives/edgar/data/103872/000116923203000723/0001169232-03-000723-index.html,https://www.sec.gov/Archives/edgar/data/103872/000115752304000661/0001157523-04-000661-index.html,https://www.sec.gov/Archives/edgar/data/103872/000115752305000267/0001157523-05-000267-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/103872/000115752309000729/0001157523-09-000729-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/103872/000119312513444053/d576658d10k.htm,https://www.sec.gov/Archives/edgar/data/103872/000119312513444053/0001193125-13-444053-index.html,https://www.sec.gov/Archives/edgar/data/103872/000162828015000162/visi-11022014x10k.htm,https://www.sec.gov/Archives/edgar/data/103872/000010387216000017/0000103872-16-000017-index.html,https://www.sec.gov/Archives/edgar/data/103872/000010387217000006/0000103872-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/103872/000010387218000006/0000103872-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/103872/000010387219000012/0000103872-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/103872/000010387220000006/0000103872-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/103872/000010387221000006/0000103872-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/103872/000010387222000007/0000103872-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000,25400000,13300000,54200000,31600000,32400000,34100000,18500000,32200000,43200000,88031000,62000000,38500000,40300000,120900000,118800000,51084000,44600000,26500000,9800000,6723000,10188000,6386000,37077000,24763000,28672000,38550000,71373000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,1000000,4500000,- -,1100000,2600000,3600000,3800000,3800000,4100000,4248000,4200000,4700000,5600000,4200000,4800000,5226000,5600000,5600000,6100000,5543000,4799000,3601000,3524000,3063000,3022000,2853000,3493000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,26400000,17800000,54200000,32700000,35000000,37700000,22300000,36000000,47300000,92279000,66200000,43200000,45900000,125100000,123600000,56310000,50200000,32100000,15900000,12266000,14987000,9987000,40601000,27826000,31694000,41403000,74866000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,98800000,111700000,170500000,227500000,286700000,364500000,448800000,362800000,307300000,317000000,409130000,399700000,390800000,393000000,389600000,278400000,341378000,333000000,348800000,297600000,249122000,215968000,210845000,175461000,157541000,135950000,121916000,127211000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,27200000,28200000,31600000,36000000,39000000,61100000,75700000,36200000,30600000,37800000,32676000,33800000,28700000,54400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,7400000,15900000,23200000,18100000,15000000,20600000,30300000,69600000,35900000,44600000,24232000,56100000,77200000,107600000,136600000,111700000,107006000,106100000,88500000,110900000,103960000,48986000,39733000,28775000,19129000,17024000,24941000,11465000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,155400000,182200000,243100000,335800000,373400000,481200000,592500000,490900000,409800000,446700000,558317000,555800000,539900000,600900000,651300000,513700000,504694000,489300000,469400000,424400000,365348000,279941000,260565000,244837000,204496000,184668000,188260000,213542000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000000,55600000,64900000,62500000,67600000,78200000,96300000,97100000,89300000,82500000,85038000,83300000,74100000,72300000,66900000,56200000,36506000,43300000,39100000,32500000,25556000,24095000,30133000,29121000,24392000,25890000,30065000,27135000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,- -,32600000,50900000,98700000,- -,- -,- -,7900000,7900000,7700000,6673000,6435000,5083000,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,6400000,5400000,15500000,14100000,19600000,50500000,44800000,40300000,9100000,- -,45142000,14900000,32000000,53500000,16200000,14800000,22470000,4100000,2800000,700000,- -,- -,- -,- -,- -,- -,17209000,12843000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,6400000,5400000,15500000,14100000,19600000,50500000,44800000,40300000,9100000,9000000,45142000,47500000,82900000,152200000,16200000,14800000,22470000,12000000,10700000,8400000,6673000,6435000,5083000,- -,- -,- -,17209000,12843000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,15100000,18000000,11200000,- -,1500000,1500000,3900000,3800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8729000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2700000,3400000,- -,- -,- -,- -,4500000,11100000,14700000,15300000,- -,13400000,10800000,18000000,6500000,6600000,6983000,3500000,2800000,400000,1196000,3225000,3137000,1206000,510000,17000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2700000,-600000,2400000,6300000,7200000,6900000,2800000,-6000000,-11300000,-13000000,1539000,-11300000,-8600000,-3200000,75900000,67000000,28471000,31400000,35600000,35600000,25559000,13130000,17547000,9645000,7298000,7429000,6311000,-2145000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,71500000,81800000,94000000,82900000,95900000,137100000,152300000,146300000,101800000,93800000,131719000,132900000,159200000,239300000,165500000,144600000,94430000,90200000,88200000,76900000,58984000,46885000,55900000,39972000,32200000,33336000,53585000,46562000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,226900000,264000000,337100000,418700000,469300000,618300000,744800000,637200000,511600000,540500000,690036000,688700000,699100000,840200000,816800000,658300000,599124000,579500000,557600000,501300000,424332000,326826000,316465000,284809000,236696000,218004000,241845000,260104000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000000,30800000,43300000,59600000,91400000,127800000,148300000,114500000,154100000,154000000,192163000,172800000,190400000,212400000,133300000,91100000,103439000,100100000,86500000,55100000,54316000,39164000,32425000,36895000,33498000,36341000,31221000,36544000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6400000,- -,- -,- -,- -,3948000,4433000,8354000,9026000,5109000,84621000,108216000,74200000,73011000,113201000,145727000,168114000,129417000,982000,2050000,50000000,- -,- -,7144000,6775000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19014000,22722000,23224000,29361000,19520000,17099000,24377000,22791000,21275000,16372000,12814000,13874000,32068000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74330000,- -,24240000,13335000,3491000,1213000,3137000,1206000,510000,17000,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,68600000,93800000,86400000,100300000,103200000,197500000,280200000,225800000,87452000,107367000,149144000,140174000,149991000,160179000,214184000,146900000,126903000,164799000,122533000,125651000,118231000,94448000,88867000,74855000,66317000,58958000,48139000,70995000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,93600000,124600000,129700000,166300000,194600000,325300000,428500000,340300000,245500000,265800000,349661000,322000000,345500000,457200000,455700000,312200000,377683000,378100000,379000000,362200000,305455000,135807000,126479000,162956000,100325000,95316000,86504000,114314000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,40800000,28800000,57400000,55400000,54000000,45700000,32300000,16000000,14500000,14100000,15588000,13300000,12800000,12300000,11800000,11200000,10509000,9800000,9000000,8100000,7216000,106313000,95000000,- -,49068000,53894000,97386000,92865000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36756000,- -,4268000,2839000,87000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11764000,- -,- -,- -,- -,- -,- -,- -,2759000,1702000,1263000,3225000,3137000,1206000,510000,17000,3000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2700000,3500000,19800000,- -,19500000,17300000,20700000,11100000,14700000,19400000,86000,58400000,15600000,18100000,87500000,97700000,34039000,34900000,19473000,16259000,18917000,16990000,42884000,36653000,36294000,32588000,30078000,21832000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,43500000,32300000,77200000,55400000,73500000,63000000,53000000,27100000,29200000,33500000,27438000,71700000,28400000,30400000,99300000,108900000,81304000,44700000,35500000,28900000,27483000,126528000,141021000,37859000,85872000,86499000,127467000,114697000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45376000,40333000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,137100000,156900000,206900000,221700000,268100000,388300000,481500000,367400000,274700000,299300000,377099000,393700000,373900000,487600000,555000000,421100000,458987000,422800000,414500000,391100000,332938000,262335000,267500000,200815000,186197000,181815000,213971000,229011000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,1000000,1000000,- -,1500000,1500000,1500000,1500000,1500000,1500000,1528000,1500000,2300000,2300000,2400000,2400000,2350000,2400000,2400000,2400000,2361000,2374000,2374000,2374000,2374000,2374000,2374000,2374000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,91700000,79200000,101500000,141400000,162300000,191200000,221900000,227800000,194800000,199000000,232714000,249800000,280400000,319700000,234400000,207700000,111198000,126800000,113800000,83000000,64119000,38034000,21000000,45843000,9738000,-10917000,-29793000,-32208000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-600000,-200000,-38800000,-45400000,600000,-800000,-2000000,-1000000,-483000,-416000,-178000,33000,245000,2660000,-400000,-869000,-2535000,-2071000,-2739000,-5243000,-6400000,-7994000,-10612000,-5261000,-7070000,-6801000,-6458000,-6249000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27100000,66500000,81600000,36800000,38100000,42000000,41500000,41220000,41836000,42453000,43682000,42303000,27876000,156734000,28054000,29124000,29534000,29656000,30084000,31314000,32077000,36203000,41038000,45457000,51533000,61751000,67176000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,89800000,107100000,130200000,177600000,201200000,230000000,263400000,269800000,237037000,241920000,276517000,295015000,325248000,352536000,393134000,237285000,140137000,156663000,143117000,110241000,91394000,64491000,48965000,83994000,50499000,36189000,27874000,31093000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,226900000,264000000,337100000,399300000,469300000,618300000,744900000,637200000,511737000,541220000,653616000,688715000,699148000,840136000,948134000,658385000,599124000,579463000,557617000,501341000,424332000,326826000,316465000,284809000,236696000,218004000,241845000,260104000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19400000,- -,- -,-100000,- -,-137000,-720000,36420000,-15000,-48000,64000,-131334000,-85000,- -,37000,-17000,-41000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,226900000,264000000,337100000,418700000,469300000,618300000,744800000,637200000,511600000,540500000,690036000,688700000,699100000,840200000,816800000,658300000,599124000,579500000,557600000,501300000,424332000,326826000,316465000,284809000,236696000,218004000,241845000,260104000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/103872/000095012395000109/0000950123-95-000109-index.html,https://www.sec.gov/Archives/edgar/data/103872/000095012396000306/0000950123-96-000306-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/103872/000100547701000553/0001005477-01-000553-index.html,- -,https://www.sec.gov/Archives/edgar/data/103872/000116923203000723/0001169232-03-000723-index.html,https://www.sec.gov/Archives/edgar/data/103872/000115752304000661/0001157523-04-000661-index.html,https://www.sec.gov/Archives/edgar/data/103872/000115752305000267/0001157523-05-000267-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/103872/000115752309000729/0001157523-09-000729-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/103872/000119312513444053/d576658d10k.htm,https://www.sec.gov/Archives/edgar/data/103872/000119312513444053/0001193125-13-444053-index.html,https://www.sec.gov/Archives/edgar/data/103872/000162828015000162/visi-11022014x10k.htm,https://www.sec.gov/Archives/edgar/data/103872/000010387216000017/0000103872-16-000017-index.html,https://www.sec.gov/Archives/edgar/data/103872/000010387217000006/0000103872-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/103872/000010387218000006/0000103872-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/103872/000010387219000012/0000103872-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/103872/000010387220000006/0000103872-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/103872/000010387221000006/0000103872-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/103872/000010387222000007/0000103872-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,4000000,-1900000,300000,1100000,-2700000,11800000,16300000,22300000,39900000,20900000,29000000,30700000,6500000,-32700000,4200000,33716000,17000000,30700000,39300000,-11700000,-26200000,-96375000,15600000,-13600000,-30900000,-18988000,-24620000,-14570000,27132000,-32685000,-15186000,-33587000,1374000
74,Depreciation and Amortization,- -,- -,- -,- -,12300000,12200000,11300000,11100000,10200000,11500000,12900000,16300000,20500000,20800000,24100000,25270000,24582000,22166000,24331000,25537000,29603000,34847000,38221000,38636000,27602000,23693000,19735000,16513000,14931000,9323000,6811000,5969000,8025000,7209000,6955000,15592000,7560000
75,Deferred Income Tax,- -,- -,- -,- -,-8200000,-6900000,-2100000,2600000,1100000,800000,-5400000,-2700000,1100000,1400000,-1200000,4130000,2620000,3898000,82000,-4240000,-2978000,-4345000,-7718000,-12320000,1981000,67251000,-4933000,1806000,-1682000,2288000,972000,-541000,719000,24000,-88000,-11000,79000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,680000,1044000,460000,127000,416000,1198000,2906000,1828000,2755000,1270000,499000,1736000,2101000
77,Change in Working Capital,- -,- -,- -,- -,-1100000,- -,- -,- -,- -,61800000,-4200000,55800000,56100000,9300000,-22900000,8100000,-13400000,13700000,16600000,27756000,25144000,-39400000,-50700000,51900000,5900000,-74489000,-15811000,-20800000,-28200000,-2307000,84241000,-10048000,-52205000,22290000,-14819000,12404000,-2528000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9355000,-14719000,41072000,34686000,29864000,5024000,5928000,16735000,22472000,14057000,-5155000
79,Inventory,- -,- -,- -,- -,-2100000,-2800000,-600000,-2700000,-2500000,500000,-3100000,-1700000,-4600000,-3700000,-22000000,-13921000,28399000,6496000,-7667000,6662000,-1082000,5030000,-31215000,25290000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41955000,-15939000,-3068000,-13069000,-28965000,1018000,-13048000,-6727000,4475000,-3723000,2839000,-5166000,5278000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,61800000,57600000,113400000,169500000,178800000,155900000,164000000,150600000,164300000,180900000,208656000,233800000,194400000,143700000,195600000,201500000,127011000,111200000,90400000,62200000,59893000,144134000,134086000,81881000,104171000,89352000,101756000,99228000
