,https://roic.ai/company/CMG,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,20000000,99990000,50000000,124766000,55005000,150306000,254971000,338592000,415199000,329836000,324382000,426845000,400156000,343616000,260945000
33,Cash and Short-Term Investments,- -,- -,- -,- -,61000,153642000,171176000,188034000,269566000,349604000,456248000,472859000,578174000,758057000,663204000,417716000,508951000,676798000,880782000,951603000,1076319000
34,Net Receivables,- -,- -,- -,3222000,4181000,13648000,14908000,3928000,4763000,29186000,8389000,26412000,27673000,51327000,96435000,45559000,49806000,62312000,108250000,387283000,193663000
35,Inventory,- -,- -,- -,2256000,2625000,3505000,4332000,4789000,5614000,7098000,8913000,11096000,13044000,15332000,15043000,15019000,19860000,21555000,26096000,26445000,32826000
36,Other Current Assets,10819000,20221000,7833000,4854000,10957000,8042000,11428000,14321000,17511000,20333000,27642000,36240000,47416000,53763000,39965000,44080000,50918000,54129000,57076000,54906000,78756000
37,Total Current Assets,10819000,20221000,7833000,10332000,17824000,178837000,201844000,211072000,297454000,406221000,501192000,546607000,666307000,878479000,814647000,522374000,629535000,814794000,1072204000,1420237000,1381564000
38,PP&E,- -,- -,- -,289873000,340694000,404740000,494930000,585899000,636411000,676881000,751951000,866703000,963238000,1106984000,1217220000,1303558000,1338366000,1379254000,3964156000,4351496000,4887572000
39,Goodwill,- -,- -,- -,- -,- -,17738000,- -,21939000,21939000,21939000,21939000,21939000,21939000,21939000,21939000,21939000,21939000,21939000,21939000,21939000,21939000
40,Intangible Assets,- -,- -,- -,26243000,17738000,- -,21939000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,26243000,17738000,17738000,21939000,21939000,21939000,21939000,21939000,21939000,21939000,21939000,21939000,21939000,21939000,21939000,21939000,21939000,21939000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128241000,190868000,313863000,496106000,622939000,125055000,- -,- -,- -,102328000,274311000
43,Tax Assets,- -,- -,- -,- -,13586000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,135584000,173951000,241181000,3205000,2653000,2893000,3402000,6075000,5701000,16564000,21985000,42550000,43933000,42777000,48321000,53177000,55852000,49531000,46305000,86896000,87572000
45,Total Non-Current Assets,135584000,173951000,241181000,319321000,374671000,425371000,520271000,613913000,664051000,715384000,924116000,1122060000,1342973000,1667806000,1910419000,1503729000,1416157000,1450724000,4032400000,4562659000,5271394000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,146403000,194172000,249014000,329653000,392495000,604208000,722115000,824985000,961505000,1121605000,1425308000,1668667000,2009280000,2546285000,2725066000,2026103000,2045692000,2265518000,5104604000,5982896000,6652958000
48,Accounts Payable,- -,- -,- -,11803000,13188000,19567000,19880000,23890000,25230000,33705000,46382000,58700000,59022000,69613000,85709000,78363000,82028000,113071000,115816000,121990000,163161000
49,Short-Term Debt,- -,- -,- -,4431000,57000,71000,- -,82000,96000,121000,133000,143000,- -,- -,- -,- -,- -,- -,173139000,204756000,218713000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,4207000,- -,16362000,13499000,17541000,22929000,15634000,20435000,18920000,26891000,26484000,26419000,32004000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22736000,31508000,48105000,51055000,59438000,63645000,70474000,95195000,127750000,156351000
52,Other Current Liabilities,14913000,20806000,38266000,22429000,28737000,41563000,53421000,52816000,76827000,89228000,110938000,105273000,108698000,127992000,143178000,143992000,178220000,266445000,282443000,367703000,335457000
53,Total Current Liabilities,14913000,20806000,38266000,38663000,41982000,61201000,73301000,76788000,102153000,123054000,157453000,186852000,199228000,245710000,279942000,281793000,323893000,449990000,666593000,822199000,873682000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2952296000,3301601000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,87009000,106395000,123667000,143284000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,18681000,16483000,29863000,38863000,50525000,64381000,48947000,55434000,40529000,32305000,18944000,814000,11566000,37814000,149422000,141765000
57,Other Non-Current Liabilities,7793000,12112000,19240000,28424000,41159000,50369000,70221000,8735000,10633000,13486000,15964000,186942000,216330000,247677000,284845000,322873000,356540000,362623000,2717171000,38844000,38536000
58,Total Non-Current Liabilities,7793000,12112000,19240000,28424000,41159000,69050000,86704000,125607000,155891000,187678000,223629000,235889000,271764000,288206000,317150000,341817000,357354000,374189000,2754985000,3140562000,3481902000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,3960000,3878000,3782000,133000,3529000,- -,- -,- -,- -,- -,- -,2851513000,3157052000,3520314000
61,Total Liabilities,22706000,32918000,57506000,67087000,83141000,130251000,160005000,202395000,258044000,310732000,381082000,422741000,470992000,533916000,597092000,623610000,681247000,824179000,3421578000,3962761000,4355584000
62,Preferred Stock,- -,- -,- -,204000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,584000,263000,325000,328000,329000,335000,340000,344000,349000,352000,354000,358000,358000,359000,360000,363000,367000,371000
64,Retained Earnings,- -,- -,- -,-76147000,-38451000,2972000,72486000,150688000,277533000,456514000,671459000,949459000,1276897000,1722271000,2197873000,2220811000,2397064000,2573617000,2921448000,3276163000,3929147000
65,Other Comprehensive Income/Loss,- -,- -,- -,-45976000,-28186000,7000,-150996000,-193000,29000,606000,197000,1024000,1620000,-429000,-8273000,-8162000,-3659000,-6236000,-5363000,-4229000,-5354000
66,Other Total Stockholders Equity,123697000,161254000,191508000,383901000,375728000,470653000,640292000,471766000,425564000,353413000,372226000,295094000,259419000,290173000,-61984000,-810514000,-1029319000,-1126402000,-1233422000,-1252166000,-1626790000
67,Total Stockholders Equity,123697000,161254000,191508000,262566000,309354000,473957000,562110000,622590000,703461000,810873000,1044226000,1245926000,1538288000,2012369000,2127974000,1402493000,1364445000,1441339000,1683026000,2020135000,2297374000
68,Total Liabilities And Stockholders Equity,146403000,194172000,249014000,329653000,392495000,604208000,722115000,824985000,961505000,1121605000,1425308000,1668667000,2009280000,2546285000,2725066000,2026103000,2045692000,2265518000,5104604000,5982896000,6652958000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,146403000,194172000,249014000,329653000,392495000,604208000,722115000,824985000,961505000,1121605000,1425308000,1668667000,2009280000,2546285000,2725066000,2026103000,2045692000,2265518000,5104604000,5982896000,6652958000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1058090/000119312507038325/d10k.htm,https://www.sec.gov/Archives/edgar/data/1058090/000119312508038764/d10k.htm,https://www.sec.gov/Archives/edgar/data/1058090/000119312509033199/0001193125-09-033199-index.html,https://www.sec.gov/Archives/edgar/data/1058090/000119312510035029/0001193125-10-035029-index.html,https://www.sec.gov/Archives/edgar/data/1058090/000119312511039010/d10k.htm,https://www.sec.gov/Archives/edgar/data/1058090/000119312512052969/0001193125-12-052969-index.html,https://www.sec.gov/Archives/edgar/data/1058090/000119312513046377/0001193125-13-046377-index.html,https://www.sec.gov/Archives/edgar/data/1058090/000119312514035451/d629534d10k.htm,https://www.sec.gov/Archives/edgar/data/1058090/000119312515033771/d861905d10k.htm,https://www.sec.gov/Archives/edgar/data/1058090/000105809016000058/0001058090-16-000058-index.html,https://www.sec.gov/Archives/edgar/data/1058090/000105809017000009/0001058090-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1058090/000105809018000018/0001058090-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1058090/000105809019000007/0001058090-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1058090/000105809020000010/0001058090-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1058090/000105809021000010/0001058090-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1058090/000105809022000011/0001058090-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,6126000,37696000,41423000,70563000,78202000,126845000,178981000,214945000,278000000,327438000,445374000,475602000,22938000,176253000,176553000,350158000,355766000,652984000
74,Depreciation and Amortization,- -,- -,- -,21802000,28026000,34253000,43595000,52770000,61308000,68921000,74938000,84130000,96054000,110474000,130368000,146368000,163348000,201979000,376730000,423072000,254657000
75,Deferred Income Tax,- -,- -,- -,11485000,-2654000,-1857000,-3545000,13165000,8282000,10064000,11319000,-18057000,2103000,-20671000,11666000,-14207000,-18026000,10585000,29962000,108350000,-12357000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,11374000,14992000,21381000,41382000,64276000,63657000,96440000,57911000,64166000,65255000,69164000,91396000,82626000,176392000
77,Change in Working Capital,- -,- -,- -,9069000,4173000,141794000,10907000,5741000,61017000,87866000,60572000,16016000,107324000,165690000,-98064000,-294124000,65061000,59162000,40807000,192427000,197425000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,1290000,-875000,-743000,-2970000,-9438000,-7238000,-10966000,-3504000,-1923000,-140000,-8298000,-2630000,3010000,-1687000
79,Inventory,- -,- -,- -,-790000,-369000,-880000,-771000,-457000,-825000,-1481000,-1816000,-2180000,-1950000,-2307000,262000,-91000,-5250000,-1722000,-4530000,-394000,-6392000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,6989000,9432000,7849000,2052000,2168000,19525000,-6734000,10908000,32080000,-973000,-3859000,21440000
81,Other Working Capital,- -,- -,- -,-28331000,-24158000,117636000,128543000,134284000,195301000,283167000,343739000,359755000,467079000,632769000,534705000,240581000,305642000,364804000,405611000,598038000,227766000
82,Other Non-Cash Items,- -,- -,- -,-8810000,10190000,-112016000,25403000,37255000,-11771000,-78022000,7940000,-4402000,-67796000,-115240000,105833000,424101000,15214000,104109000,-167421000,-498394000,12980000
83,Cash Provided by Operating Activities,- -,- -,- -,39672000,77431000,103597000,146923000,198507000,260673000,289191000,411096000,419963000,528780000,682067000,683316000,349242000,467105000,621552000,721632000,663847000,1282081000
84,CAPEX,- -,- -,- -,-95615000,-83036000,-97312000,-140545000,-152101000,-117198000,-113215000,-151147000,-197037000,-199926000,-252590000,-257418000,-258842000,-216777000,-287390000,-333912000,-373352000,-442475000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-5668000,- -,- -,-1900000,-586000,- -,- -,- -,- -,- -,- -,- -,- -,-10025000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-20000000,-99990000,-50000000,-125000000,-183251000,-213462000,-387639000,-521004000,-559372000,- -,-199801000,-485188000,-448754000,-468418000,-429350000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,20000000,99990000,50234000,124766000,55000000,159250000,254750000,352650000,585648000,330000000,385000000,476723000,419078000,345748000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13969000,- -,4035000
89,Cash Used for Investing Activites,- -,- -,- -,-95615000,-83036000,-97312000,-166213000,-232091000,-67208000,-189881000,-210218000,-355499000,-428315000,-518844000,-464140000,326806000,-86578000,-387578000,-291974000,-432717000,-522042000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-76000,-82000,-96000,-120000,-133000,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,64923000,- -,136085000,3863000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-30227000,-84089000,-126602000,-63508000,-217092000,-138903000,-88338000,-460675000,-837655000,-285920000,-160937000,-190617000,-54401000,-466462000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-8980000,5666000,11211000,12961000,755000,22228000,32176000,39360000,73691000,38552000,21601000,74235000,1372000,26000,-5598000,-11118000,-50450000,-82144000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,55943000,5666000,147296000,16824000,-29548000,-61943000,-94522000,-24268000,-143534000,-100351000,-66737000,-386440000,-836283000,-285894000,-166535000,-201735000,-104851000,-548606000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,484000,-205000,380000,536000,-224000,-4196000,110000,2056000,-1457000,406000,1076000,-1039000
97,Net Change In Cash,- -,- -,- -,55943000,5666000,153581000,-2466000,-63132000,131522000,5272000,176405000,-78690000,650000,96262000,-171460000,-160125000,96689000,65982000,228329000,127355000,210394000
98,Cash at the End of Period,- -,- -,- -,- -,61000,153642000,151176000,88044000,219566000,224838000,401243000,322553000,323203000,419465000,248005000,87880000,184569000,280152000,508481000,635836000,846230000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,61000,153642000,151176000,88044000,219566000,224838000,401243000,322553000,323203000,419465000,248005000,87880000,214170000,280152000,508481000,635836000
100,Free Cash Flow,- -,- -,- -,-55943000,-5605000,6285000,6378000,46406000,143475000,175976000,259949000,222926000,328854000,429477000,425898000,90400000,250328000,334162000,387720000,290495000,839606000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1058090/000119312507038325/d10k.htm,https://www.sec.gov/Archives/edgar/data/1058090/000119312508038764/d10k.htm,https://www.sec.gov/Archives/edgar/data/1058090/000119312509033199/0001193125-09-033199-index.html,https://www.sec.gov/Archives/edgar/data/1058090/000119312510035029/0001193125-10-035029-index.html,https://www.sec.gov/Archives/edgar/data/1058090/000119312511039010/d10k.htm,https://www.sec.gov/Archives/edgar/data/1058090/000119312512052969/0001193125-12-052969-index.html,https://www.sec.gov/Archives/edgar/data/1058090/000119312513046377/0001193125-13-046377-index.html,https://www.sec.gov/Archives/edgar/data/1058090/000119312514035451/d629534d10k.htm,https://www.sec.gov/Archives/edgar/data/1058090/000119312515033771/d861905d10k.htm,https://www.sec.gov/Archives/edgar/data/1058090/000105809016000058/0001058090-16-000058-index.html,https://www.sec.gov/Archives/edgar/data/1058090/000105809017000009/0001058090-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1058090/000105809018000018/0001058090-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1058090/000105809019000007/0001058090-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1058090/000105809020000010/0001058090-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1058090/000105809021000010/0001058090-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1058090/000105809022000011/0001058090-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
