,https://roic.ai/company/JSDA,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,70097,- -,- -,25066,- -,- -,912557,1498452,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,24000,4000
13,Interest Expense (Gain),- -,-40000,-50000,- -,- -,- -,- -,- -,83300,58047,- -,3705,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,61000,85000,75000,271000,442000,151000,-225000
14,Depreciation and Amortization,- -,- -,- -,150000,-139760,-195320,191357,183390,231669,216135,173605,193223,220283,256046,1015445,1060000,811000,379000,230000,286000,227000,206000,23000,15000,13000,123000,316000,136000,- -
15,EBITDA,- -,-250000,-1620000,-1830000,-3039760,-1725320,-618643,1783390,-1385031,-905818,493605,1526928,1570283,3926046,-8454555,-13980000,-9669000,-6071000,-6890000,-2524000,-1593000,-1273000,-962000,-79000,-1318000,-1661000,-1991000,-2683000,-2009000
16,EBITDA ratio,- -,-0.0473,-0.3673,-0.7205,-1.2880,-0.3648,-0.0558,0.0938,-0.0586,-0.0488,0.0246,0.0556,0.0469,0.1006,-0.2123,-0.3892,-0.3717,-0.3463,-0.3960,-0.1542,-0.1163,-0.0939,-0.0708,-0.0050,-0.0988,-0.1323,-0.1730,-0.2256,-0.1358
17,Operating Income,- -,-180000,-1560000,-1780000,-2920000,-1530000,-828341,-2624841,-1787377,-1056904,366785,1277267,1304958,2074876,-11306503,-15416000,-10445000,-6586000,-7226000,-2797000,-1838000,-1758000,-756000,-85000,-1113000,-1827000,-2352000,-2828000,-1907000
18,Operating Income ratio,- -,-0.0341,-0.3537,-0.7008,-1.2373,-0.3235,-0.0747,-0.1380,-0.0757,-0.0569,0.0182,0.0465,0.0389,0.0531,-0.2839,-0.4292,-0.4016,-0.3757,-0.4153,-0.1709,-0.1342,-0.1297,-0.0556,-0.0054,-0.0834,-0.1455,-0.2044,-0.2377,-0.1289
19,Total Other Income Expenses (Gains),- -,-30000,80000,- -,50000,-50000,18341,4224841,87377,-123096,-46785,52733,25042,1595124,1836503,386000,-35000,146000,106000,-13000,8000,279000,-290000,-94000,-135000,-228000,-397000,-142000,123000
20,Income Before Tax,- -,-210000,-1480000,-1780000,-2870000,-1580000,-810000,1600000,-1700000,-1180000,320000,1330000,1330000,3670000,-9470000,-15030000,-10480000,-6440000,-7120000,-2810000,-1830000,-1479000,-1046000,-179000,-1248000,-2055000,-2749000,-2970000,-1784000
21,Income Before Tax Ratio,- -,-0.0398,-0.3356,-0.7008,-1.2161,-0.3340,-0.0730,0.0841,-0.0720,-0.0635,0.0159,0.0485,0.0397,0.0940,-0.2378,-0.4184,-0.4029,-0.3674,-0.4092,-0.1717,-0.1336,-0.1091,-0.0770,-0.0114,-0.0935,-0.1636,-0.2389,-0.2497,-0.1206
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,-900000,2160000,200000,70000,-340000,30000,90000,70000,61000,74000,4000,-135000,24000,29000,27000,27000
23,Net Income,- -,-210000,-1570000,-1980000,-2900000,-1530000,-810000,1600000,-1700000,-1180000,320000,1330000,1280000,4570000,-11630000,-15240000,-10550000,-6110000,-7150000,-2900000,-1890000,-1540000,-1120000,-183000,-1271000,-2079000,-2778000,-2997000,-1811000
24,Net Income ratio,- -,-0.0398,-0.3560,-0.7795,-1.2288,-0.3235,-0.0730,0.0841,-0.0720,-0.0635,0.0159,0.0485,0.0382,0.1171,-0.2920,-0.4243,-0.4056,-0.3485,-0.4109,-0.1772,-0.1380,-0.1136,-0.0824,-0.0117,-0.0952,-0.1656,-0.2414,-0.2520,-0.1224
25,EPS,- -,-0.05,-0.32,-0.27,-0.17,-0.09,-0.05,0.08,-0.09,-0.06,0.02,0.06,0.06,0.19,-0.45,-0.58,-0.40,-0.22,-0.22,-0.08,-0.05,-0.04,-0.03,-0.00,-0.03,-0.05,-0.05,-0.05,-0.03
26,EPS Diluted,- -,-0.05,-0.32,-0.27,-0.17,-0.09,-0.05,0.08,-0.09,-0.06,0.02,0.06,0.06,0.19,-0.45,-0.58,-0.40,-0.22,-0.22,-0.08,-0.05,-0.04,-0.03,-0.00,-0.03,-0.05,-0.05,-0.05,-0.03
27,Weighted Average Shares Outstanding,- -,4040000,4850000,7280000,16175750,16175750,17829970,18943461,19921344,19800596,19871180,20639402,21412214,23890313,25977832,26339449,26433645,27172697,31896848,37909278,38593465,39659392,41171020,41322944,41420603,41464373,51109086,61792285,64550554
28,Weighted Average Shares Outstanding Diluted,- -,4040000,4850000,7280000,20806058,20806058,17829970,19816279,19921344,19800596,20592917,21949001,22593127,24629318,25977832,26339449,26433645,27172697,31896848,37909278,38593465,39659392,41171020,41322944,41420603,41464373,51109086,61792285,64550554
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1083522/000091205701505910/0000912057-01-505910-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000091205702012976/0000912057-02-012976-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000119312503087930/0001193125-03-087930-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000119312504053989/0001193125-04-053989-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000119312505064876/0001193125-05-064876-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000119312506070041/0001193125-06-070041-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000119312507054672/0001193125-07-054672-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000119312508059055/0001193125-08-059055-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000095013409005380/0000950134-09-005380-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000095012310030913/0000950123-10-030913-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000095012311026955/0000950123-11-026955-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000144530512000904/0001445305-12-000904-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000108352213000006/0001083522-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000108352214000014/0001083522-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000108352215000011/0001083522-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000108352216000081/0001083522-16-000081-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000108352217000023/0001083522-17-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000108352218000006/0001083522-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000108352219000006/0001083522-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000108352220000010/0001083522-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000143774921007037/0001437749-21-007037-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000143774922006106/0001437749-22-006106-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,1170000,220000,350000,3040000,- -,50000,320000,330000,1180000,1860000,3360000,11740000,4980000,5450000,1710000,1650000,1460000,857000,772000,733000,397000,991000,5969000,4614000,4667000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28370000,24440000,890000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,1170000,220000,350000,3040000,- -,50000,320000,330000,1180000,30230000,27800000,12630000,4980000,5450000,1710000,1650000,1460000,857000,772000,733000,397000,991000,5969000,4614000,4667000
34,Net Receivables,- -,- -,- -,- -,570000,830000,1270000,1710000,2320000,1010000,1510000,2840000,3700000,6910000,4470000,2690000,2510000,2700000,1970000,1740000,1030000,1237000,1840000,2174000,1247000,1362000,1573000,1581000,2662000
35,Inventory,- -,- -,- -,- -,760000,540000,1350000,1890000,2150000,1760000,2000000,3550000,4690000,5780000,5750000,5650000,3710000,2280000,2390000,2220000,2320000,2603000,2569000,1850000,1557000,1349000,1788000,1856000,1923000
36,Other Current Assets,- -,- -,- -,- -,70000,220000,160000,270000,550000,460000,270000,400000,150000,2220000,820000,1150000,490000,300000,200000,270000,410000,121000,116000,142000,141000,245000,310000,193000,358000
37,Total Current Assets,- -,- -,- -,- -,2570000,1810000,3130000,6910000,5020000,3280000,4100000,7120000,9720000,45140000,38840000,22120000,11690000,10730000,6270000,5880000,5220000,4818000,5297000,4899000,3342000,3947000,9640000,8244000,9610000
38,PP&E,- -,- -,- -,- -,470000,550000,560000,740000,670000,540000,490000,680000,660000,2170000,2500000,2100000,810000,300000,840000,500000,230000,25000,37000,25000,39000,88000,179000,776000,603000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,440000,300000,110000,110000,140000,110000,80000,50000,70000,210000,170000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,440000,300000,110000,110000,140000,110000,80000,50000,70000,210000,170000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,-10000,- -,-10000,-10000,170000,- -,- -,10000,430000,110000,100000,1030000,430000,550000,640000,60000,31000,20000,8000,8000,33000,33000,33000,33000
45,Total Non-Current Assets,- -,- -,- -,- -,910000,840000,670000,840000,800000,820000,570000,730000,740000,2810000,2780000,2200000,1840000,730000,1390000,1140000,290000,56000,57000,33000,47000,121000,212000,809000,636000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,3480000,2650000,3800000,7750000,5820000,4100000,4670000,7850000,10460000,47950000,41620000,24320000,13530000,11460000,7660000,7020000,5510000,4874000,5354000,4932000,3389000,4068000,9852000,9053000,10246000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,1878980,1675691,1765297,2059587,2745602,3851335,5446953,1940000,1470000,1400000,850000,1280000,890000,870000,1375000,1786000,1049000,949000,1058000,554000,1385000,1239000
49,Short-Term Debt,- -,- -,- -,- -,69880,195320,401122,1566915,714384,171539,41630,543834,114110,70471,156847,153000,125000,- -,23000,24000,13000,14000,910000,1205000,858000,428000,18000,242000,201000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34000,69000,146000,64000,45000,37000,23000,30000,26000,1000,- -,10000,6000,8000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,50000000,50000000,50000000,50000000,52318000,1507145000,117850000,1000,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,770120,914680,1068878,84105,-49950075,-49946836,-49951217,-49949436,-52263445,-1506992424,-112596847,2816000,1634000,1740000,1407000,836000,967000,861000,880000,861000,627000,614000,673000,859000,2145000
53,Total Current Liabilities,- -,- -,- -,- -,840000,1110000,1470000,3530000,2440000,1990000,2150000,3340000,4020000,5670000,7350000,4440000,3160000,2590000,2710000,1750000,1850000,2250000,3576000,3115000,2434000,2100000,1245000,2486000,3585000
54,Long-Term Debt,- -,- -,- -,- -,- -,20000,70000,70000,60000,10000,20000,110000,90000,20000,470000,320000,220000,- -,80000,60000,20000,2000,- -,- -,- -,2528000,1333000,1581000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000,12000,12000,8000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82000,58000,16000,2000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,200000,300000,100000,50000,- -,-10000,10000,80000,- -,2000,378000,372000,364000,-2000,- -,- -,- -,135000,147000,607000,2044000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,20000,70000,70000,260000,310000,120000,160000,90000,10000,480000,400000,220000,2000,540000,490000,400000,2000,11000,12000,12000,2671000,1480000,2188000,2044000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,13777,19712,113509,88219,15329,474226,474000,- -,- -,105000,82000,29000,16000,2000,- -,- -,- -,18000,477000,- -
61,Total Liabilities,- -,- -,- -,- -,840000,1130000,1540000,3600000,2700000,2300000,2270000,3500000,4110000,5680000,7830000,4840000,3380000,2590000,3250000,2240000,2250000,2252000,3587000,3127000,2446000,4771000,2725000,4674000,5629000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,8430000,8460000,10460000,10710000,11270000,11020000,11180000,11780000,12490000,41890000,43860000,43920000,43930000,47920000,50090000,52870000,52980000,53650000,53764000,53772000,53822000,53822000,73773000,73953000,- -
64,Retained Earnings,- -,- -,- -,- -,-5790000,-6940000,-8660000,-7070000,-8770000,-9950000,-9630000,-8300000,-7020000,-2550000,-14180000,-29410000,-39960000,-46070000,-53220000,-56120000,-58020000,-59557000,-60677000,-60860000,-62131000,-64210000,-66988000,-69985000,-71796000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-210000,-330000,-520000,-610000,-810000,107752,107752,107752,107752,96016,129471,-79000,418000,450000,420000,451000,355000,295000,213000,219000,391000,296000,342000,411000,396000
66,Other Total Stockholders Equity,- -,- -,- -,- -,225449,307454,987695,1126409,1430248,623018,737357,759975,768883,2833474,3987445,5044000,5765000,6570000,7115000,7583000,7945000,8234000,8467000,8674000,8861000,9389000,- -,- -,76017000
67,Total Stockholders Equity,- -,- -,- -,- -,2655449,1497454,2267695,4156409,3120248,1800770,2395109,4347727,6346635,42269490,33796916,19475000,10153000,8870000,4405000,4784000,3260000,2622000,1767000,1805000,943000,-703000,7127000,4379000,4617000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,3495449,2627454,3807695,7756409,5820248,4100770,4665109,7847727,10456635,47949490,41626916,24315000,13533000,11460000,7655000,7024000,5510000,4874000,5354000,4932000,3389000,4068000,9852000,9053000,10246000
69,Minority Interest,- -,- -,- -,- -,-15449,22546,-7695,-6409,-248,-770,4891,2273,3365,510,-6916,5000,-3000,- -,5000,-4000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,3480000,2650000,3800000,7750000,5820000,4100000,4670000,7850000,10460000,47950000,41620000,24320000,13530000,11460000,7660000,7020000,5510000,4874000,5354000,4932000,3389000,4068000,9852000,9053000,10246000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1083522/000091205701505910/0000912057-01-505910-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000091205702012976/0000912057-02-012976-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000119312503087930/0001193125-03-087930-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000119312504053989/0001193125-04-053989-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000119312505064876/0001193125-05-064876-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000119312506070041/0001193125-06-070041-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000119312507054672/0001193125-07-054672-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000119312508059055/0001193125-08-059055-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000095013409005380/0000950134-09-005380-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000095012310030913/0000950123-10-030913-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000095012311026955/0000950123-11-026955-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000144530512000904/0001445305-12-000904-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000108352213000006/0001083522-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000108352214000014/0001083522-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000108352215000011/0001083522-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000108352216000081/0001083522-16-000081-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000108352217000023/0001083522-17-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000108352218000006/0001083522-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000108352219000006/0001083522-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000108352220000010/0001083522-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000143774921007037/0001437749-21-007037-index.htm,https://www.sec.gov/Archives/edgar/data/1083522/000143774922006106/0001437749-22-006106-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-1980000,-2900000,-1530000,-810000,1600000,-1700000,-1180000,320000,1330000,1280000,4570000,-11630000,-15240000,-10550000,-6110000,-7150000,-2900000,-1890000,-1540000,-1120000,-183000,-1271000,-2079000,-2778000,-2997000,-1811000
74,Depreciation and Amortization,- -,- -,- -,150000,-139760,-195320,191357,183390,231669,216135,173605,193223,220283,256046,1015445,1060000,811000,379000,230000,286000,227000,206000,23000,15000,13000,123000,316000,136000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1144491,1862111,8000,151000,2000,- -,- -,-2000,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1053000,727000,799000,546000,474000,351000,293000,233000,207000,187000,178000,141000,174000,- -
77,Change in Working Capital,- -,- -,- -,-480000,-1030000,960000,1720000,-800000,-1290000,660000,1830000,1920000,33770000,-7980000,-13810000,-9150000,-390000,-4580000,570000,-296000,-802000,-847000,63000,-876000,939000,6548000,-2637000,1526000,-1259000
78,Accounts Receivable,- -,- -,- -,- -,-139760,-325534,-413414,-446075,- -,- -,- -,- -,- -,- -,- -,2034000,364000,178000,297000,253000,645000,-256000,-553000,-324000,1072000,-197000,-202000,-46000,- -
79,Inventory,- -,- -,- -,- -,-349401,195320,-810184,-547114,-255777,390078,-240736,-1549671,-1143618,-1088854,37179,52000,210000,1252000,-115000,63000,-115000,-324000,-41000,732000,38000,190000,-430000,-63000,- -
80,Accounts Payable,- -,- -,- -,- -,349401,130213,137805,846497,- -,- -,- -,- -,- -,- -,- -,-514000,-165000,-549000,421000,-395000,-11000,507000,416000,-737000,-102000,114000,-508000,824000,- -
81,Other Working Capital,- -,- -,- -,1730000,700000,1660000,3380000,2580000,1290000,1950000,3780000,5700000,39470000,31490000,17680000,8530000,8140000,3560000,4130000,3834000,2568000,1721000,1784000,908000,1847000,8395000,5758000,7284000,6025000
82,Other Non-Cash Items,- -,- -,- -,200000,1903473,-601921,-2779726,602947,54617,1253129,-2022648,-4215223,-34411061,4954782,19251579,7771000,1988000,6045000,725000,-445000,1799000,643000,-207000,491000,95000,-6474000,1614000,-371000,3070000
83,Cash Provided by Operating Activities,- -,- -,- -,-2110000,-2166287,-1367241,-1678369,1586337,-2703714,949264,300957,-772000,859222,656337,-3310865,-14498000,-7263000,-3465000,-5079000,-2881000,-317000,-1245000,-1008000,-346000,-37000,-1704000,-3344000,-1532000,- -
84,CAPEX,- -,- -,- -,-310000,-349401,-260427,-178470,-254171,-132271,-32346,-82386,-167019,-50871,-488150,-317230,-581000,-100000,-32000,-776000,-24000,- -,- -,-34000,-5000,-26000,-77000,-121000,-214000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16318510,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6416565,9045000,890000,376000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,40000,-209641,- -,-21981,-94235,-55909,-30523,-11156,-12176,-42072,-1414138,-313264,- -,-371000,- -,-180000,85000,40000,1000,- -,- -,- -,36000,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-270000,-559042,-260427,-178470,-254171,-188180,-62869,-93542,-179195,-92943,-18220798,5786071,8464000,419000,344000,-956000,61000,40000,1000,-34000,-5000,-26000,-41000,-121000,-214000,- -
90,Debt Repayment,- -,- -,- -,- -,-69880,-65107,-15424,-55003,- -,- -,- -,- -,- -,- -,- -,-156000,-506000,-345000,-17000,-22000,-53000,-2342000,-14000,-2000,- -,-430000,-428000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,2655449,585960,1702655,247201,560900,- -,157244,602521,710137,29301301,1604192,- -,- -,3841000,2185000,2777000,105000,- -,- -,- -,- -,- -,8817000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,3960000,- -,- -,- -,- -,-13333,-16750,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-220000,- -,65107,281913,1165793,-690381,-819580,-98736,366219,-633848,992929,-127463,68000,377000,54000,139000,- -,9000,2998000,1022000,305000,-297000,2783000,28000,329000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,3740000,2585568,585960,1969144,1357991,-142814,-836330,58508,968740,76289,30294230,1476729,-88000,-129000,3550000,2307000,2755000,61000,656000,1008000,303000,-297000,2353000,8417000,329000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,12427,- -,- -,- -,- -,- -,- -,- -,- -,- -,212000,44000,-11000,10000,26000,-19000,-51000,9000,24000,-14000,26000,62000,- -
97,Net Change In Cash,- -,- -,- -,1360000,-69880,585960,124732,2690157,-142814,-836330,265923,17545,842568,12729769,3951935,-6122000,-6761000,473000,-3739000,-55000,-190000,-607000,-85000,-39000,-336000,594000,4978000,-1355000,- -
98,Cash at the End of Period,- -,- -,- -,2351000,1187964,- -,344551,3034708,- -,50065,315988,333533,1176101,13905870,17857805,11736000,4975000,5448000,1709000,1654000,1464000,857000,772000,733000,397000,991000,5969000,4614000,- -
99,Cash at the Beginning of Period,- -,- -,- -,991000,1257844,1106814,219819,344551,3034708,- -,50065,315988,333533,1176101,13905870,17858000,11736000,4975000,5448000,1709000,1654000,1464000,857000,772000,733000,397000,991000,5969000,4614000
100,Free Cash Flow,- -,- -,- -,-2420000,-2515688,-1627668,-1856839,1332166,-2835985,916918,218571,-939019,808351,168187,-3628095,-15079000,-7363000,-3497000,-5855000,-2905000,-317000,-1245000,-1042000,-351000,-63000,-1781000,-3465000,-1746000,- -
