,https://roic.ai/company/PEI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77281/000095011695000545/0000950116-95-000545-index.html,https://www.sec.gov/Archives/edgar/data/77281/000095011696001387/0000950116-96-001387-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77281/000095011601000544/0000950116-01-000544-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77281/000095011605001038/0000950116-05-001038-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000095011606000776/0000950116-06-000776-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000089322007000542/0000893220-07-000542-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000119312508043701/0001193125-08-043701-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000119312509042504/0001193125-09-042504-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000119312510058453/0001193125-10-058453-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000119312511052256/0001193125-11-052256-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000119312512088875/0001193125-12-088875-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000119312513086626/0001193125-13-086626-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000007728114000019/0000077281-14-000019-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000007728115000010/0000077281-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000007728116000093/0000077281-16-000093-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000007728117000012/0000077281-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000007728118000018/0000077281-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000007728119000017/0000077281-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000156459020010906/0001564590-20-010906-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000156459021013558/0001564590-21-013558-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000095017022003786/0000950170-22-003786-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,2152000,1098000,1767561,- -,6135000,3235000,6091000,10258000,13553000,48629000,40340000,21642000,15808000,27925000,9786000,74243000,42327000,21798000,33990000,34230000,40433000,22855000,9803000,15348000,18084000,12211000,43309000,43852000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,18100000,16900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38621000,36424000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,18100000,16900000,- -,2152000,1098000,1767561,- -,6135000,3235000,6091000,10258000,13553000,48629000,40340000,21642000,54429000,64349000,9786000,74243000,42327000,21798000,33990000,34230000,40433000,22855000,9803000,15348000,18084000,12211000,43309000,43852000
34,Net Receivables,- -,- -,- -,- -,- -,- -,1000000,1300000,- -,328000,346000,1079554,- -,3498000,6249000,7508000,10293000,13243000,27675000,31977000,46492000,46065000,49094000,57970000,55303000,40732000,39832000,38473000,46439000,40566000,40324000,39026000,38166000,38914000,41261000,54532000,42501000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,219447000,-32170000,- -,-38621000,-36424000,- -,- -,- -,- -,114622000,- -,- -,126244000,46680000,- -,22307000,12506000,1384000,8780000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,295751000,40147000,68134000,61873000,77019000,67756000,129546000,83059000,61630000,187085000,80669000,80999000,189423000,95509000,53514000,79305000,65978000,99225000,95133000
38,PP&E,- -,- -,- -,- -,22600000,31300000,31200000,31700000,77300000,120546000,153511000,16075900,- -,438277000,492944000,517240000,538036000,602696000,2208185000,2382691000,2647771000,2825477000,2965792000,3191216000,3061004000,2858382000,2732987000,2569612000,2515122000,2224353000,2352242000,2239169000,2188695000,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7156000,7156000,- -,7156000,5662000,5662000,5249000,5249000,5249000,5249000,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181544000,171850000,173594000,139117000,104136000,68296000,31822000,8631000,9921000,8673000,9075000,6452000,22248000,19746000,17693000,17868000,- -,11392000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181544000,171850000,173594000,139117000,104136000,68296000,38978000,15787000,9921000,8673000,9075000,6452000,22248000,19746000,17693000,17868000,13404000,11392000,10054000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25361000,13109000,27244000,41536000,38621000,36424000,36164000,32694000,30959000,16009000,14855000,15963000,140882000,161029000,168608000,216823000,131124000,159993000,27066000,16525000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13109000,-2409935000,-2689307000,-2864098000,-3002216000,-3227380000,84358000,91930000,89707000,97399000,97752000,87017000,81574000,93800000,112046000,2176817000,2111892000,2039503000,1930024000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2389729000,171850000,173594000,139117000,104136000,68296000,3217034000,2997058000,2848624000,2690539000,2637912000,2458704000,2617093000,2521323000,2535257000,2325809000,2285289000,2077961000,1956603000
46,Other Assets,80400000,76100000,73500000,70600000,67400000,68500000,57700000,66200000,107900000,142495000,181336000,23551787,- -,481615000,547590000,576570000,602628000,703663000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,80400000,76100000,73500000,70600000,67400000,68500000,57700000,66200000,107900000,142495000,181336000,23551787,- -,481615000,547590000,576570000,602628000,703663000,2685480000,211997000,241728000,200990000,181155000,136052000,3346580000,3080117000,2910254000,2877624000,2718581000,2539703000,2806516000,2616832000,2588771000,2405114000,2351267000,2177186000,2051736000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,641500000,656000000,2225539000,136051000,- -,130000000,- -,65000000,147000000,53000000,65000000,255000000,- -,54549000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50200000,46400000,- -,176500000,140600000,160600000,160400000,195900000,270600000,254700000,327100000,284700000,232100000,-403500000,131809000,-2092074000,10455000,239739000,140739000,138988000,214004000,132742000,159472000,179958000,194932000,225079000,161113000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51400000,46400000,- -,177500000,140600000,160600000,160400000,195900000,270600000,254700000,327100000,284700000,232100000,238000000,787809000,133465000,146506000,239739000,270739000,138988000,279004000,279742000,212472000,244958000,449932000,225079000,215662000
54,Long-Term Debt,29900000,13600000,12100000,10600000,200000,- -,8800000,10800000,51400000,80155000,122518000,22488686,- -,167003000,273634000,272096000,261873000,319751000,1221181000,1201214000,1714632000,1932719000,1986942000,1930296000,1909357000,2225539000,2162432000,1900052000,1502650000,1537947000,1725495000,1619902000,1603842000,1595195000,1447778000,1792976000,1810420000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17896000,15541000,14631000,13262000,11446000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44318000,62311314,- -,-3000,-34000,4000,27000,49000,170019000,270986000,-32000,-1119000,287458000,641504000,14610000,16583000,13278000,24604000,844000,2490000,2756000,1520000,20000,18410000,26132000,32191000,18607000
58,Total Non-Current Liabilities,29900000,13600000,12100000,10600000,200000,- -,8800000,10800000,51400000,80155000,78200000,84800000,- -,167000000,273600000,272100000,261900000,319800000,1391200000,1472200000,1714600000,1931600000,2274400000,2571800000,1923967000,2242122000,2175710000,1924656000,1521390000,1555978000,1742882000,1634684000,1615308000,1613605000,1473910000,1825167000,1829027000
59,Other Liabilities,62900000,29900000,26300000,23500000,12400000,17100000,20100000,24000000,107100000,165494000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,33000000,16300000,14200000,12900000,12200000,17100000,11300000,13200000,55700000,85339000,129037000,25146347,- -,316488000,381689000,402898000,385575000,483178000,1549194000,1594968000,1923351000,2101946000,2451199000,2757435000,2711776000,2375587000,2322216000,2164395000,1792129000,1694966000,2021886000,1914426000,1827780000,1858563000,1923842000,2050246000,2044689000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000,25000,25000,25000,- -,- -,- -,- -,- -,81000,81000,81000,81000,81000,154000,154000,154000,154000,154000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,8670000,8676000,- -,- -,13300000,13338000,13628000,15876000,16697000,35544000,36272000,36521000,36947000,39134000,39469000,44616000,55436000,55677000,56331000,68293000,68801000,69197000,69553000,69983000,70495000,77550000,79537000,80200000
64,Retained Earnings,12000000,10100000,6800000,4900000,- -,- -,-5700000,-8100000,-9500000,-4961000,-10038000,- -,- -,-21321000,-25623000,-19027000,-29083000,-38574000,115822000,78221000,36514000,-32887000,-93513000,-193638000,-317682000,-401193000,-524738000,-608634000,-636939000,-721605000,-912221000,-997789000,-1117290000,-1306318000,-1408352000,-1699638000,-1832375000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33735000,-38828000,-12587778,- -,-71129000,-84577000,-95026000,-112424000,-136733000,-78416000,-150885000,4000000,8000000,-7000000,-45000000,-30000000,-40000000,-34000000,-21000000,-7000000,-6000000,-4000000,2000000,7000000,5000000,-13000000,-20620000,-8830000
66,Other Total Stockholders Equity,35400000,49700000,52500000,52800000,55200000,51400000,52100000,61100000,61400000,86774000,91961000,59087778,- -,216232000,230274000,244331000,305916000,346623000,950659000,1040833000,899816000,917215000,818998000,833685000,881719000,1040030000,1047388000,1247863000,1467823000,1474181000,1476204000,1481409000,1664192000,1671450000,1767327000,1771777000,1777013000
67,Total Stockholders Equity,47400000,59800000,59300000,57700000,55200000,51400000,46400000,53000000,51900000,56748000,51771000,46500000,- -,137082000,133412000,143906000,180285000,188013000,1023634000,1004466000,976876000,929300000,757619000,634516000,578653000,654273000,544327000,674641000,892258000,815458000,629261000,555254000,624039000,440781000,423679000,131210000,16162000
68,Total Liabilities And Stockholders Equity,80400000,76100000,73500000,70600000,67400000,68500000,57700000,66200000,107600000,142087000,180808000,71646347,- -,453570000,515101000,546804000,565860000,671191000,2572828000,2599434000,2900227000,3031246000,3208818000,3391951000,3290429000,3029860000,2866543000,2839036000,2684387000,2510424000,2651147000,2469680000,2451819000,2299344000,2347521000,2181456000,2060851000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,300000,408000,528000,-48094560,- -,28045000,32489000,29766000,36768000,32472000,112652000,-2387437000,-2658499000,-2830256000,-3027663000,-3255899000,56151000,50257000,43711000,38588000,34194000,29279000,155369000,147152000,136952000,105770000,3746000,-4270000,-9115000
70,Total Liabilities & Equity,80400000,76100000,73500000,70600000,67400000,68500000,57700000,66200000,107900000,142495000,181336000,23551787,- -,481615000,547590000,576570000,602628000,703663000,2685480000,211997000,241728000,200990000,181155000,136052000,3346580000,3080117000,2910254000,2877624000,2718581000,2539703000,2806516000,2616832000,2588771000,2405114000,2351267000,2177186000,2051736000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77281/000095011695000545/0000950116-95-000545-index.html,https://www.sec.gov/Archives/edgar/data/77281/000095011696001387/0000950116-96-001387-index.html,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/77281/000095011601000544/0000950116-01-000544-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77281/000095011605001038/0000950116-05-001038-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000095011606000776/0000950116-06-000776-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000089322007000542/0000893220-07-000542-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000119312508043701/0001193125-08-043701-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000119312509042504/0001193125-09-042504-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000119312510058453/0001193125-10-058453-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000119312511052256/0001193125-11-052256-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000119312512088875/0001193125-12-088875-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000119312513086626/0001193125-13-086626-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000007728114000019/0000077281-14-000019-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000007728115000010/0000077281-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000007728116000093/0000077281-16-000093-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000007728117000012/0000077281-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000007728118000018/0000077281-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000007728119000017/0000077281-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000156459020010906/0001564590-20-010906-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000156459021013558/0001564590-21-013558-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000095017022003786/0000950170-22-003786-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,10800000,10100000,10400000,8700000,14000000,20687000,11225000,6914908,10235000,23185000,20739000,32254000,19789000,23678000,196040000,53788000,57629000,28021000,23161000,-10380000,-85738000,-51927000,-90161000,-40837000,35859000,-13830000,-116683000,-11348000,-29344000,-110329000,-10872000,-259517000,-132737000
74,Depreciation and Amortization,- -,- -,- -,- -,1700000,1800000,2000000,2100000,2800000,3541000,5286000,1147417,6259000,9406000,14223000,16155000,19130000,21411000,39962000,100680000,98109000,115310000,122298000,146903000,174973000,174629000,146398000,144155000,146065000,144600000,145254000,129407000,131498000,136198000,142763000,130880000,119964000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1810000,-2494000,-2508000,-1589000,-1768000,-1768000,-829000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,-51400000,5000000,-131100000,36900000,-20000000,200000,-35500000,221051000,-239704000,-44413000,36139000,67746000,-15163000,-488019000,607857000,-34470000,32222000,-137416000,132081000,-31592000,-94652000,25275000,-6695000,-218301000,258100000,20928000
78,Accounts Receivable,- -,- -,- -,- -,500000,-500000,-600000,- -,300000,500000,400000,-200000,- -,-2700000,-7600000,-2750000,-5615000,-19078000,-14669000,-11244000,-10831000,-3120000,-4448000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,100000,- -,900000,1600000,300000,-100000,-500000,6900000,500000,1637000,5253000,2612000,10893000,-5898000,-5617000,16027000,7514000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
