,https://roic.ai/company/RDNT,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/790526/000101968708001442/0001019687-08-001442-index.html,https://www.sec.gov/Archives/edgar/data/790526/000101968709000850/0001019687-09-000850-index.html,https://www.sec.gov/Archives/edgar/data/790526/000114420410013494/0001144204-10-013494-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000101968711000837/0001019687-11-000837-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000101968712000931/0001019687-12-000931-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000101968713000862/0001019687-13-000862-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000101968714000870/0001019687-14-000870-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000101968715000986/0001019687-15-000986-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000101968716005474/0001019687-16-005474-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000168316817000586/0001683168-17-000586-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000168316818000705/0001683168-18-000705-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000162828019003087/0001628280-19-003087-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000079052620000003/0000790526-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000079052621000009/0000790526-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000079052622000006/0000790526-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3928832,151870,129517,59495,- -,36092,40000,36000,30000,1000,2000,2000,18000,- -,10094000,627000,2455000,362000,8412000,307000,446000,20638000,51322000,10389000,40165000,102018000,134606000
32,Short-Term Investments,1956707,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34528000,- -
33,Cash and Short-Term Investments,5885539,151870,129517,59495,- -,36092,40000,36000,30000,1000,2000,2000,18000,- -,10094000,627000,2455000,362000,8412000,307000,446000,20638000,51322000,10389000,40165000,136546000,134606000
34,Net Receivables,16098824,20383890,20073510,15627602,17300000,22486422,28897000,30904000,25652000,20995000,22795000,29084000,87390000,96200000,87825000,96094000,128432000,129194000,133599000,149796000,167658000,166638000,157861000,149514000,156005000,135421000,135062000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,569323,826826,765467,1940230,1700000,1075384,6657000,3618000,2092000,1858000,1799000,3603000,10273000,12370000,9990000,14304000,21440000,26344000,34333000,41917000,62418000,30638000,26168000,48787000,47045000,-1543000,54596000
37,Total Current Assets,22553686,21362586,20968494,17627327,19000000,23597898,35594000,34558000,27774000,22854000,24596000,32689000,97681000,108570000,107909000,111025000,152327000,155900000,176344000,192020000,230522000,217914000,235351000,208690000,243215000,270424000,324264000
38,PP&E,17270032,38737846,33401161,26970584,37700000,44358216,65368000,87875000,81886000,77333000,68107000,64566000,164097000,193104000,182571000,194230000,215527000,216560000,218547000,223127000,256722000,247725000,244301000,345729000,812223000,882996000,1068538000
39,Goodwill,15382944,31821606,20168729,11313907,- -,- -,- -,23064000,- -,- -,- -,23099000,84395000,105278000,106502000,143353000,159507000,193871000,196395000,200304000,239408000,239553000,256776000,418093000,440981000,472879000,513820000
40,Intangible Assets,- -,- -,- -,- -,10600000,19337869,24064000,- -,23064000,25396000,27263000,4738000,58908000,56861000,54313000,57348000,53105000,51628000,50044000,47658000,45275000,42650000,40350000,41400000,42994000,52393000,56603000
41,Intangible Assets,15382944,31821606,20168729,11313907,10600000,19337869,24064000,23064000,23064000,25396000,27263000,27837000,143303000,162139000,160815000,200701000,212612000,245499000,246439000,247962000,284683000,282203000,297126000,459493000,483975000,525272000,570423000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18741000,15444000,22326000,28598000,28949000,32123000,33584000,43509000,52435000,37973000,34470000,34528000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,5235000,- -,- -,- -,- -,- -,- -,- -,- -,52790000,39914000,35334000,24685000,50356000,30852000,31506000,34548000,34687000,14853000
44,Other Non-Current Assets,11553042,14009134,11801539,6744596,4900000,3331112,3403000,6142000,4076000,1868000,1267000,6274000,28539000,31759000,10635000,18114000,16396000,15726000,12383000,10114000,8239000,7737000,8842000,25939000,38555000,38750000,-909540000
45,Total Non-Current Assets,44206018,84568586,65371429,45029087,53200000,67027197,92835000,117081000,114261000,104597000,96637000,98677000,335939000,387002000,372762000,428489000,466861000,559173000,546232000,548660000,607913000,631530000,633556000,900640000,1403771000,1516233000,744274000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,66759704,105931172,86339923,62656414,72200000,90625095,128429000,151639000,142035000,127451000,121233000,131366000,433620000,495572000,480671000,539514000,619188000,715073000,722576000,740680000,838435000,849444000,868907000,1109330000,1646986000,1786657000,1068538000
48,Accounts Payable,1918337,5743410,4010861,5747988,15100000,15415538,19361000,20871000,24462000,22852000,22469000,25951000,59965000,26071000,17717000,24659000,29984000,39177000,36962000,46855000,52296000,40952000,28538000,68040000,64300000,70071000,- -
49,Short-Term Debt,- -,28451339,20660853,26118421,41700000,50737986,39291000,37451000,45074000,29638000,128791000,3572000,12991000,20565000,6927000,8218000,6608000,4703000,3103000,19468000,23076000,22031000,30224000,33653000,39691000,39791000,130904000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2313000,2075000,1273000,1344000,1964000,1598000,1516000,2606000,2398000,1316000,39257000,10701000
52,Other Current Liabilities,24972787,9794486,8323813,5952170,200000,2032182,3929000,20904000,2853000,2536000,16766000,1349000,1545000,59972000,74061000,70074000,83713000,73460000,76980000,64987000,80682000,90842000,130238000,135426000,222121000,248995000,233179000
53,Total Current Liabilities,26891124,43989235,32995527,37818579,57000000,68185706,62581000,79226000,72389000,55026000,168026000,30872000,74501000,106608000,98705000,105264000,122380000,118613000,118389000,133274000,157652000,155341000,191606000,239517000,327428000,398114000,374784000
54,Long-Term Debt,54087703,85464272,76843212,79281550,77500000,82571680,108202000,121136000,120675000,139651000,23809000,178344000,386286000,421477000,416699000,481578000,542046000,570009000,572669000,566359000,601229000,609445000,572365000,626507000,652704000,612913000,577675000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8920000,10379000,12407000,15850000,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,277000,277000,277000,277000,277000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,240000,1500000,281781,2146000,694000,1421000,329000,31000,944000,42180000,48240000,30831000,24489000,11885000,12648000,29308000,33349000,43093000,32637000,35083000,43053000,433715000,517327000,759858000
58,Total Non-Current Liabilities,54087703,85464272,76843212,79521550,79000000,82853461,110348000,121830000,122096000,139980000,23840000,179288000,428743000,469994000,456727000,516723000,566615000,598507000,601977000,599708000,644322000,642082000,607448000,669560000,1086419000,1130240000,1337533000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3889000,22527000,24238000,27689000,14778000,10172000,7695000,5854000,11780000,16423000,7256000,6538000,12119000,488675000,532211000,- -
61,Total Liabilities,80978827,129453507,109838739,117340129,136000000,151039167,172929000,201056000,194485000,195006000,191866000,210160000,503244000,576602000,555432000,621987000,688995000,717120000,720366000,732982000,801974000,797423000,799054000,909077000,1413847000,1528354000,1712317000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,402307,402322,404322,407572,- -,409577,425000,429000,430000,430000,433000,460000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,5000,5000,5000,5000,5000
64,Retained Earnings,-115043938,-123405034,-124153129,-153474961,- -,-159932151,-145432000,-150983000,-153250000,-167826000,-170961000,-181304000,-214886000,-227722000,-229989000,-242841000,-235610000,-171093000,-173656000,-172280000,-164571000,-150211000,-150158000,-117915000,-103159000,-117999000,-93272000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-27704491,-27704000,-45804000,-55991000,-72039000,-86787000,- -,-5000000,-6000000,-2000000,-2000000,-1000000,-365510000,-401317000,-437415000,-471284000,-529648000,-1000000,2000000,-8000000,-24051000,-20421000
66,Other Total Stockholders Equity,99399165,98141398,98819203,97707560,- -,126314189,127069000,145437000,155724000,171880000,186682000,- -,150052000,152610000,157170000,162307000,165850000,533964000,574889000,615053000,668428000,728341000,212713000,243094000,262839000,307788000,459845000
67,Total Stockholders Equity,-15242466,-24861314,-24929604,-55359829,-64200000,-60912876,-45642000,-50921000,-53087000,-67555000,-70633000,-78794000,-69830000,-81108000,-74815000,-82530000,-70756000,-2635000,-80000,5362000,32577000,48486000,61560000,127184000,151685000,165743000,346157000
68,Total Liabilities And Stockholders Equity,65736361,104592193,84909135,61980300,71800000,90126291,127287000,150135000,141398000,127451000,121233000,131366000,433414000,495494000,480617000,539457000,618239000,714485000,720286000,738344000,834551000,845909000,860614000,1036261000,1565532000,1694097000,2058474000
69,Minority Interest,1023343,1338979,1430788,676114,400000,498804,1142000,1504000,637000,- -,- -,- -,206000,78000,54000,57000,949000,588000,2290000,2336000,3884000,3535000,8293000,73069000,81454000,92560000,-989936000
70,Total Liabilities & Equity,66759704,105931172,86339923,62656414,72200000,90625095,128429000,151639000,142035000,127451000,121233000,131366000,433620000,495572000,480671000,539514000,619188000,715073000,722576000,740680000,838435000,849444000,868907000,1109330000,1646986000,1786657000,1068538000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/790526/000101968708001442/0001019687-08-001442-index.html,https://www.sec.gov/Archives/edgar/data/790526/000101968709000850/0001019687-09-000850-index.html,https://www.sec.gov/Archives/edgar/data/790526/000114420410013494/0001144204-10-013494-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000101968711000837/0001019687-11-000837-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000101968712000931/0001019687-12-000931-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000101968713000862/0001019687-13-000862-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000101968714000870/0001019687-14-000870-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000101968715000986/0001019687-15-000986-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000101968716005474/0001019687-16-005474-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000168316817000586/0001683168-17-000586-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000168316818000705/0001683168-18-000705-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000162828019003087/0001628280-19-003087-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000079052620000003/0000790526-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000079052621000009/0000790526-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000079052622000006/0000790526-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-61428779,-8361096,-748095,-29321832,-9000000,2614031,14501000,-5551000,-2267000,-14576000,-3135000,-6894000,-18131000,-12836000,-2267000,-12852000,7231000,64517000,2120000,1376000,7709000,7230000,53000,32243000,14756000,-14840000,44319000
74,Depreciation and Amortization,8625336,6040256,8783419,8642584,7500000,8772590,10705000,15309000,16937000,17762000,16937000,16394000,45281000,53548000,53800000,53997000,57481000,57740000,58890000,59258000,60611000,66610000,66796000,72899000,147449000,154710000,170661000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,5235000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-611000,19834000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3607000,3718000,3110000,2736000,2574000,2500000,7647000,5826000,6787000,7662000,8730000,12405000,25203000
77,Change in Working Capital,-2971317,-18289211,10599616,-8164219,-17808748,-6587808,17600808,-17681000,53000,12443000,-111258000,145247000,21363000,-21218000,7242000,-3443000,24186000,7340000,20668000,791000,14124000,-10297000,-18828000,-74572000,-53386000,-43477000,77170000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24432000,-35985000,-57354000,-17350000,-31531000,-43973000,-34514000,-47055000,-37164000,2145000,-17482000,25206000,-5890000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45069000,9915000
81,Other Working Capital,-4337438,-22626649,-12027033,-20191252,-38000000,-44587808,-26987000,-44668000,-44615000,-32172000,-143430000,1817000,23180000,1962000,9204000,5761000,29947000,37287000,57955000,58746000,72870000,62573000,43745000,-30827000,-84213000,-127690000,-50520000
82,Other Non-Cash Items,67658756,19637032,-21504452,27356772,20408748,3307852,-29220808,21619000,5548000,-3810000,119458000,-144496000,-19312000,25707000,14236000,25464000,-34372000,-57064000,-17830000,-2921000,-23054000,22272000,87417000,78522000,-13227000,125572000,-187696000
83,Cash Provided by Operating Activities,11883996,-973019,-2869512,-1486695,1100000,8106665,13586000,13696000,20271000,17054000,22002000,10251000,29201000,45201000,76618000,66884000,57636000,75269000,66422000,61004000,67037000,91641000,142225000,116754000,104322000,233759000,149491000
84,CAPEX,-592707,-682472,-3098179,-3089632,-6800000,-4558698,-7469000,-7815000,-3069000,-3774000,-3069000,-9452000,-45672000,-58058000,-36837000,-102067000,-85710000,-89941000,-55846000,-51168000,-133756000,-65892000,-88948000,-145372000,-101303000,-125437000,-137874000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4092000,-17000000,-29000000,-6000000,-62000000,-43000000,-45000000,-9000000,-9000000,-55000000,-7000000,-19000000,-73000000,-27000000,- -,- -
86,Purchases of Investments,-2478707,- -,-30000,-235000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-938000,-315000,- -,-5094000,-2756000,-2009000,-3562000,-265000,-1374000,-500000,-2200000,-143000,- -,- -
87,Sales/Maturities of Investments,522000,3935958,- -,3202142,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,2640000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1076096,-1688410,23869575,1405097,900000,1264500,4636000,1639000,1367000,-35000,1367000,47000,16808000,31961000,6869000,62685000,46065000,48849000,13555000,10088000,92225000,8776000,29128000,73823000,28981000,-807000,-83637000
89,Cash Used for Investing Activites,-3625510,1565076,20741396,1282607,-5900000,-3294198,-2833000,-6176000,-1702000,-3809000,-1702000,-13497000,-45864000,-56035000,-36283000,-101382000,-87739000,-87048000,-50660000,-53642000,-96796000,-65490000,-79320000,-146749000,-99465000,-126244000,-221511000
90,Debt Repayment,-8268319,-7515599,-19725138,-9562279,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23660000,-433463000,-18756000,-325098000,-42764000,-235257000,-48800000,-480966000,-404302000,-216202000,-336436000,-297758000,-3302000
91,Common Stock Issued,2000,- -,- -,30750,- -,- -,97000,82000,28000,- -,28000,1497000,958000,473000,16000,- -,- -,- -,- -,- -,- -,150000,- -,- -,- -,- -,488000
92,Common Stock Repurchased,- -,-481727,-133220,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1577000,-6260000
94,Other Financing Activites,-1712565,3628307,1964121,9665595,4800000,-4779013,-10846000,-7606000,-18603000,-13274000,-20334000,1749000,12502000,10343000,-6597000,458505000,50689000,334721000,35141000,219852000,78739000,474906000,372055000,205333000,361387000,250620000,113747000
95,Cash Used/Provided by Financing Activities,-9978884,-4369019,-17894237,134066,4700000,-4779013,-10749000,-7524000,-18575000,-13274000,-20306000,3246000,13460000,10816000,-30241000,25042000,31933000,9623000,-7623000,-15405000,29939000,-5910000,-32247000,-10869000,24951000,-45561000,104673000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11000,-2000,63000,-89000,-62000,-41000,-49000,26000,-69000,-32000,-101000,-65000
97,Net Change In Cash,-1720398,-3776962,-22353,-70022,- -,33454,4000,-4000,-6000,-29000,-6000,- -,-3203000,- -,- -,-9467000,1828000,-2093000,8050000,-8105000,139000,20192000,30684000,-40933000,29776000,61853000,32588000
98,Cash at the End of Period,3928832,151870,129517,59495,- -,36092,40000,36000,30000,1000,30000,2000,18000,- -,10094000,627000,2455000,362000,8412000,307000,446000,20638000,51322000,10389000,40165000,102018000,134606000
99,Cash at the Beginning of Period,5649230,3928832,151870,129517,100000,2638,36000,40000,36000,30000,36000,2000,3221000,18000,- -,10094000,627000,2455000,362000,8412000,307000,446000,20638000,51322000,10389000,40165000,- -
100,Free Cash Flow,11291289,-1655491,-5967691,-4576327,-5700000,3547967,6117000,5881000,17202000,13280000,18933000,799000,-16471000,-12857000,39781000,-35183000,-28074000,-14672000,10576000,9836000,-66719000,25749000,53277000,-28618000,3019000,108322000,11617000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/790526/000101968708001442/0001019687-08-001442-index.html,https://www.sec.gov/Archives/edgar/data/790526/000101968709000850/0001019687-09-000850-index.html,https://www.sec.gov/Archives/edgar/data/790526/000114420410013494/0001144204-10-013494-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000101968711000837/0001019687-11-000837-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000101968712000931/0001019687-12-000931-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000101968713000862/0001019687-13-000862-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000101968714000870/0001019687-14-000870-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000101968715000986/0001019687-15-000986-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000101968716005474/0001019687-16-005474-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000168316817000586/0001683168-17-000586-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000168316818000705/0001683168-18-000705-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000162828019003087/0001628280-19-003087-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000079052620000003/0000790526-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000079052621000009/0000790526-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000079052622000006/0000790526-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
