,https://roic.ai/company/LECO,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,10400000,10100000,40500000,46600000,39100000,8700000,11319000,23493000,176076000,170510000,92819000,108007000,120212000,217382000,284332000,388136000,366193000,361101000,286464000,299825000,278379000,304183000,379179000,326701000,358849000,199563000,257279000,192958000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,4881000,4996000,50500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,179125000,- -,- -,- -,- -
33,Cash and Short-Term Investments,10400000,10100000,40500000,46600000,39100000,8700000,11319000,23493000,180957000,175506000,143319000,108007000,120212000,217382000,284332000,388136000,366193000,361101000,286464000,299825000,278379000,304183000,379179000,505826000,358849000,199563000,257279000,192958000
34,Net Receivables,126000000,140800000,151300000,163400000,167800000,170000000,153253000,154094000,153623000,167592000,219496000,242093000,298993000,344058000,299171000,273700000,321948000,386197000,360662000,367134000,321862000,264715000,273993000,395279000,396885000,374649000,373487000,429074000
35,Inventory,155300000,182900000,170700000,178600000,186300000,191600000,184173000,164503000,164674000,173709000,236275000,275745000,351144000,343849000,346932000,255743000,291730000,373238000,364890000,349963000,330840000,275930000,255406000,348667000,361829000,393748000,381258000,539919000
36,Other Current Assets,21700000,23300000,20700000,44900000,43600000,56300000,67337000,42244000,24791000,38600000,38510000,50789000,59061000,64359000,94291000,105967000,102641000,98734000,120800000,113853000,167596000,91167000,135135000,123836000,120236000,107621000,100319000,127642000
37,Total Current Assets,313400000,357100000,383200000,433500000,436800000,426600000,416082000,384334000,524045000,555407000,637600000,676634000,829410000,969648000,1024726000,1023546000,1082512000,1219270000,1132816000,1130775000,1098677000,935995000,1043713000,1373608000,1237799000,1075581000,1112343000,1289593000
38,PP&E,184200000,205600000,201200000,202000000,259800000,270800000,269013000,270971000,271853000,282335000,316116000,340533000,389518000,429944000,427902000,460061000,478566000,470451000,486236000,484005000,437209000,411323000,372377000,477031000,478801000,529344000,522092000,511744000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35208000,42727000,36187000,39554000,45952000,65101000,132903000,174715000,179517000,187504000,231919000,234582000,281294000,337107000,335593000,430162000
40,Intangible Assets,39200000,39200000,37400000,34800000,35700000,33300000,41173000,40416000,16849000,16940000,28472000,64828000,41504000,51194000,65262000,81774000,81258000,94471000,132902000,147012000,132361000,120719000,130088000,127452000,147946000,177798000,134451000,149393000
41,Intangible Assets,39200000,39200000,37400000,34800000,35700000,33300000,41173000,40416000,16849000,16940000,28472000,64828000,76712000,93921000,101449000,121328000,127210000,159572000,265805000,321727000,311878000,308223000,362007000,362034000,429240000,514905000,470044000,579555000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92201000,51976000,52712000,54794000,55793000,59381000,58600000,59334000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,17858000,7279000,1084000,- -,- -,- -,47397000,26326000,22161000,57568000,44639000,3556000,2940000,8683000,8424000,15937000,20395000,14275000,16959000,18318000
44,Other Non-Current Assets,20100000,15900000,25400000,41900000,50600000,44700000,64011000,85590000,70664000,66905000,75892000,79166000,98939000,151783000,25130000,22055000,20627000,15121000,104574000,152423000,29911000,60613000,156916000,177937000,183590000,237108000,193015000,193097000
45,Total Non-Current Assets,243500000,260700000,264000000,278700000,346100000,348800000,374197000,396977000,377224000,373459000,421564000,484527000,565169000,675648000,694079000,681746000,701276000,757506000,957047000,1021092000,840538000,848176000,899724000,1032939000,1112026000,1295632000,1202110000,1302714000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,556900000,617800000,647200000,712200000,782900000,775400000,790279000,781311000,901269000,928866000,1059164000,1161161000,1394579000,1645296000,1718805000,1705292000,1783788000,1976776000,2089863000,2151867000,1939215000,1784171000,1943437000,2406547000,2349825000,2371213000,2314453000,2592307000
48,Accounts Payable,54800000,53900000,58200000,52500000,60500000,64500000,62736000,67569000,63894000,77301000,111154000,121917000,142264000,152301000,124388000,100052000,147111000,176312000,209647000,212799000,202482000,152620000,176757000,269763000,268600000,273002000,256530000,330230000
49,Short-Term Debt,18100000,29800000,13100000,11900000,13900000,27900000,55142000,13434000,14378000,4327000,3443000,8163000,47134000,905000,50693000,35867000,13078000,101418000,18676000,15296000,68166000,4278000,1889000,2131000,111000,34969000,2734000,52730000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13305000,22430000,21760000,21964000,45505000,46109000,18626000,16599000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26335000,24319000,26468000,16112000,21238000,19683000,17023000,- -,- -,- -
52,Other Current Liabilities,71200000,84900000,98200000,120100000,120700000,124000000,130470000,119782000,113344000,131456000,148431000,163562000,148890000,158715000,181561000,162052000,175403000,193312000,185609000,204503000,195303000,197112000,188223000,237165000,252448000,255164000,290185000,372945000
53,Total Current Liabilities,144100000,168600000,169500000,184500000,195100000,216400000,248348000,200785000,191616000,213084000,263028000,293642000,338288000,311921000,356642000,297971000,335592000,471042000,440267000,456917000,492419000,370122000,388107000,528742000,538182000,563135000,549449000,755905000
54,Long-Term Debt,194800000,93600000,64100000,54400000,46800000,47200000,38550000,24181000,174146000,169030000,163931000,157853000,113965000,117329000,91537000,87850000,84627000,1960000,1599000,3791000,2488000,350347000,703704000,704136000,702549000,712302000,715456000,717089000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,6600000,7100000,3600000,11000000,23200000,28800000,28963000,31751000,1070000,21841000,18227000,17752000,27061000,36874000,8553000,16679000,19766000,17606000,8349000,48103000,40761000,46662000,41617000,40716000,45985000,64286000,46742000,56718000
57,Other Non-Current Liabilities,10500000,13100000,18200000,25100000,26900000,31500000,27117000,25896000,105284000,46403000,36701000,39620000,62289000,91952000,266761000,217117000,194325000,292926000,281327000,112368000,117766000,84592000,97803000,200500000,175517000,212413000,212556000,198686000
58,Total Non-Current Liabilities,211900000,113800000,85900000,90500000,96900000,107500000,94630000,81828000,280500000,237274000,218859000,215225000,203315000,246155000,366851000,321646000,298718000,312492000,291275000,164262000,161015000,481601000,843124000,945352000,924051000,989001000,974754000,972493000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,356000000,282400000,255400000,275000000,292000000,323900000,342978000,282613000,472116000,450358000,481887000,508867000,541603000,558076000,723493000,619617000,634310000,783534000,731542000,621179000,653434000,851723000,1231231000,1474094000,1462233000,1552136000,1524203000,1728398000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,4900000,4928000,4928000,4928000,4928000,4928000,4928000,4929000,4929000,- -,- -,- -,- -,9858000,9858000,9858000,9858000,9858000,9858000,9858000,9858000,9858000,9858000
64,Retained Earnings,177000000,228600000,290300000,359600000,432300000,483500000,537271000,594701000,597495000,623898000,673010000,764748000,906074000,1068100000,1236810000,1239004000,1320552000,1484393000,1682668000,1908462000,2086174000,2125838000,2236071000,2388219000,2564440000,2736481000,2821359000,2970303000
65,Other Comprehensive Income/Loss,-260300000,-285000000,-260800000,-269900000,-291500000,-279600000,-290685000,-311294000,-132350000,-77277000,-58678000,-91276000,-54653000,15841000,-218158000,-149404000,-141948000,-247881000,-235400000,-151941000,-288622000,-296267000,-329037000,-247186000,-293739000,-275850000,-302190000,-257386000
66,Other Total Stockholders Equity,284200000,391800000,362300000,347500000,350100000,242700000,195787000,210363000,-40920000,-73041000,-41983000,-26106000,-3374000,-1650000,- -,- -,- -,- -,-114753000,-239777000,-524861000,-907842000,-1205415000,-1219254000,-1393617000,-1652317000,-1739756000,-1858673000
67,Total Stockholders Equity,200900000,335400000,391800000,437200000,490900000,451500000,447301000,498698000,429153000,478508000,577277000,652294000,852976000,1087220000,995312000,1072346000,1133497000,1176946000,1342373000,1526602000,1282549000,931587000,711477000,931637000,886942000,818172000,789271000,864102000
68,Total Liabilities And Stockholders Equity,556900000,617800000,647200000,712200000,782900000,775400000,790279000,781311000,901269000,928866000,1059164000,1161161000,1394579000,1645296000,1718805000,1691963000,1767807000,1960480000,2073915000,2147781000,1935983000,1783310000,1942708000,2405731000,2349175000,2370308000,2313474000,2592500000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13329000,15981000,16296000,15948000,4086000,3232000,861000,729000,816000,650000,905000,979000,-193000
70,Total Liabilities & Equity,556900000,617800000,647200000,712200000,782900000,775400000,790279000,781311000,901269000,928866000,1059164000,1161161000,1394579000,1645296000,1718805000,1705292000,1783788000,1976776000,2089863000,2151867000,1939215000,1784171000,1943437000,2406547000,2349825000,2371213000,2314453000,2592307000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/59527/000095015295000553/0000950152-95-000553-index.html,https://www.sec.gov/Archives/edgar/data/59527/000095015296001115/0000950152-96-001115-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/59527/000095015203001920/0000950152-03-001920-index.htm,https://www.sec.gov/Archives/edgar/data/59527/000095015204001042/0000950152-04-001042-index.htm,https://www.sec.gov/Archives/edgar/data/59527/000095015205001734/0000950152-05-001734-index.htm,https://www.sec.gov/Archives/edgar/data/59527/000095015206001416/0000950152-06-001416-index.htm,https://www.sec.gov/Archives/edgar/data/59527/000095015207001388/0000950152-07-001388-index.htm,https://www.sec.gov/Archives/edgar/data/59527/000095015208001375/0000950152-08-001375-index.htm,https://www.sec.gov/Archives/edgar/data/59527/000095015209001706/0000950152-09-001706-index.htm,https://www.sec.gov/Archives/edgar/data/59527/000119312510035769/0001193125-10-035769-index.htm,https://www.sec.gov/Archives/edgar/data/59527/000104746911001516/0001047469-11-001516-index.htm,https://www.sec.gov/Archives/edgar/data/59527/000104746912001433/0001047469-12-001433-index.htm,https://www.sec.gov/Archives/edgar/data/59527/000144530513000291/0001445305-13-000291-index.htm,https://www.sec.gov/Archives/edgar/data/59527/000005952714000007/0000059527-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/59527/000005952715000006/0000059527-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/59527/000005952716000036/0000059527-16-000036-index.htm,https://www.sec.gov/Archives/edgar/data/59527/000005952717000006/0000059527-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/59527/000005952718000006/0000059527-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/59527/000005952719000008/0000059527-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/59527/000005952720000007/0000059527-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/59527/000005952721000008/0000059527-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/59527/000005952722000006/0000059527-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,48000000,61500000,74300000,85400000,93700000,73900000,78092000,83589000,29275000,54542000,80596000,122306000,175008000,202736000,212286000,48576000,130244000,217186000,257411000,293780000,254686000,127478000,198399000,247503000,287066000,293109000,206115000,276466000
74,Depreciation and Amortization,28000000,29700000,29500000,28400000,28100000,29100000,34712000,36205000,37040000,37650000,42299000,41865000,45708000,51489000,56925000,56598000,57357000,83805000,65334000,68883000,69607000,64007000,65073000,68115000,72346000,81487000,80492000,81146000
75,Deferred Income Tax,31900000,2800000,-3100000,1000000,10200000,900000,-2286000,16516000,9021000,14461000,9473000,-1895000,4349000,-3711000,7367000,-7090000,4387000,15139000,-2137000,17817000,17887000,-55728000,-9805000,32674000,1889000,13019000,-2948000,-28556000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4738000,5432000,8213000,6610000,8961000,9734000,8416000,7932000,10332000,12698000,18554000,16624000,15388000,23787000
77,Change in Working Capital,-43000000,19200000,25200000,35300000,-7300000,-31500000,-42466000,15815000,148880000,9894000,32249000,8420000,108130000,166605000,10357000,57491000,21345000,1308000,-55679000,-18691000,-67600000,-40385000,89733000,189260000,-145249000,-187171000,50448000,-95868000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30130000,60913000,-47958000,-67518000,57759000,-5437000,5876000,56741000,-12314000,-16811000,-4061000,50394000,3582000,-65844000
79,Inventory,-6500000,-25600000,9600000,-18400000,-6000000,-30200000,6005000,18653000,6636000,11072000,-47779000,-32133000,-57299000,36011000,-27845000,127739000,-28912000,-51679000,28286000,13310000,-5718000,56067000,14601000,19448000,-23904000,-12023000,22751000,-154347000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26768000,-30364000,47323000,8672000,16110000,794000,2135000,-46911000,29627000,17871000,3636000,-8339000,-17919000,82394000
81,Other Working Capital,169300000,188500000,213700000,249000000,241700000,210200000,167734000,183549000,332429000,342323000,374572000,382992000,491122000,657727000,668084000,725575000,746920000,748228000,692549000,673858000,606258000,565873000,655606000,844866000,699617000,512446000,562894000,-2450000
82,Other Non-Cash Items,3800000,-47700000,-18100000,-61200000,-2600000,8700000,52782000,-31894000,-120618000,-20860000,-113357000,-53672000,-214515000,-167287000,-34224000,89343000,-64568000,-130530000,53594000,-32629000,118706000,207554000,-50329000,-215405000,94546000,186117000,1867000,108088000
83,Cash Provided by Operating Activities,68700000,65500000,107800000,88900000,122100000,81100000,120834000,120231000,103598000,95687000,51260000,117024000,118680000,249832000,257449000,250350000,156978000,193518000,327484000,338894000,401702000,310858000,303403000,334845000,329152000,403185000,351362000,365063000
84,CAPEX,-37400000,-48400000,-39800000,-37300000,-92200000,-63300000,-34800000,-36723000,-27909000,-34840000,-56441000,-50415000,-76002000,-61633000,-72426000,-38201000,-60565000,-65813000,-52715000,-76015000,-72990000,-50507000,-49877000,-61656000,-71246000,-69615000,-59201000,-62531000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-18903000,-3990000,-8010000,-3693000,-11815000,-78174000,-25504000,-18773000,-44036000,-25449000,-18856000,-66229000,-134602000,-53161000,-24230000,-37076000,-71567000,-72468000,-101792000,-134717000,- -,-156106000
86,Purchases of Investments,- -,- -,- -,-66300000,-900000,-1700000,- -,- -,-5015000,- -,- -,-15000000,- -,- -,- -,-488000,- -,- -,- -,- -,- -,- -,-38920000,-205584000,-268335000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,44400000,10900000,1900000,6000,- -,- -,- -,6125000,70441000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65380000,447459000,- -,- -,- -
88,Other Investing Activites,5100000,3000000,22400000,900000,4500000,36400000,1627000,4725000,2443000,2932000,3641000,3675000,11791000,701000,-71764000,-37644000,-50544000,-64567000,-52869000,-76339000,-54755000,-48276000,-49459000,-59355000,-56491000,-58106000,-49213000,-49250000
89,Cash Used for Investing Activites,-32300000,-45400000,-17400000,-58300000,-77700000,-26700000,-52070000,-35988000,-38491000,-35601000,-58490000,-69473000,-89715000,-79705000,-115800000,-63581000,-69400000,-130796000,-187471000,-129500000,-78985000,-85352000,-159946000,-272027000,20841000,-192823000,-49213000,-205356000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14433000,-66600000,-58216000,-16184000,-92739000,-3131000,-15525000,-53679000,-2303000,-530000,-942000,-107000,-14000,- -
91,Common Stock Issued,374100000,81200000,- -,- -,- -,- -,- -,- -,3294000,6729000,22555000,21230000,13618000,8644000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-416200000,- -,-27400000,- -,-22700000,-75600000,-41560000,-536000,-11590000,-41994000,-4368000,-12803000,-126000,-15459000,-42337000,-343000,-39682000,-36997000,-81018000,-167879000,-307178000,-399494000,-342003000,-43164000,-201650000,-292693000,-113455000,-164526000
93,Dividends Paid,-8100000,-9100000,-11900000,-14100000,-19600000,-22100000,-24034000,-25418000,-25390000,-26688000,-27485000,-30037000,-32275000,-37744000,-42756000,-45801000,-47364000,-51935000,-73112000,-49277000,-73261000,-86968000,-87330000,-92452000,-102058000,-117920000,-118118000,-121851000
94,Other Financing Activites,2900000,-92300000,-21500000,-10700000,-10900000,13600000,930000,-46391000,122159000,-7382000,-7623000,-6517000,1054000,-33027000,31785000,23672000,35755000,41746000,30031000,26103000,81609000,370233000,368782000,1109000,2520000,38776000,-14554000,64437000
95,Cash Used/Provided by Financing Activities,-47300000,-20200000,-60800000,-24800000,-53200000,-84100000,-64664000,-72345000,88473000,-69335000,-16921000,-28127000,-17729000,-77586000,-67741000,-89072000,-109507000,-63370000,-216838000,-194184000,-314355000,-169908000,-62854000,-135037000,-302130000,-371944000,-246141000,-221940000
96,Effect of Forex Changes on Cash,1000000,-100000,800000,300000,1400000,-700000,-1456000,276000,-997000,3683000,3085000,-4236000,969000,4629000,-6958000,6107000,-14000,-4444000,2188000,-1849000,-29808000,-29794000,-5607000,19741000,-15715000,2296000,1708000,-2088000
97,Net Change In Cash,-47300000,-20200000,-60800000,-24800000,-53200000,-30400000,2644000,12174000,152583000,-5566000,-21066000,15188000,12205000,97170000,66950000,103804000,-21943000,-5092000,-74637000,13361000,-21446000,25804000,74996000,-52478000,32148000,-159286000,57716000,-64321000
