,https://roic.ai/company/AJRD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,323200000,298000000,188000000,229000000,214000000,183000000,167000000,200000000,199000000,158000000,161000000,158000000,157000000,165000000,144000000,182000000,167000000,167000000,211000000,159000000,57000000,69500000,67500000,70400000,61800000,51100000,49500000,46900000,105900000,139000000,157500000,185100000,136400000,14900000,24000000,10000000,10000000
36,Other Current Assets,90400000,75000000,51000000,61000000,74000000,72000000,80000000,54000000,49000000,51000000,45000000,65000000,57000000,59000000,57000000,12000000,18000000,29000000,28000000,159000000,51000000,43800000,17500000,19300000,2400000,1800000,1300000,- -,17000000,45300000,45300000,22100000,24400000,23800000,34300000,82600000,78700000
37,Total Current Assets,1130500000,1096000000,490000000,566000000,584000000,415000000,436000000,437000000,430000000,421000000,465000000,452000000,484000000,529000000,363000000,346000000,418000000,383000000,516000000,474000000,281000000,283200000,323000000,334000000,372600000,432600000,400900000,368100000,596000000,666500000,662600000,854700000,1016700000,1234300000,1418000000,1660200000,1236600000
38,PP&E,709900000,788000000,442000000,503000000,541000000,528000000,534000000,539000000,543000000,566000000,543000000,413000000,410000000,500000000,335000000,365000000,454000000,481000000,516000000,145000000,140000000,136800000,139800000,137900000,185200000,126400000,126900000,143900000,374700000,367500000,365800000,366000000,359000000,399700000,457900000,469900000,473700000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101300000,94900000,94900000,94900000,94900000,94900000,94900000,159600000,164400000,158100000,158100000,161300000,161300000,161400000,161400000,161400000
40,Intangible Assets,56400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65000000,126000000,197000000,131000000,102000000,24600000,21700000,20100000,18500000,16900000,15400000,13900000,135700000,122200000,108800000,94400000,85500000,71800000,58200000,44800000,34900000
41,Intangible Assets,56400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65000000,126000000,197000000,131000000,102000000,125900000,116600000,115000000,113400000,111800000,110300000,108800000,295300000,286600000,266900000,252500000,246800000,233100000,219600000,206200000,196300000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,9000000,10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,175700000,259000000,286700000,292500000,145800000,116900000,121900000,81100000,57500000
44,Other Non-Current Assets,176000000,235000000,176000000,161000000,145000000,135000000,143000000,155000000,191000000,468000000,450000000,465000000,538000000,714000000,532000000,613000000,521000000,637000000,668000000,745000000,534000000,475500000,415800000,418800000,264500000,320700000,301400000,298500000,313600000,342000000,452900000,483800000,490400000,506100000,490400000,482500000,469500000
45,Total Non-Current Assets,942300000,1023000000,618000000,664000000,686000000,663000000,677000000,694000000,734000000,1034000000,993000000,878000000,948000000,1214000000,867000000,978000000,1046000000,1253000000,1391000000,1021000000,776000000,738200000,672200000,671700000,563100000,558900000,538600000,551200000,1159300000,1255100000,1372300000,1394800000,1242000000,1255800000,1289800000,1239700000,1197000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
