,https://roic.ai/company/UONE,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-0.0914,-0.0152,0.0343,-0.0221,-0.3059,0.2102,0.2845,0.3137,0.2139,-0.0397,-1.2079,-1.0702,-0.1460,-0.0802,0.2183,-0.0489,-0.0349,-0.0180,-0.1133,0.0226,-0.0243,0.0078,0.0296,-0.1091,0.1229
22,Income Tax expense (Gain),- -,-1600000,2700000,804000,-24550000,25282000,32462000,38717000,27003000,274000,-23032000,-45200000,7014000,3971000,66686000,33235000,28719000,34814000,15058000,9580000,-123163000,-138758000,10864000,-34476000,13577000
23,Net Income,-4944000,800000,100000,-4251000,-55247000,7054000,53783000,61602000,50530000,-6730000,-387118000,-302944000,-52887000,-28633000,2889000,-66865000,-61981000,-62670000,-74022000,-423000,111887000,141001000,925000,-8113000,38352000
24,Net Income ratio,-0.1527,0.0152,0.0012,-0.0273,-0.2266,0.0238,0.1774,0.1927,0.1362,-0.0183,-1.1721,-0.9574,-0.1944,-0.1023,0.0079,-0.1575,-0.1381,-0.1420,-0.1642,-0.0009,0.2543,0.3211,0.0021,-0.0216,0.0869
25,EPS,-0.21,-0.10,-0.03,-0.16,-0.83,-0.13,0.32,0.40,0.46,-0.07,-3.92,-3.22,-0.89,-0.56,0.06,-1.34,-1.28,-1.32,-1.54,-0.01,2.37,3.09,0.02,-0.18,0.76
26,EPS Diluted,-0.21,-0.10,-0.03,-0.16,-0.83,-0.13,0.32,0.39,0.46,-0.07,-3.92,-3.22,-0.89,-0.56,0.06,-1.34,-1.28,-1.32,-1.54,-0.01,2.35,2.94,0.02,-0.18,0.71
27,Weighted Average Shares Outstanding,23529412,28204000,48411000,84540000,90295000,101821000,104621000,104953192,103749798,98709311,98710633,94118699,59465252,51509239,50739447,50015252,48370195,47525726,48027888,47924609,47169682,45647696,44699586,45041467,50163600
28,Weighted Average Shares Outstanding Diluted,23529412,28204000,48411000,84540000,90295000,101821000,105071000,105429038,103893782,98709311,98710633,94118699,59465252,51509239,52294322,50015252,48370195,47525726,48027888,47924609,49632884,48000957,47921671,45041467,54136641
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1041657/000092838503001004/0000928385-03-001004-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000119312504039237/0001193125-04-039237-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000119312505051490/0001193125-05-051490-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000095013306001299/0000950133-06-001299-index.htm,https://www.sec.gov/Archives/edgar/data/1041657/000095013307002675/0000950133-07-002675-index.htm,https://www.sec.gov/Archives/edgar/data/1041657/000104165708000008/0001041657-08-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1041657/000104165709000008/0001041657-09-000008-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000104165710000006/0001041657-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000104165711000008/0001041657-11-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1041657/000114420412018473/0001144204-12-018473-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000114420413017773/0001144204-13-017773-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000114420414019095/0001144204-14-019095-index.htm,https://www.sec.gov/Archives/edgar/data/1041657/000114420415009981/0001144204-15-009981-index.htm,https://www.sec.gov/Archives/edgar/data/1041657/000114420416087899/0001144204-16-087899-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000114420417013955/0001144204-17-013955-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000114420418015060/0001144204-18-015060-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000114420419014649/0001144204-19-014649-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000110465920053397/0001104659-20-053397-index.htm,https://www.sec.gov/Archives/edgar/data/1041657/000110465921044506/0001104659-21-044506-index.htm,https://www.sec.gov/Archives/edgar/data/1041657/000155837022003668/0001558370-22-003668-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,86115000,38010000,10391000,19081000,32406000,24247000,22289000,19963000,9192000,35939000,57255000,56676000,67781000,67376000,45812000,37009000,15255000,33073000,73385000,152218000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,40700000,10000000,- -,- -,- -,- -,- -,- -,761000,1597000,2292000,2094000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,86115000,78710000,20391000,19081000,32406000,24247000,22289000,19963000,9192000,36700000,58852000,58968000,69875000,67376000,45812000,37009000,15255000,33073000,73385000,152218000
34,Net Receivables,- -,- -,- -,- -,- -,68215000,65981000,65480000,67032000,62397000,52462000,49937000,47019000,58511000,83876000,81912000,98323000,96426000,105184000,104351000,111596000,110354000,106148000,106296000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,4982000,7374000,6881000,7457000,9109000,22477000,5971000,5374000,8448000,35894000,34960000,35212000,35616000,40999000,49497000,51130000,47590000,46818000,43285000,- -
37,Total Current Assets,- -,- -,- -,- -,- -,159312000,152065000,92752000,93570000,103912000,99186000,78197000,72356000,76151000,156470000,175724000,192503000,201917000,213559000,199660000,199735000,173199000,186039000,222966000,- -
38,PP&E,- -,- -,- -,- -,- -,41622000,42675000,44827000,50441000,53945000,46213000,48602000,40585000,33460000,33988000,35282000,34353000,30977000,29278000,24851000,25181000,26088000,69315000,60110000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,157795000,146156000,137095000,137517000,121414000,272037000,272037000,272037000,275355000,258284000,258284000,262894000,245572000,239772000,223402000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,1776626000,1782258000,1931045000,2013480000,1820462000,1304165000,807874000,733704000,718733000,972824000,969506000,911137000,886664000,832916000,826871000,783098000,747491000,711030000,603294000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,1776626000,1782258000,1931045000,2013480000,1978257000,1450321000,944969000,871221000,840147000,1244861000,1241543000,1183174000,1162019000,1091200000,1085155000,1045992000,993063000,950802000,826696000,780133000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48452000,47470000,7428000,97000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10041000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,6800000,40873000,42517000,43889000,59096000,72005000,53709000,2928000,1984000,43735000,7549000,4325000,3642000,12487000,49120000,45847000,45059000,43763000,75674000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,1825048000,1865806000,2018389000,2107810000,2091298000,1568539000,1047280000,963186000,923061000,1330012000,1284471000,1221852000,1196638000,1132965000,1159126000,1117020000,1064210000,1063880000,972521000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1261108000
47,Total Assets,- -,- -,- -,- -,- -,1984360000,2017871000,2111141000,2201380000,2195210000,1667725000,1125477000,1035542000,999212000,1486482000,1460195000,1414355000,1398555000,1346524000,1358786000,1316755000,1237409000,1249919000,1195487000,1261108000
48,Accounts Payable,- -,- -,- -,- -,- -,7211000,7221000,8933000,3103000,10078000,6031000,3691000,4160000,3011000,5626000,5410000,7293000,6602000,8464000,7555000,8127000,7331000,5919000,11135000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,52500000,52500000,70008000,8000,7513000,26004000,43807000,18010000,18402000,3860000,4587000,3840000,3829000,3500000,3500000,3500000,38706000,34925000,32290000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1533000,1671000,1794000,826000,1554000,1038000,1070000,912000,1384000,716000,956000,1162000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,3587000,- -,2488000,6104000,7465000,- -,- -,- -,- -,5108000,6271000,7428000,8540000,10030000,11609000,10366000,12478000,11810000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,40898000,42592000,39413000,50242000,48612000,46076000,33705000,31466000,28686000,52772000,45870000,45250000,44694000,62902000,71379000,57594000,54875000,47716000,51674000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,100609000,105900000,118354000,55841000,72307000,85576000,81203000,53636000,50099000,62258000,60975000,62654000,62553000,83406000,92464000,80830000,111278000,101038000,106909000,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,597501000,545035000,550020000,952512000,930014000,789500000,631555000,635524000,623820000,821212000,814131000,811795000,816476000,1020837000,1002736000,967166000,873757000,890802000,855501000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,42227000,75508000,114322000,163314000,165616000,149950000,86236000,88144000,89392000,153521000,188249000,214245000,252463000,266900000,272733000,148592000,9345000,24560000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,13009000,- -,6316000,9026000,5710000,11008000,10185000,41566000,18550000,42342000,40686000,46491000,47205000,61979000,77512000,64329000,50444000,46179000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,639728000,633552000,664342000,1122142000,1104656000,945160000,728799000,733853000,754778000,993283000,1044722000,1066726000,1115430000,1334942000,1337448000,1193270000,947431000,965806000,901680000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1261108000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49474000,45505000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,740337000,739452000,782696000,1177983000,1176963000,1030736000,810002000,787489000,804877000,1055541000,1105697000,1129380000,1177983000,1418348000,1429912000,1274100000,1058709000,1066844000,1008589000,1261108000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,105000,105000,105000,99000,99000,99000,79000,51000,54000,50000,50000,48000,50000,50000,49000,49000,47000,47000,48000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,-128167000,-94524000,-53062000,-5379000,-22186000,-410199000,-717525000,-770412000,-799045000,-796156000,-863021000,-925002000,-987672000,-1055721000,-1052863000,-940976000,-799975000,-796806000,-804919000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-36350000,-37622000,-34882000,-608000,-675000,-1073000,-2981000,-2086000,-1424000,-199000,-102000,-213000,-115000,- -,- -,- -,- -,- -,-148229000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,1408435000,1410460000,1416284000,1026429000,1041029000,1044273000,1033921000,1014512000,994750000,1001840000,1006873000,1003116000,1006635000,983847000,981688000,983582000,978628000,979834000,1139998000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,1244023000,1278419000,1328445000,1020541000,1018267000,633100000,313494000,242065000,194335000,205535000,143800000,77949000,18898000,-71824000,-71126000,42655000,178700000,183075000,186898000,254120000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,1984360000,2017871000,2111141000,2198524000,2195230000,1663836000,1123496000,1029554000,999212000,1261076000,1249497000,1207329000,1196881000,1346524000,1358786000,1316755000,1237409000,1249919000,1195487000,1515228000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,2856000,-20000,3889000,1981000,5988000,- -,225406000,210698000,207026000,201674000,- -,- -,- -,- -,- -,- -,-254120000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,1984360000,2017871000,2111141000,2201380000,2195210000,1667725000,1125477000,1035542000,999212000,1486482000,1460195000,1414355000,1398555000,1346524000,1358786000,1316755000,1237409000,1249919000,1195487000,1261108000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1041657/000092838503001004/0000928385-03-001004-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000119312504039237/0001193125-04-039237-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000119312505051490/0001193125-05-051490-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000095013306001299/0000950133-06-001299-index.htm,https://www.sec.gov/Archives/edgar/data/1041657/000095013307002675/0000950133-07-002675-index.htm,https://www.sec.gov/Archives/edgar/data/1041657/000104165708000008/0001041657-08-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1041657/000104165709000008/0001041657-09-000008-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000104165710000006/0001041657-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000104165711000008/0001041657-11-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1041657/000114420412018473/0001144204-12-018473-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000114420413017773/0001144204-13-017773-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000114420414019095/0001144204-14-019095-index.htm,https://www.sec.gov/Archives/edgar/data/1041657/000114420415009981/0001144204-15-009981-index.htm,https://www.sec.gov/Archives/edgar/data/1041657/000114420416087899/0001144204-16-087899-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000114420417013955/0001144204-17-013955-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000114420418015060/0001144204-18-015060-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000114420419014649/0001144204-19-014649-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000110465920053397/0001104659-20-053397-index.htm,https://www.sec.gov/Archives/edgar/data/1041657/000110465921044506/0001104659-21-044506-index.htm,https://www.sec.gov/Archives/edgar/data/1041657/000155837022003668/0001558370-22-003668-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4944000,800000,100000,-4251000,-55247000,7054000,53783000,61602000,50530000,-6730000,-387118000,-302944000,-52887000,-28633000,2889000,-66865000,-61981000,-62670000,-74022000,-423000,111887000,141001000,925000,-8113000,38352000
74,Depreciation and Amortization,5828000,12600000,21700000,66046000,131797000,19694000,19774000,18636000,20761000,18047000,15682000,19124000,21011000,17439000,37069000,96004000,98249000,93821000,88858000,86900000,78667000,77407000,73286000,56154000,- -
75,Deferred Income Tax,- -,-2000000,-1000000,8966000,-24783000,24786000,31893000,38147000,24454000,2066000,-28013000,-49687000,1996000,1311000,64151000,34728000,27308000,34256000,14486000,9114000,-124141000,-139247000,10269000,-34601000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1649000,5799000,5146000,171000,191000,1594000,5107000,3410000,4647000,4711000,4784000,2294000,- -
77,Change in Working Capital,-1202000,147000,- -,- -,58703000,- -,-12538000,-71767000,63331000,-6124000,-17995000,-16616000,21726000,7332000,68160000,20537000,15100000,9515000,-9211000,-22957000,11709000,-56984000,23080000,31056000,-453698000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2389000,-11491000,2985000,1931000,-16340000,1897000,-8758000,833000,-7245000,-1411000,4206000,-1542000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,837000,-1150000,- -,-216000,1859000,-691000,1862000,-909000,572000,-796000,-1412000,5216000,- -
81,Other Working Capital,-147000,- -,- -,- -,58703000,58703000,46165000,-25602000,37729000,31605000,13610000,-3006000,18720000,26052000,94212000,114749000,129849000,139364000,130153000,107196000,118905000,61921000,85001000,116057000,-337641000
82,Other Non-Cash Items,5255000,-2247000,-2600000,-15075000,-50687000,19287000,16808000,77101000,-57445000,70277000,461458000,363955000,51948000,14588000,-122397000,-39128000,-41838000,-22596000,16534000,-27795000,-54462000,23341000,-53839000,27077000,495496000
83,Cash Provided by Operating Activities,4937000,9300000,18200000,55686000,59783000,70821000,109720000,123719000,101631000,77536000,44014000,13832000,45443000,17836000,55018000,45447000,37029000,53920000,41752000,48249000,28307000,50229000,58505000,73867000,80150000
84,CAPEX,-2035000,-2200000,-3200000,-3665000,-9283000,-10971000,-11382000,-12979000,-15737000,-15420000,-16539000,-13523000,-4871000,-4664000,-9445000,-12485000,-9194000,-5737000,-7339000,-5164000,-7445000,-4828000,-5145000,-4273000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-21320000,-43188000,- -,-70455000,- -,- -,65245000,-2000000,- -,- -,-209855000,- -,-2000000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-257300000,-1185000,-613000,-846000,-60051000,-18890000,-271000,-17086000,-12590000,- -,- -,- -,- -,-2627000,-2544000,-930000,-5591000,-35000000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,256430000,- -,- -,40700000,30700000,10000000,- -,- -,- -,- -,- -,- -,9122000,1665000,482000,3524000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-21164000,-59000000,-86100000,-1471603000,-137032000,-52760000,-13624000,-154329000,-977000,29467000,107597000,150009000,-343000,-342000,-23412000,-54000,4000000,-9115000,- -,-2000000,22000000,7628000,13500000,385000,1714000
89,Cash Used for Investing Activites,-23199000,-61200000,-346600000,-1220023000,-146928000,-64577000,-44357000,-155498000,-28305000,-46227000,78468000,66031000,-4871000,-4664000,32388000,-8044000,-6073000,-15100000,-219261000,-42164000,12555000,3200000,8355000,-3413000,1714000
90,Debt Repayment,-45599000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-138043000,-630143000,-357576000,-5789000,-4587000,-333512000,-490109000,-20674000,-386014000,-297437000,-42060000,-40507000,- -
91,Common Stock Issued,- -,- -,412000000,636795000,550000,199595000,1545000,1721000,1003000,52000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14673000,- -
92,Common Stock Repurchased,- -,- -,-28200000,- -,- -,-1678000,-1673000,- -,-387478000,- -,- -,-12104000,-19697000,- -,-9474000,- -,-5469000,- -,-1423000,-3584000,-4958000,-8168000,-5515000,-3612000,- -
93,Dividends Paid,- -,- -,- -,-5038000,-20140000,-20140000,-20140000,-20140000,-6959000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1148000,-658000,- -,- -
94,Other Financing Activites,70653000,47800000,-53700000,547238000,117971000,-130021000,-52500000,22579000,328798000,-18036000,-130641000,-69717000,114842000,606200000,306391000,-10298000,-21479000,305797000,668636000,-2422000,341140000,231403000,-971000,-696000,-3504000
95,Cash Used/Provided by Financing Activities,25054000,47800000,330100000,1178995000,98381000,47756000,-72768000,4160000,-64636000,-17984000,-130641000,-81821000,-42898000,-23943000,-60659000,-16087000,-31535000,-27715000,177104000,-26680000,-49832000,-75350000,-49204000,-30142000,-3504000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,6792000,-4000000,1700000,14658000,11236000,54000000,-7405000,-27619000,8690000,13325000,-8159000,-1958000,-2326000,-10771000,26747000,21316000,-579000,11105000,-405000,-20595000,-8970000,-21921000,17656000,40312000,- -
98,Cash at the End of Period,8500000,4500000,6200000,20879000,32115000,86115000,38010000,10391000,19081000,32406000,24247000,22289000,19963000,9192000,35939000,57255000,56676000,67781000,67376000,46781000,37811000,15890000,33546000,73858000,- -
99,Cash at the Beginning of Period,1708000,8500000,4500000,6221000,20879000,32115000,45415000,38010000,10391000,19081000,32406000,24247000,22289000,19963000,9192000,35939000,57255000,56676000,67781000,67376000,46781000,37811000,15890000,33546000,73858000
100,Free Cash Flow,2902000,7100000,15000000,52021000,50500000,59850000,98338000,110740000,85894000,62116000,27475000,309000,40572000,13172000,45573000,32962000,27835000,48183000,34413000,43085000,20862000,45401000,53360000,69594000,80150000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1041657/000092838503001004/0000928385-03-001004-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000119312504039237/0001193125-04-039237-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000119312505051490/0001193125-05-051490-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000095013306001299/0000950133-06-001299-index.htm,https://www.sec.gov/Archives/edgar/data/1041657/000095013307002675/0000950133-07-002675-index.htm,https://www.sec.gov/Archives/edgar/data/1041657/000104165708000008/0001041657-08-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1041657/000104165709000008/0001041657-09-000008-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000104165710000006/0001041657-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000104165711000008/0001041657-11-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1041657/000114420412018473/0001144204-12-018473-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000114420413017773/0001144204-13-017773-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000114420414019095/0001144204-14-019095-index.htm,https://www.sec.gov/Archives/edgar/data/1041657/000114420415009981/0001144204-15-009981-index.htm,https://www.sec.gov/Archives/edgar/data/1041657/000114420416087899/0001144204-16-087899-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000114420417013955/0001144204-17-013955-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000114420418015060/0001144204-18-015060-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000114420419014649/0001144204-19-014649-index.html,https://www.sec.gov/Archives/edgar/data/1041657/000110465920053397/0001104659-20-053397-index.htm,https://www.sec.gov/Archives/edgar/data/1041657/000110465921044506/0001104659-21-044506-index.htm,https://www.sec.gov/Archives/edgar/data/1041657/000155837022003668/0001558370-22-003668-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
