,https://roic.ai/company/KBH,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,- -,- -,- -,- -,116600000,27500000,50900000,65900000,75100000,54800000,43400000,9800000,68200000,63400000,28400000,33081000,281333000,329985000,138119000,234196000,144783000,654628000,1325255000,1141518000,1174715000,904401000,546000000,525688000,532523000,358768000,560341000,593000000,720861000,575119000,454858000,682529000,292136000
34,Net Receivables,- -,- -,- -,- -,711600000,697000000,599000000,431000000,424500000,389500000,391100000,342000000,450200000,502800000,697700000,752883000,1123446000,1003526000,649798000,664700000,580931000,662423000,295739000,358959000,337930000,108048000,91674000,66680000,77833000,127226000,154927000,219764000,232108000,281600000,240362000,263750000,292676000
35,Inventory,- -,- -,- -,- -,611100000,746100000,654300000,725000000,778100000,942700000,1059200000,780300000,790200000,1134400000,1521300000,1657401000,1884761000,2173497000,2883482000,4143254000,6128342000,6454763000,3312420000,2106716000,1501394000,1696721000,1731629000,1706571000,2298577000,3218387000,3313747000,3403228000,3263386000,3582839000,3704602000,3897482000,4802829000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,21023000,- -,- -,- -,- -,- -,115404000,114292000,115477000,-63445000,42362000,44622000,32666000,15824000,18559000,19189000,21762000,16869000,24813000,20025000
37,Total Current Assets,- -,- -,- -,- -,1439300000,1470600000,1304200000,1221900000,1277700000,1387000000,1493700000,1132100000,1308700000,1700600000,2247400000,2443365000,3289540000,3528031000,3671399000,5042150000,6854056000,7771814000,4933414000,3722597000,3128331000,2824647000,2305858000,2341301000,2953555000,3737047000,4044839000,4234551000,4235544000,4461320000,4416691000,4868574000,5407666000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7801000,7920000,8460000,11831000,13100000,14240000,19521000,24283000,65043000,101514000,103821000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,233815000,67970000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39400000,31300000,45500000,205600000,202177000,190785000,194614000,228999000,249313000,242589000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39400000,31300000,45500000,205600000,202177000,190785000,194614000,228999000,249313000,242589000,233815000,67970000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,275000000,381000000,297000000,178000000,119668000,105583000,131565000,125304000,135682000,85590000,81998000,71787000,75134000,70554000,71412000,57763000,52405000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118584000,178022000,165896000,217618000,220814000,393948000,222458000,1152000,- -,- -,- -,- -,- -,825232000,782196000,738985000,633637000,441820000,364493000,231067000,177378000
44,Other Non-Current Assets,358300000,441400000,547000000,602700000,47600000,73500000,68800000,209900000,61700000,67500000,80500000,72000000,79000000,114100000,211200000,183379000,93957000,124873000,169565000,326875000,154461000,233887000,185114000,142551000,187990000,179519000,67318000,87173000,95938000,97850000,93238000,72061000,77679000,75594000,97843000,97524000,94648000
45,Total Non-Current Assets,358300000,441400000,547000000,602700000,47600000,73500000,68800000,209900000,61700000,67500000,80500000,111400000,110300000,159600000,416800000,385556000,403326000,497509000,564460000,793806000,892864000,1242650000,772542000,321703000,307658000,285102000,206684000,220397000,240080000,1020503000,970532000,897073000,805971000,612251000,598791000,487868000,428252000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,358300000,441400000,547000000,602700000,1486900000,1544100000,1373000000,1431800000,1339400000,1454500000,1574200000,1243500000,1419000000,1860200000,2664200000,2828921000,3692866000,4025540000,4235859000,5835956000,7746920000,9014464000,5705956000,4044300000,3435989000,3109749000,2512542000,2561698000,3193635000,4757550000,5015371000,5131624000,5041515000,5073571000,5015482000,5356442000,5835918000
48,Accounts Payable,- -,- -,- -,- -,202400000,198400000,167000000,173500000,159800000,156500000,165800000,159300000,170900000,220300000,338200000,322672000,479568000,521341000,586245000,794075000,947270000,1071265000,699851000,550761000,340977000,233217000,104414000,118544000,150875000,175233000,185587000,217334000,214429000,259540000,264830000,275997000,374511000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132225000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10770000,8453000,8131000,13684000,14255000,14370000,16874000,16639000,14872000,14249000,17563000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14563000,18175000,16863000,19491000,22382000,26243000,71032000
52,Other Current Liabilities,- -,- -,- -,- -,99200000,70100000,73100000,66400000,95800000,72800000,90200000,97000000,105400000,148500000,222900000,201672000,351144000,466876000,574527000,810913000,1338626000,1680014000,975828000,721397000,560368000,466505000,381900000,343533000,53693000,76959000,62337000,63606000,65354000,28328000,24997000,370092000,281246000
53,Total Current Liabilities,- -,- -,- -,- -,301600000,268500000,240100000,239900000,255600000,229300000,256000000,256300000,276300000,368800000,561100000,524344000,830712000,988217000,1292997000,1604988000,2285896000,2751279000,1675679000,1272158000,901345000,699722000,486314000,462077000,204568000,252192000,262487000,299115000,296646000,307359000,312209000,672332000,726789000
54,Long-Term Debt,64400000,141600000,158100000,161500000,542500000,590100000,464400000,564100000,451900000,690000000,790600000,577600000,697700000,769200000,1227300000,1403202000,1706009000,1688706000,1260780000,2048247000,2464402000,3125803000,2161794000,1941537000,1820370000,1775529000,1583571000,1722815000,2150498000,2576525000,2625536000,2640149000,2324845000,2060263000,1748747000,1784843000,1714306000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14563000,18175000,16863000,19491000,22382000,26243000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,39700000,56500000,57100000,68900000,26900000,31400000,24400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,194900000,144100000,199500000,209300000,400100000,348600000,300800000,222900000,144200000,96800000,84800000,68300000,60000000,49300000,- -,- -,- -,- -,- -,- -,- -,26276000,17796000,- -,7050000,2620000,- -,- -,302483000,332923000,421951000,451040000,476850000,598958000,549022000,207255000,375348000
58,Total Non-Current Liabilities,259300000,285700000,357600000,370800000,982300000,995200000,822300000,855900000,623000000,818200000,899800000,645900000,757700000,818500000,1227300000,1403202000,1706009000,1688706000,1260780000,2048247000,2464402000,3152079000,2179590000,1941537000,1827420000,1778149000,1583571000,1722815000,2452981000,2909448000,3062050000,3109364000,2818558000,2678712000,2320151000,2018341000,2089654000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37668000,29279000
61,Total Liabilities,259300000,285700000,357600000,370800000,1283900000,1263700000,1062400000,1095800000,878600000,1047500000,1155800000,902200000,1034000000,1187300000,1788400000,1927546000,2536721000,2676923000,2553777000,3653235000,4750298000,5903358000,3855269000,3213695000,2728765000,2477871000,2069885000,2184892000,2657549000,3161640000,3324537000,3408479000,3115204000,2986071000,2632360000,2690673000,2816443000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48100000,44397000,51825000,53422000,54077000,55136000,113905000,114649000,114976000,115120000,115120000,115149000,115171000,115178000,115296000,115387000,115548000,116224000,117946000,119196000,121593000,99869000,100711000
64,Retained Earnings,- -,- -,- -,89400000,61900000,93600000,111500000,129800000,154300000,181300000,190700000,113400000,160000000,243400000,376600000,598374000,801408000,1103387000,1462342000,1904081000,2620251000,2975465000,1968881000,927324000,806443000,717852000,519844000,450292000,481889000,1391256000,1466713000,1563742000,1735695000,1897168000,2157183000,1868896000,2379364000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-171785000,-134356000,-106412000,-126167000,-70953000,-155531000,-146728000,-22244000,-22657000,-26152000,-27958000,-17516000,-21008000,-17319000,-16057000,-16924000,-9565000,-15506000,-22276000,-19119000
66,Other Total Stockholders Equity,99000000,155700000,189400000,142500000,141100000,186800000,199100000,206200000,306500000,225700000,227700000,227900000,225000000,429500000,451100000,258604000,302912000,289327000,210788000,202876000,243682000,-96413000,-77639000,-65111000,-192095000,-178466000,-166206000,-160706000,-43583000,110275000,125892000,59236000,89594000,80701000,119852000,719280000,558519000
67,Total Stockholders Equity,99000000,155700000,189400000,231900000,203000000,280400000,310600000,336000000,460800000,407000000,418400000,341300000,385000000,672900000,875800000,901375000,1156145000,1274351000,1592851000,2055681000,2851671000,2922748000,1850687000,830605000,707224000,631878000,442657000,376806000,536086000,1595910000,1690834000,1723145000,1926311000,2087500000,2383122000,2665769000,3019475000
68,Total Liabilities And Stockholders Equity,358300000,441400000,547000000,602700000,1486900000,1544100000,1373000000,1431800000,1339400000,1454500000,1574200000,1243500000,1419000000,1860200000,2664200000,2828921000,3692866000,3951274000,4146628000,5708916000,7601969000,8826106000,5705956000,4044300000,3435989000,3109749000,2512542000,2561698000,3193635000,4757550000,5015371000,5131624000,5041515000,5073571000,5015482000,5356442000,5835918000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74266000,89231000,127040000,144951000,188358000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,358300000,441400000,547000000,602700000,1486900000,1544100000,1373000000,1431800000,1339400000,1454500000,1574200000,1243500000,1419000000,1860200000,2664200000,2828921000,3692866000,4025540000,4235859000,5835956000,7746920000,9014464000,5705956000,4044300000,3435989000,3109749000,2512542000,2561698000,3193635000,4757550000,5015371000,5131624000,5041515000,5073571000,5015482000,5356442000,5835918000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/795266/000095014895000095/0000950148-95-000095-index.html,https://www.sec.gov/Archives/edgar/data/795266/000095014896000247/0000950148-96-000247-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/795266/000095014899000393/0000950148-99-000393-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/795266/000095014802000487/0000950148-02-000487-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000095014803000439/0000950148-03-000439-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000095014804000446/0000950148-04-000446-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000095012905001329/0000950129-05-001329-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000095013406002390/0000950134-06-002390-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000095012407000811/0000950124-07-000811-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000095012408000386/0000950124-08-000386-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000095013409001433/0000950134-09-001433-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000095012310006846/0000950123-10-006846-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000095012311007291/0000950123-11-007291-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000119312512028044/0001193125-12-028044-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000079526613000005/0000795266-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000079526614000007/0000795266-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000079526615000006/0000795266-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000079526616000089/0000795266-16-000089-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000079526617000006/0000795266-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000079526618000005/0000795266-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000079526619000005/0000795266-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000079526620000007/0000795266-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000079526621000012/0000795266-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000079526622000010/0000795266-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,81400000,39900000,26500000,28200000,39900000,46600000,29100000,-61200000,58200000,95300000,147500000,209960000,214217000,314350000,370764000,480902000,842421000,482351000,-929414000,-976131000,-101784000,-69368000,-178768000,-58953000,39963000,918349000,84643000,105615000,180595000,170365000,268775000,296243000,564746000
74,Depreciation and Amortization,- -,- -,- -,- -,8900000,16100000,16600000,18600000,12300000,5700000,8000000,12300000,14200000,18100000,39800000,42310000,45142000,19328000,23278000,23863000,23447000,24167000,19752000,9317000,5235000,3289000,2031000,1622000,1857000,2420000,3411000,3637000,2791000,2530000,27158000,28396000,28640000
75,Deferred Income Tax,- -,- -,- -,- -,6300000,16800000,600000,11800000,-42100000,4500000,-6900000,-41200000,-5000000,500000,-25900000,25677000,-44742000,-59438000,12126000,-51722000,-3196000,-170857000,208348000,221306000,- -,- -,- -,1152000,- -,-825232000,43036000,43211000,105348000,191817000,73303000,50304000,53767000
