,https://roic.ai/company/RAIL,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-3476000,-8627000,-7420000,-24860000,45693000,128733000,26468000,4614000,4940000,-12771000,4935000,19095000,-19295000,5904000,31805000,12324000,-22562000,-40581000,-75183000,-84443000,-41447000
24,Net Income ratio,-0.0165,-0.0383,-0.0304,-0.0516,0.0493,0.0891,0.0324,0.0062,0.0199,-0.0894,0.0101,0.0282,-0.0664,0.0099,0.0412,0.0235,-0.0551,-0.1282,-0.3269,-0.7787,-0.2041
25,EPS,-0.61,-1.41,-1.23,-3.76,4.08,10.23,2.18,0.39,0.42,-1.07,0.41,1.60,-1.61,0.49,2.59,1.00,-1.82,-3.26,-5.95,-6.29,-2.00
26,EPS Diluted,-0.61,-1.41,-1.23,-3.76,4.04,10.07,2.17,0.39,0.42,-1.07,0.41,1.60,-1.61,0.49,2.58,1.00,-1.82,-3.26,-5.95,-6.29,-2.00
27,Weighted Average Shares Outstanding,7432700,6875000,6875000,6888750,11135440,12586889,12115712,11788400,11861366,11896148,11916292,11932926,11954238,12001587,12175955,12262275,12285566,12318861,12352142,13432428,20766398
28,Weighted Average Shares Outstanding Diluted,7432700,6875000,6875000,6888750,11234075,12785015,12188901,11833132,11870350,11896148,11962196,11969367,11954238,12103520,12217755,12262275,12285566,12318861,12352142,13432428,20766398
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1320854/000119312506060993/0001193125-06-060993-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312507053438/0001193125-07-053438-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000095015208001884/0000950152-08-001884-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000095015209002601/0000950152-09-002601-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000095012310024653/0000950123-10-024653-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000095012311025523/0000950123-11-025523-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312512139911/0001193125-12-139911-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312513109977/0001193125-13-109977-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312514100078/0001193125-14-100078-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312515091243/0001193125-15-091243-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312516493293/0001193125-16-493293-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312517069639/0001193125-17-069639-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312518077273/0001193125-18-077273-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312519062501/0001193125-19-062501-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312520061709/0001193125-20-061709-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000156276221000129/0001562762-21-000129-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000095017022004254/0000950170-22-004254-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,25033000,- -,20008000,11213000,61737000,212026000,197042000,129192000,98015000,61780000,101870000,98509000,145506000,113532000,83068000,92750000,87788000,45070000,66257000,54047000,26240000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,29976000,- -,- -,41978000,38988000,47961000,26951000,- -,42917000,18019000,- -,- -,- -
33,Cash and Short-Term Investments,25033000,- -,20008000,11213000,61737000,212026000,197042000,129192000,127991000,61780000,101870000,140487000,184494000,161493000,110019000,92750000,130705000,63089000,66257000,54047000,26240000
34,Net Receivables,- -,- -,1889000,4136000,3854000,11369000,13068000,73120000,3728000,4106000,10125000,12987000,4034000,4086000,39708000,38490000,8396000,18218000,6991000,13910000,9571000
35,Inventory,- -,- -,28570000,73218000,75089000,106643000,49845000,31644000,40800000,57713000,72877000,73842000,83295000,82375000,115354000,97904000,45292000,64562000,25092000,38831000,56012000
36,Other Current Assets,- -,- -,8627000,12702000,13443000,13507000,20742000,39427000,30880000,26877000,15415000,33909000,25565000,25211000,15600000,12026000,15554000,9964000,11339000,14190000,44903000
37,Total Current Assets,- -,- -,59094000,101269000,154123000,343545000,280697000,273383000,203399000,150476000,200287000,261225000,297388000,273165000,280681000,241170000,199947000,155833000,109679000,120978000,136726000
38,PP&E,- -,- -,29043000,24199000,23889000,25905000,26921000,30582000,86941000,99228000,35984000,82778000,75506000,66136000,67325000,70365000,61687000,110072000,133971000,58727000,34905000
39,Goodwill,- -,- -,- -,- -,- -,21521000,21521000,21521000,21521000,22052000,22128000,22128000,22128000,22128000,21521000,21521000,21521000,21521000,- -,- -,- -
40,Intangible Assets,- -,- -,28964000,35158000,34355000,5673000,- -,- -,- -,- -,- -,3218000,2372000,1653000,359000,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,28964000,35158000,34355000,27194000,21521000,21521000,21521000,22052000,22128000,25346000,24500000,23781000,21880000,21521000,21521000,21521000,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,9878000,15834000,12227000,22955000,21035000,23213000,13404000,26203000,28150000,18940000,19758000,21553000,34722000,4221000,9446000,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,13073000,14683000,688000,382000,5710000,40455000,10301000,12684000,58914000,276000,567000,617000,2296000,1978000,3303000,2311000,1552000,3037000,- -
45,Total Non-Current Assets,- -,- -,80958000,89874000,71159000,76436000,75187000,115771000,132167000,160167000,145176000,127340000,120331000,112087000,126223000,98085000,95957000,133904000,135523000,61764000,34905000
46,Other Assets,148702000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,148702000,- -,140052000,191143000,225282000,419981000,355884000,389154000,335566000,310643000,345463000,388565000,417719000,385252000,406904000,339255000,295904000,289737000,245202000,182742000,171631000
48,Accounts Payable,- -,- -,24660000,69631000,59514000,103038000,39525000,60986000,16948000,12882000,28110000,33453000,16016000,34010000,34304000,34536000,23329000,34749000,11713000,18654000,8870000
49,Short-Term Debt,- -,- -,- -,- -,70000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17605000,1955000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36087000,110808000,43977000,8615000,371000,2219000,5219000,7342000,6570000,1291000
52,Other Current Liabilities,- -,- -,28880000,28342000,39187000,53950000,55995000,41676000,32396000,25799000,41588000,27036000,20404000,20338000,29638000,19228000,14769000,22082000,30375000,28320000,57204000
53,Total Current Liabilities,- -,- -,53540000,97973000,98771000,156988000,95520000,102662000,49344000,38681000,69698000,96576000,147228000,98325000,72557000,54135000,40317000,62050000,49430000,71149000,69320000
54,Long-Term Debt,- -,- -,44578000,48858000,154000,93000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10200000,37668000,96101000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12190000,11380000,9161000,6941000,4722000,2503000,1216000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,61644000,81401000,34158000,59031000,62292000,89463000,79969000,79382000,78431000,80658000,67956000,88232000,87046000,16826000,14694000,27136000,63696000,40925000,6650000
58,Total Non-Current Liabilities,- -,- -,106222000,130259000,34312000,59124000,62292000,89463000,79969000,79382000,78431000,80658000,67956000,88232000,99236000,28206000,23855000,34077000,78618000,81096000,103967000
59,Other Liabilities,145542000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68726000,30184000,- -
61,Total Liabilities,145542000,- -,159762000,228232000,133083000,216112000,157812000,192125000,129313000,118063000,148129000,177234000,215184000,186557000,171793000,82341000,64172000,96127000,128048000,152245000,173287000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,126000,127000,127000,127000,127000,127000,127000,127000,127000,127000,127000,127000,127000,127000,127000,159000,190000
64,Retained Earnings,- -,- -,-15012000,-40934000,3697000,130535000,152129000,153890000,163761000,150274000,155209000,171429000,149245000,152253000,179639000,187508000,161380000,120799000,45824000,-38619000,-80066000
65,Other Comprehensive Income/Loss,- -,- -,-29228000,-35009000,-6000000,-27000000,-10000000,-16000000,-19000000,-20000000,-22000000,-26000000,-15000000,-24000000,-21000000,-8000000,-8000000,-8000000,-11000000,-11763000,-5522000
66,Other Total Stockholders Equity,3160000,- -,24530000,38854000,94376000,100207000,55816000,58911000,61278000,62183000,63998000,65775000,68163000,70315000,76345000,77279000,78225000,80684000,82258000,80720000,83742000
67,Total Stockholders Equity,3160000,- -,-19710000,-37089000,92199000,203869000,198072000,196928000,206166000,192584000,197334000,211331000,202535000,198695000,235111000,256914000,231732000,193610000,117209000,30497000,-1656000
68,Total Liabilities And Stockholders Equity,148702000,- -,140052000,191143000,225282000,419981000,355884000,389053000,335479000,310647000,345463000,388565000,417719000,385252000,406904000,339255000,295904000,289737000,245257000,182742000,171631000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,101000,87000,-4000,- -,- -,- -,- -,- -,- -,- -,- -,-55000,- -,- -
70,Total Liabilities & Equity,148702000,- -,140052000,191143000,225282000,419981000,355884000,389154000,335566000,310643000,345463000,388565000,417719000,385252000,406904000,339255000,295904000,289737000,245202000,182742000,171631000
71,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1320854/000119312506060993/0001193125-06-060993-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312507053438/0001193125-07-053438-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000095015208001884/0000950152-08-001884-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000095015209002601/0000950152-09-002601-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000095012310024653/0000950123-10-024653-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000095012311025523/0000950123-11-025523-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312512139911/0001193125-12-139911-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312513109977/0001193125-13-109977-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312514100078/0001193125-14-100078-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312515091243/0001193125-15-091243-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312516493293/0001193125-16-493293-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312517069639/0001193125-17-069639-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312518077273/0001193125-18-077273-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312519062501/0001193125-19-062501-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312520061709/0001193125-20-061709-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000156276221000129/0001562762-21-000129-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000095017022004254/0000950170-22-004254-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3476000,- -,-7420000,-24860000,45693000,128733000,26468000,4614000,4940000,-12771000,4935000,19095000,-19295000,5904000,31805000,12324000,-22562000,-40581000,-75183000,-84443000,-41447000
74,Depreciation and Amortization,- -,- -,8000000,7810000,8147000,5442000,3910000,4380000,5658000,7015000,8821000,8398000,10077000,10069000,10028000,9736000,9366000,12017000,22923000,9202000,4304000
75,Deferred Income Tax,- -,- -,-657000,-7962000,4817000,2568000,-11911000,-1065000,11830000,-7738000,-682000,10420000,-5721000,1991000,-2679000,22723000,-6424000,9969000,176000,136000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,1829000,1675000,2189000,1703000,2289000,2084000,2183000,1149000,1162000,3198000,1225000,1034000,2977000
77,Change in Working Capital,- -,- -,5554000,-2258000,52056000,131205000,-1380000,-14456000,-16666000,-42260000,18794000,34060000,-14489000,24680000,33284000,-21089000,-27405000,-65847000,-33534000,-10420000,17577000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,69392000,3320000,-5841000,-2862000,8953000,-52000,-38398000,15911000,16216000,-10637000,11227000,-6892000,-150000
79,Inventory,- -,- -,-1124000,-44648000,-1871000,-31554000,54875000,18193000,-18314000,-13482000,-7945000,-700000,-9500000,591000,-36927000,17056000,50639000,-16311000,40649000,-17942000,-12369000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-29910000,-5102000,15395000,5147000,-17575000,16379000,137000,260000,-11170000,10693000,- -,- -,7878000
81,Other Working Capital,- -,- -,5554000,3296000,55352000,186557000,185177000,170721000,154055000,111795000,130589000,164649000,150160000,174840000,208124000,187035000,159630000,93783000,60249000,49829000,67406000
82,Other Non-Cash Items,3476000,- -,5317000,25453000,-44899000,-113792000,24311000,-16302000,15273000,12008000,-4088000,-20674000,59382000,-50754000,-140306000,-24628000,86204000,49600000,65414000,25586000,-38808000
83,Cash Provided by Operating Activities,- -,- -,10794000,-1817000,65814000,154156000,41398000,-22829000,22864000,-42071000,29969000,53002000,32243000,-6026000,-65685000,215000,40341000,-31644000,-18979000,-58905000,-55397000
84,CAPEX,- -,- -,-369000,-2215000,-7520000,-6903000,-6073000,-6991000,-19920000,-1431000,-1830000,-9088000,-17317000,-11802000,-25423000,-13846000,-967000,-39532000,-5573000,-9849000,-2290000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23319000,-166000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-49933000,-29982000,- -,-41978000,-59963000,-68956000,-32944000,- -,-85821000,-111356000,-1986000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,19986000,59996000,- -,- -,63000000,60002000,54004000,27001000,43080000,136716000,20025000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,12955000,1082000,11000,-35419000,-1417000,1644000,12189000,-2359000,13661000,17550000,40095000,928000,1779000,3226000,18488000,3757000,615000
89,Cash Used for Investing Activites,- -,- -,-369000,-2215000,5435000,-5821000,-6062000,-42410000,-51284000,6908000,10193000,-53425000,-619000,-3206000,35732000,14083000,-41929000,-10946000,30954000,-6092000,-1675000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-28000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-95000,- -
91,Common Stock Issued,- -,- -,- -,- -,87320000,2089000,2089000,1045000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-13000000,- -,-50000000,- -,- -,- -,- -,-63000,-98000,-225000,-1052000,-78000,-23000,-118000,-59000,-9000,- -
93,Dividends Paid,- -,- -,- -,- -,-751000,-1895000,-2938000,-2854000,-2866000,-716000,- -,-2875000,-2889000,-2896000,-4419000,-4455000,-3351000,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-10142000,-4763000,-94294000,1760000,529000,-802000,137000,-356000,-72000,- -,18360000,-19621000,4960000,-83000,- -,-10000,9271000,52891000,29265000
95,Cash Used/Provided by Financing Activities,- -,- -,-10142000,-4763000,-20725000,1954000,-50320000,-2611000,-2757000,-1072000,-72000,-2938000,15373000,-22742000,-511000,-4616000,-3374000,-128000,9212000,52787000,29265000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,283000,-8795000,50524000,150289000,-14984000,-67850000,-31177000,-36235000,40090000,-3361000,46997000,-31974000,-30464000,9682000,-4962000,-42718000,21187000,-12210000,-27807000
98,Cash at the End of Period,- -,- -,20008000,11213000,61737000,212026000,197042000,129192000,98015000,61780000,101870000,98509000,145506000,113532000,83068000,92750000,87788000,45070000,66257000,54047000,26240000
99,Cash at the Beginning of Period,- -,- -,19725000,20008000,11213000,61737000,212026000,197042000,129192000,98015000,61780000,101870000,98509000,145506000,113532000,83068000,92750000,87788000,45070000,66257000,54047000
100,Free Cash Flow,- -,- -,10425000,-4032000,58294000,147253000,35325000,-29820000,2944000,-43502000,28139000,43914000,14926000,-17828000,-91108000,-13631000,39374000,-71176000,-24552000,-68754000,-57687000
101,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1320854/000119312506060993/0001193125-06-060993-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312507053438/0001193125-07-053438-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000095015208001884/0000950152-08-001884-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000095015209002601/0000950152-09-002601-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000095012310024653/0000950123-10-024653-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000095012311025523/0000950123-11-025523-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312512139911/0001193125-12-139911-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312513109977/0001193125-13-109977-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312514100078/0001193125-14-100078-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312515091243/0001193125-15-091243-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312516493293/0001193125-16-493293-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312517069639/0001193125-17-069639-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312518077273/0001193125-18-077273-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312519062501/0001193125-19-062501-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000119312520061709/0001193125-20-061709-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000156276221000129/0001562762-21-000129-index.htm,https://www.sec.gov/Archives/edgar/data/1320854/000095017022004254/0000950170-22-004254-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
