,https://roic.ai/company/INTZ,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0836,0.1626,0.1395,0.1605,0.1982,0.1518,-0.0856,-0.4035,- -,1.1281,-2.4868,-2.8630,-1.4819,-0.7523,-0.5555,-0.5769,-0.6823,-0.1952,0.0378,0.0404,-0.1745,-0.0367,0.0813,-0.0380,-0.1830,-0.2543,-0.0044,0.2226,0.3273,-0.9847,-2.5838
22,Income Tax expense (Gain),1300000,3000000,2900000,5300000,8400000,6800000,-3000000,-4300000,- -,1999000,-1877000,-608000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,1800000,5000000,4900000,8600000,13700000,11100000,-4900000,-25800000,-12000000,23211000,-45780000,-21277000,-9600000,-4528000,-3321000,-3024000,-2395000,-808000,186000,226000,-933000,-246000,623000,-274000,-1249000,-1552000,-30000,2287000,4465000,-6518000,-18802000
24,Net Income ratio,0.0485,0.1016,0.0877,0.0993,0.1229,0.0941,-0.0531,-0.3458,-0.2069,1.0000,-2.7438,-2.7160,-1.4819,-0.7523,-0.5555,-0.5769,-0.6823,-0.1952,0.0378,0.0404,-0.1745,-0.0367,0.0813,-0.0380,-0.1830,-0.2543,-0.0044,0.2226,0.3273,-0.9847,-2.5838
25,EPS,0.56,1.36,1.20,2.08,3.24,2.64,-1.20,-6.00,-2.60,4.72,-8.92,-4.12,-1.84,-1.09,-0.77,-0.45,-0.26,-0.08,0.02,0.02,-0.09,-0.03,0.04,-0.03,-0.11,-0.13,-0.01,0.16,0.32,-0.45,-1.28
26,EPS Diluted,0.56,1.36,1.20,2.08,3.24,2.64,-1.20,-6.00,-2.60,4.52,-8.92,-4.12,-1.84,-1.09,-0.77,-0.45,-0.26,-0.08,0.01,0.02,-0.09,-0.03,0.03,-0.03,-0.11,-0.13,-0.01,0.14,0.28,-0.45,-1.28
27,Weighted Average Shares Outstanding,3214286,3676471,4083333,4134615,4228395,4206250,4109250,4297500,4641250,4906000,5141250,5160000,5162250,5177000,6424000,7043000,9929000,11638000,11678000,11745000,11877000,12035000,12172000,12393000,12598000,12737000,12785000,13049000,13502000,14678000,14678000
28,Weighted Average Shares Outstanding Diluted,3214286,3676471,4083333,4134615,4228395,4206250,4109250,4297500,4641250,5119500,5141250,5160000,5162250,5177000,6424000,7043000,9929000,11638000,12873000,13937000,11877000,12035000,14290000,12393000,12598000,12737000,12785000,15063000,15352000,14678000,14678000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/736012/000104746903008299/0001047469-03-008299-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000110465904008540/0001104659-04-008540-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000110465905013311/0001104659-05-013311-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000110465906020224/0001104659-06-020224-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000110465907024227/0001104659-07-024227-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000110465908020710/0001104659-08-020710-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000110465909020965/0001104659-09-020965-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000110465910016982/0001104659-10-016982-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000110465911017369/0001104659-11-017369-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000110465912022692/0001104659-12-022692-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000110465913025150/0001104659-13-025150-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000110465914024007/0001104659-14-024007-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000110465915023367/0001104659-15-023367-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000110465916108278/0001104659-16-108278-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000143774917005498/0001437749-17-005498-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000143774918005827/0001437749-18-005827-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000143774919005894/0001437749-19-005894-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000143774920006294/0001437749-20-006294-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000168316821000836/0001683168-21-000836-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000168316822001761/0001683168-22-001761-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2898000,974000,2315000,2844000,933000,362000,554000,519000,540000,308000,52000,1139000,1006000,102000,64000,224000,1652000,3334000,16704000,4100000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7825000,1705000,75000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10723000,2679000,2390000,3344000,933000,362000,554000,519000,540000,308000,52000,1139000,1006000,102000,64000,224000,1652000,3334000,16704000,4100000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2363000,972000,1220000,443000,844000,110000,341000,351000,222000,480000,946000,816000,737000,580000,745000,962000,1967000,1566000,1233000,1034000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1411000,1286000,950000,373000,209000,146000,20000,7000,61000,5000,5000,19000,12000,45000,45000,15000,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,759000,449000,393000,191000,198000,75000,56000,68000,23000,90000,48000,95000,105000,69000,75000,89000,91000,152000,370000,356000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15256000,5386000,4953000,4351000,2184000,693000,971000,945000,846000,883000,1051000,2069000,1860000,796000,929000,1290000,3710000,5052000,18307000,5490000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1597000,297000,299000,256000,162000,144000,169000,146000,117000,207000,260000,297000,391000,486000,308000,124000,321000,1745000,1496000,3577000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86000,77000,64000,41000,41000,39000,39000,39000,39000,40000,48000,51000,61000,43000,40000,38000,38000,38000,79000,166000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1683000,374000,363000,297000,203000,183000,208000,185000,156000,247000,308000,348000,452000,529000,348000,162000,359000,1783000,1575000,3743000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16939000,5760000,5316000,4648000,2387000,876000,1179000,1130000,1002000,1130000,1359000,2417000,2312000,1325000,1277000,1452000,4069000,6835000,19882000,9233000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2905000,1080000,791000,415000,555000,261000,204000,202000,167000,171000,159000,156000,193000,220000,205000,194000,193000,252000,408000,718000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,100000,- -,- -,- -,154000,226000,106000,145000,197000,139000,44000,58000,327000,929000,1579000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1650000,788000,799000,527000,367000,312000,1090000,182000,983000,97000,52000,139000,442000,386000,395000,406000,1004000,516000,177000,560000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1108000,876000,727000,544000,427000,1001000,743000,384000,584000,827000,1279000,689000,780000,994000,1435000,1997000,848000,628000,534000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4555000,2976000,2466000,1669000,1666000,1100000,2295000,1127000,1534000,1006000,1264000,1680000,1469000,1583000,1733000,2079000,3252000,1943000,2142000,3391000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,230000,1583000,1646000,1597000,1660000,1669000,2946000,2882000,1879000,1336000,2079000,1923000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,970000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,970000,230000,1583000,1646000,1597000,1660000,1669000,2946000,2882000,1879000,1336000,2079000,1923000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127000,212000,173000,275000,336000,200000,61000,122000,1663000,2375000,3502000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4555000,2976000,2466000,1669000,1666000,1100000,2295000,2097000,1764000,2589000,2910000,3277000,3129000,3252000,4679000,4961000,5131000,3279000,4221000,5314000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2968000,2510000,2309000,2146000,2146000,2006000,2006000,2006000,2006000,2006000,1843000,1843000,1843000,1843000,1843000,1843000,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,207000,207000,54000,69000,83000,116000,116000,117000,118000,119000,122000,122000,125000,126000,128000,128000,133000,136000,174000,191000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34604000,-44204000,-48732000,-52053000,-55077000,-57472000,-58280000,-58094000,-57868000,-58801000,-59047000,-58424000,-58698000,-59947000,-61499000,-61529000,-59242000,-54777000,-61295000,-80097000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-228000,-228000,-173000,-179000,-179000,-179000,-179000,-179000,-226000,-107000,-107000,-107000,-107000,-107000,-107000,-107000,-43000,-43000,-43000,-43000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47009000,47009000,48733000,52632000,53585000,55165000,55081000,55183000,55208000,55324000,55475000,55543000,56020000,56158000,56233000,56156000,56247000,56397000,76825000,83868000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12384000,2784000,2850000,2979000,721000,-224000,-1116000,-967000,-762000,-1459000,-1551000,-860000,-817000,-1927000,-3402000,-3509000,-1062000,3556000,15661000,3919000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16939000,5760000,5316000,4648000,2387000,876000,1179000,1130000,1002000,1130000,1359000,2417000,2312000,1325000,1277000,1452000,4069000,6835000,19882000,9233000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16939000,5760000,5316000,4648000,2387000,876000,1179000,1130000,1002000,1130000,1359000,2417000,2312000,1325000,1277000,1452000,4069000,6835000,19882000,9233000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/736012/000104746903008299/0001047469-03-008299-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000110465904008540/0001104659-04-008540-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000110465905013311/0001104659-05-013311-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000110465906020224/0001104659-06-020224-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000110465907024227/0001104659-07-024227-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000110465908020710/0001104659-08-020710-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000110465909020965/0001104659-09-020965-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000110465910016982/0001104659-10-016982-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000110465911017369/0001104659-11-017369-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000110465912022692/0001104659-12-022692-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000110465913025150/0001104659-13-025150-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000110465914024007/0001104659-14-024007-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000110465915023367/0001104659-15-023367-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000110465916108278/0001104659-16-108278-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000143774917005498/0001437749-17-005498-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000143774918005827/0001437749-18-005827-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000143774919005894/0001437749-19-005894-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000143774920006294/0001437749-20-006294-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000168316821000836/0001683168-21-000836-index.htm,https://www.sec.gov/Archives/edgar/data/736012/000168316822001761/0001683168-22-001761-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1800000,5000000,4900000,8600000,13700000,11100000,-4900000,-25800000,-12000000,23211000,-45780000,-21277000,-9600000,-4528000,-3321000,-3024000,-2395000,-808000,186000,226000,-933000,-246000,623000,-274000,-1249000,-1552000,-30000,2287000,4465000,-6518000,-18802000
74,Depreciation and Amortization,800000,1000000,1400000,1800000,2100000,2600000,3300000,4600000,3800000,4555000,4369000,2955000,1400000,201000,185000,97000,56000,50000,81000,76000,109000,155000,147000,236000,305000,294000,206000,133000,184000,231000,780000
75,Deferred Income Tax,- -,-100000,- -,- -,-400000,-500000,-200000,1000000,800000,-4219000,1923000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000,107000,160000,220000,213000,189000,375000,206000,96000,18000,20000,47000,322000,1260000
77,Change in Working Capital,-1400000,-2600000,-5600000,500000,-4000000,-9600000,15200000,6800000,6100000,-6956000,1308000,5987000,256000,-350000,1209000,-419000,507000,611000,-843000,855000,-1054000,-398000,451000,228000,94000,-102000,101000,27000,-644000,-598000,587000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-191000,-10000,129000,-258000,-466000,130000,79000,157000,-165000,-217000,-1005000,401000,333000,172000
79,Inventory,400000,-2900000,-2300000,-2400000,-5200000,-6200000,10900000,5800000,-1400000,-1625000,3343000,3605000,125000,336000,577000,164000,63000,127000,13000,-54000,56000,- -,-14000,7000,-33000,- -,30000,15000,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7000,125000,778000,-998000,890000,-886000,-44000,87000,303000,-56000,9000,11000,598000,-488000,-339000,383000
82,Other Non-Cash Items,100000,100000,-100000,-100000,-100000,300000,- -,8100000,- -,-66355000,13381000,2611000,- -,-59000,-405000,429000,73000,-40000,- -,-47000,119000,- -,- -,6000,6000,20000,-23000,111000,238000,1386000,-382000
83,Cash Provided by Operating Activities,1300000,3400000,600000,10800000,11300000,3900000,13400000,-5300000,-1300000,-49764000,-24799000,-9724000,-7944000,-4736000,-2332000,-2917000,-1759000,-112000,-469000,1270000,-1539000,-276000,1410000,571000,-638000,-1244000,272000,2578000,4290000,-5177000,-16557000
84,CAPEX,-1300000,-1700000,-2500000,-2200000,-6100000,-4900000,-3400000,- -,-1400000,-6412000,-680000,-151000,-100000,-227000,-144000,-3000,-39000,-76000,-57000,-48000,-29000,-21000,-116000,-55000,-121000,-47000,-20000,-202000,-260000,-320000,-1149000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-10100000,- -,-43300000,- -,-23700000,-18000000,-4000000,-16400000,-57504000,-14369000,-16290000,-3475000,-3100000,-2850000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,1500000,38400000,19600000,25200000,24600000,17100000,12300000,108328000,34798000,13117000,9595000,4730000,2425000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-21500000,-5000000,-5600000,-9200000,2600000,- -,- -,- -,- -,17000,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-84000
89,Cash Used for Investing Activites,-1300000,-11800000,-1000000,-7100000,-8000000,-8400000,-2400000,3900000,-2900000,40412000,19749000,-3324000,6020000,1420000,-567000,497000,-39000,-76000,-57000,-48000,-29000,-21000,-116000,-55000,-121000,-47000,36000,-202000,-260000,-320000,-1148000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-800000,- -,-1000000,-42000,-1045000,-745000,-621000,-211000,-566000,-2029000,-1266000,-1873000,-43000,-699000
91,Common Stock Issued,- -,- -,700000,300000,900000,600000,600000,1900000,400000,17116000,405000,51000,- -,4731000,3620000,501000,1500000,- -,1000,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,18171000,5556000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-1200000,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-129000,-186000,-192000,-173000,- -,- -,-462000,-51000,- -,- -,-558000,- -,- -,- -,- -,-714000,-99000,- -
94,Other Financing Activites,-100000,10500000,- -,- -,- -,- -,- -,-400000,100000,13000,-3000,1000,- -,- -,- -,200000,-100000,1180000,490000,260000,1429000,1086000,538000,530000,66000,1819000,1881000,318000,239000,838000,244000
95,Cash Used/Provided by Financing Activities,-100000,10500000,700000,300000,900000,600000,600000,300000,100000,17129000,402000,52000,- -,4602000,3434000,509000,1227000,380000,491000,-1201000,1336000,41000,-207000,-649000,-145000,1253000,-148000,-948000,-2348000,18867000,5101000
96,Effect of Forex Changes on Cash,- -,- -,-100000,-100000,- -,- -,-200000,- -,-100000,-34000,86000,111000,- -,55000,-6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-100000,10500000,700000,300000,900000,600000,600000,300000,-4200000,7743000,-4562000,-12885000,-1924000,1341000,529000,-1911000,-571000,192000,-35000,21000,-232000,-256000,1087000,-133000,-904000,-38000,160000,1428000,1682000,13370000,-12604000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,12600000,20345000,15783000,2898000,974000,2315000,2844000,933000,362000,554000,519000,540000,308000,52000,1139000,1006000,102000,64000,224000,1652000,3334000,16704000,4100000
99,Cash at the Beginning of Period,100000,- -,2100000,2300000,6300000,10400000,6600000,17900000,16800000,12602000,20345000,15783000,2898000,974000,2315000,2844000,933000,362000,554000,519000,540000,308000,52000,1139000,1006000,102000,64000,224000,1652000,3334000,16704000
