,https://roic.ai/company/FARO,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,253000,105000,101000,160000,74000,96000,111000,212000,319000,429000,714000,340000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000,34000,37000,28000,9000,8000,56000,48000,4000,486000,781000,- -,55000
14,Depreciation and Amortization,200000,300000,3000000,4465441,2931546,2559495,2267763,2119030,2339496,3453000,4536000,5250000,4505000,5530000,6326000,6712000,6976000,7038000,7428000,11217000,13868000,16588000,18313000,18516000,14239000,13396000
15,EBITDA,2700000,5600000,-1400000,-4050845,3395744,53269,462932,11554300,17628661,13351000,14312000,28286000,22865000,-4614000,20575000,38454000,37946000,35909000,44958000,24079000,26542000,22419000,23357000,-41717000,-16534000,4890000
16,EBITDA ratio,0.1849,0.2383,-0.0509,-0.1224,0.0839,0.0015,0.0100,0.1610,0.1817,0.1063,0.0939,0.1476,0.1093,-0.0312,0.1073,0.1513,0.1388,0.1231,0.1315,0.0758,0.0815,0.0621,0.0579,-0.1093,-0.0544,0.0145
17,Operating Income,2700000,4900000,-2500000,-6463565,-697100,-4369710,-2939243,7440135,14583832,10226000,8259000,19111000,18937000,-10989000,16927000,32858000,31554000,30154000,37340000,13122000,13284000,5322000,5754000,-58634000,-30682000,-8436000
18,Operating Income ratio,0.1849,0.2085,-0.0909,-0.1952,-0.0172,-0.1244,-0.0636,0.1036,0.1503,0.0814,0.0542,0.0997,0.0905,-0.0744,0.0883,0.1293,0.1154,0.1033,0.1092,0.0413,0.0408,0.0147,0.0143,-0.1536,-0.1010,-0.0250
19,Total Other Income Expenses (Gains),-200000,400000,-1900000,-2052721,1161298,1863484,1134412,1995135,705333,-328000,1517000,3925000,-577000,831000,-2712000,-1153000,-612000,-1292000,182000,-316000,-658000,505000,-1196000,-2380000,-91000,-125000
20,Income Before Tax,2500000,5300000,-4400000,-8516286,464198,-2506226,-1804831,9435270,15289165,9898000,9776000,23036000,18360000,-10158000,14215000,31705000,30942000,28862000,37522000,12806000,12626000,5827000,4558000,-61014000,-30773000,-8561000
21,Income Before Tax Ratio,0.1712,0.2255,-0.1600,-0.2572,0.0115,-0.0714,-0.0390,0.1314,0.1576,0.0788,0.0641,0.1202,0.0877,-0.0688,0.0741,0.1247,0.1132,0.0989,0.1098,0.0403,0.0388,0.0161,0.0113,-0.1598,-0.1013,-0.0253
22,Income Tax expense (Gain),1100000,2100000,500000,-1121464,424681,341738,210740,1157530,358291,1719000,1580000,4943000,4408000,424000,3147000,8328000,7944000,7353000,3873000,-7000,1519000,20343000,-372000,1133000,-31402000,31403000
23,Net Income,1400000,3200000,-4900000,-7394822,39517,-2847964,-2015571,8277740,14930874,8179000,8196000,18093000,13952000,-10582000,11068000,23377000,22998000,21509000,33649000,12813000,11107000,-14516000,4930000,-62147000,629000,-39964000
24,Net Income ratio,0.0959,0.1362,-0.1782,-0.2234,0.0010,-0.0811,-0.0436,0.1153,0.1539,0.0651,0.0538,0.0944,0.0667,-0.0716,0.0577,0.0920,0.0841,0.0737,0.0984,0.0403,0.0341,-0.0402,0.0122,-0.1628,0.0021,-0.1183
25,EPS,0.20,0.41,-0.46,-0.67,0.00,-0.26,-0.17,0.68,1.08,0.58,0.57,1.17,0.84,-0.66,0.69,1.42,1.36,1.26,1.95,0.74,0.67,-0.87,0.29,-3.58,0.04,-2.20
26,EPS Diluted,0.19,0.39,-0.46,-0.67,0.00,-0.26,-0.17,0.64,1.06,0.57,0.56,1.15,0.83,-0.66,0.68,1.39,1.34,1.25,1.93,0.74,0.67,-0.87,0.29,-3.58,0.04,-2.20
27,Weighted Average Shares Outstanding,7000000,7804878,10652174,11037048,9327950,10953708,11853732,12181221,13833590,14169140,14397050,15443259,16632608,16125449,16153831,16503773,16910830,17087104,17247727,17288665,16654786,16711534,17043167,17383415,17769958,18187946
28,Weighted Average Shares Outstanding Diluted,7368421,8205128,10652174,11037048,9327950,10953708,11853732,12845992,14023159,14442248,14560331,15722215,16734403,16125449,16365826,16868471,17129128,17241115,17416453,17389473,16681710,16711534,17348456,17383415,17926324,18187946
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/917491/000091664103000815/0000916641-03-000815-index.htm,- -,https://www.sec.gov/Archives/edgar/data/917491/000114420405007777/0001144204-05-007777-index.htm,https://www.sec.gov/Archives/edgar/data/917491/000114420406026617/0001144204-06-026617-index.htm,https://www.sec.gov/Archives/edgar/data/917491/000119312507055770/0001193125-07-055770-index.htm,https://www.sec.gov/Archives/edgar/data/917491/000119312508051713/0001193125-08-051713-index.htm,https://www.sec.gov/Archives/edgar/data/917491/000119312509040718/0001193125-09-040718-index.html,https://www.sec.gov/Archives/edgar/data/917491/000119312510041855/0001193125-10-041855-index.html,https://www.sec.gov/Archives/edgar/data/917491/000119312511046911/0001193125-11-046911-index.htm,https://www.sec.gov/Archives/edgar/data/917491/000119312512085333/0001193125-12-085333-index.html,https://www.sec.gov/Archives/edgar/data/917491/000119312513080082/0001193125-13-080082-index.html,https://www.sec.gov/Archives/edgar/data/917491/000119312514069747/0001193125-14-069747-index.htm,https://www.sec.gov/Archives/edgar/data/917491/000119312515062752/d837795d10k.htm,https://www.sec.gov/Archives/edgar/data/917491/000119312516484895/0001193125-16-484895-index.html,https://www.sec.gov/Archives/edgar/data/917491/000091749117000010/0000917491-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/917491/000091749118000007/0000917491-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/917491/000091749119000012/0000917491-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/917491/000091749120000012/0000917491-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/917491/000162828021002375/0001628280-21-002375-index.htm,https://www.sec.gov/Archives/edgar/data/917491/000162828022002858/0001628280-22-002858-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,300000,28800000,1200000,13131446,8029318,7238564,4023614,17424901,16357235,9278000,15689000,25798000,23494000,35078000,50722000,64540000,93233000,124630000,109289000,107356000,106169000,140960000,108783000,133634000,185633000,121989000
32,Short-Term Investments,- -,- -,- -,- -,6218636,4744559,1437537,16037208,22485000,16490000,15790000,77375000,81965000,64986000,64986000,64997000,64990000,64994000,64995000,42994000,42942000,10997000,24793000,24870000,- -,- -
33,Cash and Short-Term Investments,300000,28800000,1200000,13131446,14247954,11983123,5461151,33462109,38842235,25768000,31479000,103173000,105459000,100064000,115708000,129537000,158223000,189624000,174284000,150350000,149111000,151957000,133576000,158504000,185633000,121989000
34,Net Receivables,3000000,6200000,9000000,9812838,10352972,9385568,14236160,16312978,22484008,28654000,42706000,54767000,49713000,42944000,56317000,57512000,62559000,66309000,83959000,69918000,61364000,72105000,88927000,76162000,64616000,78523000
35,Inventory,3300000,4300000,6400000,6199414,6364290,5575793,9126857,14771792,16377770,28650000,23429000,29100000,33444000,26582000,28242000,49934000,48894000,48940000,59334000,45571000,51886000,53786000,65444000,58554000,47391000,53145000
36,Other Current Assets,300000,200000,18000000,1176452,1316697,2472539,1142576,2030531,3282880,4355000,5067000,9560000,13460000,10489000,8045000,14504000,18402000,19246000,22957000,26319000,23869000,16311000,28795000,28996000,26295000,19793000
37,Total Current Assets,6900000,39500000,34600000,30320150,32281913,29417023,29966744,66577410,80986893,87427000,102681000,196600000,202076000,180079000,208312000,251487000,288078000,324119000,340534000,292158000,286230000,294159000,316742000,322216000,323935000,273450000
38,PP&E,600000,800000,1500000,1668147,1802282,1546699,2017859,2753357,4014826,6064000,6845000,7527000,14136000,13738000,15240000,16233000,15344000,16451000,29345000,35946000,31678000,31879000,30417000,45372000,49198000,44737000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,14574000,17266000,19117000,18951000,19934000,19015000,18610000,18816000,19358000,19205000,26371000,46744000,52750000,67274000,49704000,57541000,82096000
40,Intangible Assets,500000,600000,12800000,5979072,4055337,2632791,11542489,11439375,11644118,6395000,6221000,5970000,8580000,7985000,7204000,6849000,7048000,8112000,9109000,15985000,22279000,22540000,33054000,14471000,13301000,25616000
41,Intangible Assets,500000,600000,12800000,5979072,4055337,2632791,11542489,11439375,11644118,20969000,23487000,25087000,27531000,27919000,26219000,25459000,25864000,27470000,28314000,42356000,69023000,75290000,100328000,64175000,70842000,107712000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,1143746,4273437,3855000,3985000,3460000,2728000,1895000,2522000,2296000,2396000,4423000,6624000,4050000,6742000,15606000,14719000,18766000,47450000,21277000
44,Other Non-Current Assets,-200000,300000,200000,4136543,6559742,6057611,1667688,- -,4159087,4333000,7278000,10865000,12843000,12079000,13726000,17316000,19125000,19033000,20646000,34676000,30041000,41644000,44038000,36313000,34167000,32564000
45,Total Non-Current Assets,900000,1700000,14500000,11783762,12417361,10237101,15228036,15336478,24091468,35221000,41595000,46939000,57238000,55631000,57707000,61304000,62729000,67377000,84929000,117028000,137484000,164419000,189502000,164626000,201657000,206290000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7800000,41200000,49100000,42103912,44699274,39654124,45194780,81913888,105078361,122648000,144276000,243539000,259314000,235710000,266019000,312791000,350807000,391496000,425463000,409186000,423714000,458578000,506244000,486842000,525592000,479740000
48,Accounts Payable,1700000,1200000,2900000,2200408,2965417,2937271,4781243,4713512,4735653,12301000,11182000,12450000,10813000,8985000,12025000,13396000,10413000,14881000,15437000,11345000,11126000,11569000,20093000,13718000,14121000,14199000
49,Short-Term Debt,- -,- -,300000,8746,17397,25120,49450,42584,103713,163000,90000,18000,87000,14479000,91000,84000,45000,8000,- -,- -,- -,- -,- -,6674000,5835000,5738000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,229000,1138000,2682000,4886000,1690000,- -,- -,4644000,8463000,8631000,9259000,8455000,8173000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,2663484,3168000,4569000,8594000,11501000,12226000,17036000,19710000,22122000,24241000,25618000,29112000,30294000,32278000,36022000,42319000,41956000,46237000
52,Other Current Liabilities,1200000,1000000,400000,3241152,5626363,4151428,6797510,7951747,7796900,7176000,13148000,20592000,16445000,-3824000,16346000,20758000,23102000,21823000,26127000,22574000,25190000,32038000,41408000,43254000,46035000,32707000
53,Total Current Liabilities,2900000,2200000,3600000,5450306,8609177,7113819,11628203,12707843,15299750,22808000,28989000,41654000,38846000,31866000,45498000,53948000,55682000,60953000,67182000,63031000,66610000,75885000,97523000,105965000,107947000,98881000
54,Long-Term Debt,900000,- -,- -,- -,- -,- -,- -,64650,- -,177000,115000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22131000,18648000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5910000,6758000,9540000,11221000,13414000,13799000,15025000,13813000,11815000,15505000,20578000,21757000,22350000
56,Deferred Tax Liabilities,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,1200000,1073000,1107000,1143000,1161000,1148000,1149000,1171000,- -,686000,1409000,695000,736000,357000,787000,1058000
57,Other Non-Current Liabilities,200000,100000,- -,54260,134644,203844,182928,220296,620050,803000,2917000,6313000,7053000,193000,125000,257000,19000,8000,628000,2800000,2225000,18117000,15871000,27950000,12667000,12344000
58,Total Non-Current Liabilities,1100000,100000,100000,54260,134644,203844,182928,284946,620050,980000,4232000,7386000,8160000,7246000,8044000,10945000,12389000,14593000,14427000,18511000,17447000,30627000,32112000,48885000,57342000,54400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,145697,- -,- -,222000,281000,273000,216000,341000,64000,16000,- -,- -,- -,- -,- -,20372000,27966000,24386000
61,Total Liabilities,4000000,2300000,3700000,5504566,8743821,7317663,11811131,12992789,15919800,23788000,33221000,49040000,47006000,39112000,53542000,64893000,68071000,75546000,81609000,81542000,84057000,106512000,129635000,154850000,165289000,153281000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,11060,11066,11075,11932,13519,14004,14000,14000,17000,17000,17000,17000,17000,18000,18000,18000,18000,18000,18000,19000,19000,19000,20000
64,Retained Earnings,-200000,3000000,-1900000,-9307651,-9268134,-12116098,-14131669,-5853929,9076945,17256000,25452000,43545000,57497000,46915000,57983000,81360000,104358000,125867000,159516000,172329000,183436000,168624000,175353000,112879000,113508000,73544000
65,Other Comprehensive Income/Loss,-600000,-800000,-1300000,-2356572,-3121029,-3945247,-1808537,-221085,1936087,-2051000,580000,4598000,5742000,6361000,7242000,5816000,6341000,7266000,-6695000,-19861000,-24561000,-7822000,-18483000,-17399000,-10160000,-17374000
66,Other Total Stockholders Equity,4600000,36700000,48600000,48252509,48333550,48386731,49311923,74982594,78131525,83641000,85009000,146339000,149052000,143305000,147235000,160705000,172019000,182799000,191015000,175158000,180764000,191246000,219720000,236493000,256936000,270269000
67,Total Stockholders Equity,3800000,38900000,45400000,36599346,35955453,32336461,33383649,68921099,89158561,98860000,111055000,194499000,212308000,196598000,212477000,247898000,282736000,315950000,343854000,327644000,339657000,352066000,376609000,331992000,360303000,326459000
68,Total Liabilities And Stockholders Equity,7800000,41200000,49100000,42103912,44699274,39654124,45194780,81913888,105078361,122648000,144276000,243539000,259314000,235710000,266019000,312791000,350807000,391496000,425463000,409186000,423714000,458578000,506244000,486842000,525592000,479740000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7800000,41200000,49100000,42103912,44699274,39654124,45194780,81913888,105078361,122648000,144276000,243539000,259314000,235710000,266019000,312791000,350807000,391496000,425463000,409186000,423714000,458578000,506244000,486842000,525592000,479740000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/917491/000091664103000815/0000916641-03-000815-index.htm,- -,https://www.sec.gov/Archives/edgar/data/917491/000114420405007777/0001144204-05-007777-index.htm,https://www.sec.gov/Archives/edgar/data/917491/000114420406026617/0001144204-06-026617-index.htm,https://www.sec.gov/Archives/edgar/data/917491/000119312507055770/0001193125-07-055770-index.htm,https://www.sec.gov/Archives/edgar/data/917491/000119312508051713/0001193125-08-051713-index.htm,https://www.sec.gov/Archives/edgar/data/917491/000119312509040718/0001193125-09-040718-index.html,https://www.sec.gov/Archives/edgar/data/917491/000119312510041855/0001193125-10-041855-index.html,https://www.sec.gov/Archives/edgar/data/917491/000119312511046911/0001193125-11-046911-index.htm,https://www.sec.gov/Archives/edgar/data/917491/000119312512085333/0001193125-12-085333-index.html,https://www.sec.gov/Archives/edgar/data/917491/000119312513080082/0001193125-13-080082-index.html,https://www.sec.gov/Archives/edgar/data/917491/000119312514069747/0001193125-14-069747-index.htm,https://www.sec.gov/Archives/edgar/data/917491/000119312515062752/d837795d10k.htm,https://www.sec.gov/Archives/edgar/data/917491/000119312516484895/0001193125-16-484895-index.html,https://www.sec.gov/Archives/edgar/data/917491/000091749117000010/0000917491-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/917491/000091749118000007/0000917491-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/917491/000091749119000012/0000917491-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/917491/000091749120000012/0000917491-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/917491/000162828021002375/0001628280-21-002375-index.htm,https://www.sec.gov/Archives/edgar/data/917491/000162828022002858/0001628280-22-002858-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1400000,3200000,-4900000,-7394822,39517,-2847964,-2015571,8277740,14930874,8179000,8196000,18093000,13952000,-10582000,11068000,23377000,22998000,21509000,33649000,12813000,11107000,-14516000,4930000,-62147000,629000,-39964000
74,Depreciation and Amortization,200000,300000,3000000,4465441,2931546,2559495,2267763,2119030,2339496,3453000,4536000,5250000,4505000,5530000,6326000,6712000,6976000,7038000,7428000,11217000,13868000,16588000,18313000,18516000,14239000,13396000
75,Deferred Income Tax,200000,-100000,100000,-708678,-127139,802722,76418,-1708587,-3308890,-854000,20000,-464000,-1972000,1986000,-693000,-672000,-2016000,645000,-4707000,-655000,-2002000,-1740000,689000,-6304000,-28444000,24706000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2449000,2392000,2727000,4018000,4367000,4678000,4306000,5374000,6450000,7620000,11071000,8314000,11456000
77,Change in Working Capital,-300000,33300000,-6300000,-6130156,-1197108,-1369532,-3964663,35531026,11817576,-1068143,9073000,81254000,8284000,-15017000,14601000,34725000,34857000,30770000,10186000,-44225000,-9507000,-1346000,945000,-2968000,-263000,-25761000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5769000,-13018000,-8979000,-4840000,-4053000,-24587000,9584000,6727000,-6766000,-15995000,10406000,12346000,-15577000
79,Inventory,-1200000,-1000000,-2100000,-394485,-549516,-178323,-3382190,-4091519,-5353821,-13788000,2804000,-7265000,-6429000,8301000,-6273000,-27329000,-844000,-119000,-21995000,-18021000,-6729000,-10926000,-20532000,-4136000,10343000,-6706000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3079000,6108000,8867000,-6401000,534000,1103000,11195000,-2518000,2390000,-13260000
81,Other Working Capital,4000000,37300000,31000000,24869844,23672736,22303204,18338541,53869567,65687143,64619000,73692000,154946000,163230000,148213000,162814000,197539000,232396000,263166000,273352000,229127000,219620000,218274000,219219000,216251000,215988000,2939000
82,Other Non-Cash Items,- -,-37500000,5000000,11266290,3076065,12785,-1360027,-39550576,-18484351,-13113857,-12071000,-82538000,-11503000,24599000,-18713000,-58180000,-38960000,-30051000,-45576000,44576000,18743000,4919000,-26174000,74300000,26919000,2691000
83,Cash Provided by Operating Activities,1500000,-800000,-3100000,1498075,4722881,-842494,-4996080,4668633,7294705,-3404000,9754000,21595000,13266000,8965000,14981000,8689000,27873000,34278000,5658000,28032000,37583000,10355000,6323000,32468000,21394000,-13476000
84,CAPEX,-400000,-500000,-6700000,-1437079,-1317796,-788168,-1287317,-1429809,-2451051,-4874000,-4177000,-3289000,-13471000,-4057000,-5026000,-5364000,-5204000,-6554000,-19943000,-16309000,-9377000,-11347000,-12921000,-8793000,-6072000,-11940000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-3028615,- -,- -,-6385000,- -,- -,- -,- -,- -,- -,- -,- -,-1150000,-12066000,-27708000,-5596000,-28853000,- -,-6036000,-33800000
86,Purchases of Investments,- -,- -,-17000000,- -,-7422252,-2150029,- -,-15847468,-30390000,-10900000,- -,-61585000,-4590000,-64986000,- -,- -,- -,- -,- -,- -,- -,- -,-14000000,-50000000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,6690000,6250000,5009223,1675275,23942208,16895000,700000,- -,- -,81965000,- -,- -,- -,- -,- -,22001000,- -,32000000,- -,50000000,25000000,- -
88,Other Investing Activites,-200000,-300000,-1500000,6769875,-1001593,-3044780,-810895,372318,-1003631,- -,- -,- -,- -,-670000,-979000,-890000,-1361000,-2204000,-1221000,-2140000,-1657000,-2377000,-1900000,-2667000,-283000,-4905000
89,Cash Used for Investing Activites,-600000,-800000,-25200000,5332796,-3051641,267023,-117604,-15229684,-9902474,-5264000,-3477000,-64874000,-18061000,12922000,-5026000,-5364000,-5204000,-6554000,-21093000,-6374000,-37085000,15057000,-55774000,-9342000,13907000,-45740000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-88000,-2574000,-163000,-132000,-93000,-8000,-8000,-8000,-108000,-157000,-358000,-338000,-296000
91,Common Stock Issued,- -,31700000,600000,24124,25221,25037,16524,24477843,1170882,402000,463000,58421000,92000,83000,1405000,9150000,6162000,5444000,3369000,2287000,674000,3594000,20855000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-95000,-8829000,- -,- -,- -,- -,- -,-22763000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-700000,-1500000,-100000,-306403,-14070,-16497,1428758,-1459205,-38259,-34000,-204000,871000,34000,4000,2623000,1593000,1135000,969000,169000,313000,-417000,-521000,-888000,2601000,11396000,1878000
95,Cash Used/Provided by Financing Activities,-700000,30200000,300000,-282279,11151,8540,1445282,23018638,1132623,368000,259000,59292000,31000,-8830000,1454000,10580000,7165000,6320000,3530000,-20171000,249000,2965000,19810000,2243000,11058000,1582000
96,Effect of Forex Changes on Cash,- -,- -,300000,-1095064,-161035,-223823,453452,943700,407480,1221000,-125000,-5904000,2460000,-1473000,4235000,-87000,-1141000,-2647000,-3436000,-3420000,-1934000,6414000,-2536000,-518000,5640000,-6010000
97,Net Change In Cash,-700000,30200000,300000,5453528,1521356,-790754,-3214950,13401287,-1067666,-7079000,6411000,10109000,-2304000,11584000,15644000,13818000,28693000,31397000,-15341000,-1933000,-1187000,34791000,-32177000,24851000,51999000,-63644000
98,Cash at the End of Period,- -,- -,- -,6637184,8029318,7238564,4023614,17424901,16357235,9278000,15689000,25798000,23494000,35078000,50722000,64540000,93233000,124630000,109289000,107356000,106169000,140960000,108783000,133634000,185633000,121989000
99,Cash at the Beginning of Period,- -,300000,28800000,1183656,6507962,8029318,7238564,4023614,17424901,16357000,9278000,15689000,25798000,23494000,35078000,50722000,64540000,93233000,124630000,109289000,107356000,106169000,140960000,108783000,133634000,185633000
100,Free Cash Flow,1100000,-1300000,-9800000,60996,3405085,-1630662,-6283397,3238824,4843654,-8278000,5577000,18306000,-205000,4908000,9955000,3325000,22669000,27724000,-14285000,11723000,28206000,-992000,-6598000,23675000,15322000,-25416000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/917491/000091664103000815/0000916641-03-000815-index.htm,- -,https://www.sec.gov/Archives/edgar/data/917491/000114420405007777/0001144204-05-007777-index.htm,https://www.sec.gov/Archives/edgar/data/917491/000114420406026617/0001144204-06-026617-index.htm,https://www.sec.gov/Archives/edgar/data/917491/000119312507055770/0001193125-07-055770-index.htm,https://www.sec.gov/Archives/edgar/data/917491/000119312508051713/0001193125-08-051713-index.htm,https://www.sec.gov/Archives/edgar/data/917491/000119312509040718/0001193125-09-040718-index.html,https://www.sec.gov/Archives/edgar/data/917491/000119312510041855/0001193125-10-041855-index.html,https://www.sec.gov/Archives/edgar/data/917491/000119312511046911/0001193125-11-046911-index.htm,https://www.sec.gov/Archives/edgar/data/917491/000119312512085333/0001193125-12-085333-index.html,https://www.sec.gov/Archives/edgar/data/917491/000119312513080082/0001193125-13-080082-index.html,https://www.sec.gov/Archives/edgar/data/917491/000119312514069747/0001193125-14-069747-index.htm,https://www.sec.gov/Archives/edgar/data/917491/000119312515062752/d837795d10k.htm,https://www.sec.gov/Archives/edgar/data/917491/000119312516484895/0001193125-16-484895-index.html,https://www.sec.gov/Archives/edgar/data/917491/000091749117000010/0000917491-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/917491/000091749118000007/0000917491-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/917491/000091749119000012/0000917491-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/917491/000091749120000012/0000917491-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/917491/000162828021002375/0001628280-21-002375-index.htm,https://www.sec.gov/Archives/edgar/data/917491/000162828022002858/0001628280-22-002858-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
