,https://roic.ai/company/AERG,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/879911/000089155400500063/0000891554-00-500063-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/879911/000114420409014274/0001144204-09-014274-index.html,https://www.sec.gov/Archives/edgar/data/879911/000114420410013621/0001144204-10-013621-index.html,- -,https://www.sec.gov/Archives/edgar/data/879911/000114420412018030/0001144204-12-018030-index.html,https://www.sec.gov/Archives/edgar/data/879911/000114420413018747/0001144204-13-018747-index.html,https://www.sec.gov/Archives/edgar/data/879911/000114420414022417/0001144204-14-022417-index.htm,- -,https://www.sec.gov/Archives/edgar/data/879911/000114420416091316/0001144204-16-091316-index.html,https://www.sec.gov/Archives/edgar/data/879911/000114420417018119/0001144204-17-018119-index.html,https://www.sec.gov/Archives/edgar/data/879911/000161577418002699/0001615774-18-002699-index.htm,https://www.sec.gov/Archives/edgar/data/879911/000161577419005086/0001615774-19-005086-index.html,https://www.sec.gov/Archives/edgar/data/879911/000121390020008513/0001213900-20-008513-index.htm,https://www.sec.gov/Archives/edgar/data/879911/000121390021021158/0001213900-21-021158-index.htm,https://www.sec.gov/Archives/edgar/data/879911/000121390022016299/0001213900-22-016299-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,800000,100000,100000,1000000,700000,2100000,27100000,2900000,7300000,2700000,200000,822000,3495779,400000,22100000,15000000,15200000,9600000,9000000,3900000,2600000,1100000,364230,136840,680,2760,178550,88420,3323290,3662615
32,Short-Term Investments,- -,2000000,400000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,8500000,- -,200000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,2800000,500000,600000,1000000,700000,2100000,27100000,2900000,7300000,2700000,200000,822000,3495779,12400000,30600000,15000000,15400000,9800000,9000000,3900000,2600000,1100000,364230,136840,680,2760,178550,88420,3323290,3662615
34,Net Receivables,- -,- -,1000000,400000,4500000,7100000,11500000,17400000,20200000,20000000,20100000,26600000,24467000,4527753,5400000,1300000,3300000,2700000,1100000,2100000,600000,- -,- -,- -,- -,- -,- -,60310,2880,2880,- -
35,Inventory,- -,- -,600000,1100000,2400000,3400000,5300000,11800000,17000000,12800000,11000000,8000000,9138000,341334,1300000,2200000,1500000,200000,800000,700000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,500000,700000,100000,200000,1800000,800000,1600000,2700000,2500000,2400000,2800000,1305000,404619,500000,600000,400000,600000,500000,300000,300000,100000,100000,59310,- -,310,320,10930,52680,39352,43391
37,Total Current Assets,- -,3300000,2800000,2200000,8100000,13000000,19700000,57900000,42800000,42600000,36200000,37600000,35732000,8769485,19600000,34700000,20200000,18900000,12200000,12100000,4900000,2800000,1200000,423540,136840,990,3080,249790,143980,3365522,3706006
38,PP&E,- -,- -,100000,600000,1000000,1200000,2300000,3600000,11600000,13600000,6000000,4900000,4018000,1416072,1700000,2200000,1600000,3500000,2800000,2500000,2400000,100000,- -,- -,- -,- -,- -,38890,36570,19466,751480
39,Goodwill,- -,- -,2000000,1900000,16500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,200000,300000,800000,200000,16200000,42700000,60200000,78700000,78000000,62900000,52700000,51089000,2352334,800000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,200000,2300000,2700000,16700000,16200000,42700000,60200000,78700000,78000000,62900000,52700000,51089000,2352334,2300000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,300000,500000,800000,1600000,200000,1200000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,200000,800000,200000,2300000,2900000,3300000,4300000,2800000,4100000,2600000,3700000,5720000,- -,100000,200000,7600000,300000,300000,200000,200000,- -,- -,- -,- -,- -,- -,441190,2665710,1250001,-3272336
45,Total Non-Current Assets,- -,400000,3200000,3500000,20000000,20600000,48800000,68900000,94700000,95900000,72700000,61800000,60827000,3768406,4100000,2500000,9300000,3800000,3100000,2700000,2600000,100000,- -,- -,- -,- -,- -,480080,2702280,1269467,-2520856
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3700000,6000000,5700000,28100000,33600000,68500000,126800000,137500000,138500000,108900000,99400000,96559000,12537891,23700000,37200000,29500000,22700000,15300000,14800000,7500000,2900000,1200000,423540,136840,990,3080,729870,2846260,4634989,1185150
48,Accounts Payable,- -,600000,500000,1600000,2600000,1300000,1800000,4500000,4400000,6200000,3300000,7200000,8954000,1639018,1000000,600000,1100000,900000,400000,900000,300000,100000,- -,4970,- -,66990,80740,681410,472870,152445,195381
49,Short-Term Debt,- -,- -,1100000,600000,2200000,3700000,9000000,- -,- -,3125000,21650000,22748000,27227000,2802435,37617,46974,13937,2028,- -,- -,- -,- -,- -,- -,- -,- -,53097,- -,3467890,1547695,1076227
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2152,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,600000,300000,- -,2600000,6700000,6700000,5500000,8175000,6350000,4952000,5083000,866762,1162383,1753026,2586063,1497972,1200000,1600000,997848,200000,300000,386260,55140,281910,730993,688930,327660,99017,144139
53,Total Current Liabilities,- -,600000,2200000,2500000,4800000,7600000,17500000,11200000,9900000,17500000,31300000,34900000,41264000,5308215,2200000,2400000,3700000,2400000,1600000,2500000,1300000,300000,300000,391230,55140,348900,864830,1370340,4268420,1799157,1415747
54,Long-Term Debt,- -,- -,- -,- -,8000000,6200000,17600000,- -,15500000,13900000,- -,- -,- -,3482,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,1133462,507188
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,239000,9577,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,400000,1400000,64000000,65600000,62000000,59700000,57500000,- -,- -,100000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
