,https://roic.ai/company/CHRW,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),20700000,23500000,28300000,35100000,46516000,54381000,61589000,72049000,88784000,129395000,162763000,199253000,219210000,226231000,237076000,263092000,364658000,257457000,273720000,313082000,298566000,223570000,215768000,165289000,121910000,178046000
23,Net Income,34600000,27600000,43000000,53300000,71242000,83992000,96325000,114123000,137254000,203358000,266925000,324261000,359177000,360830000,387026000,431612000,593804000,415904000,449711000,509699000,513384000,504893000,664505000,576968000,506421000,844245000
24,Net Income ratio,0.0215,0.0154,0.0211,0.0236,0.0247,0.0272,0.0292,0.0316,0.0316,0.0357,0.0407,0.0443,0.0419,0.0476,0.0417,0.0418,0.0523,0.0326,0.0334,0.0378,0.0391,0.0340,0.0400,0.0377,0.0312,0.0365
25,EPS,0.21,0.17,0.26,0.32,0.42,0.50,0.57,0.68,0.81,1.20,1.56,1.90,2.12,2.15,2.35,2.63,3.68,2.65,3.06,3.52,3.60,3.59,4.78,4.21,3.74,6.37
26,EPS Diluted,0.21,0.17,0.26,0.32,0.41,0.49,0.56,0.67,0.80,1.16,1.53,1.86,2.08,2.13,2.33,2.62,3.67,2.65,3.05,3.51,3.59,3.57,4.73,4.19,3.72,6.31
27,Weighted Average Shares Outstanding,167196000,165140000,164864000,164912000,169058000,168748000,168736000,168774000,169228000,170052000,170888000,170493000,169056000,167695000,164909000,164114000,161557000,156915000,147202000,144967000,142706000,140610000,139010000,136955000,135532000,132482000
28,Weighted Average Shares Outstanding Diluted,167196000,165208000,165236000,166012000,171434000,171548000,171514000,172138000,173144000,174698000,174787000,174040000,172733000,169194000,165972000,164741000,161946000,157080000,147542000,145349000,142991000,141382000,140405000,137735000,136173000,133834000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1043277/000104596998000295/0001045969-98-000295-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000104596999000186/0001045969-99-000186-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000104596900000210/0001045969-00-000210-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000095010901500359/0000950109-01-500359-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000104596902000429/0001045969-02-000429-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000104596903000650/0001045969-03-000650-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000119312504042242/0001193125-04-042242-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000119312505050796/0001193125-05-050796-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000119312506056510/d10k.htm,https://www.sec.gov/Archives/edgar/data/1043277/000119312507044015/d10k.htm,https://www.sec.gov/Archives/edgar/data/1043277/000119312508043464/d10k.htm,https://www.sec.gov/Archives/edgar/data/1043277/000119312509040954/0001193125-09-040954-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000119312510044679/0001193125-10-044679-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000119312511051458/d10k.htm,https://www.sec.gov/Archives/edgar/data/1043277/000119312512088389/0001193125-12-088389-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000104327713000004/0001043277-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000104327714000004/chrw-10k2013.htm,https://www.sec.gov/Archives/edgar/data/1043277/000162828015001350/chrw-10k2014.htm,https://www.sec.gov/Archives/edgar/data/1043277/000104327716000020/0001043277-16-000020-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000104327717000004/0001043277-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000104327718000007/0001043277-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000104327719000006/0001043277-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000104327720000016/0001043277-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000104327721000009/0001043277-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1043277/000104327722000006/0001043277-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,42600000,62500000,99300000,49600000,79912000,115741000,132999000,198513000,166476000,230628000,348592000,338885000,494743000,337308000,398607000,373669000,210019000,162047000,128940000,168229000,247666000,333890000,378615000,447858000,243796000,257413000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,45227000,45736000,121600000,122551000,124767000,115842000,2644000,48310000,9290000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,42600000,62500000,99300000,49600000,79912000,115741000,178226000,244249000,288076000,353179000,473359000,454727000,497387000,385618000,407897000,373669000,210019000,162047000,128940000,168229000,247666000,333890000,378615000,447858000,243796000,257413000
34,Net Receivables,170900000,224000000,221000000,270300000,354953000,370378000,391670000,457455000,544274000,716725000,764995000,911780000,828884000,885543000,1036070000,1189637000,1412136000,1449581000,1571591000,1505620000,1711191000,2113930000,2322073000,2107255000,2646753000,4417147000
35,Inventory,5300000,3100000,3500000,1800000,1859000,2660000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,61600000,21100000,51000000,21400000,23515000,14436000,18676000,15625000,13637000,14877000,17794000,22649000,21600000,36108000,37801000,48237000,50135000,52857000,404928000,56849000,49245000,63116000,52386000,85005000,51152000,129593000
37,Total Current Assets,280400000,310700000,374800000,343100000,460239000,503215000,588572000,717329000,845987000,1084781000,1256148000,1389156000,1347871000,1307269000,1481768000,1611543000,1672290000,1664485000,2105459000,1730698000,2008102000,2510936000,2753074000,2640118000,2941701000,4804153000
38,PP&E,23000000,22200000,19500000,24700000,29402000,30920000,26476000,25625000,51122000,60721000,82071000,101665000,104088000,117699000,114333000,126830000,149851000,160703000,152471000,190874000,232953000,230326000,228301000,519283000,498734000,432390000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,261766000,278739000,324704000,361666000,359116000,359688000,822215000,829073000,825038000,1108337000,1232796000,1275816000,1258922000,1291760000,1487187000,1484754000
40,Intangible Assets,7800000,6700000,12600000,153600000,154174000,148146000,157297000,158871000,176887000,241657000,15957000,14470000,14900000,18371000,13495000,10029000,152220000,132456000,112262000,141677000,194828000,178361000,143497000,142693000,173524000,159718000
41,Intangible Assets,7800000,6700000,12600000,153600000,154174000,148146000,157297000,158871000,176887000,241657000,277723000,293209000,339604000,380037000,372611000,369717000,974435000,961529000,937300000,1250014000,1427624000,1454177000,1402419000,1434453000,1660711000,1644472000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6668000,16013000,14833000,14422000,7836000,- -,- -,- -,- -,- -,2250000,6870000,9993000,13485000,18640000,124900000
44,Other Non-Current Assets,9600000,1000000,2200000,1300000,392000,1209000,4806000,6324000,6700000,7909000,9083000,11264000,9325000,14821000,19151000,29951000,7649000,16101000,19108000,12772000,16829000,33525000,33625000,33721000,24472000,22197000
45,Total Non-Current Assets,40400000,29900000,34300000,179600000,183968000,180275000,188579000,190820000,234709000,310287000,375545000,422151000,467850000,526979000,513931000,526498000,1131935000,1138333000,1108879000,1453660000,1679656000,1724898000,1674338000,2000942000,2202557000,2223959000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,320800000,340600000,409100000,522700000,644207000,683490000,777151000,908149000,1080696000,1395068000,1631693000,1811307000,1815721000,1834248000,1995699000,2138041000,2804225000,2802818000,3214338000,3184358000,3687758000,4235834000,4427412000,4641060000,5144258000,7028112000
48,Accounts Payable,140400000,166800000,192900000,231600000,285932000,267708000,275157000,261206000,303082000,473882000,540129000,530752000,568758000,606514000,567961000,642672000,639460000,685890000,716654000,697585000,839736000,1000305000,971023000,984604000,1195099000,1813473000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,253646000,375000000,605000000,450000000,740000000,715000000,5000000,204165000,66174000,591311000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34438000,47055000,54357000,121581000,11681000,4616000,12573000,15472000,12240000,28360000,12354000,43700000,100265000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,26000000,34800000,46700000,44300000,60319000,55820000,68317000,119995000,149737000,138601000,146820000,226867000,128895000,125293000,203646000,233960000,339111000,209091000,254206000,301012000,265982000,272144000,457300000,367269000,578459000,921558000
53,Total Current Liabilities,166400000,201600000,239600000,275900000,346251000,323528000,343474000,381201000,452819000,612483000,686949000,757619000,697653000,731807000,771607000,876632000,1232217000,1269981000,1575860000,1448597000,1845718000,1987449000,1433323000,1556038000,1839732000,3326342000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22541000,- -,- -,- -,500000000,500000000,500000000,500000000,750000000,1341352000,1092448000,1361873000,1635018000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,940000,3241000,6280000,7315000,4153000,1469000,- -,- -,9887000,10546000,10667000,- -,45113000,70618000,66961000,65460000,65122000,45355000,35757000,39776000,22182000,16113000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,906000,1567000,2603000,2868000,1079000,1022000,11439000,960000,-10546000,9357000,12935000,22523000,22495000,24502000,19851000,19071000,27285000,21893000,282068000,40538000,28705000
58,Total Non-Current Liabilities,- -,- -,- -,- -,940000,4147000,7847000,9918000,7021000,2548000,1022000,11439000,10847000,22541000,20024000,12935000,67636000,593113000,591463000,585311000,584193000,822640000,1399002000,1414292000,1424593000,1679836000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,320724000,334746000,307680000
61,Total Liabilities,166400000,201600000,239600000,275900000,347191000,327675000,351321000,391119000,459840000,615031000,687971000,769058000,708500000,754348000,791631000,889567000,1299853000,1863094000,2167323000,2033908000,2429911000,2810089000,2832325000,2970330000,3264325000,5006178000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,4200000,8462000,8446000,8451000,8530000,8524000,17303000,17266000,17082000,17044000,16710000,16605000,16344000,16133000,15020000,14646000,14345000,14126000,13954000,13728000,13490000,13430000,12919000
64,Retained Earnings,150600000,73500000,106200000,147600000,204463000,270711000,345080000,428672000,498406000,640551000,807983000,1002964000,1207428000,1402306000,1613912000,1845032000,2218229000,2413833000,2648539000,2922620000,3190578000,3437093000,3845593000,4144834000,4372833000,4936861000
65,Other Comprehensive Income/Loss,-13600000,-18600000,-21800000,-26600000,-29425000,-35467000,-8755000,-31024000,-32633000,-89111000,-202000,263000,2165000,-1636000,-6425000,-9115000,-9345000,-10620000,-28610000,-37946000,-61442000,-18460000,-71935000,-76149000,-45998000,-61134000
66,Other Total Stockholders Equity,17400000,84100000,85100000,121600000,113516000,112125000,81054000,110852000,146559000,211294000,118675000,21940000,-119416000,-337480000,-420024000,-603787000,-720645000,-1478509000,-1587560000,-1748569000,-1885415000,-2006842000,-2192299000,-2411445000,-2460332000,-2866712000
67,Total Stockholders Equity,154400000,139000000,169500000,246800000,297016000,355815000,425830000,517030000,620856000,780037000,943722000,1042249000,1107221000,1079900000,1204068000,1248474000,1504372000,939724000,1047015000,1150450000,1257847000,1425745000,1595087000,1670730000,1879933000,2021934000
68,Total Liabilities And Stockholders Equity,320800000,340600000,409100000,522700000,644207000,683490000,777151000,908149000,1080696000,1395068000,1631693000,1811307000,1815721000,1834248000,1995699000,2138041000,2804225000,2802818000,3214338000,3184358000,3687758000,4235834000,4427412000,4641060000,5144258000,7028112000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,320800000,340600000,409100000,522700000,644207000,683490000,777151000,908149000,1080696000,1395068000,1631693000,1811307000,1815721000,1834248000,1995699000,2138041000,2804225000,2802818000,3214338000,3184358000,3687758000,4235834000,4427412000,4641060000,5144258000,7028112000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1043277/000104596998000295/0001045969-98-000295-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000104596999000186/0001045969-99-000186-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000104596900000210/0001045969-00-000210-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000095010901500359/0000950109-01-500359-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000104596902000429/0001045969-02-000429-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000104596903000650/0001045969-03-000650-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000119312504042242/0001193125-04-042242-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000119312505050796/0001193125-05-050796-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000119312506056510/d10k.htm,https://www.sec.gov/Archives/edgar/data/1043277/000119312507044015/d10k.htm,https://www.sec.gov/Archives/edgar/data/1043277/000119312508043464/d10k.htm,https://www.sec.gov/Archives/edgar/data/1043277/000119312509040954/0001193125-09-040954-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000119312510044679/0001193125-10-044679-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000119312511051458/d10k.htm,https://www.sec.gov/Archives/edgar/data/1043277/000119312512088389/0001193125-12-088389-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000104327713000004/0001043277-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000104327714000004/chrw-10k2013.htm,https://www.sec.gov/Archives/edgar/data/1043277/000162828015001350/chrw-10k2014.htm,https://www.sec.gov/Archives/edgar/data/1043277/000104327716000020/0001043277-16-000020-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000104327717000004/0001043277-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000104327718000007/0001043277-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000104327719000006/0001043277-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000104327720000016/0001043277-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/1043277/000104327721000009/0001043277-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1043277/000104327722000006/0001043277-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,34600000,27600000,43000000,53300000,71242000,83992000,96325000,114123000,137254000,203358000,266925000,324261000,359177000,360830000,387026000,431612000,593804000,415904000,449711000,509699000,513384000,504893000,664505000,576968000,506421000,844245000
74,Depreciation and Amortization,7600000,8700000,8500000,10100000,17318000,19136000,14029000,10992000,11814000,18500000,23932000,27366000,31164000,30514000,29369000,32498000,38090000,56882000,57009000,66409000,74669000,92977000,96729000,100449000,101727000,91259000
75,Deferred Income Tax,-2500000,4800000,-9300000,-4800000,-513000,11356000,624000,9078000,3156000,4480000,-8882000,-8915000,2951000,-630000,7574000,5750000,-14442000,25226000,-3117000,-17095000,15009000,-28096000,-15315000,-2407000,-32984000,-110188000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20804000,21267000,37047000,38601000,59381000,9094000,47861000,57661000,37565000,41805000,87791000,39083000,43995000,129977000
77,Change in Working Capital,-5300000,-4900000,26100000,-68000000,46788000,65699000,65411000,91030000,57040000,79130000,96901000,62338000,18681000,-74756000,134699000,24750000,-294838000,-45569000,135095000,-247498000,-119717000,361103000,796264000,-235671000,17889000,-859801000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-88107000,-87316000,-137102000,107560000,-173211000,-364181000,-190048000,208312000,-452145000,-1547545000
79,Inventory,2100000,2200000,-300000,1700000,-74000,-801000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70903000,21854000,14684000,68039000,61732000,47488000,40251000,-53272000,115917000,144041000,36083000,-17968000,180272000,660028000
81,Other Working Capital,114000000,109100000,135200000,67200000,113988000,179687000,245098000,336128000,393168000,472298000,569199000,631537000,650218000,575462000,710161000,734911000,440073000,394504000,529599000,282101000,162384000,523487000,1319751000,1084080000,1101969000,65787000
82,Other Non-Cash Items,1000000,34200000,9300000,61300000,-60345000,-105731000,-62250000,-115725000,-53323000,-76380000,-35499000,-96620000,14802000,35346000,-250936000,-103499000,78347000,-113760000,-173133000,349160000,8498000,-588681000,-837078000,356997000,-137857000,-537000
83,Cash Provided by Operating Activities,35400000,70400000,77600000,51900000,74490000,74452000,114139000,109498000,155941000,229088000,343377000,308430000,447579000,372571000,344779000,429712000,460342000,347777000,513426000,718336000,529408000,384001000,792896000,835419000,499191000,94955000
84,CAPEX,-4800000,-6300000,-11900000,-121600000,-15491000,-17101000,-7325000,-8574000,-34741000,-21824000,-43243000,-43713000,-23748000,-34466000,-28677000,-52806000,-50656000,-48206000,-29502000,-44642000,-91437000,-57945000,-63871000,-70465000,-54009000,-70922000
85,Acquisitions Net,- -,- -,- -,- -,-5898000,- -,-15995000,-2089000,-19112000,-60153000,-39724000,-22220000,-59661000,-41145000,- -,- -,-308829000,19126000,- -,-369833000,-220203000,-49068000,-5315000,-59200000,-223230000,-14750000
86,Purchases of Investments,- -,-81300000,-57900000,-13600000,- -,- -,-45209000,-56302000,-70139000,-114696000,-119864000,-204020000,-136954000,-52437000,-10752000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,119100000,37600000,45500000,- -,- -,- -,55781000,69366000,113747000,118838000,214299000,251074000,3975000,53111000,9311000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-7900000,23800000,600000,900000,-2703000,3884000,-1714000,-1889000,-190000,-3748000,2756000,-68000,769000,185000,-5084000,-11692000,-14141000,-7631000,-366532000,343502000,-19333000,-18344000,-22493000,-17539000,-25351000,-36725000
89,Cash Used for Investing Activites,-12700000,55300000,-31600000,-88800000,-24092000,-13217000,-70243000,-13073000,-54816000,-86674000,-81237000,-55722000,31480000,-123888000,8598000,-38313000,-359066000,-28859000,-388896000,-54446000,-312988000,-107534000,-72808000,-113029000,-271714000,-85672000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18271000,-1341000,- -,- -,-75688000,-4043669000,-4593000000,-6988000000,-6310000000,-8809000000,-3384000000,-1595000000,-1579600000,-3205299000
91,Common Stock Issued,- -,100000,1300000,1500000,3250000,5203000,7708000,10137000,10496000,15549000,18184000,13740000,23327000,17741000,17733000,9596000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-6900000,-1400000,-3100000,-2700000,-9935000,-13709000,-13221000,-16090000,-29616000,-38842000,-85270000,-167323000,-200846000,-266906000,-151057000,-240934000,-255849000,-807449000,-176645000,-241231000,-209603000,-207042000,-322255000,-324559000,-177514000,-608476000
93,Dividends Paid,-7700000,-104400000,-7400000,-11500000,-13438000,-16900000,-20266000,-27046000,-40902000,-51458000,-90837000,-125183000,-151195000,-162865000,-168902000,-194697000,-275353000,-220257000,-215008000,-235615000,-245430000,-258222000,-265219000,-277786000,-209956000,-277321000
94,Other Financing Activites,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,12078000,16668000,20945000,11307000,13092000,10937000,342552000,4706471000,4841016000,6857105000,6637733000,9072130000,3316297000,1546092000,1526403000,4098669000
95,Cash Used/Provided by Financing Activities,-14500000,-105700000,-9200000,-12700000,-20123000,-25406000,-25779000,-32999000,-60022000,-74751000,-145845000,-262098000,-326040000,-402064000,-289134000,-415098000,-264338000,-364904000,-143637000,-607741000,-127300000,-202134000,-655177000,-651253000,-440667000,7573000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-859000,2088000,1960000,-3511000,1669000,-317000,2839000,-4054000,-2944000,-1239000,-588000,-1986000,-14000000,-16860000,-9683000,11891000,-20186000,-1894000,9128000,-3239000
97,Net Change In Cash,8100000,19900000,36800000,-49700000,30275000,35829000,17258000,65514000,43063000,64152000,117964000,-9707000,155858000,-157435000,61299000,-24938000,-163650000,-47972000,-33107000,39289000,79437000,86224000,44725000,69243000,-204062000,13617000
98,Cash at the End of Period,42600000,62500000,99300000,49600000,79912000,115741000,132999000,198513000,166476000,230628000,348592000,338885000,494743000,337308000,398607000,373669000,210019000,162047000,128940000,168229000,247666000,333890000,378615000,447858000,243796000,257413000
99,Cash at the Beginning of Period,34500000,42600000,62500000,99300000,49637000,79912000,115741000,132999000,123413000,166476000,230628000,348592000,338885000,494743000,337308000,398607000,373669000,210019000,162047000,128940000,168229000,247666000,333890000,378615000,447858000,243796000
100,Free Cash Flow,30600000,64100000,65700000,-69700000,58999000,57351000,106814000,100924000,121200000,207264000,300134000,264717000,423831000,338105000,316102000,376906000,409686000,299571000,483924000,673694000,437971000,326056000,729025000,764954000,445182000,24033000
