,https://roic.ai/company/CTXS,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,1900000,18700000,41400000,61100000,116900000,94512000,105260000,93920000,126943000,131546000,166340000,182997000,214483000,178276000,191017000,277065000,356322000,352547000,339523000,251723000,319361000,536112000,-20719000,575667000,681813000,504446000,307499000
24,Net Income ratio,0.1301,0.4202,0.3341,0.2458,0.2899,0.2009,0.1779,0.1781,0.2157,0.1775,0.1830,0.1613,0.1541,0.1126,0.1183,0.1478,0.1615,0.1363,0.1163,0.0801,0.0975,0.1568,-0.0073,0.1936,0.2265,0.1559,0.0956
25,EPS,0.00,0.11,0.17,0.36,0.33,0.51,0.57,0.53,0.77,0.78,0.97,1.01,1.18,0.98,1.05,1.48,1.92,1.89,1.85,1.57,2.08,3.46,-0.13,4.23,5.21,4.08,2.46
26,EPS Diluted,0.00,0.11,0.16,0.34,0.30,0.47,0.54,0.52,0.74,0.75,0.93,0.97,1.14,0.96,1.03,1.46,1.87,1.86,1.80,1.47,1.99,3.41,-0.13,3.94,5.03,4.00,2.44
27,Weighted Average Shares Outstanding,120912000,163818864,245166276,168472000,352520000,184804000,185460000,177428000,165323000,168868000,172221000,180992000,181501000,183764000,181541000,187490000,185814000,186342000,183289000,160776000,153817000,155134000,150779000,136030000,130853000,123575000,124861000
28,Weighted Average Shares Outstanding Diluted,120912000,163818864,261785682,182592000,385132000,199731000,194498000,179359000,171447000,174734000,178036000,187725000,187380000,186682000,184985000,190335000,190641000,189129000,188245000,171300000,160362000,157084000,155503000,145934000,135495000,126152000,126259000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/877890/0000927016-97-000962-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/877890/000095014403003643/g81173e10vk.htm,https://www.sec.gov/Archives/edgar/data/877890/000095014404002373/0000950144-04-002373-index.html,https://www.sec.gov/Archives/edgar/data/877890/000119312505047753/d10k.htm,https://www.sec.gov/Archives/edgar/data/877890/000119312506053617/d10k.htm,https://www.sec.gov/Archives/edgar/data/877890/000119312507197541/d10k.htm,https://www.sec.gov/Archives/edgar/data/877890/000119312508040132/0001193125-08-040132-index.html,https://www.sec.gov/Archives/edgar/data/877890/000119312509041053/0001193125-09-041053-index.html,https://www.sec.gov/Archives/edgar/data/877890/000119312510037944/0001193125-10-037944-index.html,https://www.sec.gov/Archives/edgar/data/877890/000119312511045415/0001193125-11-045415-index.html,https://www.sec.gov/Archives/edgar/data/877890/000087789012000019/0000877890-12-000019-index.html,https://www.sec.gov/Archives/edgar/data/877890/000087789013000016/0000877890-13-000016-index.html,https://www.sec.gov/Archives/edgar/data/877890/000087789014000007/ctxs12-31x201310xk.htm,https://www.sec.gov/Archives/edgar/data/877890/000087789015000016/ctxs12-31x201410xk.htm,https://www.sec.gov/Archives/edgar/data/877890/000087789016000184/0000877890-16-000184-index.html,https://www.sec.gov/Archives/edgar/data/877890/000087789017000030/0000877890-17-000030-index.html,https://www.sec.gov/Archives/edgar/data/877890/000087789018000025/0000877890-18-000025-index.html,https://www.sec.gov/Archives/edgar/data/877890/000087789019000035/0000877890-19-000035-index.html,https://www.sec.gov/Archives/edgar/data/877890/000087789020000051/0000877890-20-000051-index.html,https://www.sec.gov/Archives/edgar/data/877890/000087789021000051/0000877890-21-000051-index.htm,https://www.sec.gov/Archives/edgar/data/877890/000087789022000019/0000877890-22-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,43500000,99100000,140100000,127500000,216100000,375025000,139693000,142700000,359343000,73485000,484035000,349054000,223749000,326121000,261443000,396162000,333296000,643609000,280740000,260149000,368518000,956956000,1115130000,618766000,545761000,752895000,513993000
32,Short-Term Investments,- -,- -,- -,- -,222000000,91612000,77078000,77213000,252971000,159656000,18900000,152652000,356085000,249175000,338168000,497643000,406461000,285022000,453976000,529260000,502852000,727073000,632516000,583615000,43055000,124113000,13186000
33,Cash and Short-Term Investments,43500000,99100000,140100000,127500000,438100000,466637000,216771000,219913000,612314000,233141000,502935000,501706000,579834000,575296000,599611000,893805000,739757000,928631000,734716000,789409000,871370000,1684029000,1747646000,1202381000,588816000,877008000,527179000
34,Net Receivables,2400000,5500000,12600000,32800000,55300000,37299000,65032000,69471000,87464000,108399000,142015000,204974000,225861000,231296000,304912000,378395000,484431000,630956000,654821000,674401000,669276000,725940000,712535000,688420000,720359000,858009000,885311000
35,Inventory,200000,700000,2300000,4100000,7700000,4622000,3568000,1774000,- -,- -,3933000,6619000,9629000,11226000,8664000,6980000,8507000,10723000,14107000,12617000,10521000,12522000,13912000,21905000,15898000,20089000,23158000
36,Other Current Assets,300000,42200000,103400000,79600000,69100000,78173000,60684000,84141000,109707000,85040000,77574000,98438000,119021000,122322000,126108000,191299000,140335000,143425000,159451000,211897000,132784000,138786000,147330000,174195000,187659000,236000000,283337000
37,Total Current Assets,46400000,147500000,258400000,244000000,570200000,586731000,346055000,375299000,809485000,426580000,726457000,811737000,934345000,940140000,1039295000,1470479000,1373030000,1713735000,1563095000,1688324000,1683951000,2561277000,2621423000,2086901000,1512732000,1991106000,1718985000
38,PP&E,300000,2100000,6700000,14200000,31500000,55559000,90110000,76534000,65837000,69281000,73727000,92580000,134907000,254334000,247703000,250482000,277429000,303294000,338996000,367779000,373817000,343820000,252932000,243396000,438048000,395940000,373716000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,631690000,888516000,904504000,899819000,921100000,1239120000,1518219000,1768949000,1796851000,1962722000,1966810000,1614494000,1802670000,1798408000,1798408000,3400792000
40,Intangible Assets,- -,- -,- -,46800000,63400000,52339000,188977000,183213000,173664000,448624000,729327000,130462000,276315000,270222000,213195000,178144000,343372000,556205000,509595000,390717000,283418000,227993000,141952000,167187000,108478000,81491000,760293000
41,Intangible Assets,- -,- -,- -,46800000,63400000,52339000,188977000,183213000,173664000,448624000,729327000,762152000,1164831000,1174726000,1113014000,1099244000,1582492000,2074424000,2278544000,2187568000,2246140000,2194803000,1756446000,1969857000,1906886000,1879899000,4161085000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51000000,242000000,219000000,275585000,607646000,791854000,737844000,595313000,855700000,1073110000,891964000,980142000,984328000,574319000,16640000,14365000,14754000
43,Tax Assets,- -,- -,- -,- -,- -,- -,25071000,5587000,3168000,- -,- -,41594000,- -,12936000,37944000,43815000,67479000,43097000,115418000,128198000,215196000,252396000,152362000,136998000,361814000,386504000,417016000
44,Other Non-Current Assets,- -,- -,17600000,126400000,372800000,417944000,558017000,520898000,292785000,341599000,101145000,74410000,81610000,36585000,45545000,47726000,61267000,66539000,60496000,67028000,70370000,57789000,52685000,124578000,152806000,222533000,289961000
45,Total Non-Current Assets,300000,2100000,24300000,187400000,467700000,525842000,862175000,786232000,535454000,859504000,955199000,1212736000,1600348000,1754166000,2051852000,2233121000,2726511000,3082667000,3649154000,3823683000,3797487000,3828950000,3198753000,3049148000,2876194000,2899241000,5256532000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,46700000,149600000,282700000,431400000,1037900000,1112573000,1208230000,1161531000,1344939000,1286084000,1681656000,2024473000,2534693000,2694306000,3091147000,3703600000,4099541000,4796402000,5212249000,5512007000,5481438000,6390227000,5820176000,5136049000,4388926000,4890347000,6975517000
48,Accounts Payable,500000,800000,1000000,29700000,59600000,78739000,111928000,92926000,121643000,131287000,33495000,45217000,55586000,46672000,57352000,65842000,58034000,71116000,78452000,79884000,95396000,84057000,66893000,75551000,84538000,92266000,165250000
49,Short-Term Debt,100000,100000,- -,- -,- -,- -,- -,- -,351423000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1348156000,- -,1155445000,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49346000,29322000,12053000,18351000,39771000,34033000,44409000,60036000,42760000,35996000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,80573000,95963000,152938000,210872000,266223000,332770000,407305000,488695000,555514000,664332000,818642000,965276000,1098681000,1200093000,1249754000,1323478000,1308474000,1345243000,1352333000,1510216000,1708058000
52,Other Current Liabilities,3100000,6800000,34400000,55400000,77400000,80648000,- -,- -,- -,- -,126358000,157556000,191383000,195550000,221498000,289838000,302454000,306481000,286928000,310132000,335819000,342658000,311712000,334901000,391716000,549945000,480763000
53,Total Current Liabilities,3700000,7700000,35400000,85100000,137000000,159387000,192501000,188889000,626004000,342159000,426076000,535543000,654274000,730917000,834364000,1020012000,1179130000,1342873000,1464061000,1590109000,1680969000,3098349000,1687079000,2911140000,1828587000,2152427000,2354071000
54,Long-Term Debt,100000,- -,- -,- -,313900000,330497000,351845000,341577000,12137000,- -,31000000,- -,- -,- -,- -,- -,- -,- -,- -,1292953000,1324992000,- -,2127474000,741825000,742926000,1732622000,3492341000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44780000,63336000,114638000,141241000,232719000,313059000,357771000,414314000,480359000,555769000,489329000,443458000,392360000,329535000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30839000,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,50500000,48800000,53900000,29814000,16554000,16475000,- -,19020000,21100000,24641000,42094000,744000,4940000,8362000,48680000,68194000,115322000,97529000,87717000,123297000,457393000,434126000,536299000,500795000,252313000
58,Total Non-Current Liabilities,100000,- -,50500000,48800000,367800000,360311000,368399000,358052000,12137000,19020000,52100000,24641000,42094000,45524000,68276000,123000000,189921000,331752000,428381000,1748253000,1827023000,603656000,3140636000,1665280000,1722683000,2625777000,4074189000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,209382000,195767000,166014000
61,Total Liabilities,3700000,7700000,85900000,133900000,504800000,519698000,560900000,546941000,638141000,361179000,478176000,560184000,696368000,776441000,902640000,1143012000,1369051000,1674625000,1892442000,3338362000,3507992000,3702005000,4827715000,4576420000,3551270000,4778204000,6428260000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,200000,188000,197000,197000,203000,213000,226000,238000,252000,256000,265000,278000,283000,287000,291000,295000,299000,303000,306000,310000,319000,322000,325000
64,Retained Earnings,-12000000,6700000,48100000,109200000,226100000,320617000,425877000,519797000,646740000,778286000,944626000,1006706000,1208791000,1387067000,1578084000,1855149000,2211471000,2564018000,2903541000,3155264000,3474625000,4010737000,3509484000,4169019000,4660145000,4984333000,5100624000
65,Other Comprehensive Income/Loss,-300000,-500000,-2100000,-7100000,-15900000,-35369000,-64755000,3833000,7810000,6426000,-23336000,4180000,5751000,-15852000,-2060000,2023000,-11561000,-7705000,4951000,-36790000,-28527000,-28704000,-10806000,-8154000,-5127000,-3649000,-2896000
66,Other Total Stockholders Equity,55300000,135700000,150800000,195400000,322700000,307439000,286011000,90763000,52045000,139980000,281964000,453165000,623531000,546394000,612218000,695541000,530297000,565177000,411024000,-945124000,-1472951000,-1294114000,-2506523000,-3601546000,-3817681000,-4868863000,-4550796000
67,Total Stockholders Equity,43000000,141900000,196800000,297500000,533100000,592875000,647330000,614590000,706798000,924905000,1203480000,1464289000,1838325000,1917865000,2188507000,2552991000,2730490000,3121777000,3319807000,2173645000,1973446000,2688222000,992461000,559629000,837656000,112143000,547257000
68,Total Liabilities And Stockholders Equity,46700000,149600000,282700000,431400000,1037900000,1112573000,1208230000,1161531000,1344939000,1286084000,1681656000,2024473000,2534693000,2694306000,3091147000,3696003000,4099541000,4796402000,5212249000,5512007000,5481438000,6390227000,5820176000,5136049000,4388926000,4890347000,6975517000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7597000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,46700000,149600000,282700000,431400000,1037900000,1112573000,1208230000,1161531000,1344939000,1286084000,1681656000,2024473000,2534693000,2694306000,3091147000,3703600000,4099541000,4796402000,5212249000,5512007000,5481438000,6390227000,5820176000,5136049000,4388926000,4890347000,6975517000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/877890/0000927016-97-000962-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/877890/000095014403003643/g81173e10vk.htm,https://www.sec.gov/Archives/edgar/data/877890/000095014404002373/0000950144-04-002373-index.html,https://www.sec.gov/Archives/edgar/data/877890/000119312505047753/d10k.htm,https://www.sec.gov/Archives/edgar/data/877890/000119312506053617/d10k.htm,https://www.sec.gov/Archives/edgar/data/877890/000119312507197541/d10k.htm,https://www.sec.gov/Archives/edgar/data/877890/000119312508040132/0001193125-08-040132-index.html,https://www.sec.gov/Archives/edgar/data/877890/000119312509041053/0001193125-09-041053-index.html,https://www.sec.gov/Archives/edgar/data/877890/000119312510037944/0001193125-10-037944-index.html,https://www.sec.gov/Archives/edgar/data/877890/000119312511045415/0001193125-11-045415-index.html,https://www.sec.gov/Archives/edgar/data/877890/000087789012000019/0000877890-12-000019-index.html,https://www.sec.gov/Archives/edgar/data/877890/000087789013000016/0000877890-13-000016-index.html,https://www.sec.gov/Archives/edgar/data/877890/000087789014000007/ctxs12-31x201310xk.htm,https://www.sec.gov/Archives/edgar/data/877890/000087789015000016/ctxs12-31x201410xk.htm,https://www.sec.gov/Archives/edgar/data/877890/000087789016000184/0000877890-16-000184-index.html,https://www.sec.gov/Archives/edgar/data/877890/000087789017000030/0000877890-17-000030-index.html,https://www.sec.gov/Archives/edgar/data/877890/000087789018000025/0000877890-18-000025-index.html,https://www.sec.gov/Archives/edgar/data/877890/000087789019000035/0000877890-19-000035-index.html,https://www.sec.gov/Archives/edgar/data/877890/000087789020000051/0000877890-20-000051-index.html,https://www.sec.gov/Archives/edgar/data/877890/000087789021000051/0000877890-21-000051-index.htm,https://www.sec.gov/Archives/edgar/data/877890/000087789022000019/0000877890-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1900000,18700000,41400000,61100000,116900000,94512000,105260000,93920000,126943000,131546000,166340000,182997000,214483000,178276000,191017000,277065000,356322000,352547000,339523000,251723000,319361000,536112000,-20719000,575667000,681813000,504446000,307499000
74,Depreciation and Amortization,200000,400000,1700000,15200000,27600000,50248000,79588000,41438000,34336000,33578000,54619000,63583000,85197000,123706000,138577000,138158000,159255000,214873000,267500000,330270000,392879000,249038000,170015000,141896000,189472000,150410000,270380000
75,Deferred Income Tax,- -,- -,-24400000,-14500000,-14700000,-2200000,2471000,2262000,612000,9889000,-14348000,-4351000,62258000,-6843000,-50850000,-46676000,-67888000,-45952000,-43719000,-36982000,-89378000,-41104000,94158000,-13156000,-244933000,-3974000,-160849000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124755000,103506000,103758000,92909000,149940000,183941000,169287000,147368000,184788000,165120000,203619000,278892000,307710000,346751000
77,Change in Working Capital,500000,97100000,83200000,-64100000,274300000,-5856000,-273790000,32856000,-2929000,-99060000,215960000,-24187000,3877000,-70848000,-4292000,245536000,-256567000,176962000,-271828000,-819000,-95233000,-540054000,1471416000,-1758583000,508384000,154534000,-216375000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10975000,-74604000,-79058000,-95481000,-107628000,-22951000,-30962000,-7226000,-60636000,-33904000,18703000,-38994000,-151830000,-24182000
79,Inventory,-100000,-500000,-1600000,-1800000,-5600000,-3762000,-1238000,387000,-4413000,9172000,-1707000,-5869000,-6316000,-2271000,601000,-1192000,-3097000,-2024000,-5591000,-1167000,703000,-4133000,-2545000,-8239000,3046000,-4220000,-4028000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6808000,4613000,9612000,-11758000,-426000,3092000,40000,10959000,-20905000,-7238000,6804000,8994000,7532000,64219000
81,Other Working Capital,42700000,139800000,223000000,158900000,433200000,427344000,153554000,186410000,183481000,84421000,300381000,276194000,280071000,209223000,204931000,450467000,193900000,370862000,99034000,98215000,2982000,-537072000,934344000,-824239000,-315855000,-161321000,33575000
82,Other Non-Cash Items,200000,-94000000,-4200000,121600000,-220100000,106533000,316314000,16627000,96469000,189328000,-129428000,110674000,58303000,113061000,106016000,-101549000,395091000,-29843000,452926000,132502000,359551000,727050000,-971714000,1885902000,-630558000,-177317000,124245000
83,Cash Provided by Operating Activities,2800000,22200000,97700000,119300000,184000000,243237000,229843000,187103000,255431000,265281000,293143000,328716000,424118000,462107000,483974000,616292000,679122000,818527000,928343000,845981000,1034548000,1115830000,908276000,1035345000,783070000,935809000,671651000
84,CAPEX,-100000,-2200000,-6100000,-75000000,-61300000,-43532000,-60557000,-19104000,-11063000,-24412000,-26377000,-52051000,-89169000,-221464000,-79536000,-92091000,-127369000,-150718000,-175042000,-179093000,-172228000,-160512000,-88280000,-72564000,-66954000,-50019000,-95561000
85,Acquisitions Net,- -,- -,- -,- -,- -,-30102000,-183754000,-10680000,- -,-140788000,-168347000,-61462000,-148055000,-28023000,-3338000,-20510000,-455377000,-487221000,-334881000,-101059000,-256907000,-13242000,-60449000,-248929000,- -,- -,-2022304000
86,Purchases of Investments,- -,-38200000,-126500000,-284800000,-547500000,-569795000,-553490000,-364482000,-198673000,-192745000,-183245000,-709565000,-639414000,-591919000,-1141830000,-1296923000,-1377556000,-1441989000,-1710800000,-2394574000,-2182831000,-2238784000,-1155659000,-466687000,-20003000,-513608000,-23719000
87,Sales/Maturities of Investments,- -,- -,75600000,219900000,151300000,642986000,415633000,393454000,239366000,414063000,538232000,385821000,459037000,682784000,721839000,952482000,1509121000,1718538000,1282573000,2105269000,2388818000,1928073000,1242035000,923562000,1121055000,434304000,134273000
88,Other Investing Activites,- -,100000,-2600000,-7300000,- -,-1333000,- -,902000,-2930000,-16784000,- -,- -,- -,-40418000,-3290000,-16715000,-15437000,-24310000,-12153000,-13676000,-12670000,-26081000,-8947000,-6412000,-1849000,-17563000,-4335000
89,Cash Used for Investing Activites,-100000,-40300000,-59600000,-147200000,-457500000,-1776000,-382168000,90000,26700000,39334000,160263000,-437257000,-417601000,-158622000,-502865000,-457042000,-451181000,-357940000,-938150000,-569457000,-224415000,-484204000,-63921000,132180000,1035749000,-138305000,-1999517000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-407000,- -,- -,-11561000,-24346000,-2061000,-4065000,-102569000,- -,-169000000,-278660000,-1364497000,-750000000,-340000000
91,Common Stock Issued,38900000,73900000,3000000,15300000,70400000,75358000,129369000,7981000,59078000,63463000,101592000,230656000,118395000,44372000,165998000,353557000,125606000,- -,- -,- -,- -,- -,- -,- -,- -,- -,283000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-157850000,-210222000,-164372000,-124554000,-121903000,-174350000,-274161000,-259970000,-256458000,-214944000,-433739000,-424849000,-251008000,-406326000,-1640885000,-755704000,-28689000,-1324957000,-1261153000,-453853000,-1288483000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46799000,-182947000,-172006000,-183788000
94,Other Financing Activites,-100000,-200000,-100000,- -,291700000,-60000,-2154000,-27795000,-12000,-355659000,29902000,17065000,9753000,5559000,3409000,53866000,18190000,125572000,56106000,1352282000,166822000,-9342000,799590000,-71429000,110787000,1615301000,1618411000
95,Cash Used/Provided by Financing Activities,38800000,73700000,2900000,15300000,362100000,-82552000,-83007000,-184186000,-65488000,-414099000,-42856000,-26440000,-131822000,-206934000,-45537000,-26316000,-292614000,-149782000,-352281000,-292668000,-691451000,-38031000,-694367000,-1658041000,-1890510000,-595188000,1094906000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5821000,-250000,1785000,1807000,-492000,-781000,-4447000,-10313000,-5157000,8186000,-5848000,-1314000,4818000,-5942000
97,Net Change In Cash,- -,- -,- -,- -,88600000,158909000,-235332000,3007000,216643000,-109484000,410550000,-134981000,-125305000,102372000,-64678000,134719000,-62866000,310313000,-362869000,-20591000,108369000,588438000,158174000,-496364000,-73005000,207134000,-238902000
98,Cash at the End of Period,- -,- -,- -,- -,216100000,375025000,139693000,142700000,359343000,73485000,484035000,349054000,223749000,326121000,261443000,396162000,333296000,643609000,280740000,260149000,368518000,956956000,1115130000,618766000,545761000,752895000,513993000
99,Cash at the Beginning of Period,1900000,43500000,99100000,140100000,127500000,216116000,375025000,139693000,142700000,182969000,73485000,484035000,349054000,223749000,326121000,261443000,396162000,333296000,643609000,280740000,260149000,368518000,956956000,1115130000,618766000,545761000,752895000
100,Free Cash Flow,2700000,20000000,91600000,44300000,122700000,199705000,169286000,167999000,244368000,240869000,266766000,276665000,334949000,240643000,404438000,524201000,551753000,667809000,753301000,666888000,862320000,955318000,819996000,962781000,716116000,885790000,576090000
