,https://roic.ai/company/MPAA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0565,0.0812,0.0637,0.0584,- -,-0.1454,-0.0255,0.0679,0.0634,0.0425,0.0656,0.0327,-0.0364,0.0346,0.0286,0.0655,0.0758,-0.1334,-0.2252,0.4150,0.0380,0.0286,0.0892,0.0381,-0.0166,-0.0136,0.0397
25,EPS,0.50,0.93,1.11,1.20,- -,-4.37,-0.63,1.61,1.33,0.81,0.77,0.44,-0.59,0.40,0.32,0.80,1.01,-3.90,-6.39,7.34,0.68,0.58,2.02,0.87,-0.42,-0.39,1.13
26,EPS Diluted,0.49,0.93,1.11,1.16,- -,-4.37,-0.63,1.51,1.24,0.77,0.73,0.43,-0.59,0.39,0.32,0.80,0.99,-3.90,-6.39,7.01,0.65,0.55,1.93,0.84,-0.42,-0.39,1.11
27,Weighted Average Shares Outstanding,3200000,3939000,5007000,5521000,- -,6460455,6460455,7253606,7960455,8023228,8151459,8251319,8348069,11522326,11995622,11988692,12042428,12442684,14327310,14633946,16734539,18233163,18608812,18854993,18849909,18913788,19023145
28,Weighted Average Shares Outstanding Diluted,3265306,3939000,5007000,5693000,- -,6460455,6460455,7765958,8540560,8388129,8599969,8483323,8348069,11808219,12086126,12116615,12334331,12442684,14327310,15317931,17605940,19066093,19418706,19514775,18849909,18913788,19387555
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/918251/0000910680-97-000221-index.html,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/918251/000091205702025946/0000912057-02-025946-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000095015003000755/0000950150-03-000755-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000095012904004522/0000950129-04-004522-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000095012905008977/0000950129-05-008977-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000095013406013114/0000950134-06-013114-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000095014807000169/0000950148-07-000169-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000095012408002726/0000950124-08-002726-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000095012309013860/0000950123-09-013860-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000095012310057745/0000950123-10-057745-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000114036111032524/0001140361-11-032524-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000114036112041905/0001140361-12-041905-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000114036113025425/0001140361-13-025425-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000114036114025769/0001140361-14-025769-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000114036115024320/0001140361-15-024320-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000114036116069709/0001140361-16-069709-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000114036117024968/0001140361-17-024968-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000114036118028577/0001140361-18-028577-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000114036119011947/0001140361-19-011947-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000114036120013784/0001140361-20-013784-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000114036121020805/0001140361-21-020805-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,600000,164000,3539000,3108000,- -,1123000,164000,92000,1307000,7630000,6211000,400000,349000,1935000,452000,1210000,2477000,32617000,19434000,24599000,61230000,21897000,9029000,13049000,9911000,49616000,15523000
32,Short-Term Investments,- -,8336000,- -,- -,- -,224000,191000,272000,162000,288000,503000,660000,859000,373000,335000,451000,304000,342000,411000,521000,699000,1813000,2140000,2828000,3273000,850000,1652000
33,Cash and Short-Term Investments,600000,8500000,3539000,3108000,- -,1347000,355000,364000,1469000,7918000,6714000,1060000,1208000,2308000,787000,1661000,2781000,32959000,19845000,25120000,61929000,23710000,11169000,15877000,13184000,50466000,17175000
34,Net Receivables,10700000,17264000,22328000,29591000,- -,15263000,7324000,17922000,12764000,14626000,11513000,13775000,3929000,3556000,11121000,- -,10635000,20036000,14311000,22283000,24799000,8548000,26017000,23534000,88207000,115362000,90467000
35,Inventory,12100000,28551000,41862000,54736000,- -,36246000,35209000,34270000,27583000,28744000,50996000,66389000,35730000,36831000,32631000,35471000,34764000,104890000,73240000,54780000,64662000,68580000,75097000,83783000,242195000,234680000,302913000
36,Other Current Assets,1000000,863000,735000,1862000,- -,1486000,2159000,406000,605000,9176000,7743000,6727000,8641000,7265000,9632000,11126000,11957000,10346000,45235000,23083000,30405000,39247000,9848000,11491000,9296000,8608000,12301000
37,Total Current Assets,24400000,55178000,68464000,89297000,- -,54342000,45047000,52962000,42421000,60464000,76966000,87951000,49508000,49960000,54171000,48258000,60137000,168231000,152631000,125266000,181795000,140085000,122131000,134685000,352882000,409116000,422856000
38,PP&E,1300000,2469000,4291000,7141000,- -,11375000,9087000,6943000,5228000,4758000,5483000,12164000,16051000,15996000,13997000,12693000,11663000,12738000,14083000,11025000,12535000,16099000,18437000,28322000,35151000,97986000,125367000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68356000,- -,- -,- -,2053000,2551000,2551000,3205000,3205000,3205000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2564000,6304000,5530000,22484000,3983000,3244000,2574000,4573000,3993000,3766000,8431000,6393000,5329000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2564000,6304000,5530000,90840000,3983000,3244000,2574000,6626000,6544000,6317000,11636000,9598000,8534000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,3250000,3250000,6250000,10521000,- -,- -,- -,1817000,1357000,989000,951000,1346000,1857000,2546000,2614000,261000,236000,13546000,10556000,9746000,18950000,19381000
44,Other Non-Current Assets,100000,2542000,2755000,1807000,- -,2834000,2724000,5141000,1112000,774000,899000,1231000,64610000,74095000,87867000,95274000,113189000,228232000,193831000,176704000,224595000,250326000,275481000,314617000,222947000,241379000,271744000
45,Total Non-Current Assets,1400000,5011000,7046000,8948000,- -,17459000,15061000,18334000,16861000,5532000,6382000,13395000,82478000,91448000,105417000,115222000,131728000,333667000,214443000,193587000,239965000,273287000,314008000,359812000,279480000,367913000,425026000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,25800000,60189000,75510000,98245000,- -,71801000,60108000,71296000,59282000,65996000,83348000,101346000,131986000,141408000,159588000,163480000,191865000,501898000,367074000,318853000,421760000,413372000,436139000,494497000,632362000,777029000,847882000
48,Accounts Payable,5500000,9039000,13916000,11816000,- -,9502000,7216000,11150000,8082000,13456000,14502000,21882000,42756000,32401000,24507000,31603000,38973000,126100000,113753000,59509000,61893000,72152000,85960000,73273000,92461000,78664000,129331000
49,Short-Term Debt,- -,- -,- -,- -,- -,36661000,28950000,28029000,9932000,3000000,12959000,9592000,24368000,1711000,22322000,- -,2000000,500000,63177000,17843000,7843000,10067000,14064000,57068000,114085000,155678000,94117000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133000,133000,133000,133000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30599000,27911000,41072000
52,Other Current Liabilities,800000,1885000,2748000,2148000,- -,5183000,7045000,4379000,3606000,3582000,6552000,9777000,9413000,8851000,10911000,13256000,17769000,43819000,42843000,25837000,45435000,49164000,42758000,50611000,42209000,56239000,61611000
53,Total Current Liabilities,6300000,10924000,16664000,13964000,- -,51346000,43211000,43558000,21620000,20038000,34146000,41384000,76670000,43096000,57740000,44859000,58742000,170419000,219773000,103189000,115171000,131383000,142782000,180952000,279354000,318492000,326131000
54,Long-Term Debt,9500000,14541000,17496000,13983000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5500000,133384000,80110000,79434000,72258000,19980000,16935000,13913000,24187000,20462000,87337000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,5934000,6061000,8729000,9775000,12014000,15065000,- -,- -,- -,- -,40889000,92101000,125223000
56,Deferred Tax Liabilities,- -,99000,329000,406000,- -,- -,- -,- -,- -,1016000,519000,562000,- -,- -,- -,- -,- -,- -,- -,- -,- -,14315000,180000,226000,257000,79000,73000
57,Other Non-Current Liabilities,- -,594000,913000,1765000,- -,3062000,3599000,915000,209000,1247000,1459000,7668000,7488000,7219000,2831000,8940000,1717000,114701000,58691000,11529000,44128000,36886000,27561000,24430000,7920000,70375000,7973000
58,Total Non-Current Liabilities,9500000,15234000,18738000,16154000,- -,3062000,3599000,915000,209000,2363000,1978000,8230000,7488000,7219000,8765000,15001000,15946000,257860000,150815000,106028000,116386000,71181000,44676000,38569000,73253000,183017000,220606000
59,Other Liabilities,9500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,1024000,1656000,938000,4857000,3629000,2565000,3022000,10898000,834000,662000,- -,- -,- -,- -,- -,- -,- -,72493000,76990000
61,Total Liabilities,15800000,26158000,35402000,30118000,- -,54408000,46810000,44473000,21829000,22401000,36124000,49614000,84158000,50315000,66505000,59860000,74688000,428279000,370588000,209217000,231557000,202564000,187458000,219521000,352607000,501509000,546737000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,48000,49000,64000,- -,65000,65000,80000,80000,81000,82000,83000,84000,121000,120000,120000,121000,125000,145000,151000,180000,185000,186000,189000,188000,190000,190000
64,Retained Earnings,1900000,5552000,11086000,17241000,- -,-33858000,-37960000,-26271000,-15646000,-9504000,-6430000,-2762000,-7855000,-3248000,609000,10255000,22475000,-26039000,-117550000,-10191000,1262000,11825000,50290000,66606000,71407000,64117000,85593000
65,Other Comprehensive Income/Loss,-700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15991000,-16558000,-18885000,-21709000,-2000000,-1000000,-29192000,-1000000,-1000000,-1000000,-3000000,-5000000,-7000000,-5000000,-7000000,-7000000,-7696000
66,Other Total Stockholders Equity,8800000,28431000,28973000,50822000,- -,51186000,51193000,53014000,53019000,53018000,69563000,70969000,74484000,115929000,94354000,94245000,123773000,100533000,114891000,120676000,191761000,203798000,205205000,213181000,215160000,218213000,223058000
67,Total Stockholders Equity,10000000,34031000,40108000,68127000,- -,17393000,13298000,26823000,37453000,43595000,47224000,51732000,47828000,91093000,93083000,103620000,117177000,73619000,-3514000,109636000,190203000,210808000,248681000,274976000,279755000,275520000,301145000
68,Total Liabilities And Stockholders Equity,25800000,60189000,75510000,98245000,- -,71801000,60108000,71296000,59282000,65996000,83348000,101346000,131986000,141408000,159588000,163480000,191865000,501898000,367074000,318853000,421760000,413372000,436139000,494497000,632362000,777029000,847882000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,25800000,60189000,75510000,98245000,- -,71801000,60108000,71296000,59282000,65996000,83348000,101346000,131986000,141408000,159588000,163480000,191865000,501898000,367074000,318853000,421760000,413372000,436139000,494497000,632362000,777029000,847882000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/918251/0000910680-97-000221-index.html,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/918251/000091205702025946/0000912057-02-025946-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000095015003000755/0000950150-03-000755-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000095012904004522/0000950129-04-004522-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000095012905008977/0000950129-05-008977-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000095013406013114/0000950134-06-013114-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000095014807000169/0000950148-07-000169-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000095012408002726/0000950124-08-002726-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000095012309013860/0000950123-09-013860-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000095012310057745/0000950123-10-057745-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000114036111032524/0001140361-11-032524-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000114036112041905/0001140361-12-041905-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000114036113025425/0001140361-13-025425-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000114036114025769/0001140361-14-025769-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000114036115024320/0001140361-15-024320-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000114036116069709/0001140361-16-069709-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000114036117024968/0001140361-17-024968-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000114036118028577/0001140361-18-028577-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000114036119011947/0001140361-19-011947-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000114036120013784/0001140361-20-013784-index.htm,https://www.sec.gov/Archives/edgar/data/918251/000114036121020805/0001140361-21-020805-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1600000,3646000,5534000,6602000,- -,-28244000,-4102000,11689000,10625000,6482000,6288000,3668000,-4956000,4607000,3857000,9646000,12220000,-48514000,-91511000,107359000,11453000,10563000,37573000,16316000,-7849000,-7290000,21476000
74,Depreciation and Amortization,-300000,429000,717000,1237000,- -,3011000,2971000,2889000,2384000,2369000,1932000,1962000,1805000,2442000,2941000,3882000,3900000,7350000,5285000,2742000,2521000,2936000,3714000,4508000,7329000,9561000,11144000
75,Deferred Income Tax,- -,-82000,314000,380000,- -,- -,- -,- -,- -,- -,3305000,612000,-3444000,1571000,-2252000,-70000,2358000,1411000,-26611000,20124000,5831000,-3781000,6510000,3055000,-3063000,-10337000,-433000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,508000,136000,59000,52000,1083000,969000,2209000,2584000,3383000,3766000,5564000,4141000,5247000
77,Change in Working Capital,6000000,26154000,7546000,23533000,- -,-72337000,-1160000,7568000,11397000,19625000,2394000,3747000,-73729000,34026000,-10433000,6968000,-2004000,-3583000,-64954000,89219000,44547000,-57922000,-29353000,-25616000,119795000,17096000,6101000
78,Accounts Receivable,-6400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9789000,8918000,-5894000,5517000,3032000,-18342000,-2790000,4647000,-18145000,10854000,10214000,-38078000,28364000
79,Inventory,-4900000,-16434000,-13311000,-12850000,- -,14389000,1037000,939000,6686000,-3626000,-22744000,-14990000,-3599000,-1341000,-5619000,-10161000,-13903000,-20454000,50196000,-41549000,-57004000,-53041000,-32083000,-52613000,-77174000,-6664000,-79078000
80,Accounts Payable,2500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17115000,18965000,3621000,6620000,12446000,-11621000,16572000,-11253000,55958000
81,Other Working Capital,18100000,44254000,51800000,75333000,- -,2996000,1836000,9404000,20801000,40426000,42820000,46567000,-27162000,6864000,-3569000,3399000,1395000,-2188000,-67142000,22077000,66624000,8702000,-20651000,-46267000,73528000,90624000,96725000
82,Other Non-Cash Items,-14000000,-45491000,-20089000,-47368000,- -,91910000,9234000,-19324000,-3380000,-13324000,-9472000,-21029000,71011000,-52685000,-5699000,-2215000,-5798000,4796000,145647000,-206896000,-76018000,60954000,-27096000,-15973000,-162104000,5624000,12554000
83,Cash Provided by Operating Activities,-6700000,-15344000,-5978000,-15616000,- -,-5660000,6943000,2822000,21026000,15152000,4447000,-11040000,-9313000,-10039000,-11078000,18347000,10735000,-38488000,-31061000,13517000,-9457000,15334000,-5269000,-13944000,-40328000,18795000,56089000
84,CAPEX,-400000,-657000,-2085000,-3241000,- -,-1184000,-726000,-756000,-669000,-322000,-2549000,-4372000,-5887000,-1962000,-2317000,-1055000,-1566000,-1554000,-4028000,-2978000,-3734000,-3747000,-4929000,-9933000,-11149000,-14156000,-13942000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7000000,-3000000,- -,- -,- -,- -,- -,-3000000,-1000000,-5000000,-11000000,- -,- -
86,Purchases of Investments,-600000,- -,- -,- -,- -,- -,- -,-81000,- -,-126000,-199000,-157000,-117000,- -,-67000,- -,- -,- -,-41000,-54000,-134000,-1134000,-49000,-352000,-355000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,721000,38000,- -,110000,- -,- -,- -,- -,486000,- -,11000,170000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-10113000,8855000,1874000,- -,- -,- -,- -,- -,- -,- -,4110000,- -,- -,-462000,378000,-5327000,-37000,- -,- -,- -,299000,295000,7000,-106000,2562000,-272000
89,Cash Used for Investing Activites,-1000000,-10770000,6770000,-1367000,- -,-463000,-688000,-837000,-559000,-448000,-2748000,-419000,-6004000,-1476000,-9846000,-3666000,-6723000,-1591000,-4069000,-3032000,-3868000,-7582000,-5683000,-15278000,-22610000,-11594000,-14214000
90,Debt Repayment,- -,-254000,-728000,-774000,- -,-1139000,-1005000,-1112000,-1160000,-945000,- -,- -,- -,- -,-32578000,-55330000,-49175000,-160430000,-85632000,-11796000,-18464000,-108437000,-64717000,-45030000,-50616000,-39314000,-101192000
91,Common Stock Issued,- -,868000,356000,911000,- -,- -,- -,- -,- -,500000,291000,286000,294000,40323000,- -,- -,1000,1000,15005000,6000,71760000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-89000,- -,-755000,-627000,- -,- -,-1990000,-9251000,-4062000,- -,-1139000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,4500000,25053000,2955000,16294000,- -,7438000,-6211000,-921000,-18097000,-7940000,-3411000,5298000,15034000,-27502000,52310000,41383000,46473000,230611000,93284000,7423000,-3215000,61455000,64858000,87423000,114614000,71467000,25764000
95,Cash Used/Provided by Financing Activities,4500000,25667000,2583000,16431000,- -,6299000,-7216000,-2033000,-19257000,-8385000,-3120000,5584000,15328000,12821000,19732000,-13947000,-2790000,70182000,21902000,-4994000,50081000,-46982000,-1849000,33142000,59936000,32153000,-76567000
96,Effect of Forex Changes on Cash,- -,- -,- -,-3000,- -,2000,2000,-24000,5000,4000,2000,64000,-62000,280000,-291000,24000,45000,37000,45000,-31000,-125000,-103000,-67000,100000,-136000,351000,599000
97,Net Change In Cash,- -,-447000,3375000,-555000,- -,178000,-959000,-72000,1215000,6323000,-1419000,-5811000,-51000,1586000,-1483000,758000,1267000,30140000,-13183000,5165000,36631000,-39333000,-12868000,4020000,-3138000,39705000,-34093000
98,Cash at the End of Period,- -,164000,3539000,3108000,- -,1123000,164000,92000,1307000,7630000,6211000,400000,349000,1935000,452000,1210000,2477000,32617000,19434000,24599000,61230000,21897000,9029000,13049000,9911000,49616000,15523000
99,Cash at the Beginning of Period,3800000,611000,164000,3663000,- -,945000,1123000,164000,92000,1307000,7630000,6211000,400000,349000,1935000,452000,1210000,2477000,32617000,19434000,24599000,61230000,21897000,9029000,13049000,9911000,49616000
100,Free Cash Flow,-7100000,-16001000,-8063000,-18857000,- -,-6844000,6217000,2066000,20357000,14830000,1898000,-15412000,-15200000,-12001000,-13395000,17292000,9169000,-40042000,-35089000,10539000,-13191000,11587000,-10198000,-23877000,-51477000,4639000,42147000
