,https://roic.ai/company/USEG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,3500000,2700000,400000,1600000,1800000,2800000,2900000,3200000,3400000,4400000,3300000,4100000,5500000,8500000,9265500,4051500,2915800,5997500,5370100,6943000,7007000,15281600,7630600,9433000,19583000,22258000,21703000,19296000,24229000,14332000,5379000,3699000,3730000,4437000,2674000,8093000
11,COGS and Expenses,- -,3900000,2500000,1600000,2400000,1600000,2600000,5800000,9200000,12100000,10900000,11700000,8200000,11200000,26700000,18839200,12407500,4535400,8075200,11301100,8625600,9629500,17877100,11807900,18883000,29868000,36174000,35390000,32810000,34867000,21684000,8107000,7854000,6413000,7407000,4784000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,524500,560300,375800,405200,732300,2816900,1426000,314000,112000,40000,9000,8000,4000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,100000,100000,100000,300000,200000,100000,100000,- -,- -,265300,361200,799100,1065400,4032200,112600,72300,485800,98000,70000,326000,203000,284000,385000,263000,442000,513000,106000,- -,- -,57000
14,Depreciation and Amortization,- -,- -,500000,400000,300000,200000,400000,900000,900000,700000,800000,800000,700000,700000,700000,699500,831500,571300,1091900,2172900,3555000,510900,490000,1425800,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,876000,520000,589000
15,EBITDA,- -,-5000000,1900000,300000,700000,4400000,6400000,2100000,800000,-2600000,-900000,1300000,-2900000,-200000,-10900000,-9942300,3018000,-2907600,-3919100,-3010400,16428700,-13655900,89292300,-2802300,-10359000,-2440000,-8236000,-11086000,-7095000,-1706000,-92633000,-13678000,-847000,-934000,326000,-5961000,-1124000
16,EBITDA ratio,- -,-7.1429,0.5278,0.1667,0.2692,0.6769,0.6667,0.3231,0.0889,-0.3333,-0.0989,0.1354,-0.5000,-0.0172,-1.0000,-1.4324,0.2082,-2.8295,-4.6806,-0.6486,19.3393,-16.7887,75.8192,-1.2253,-1.0760,-0.0898,-0.2735,-0.3408,-0.2109,-0.0527,-8.9970,-2.3804,-0.1294,-0.1686,0.0496,-2.5584,-0.1688
17,Operating Income,- -,-3200000,1100000,200000,200000,4900000,7000000,700000,-200000,-4300000,-1800000,-2100000,-2400000,400000,-15800000,-11898400,1966400,-3507800,-7237900,-6659400,-6066900,-16670700,-16708400,-9520900,-9256000,-4232000,-6064000,-10344000,-4991000,-2488000,-69064000,-11929000,-988000,-1147000,-790000,-5370000,- -
18,Operating Income ratio,- -,-4.5714,0.3056,0.1111,0.0769,0.7538,0.7292,0.1077,-0.0222,-0.5513,-0.1978,-0.2188,-0.4138,0.0345,-1.4495,-1.7143,0.1356,-3.4136,-8.6443,-1.4347,-7.1417,-20.4951,-14.1873,-4.1631,-0.9615,-0.1557,-0.2014,-0.3179,-0.1483,-0.0768,-6.7078,-2.0761,-0.1510,-0.2071,-0.1202,-2.3047,- -
19,Total Other Income Expenses (Gains),- -,-1800000,300000,-200000,200000,-700000,-1000000,100000,-300000,500000,-700000,-700000,-1900000,-600000,-100000,16500,-45200,-332300,162100,410700,-484000,2391300,105438400,-99500,-1201000,1722000,131000,849000,-2695000,397000,1780000,257000,-372000,107000,240000,-1111000,- -
20,Income Before Tax,- -,- -,1400000,- -,400000,4200000,6000000,800000,- -,- -,- -,- -,- -,- -,- -,- -,1921200,-3840100,-7075800,-6248700,-6550900,-14279400,88730000,-9620400,-10457000,-2510000,-5933000,-9495000,-7686000,-2091000,-67284000,-11672000,-1360000,-1040000,-550000,-6481000,-1770000
21,Income Before Tax Ratio,- -,- -,0.3889,- -,0.1538,0.6462,0.6250,0.1231,- -,- -,- -,- -,- -,- -,- -,- -,0.1325,-3.7370,-8.4507,-1.3462,-7.7115,-17.5552,75.3418,-4.2066,-1.0862,-0.0924,-0.1970,-0.2918,-0.2284,-0.0646,-6.5350,-2.0313,-0.2078,-0.1878,-0.0837,-2.7815,-0.2658
22,Income Tax expense (Gain),- -,- -,600000,- -,200000,1200000,2300000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15331600,32366800,-3325800,-2279000,-1738000,-3755000,-44000,- -,- -,- -,- -,- -,- -,- -,-42000,- -
23,Net Income,- -,-5000000,800000,-100000,200000,3000000,3700000,900000,-200000,-3400000,-2000000,300000,-3700000,-1000000,-11600000,-10641800,1921200,-3840100,-5810100,-6248700,8841500,1052200,56363200,-1388100,-8178000,-772000,-4807000,-11245000,-7379000,-2091000,-92896000,-14120000,-1360000,-1040000,-550000,-6439000,-1770000
24,Net Income ratio,- -,-7.1429,0.2222,-0.0556,0.0769,0.4615,0.3854,0.1385,-0.0222,-0.4359,-0.2198,0.0313,-0.6379,-0.0862,-1.0642,-1.5332,0.1325,-3.7370,-6.9391,-1.3462,10.4079,1.2936,47.8587,-0.6070,-0.8495,-0.0284,-0.1596,-0.3456,-0.2193,-0.0646,-9.0225,-2.4574,-0.2078,-0.1878,-0.0837,-2.7635,-0.2658
25,EPS,- -,-90.00,13.80,-1.20,3.60,48.00,55.80,12.60,-3.00,-45.60,-25.20,2.40,-33.00,-9.00,-97.80,-83.40,13.80,-21.60,-31.20,-28.20,33.00,3.60,165.00,-3.60,-22.80,-1.80,-10.80,-24.60,-16.20,-4.80,-198.60,-30.10,-2.30,-1.10,-0.69,-3.94,-1.26
26,EPS Diluted,- -,-90.00,13.80,-1.20,3.60,48.00,55.80,12.60,-3.00,-45.60,-25.20,2.40,-33.00,-9.00,-97.80,-83.40,12.60,-21.60,-31.20,-28.20,33.00,3.00,152.40,-3.60,-22.80,-1.80,-10.80,-24.60,-16.20,-4.80,-198.60,-30.10,-2.31,-1.10,-0.69,-3.94,-1.26
27,Weighted Average Shares Outstanding,- -,55556,57971,60316,55556,62500,66308,71429,66667,74562,82950,103636,113307,110959,118952,127891,130433,179511,186349,219707,269623,307698,341164,387917,360083,446067,453982,457776,461312,463881,467750,476801,589980,1288857,1340583,1627517,1399754
28,Weighted Average Shares Outstanding Diluted,- -,55556,57971,60316,55556,62500,66308,71429,66667,74562,82950,103636,113307,115385,126984,133481,141461,179511,186349,219707,269623,352197,369831,387917,360083,446067,453982,457776,461312,463881,467750,476801,589980,1288857,1340583,1627517,1399754
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/101594/000102826999000056/0001028269-99-000056-index.html,- -,https://www.sec.gov/Archives/edgar/data/101594/000102826901500078/0001028269-01-500078-index.html,- -,https://www.sec.gov/Archives/edgar/data/101594/000010159404000073/0000101594-04-000073-index.html,https://www.sec.gov/Archives/edgar/data/101594/000010159405000093/0000101594-05-000093-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000010159406000094/0000101594-06-000094-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000010159407000080/0000101594-07-000080-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000114036108006664/0001140361-08-006664-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000010159409000017/0000101594-09-000017-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000010159410000013/0000101594-10-000013-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000010159411000018/0000101594-11-000018-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000010159412000017/0000101594-12-000017-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000010159413000008/0000101594-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000010159414000007/0000101594-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000010159415000002/0000101594-15-000002-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000161577416004967/0001615774-16-004967-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000161577417001735/0001615774-17-001735-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000149315218004053/0001493152-18-004053-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000149315219014181/0001493152-19-014181-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000149315220005194/0001493152-20-005194-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000149315221006877/0001493152-21-006877-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000149315222007884/0001493152-22-007884-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,1000000,1400000,5700000,10200000,916400,685500,1741000,4084800,3842500,6998700,16973500,72292200,8434400,33403000,6010000,12874000,2825000,5855000,4010000,3354000,2518000,3277000,2340000,1532000,2854000,4422000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,328700,1271900,7104900,56656900,23237000,19207000,166000,183000,69000,25000,251000,- -,876000,536000,307000,181000,191000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,1000000,1400000,5700000,10200000,916400,685500,1741000,4084800,3842500,7327400,18245400,79397100,65091300,56640000,25217000,13040000,3008000,5924000,4035000,3605000,2518000,4153000,2876000,1839000,3035000,4613000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,1300000,1900000,2400000,1200000,1563900,1393500,1773300,500200,913200,265500,905400,2054300,6937900,4237000,4150000,5609000,5182000,6801000,3177000,1143000,562000,687000,699000,716000,514000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,100000,100000,100000,100000,129700,42200,14000,21700,176100,32700,33700,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,500000,1000000,6100000,1200000,846800,1208800,1227000,584700,489700,215000,24140700,1277500,738300,1223000,457000,18487000,17825000,436000,288000,2088000,1809000,1078000,113000,138000,1159000,1362000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4100000,2900000,4400000,14300000,12700000,3456800,3330000,4755300,5191400,5421500,7840600,43325200,82728900,72767500,62100000,29824000,37136000,26015000,13161000,7500000,6836000,4889000,5918000,3688000,2693000,4708000,5975000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17500000,17600000,6000000,19500000,9400000,16756900,16104300,12587500,7187100,13766600,6365800,6109300,48093500,65492700,80472000,121525000,120877000,110808000,111860000,114153000,26090000,11722000,9332000,11012000,10748000,7590000,308000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,- -,- -,3455000,2958000,2834000,2623000,2264000,- -,- -,- -,- -,- -,- -,- -,181000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,610200,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12600000,14300000,20000000,11200000,11300000,10662400,11030900,10847800,11551200,11515600,1900300,1856700,582000,915700,1193000,1833000,1803000,1740000,1780000,1870000,206000,156000,66000,78000,26000,-116000,11380000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30100000,31900000,26000000,30700000,20700000,27419300,27135200,23435300,18738300,25282200,30266100,8576200,48675500,69863400,84623000,126192000,125303000,114812000,113640000,116023000,26296000,11878000,9398000,11090000,10774000,7655000,11688000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34200000,34800000,30400000,45000000,33400000,30876100,30465200,28190600,23929700,30703700,38106700,51901400,131404400,142630900,146723000,156016000,162439000,140827000,126801000,123523000,33132000,16767000,15316000,14778000,13467000,12363000,17663000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,1300000,1300000,1800000,1200000,1683800,1404300,1592800,977500,1751300,433000,1115000,1589600,897700,6500000,14915000,9370000,2692000,6167000,7441000,4159000,2710000,- -,670000,- -,1457000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,700000,100000,200000,100000,934100,992400,317200,932200,3400100,156500,937200,5560900,17687500,200000,200000,200000,200000,- -,- -,6000000,6000000,600000,937000,58000,440000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,4100000,4100000,4000000,- -,134400,- -,906600,642700,9543000,942700,1396800,1972000,3648000,11367000,10361000,1024000,525000,6455000,2222000,982000,63000,1165000,312000,2742000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,2000000,1400000,6100000,5400000,6617900,2396700,2044400,1909700,6058000,1232200,11595200,8093200,19982000,8672000,18763000,20937000,13253000,7191000,7966000,16614000,10932000,1582000,1670000,1223000,2209000,2742000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,400000,200000,300000,800000,900100,2152100,2820600,1317600,3780600,880300,294900,190500,1000000,600000,400000,12200000,10000000,9000000,6000000,- -,- -,937000,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,1100000,1100000,1144800,1144800,1144800,- -,- -,- -,- -,6928800,8945300,7345000,5015000,1189000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,16200000,15900000,15400000,12500000,14564900,14433200,14236600,13445600,13712700,9668500,2333700,1092000,870300,973000,1150000,1332000,1457000,1553000,2162000,1043000,2077000,2135000,1389000,1034000,1587000,1486000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15900000,16600000,16300000,16800000,14400000,16609800,17730100,18202000,14763200,17493300,10548800,2628600,8211300,10815600,8918000,6565000,14721000,11457000,10553000,8162000,1043000,2077000,3072000,1389000,1034000,1587000,1486000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,143000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19900000,18600000,17700000,22900000,19800000,23227700,20126800,20246400,16672900,23551300,11781000,14223800,16304500,30797600,17590000,25328000,35658000,24710000,17744000,16128000,17657000,13009000,4654000,3059000,2257000,3796000,4228000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,1000,2000000,2000000,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2600000,87700,90000,118300,128200,152300,188200,196600,235900,219400,264000,271000,274000,277000,277000,280000,282000,61000,118000,134000,13000,33000,47000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3300000,-3100000,-6800000,-7800000,-19400000,-30071200,-28300000,-38407700,-43073000,-49321700,-40154100,-39101900,19050900,17662800,9485000,8713000,3906000,-7339000,-14718000,-16809000,-109705000,-123825000,-125185000,-127129000,-127679000,-134118000,-135888000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9700000,-9000000,-8800000,-11800000,-10200000,-10948900,-7285100,-490500,-490500,-926500,-588600,-184500,-747000,- -,386000,642000,78000,101000,-12000,-56000,-83811000,-55000,-903000,- -,-88585000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26600000,26700000,28300000,37100000,39700000,47456200,44655700,- -,50196100,56377200,65112700,72067200,96560100,93951100,118998000,121062000,122523000,123078000,123510000,123980000,208709000,127576000,136631000,136714000,225461000,142652000,149276000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13600000,14600000,12700000,17500000,12700000,6523800,9160600,7356800,6760800,6281300,24558200,32977400,115099900,111833300,129133000,130688000,126781000,116117000,109057000,107395000,15475000,3758000,10662000,11719000,11210000,8567000,13435000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33500000,33200000,30400000,40400000,32500000,29751500,29287400,27603200,23433700,29832600,36339200,47201200,131404400,142630900,146723000,156016000,162439000,140827000,126801000,123523000,33132000,16767000,15316000,14778000,13467000,12363000,17663000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,1600000,- -,4600000,900000,1124600,1177800,587400,496000,871100,1767500,4700200,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34200000,34800000,30400000,45000000,33400000,30876100,30465200,28190600,23929700,30703700,38106700,51901400,131404400,142630900,146723000,156016000,162439000,140827000,126801000,123523000,33132000,16767000,15316000,14778000,13467000,12363000,17663000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/101594/000102826999000056/0001028269-99-000056-index.html,- -,https://www.sec.gov/Archives/edgar/data/101594/000102826901500078/0001028269-01-500078-index.html,- -,https://www.sec.gov/Archives/edgar/data/101594/000010159404000073/0000101594-04-000073-index.html,https://www.sec.gov/Archives/edgar/data/101594/000010159405000093/0000101594-05-000093-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000010159406000094/0000101594-06-000094-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000010159407000080/0000101594-07-000080-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000114036108006664/0001140361-08-006664-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000010159409000017/0000101594-09-000017-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000010159410000013/0000101594-10-000013-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000010159411000018/0000101594-11-000018-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000010159412000017/0000101594-12-000017-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000010159413000008/0000101594-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000010159414000007/0000101594-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000010159415000002/0000101594-15-000002-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000161577416004967/0001615774-16-004967-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000161577417001735/0001615774-17-001735-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000149315218004053/0001493152-18-004053-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000149315219014181/0001493152-19-014181-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000149315220005194/0001493152-20-005194-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000149315221006877/0001493152-21-006877-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000149315222007884/0001493152-22-007884-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-100000,200000,3000000,3700000,900000,-200000,-3400000,-2000000,300000,-3700000,-1000000,-11600000,-10641800,1921200,-3840100,-5810100,-6248700,8841500,1052200,56363200,-1388100,-8178000,-772000,-4807000,-11245000,-7379000,-2091000,-92896000,-14120000,-1360000,-1040000,-550000,-6439000,-1770000
74,Depreciation and Amortization,- -,- -,- -,400000,300000,200000,400000,900000,900000,700000,800000,800000,700000,700000,700000,699500,831500,571300,1091900,2172900,3555000,510900,490000,1425800,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,876000,520000,589000
75,Deferred Income Tax,- -,- -,- -,- -,- -,400000,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15096600,14777600,1319200,-2069000,-1584000,-3990000,-60000,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1710000,1604000,518000,452000,1024000,948000,213000,323000,636000,41000,211000,549000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,800000,2100000,5200000,-900000,-10461100,1777600,570800,-3918200,7244900,25121600,42905700,-21850200,642500,-42367000,5138000,-3437000,-6792000,-6436000,-9312000,3735000,10379000,-2318000,-548000,1029000,734000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400200,-2843000,-162000,-1493000,315000,-1619000,2571000,2034000,580000,-125000,-10000,-49000,214000,- -
79,Inventory,- -,- -,- -,- -,200000,- -,- -,-500000,400000,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-647500,80000,-567000,-3368000,-476000,3617000,909000,1126000,-1050000,-77000,- -,- -,- -,-125000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,900000,3000000,8200000,7300000,-3161100,2710900,3281700,-636500,6608400,31730000,74635700,52785500,53428000,11061000,16199000,12762000,5970000,-466000,-9778000,-6043000,4336000,2018000,1470000,2499000,3233000
82,Other Non-Cash Items,- -,- -,- -,-300000,-800000,-4500000,-6600000,-2800000,-1600000,-1100000,-1400000,-3900000,-400000,-4000000,10000000,4221100,5725300,-1366600,-1526200,3425800,-25699100,-19720100,-146237700,13880800,12156500,55385000,5389000,27485000,31134000,28255000,101324000,8319000,-10234000,2232000,819000,3962000,-255000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-300000,-900000,-2900000,-1000000,-900000,-3800000,-2500000,-2800000,-2600000,-2200000,4300000,-6621200,-1983100,-2857800,-5673600,-4568200,-6057700,-8132000,-31701200,-6612500,2552000,12372000,3334000,13261000,17415000,20752000,64000,-1853000,-892000,-490000,638000,-717000,-153000
