,https://roic.ai/company/AVY,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
61,Total Liabilities,300200000,518100000,584900000,609700000,603500000,1044000000,915400000,881400000,919900000,1034100000,1147800000,1204700000,1209300000,- -,1309300000,1871000000,1889800000,2596000000,2786600000,- -,2692000000,2613100000,4255400000,4285700000,- -,3640200000,3314200000,3524400000,3118400000,- -,3293700000,3470900000,4090700000,4222400000,4284800000,- -,6047200000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124100000,124100000,- -,124100000,124100000,124100000,124100000,124100000,- -,124100000,124100000,124100000,124100000,- -,124100000,124100000,124100000,124100000,- -,124100000,124100000,124100000,124100000,124100000,- -,124100000
64,Retained Earnings,256800000,291500000,- -,363600000,426300000,620200000,636100000,666600000,698900000,753200000,837800000,945600000,1063600000,- -,1185100000,1448300000,1556100000,1664800000,1772500000,- -,1945300000,2139900000,2290200000,2381300000,- -,1499700000,1810500000,1910800000,2009100000,- -,2137100000,2473300000,2596700000,2864900000,2979100000,- -,3880700000
65,Other Comprehensive Income/Loss,-156700000,-189400000,-189400000,-249300000,-279300000,-574000000,-606500000,-619300000,-654200000,-700700000,-744700000,56200000,-45000000,- -,-16200000,-210800000,-272800000,-875800000,-684600000,- -,-648800000,-658300000,-347800000,-530600000,- -,-145200000,-263200000,-278000000,-281100000,- -,-547300000,-751900000,-680500000,-682000000,-348100000,- -,-282900000
66,Other Total Stockholders Equity,214400000,247900000,655300000,395100000,391600000,800100000,795400000,755300000,674400000,676500000,722700000,- -,- -,- -,- -,- -,- -,143300000,106700000,- -,91300000,74800000,-77100000,-224800000,- -,-116000000,-12900000,-176000000,-359900000,- -,-647400000,-920000000,-994100000,-1351900000,-1551100000,- -,- -
67,Total Stockholders Equity,314500000,350000000,465900000,509400000,538600000,846300000,825000000,802600000,719100000,729000000,815800000,832000000,837200000,- -,833300000,828100000,929400000,1056400000,1318700000,- -,1511900000,1680500000,1989400000,1750000000,- -,1362600000,1658500000,1580900000,1492200000,- -,1066500000,925500000,1046200000,955100000,1204000000,- -,1924400000
68,Total Liabilities And Stockholders Equity,614700000,868100000,1050800000,1119100000,1142100000,1890300000,1740400000,1684000000,1639000000,1763100000,1963600000,2036700000,2046500000,- -,2142600000,2699100000,2819200000,3652400000,4105300000,- -,4203900000,4293600000,6244800000,6035700000,- -,5002800000,4972700000,5105300000,4610600000,- -,4360200000,4396400000,5136900000,5177500000,5488800000,- -,7971600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,614700000,868100000,1050800000,1119100000,1142100000,1890300000,1740400000,1684000000,1639000000,1763100000,1963600000,2036700000,2046500000,- -,2142600000,2699100000,2819200000,3652400000,4105300000,- -,4203900000,4293600000,6244800000,6035700000,- -,5002800000,4972700000,5105300000,4610600000,- -,4360200000,4396400000,5136900000,5177500000,5488800000,- -,7971600000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8818/000089843095000424/0000898430-95-000424-index.html,- -,- -,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8818/000119312504039235/0001193125-04-039235-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/8818/000095012906002659/0000950129-06-002659-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000095013407004370/0000950134-07-004370-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000095013408003581/0000950134-08-003581-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000095014809000021/0000950148-09-000021-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/8818/000095012310018494/0000950123-10-018494-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000119312512078843/0001193125-12-078843-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000104746913001812/0001047469-13-001812-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000104746914001386/0001047469-14-001386-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/8818/000104746915001200/0001047469-15-001200-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000104746917000881/0001047469-17-000881-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000104746918000931/0001047469-18-000931-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000104746919000747/0001047469-19-000747-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000110465920025360/0001104659-20-025360-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/8818/000119312522049910/0001193125-22-049910-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,5900000,63000000,80100000,84400000,109400000,143700000,175900000,204800000,- -,223300000,283500000,243200000,257200000,267900000,- -,226400000,367200000,303500000,266100000,- -,-746700000,190100000,215400000,215800000,- -,248900000,320700000,281800000,467400000,303600000,- -,740100000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,90100000,92300000,93900000,95400000,102500000,107900000,113400000,116800000,- -,127200000,156900000,156000000,152800000,179300000,- -,201500000,197900000,234600000,278400000,- -,267300000,246500000,220600000,204600000,- -,201600000,180100000,178700000,181000000,179000000,- -,244100000
75,Deferred Income Tax,- -,- -,- -,- -,- -,4700000,-6600000,-13300000,-22800000,13800000,-17600000,800000,9400000,- -,13800000,11800000,3000000,22200000,-5200000,- -,-12600000,-10800000,-37500000,-114200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32700000,-216900000,- -,2600000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25800000,39600000,38900000,34000000,- -,28300000,27200000,30200000,34300000,34500000,- -,37200000
77,Change in Working Capital,- -,- -,- -,- -,- -,-96200000,-72800000,-3400000,-81000000,-18800000,4800000,-17000000,53000000,- -,-25900000,76100000,-150500000,-111800000,25500000,- -,-122400000,-76100000,-375900000,291700000,- -,-6900000,451600000,-234500000,200500000,- -,-214200000,-415800000,365600000,37900000,-217200000,- -,-24600000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95700000,-43600000,-106700000,-110800000,- -,-40900000,-88200000,-141200000,-62500000,-42200000,- -,-113200000
79,Inventory,- -,- -,- -,- -,- -,-2900000,45900000,24600000,32400000,-19200000,-18500000,-18100000,5700000,- -,11000000,8800000,1900000,-16700000,-37400000,- -,-11700000,-15100000,-5300000,16500000,- -,133300000,-22200000,-800000,-75900000,- -,-33000000,-19600000,-14900000,-70500000,-18100000,- -,-182700000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52400000,31300000,68000000,108200000,- -,-62800000,31600000,83400000,43600000,46400000,- -,255200000
81,Other Working Capital,- -,- -,- -,- -,- -,298800000,226000000,222600000,141600000,122800000,127600000,110600000,163600000,- -,137700000,181700000,31200000,-80600000,-55100000,- -,32700000,-43400000,-419300000,-127600000,- -,-134500000,571700000,337200000,537700000,- -,323500000,-99500000,266100000,304000000,86800000,- -,-7300000
