,https://roic.ai/company/CRS,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0190,0.0094,0.0437,0.0457,0.0770,0.0535,0.0240,-0.0837,0.0577,0.0627,0.0695,0.0639,0.0714,0.0358,0.0486,0.0159,-0.1211,-0.0125,0.0354,0.1031,0.1351,0.1168,0.1422,0.0352,0.0018,0.0424,0.0597,0.0643,0.0611,0.0264,0.0062,0.0261,0.0874,0.0702,0.0007,-0.1556
25,EPS,0.28,0.13,0.67,0.79,1.26,0.88,0.37,-1.55,1.07,1.41,1.75,1.65,2.00,0.81,1.18,0.44,-2.71,-0.28,0.76,2.77,4.17,4.39,5.73,1.09,0.04,1.59,2.55,2.75,2.48,1.11,0.23,0.99,3.96,3.46,0.02,-4.76
26,EPS Diluted,0.28,0.13,0.67,0.79,1.26,0.88,0.37,-1.55,1.04,1.35,1.69,1.58,1.92,0.79,1.16,0.44,-2.71,-0.28,0.74,2.69,4.04,4.32,5.70,1.08,0.04,1.59,2.53,2.73,2.47,1.11,0.23,0.99,3.92,3.43,0.02,-4.76
27,Weighted Average Shares Outstanding,35636364,36000000,36268657,36708861,35573123,34204545,37027027,31096774,32260000,32654000,33354000,35406000,41895262,46086957,45361702,47954545,43733826,38928571,45298013,48339350,50400000,51400000,48500000,43900000,43900000,44100000,47100000,52900000,53300000,52600000,48100000,47000000,47200000,47700000,48100000,48300000
28,Weighted Average Shares Outstanding Diluted,35636364,36000000,36268657,36708861,35573123,34204545,37027027,31096774,34172000,34618000,35208000,37520000,43750000,46962025,46147186,47954545,43733826,38928571,45906040,49869646,52200000,52600000,48700000,44200000,44400000,44700000,47800000,53400000,53600000,52700000,48200000,47100000,47600000,48100000,48200000,48300000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/17843/000001784394000033/0000017843-94-000033-index.html,https://www.sec.gov/Archives/edgar/data/17843/000001784395000018/0000017843-95-000018-index.html,https://www.sec.gov/Archives/edgar/data/17843/000001784396000019/0000017843-96-000019-index.html,https://www.sec.gov/Archives/edgar/data/17843/000001784397000017/0000017843-97-000017-index.html,https://www.sec.gov/Archives/edgar/data/17843/000001784398000073/0000017843-98-000073-index.html,https://www.sec.gov/Archives/edgar/data/17843/000001784399000050/0000017843-99-000050-index.html,https://www.sec.gov/Archives/edgar/data/17843/000001784300000021/0000017843-00-000021-index.html,- -,https://www.sec.gov/Archives/edgar/data/17843/000095016802002770/0000950168-02-002770-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000110465903020580/0001104659-03-020580-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000119312504151806/0001193125-04-151806-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000119312505182991/0001193125-05-182991-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000119312506181084/0001193125-06-181084-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000119312507191767/0001193125-07-191767-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000119312508183570/0001193125-08-183570-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000119312509179024/0001193125-09-179024-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000119312510194135/0001193125-10-194135-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000119312511231043/0001193125-11-231043-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000110465912059558/0001104659-12-059558-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000110465913065850/0001104659-13-065850-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000110465914063147/0001104659-14-063147-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000001784315000026/0000017843-15-000026-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000001784316000094/0000017843-16-000094-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000001784317000050/0000017843-17-000050-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000001784318000047/0000017843-18-000047-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000001784319000058/0000017843-19-000058-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000001784320000071/0000017843-20-000071-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000001784321000030/0000017843-21-000030-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7800000,5900000,6700000,3700000,3700000,4700000,9300000,45800000,5400000,20100000,13200000,18600000,52400000,5500000,9500000,7800000,18700000,53500000,76600000,163800000,413400000,300800000,403300000,340100000,265400000,492500000,211000000,257500000,120000000,70000000,82000000,66300000,56200000,27000000,193100000,287400000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28800000,106600000,81200000,372700000,5300000,15000000,105200000,30500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,7800000,5900000,6700000,3700000,3700000,4700000,9300000,45800000,5400000,20100000,13200000,18600000,52400000,5500000,9500000,7800000,18700000,53500000,105400000,270400000,494600000,673500000,408600000,355100000,370600000,523000000,211000000,257500000,120000000,70000000,82000000,66300000,56200000,27000000,193100000,287400000
34,Net Receivables,75400000,72200000,97200000,92900000,90300000,82000000,77900000,90400000,95400000,118800000,137100000,159900000,177000000,150600000,187000000,193800000,133700000,113800000,165200000,193400000,234700000,303200000,285100000,130800000,188500000,259400000,354200000,342000000,339600000,304100000,253600000,290400000,378500000,384100000,292300000,308700000
35,Inventory,148300000,113000000,111800000,140100000,152700000,163400000,133700000,70600000,65300000,91400000,160500000,211500000,267100000,250300000,270200000,241100000,190000000,180900000,185000000,228600000,224300000,235000000,209000000,185400000,203600000,328600000,642000000,659200000,699200000,655800000,628700000,690400000,689200000,787700000,724300000,425700000
36,Other Current Assets,15800000,14600000,12300000,12000000,11600000,13400000,13400000,9900000,5100000,10100000,13700000,12200000,149000000,16300000,16300000,16400000,33500000,21100000,36200000,39200000,45700000,44000000,64000000,78400000,57500000,46600000,42500000,22800000,35700000,40500000,46400000,46500000,54900000,37400000,56600000,95600000
37,Total Current Assets,247300000,205700000,228000000,248700000,258300000,263500000,234300000,216700000,171200000,240400000,324500000,402200000,645500000,422700000,483000000,459100000,375900000,369300000,491800000,731600000,999300000,1255700000,966700000,749700000,820200000,1157600000,1249700000,1281500000,1194500000,1070400000,1010700000,1093600000,1178800000,1236200000,1266300000,1117400000
38,PP&E,397100000,394000000,404000000,395700000,393900000,390300000,397900000,391100000,391800000,403600000,419500000,513600000,644100000,750400000,789900000,752200000,713100000,651700000,608700000,569200000,541100000,537400000,583800000,634100000,617500000,662900000,924600000,1168400000,1407000000,1397000000,1351400000,1316800000,1313400000,1366200000,1351100000,1491800000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46400000,46400000,35200000,35200000,35200000,44900000,260500000,257700000,257700000,257400000,-47200000,263400000,268700000,326400000,290400000,241400000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,15700000,18800000,104600000,171800000,179200000,172300000,161700000,72700000,71700000,70700000,67500000,20100000,19200000,19800000,18700000,17600000,30000000,109900000,95000000,80600000,71600000,355200000,64900000,63300000,67200000,52100000,43100000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,15700000,18800000,104600000,171800000,179200000,172300000,161700000,72700000,71700000,70700000,67500000,66500000,65600000,55000000,53900000,52800000,74900000,370400000,352700000,338300000,329000000,308000000,328300000,332000000,393600000,342500000,284500000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16200000,- -,- -,- -,- -,- -,8200000,7600000,4300000,4200000,4900000,5300000
44,Other Non-Current Assets,1300000,2000000,3000000,29600000,43200000,63200000,82600000,91800000,166900000,172100000,149200000,202600000,237500000,255500000,300700000,318500000,317800000,307200000,285000000,285100000,281000000,167000000,106700000,59700000,76500000,96500000,83100000,80300000,117700000,109500000,116000000,131800000,178500000,187600000,262400000,72200000
45,Total Non-Current Assets,398400000,396000000,407000000,425300000,437100000,453500000,480500000,482900000,558700000,591400000,587500000,820800000,1053400000,1185100000,1262900000,1232400000,1103600000,1030600000,964400000,921800000,888600000,770000000,745500000,747700000,763000000,834300000,1378100000,1601400000,1863000000,1835500000,1783600000,1784500000,1828200000,1951600000,1960900000,1853800000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,645700000,601700000,635000000,674000000,695400000,717000000,714800000,699600000,729900000,831800000,912000000,1223000000,1698900000,1607800000,1745900000,1691500000,1479500000,1399900000,1456200000,1653400000,1887900000,2025700000,1712200000,1497400000,1583200000,1991900000,2627800000,2882900000,3057500000,2905900000,2794300000,2878100000,3007000000,3187800000,3227200000,2971200000
48,Accounts Payable,- -,- -,- -,- -,34400000,37900000,30300000,24300000,35500000,51200000,75800000,79000000,80500000,59600000,97300000,82300000,76800000,68200000,109000000,133400000,137400000,215900000,158400000,70200000,130500000,170500000,236100000,252700000,278100000,169500000,159600000,201100000,214700000,238700000,124200000,142400000
49,Short-Term Debt,54800000,18100000,30700000,32400000,51900000,64000000,6800000,6600000,15600000,27400000,26000000,85900000,156100000,155400000,230300000,195800000,67000000,17200000,22400000,200000,200000,33200000,23000000,20000000,- -,100000000,101000000,- -,- -,- -,- -,55000000,- -,19700000,181500000,9000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8400000,8700000,1500000,5100000,1400000,4200000,1000000,500000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100000,- -,- -,- -,- -,- -,- -,7500000,8600000,8900000,9800000,10400000,10500000,12300000,8600000
52,Other Current Liabilities,68300000,61600000,63700000,78100000,40900000,34700000,43200000,42500000,47400000,55600000,70200000,93100000,112500000,79500000,66800000,66000000,67000000,64500000,98700000,115500000,133800000,115000000,144200000,108300000,87600000,124900000,217100000,168500000,145000000,144000000,130300000,130100000,138200000,147100000,134100000,146300000
53,Total Current Liabilities,123100000,79700000,94400000,110500000,127200000,136600000,80300000,73400000,98500000,134200000,172000000,258000000,349100000,294500000,394400000,344100000,210800000,149900000,230100000,249100000,271400000,366200000,325600000,198500000,218100000,395400000,554200000,421200000,430600000,322100000,298800000,396000000,363300000,416000000,452100000,306300000
54,Long-Term Debt,130400000,130000000,130600000,130200000,126500000,122700000,196600000,189900000,158100000,194800000,188000000,244700000,370700000,355000000,352300000,326900000,375800000,378900000,332700000,333700000,333100000,299500000,276700000,258600000,259600000,407800000,305900000,604200000,604300000,607100000,611300000,550000000,545700000,550600000,551800000,730000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,69300000,83600000,93800000,109600000,125400000,130400000,133200000,66800000,74700000,78400000,84500000,110800000,142900000,149800000,158000000,177800000,182300000,166700000,175600000,192500000,189000000,143500000,95700000,1600000,- -,48300000,31400000,73300000,110700000,146500000,102400000,184800000,161600000,142700000,130200000,156900000
57,Other Non-Current Liabilities,10900000,8200000,8900000,5100000,2700000,7400000,8400000,151100000,159500000,160500000,158400000,160200000,176700000,176000000,187600000,194100000,202300000,229800000,179800000,153900000,148100000,148800000,175000000,421700000,532100000,364400000,623200000,481100000,407600000,504300000,676900000,548700000,450500000,558400000,647400000,385700000
58,Total Non-Current Liabilities,210600000,221800000,233300000,244900000,254600000,260500000,338200000,407800000,392300000,433700000,430900000,515700000,690300000,680800000,697900000,698800000,760400000,775400000,688100000,680100000,670200000,591800000,547400000,681900000,791700000,820500000,960500000,1158600000,1122600000,1257900000,1390600000,1283500000,1157800000,1251700000,1329400000,1272600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11500000,44500000
61,Total Liabilities,333700000,301500000,327700000,355400000,381800000,397100000,418500000,481200000,490800000,567900000,602900000,773700000,1039400000,975300000,1092300000,1042900000,971200000,925300000,918200000,929200000,941600000,958000000,873000000,880400000,1009800000,1215900000,1514700000,1579800000,1553200000,1580000000,1689400000,1679500000,1521100000,1667700000,1781500000,1578900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10200000,20800000,19700000,18000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115300000,115400000,116300000,117300000,117300000,120700000,129700000,132500000,136400000,273000000,273100000,273200000,273700000,274000000,274600000,275800000,276200000,276300000,276700000,278600000,279000000,280100000,280100000
64,Retained Earnings,231800000,217300000,222400000,232100000,256400000,265900000,258300000,189200000,204700000,231100000,268000000,303600000,359100000,365500000,388000000,378400000,229000000,203700000,230400000,354500000,549800000,751300000,996600000,1013000000,983200000,1022100000,1109600000,1217300000,1311600000,1332400000,1308900000,1321800000,1475900000,1605300000,1568000000,1299300000
65,Other Comprehensive Income/Loss,-200400000,-215000000,-239500000,-222300000,-242600000,-259900000,-282700000,-282700000,-282700000,-360200000,-390200000,-422800000,-460700000,-503400000,-503400000,-593700000,-641800000,-18100000,-11000000,-22000000,-10900000,-82300000,-143900000,-346500000,-371100000,-233300000,-412500000,-335700000,-245200000,-328200000,-409900000,-343100000,-239800000,-351800000,-398000000,-192300000
66,Other Total Stockholders Equity,280600000,297900000,324400000,308800000,299800000,313900000,320700000,311900000,317100000,393000000,431300000,568500000,761100000,655100000,653600000,747600000,803800000,161500000,177100000,242300000,256900000,262300000,-286500000,-322600000,-311900000,-296800000,132700000,146900000,162100000,45500000,-70400000,-56800000,-28800000,-12400000,-4400000,5200000
67,Total Stockholders Equity,312000000,300200000,307300000,318600000,313600000,319900000,296300000,218400000,239100000,263900000,309100000,449300000,659500000,632500000,653600000,648600000,508300000,474600000,538000000,724200000,946300000,1067700000,839200000,617000000,573400000,765700000,1103800000,1303100000,1504300000,1325900000,1104900000,1198600000,1485900000,1520100000,1445700000,1392300000
68,Total Liabilities And Stockholders Equity,645700000,601700000,635000000,674000000,695400000,717000000,714800000,699600000,729900000,831800000,912000000,1223000000,1698900000,1607800000,1745900000,1691500000,1479500000,1399900000,1456200000,1653400000,1887900000,2025700000,1712200000,1497400000,1583200000,1981600000,2618500000,2882900000,3057500000,2905900000,2794300000,2878100000,3007000000,3187800000,3227200000,2971200000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10300000,9300000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,645700000,601700000,635000000,674000000,695400000,717000000,714800000,699600000,729900000,831800000,912000000,1223000000,1698900000,1607800000,1745900000,1691500000,1479500000,1399900000,1456200000,1653400000,1887900000,2025700000,1712200000,1497400000,1583200000,1991900000,2627800000,2882900000,3057500000,2905900000,2794300000,2878100000,3007000000,3187800000,3227200000,2971200000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/17843/000001784394000033/0000017843-94-000033-index.html,https://www.sec.gov/Archives/edgar/data/17843/000001784395000018/0000017843-95-000018-index.html,https://www.sec.gov/Archives/edgar/data/17843/000001784396000019/0000017843-96-000019-index.html,https://www.sec.gov/Archives/edgar/data/17843/000001784397000017/0000017843-97-000017-index.html,https://www.sec.gov/Archives/edgar/data/17843/000001784398000073/0000017843-98-000073-index.html,https://www.sec.gov/Archives/edgar/data/17843/000001784399000050/0000017843-99-000050-index.html,https://www.sec.gov/Archives/edgar/data/17843/000001784300000021/0000017843-00-000021-index.html,- -,https://www.sec.gov/Archives/edgar/data/17843/000095016802002770/0000950168-02-002770-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000110465903020580/0001104659-03-020580-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000119312504151806/0001193125-04-151806-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000119312505182991/0001193125-05-182991-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000119312506181084/0001193125-06-181084-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000119312507191767/0001193125-07-191767-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000119312508183570/0001193125-08-183570-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000119312509179024/0001193125-09-179024-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000119312510194135/0001193125-10-194135-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000119312511231043/0001193125-11-231043-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000110465912059558/0001104659-12-059558-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000110465913065850/0001104659-13-065850-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000110465914063147/0001104659-14-063147-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000001784315000026/0000017843-15-000026-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000001784316000094/0000017843-16-000094-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000001784317000050/0000017843-17-000050-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000001784318000047/0000017843-18-000047-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000001784319000058/0000017843-19-000058-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000001784320000071/0000017843-20-000071-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000001784321000030/0000017843-21-000030-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,45000000,30100000,13700000,-48200000,36300000,47500000,60100000,60000000,84000000,37100000,53300000,21100000,-118300000,-10900000,36000000,135500000,211800000,227200000,277700000,47900000,2100000,71000000,121200000,146100000,132800000,58700000,11300000,47000000,188500000,167000000,1500000,-229600000
74,Depreciation and Amortization,- -,- -,- -,- -,23100000,24100000,25700000,26900000,29000000,32500000,35200000,41000000,58200000,65700000,68300000,72500000,67700000,64000000,57100000,50200000,47600000,48700000,49200000,52700000,59100000,66500000,83800000,104100000,111900000,122300000,119300000,117800000,116600000,121500000,123900000,123600000
75,Deferred Income Tax,- -,- -,- -,- -,16600000,4700000,3100000,11000000,4100000,3300000,4500000,7100000,14600000,-6200000,15000000,11100000,9200000,-14700000,6500000,7700000,-11000000,5700000,-4000000,16400000,-1800000,-5000000,36800000,9400000,-9700000,60400000,800000,41600000,-61100000,16500000,-400000,-33600000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11400000,10000000,8700000,13000000,17600000,17600000,10900000,10400000
