,https://roic.ai/company/NATH,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,650000,1310000,2170000,2400000,4330000,1834000,1420000,3450000,2940000,3010000,6280000,14370000,8680000,11610000,8940000,6030000,13403000,22080000,51393000,50228000,56915000,57339000,75446000,77117000,81064000
32,Short-Term Investments,- -,- -,- -,- -,7640000,8510000,3270000,3000000,4650000,8819000,4620000,7480000,11640000,16880000,22790000,20950000,25670000,24320000,18910000,14710000,12307000,11190000,7091000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,8290000,9820000,5440000,5400000,8980000,10653000,6040000,10930000,14580000,19890000,29070000,35320000,34350000,35930000,27850000,20740000,25710000,33270000,58484000,50228000,56915000,57339000,75446000,77117000,81064000
34,Net Receivables,- -,- -,- -,- -,1040000,980000,1580000,2620000,4180000,2808000,2610000,2350000,3590000,3910000,3260000,4440000,5160000,5340000,7040000,6540000,6917000,7820000,9499000,8721000,8948000,10502000,10173000,11108000,12019000
35,Inventory,- -,- -,- -,- -,210000,360000,370000,540000,520000,592000,390000,740000,690000,820000,790000,820000,670000,1020000,1140000,1130000,1046000,950000,822000,687000,579000,384000,535000,378000,624000
36,Other Current Assets,- -,- -,- -,- -,920000,750000,1030000,2380000,4190000,4528000,3510000,2300000,2760000,2380000,3700000,2200000,1530000,1530000,8390000,7140000,7315000,3150000,4532000,1343000,1093000,3483000,1007000,1181000,958000
37,Total Current Assets,- -,- -,- -,- -,10460000,11910000,8420000,10940000,17870000,18581000,12550000,16320000,21620000,27000000,36820000,42780000,41710000,43820000,44420000,35550000,40988000,45190000,73337000,60979000,67535000,71708000,87161000,89784000,94665000
38,PP&E,- -,- -,- -,- -,5480000,6170000,6290000,11660000,11280000,8925000,6260000,5090000,4580000,4570000,4220000,4430000,4130000,5470000,5790000,6180000,5788000,8970000,9257000,9013000,8844000,6642000,4889000,13791000,12427000
39,Goodwill,- -,- -,- -,- -,- -,- -,15390000,12250000,17040000,- -,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,95000,100000,95000,95000,95000,95000,95000,95000,95000
40,Intangible Assets,- -,- -,- -,- -,11640000,11270000,-4510000,6840000,970000,17123000,3320000,3060000,2800000,3880000,1780000,1350000,1350000,1350000,1350000,1350000,1353000,1350000,1353000,1353000,1353000,1353000,1353000,1269000,1156000
41,Intangible Assets,- -,- -,- -,- -,11640000,11270000,10880000,19090000,18010000,17123000,3420000,3160000,2900000,3980000,1880000,1450000,1450000,1450000,1450000,1450000,1448000,1450000,1448000,1448000,1448000,1448000,1448000,1364000,1251000
42,Investments,- -,- -,- -,- -,- -,- -,4440000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,100000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1539000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,480000,730000,734000,713000,814000,302000,343000,9000,138000
44,Other Non-Current Assets,- -,- -,- -,- -,210000,190000,1220000,6890000,4670000,2577000,3660000,3010000,2170000,1870000,3660000,2540000,2530000,2630000,1300000,1340000,458000,-300000,-387000,-604000,-516000,-9000,465000,334000,328000
45,Total Non-Current Assets,- -,- -,- -,- -,17330000,17630000,22830000,37640000,33960000,30164000,13340000,11260000,9650000,10420000,9760000,8420000,8110000,9550000,8540000,8970000,8674000,10950000,11052000,10570000,10590000,8383000,7145000,15498000,14144000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,27790000,29540000,31250000,48580000,51830000,48745000,25890000,27580000,31270000,37420000,46580000,51200000,49820000,53370000,52960000,44520000,49662000,56140000,84389000,71549000,78125000,80091000,94306000,105282000,108809000
48,Accounts Payable,- -,- -,- -,- -,750000,960000,1050000,1730000,1980000,1619000,1380000,1950000,2010000,2090000,2300000,2810000,2860000,3070000,3590000,3360000,2991000,4830000,5319000,4887000,4809000,6565000,5222000,3509000,4041000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,559000,- -,- -,- -,8000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1583000,1837000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,283000,266000,82000,143000,80000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1364000,1471000,697000,696000,111000,2356000,123000,581000,234000,278000,137000,98000,193000,807000,230000,841000
52,Other Current Liabilities,- -,- -,- -,- -,4900000,4840000,3660000,9360000,10680000,6838000,5240000,5180000,5600000,4458000,5679000,3623000,3344000,3979000,7024000,10077000,9891000,4746000,6412000,6176000,5865000,11248000,8895000,9297000,7874000
53,Total Current Liabilities,- -,- -,- -,- -,5650000,5800000,4710000,11090000,12660000,9016000,6620000,7130000,7610000,7920000,9450000,7130000,6900000,7160000,12970000,13560000,13463000,9810000,12009000,11200000,10772000,18006000,14924000,14619000,14593000
54,Long-Term Debt,- -,- -,- -,- -,20000,10000,- -,3130000,1790000,1220000,1050000,870000,690000,30000,- -,- -,- -,- -,- -,- -,- -,- -,129140000,130266000,131475000,144758000,145449000,146140000,154384000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,661000,991000,893000,786000,677000,- -,1687000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,338000,639000,734000,1028000,713000,814000,302000,496000,9000,653000
57,Other Non-Current Liabilities,- -,- -,- -,- -,150000,140000,190000,1020000,2350000,2364000,1830000,2230000,1610000,1430000,1250000,1460000,1080000,1900000,1910000,1782000,1412000,1035000,1129000,813000,769000,916000,3581000,9228000,1657000
58,Total Non-Current Liabilities,- -,- -,- -,- -,170000,150000,190000,4150000,4140000,3584000,2880000,3100000,2300000,1460000,1250000,1460000,1080000,1900000,1910000,2120000,2051000,2430000,132288000,132685000,133844000,146653000,149526000,157064000,156694000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10115000,9390000
61,Total Liabilities,- -,- -,- -,- -,5820000,5950000,4900000,15240000,16800000,12600000,9500000,10230000,9910000,9380000,10700000,8590000,7980000,9060000,14880000,15680000,15514000,12240000,144297000,143885000,144616000,164659000,164450000,171683000,171287000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,50000,50000,50000,70000,70000,71000,70000,70000,70000,80000,80000,80000,80000,90000,90000,90000,90000,90000,93000,93000,93000,93000,93000,94000,94000
64,Retained Earnings,- -,- -,- -,- -,-10380000,-8850000,-6120000,-7390000,-5790000,-4537000,-18510000,-16610000,-13870000,-8200000,-2650000,3750000,11230000,16800000,19010000,25170000,32636000,40960000,-63444000,-57348000,-49863000,-68181000,-52879000,-45356000,-40042000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-6570000,-7610000,-7690000,-7980000,-9080000,-9630000,120000,140000,-700000,-740000,-360000,320000,680000,1000000,960000,1000000,-7361000,300000,-6946000,-7190000,-7522000,-8264000,-8611000,-9468000,-9779000
66,Other Total Stockholders Equity,- -,- -,- -,- -,38880000,40000000,40110000,48650000,49830000,50241000,34703000,33752000,35856000,36908000,38809000,38458000,29859000,26422000,18018000,2577000,8783000,2547000,10389000,-7891000,-9199000,-8216000,-8747000,-11671000,-12751000
67,Total Stockholders Equity,- -,- -,- -,- -,21980000,23590000,26350000,33350000,35030000,36145000,16383000,17352000,21356000,28048000,35879000,42608000,41849000,44312000,38078000,28837000,34148000,43897000,-59908000,-72336000,-66491000,-84568000,-70144000,-66401000,-62478000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,27800000,29540000,31250000,48590000,51830000,48745000,25883000,27582000,31266000,37428000,46579000,51198000,49829000,53372000,52958000,44517000,49662000,56137000,84389000,71549000,78125000,80091000,94306000,105282000,108809000
69,Minority Interest,- -,- -,- -,- -,-10000,- -,- -,-10000,- -,- -,7000,-2000,4000,-8000,1000,2000,-9000,-2000,2000,3000,- -,3000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,27790000,29540000,31250000,48580000,51830000,48745000,25890000,27580000,31270000,37420000,46580000,51200000,49820000,53370000,52960000,44520000,49662000,56140000,84389000,71549000,78125000,80091000,94306000,105282000,108809000
71,SEC Link,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/69733/000095012397005357/0000950123-97-005357-index.html,https://www.sec.gov/Archives/edgar/data/69733/000095012398006088/0000950123-98-006088-index.html,https://www.sec.gov/Archives/edgar/data/69733/000095012399005946/0000950123-99-005946-index.html,https://www.sec.gov/Archives/edgar/data/69733/000095012300006013/0000950123-00-006013-index.html,https://www.sec.gov/Archives/edgar/data/69733/000095012301503715/0000950123-01-503715-index.html,https://www.sec.gov/Archives/edgar/data/69733/000093221402000076/0000932214-02-000076-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/69733/000114420406025853/0001144204-06-025853-index.htm,https://www.sec.gov/Archives/edgar/data/69733/000114420407033113/0001144204-07-033113-index.htm,https://www.sec.gov/Archives/edgar/data/69733/000114420408034894/0001144204-08-034894-index.htm,https://www.sec.gov/Archives/edgar/data/69733/000114420409031909/0001144204-09-031909-index.htm,https://www.sec.gov/Archives/edgar/data/69733/000114420410032962/0001144204-10-032962-index.htm,https://www.sec.gov/Archives/edgar/data/69733/000114420411034784/0001144204-11-034784-index.htm,https://www.sec.gov/Archives/edgar/data/69733/000143774912005931/0001437749-12-005931-index.htm,https://www.sec.gov/Archives/edgar/data/69733/000143774913007587/0001437749-13-007587-index.htm,https://www.sec.gov/Archives/edgar/data/69733/000143774914011106/0001437749-14-011106-index.htm,https://www.sec.gov/Archives/edgar/data/69733/000143774915012185/0001437749-15-012185-index.htm,https://www.sec.gov/Archives/edgar/data/69733/000143774916033631/0001437749-16-033631-index.htm,https://www.sec.gov/Archives/edgar/data/69733/000143774917011019/0001437749-17-011019-index.htm,https://www.sec.gov/Archives/edgar/data/69733/000143774918011457/0001437749-18-011457-index.htm,https://www.sec.gov/Archives/edgar/data/69733/000143774919012012/0001437749-19-012012-index.htm,https://www.sec.gov/Archives/edgar/data/69733/000143774920012966/0001437749-20-012966-index.htm,https://www.sec.gov/Archives/edgar/data/69733/000143774921014536/0001437749-21-014536-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1800000,1500000,-500000,-6400000,800000,1500000,2700000,-1300000,1600000,1249000,-14000000,1900000,2700000,5700000,5500000,6600000,7500000,5600000,2200000,6200000,7468000,8300000,11703000,6096000,7485000,2630000,21493000,13435000,11075000
74,Depreciation and Amortization,2000000,1900000,2200000,2400000,1500000,1500000,1500000,2074000,2630000,2549000,2270000,1359000,1418000,1379000,1394000,1195000,874000,843000,915000,965000,940000,1157000,1253000,1255000,1297000,1352000,1212000,1233000,1183000
75,Deferred Income Tax,- -,-100000,-500000,-200000,200000,-100000,-1000000,-958000,313000,509000,-585000,945000,915000,175000,-180000,682000,-63000,-267000,-1957000,2041000,497000,1652000,111000,-13000,760000,-339000,396000,580000,-147000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,428000,428000,378000,274000,627000,721000,859000,722000,582000,398000,162000,116000,116000
77,Change in Working Capital,-1300000,- -,- -,- -,4810000,1300000,-2400000,-3860000,5360000,4355000,-3635000,3260000,4820000,5070000,8290000,8280000,-840000,1850000,-5210000,-9460000,5535000,7855000,25948000,-11549000,6984000,-3061000,18535000,2928000,4907000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1211000,-536000,-951000,-501000,-397000,-927000,-2417000,740000,-280000,-1588000,- -,- -,- -
79,Inventory,- -,-100000,- -,- -,- -,-100000,- -,3000,20000,-69000,203000,-354000,55000,-129000,27000,-32000,160000,-350000,-110000,14000,79000,99000,125000,135000,108000,195000,-151000,157000,-246000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-838000,2329000,1779000,-293000,-673000,7091000,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,4810000,6110000,3710000,-150000,5210000,9565000,5930000,9190000,14010000,19080000,27370000,35650000,34810000,36660000,31450000,21990000,27525000,35380000,61328000,49779000,56763000,53702000,72237000,75165000,80072000
82,Other Non-Cash Items,200000,-600000,3100000,3800000,-6510000,-1900000,6000000,6021000,-5754000,-11743000,18246000,-2188000,-6545000,-8263000,-6813000,-11905000,-3798000,-1275000,10900000,9592000,-5573000,-16809000,-26589000,15969000,-6696000,17882000,-30642000,-5943000,-5368000
83,Cash Provided by Operating Activities,2700000,2700000,4300000,-400000,800000,2300000,6800000,1977000,4149000,-3081000,2296000,5276000,3308000,4061000,8191000,4852000,4101000,7179000,7226000,9612000,9494000,2876000,13285000,12480000,10412000,18862000,11156000,12349000,11766000
84,CAPEX,-500000,-1900000,-2100000,-3000000,-900000,-1700000,-1500000,-3565000,-1458000,-2082000,-562000,-449000,-588000,-2141000,-545000,-972000,-513000,-2184000,-1245000,-1358000,-998000,-4339000,-1538000,-1125000,-1128000,-563000,-447000,-870000,-551000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-1036000,- -,- -,- -,- -,- -,- -,- -,3961000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-29400000,- -,- -,- -,- -,- -,- -,- -,- -,-2884000,-5461000,-5910000,-7877000,-5972000,-1089000,-8497000,- -,- -,- -,-500000,-2219000,-4258000,-3887000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,21500000,- -,- -,- -,- -,- -,- -,- -,- -,6088000,2497000,1357000,2245000,- -,3100000,3682000,1535000,4906000,4971000,2000000,2890000,8020000,10868000,- -,- -,- -,- -,- -
88,Other Investing Activites,-1100000,-700000,- -,100000,- -,100000,-4400000,3749000,551000,4160000,1054000,1286000,342000,3971000,487000,1930000,406000,215000,-4866000,-447000,-6000,8585000,- -,133000,- -,13000,12775000,- -,- -
89,Cash Used for Investing Activites,-1600000,-10500000,-2100000,-2900000,-900000,-1600000,-5900000,184000,-1943000,2078000,3696000,-2127000,-4799000,-3802000,-6030000,2969000,-961000,-434000,-1205000,3166000,496000,4917000,2224000,5989000,-1128000,-550000,12328000,-870000,-551000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,11700000,1900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1387000,642000,1801000,924000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-135000,-5858000,-928000,-237000,- -,- -,-1928000,-9712000,-6394000,-9254000,-15867000,-3085000,-1486000,-1916000,-19231000,-1272000,- -,-1000000,-4966000,-1501000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-115110000,-375000,-375000,-21073000,-4337000,-5912000,-5761000
94,Other Financing Activites,-5900000,-300000,- -,- -,- -,- -,- -,-1929000,-278000,-1353000,-553000,-187000,-173000,-827000,-39000,632000,870000,2579000,564000,178000,469000,2367000,130833000,-28000,-950000,3185000,-40000,1070000,-6000
95,Cash Used/Provided by Financing Activities,5800000,1600000,- -,- -,- -,- -,- -,-1929000,-278000,-1488000,-6411000,-1115000,977000,-185000,1762000,-372000,-8842000,-3815000,-8690000,-15689000,-2616000,881000,13807000,-19634000,-2597000,-17888000,-5377000,-9808000,-7268000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,5800000,1600000,- -,- -,-200000,700000,900000,232000,1928000,-2491000,-419000,2034000,-514000,74000,3923000,7449000,-5702000,2930000,-2669000,-2911000,7374000,8674000,29316000,-1165000,6687000,424000,18107000,1671000,3947000
98,Cash at the End of Period,- -,- -,- -,- -,600000,1300000,2200000,2397000,4325000,1834000,1415000,3449000,2935000,3009000,6932000,14381000,8679000,11609000,8940000,6029000,13403000,22077000,51393000,50228000,56915000,57339000,75446000,77117000,81064000
99,Cash at the Beginning of Period,1100000,8000000,1900000,4100000,800000,600000,1300000,2165000,2397000,4325000,1834000,1415000,3449000,2935000,3009000,6932000,14381000,8679000,11609000,8940000,6029000,13403000,22077000,51393000,50228000,56915000,57339000,75446000,77117000
100,Free Cash Flow,2200000,800000,2200000,-3400000,-100000,600000,5300000,-1588000,2691000,-5163000,1734000,4827000,2720000,1920000,7646000,3880000,3588000,4995000,5981000,8254000,8496000,-1463000,11747000,11355000,9284000,18299000,10709000,11479000,11215000
