,https://roic.ai/company/BDX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,439900000,501600000,592900000,665200000,694400000,751600000,836000000,904700000,1016400000,1038500000,1087300000,1109800000,1156500000,1308200000,1444800000,1485939000,1195130000,1273737000,1442524000,1647116000,1722482000,1897505000,1962454000,2111283000,2112923000,2152353000,2328270000,2395109000,2916000000,2695000000,3195000000,3833000000,4109000000,5021000000,6050000000,5777000000,6445000000
11,COGS and Expenses,1006100000,1128400000,1355600000,1470300000,1555600000,1707200000,1858500000,2036700000,2195000000,2234400000,2315900000,2338500000,2360000000,2620500000,2897600000,3046016000,3108422000,3357406000,3778814000,4147478000,4384511000,4784358000,5034375000,5603844000,5510521000,5695536000,6065622000,6150497000,6799000000,6840000000,8782000000,10325000000,10260000000,13742000000,15052000000,15317000000,17266000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33148000,35129000,43209000,50333000,40000000,46000000,15000000,21000000,76000000,65000000,12000000,7000000,9000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40389000,51263000,84019000,134658000,138000000,135000000,371000000,388000000,521000000,706000000,639000000,528000000,469000000
14,Depreciation and Amortization,59400000,65200000,92700000,109200000,121900000,135700000,149900000,169600000,189800000,203700000,207800000,200500000,209800000,228700000,258900000,288255000,305700000,304865000,344456000,357224000,387496000,405095000,441341000,477422000,470193000,502113000,504089000,510938000,546000000,562000000,891000000,1114000000,1088000000,1978000000,2253000000,2154000000,2273000000
15,EBITDA,190400000,237900000,301500000,328600000,360600000,409900000,417200000,439100000,271600000,499900000,557400000,594300000,632500000,569600000,631500000,808189000,845700000,933454000,1054162000,994990000,1422330000,1436741000,1679152000,2030107000,2168393000,2355806000,2310513000,2178403000,2213000000,2219000000,2001000000,2575000000,2585000000,3857000000,4068000000,3667000000,4984000000
16,EBITDA ratio,0.1665,0.1814,0.1906,0.1922,0.1991,0.2037,0.1921,0.1856,0.1102,0.1953,0.2055,0.2146,0.2250,0.1827,0.1847,0.2234,0.2253,0.2315,0.2328,0.2016,0.2627,0.2462,0.2640,0.2837,0.3028,0.3195,0.2951,0.2826,0.2748,0.2627,0.1946,0.2063,0.2138,0.2413,0.2353,0.2142,0.2461
17,Operating Income,137700000,183200000,226400000,239100000,255900000,305500000,313700000,328600000,270400000,325100000,396600000,431300000,450500000,496400000,520800000,572318000,645880000,675663000,749126000,787267000,1030170000,1050469000,1203200000,1552066000,1650353000,1676797000,1763282000,1557885000,1254000000,1606000000,1074000000,1430000000,1478000000,1497000000,1760000000,1484000000,2799000000
18,Operating Income ratio,0.1204,0.1397,0.1431,0.1399,0.1413,0.1518,0.1444,0.1389,0.1097,0.1270,0.1462,0.1557,0.1603,0.1593,0.1524,0.1582,0.1720,0.1675,0.1654,0.1595,0.1903,0.1800,0.1892,0.2169,0.2305,0.2274,0.2252,0.2021,0.1557,0.1901,0.1045,0.1146,0.1222,0.0937,0.1018,0.0867,0.1382
19,Total Other Income Expenses (Gains),-6700000,-10500000,-17600000,-32800000,-28100000,-31300000,-46400000,-59100000,-47500000,-28900000,-47000000,-37500000,-27800000,-155500000,-148200000,-52384000,-69130000,-47074000,-39420000,-34399000,-25316000,-15512000,745000,1541000,-11091000,-15637000,-47019000,-85477000,-89000000,-84000000,-335000000,-356000000,-502000000,-324000000,-584000000,-499000000,-557000000
20,Income Before Tax,131000000,172700000,208800000,206300000,227800000,274200000,267300000,269500000,222900000,296200000,349600000,393800000,422700000,340900000,372600000,519934000,576750000,628589000,709706000,752868000,1004854000,1034957000,1203945000,1553607000,1639262000,1661160000,1716263000,1472408000,1165000000,1522000000,739000000,1074000000,976000000,1173000000,1176000000,985000000,2242000000
21,Income Before Tax Ratio,0.1145,0.1317,0.1320,0.1207,0.1258,0.1362,0.1231,0.1139,0.0904,0.1157,0.1289,0.1422,0.1504,0.1094,0.1090,0.1437,0.1536,0.1559,0.1567,0.1526,0.1856,0.1774,0.1893,0.2171,0.2289,0.2253,0.2192,0.1910,0.1446,0.1802,0.0719,0.0860,0.0807,0.0734,0.0680,0.0575,0.1107
22,Income Tax expense (Gain),43000000,60800000,67000000,57400000,69800000,91900000,77500000,68700000,10100000,69000000,97900000,110200000,122600000,104300000,96900000,127037000,138348000,148607000,162650000,170364000,312571000,279366000,347778000,425689000,426208000,484820000,451411000,362880000,236000000,337000000,44000000,97000000,-124000000,862000000,-57000000,111000000,150000000
23,Net Income,88000000,111900000,141800000,162000000,168900000,182300000,189800000,200800000,71700000,227200000,251700000,283600000,300100000,236600000,275700000,392897000,401652000,479982000,547056000,467402000,722263000,752280000,890033000,1126996000,1231603000,1317610000,1270994000,1169927000,1293000000,1185000000,695000000,976000000,1100000000,311000000,1233000000,874000000,2092000000
24,Net Income ratio,0.0769,0.0853,0.0896,0.0948,0.0932,0.0906,0.0874,0.0849,0.0291,0.0888,0.0928,0.1024,0.1068,0.0759,0.0807,0.1086,0.1070,0.1190,0.1208,0.0947,0.1334,0.1289,0.1399,0.1575,0.1720,0.1787,0.1623,0.1518,0.1605,0.1403,0.0676,0.0782,0.0910,0.0195,0.0713,0.0511,0.1033
25,EPS,0.27,0.33,0.43,0.51,0.54,0.59,0.61,0.65,0.22,0.76,0.90,0.53,1.15,0.95,1.09,1.54,1.55,1.85,2.14,1.85,2.87,3.04,3.63,4.61,5.12,5.62,5.75,5.59,6.63,6.13,3.43,4.59,4.70,0.62,3.96,2.75,6.92
26,EPS Diluted,0.27,0.33,0.43,0.51,0.54,0.59,0.61,0.65,0.22,0.76,0.90,0.53,1.15,0.90,1.04,1.49,1.49,1.79,2.07,1.77,2.77,2.93,3.49,4.46,4.99,5.49,5.62,5.59,6.49,5.99,3.35,4.49,4.60,0.60,3.89,2.71,6.85
27,Weighted Average Shares Outstanding,325925926,339090909,329767442,317647059,312777778,305932203,306885246,305076923,313636364,294426230,276434540,265616438,258608696,245684211,250091743,253234416,257374839,257882162,254605140,251506486,251531707,247460526,245188154,244323000,240479000,234328000,221175000,205460000,195157000,193299000,202537000,212702000,218943000,258354000,269943000,278971000,289288000
28,Weighted Average Shares Outstanding Diluted,325925926,339090909,329767442,317647059,312777778,305932203,306885246,305076923,313636364,294426230,276434540,265616438,258608696,259333333,262115385,261732215,267738926,266526257,263214976,262874011,260612274,256750853,255023782,252689686,246798000,240136000,226280000,209181000,199193000,197709000,207509000,217536000,223588000,264621000,274775000,282402000,292089000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/10795/000095013094001784/0000950130-94-001784-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095013095002805/0000950130-95-002805-index.html,- -,https://www.sec.gov/Archives/edgar/data/10795/000095013097005591/0000950130-97-005591-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095013098005912/0000950130-98-005912-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095013099006997/0000950130-99-006997-index.html,- -,https://www.sec.gov/Archives/edgar/data/10795/000095011701501836/0000950117-01-501836-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095011702003172/0000950117-02-003172-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095011703005430/0000950117-03-005430-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095011704004429/0000950117-04-004429-index.html,- -,https://www.sec.gov/Archives/edgar/data/10795/000093041306008311/c45480_10-k.htm,https://www.sec.gov/Archives/edgar/data/10795/000093041307008926/0000930413-07-008926-index.html,https://www.sec.gov/Archives/edgar/data/10795/000093041308006967/0000930413-08-006967-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095012309066233/0000950123-09-066233-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095012310108757/0000950123-10-108757-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095012311100266/0000950123-11-100266-index.html,https://www.sec.gov/Archives/edgar/data/10795/000119312512478705/0001193125-12-478705-index.html,https://www.sec.gov/Archives/edgar/data/10795/000119312513456802/0001193125-13-456802-index.html,https://www.sec.gov/Archives/edgar/data/10795/000119312514426571/0001193125-14-426571-index.html,https://www.sec.gov/Archives/edgar/data/10795/000162828015008984/0001628280-15-008984-index.html,https://www.sec.gov/Archives/edgar/data/10795/000162828016021658/0001628280-16-021658-index.html,https://www.sec.gov/Archives/edgar/data/10795/000001079517000021/0000010795-17-000021-index.html,https://www.sec.gov/Archives/edgar/data/10795/000001079518000036/0000010795-18-000036-index.html,https://www.sec.gov/Archives/edgar/data/10795/000001079519000044/0000010795-19-000044-index.html,https://www.sec.gov/Archives/edgar/data/10795/000001079520000055/0000010795-20-000055-index.htm,https://www.sec.gov/Archives/edgar/data/10795/000001079521000091/0000010795-21-000091-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,118400000,172800000,189000000,123500000,61000000,41700000,30200000,56600000,39100000,94900000,198500000,135200000,112600000,83300000,59900000,49196000,82129000,243115000,519886000,719378000,1042890000,1000289000,511482000,830477000,1394244000,1215989000,1175282000,1671165000,1890000000,1861000000,1424000000,1541000000,14179000000,1140000000,536000000,2825000000,2283000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4700000,5561000,4571000,1850000,- -,32119000,86808000,106386000,158040000,199942000,551561000,528206000,388031000,509566000,718000000,884000000,95000000,366000000,37000000,17000000,30000000,20000000,12000000
33,Cash and Short-Term Investments,118400000,172800000,189000000,123500000,61000000,41700000,30200000,56600000,39100000,94900000,198500000,135200000,112600000,83300000,64600000,54757000,86700000,244965000,519886000,751497000,1129698000,1106675000,669522000,1030419000,1945805000,1744195000,1563313000,2180731000,2608000000,2745000000,1519000000,1907000000,14216000000,1157000000,566000000,2845000000,2295000000
34,Net Receivables,208200000,252200000,295800000,339400000,361000000,422200000,468000000,585100000,557800000,589900000,573100000,580300000,595700000,726600000,812500000,751720000,768047000,745998000,781342000,807380000,842806000,885748000,1083152000,1079051000,1168662000,1205377000,1228637000,1249549000,1240000000,1187000000,1618000000,1618000000,1744000000,2319000000,2345000000,2398000000,2497000000
35,Inventory,182700000,268300000,305100000,356400000,355200000,397600000,406300000,453400000,445900000,420000000,408600000,402500000,438300000,536800000,642500000,678676000,707744000,697696000,795014000,738778000,775949000,875738000,1051959000,1080426000,1156762000,1145337000,1244972000,1240679000,1402000000,1495000000,1959000000,1719000000,1818000000,2451000000,2579000000,2743000000,2866000000
36,Other Current Assets,67200000,89500000,52400000,63700000,91400000,100400000,127100000,126100000,107900000,221800000,147300000,158800000,166000000,196100000,164100000,175524000,200451000,240048000,242327000,343679000,226861000,317092000,325933000,424779000,375725000,410341000,631409000,651112000,623000000,704000000,949000000,1123000000,855000000,1484000000,1174000000,983000000,1180000000
37,Total Current Assets,576500000,782800000,842300000,883000000,868600000,961900000,1031600000,1221200000,1150700000,1326600000,1327500000,1276800000,1312600000,1542800000,1683700000,1660677000,1762942000,1928707000,2338569000,2641334000,2975314000,3185253000,3130566000,3614675000,4646954000,4505250000,4668331000,5322071000,5873000000,6131000000,6045000000,6367000000,18633000000,7411000000,6664000000,8969000000,8838000000
38,PP&E,479000000,631300000,754900000,925400000,1100600000,1276100000,1351400000,1429500000,1403100000,1376300000,1281000000,1244100000,1250700000,1302700000,1431100000,1576058000,1716023000,1765730000,1844771000,1880997000,1933718000,2133548000,2497338000,2744474000,2966629000,3100492000,3211197000,3303928000,3476000000,3605000000,4060000000,3901000000,4638000000,5375000000,5659000000,5923000000,6393000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,431452000,- -,- -,- -,- -,565146000,621414000,625768000,621872000,763961000,991121000,1076077000,1109000000,1090000000,7537000000,7419000000,7563000000,23600000000,23376000000,23620000000,23901000000
40,Intangible Assets,24000000,148200000,253000000,255800000,283600000,155800000,150000000,223700000,216100000,217700000,181500000,175900000,331900000,746300000,1034700000,639063000,469331000,902251000,648501000,755218000,571607000,525667000,613455000,571692000,603873000,793401000,1115169000,1158866000,1206000000,1126000000,7387000000,6351000000,5893000000,16441000000,14977000000,13813000000,12784000000
41,Intangible Assets,24000000,148200000,253000000,255800000,283600000,155800000,150000000,223700000,216100000,217700000,181500000,175900000,331900000,746300000,1034700000,639063000,900783000,902251000,648501000,755218000,571607000,1090813000,1234869000,1197460000,1225745000,1557362000,2106290000,2234943000,2315000000,2216000000,14924000000,13770000000,13456000000,40041000000,38353000000,37433000000,36685000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,1118000000,796000000,38000000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,161400000,128600000,41300000,3300000,17300000,199700000,247000000,303300000,317700000,238900000,209500000,193000000,185100000,254200000,287500000,629298000,422539000,443772000,740412000,475030000,591330000,414911000,466592000,356334000,465296000,487590000,444610000,499967000,485000000,486000000,673000000,752000000,968000000,1077000000,1088000000,1687000000,1952000000
45,Total Non-Current Assets,664400000,908100000,1049200000,1184500000,1401500000,1631600000,1748400000,1956500000,1936900000,1832900000,1672000000,1613000000,1767700000,2303200000,2753300000,2844419000,3039345000,3111753000,3233684000,3111245000,3096655000,3639272000,4198799000,4298268000,4657670000,5145444000,5762097000,6038838000,6276000000,6316000000,20775000000,19219000000,19100000000,46493000000,45100000000,45043000000,45030000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1240900000,1690900000,1891500000,2067500000,2270100000,2593500000,2780000000,3177700000,3087600000,3159500000,2999500000,2889800000,3080300000,3846000000,4437000000,4505096000,4802287000,5040460000,5572253000,5752579000,6071969000,6824525000,7329365000,7912943000,9304624000,9650694000,10430428000,11360909000,12149000000,12447000000,26820000000,25586000000,37733000000,53904000000,51764000000,54012000000,53866000000
48,Accounts Payable,- -,- -,- -,- -,379200000,245900000,237000000,262200000,264300000,118100000,124200000,128000000,128500000,208500000,209400000,183967000,205046000,224645000,221462000,206941000,252262000,243602000,266993000,260882000,264181000,325402000,304836000,350455000,333000000,401000000,631000000,665000000,797000000,1106000000,1092000000,1355000000,1793000000
49,Short-Term Debt,61200000,154700000,182600000,189200000,188500000,167000000,141700000,285100000,206800000,173200000,205800000,227400000,132400000,385200000,631300000,637735000,454012000,434642000,121920000,49289000,206509000,427218000,207634000,201312000,402965000,202758000,234932000,405142000,207000000,203000000,1452000000,1001000000,203000000,2601000000,1309000000,706000000,500000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3665000,28796000,11038000,3882000,19000000,26000000,33000000,274000000,176000000,343000000,140000000,144000000,176000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,221600000,290700000,310400000,336600000,- -,160900000,152600000,166000000,165000000,387000000,390000000,410700000,417300000,498200000,488600000,531836000,605618000,593166000,699992000,793852000,840604000,905509000,1004182000,954385000,1109947000,1143513000,1283460000,1222458000,1590000000,1631000000,2303000000,2734000000,2342000000,3509000000,3254000000,3775000000,4333000000
53,Total Current Liabilities,282800000,445400000,493000000,525800000,567700000,573800000,531300000,713300000,636100000,678300000,720000000,766100000,678200000,1091900000,1329300000,1353538000,1264676000,1252453000,1043374000,1050082000,1299375000,1576329000,1478809000,1416579000,1777093000,1671673000,1823228000,1978055000,2130000000,2235000000,4386000000,4400000000,3342000000,7216000000,5655000000,5836000000,6626000000
54,Long-Term Debt,220700000,391700000,479600000,500000000,516000000,649300000,739100000,685100000,680600000,669200000,557600000,468200000,665400000,765200000,954200000,779569000,782996000,802967000,1184031000,1171506000,1060833000,956971000,955713000,953226000,1488460000,1495357000,2484665000,3761112000,3763000000,3768000000,11370000000,10550000000,18667000000,18894000000,18081000000,17224000000,17110000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,56300000,49900000,57600000,82000000,114800000,136900000,145800000,184300000,19900000,32700000,33800000,35100000,44700000,48500000,40700000,86494000,90117000,105459000,119087000,88906000,125876000,184526000,88012000,142588000,114325000,149975000,225877000,261705000,408000000,383000000,2767000000,1684000000,1609000000,5743000000,5676000000,5753000000,5225000000
57,Other Non-Current Liabilities,- -,- -,- -,-100000,100000,-100000,- -,100000,294100000,297600000,289700000,295200000,306600000,326600000,344100000,329497000,335731000,391607000,328807000,374222000,301933000,270495000,444874000,464982000,782034000,899109000,1068483000,1224148000,806000000,1008000000,1132000000,1318000000,1168000000,1057000000,1271000000,1434000000,1228000000
58,Total Non-Current Liabilities,277000000,441600000,537200000,581900000,630900000,786100000,884900000,869500000,994600000,999500000,881100000,798500000,1016700000,1140300000,1339000000,1195560000,1208844000,1300033000,1631925000,1634634000,1488642000,1411992000,1488599000,1560796000,2384819000,2544441000,3779025000,5246965000,4977000000,5159000000,15269000000,13552000000,21444000000,25694000000,25028000000,24411000000,23563000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,559800000,887000000,1030200000,1107700000,1198600000,1359900000,1416200000,1582800000,1630700000,1677800000,1601100000,1564600000,1694900000,2232200000,2668300000,2549098000,2473520000,2552486000,2675299000,2684716000,2788017000,2988321000,2967408000,2977375000,4161912000,4216114000,5602253000,7225020000,7107000000,7394000000,19655000000,17952000000,24786000000,32910000000,30683000000,30247000000,30189000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34448000,31142000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,2000000,2000000,2000000,2000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,332700000,332662000,332662000,332662000,332662000,332662000,332662000,332662000,332662000,332662000,332662000,332662000,332662000,332662000,333000000,333000000,333000000,333000000,347000000,347000000,347000000,365000000,365000000
64,Retained Earnings,610000000,704800000,823300000,951300000,1126200000,1265900000,1409400000,1562200000,1581200000,1752400000,1946600000,2160300000,2249500000,2350800000,2539000000,2835908000,3137304000,3514465000,3950592000,4264778000,4805852000,5345697000,5995787000,6838589000,7752831000,8724228000,9633584000,10435378000,11342000000,12105000000,12314000000,12727000000,13111000000,12596000000,12913000000,12791000000,13826000000
65,Other Comprehensive Income/Loss,-318400000,-367900000,-367900000,-367900000,-555100000,-647900000,-745800000,-865300000,-960800000,-1103600000,-1142000000,-1218100000,-1299100000,-1424400000,-1501700000,-1587042000,-1704271000,-1855631000,-237992000,-158478000,-172915000,-17674000,14033000,-62816000,-372662000,-457909000,-670000000,-801811000,-516000000,-1001000000,-1738000000,-1929000000,-1723000000,-1909000000,-2283000000,-2548000000,-2088000000
66,Other Total Stockholders Equity,389500000,467000000,405900000,376400000,500400000,615600000,700200000,898000000,836500000,832900000,593800000,383000000,435000000,687400000,398700000,374470000,563072000,496478000,-1182756000,-1402241000,-1681647000,-1824481000,-1980525000,-2172867000,-2570119000,-3164401000,-4468071000,-5830340000,-6117000000,-6384000000,-3744000000,-3497000000,1211000000,9958000000,10103000000,13155000000,11572000000
67,Total Stockholders Equity,681100000,803900000,861300000,959800000,1071500000,1233600000,1363800000,1594900000,1456900000,1481700000,1398400000,1325200000,1385400000,1613800000,1768700000,1955998000,2328767000,2487974000,2896954000,3067863000,3283952000,3836204000,4361957000,4935568000,5142712000,5434580000,4828175000,4135889000,5042000000,5053000000,7165000000,7634000000,12948000000,20994000000,21082000000,23765000000,23677000000
68,Total Liabilities And Stockholders Equity,1240900000,1690900000,1891500000,2067500000,2270100000,2593500000,2780000000,3177700000,3087600000,3159500000,2999500000,2889800000,3080300000,3846000000,4437000000,4505096000,4802287000,5040460000,5572253000,5752579000,6071969000,6824525000,7329365000,7912943000,9304624000,9650694000,10430428000,11360909000,12149000000,12447000000,26820000000,25586000000,37734000000,53904000000,51765000000,54012000000,53866000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,-1000000,- -,- -
70,Total Liabilities & Equity,1240900000,1690900000,1891500000,2067500000,2270100000,2593500000,2780000000,3177700000,3087600000,3159500000,2999500000,2889800000,3080300000,3846000000,4437000000,4505096000,4802287000,5040460000,5572253000,5752579000,6071969000,6824525000,7329365000,7912943000,9304624000,9650694000,10430428000,11360909000,12149000000,12447000000,26820000000,25586000000,37733000000,53904000000,51764000000,54012000000,53866000000
