,https://roic.ai/company/MRO,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,13535000000,13593000000,12440000000,11552000000,9791000000,10469000000,12539000000,11802000000,17289000000,19192000000,27867000000,25708000000,26090000000,34865000000,42774000000,53656000000,55929000000,52732000000,70134000000,50549000000,67825000000,10159000000,9518000000,9659000000,9527000000,7800000000,5483000000,4669000000,4840000000,4530000000,4122000000,4084000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000000,12000000,- -,13000000,6000000,7000000,9000000,14000000,34000000,32000000,25000000,5000000,1000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69000000,511000000,107000000,232000000,286000000,277000000,332000000,379000000,377000000,280000000,280000000,279000000,257000000
14,Depreciation and Amortization,1026000000,875000000,793000000,727000000,721000000,817000000,693000000,664000000,941000000,950000000,1245000000,1236000000,1201000000,1175000000,1217000000,1358000000,1518000000,1613000000,2178000000,- -,2965000000,2266000000,- -,- -,- -,- -,- -,- -,- -,- -,2316000000,2066000000
15,EBITDA,1805000000,940000000,663000000,649000000,1197000000,622000000,1677000000,1336000000,1393000000,1928000000,2159000000,2152000000,2106000000,3080000000,3205000000,6120000000,10774000000,8470000000,9151000000,3789000000,8598000000,8039000000,6345000000,5376000000,3715000000,-2626000000,-856000000,-4970000000,1707000000,672000000,1130000000,3327000000
16,EBITDA ratio,0.1235,0.0673,0.0519,0.0543,0.1172,0.0557,0.1236,0.1033,0.0768,0.0953,0.0716,0.0751,0.0767,0.0834,0.0705,0.1038,0.1660,0.1426,0.1165,0.0700,0.1168,0.5424,0.4044,0.3707,0.3425,-0.4756,-0.2124,-1.1365,0.2892,0.1327,0.3649,0.5940
17,Operating Income,1081000000,382000000,342000000,410000000,424000000,35000000,1025000000,1130000000,1101000000,1047000000,2276000000,2954000000,1366000000,2084000000,2670000000,5302000000,8967000000,6640000000,7023000000,3590000000,5317000000,4813000000,6332000000,5204000000,1599000000,-2691000000,-900000000,-133000000,1667000000,636000000,-1180000000,1308000000
18,Operating Income ratio,0.0740,0.0273,0.0268,0.0343,0.0415,0.0031,0.0756,0.0874,0.0607,0.0517,0.0755,0.1031,0.0497,0.0564,0.0588,0.0899,0.1382,0.1118,0.0894,0.0663,0.0722,0.3248,0.4036,0.3589,0.1474,-0.4873,-0.2233,-0.0304,0.2824,0.1256,-0.3810,0.2335
19,Total Other Income Expenses (Gains),-302000000,-317000000,-141000000,-465000000,52000000,-225000000,-34000000,-458000000,-649000000,-69000000,-1362000000,-877000000,-441000000,-488000000,-686000000,-521000000,12000000,209000000,-50000000,-149000000,-195000000,-386000000,-219000000,-274000000,-238000000,-267000000,-335000000,-321000000,-240000000,-244000000,-285000000,-304000000
20,Income Before Tax,779000000,65000000,201000000,-55000000,476000000,-190000000,991000000,672000000,452000000,978000000,914000000,2077000000,925000000,1596000000,1984000000,4781000000,8979000000,6849000000,6973000000,3441000000,5122000000,4427000000,6113000000,4930000000,1361000000,-2958000000,-1235000000,-454000000,1427000000,392000000,-1465000000,1004000000
21,Income Before Tax Ratio,0.0533,0.0047,0.0157,-0.0046,0.0466,-0.0170,0.0731,0.0520,0.0249,0.0483,0.0303,0.0725,0.0337,0.0432,0.0437,0.0811,0.1384,0.1153,0.0888,0.0636,0.0696,0.2987,0.3897,0.3400,0.1255,-0.5357,-0.3064,-0.1038,0.2418,0.0774,-0.4730,0.1793
22,Income Tax expense (Gain),271000000,136000000,92000000,-49000000,155000000,-107000000,320000000,216000000,142000000,324000000,482000000,759000000,389000000,584000000,727000000,1730000000,4022000000,2901000000,3445000000,2257000000,2554000000,2720000000,4531000000,3337000000,392000000,-754000000,905000000,376000000,331000000,-88000000,-14000000,58000000
23,Net Income,508000000,-71000000,-222000000,-29000000,321000000,-88000000,664000000,456000000,310000000,654000000,432000000,157000000,516000000,1321000000,1261000000,3032000000,5234000000,3956000000,3528000000,1463000000,2568000000,2946000000,1582000000,1753000000,3046000000,-2204000000,-2140000000,-5723000000,1096000000,480000000,-1451000000,946000000
24,Net Income ratio,0.0348,-0.0051,-0.0174,-0.0024,0.0314,-0.0079,0.0490,0.0353,0.0171,0.0323,0.0143,0.0055,0.0188,0.0358,0.0277,0.0514,0.0807,0.0666,0.0449,0.0270,0.0349,0.1988,0.1008,0.1209,0.2808,-0.3991,-0.5309,-1.3087,0.1857,0.0948,-0.4685,0.1689
25,EPS,0.97,-0.15,-0.40,-0.06,0.64,0.24,1.21,1.32,0.86,0.86,0.69,0.20,0.83,2.13,1.88,4.26,7.31,5.73,4.97,2.06,3.62,4.15,2.24,2.49,4.48,-3.26,-2.53,-6.73,1.34,0.60,-1.84,1.20
26,EPS Diluted,0.97,-0.15,-0.40,-0.06,0.63,0.24,1.18,1.25,0.85,0.86,0.69,0.20,0.83,2.13,1.86,4.22,7.25,5.69,4.95,2.06,3.61,4.13,2.23,2.47,4.46,-3.26,-2.53,-6.73,1.30,0.50,-1.84,1.20
27,Weighted Average Shares Outstanding,509278351,503225806,570000000,583333333,742626000,751554000,762166000,747420000,760768000,796176000,623062000,796416000,619584000,620258000,672533333,711737089,716005472,690000000,709000000,709000000,710000000,710000000,706000000,705000000,680000000,677000000,847000000,850000000,819000000,796000000,789000000,787000000
28,Weighted Average Shares Outstanding Diluted,509278351,503225806,570000000,583333333,749512000,772184000,783632000,788386000,776756000,796804000,623522000,797136000,619902000,620652000,676139410,718483412,721931034,690000000,709000000,711000000,712000000,714000000,710000000,709000000,683000000,677000000,847000000,850000000,847000000,810000000,792000000,788000000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/101778/000095012896000203/0000950128-96-000203-index.html,https://www.sec.gov/Archives/edgar/data/101778/000095013297000130/0000950132-97-000130-index.html,https://www.sec.gov/Archives/edgar/data/101778/000095013298000178/0000950132-98-000178-index.html,https://www.sec.gov/Archives/edgar/data/101778/000095013299000185/0000950132-99-000185-index.html,https://www.sec.gov/Archives/edgar/data/101778/000091205700011287/0000912057-00-011287-index.html,https://www.sec.gov/Archives/edgar/data/101778/000095013201000164/0000950132-01-000164-index.html,https://www.sec.gov/Archives/edgar/data/101778/000089924302000577/0000899243-02-000577-index.html,https://www.sec.gov/Archives/edgar/data/101778/000089924303000495/0000899243-03-000495-index.html,https://www.sec.gov/Archives/edgar/data/101778/000119312504036535/0001193125-04-036535-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000104746905006086/0001047469-05-006086-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000095012906002297/0000950129-06-002297-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000104746907001533/0001047469-07-001533-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000119312508043692/0001193125-08-043692-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000119312509041003/0001193125-09-041003-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000119312510042898/0001193125-10-042898-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/101778/000010177813000006/0000101778-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000010177814000014/0000101778-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000010177815000007/0000101778-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000010177816000047/0000101778-16-000047-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000010177817000046/0000101778-17-000046-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000010177818000026/0000101778-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000010177819000022/0000101778-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000010177820000023/0000101778-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000010177821000018/0000101778-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000010177822000016/0000101778-22-000016-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,28000000,77000000,32000000,36000000,137000000,111000000,340000000,657000000,488000000,1396000000,3369000000,2617000000,2585000000,1199000000,1285000000,2057000000,3951000000,493000000,684000000,264000000,2398000000,1221000000,2490000000,563000000,1462000000,858000000,742000000,580000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,447000000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,28000000,77000000,32000000,36000000,137000000,111000000,340000000,657000000,488000000,1396000000,3369000000,2617000000,2585000000,1199000000,1285000000,2057000000,3951000000,493000000,684000000,264000000,2398000000,1221000000,2490000000,563000000,1462000000,858000000,1189000000,580000000
34,Net Receivables,- -,- -,- -,- -,438000000,552000000,613000000,856000000,1277000000,1866000000,2267000000,1772000000,1854000000,2530000000,3235000000,3534000000,4209000000,5919000000,3150000000,4759000000,6030000000,1952000000,2416000000,2134000000,1729000000,912000000,877000000,1830000000,1079000000,1122000000,747000000,1142000000
35,Inventory,- -,- -,- -,- -,1137000000,1152000000,1282000000,980000000,1310000000,1884000000,1867000000,1851000000,1984000000,1953000000,1995000000,3041000000,3173000000,3277000000,3507000000,3622000000,3453000000,361000000,361000000,364000000,357000000,313000000,227000000,126000000,96000000,72000000,76000000,77000000
36,Other Current Assets,- -,- -,- -,- -,134000000,107000000,119000000,146000000,252000000,241000000,511000000,131000000,153000000,161000000,268000000,191000000,129000000,192000000,461000000,199000000,395000000,418000000,301000000,213000000,109000000,144000000,71000000,47000000,284000000,83000000,-400000000,22000000
37,Total Current Assets,- -,- -,- -,- -,1737000000,1888000000,2046000000,2018000000,2976000000,4102000000,4985000000,4411000000,4479000000,6040000000,8867000000,9383000000,10096000000,10587000000,8403000000,10637000000,13829000000,3224000000,3762000000,2975000000,4593000000,2590000000,3665000000,2566000000,2921000000,2135000000,1612000000,1821000000
38,PP&E,- -,- -,- -,- -,8364000000,7521000000,7298000000,7566000000,10429000000,10293000000,9375000000,9578000000,10390000000,10830000000,11810000000,15011000000,16653000000,24675000000,29414000000,32121000000,32222000000,25324000000,28272000000,28145000000,29040000000,27061000000,25718000000,17665000000,16804000000,17000000000,15638000000,14499000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,274000000,256000000,- -,- -,1398000000,2899000000,1447000000,1422000000,1380000000,536000000,525000000,499000000,459000000,115000000,115000000,115000000,97000000,95000000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119000000,118000000,360000000,1507000000,180000000,288000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,393000000,374000000,360000000,1507000000,1578000000,3187000000,1447000000,1422000000,1380000000,536000000,525000000,499000000,459000000,115000000,115000000,115000000,97000000,95000000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1970000000,1802000000,1383000000,1279000000,1201000000,1113000000,1003000000,931000000,847000000,745000000,663000000,447000000,450000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,850000000,700000000,807000000,981000000,1139000000,1310000000,872000000,2140000000,2550000000,2238000000,2386000000,2597000000,2504000000,4297000000,3422000000,902000000,781000000,904000000,1468000000,2800000000,806000000,1542000000,665000000,819000000,754000000,352000000,259000000,224000000
45,Total Non-Current Assets,- -,- -,- -,- -,9214000000,8221000000,8105000000,8547000000,11568000000,11603000000,10247000000,11718000000,13333000000,13442000000,14556000000,19115000000,20735000000,32159000000,34283000000,36415000000,36185000000,28147000000,31544000000,32645000000,31418000000,29721000000,27429000000,19446000000,18400000000,18110000000,16344000000,15173000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,10951000000,10109000000,10151000000,10565000000,14544000000,15705000000,15232000000,16129000000,17812000000,19482000000,23423000000,28498000000,30831000000,42746000000,42686000000,47052000000,50014000000,31371000000,35306000000,35620000000,36011000000,32311000000,31094000000,22012000000,21321000000,20245000000,17956000000,16994000000
48,Accounts Payable,- -,- -,- -,- -,1129000000,1210000000,1385000000,1348000000,1980000000,2659000000,3021000000,2431000000,2847000000,3352000000,4430000000,5353000000,5586000000,8281000000,4712000000,6982000000,8000000000,1864000000,2285000000,2206000000,2545000000,1313000000,1078000000,1395000000,1320000000,1307000000,837000000,1110000000
49,Short-Term Debt,- -,- -,- -,- -,56000000,384000000,323000000,525000000,191000000,48000000,148000000,215000000,161000000,272000000,16000000,315000000,471000000,1131000000,98000000,96000000,295000000,141000000,384000000,203000000,1068000000,1000000,686000000,- -,- -,- -,686000000,36000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1447000000,2015000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,157000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,527000000,431000000,434000000,389000000,439000000,442000000,843000000,822000000,651000000,583000000,807000000,2486000000,2004000000,1848000000,2943000000,1979000000,2818000000,2389000000,2412000000,1924000000,766000000,415000000,476000000,573000000,512000000,438000000,-310000000,491000000
53,Total Current Liabilities,- -,- -,- -,- -,1712000000,2025000000,2142000000,2262000000,2610000000,3149000000,4012000000,3468000000,3659000000,4207000000,5253000000,8154000000,8061000000,11260000000,7753000000,9057000000,11113000000,4394000000,5081000000,4333000000,4379000000,1729000000,2240000000,1968000000,1832000000,1745000000,1213000000,1637000000
54,Long-Term Debt,- -,- -,- -,- -,3983000000,3367000000,2642000000,2476000000,3456000000,3320000000,1937000000,3432000000,4410000000,4085000000,4057000000,3698000000,3061000000,6084000000,7087000000,8436000000,7601000000,4674000000,6512000000,6394000000,5323000000,7276000000,6589000000,5494000000,5499000000,5501000000,5404000000,3978000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,1270000000,1072000000,1178000000,1318000000,1450000000,1495000000,1354000000,1297000000,1445000000,1489000000,1553000000,2030000000,1897000000,3389000000,3330000000,4104000000,3569000000,2544000000,2432000000,2492000000,2486000000,2441000000,2438000000,833000000,199000000,186000000,163000000,136000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,745000000,773000000,849000000,891000000,1126000000,1188000000,1244000000,1029000000,1245000000,1615000000,1759000000,2476000000,2687000000,2790000000,3107000000,3545000000,3960000000,2600000000,2998000000,3057000000,2803000000,2312000000,2286000000,2009000000,1663000000,660000000,615000000,557000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,5998000000,5212000000,4669000000,4685000000,6032000000,6003000000,4535000000,5758000000,7100000000,7189000000,7369000000,8204000000,7645000000,12263000000,13524000000,16085000000,15130000000,9818000000,11942000000,11943000000,10612000000,12029000000,11313000000,8336000000,7361000000,6347000000,6182000000,4671000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,7710000000,7237000000,6811000000,6947000000,8642000000,9152000000,8547000000,9226000000,10759000000,11396000000,12622000000,16358000000,15706000000,23523000000,21277000000,25142000000,26243000000,14212000000,17023000000,16276000000,14991000000,13758000000,13553000000,10304000000,9193000000,8092000000,7395000000,6308000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,312000000,312000000,312000000,347000000,367000000,368000000,765000000,767000000,769000000,770000000,770000000,770000000,770000000,770000000,770000000,937000000,937000000,937000000,937000000,937000000,937000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1643000000,1874000000,2897000000,3810000000,6406000000,11093000000,14412000000,17259000000,18043000000,19907000000,12788000000,13890000000,15135000000,17638000000,14974000000,12672000000,6779000000,7706000000,7993000000,6466000000,7271000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-7797000000,-8890000000,-9031000000,-9667000000,-10299000000,-10567000000,-9691000000,-10384000000,-11077000000,-11363000000,-12426000000,-151000000,-368000000,-249000000,-593000000,-934000000,-997000000,-370000000,-433000000,-250000000,-277000000,-135000000,-83000000,-62000000,63000000,105000000,73000000,82000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,11038000000,11762000000,12371000000,13285000000,14611000000,15367000000,14536000000,13369000000,13973000000,14229000000,16380000000,5083000000,3514000000,4295000000,3976000000,4032000000,4091000000,3964000000,4056000000,3689000000,2889000000,2944000000,4015000000,4054000000,3422000000,3118000000,3085000000,2396000000
67,Total Stockholders Equity,- -,- -,- -,- -,3241000000,2872000000,3340000000,3618000000,4312000000,4800000000,4845000000,4940000000,5082000000,6075000000,8111000000,11705000000,14607000000,19223000000,21409000000,21910000000,23771000000,17152000000,18283000000,19344000000,21020000000,18553000000,17541000000,11708000000,12128000000,12153000000,10561000000,10686000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,10951000000,10109000000,10151000000,10565000000,12954000000,13952000000,13392000000,14166000000,15841000000,17471000000,20733000000,28063000000,30313000000,42746000000,42686000000,47052000000,50014000000,31364000000,35306000000,35620000000,36011000000,32311000000,31094000000,22012000000,21321000000,20245000000,17956000000,16994000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,1590000000,1753000000,1840000000,1963000000,1971000000,2011000000,2690000000,435000000,518000000,- -,- -,- -,- -,7000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,10951000000,10109000000,10151000000,10565000000,14544000000,15705000000,15232000000,16129000000,17812000000,19482000000,23423000000,28498000000,30831000000,42746000000,42686000000,47052000000,50014000000,31371000000,35306000000,35620000000,36011000000,32311000000,31094000000,22012000000,21321000000,20245000000,17956000000,16994000000
71,SEC Link,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/101778/000095012896000203/0000950128-96-000203-index.html,https://www.sec.gov/Archives/edgar/data/101778/000095013297000130/0000950132-97-000130-index.html,https://www.sec.gov/Archives/edgar/data/101778/000095013298000178/0000950132-98-000178-index.html,https://www.sec.gov/Archives/edgar/data/101778/000095013299000185/0000950132-99-000185-index.html,https://www.sec.gov/Archives/edgar/data/101778/000091205700011287/0000912057-00-011287-index.html,https://www.sec.gov/Archives/edgar/data/101778/000095013201000164/0000950132-01-000164-index.html,https://www.sec.gov/Archives/edgar/data/101778/000089924302000577/0000899243-02-000577-index.html,https://www.sec.gov/Archives/edgar/data/101778/000089924303000495/0000899243-03-000495-index.html,https://www.sec.gov/Archives/edgar/data/101778/000119312504036535/0001193125-04-036535-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000104746905006086/0001047469-05-006086-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000095012906002297/0000950129-06-002297-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000104746907001533/0001047469-07-001533-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000119312508043692/0001193125-08-043692-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000119312509041003/0001193125-09-041003-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000119312510042898/0001193125-10-042898-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/101778/000010177813000006/0000101778-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000010177814000014/0000101778-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000010177815000007/0000101778-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000010177816000047/0000101778-16-000047-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000010177817000046/0000101778-17-000046-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000010177818000026/0000101778-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000010177819000022/0000101778-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000010177820000023/0000101778-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000010177821000018/0000101778-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000010177822000016/0000101778-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,508000000,-71000000,-222000000,-29000000,321000000,-88000000,664000000,456000000,310000000,654000000,432000000,157000000,516000000,1321000000,1261000000,3032000000,5234000000,3956000000,3528000000,1463000000,2568000000,2946000000,1582000000,1753000000,3046000000,-2204000000,-2140000000,-5723000000,1096000000,480000000,-1451000000,946000000
74,Depreciation and Amortization,1026000000,875000000,793000000,727000000,721000000,817000000,693000000,664000000,941000000,950000000,1245000000,1236000000,1201000000,1175000000,1217000000,1358000000,1518000000,1613000000,2178000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2316000000,- -
75,Deferred Income Tax,- -,2000000,2000000,-116000000,116000000,-88000000,104000000,30000000,26000000,105000000,-240000000,-217000000,96000000,71000000,-73000000,-208000000,268000000,-347000000,93000000,1072000000,-600000000,-182000000,-210000000,-60000000,88000000,-806000000,811000000,-61000000,52000000,-34000000,-22000000,-27000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000000,50000000,53000000,60000000,57000000,40000000
77,Change in Working Capital,- -,- -,- -,- -,25000000,-162000000,41000000,-148000000,610000000,587000000,20000000,-30000000,-123000000,1013000000,1781000000,-2385000000,806000000,-2708000000,1323000000,930000000,1136000000,-3886000000,-149000000,-39000000,1572000000,647000000,564000000,-827000000,491000000,-699000000,9000000,25000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,-158000000,8000000,44000000,3000000,-27000000,72000000,18000000,-13000000,-63000000,17000000,-66000000,-51000000,33000000,-41000000,-150000000,-133000000,-90000000,-274000000,-126000000,-171000000,33000000,-34000000,-16000000,-11000000,36000000,75000000,10000000,-1000000,3000000,-4000000,-1000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,25000000,-137000000,-96000000,-244000000,366000000,953000000,973000000,943000000,820000000,1833000000,3614000000,1229000000,2035000000,-673000000,650000000,1580000000,2716000000,-1170000000,-1319000000,-1358000000,214000000,861000000,1425000000,598000000,1089000000,390000000,399000000,46000000
