,https://roic.ai/company/ROLL,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-26951000,-23457000,-20541000,-20396000,-26264000,-19479000,-7852000,-2950000,-3570000,-1670000,-3293000,-1669000,2099000,-850000,-3875000,-9056000,-8809000,-8290000,-5945000,-2646000,-1399000
20,Income Before Tax,5420000,3721000,162000,1733000,5875000,19100000,44067000,59900000,51400000,33000000,52900000,75979000,80200000,87800000,84555000,94785000,104884000,119851000,126090000,154139000,110059000
21,Income Before Tax Ratio,0.0307,0.0221,0.0009,0.0093,0.0242,0.0696,0.1440,0.1812,0.1445,0.1201,0.1576,0.1911,0.1990,0.2096,0.1899,0.1586,0.1704,0.1776,0.1795,0.2119,0.1807
22,Income Tax expense (Gain),- -,- -,-113000,1070000,-1385000,6634000,15588000,19685000,16947000,8625000,18009000,25982000,25982000,27545000,26307000,30891000,34261000,32710000,20897000,27968000,20426000
23,Net Income,3615000,1669000,49000,663000,7260000,12400000,28479000,40200000,34500000,24400000,34900000,49997000,56300000,60200000,58248000,63894000,70623000,87141000,105193000,126036000,89633000
24,Net Income ratio,0.0205,0.0099,0.0003,0.0035,0.0299,0.0452,0.0930,0.1216,0.0970,0.0888,0.1040,0.1258,0.1397,0.1437,0.1308,0.1069,0.1148,0.1291,0.1497,0.1733,0.1472
25,EPS,1.04,0.27,-0.20,-0.24,1.64,0.84,1.38,1.87,1.60,1.13,1.61,2.28,2.52,2.63,2.52,2.75,3.00,3.64,4.32,5.12,3.61
26,EPS Diluted,0.48,0.19,-0.20,-0.24,1.64,0.76,1.33,1.84,1.58,1.12,1.58,2.23,2.47,2.59,2.49,2.72,2.97,3.58,4.26,5.06,3.58
27,Weighted Average Shares Outstanding,2788107,6188903,6188903,6188653,6202615,12931185,20579498,21457846,21570979,21590421,21678626,21880554,22401068,22874842,23073940,23208686,23521615,23948565,24357684,24632637,24851344
28,Weighted Average Shares Outstanding Diluted,6045762,8891645,6188903,6188653,10854584,14452264,21335307,21802711,21738812,21747082,22078711,22390914,22810793,23244241,23385061,23508418,23784636,24363789,24716213,24922631,25048451
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1324948/000110465906042169/a06-13563_210k.htm,https://www.sec.gov/Archives/edgar/data/1324948/000110465907047151/0001104659-07-047151-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000114420408032396/0001144204-08-032396-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000114420409029585/0001144204-09-029585-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000114420410031382/0001144204-10-031382-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000114420411032825/0001144204-11-032825-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000114420412032479/v308824_10k.htm,https://www.sec.gov/Archives/edgar/data/1324948/000114420413032047/0001144204-13-032047-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000114420414033924/0001144204-14-033924-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000114420415033694/0001144204-15-033694-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000114420416105151/0001144204-16-105151-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000114420417030325/0001144204-17-030325-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000161577418004515/0001615774-18-004515-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000161577419008334/0001615774-19-008334-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000121390020013096/0001213900-20-013096-index.htm,https://www.sec.gov/Archives/edgar/data/1324948/000121390021028445/0001213900-21-028445-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4071000,7185000,3553000,3250000,2635000,16100000,5184000,9900000,30600000,21400000,64000000,68621000,114500000,121200000,125455000,39208000,38923000,54163000,29884000,103255000,151086000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,7200000,3900000,- -,1300000,2400000,- -,- -,- -,- -,- -,- -,90249000
33,Cash and Short-Term Investments,4071000,7185000,3553000,3250000,2635000,16100000,5184000,9900000,30600000,28600000,67900000,68621000,115800000,123600000,125455000,39208000,38923000,54163000,29884000,103255000,241335000
34,Net Receivables,- -,- -,- -,44516000,53967000,50900000,54636000,66100000,63700000,54000000,60100000,72560000,68900000,75600000,76651000,102351000,109700000,116890000,130735000,131599000,110472000
35,Inventory,- -,- -,- -,90504000,95654000,103100000,103022000,123800000,134300000,136400000,144200000,158805000,174600000,198000000,206158000,280537000,289594000,306124000,335001000,367494000,364147000
36,Other Current Assets,- -,- -,- -,4796000,6735000,8000000,10029000,15600000,15500000,15500000,13100000,14312000,14200000,20300000,17120000,6861000,9743000,6473000,7661000,9658000,12248000
37,Total Current Assets,- -,- -,- -,143066000,158991000,178100000,172871000,215400000,244100000,234500000,285300000,314298000,373500000,417500000,425384000,428957000,447960000,483650000,503281000,612006000,728202000
38,PP&E,- -,- -,- -,56249000,55343000,58000000,61209000,73200000,87700000,89500000,88400000,93373000,116100000,137200000,141649000,184744000,183625000,192513000,207895000,248799000,243928000
39,Goodwill,- -,- -,- -,25150000,- -,25200000,29631000,31800000,33000000,34700000,34700000,34713000,34700000,43500000,43439000,267259000,268042000,268124000,261431000,277776000,277536000
40,Intangible Assets,- -,- -,- -,2853000,28483000,4000000,7000000,11400000,12700000,12700000,12100000,11380000,11200000,14600000,12028000,207252000,196801000,183764000,155641000,162747000,154399000
41,Intangible Assets,- -,- -,- -,28003000,28483000,29200000,36631000,43200000,45700000,47400000,46800000,46093000,45900000,58100000,55467000,474511000,464843000,451888000,417072000,440523000,431935000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,6100000,6300000,5900000,6600000,- -,4200000,9800000,10126000,3208000,12036000,- -,6862000,16560000,- -
44,Other Non-Current Assets,- -,- -,- -,7428000,7352000,10600000,3002000,-800000,-1700000,-1300000,-1100000,5754000,2700000,-1600000,-553000,7090000,383000,14700000,12257000,4024000,30195000
45,Total Non-Current Assets,- -,- -,- -,91680000,91178000,97800000,100842000,121700000,138000000,141500000,140700000,145220000,168900000,203500000,206689000,669553000,660887000,659101000,644086000,709906000,706058000
46,Other Assets,209372000,219376000,232356000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,209372000,219376000,232356000,234746000,250169000,275900000,273713000,337100000,382100000,376000000,426000000,459518000,542400000,621000000,632073000,1098510000,1108847000,1142751000,1147367000,1321912000,1434260000
48,Accounts Payable,- -,- -,- -,13618000,19243000,19400000,21299000,24900000,20500000,18900000,24200000,24720000,25300000,24300000,23459000,35597000,34392000,45188000,49592000,51038000,36336000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,919000,- -,- -,- -,- -,1041000,- -,- -,- -,- -,- -,19238000,- -,- -,8338000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5892000,5250000,5514000,14297000,13775000,- -,13479000,- -,2896000
51,Deferred Revenue,- -,- -,- -,- -,- -,5412000,- -,5567000,6677000,6249000,9145000,- -,9864000,12611000,12492000,7723000,17974000,13613000,10121000,16560000,16998000
52,Other Current Liabilities,- -,- -,- -,23898000,19092000,6688000,11683000,8633000,11023000,6651000,36255000,18103000,11436000,5889000,6067000,44997000,40772000,27164000,30416000,36157000,26566000
53,Total Current Liabilities,- -,- -,- -,37516000,38335000,31500000,33901000,39100000,38200000,31800000,69600000,43864000,46600000,42800000,42018000,88317000,93138000,105203000,90129000,103755000,88238000
54,Long-Term Debt,- -,- -,- -,204803000,211834000,162700000,58655000,57000000,67000000,37000000,800000,- -,9100000,9200000,7965000,353210000,255586000,154117000,43179000,16583000,43477000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,587000,- -,3754000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,6479000,- -,- -,- -,6591000,18058000,4236000,9779000,10126000,3208000,12036000,31925000,6862000,16560000,35836000
57,Other Non-Current Liabilities,- -,- -,- -,8712000,7759000,8400000,6507000,17100000,20900000,23600000,18909000,11781000,20264000,20721000,22531000,32828000,31043000,16954000,38044000,67015000,33004000
58,Total Non-Current Liabilities,- -,- -,- -,213515000,219593000,171100000,71641000,74100000,87900000,60600000,26300000,29839000,33600000,39700000,40622000,389246000,298665000,202996000,88672000,100158000,116071000
59,Other Liabilities,247506000,256943000,250005000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,426000,205000,170000,456000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29104000,35708000
61,Total Liabilities,247506000,256943000,250005000,251031000,257928000,202600000,105542000,113200000,126100000,92400000,95900000,73703000,80200000,82500000,82640000,477563000,391803000,308199000,178801000,203913000,204309000
62,Preferred Stock,- -,- -,- -,2000,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,62000,62000,200000,214000,200000,200000,200000,200000,223000,200000,200000,238000,241000,248000,251000,256000,259000,261000
64,Retained Earnings,- -,- -,- -,-46454000,-39194000,-26800000,1724000,41700000,76100000,100500000,135400000,185392000,241700000,301900000,314176000,378070000,448693000,536978000,641894000,769219000,858852000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-76670000,-3000000,-2000000,1000000,-3000000,-2000000,2000000,1000000,-3000000,2000000,-8000000,-7000000,-10000000,-2000000,-7000000,-7000000,-10409000
66,Other Total Stockholders Equity,- -,- -,- -,30105000,108041000,102940000,168233000,181010000,182711000,184847000,192467000,199200000,223295000,234352000,243019000,249636000,278103000,299323000,333416000,355521000,381247000
67,Total Stockholders Equity,-38134000,-37567000,-17649000,-16285000,-7759000,73340000,168171000,223910000,256011000,283547000,330067000,385815000,462195000,538452000,549433000,620947000,717044000,834552000,968566000,1117999000,1229951000
68,Total Liabilities And Stockholders Equity,209372000,219376000,232356000,234746000,250169000,275940000,273713000,337110000,382111000,375947000,425967000,459518000,542395000,620952000,632073000,1098510000,1108847000,1142751000,1147367000,1321912000,1434260000
69,Minority Interest,- -,- -,- -,- -,- -,-40000,- -,-10000,-11000,53000,33000,- -,5000,48000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,209372000,219376000,232356000,234746000,250169000,275900000,273713000,337100000,382100000,376000000,426000000,459518000,542400000,621000000,632073000,1098510000,1108847000,1142751000,1147367000,1321912000,1434260000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1324948/000110465906042169/a06-13563_210k.htm,https://www.sec.gov/Archives/edgar/data/1324948/000110465907047151/0001104659-07-047151-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000114420408032396/0001144204-08-032396-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000114420409029585/0001144204-09-029585-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000114420410031382/0001144204-10-031382-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000114420411032825/0001144204-11-032825-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000114420412032479/v308824_10k.htm,https://www.sec.gov/Archives/edgar/data/1324948/000114420413032047/0001144204-13-032047-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000114420414033924/0001144204-14-033924-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000114420415033694/0001144204-15-033694-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000114420416105151/0001144204-16-105151-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000114420417030325/0001144204-17-030325-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000161577418004515/0001615774-18-004515-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000161577419008334/0001615774-19-008334-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000121390020013096/0001213900-20-013096-index.htm,https://www.sec.gov/Archives/edgar/data/1324948/000121390021028445/0001213900-21-028445-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,663000,7260000,12400000,28479000,40200000,34500000,24400000,34900000,49997000,56300000,60200000,58248000,63894000,70623000,87141000,105193000,126036000,89633000
74,Depreciation and Amortization,- -,- -,- -,9182000,10318000,10525000,9999000,10694000,12160000,11830000,12971000,14190000,14719000,14987000,15045000,25807000,27372000,28360000,29658000,31420000,32744000
75,Deferred Income Tax,- -,- -,- -,2219000,-3113000,3956000,9282000,1110000,123000,1082000,-1146000,-119000,-906000,364000,1044000,-336000,8323000,-702000,-4904000,6502000,1509000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,2502000,3182000,4057000,4121000,5288000,5833000,8339000,10200000,12111000,13403000,16087000,20150000,21299000
77,Change in Working Capital,- -,- -,- -,-6336000,15106000,25944000,-7630000,37330000,29600000,-3200000,13000000,54734000,56466000,47800000,8666000,-42726000,14182000,23625000,34705000,95099000,131713000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,1487000,9570000,-5128000,-12373000,3006000,-5990000,-2005000,-619000,-7294000,-5934000,-17307000,3305000,18969000
79,Inventory,- -,- -,- -,44000,-4725000,-8025000,2489000,-11737000,-11056000,-612000,-6279000,-14293000,-15527000,-17024000,-13504000,-25460000,-9057000,-14490000,-37841000,-25371000,905000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-3959000,-2131000,4976000,413000,607000,-2986000,-534000,-2756000,-1397000,10494000,5881000,837000,-14836000
81,Other Working Capital,- -,- -,- -,105550000,120656000,146600000,138970000,176300000,205900000,202700000,215700000,270434000,326900000,374700000,383366000,340640000,354822000,378447000,413152000,508251000,639964000
82,Other Non-Cash Items,- -,- -,- -,1816000,-19703000,-28183000,15605000,-62257000,-34144000,3859000,-13826000,-77894000,-65605000,-81209000,-19552000,26521000,-31369000,-21538000,-72192000,-123586000,-124445000
83,Cash Provided by Operating Activities,- -,- -,- -,7544000,9868000,24642000,55735000,27077000,44741000,41153000,49956000,45029000,66262000,47975000,71790000,83360000,101242000,130289000,108547000,155621000,152453000
84,CAPEX,- -,- -,- -,-4951000,-9526000,-10341000,-16174000,-17758000,-27583000,-9906000,-10440000,-17841000,-42017000,-28920000,-20897000,-20864000,-20894000,-27976000,-41346000,-37297000,-11772000
85,Acquisitions Net,- -,- -,- -,-5944000,-755000,-2682000,-8753000,-13896000,-6325000,-1943000,- -,- -,-2628000,-17568000,- -,-500000000,-651000,- -,22284000,-33842000,245000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7219000,-1845000,- -,-1791000,-729000,- -,- -,- -,- -,- -,- -,-100075000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5043000,3883000,493000,- -,2380000,- -,- -,- -,- -,- -,10020000
88,Other Investing Activites,- -,- -,- -,101000,274000,44000,3574000,43000,568000,15000,2397000,297000,763000,100000,608000,726000,188000,87000,1920000,8354000,58000
89,Cash Used for Investing Activites,- -,- -,- -,-10794000,-10007000,-12979000,-21353000,-31611000,-33340000,-19053000,-4845000,-13661000,-45180000,-47117000,-17909000,-520138000,-21357000,-27889000,-17142000,-62785000,-101524000
90,Debt Repayment,- -,- -,- -,-7914000,- -,- -,- -,- -,-15500000,-30473000,-1671000,-255000,-538000,-505000,-500000,-64729000,-94969000,-98225000,-279721000,-46298000,-7894000
91,Common Stock Issued,- -,- -,- -,- -,35000,92626000,60914000,4038000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-34630000,-1050000,-3697000,-569000,-862000,-550000,-629000,-4252000,-1788000,-7060000,-10492000,-4754000,-4992000,-5232000,-12209000,-6845000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46014000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,10798000,-372000,-56085000,-105337000,8251000,25991000,-53000,-3154000,-26502000,33443000,6077000,7497000,425010000,20950000,13274000,171669000,38140000,11376000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,2884000,-337000,1911000,-45473000,8592000,9922000,-31388000,-5375000,-27386000,28653000,3784000,-46077000,349789000,-78773000,-89943000,-113284000,-20367000,-3363000
96,Effect of Forex Changes on Cash,- -,- -,- -,63000,-139000,-83000,149000,617000,-625000,120000,2850000,664000,-3876000,2085000,-3556000,742000,-1397000,2783000,-2400000,902000,265000
97,Net Change In Cash,- -,- -,- -,-303000,-615000,13491000,-10942000,4675000,20698000,-9168000,42586000,4646000,45859000,6727000,4248000,-86247000,-285000,15240000,-24279000,73371000,47831000
98,Cash at the End of Period,- -,- -,- -,3250000,2635000,16126000,5184000,9859000,30557000,21389000,63975000,68621000,114480000,121207000,125455000,39208000,38923000,54163000,29884000,103255000,151086000
99,Cash at the Beginning of Period,- -,- -,- -,3553000,3250000,2635000,16126000,5184000,9859000,30557000,21389000,63975000,68621000,114480000,121207000,125455000,39208000,38923000,54163000,29884000,103255000
100,Free Cash Flow,- -,- -,- -,2593000,342000,14301000,39561000,9319000,17158000,31247000,39516000,27188000,24245000,19055000,50893000,62496000,80348000,102313000,67201000,118324000,140681000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1324948/000110465906042169/a06-13563_210k.htm,https://www.sec.gov/Archives/edgar/data/1324948/000110465907047151/0001104659-07-047151-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000114420408032396/0001144204-08-032396-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000114420409029585/0001144204-09-029585-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000114420410031382/0001144204-10-031382-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000114420411032825/0001144204-11-032825-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000114420412032479/v308824_10k.htm,https://www.sec.gov/Archives/edgar/data/1324948/000114420413032047/0001144204-13-032047-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000114420414033924/0001144204-14-033924-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000114420415033694/0001144204-15-033694-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000114420416105151/0001144204-16-105151-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000114420417030325/0001144204-17-030325-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000161577418004515/0001615774-18-004515-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000161577419008334/0001615774-19-008334-index.html,https://www.sec.gov/Archives/edgar/data/1324948/000121390020013096/0001213900-20-013096-index.htm,https://www.sec.gov/Archives/edgar/data/1324948/000121390021028445/0001213900-21-028445-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
