,https://roic.ai/company/ALG,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-900000,-100000,-800000,-1200000,-1500000,-1531000,-1954000,-1084000,-1611000,-2750000,-1658000,-1015000,-2116000,-1661000,-6057000,-5802000,-4119000,-3428000,-1841000,-1328000,-1903000,651000,-2059000,339000,-5431000,-6371000,-6557000,-10313000,-15028000,-7440000
20,Income Before Tax,10000000,12200000,14300000,17800000,13800000,20595000,6535000,9696000,15890000,16606000,9774000,12972000,20582000,16739000,16975000,18035000,17226000,28619000,29032000,47257000,43446000,51388000,60605000,66867000,62189000,82367000,94531000,84335000,78137000,109498000
21,Income Before Tax Ratio,0.1280,0.1379,0.1196,0.1086,0.0752,0.1014,0.0326,0.0549,0.0736,0.0675,0.0377,0.0465,0.0602,0.0455,0.0372,0.0358,0.0309,0.0641,0.0553,0.0783,0.0691,0.0759,0.0722,0.0760,0.0736,0.0903,0.0937,0.0754,0.0672,0.0821
22,Income Tax expense (Gain),3700000,4400000,5100000,6200000,5000000,6995000,2420000,3594000,5120000,5794000,3392000,4934000,7186000,5448000,5487000,5670000,6227000,11528000,7915000,15187000,14543000,15294000,19454000,23658000,22144000,38052000,21045000,21429000,21507000,29253000
23,Net Income,6300000,7800000,9200000,11600000,8800000,13600000,4115000,6102000,10770000,10812000,6382000,8038000,13396000,11291000,11488000,12365000,10999000,17091000,21117000,32070000,28903000,36094000,41151000,43209000,40045000,44315000,73486000,62906000,56630000,80245000
24,Net Income ratio,0.0807,0.0881,0.0769,0.0708,0.0479,0.0670,0.0205,0.0346,0.0499,0.0439,0.0246,0.0288,0.0392,0.0307,0.0252,0.0245,0.0197,0.0383,0.0403,0.0531,0.0460,0.0533,0.0490,0.0491,0.0474,0.0486,0.0728,0.0562,0.0487,0.0601
25,EPS,1.07,1.09,1.21,1.36,0.91,1.42,0.42,0.63,1.11,1.11,0.66,0.83,1.38,1.16,1.18,1.26,1.12,1.65,1.79,2.71,2.43,3.00,3.47,3.81,3.50,3.84,6.30,5.36,4.81,6.81
26,EPS Diluted,1.07,1.08,1.21,1.35,0.91,1.41,0.42,0.63,1.11,1.11,0.65,0.82,1.36,1.14,1.16,1.24,1.11,1.65,1.78,2.68,2.40,2.96,3.42,3.76,3.46,3.79,6.25,5.33,4.78,6.77
27,Weighted Average Shares Outstanding,5887850,7155963,7603306,8529412,9664000,9602000,9714000,9722000,9698000,9706000,9713000,9721000,9731000,9746000,9756000,9781000,9847000,10330000,11782000,11848000,11899000,12050000,11875000,11349000,11434000,11549000,11660000,11729000,11782000,11782000
28,Weighted Average Shares Outstanding Diluted,5887850,7222222,7603306,8592593,9664000,9674000,9730000,9726000,9759000,9787000,9789000,9789000,9864000,9908000,9925000,9953000,9950000,10363000,11893000,11966000,12058000,12212000,12039000,11482000,11565000,11682000,11761000,11800000,11845000,11845000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/897077/000100329703000058/alamok1.htm,https://www.sec.gov/Archives/edgar/data/897077/000100329704000130/alamo10k1.htm,https://www.sec.gov/Archives/edgar/data/897077/000100329705000049/alamo10k1.htm,https://www.sec.gov/Archives/edgar/data/897077/000100329706000101/0001003297-06-000101-index.html,https://www.sec.gov/Archives/edgar/data/897077/000100329707000072/alamo10k1.htm,https://www.sec.gov/Archives/edgar/data/897077/000100329708000054/esalamo10k.htm,https://www.sec.gov/Archives/edgar/data/897077/000100329709000068/0001003297-09-000068-index.html,https://www.sec.gov/Archives/edgar/data/897077/000100329710000062/0001003297-10-000062-index.html,https://www.sec.gov/Archives/edgar/data/897077/000100329711000103/esalamo10k.htm,https://www.sec.gov/Archives/edgar/data/897077/000089707712000004/0000897077-12-000004-index.html,https://www.sec.gov/Archives/edgar/data/897077/000089707713000009/0000897077-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/897077/000089707714000007/a201310k-body.htm,https://www.sec.gov/Archives/edgar/data/897077/000089707715000011/a201410k-body.htm,https://www.sec.gov/Archives/edgar/data/897077/000089707716000097/0000897077-16-000097-index.html,https://www.sec.gov/Archives/edgar/data/897077/000089707717000019/0000897077-17-000019-index.html,https://www.sec.gov/Archives/edgar/data/897077/000089707718000010/0000897077-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1607679/000149315219001141/0001493152-19-001141-index.html,https://www.sec.gov/Archives/edgar/data/897077/000089707720000011/0000897077-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/897077/000089707721000007/0000897077-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/897077/000089707722000007/0000897077-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,700000,800000,1900000,1800000,2200000,789000,2748000,5359000,2929000,4186000,5583000,3281000,2580000,7073000,2169000,4459000,4532000,17774000,30243000,10288000,48291000,63960000,39533000,26922000,16793000,25373000,34043000,42311000,50195000,42115000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,700000,800000,1900000,1800000,2200000,789000,2748000,5359000,2929000,4186000,5583000,3281000,2580000,7073000,2169000,4459000,4532000,17774000,30243000,10288000,48291000,63960000,39533000,26922000,16793000,25373000,34043000,42311000,50195000,42115000
34,Net Receivables,13600000,21800000,24700000,45500000,43900000,42165000,49834000,41764000,50359000,57768000,59720000,64263000,82337000,85368000,97825000,109260000,124197000,112940000,127836000,144871000,140268000,153019000,178554000,179796000,170340000,206250000,236843000,250744000,215462000,239636000
35,Inventory,16500000,27300000,34900000,58600000,60200000,65752000,64578000,45570000,59608000,64044000,63512000,63579000,72757000,77013000,116175000,118285000,132248000,124322000,99304000,114305000,108758000,109104000,166088000,150758000,135760000,155568000,176630000,267674000,229971000,320917000
36,Other Current Assets,1000000,1700000,3100000,3500000,3600000,4440000,6154000,5201000,6518000,6080000,5875000,4551000,4561000,4627000,4602000,4965000,5048000,6697000,7677000,6659000,9483000,10870000,9127000,5410000,4725000,5336000,5327000,10099000,7382000,9500000
37,Total Current Assets,31800000,51600000,64600000,109400000,109900000,113146000,123314000,97894000,119414000,132078000,134690000,135674000,162235000,174081000,220771000,236969000,266025000,261733000,265060000,276123000,306800000,336953000,393302000,362886000,327618000,392527000,452843000,570828000,503010000,612168000
38,PP&E,11800000,16000000,19400000,23500000,22400000,22477000,22904000,21818000,28108000,28818000,75160000,82218000,94489000,95318000,111159000,124665000,125952000,142076000,139674000,147576000,146454000,158376000,171667000,178044000,180041000,105157000,219135000,302113000,197700000,185005000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42336000,43946000,48107000,35207000,34073000,31751000,31648000,32073000,72407000,75509000,74825000,84761000,83243000,198022000,195132000,202406000
40,Intangible Assets,- -,5800000,12600000,13200000,14200000,12632000,11411000,9937000,21833000,18470000,19873000,21677000,23067000,26416000,4185000,4081000,3982000,5803000,5500000,5500000,5500000,5500000,56984000,52950000,50038000,52872000,48857000,206272000,193172000,183466000
41,Intangible Assets,- -,5800000,12600000,13200000,14200000,12632000,11411000,9937000,21833000,18470000,19873000,21677000,23067000,26416000,46521000,48027000,52089000,41010000,39573000,37251000,37148000,37573000,129391000,128459000,124863000,137633000,132100000,404294000,388304000,385872000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2463000,4158000,4311000,4921000,2593000,457000,642000,1475000,619000,992000,1783000,1078000,1203000,1110000
44,Other Non-Current Assets,2300000,1700000,2600000,5500000,7400000,7869000,4009000,3146000,4053000,6555000,-38501000,-45345000,-48061000,-49599000,-51817000,-59031000,-62175000,-71014000,-77635000,-84936000,-88656000,-94883000,-65400000,-67361000,-80365000,3362000,-84228000,-65550000,19112000,21587000
45,Total Non-Current Assets,14100000,23500000,34600000,42200000,44000000,42978000,38324000,34901000,53994000,53843000,56532000,58550000,69495000,72135000,105863000,113661000,118329000,116230000,105923000,104812000,97539000,101523000,236300000,240617000,225158000,247144000,268790000,641935000,606319000,593574000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,45900000,75100000,99200000,151600000,153900000,156124000,161638000,132795000,173408000,185921000,191222000,194224000,231730000,246216000,326634000,350630000,384354000,377963000,370983000,380935000,404339000,438476000,629602000,603503000,552776000,639671000,721633000,1212763000,1109329000,1205742000
48,Accounts Payable,3300000,5500000,9600000,13100000,11100000,12787000,9461000,8514000,15708000,12860000,15216000,18098000,26773000,26518000,34019000,39248000,54598000,36046000,45152000,40782000,41641000,45593000,47741000,45486000,43136000,55825000,54083000,81986000,75317000,101396000
49,Short-Term Debt,9300000,14000000,8400000,1300000,1000000,727000,487000,526000,1484000,3013000,2583000,1615000,2961000,2997000,3339000,3368000,4186000,5453000,2319000,1190000,588000,420000,551000,77000,73000,82000,119000,18840000,15066000,19687000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2688000,1567000,2362000,8967000,6343000,52000,3500000,4617000,5907000,9486000,7492000,8185000,4515000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2520000,2430000,1385000,6383000
52,Other Current Liabilities,2800000,4000000,5400000,7600000,7700000,6362000,7474000,9000000,9879000,9487000,12759000,14993000,19318000,19415000,22445000,24962000,26900000,37865000,31718000,33721000,35899000,34608000,41075000,39461000,35491000,45456000,44130000,59618000,65527000,65098000
53,Total Current Liabilities,15400000,23500000,23400000,22000000,19800000,19876000,17422000,18040000,27071000,25360000,30558000,34706000,49052000,48930000,59803000,67578000,85684000,79364000,79189000,75693000,78128000,80621000,89367000,85024000,78700000,101363000,100852000,162874000,157295000,192564000
54,Long-Term Debt,9200000,8900000,24500000,37300000,35300000,28617000,35858000,5469000,30355000,36315000,27833000,14379000,18428000,30912000,78526000,78527000,99884000,44336000,23106000,8621000,118000,8000,190024000,144006000,70017000,60000000,85179000,425141000,270320000,254522000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1000000,1000000,1100000,1400000,1600000,1366000,1452000,1256000,1443000,2433000,2353000,1072000,3418000,2898000,-313000,687000,653000,7581000,6168000,4852000,2290000,1350000,1171000,3723000,6444000,8368000,11731000,26461000,19642000,21458000
57,Other Non-Current Liabilities,- -,- -,- -,100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,6884000,5140000,13821000,11305000,9260000,15111000,13517000,6032000,11370000,10281000,9898000,20832000,16500000,28530000,36429000,31535000
58,Total Non-Current Liabilities,10200000,9900000,25600000,38800000,36800000,29983000,37310000,6725000,31798000,38748000,30186000,15451000,21846000,33810000,85097000,84354000,114358000,63222000,38534000,28584000,15925000,7390000,202565000,158010000,86359000,89200000,113410000,480132000,326391000,307515000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4655000
61,Total Liabilities,25600000,33400000,49000000,60800000,56600000,49859000,54732000,24765000,58869000,64108000,60744000,50157000,70898000,82740000,144900000,151932000,200042000,142586000,117723000,104277000,94053000,88011000,291932000,243034000,165059000,190563000,214262000,643006000,483686000,500079000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,968000,973000,974000,974000,975000,976000,977000,978000,979000,980000,984000,996000,1179000,1187000,1190000,1203000,1211000,1130000,1139000,1146000,1158000,1166000,1175000,1181000,1187000
64,Retained Earnings,20000000,25500000,32000000,40100000,45100000,54835000,54775000,57568000,66010000,74493000,78544000,84249000,95309000,104261000,113407000,123426000,132064000,146756000,166589000,195814000,222480000,255203000,259476000,299057000,334988000,374678000,443040000,500320000,550826000,633804000
65,Other Comprehensive Income/Loss,-13600000,-15800000,-19200000,-22600000,-26500000,-29216000,-32989000,-32343000,-38197000,-37961000,39000,7828000,13394000,6926000,15373000,21104000,-4005000,5147000,1533000,-5624000,-1631000,3038000,-16359000,-36079000,-47756000,-30166000,-44831000,-40838000,-40326000,-48990000
66,Other Total Stockholders Equity,13900000,32000000,37400000,73300000,78700000,79678000,84147000,81831000,85752000,84306000,50919000,51013000,51151000,51310000,51974000,53184000,55257000,82295000,83951000,85278000,88234000,91013000,93423000,96352000,99339000,103438000,107996000,109100000,113962000,- -
67,Total Stockholders Equity,20300000,41700000,50200000,90800000,97300000,106265000,106906000,108030000,114539000,121813000,130478000,144067000,160832000,163476000,181734000,198698000,184312000,235377000,253260000,276658000,310286000,350465000,337670000,360469000,387717000,449108000,507371000,569757000,625643000,705663000
68,Total Liabilities And Stockholders Equity,45900000,75100000,99200000,151600000,153900000,156124000,161638000,132795000,173408000,185921000,191222000,194224000,231730000,246216000,326634000,350630000,384354000,377963000,370983000,380935000,404339000,438476000,629602000,603503000,552776000,639671000,721633000,1212763000,1109329000,1205742000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,45900000,75100000,99200000,151600000,153900000,156124000,161638000,132795000,173408000,185921000,191222000,194224000,231730000,246216000,326634000,350630000,384354000,377963000,370983000,380935000,404339000,438476000,629602000,603503000,552776000,639671000,721633000,1212763000,1109329000,1205742000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/897077/000100329703000058/alamok1.htm,https://www.sec.gov/Archives/edgar/data/897077/000100329704000130/alamo10k1.htm,https://www.sec.gov/Archives/edgar/data/897077/000100329705000049/alamo10k1.htm,https://www.sec.gov/Archives/edgar/data/897077/000100329706000101/0001003297-06-000101-index.html,https://www.sec.gov/Archives/edgar/data/897077/000100329707000072/alamo10k1.htm,https://www.sec.gov/Archives/edgar/data/897077/000100329708000054/esalamo10k.htm,https://www.sec.gov/Archives/edgar/data/897077/000100329709000068/0001003297-09-000068-index.html,https://www.sec.gov/Archives/edgar/data/897077/000100329710000062/0001003297-10-000062-index.html,https://www.sec.gov/Archives/edgar/data/897077/000100329711000103/esalamo10k.htm,https://www.sec.gov/Archives/edgar/data/897077/000089707712000004/0000897077-12-000004-index.html,https://www.sec.gov/Archives/edgar/data/897077/000089707713000009/0000897077-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/897077/000089707714000007/a201310k-body.htm,https://www.sec.gov/Archives/edgar/data/897077/000089707715000011/a201410k-body.htm,https://www.sec.gov/Archives/edgar/data/897077/000089707716000097/0000897077-16-000097-index.html,https://www.sec.gov/Archives/edgar/data/897077/000089707717000019/0000897077-17-000019-index.html,https://www.sec.gov/Archives/edgar/data/897077/000089707718000010/0000897077-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1607679/000149315219001141/0001493152-19-001141-index.html,https://www.sec.gov/Archives/edgar/data/897077/000089707720000011/0000897077-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/897077/000089707721000007/0000897077-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/897077/000089707722000007/0000897077-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,6300000,7800000,9200000,11600000,8800000,13600000,4115000,6102000,10770000,10812000,6382000,8038000,13396000,11291000,11488000,12365000,10999000,17091000,21117000,32070000,28903000,36094000,41151000,43209000,40045000,44315000,73486000,62906000,56630000,80245000
74,Depreciation and Amortization,2400000,2800000,3800000,4400000,5400000,5064000,5835000,5152000,5999000,6330000,5549000,5890000,6297000,6456000,9198000,9018000,9360000,8848000,10900000,10418000,9948000,8898000,12650000,22101000,20800000,20464000,23114000,29965000,43840000,44479000
75,Deferred Income Tax,-200000,-100000,-800000,-400000,-200000,-286000,-2711000,693000,266000,1136000,-48000,520000,1669000,-581000,1137000,647000,89000,- -,- -,- -,-405000,-877000,-108000,2804000,2620000,1328000,2052000,3316000,-1301000,-1182000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,543000,674000,986000,940000,1501000,1986000,1057000,1414000,1869000,2450000,3269000,4119000,5987000
77,Change in Working Capital,-3100000,11700000,13100000,46200000,2700000,3170000,12622000,-26038000,12489000,14375000,-2586000,-3164000,12215000,11968000,35817000,8423000,10950000,2028000,3502000,14559000,28242000,27660000,47603000,-26073000,-28944000,42246000,60827000,55963000,-62239000,-77256000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40285000,-16615000,-15152000,4770000,-10515000,-12596000,-9657000,3876000,-23134000,-27029000,11447000,28064000,-27571000
79,Inventory,300000,-5400000,-1800000,-600000,-500000,-6367000,1470000,18278000,-2511000,-998000,9039000,2988000,-2522000,-5316000,-11727000,1922000,-6694000,32432000,24603000,-8673000,6932000,776000,-10993000,9759000,12340000,142000,-25991000,657000,39895000,-78463000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,960000,4420000,1202000,-1708000,-5382000,11688000,4130000,6397000,-3783000,32532000
81,Other Working Capital,16400000,28100000,41200000,87400000,90100000,93270000,105892000,79854000,92343000,106718000,104132000,100968000,113183000,125151000,160968000,169391000,180341000,182369000,185871000,200430000,228672000,256332000,303935000,277862000,248918000,291164000,351991000,407954000,345715000,-3008000
82,Other Non-Cash Items,-300000,-22600000,-15500000,-61700000,-7100000,-9245000,-19398000,53279000,-20514000,-24423000,18301000,6944000,-19531000,-21537000,-53072000,-11261000,-22674000,43576000,5684000,-47118000,-16365000,-41649000,-73072000,9462000,39619000,-39418000,-149019000,-66606000,143284000,-2606000
83,Cash Provided by Operating Activities,5100000,-400000,9800000,100000,9600000,12303000,463000,39188000,9010000,8230000,27598000,18228000,14046000,7597000,4568000,19192000,8724000,72086000,41877000,10915000,51263000,31627000,30210000,52560000,75554000,70804000,12910000,88813000,184333000,49667000
84,CAPEX,-2500000,-2700000,-2900000,-2400000,-2900000,-4685000,-4400000,-3616000,-12650000,-7074000,-5479000,-4966000,-6067000,-8705000,-12065000,-10765000,-6553000,-3453000,-4980000,-6369000,-4654000,-13639000,-9806000,-15479000,-9761000,-13490000,-26699000,-31433000,-17874000,-25307000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-24453000,-7880000,-9408000,- -,-3910000,-5668000,-45079000,-3464000,-21349000,- -,- -,-5933000,- -,-1002000,-196467000,-3465000,-188000,-38553000,- -,-400784000,- -,-17798000
86,Purchases of Investments,- -,- -,- -,-2500000,- -,- -,-500000,-500000,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,700000,400000,500000,600000,600000,150000,3200000,- -,- -,- -,201000,- -,- -,- -,352000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,300000,-7700000,-1200000,-17500000,-600000,224000,339000,1120000,530000,2516000,-492000,876000,839000,246000,1673000,360000,213000,922000,2014000,440000,564000,475000,1442000,4246000,1243000,767000,1229000,2181000,3703000,9623000
89,Cash Used for Investing Activites,-1500000,-10000000,-3600000,-21800000,-2900000,-4311000,-1361000,-2996000,-37073000,-12438000,-15178000,-4090000,-9138000,-14127000,-55119000,-13869000,-27689000,-2531000,-2966000,-11862000,-4090000,-14166000,-204831000,-14698000,-8656000,-51276000,-25358000,-429940000,-14171000,-33438000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56255000,-24545000,-14000000,-9117000,-399000,-83682000,-125449000,-153038000,-153017000,-133784000,-157122000,-273867000,-204093000
91,Common Stock Issued,600000,16100000,300000,32600000,200000,2533000,117000,269000,194000,312000,65000,95000,139000,159000,131000,564000,1522000,1118000,990000,281000,2131000,1286000,903000,2023000,1369000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-1631000,- -,-400000,- -,-26000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34204000,- -,-19000,-166000,-436000,-4729000,-710000,-1957000
93,Dividends Paid,-3000000,-2300000,-2700000,-3400000,-3800000,-3836000,-4175000,-3309000,-2328000,-2329000,-2331000,-2333000,-2336000,-2339000,-2342000,-2346000,-2361000,-2399000,-2826000,-2845000,-2854000,-3371000,-3328000,-3628000,-4114000,-4614000,-5124000,-5626000,-6124000,-6627000
94,Other Financing Activites,-1600000,-3200000,-2500000,-7600000,-2700000,-6341000,6871000,-30043000,27987000,7589000,-9071000,-14428000,-3071000,13348000,47570000,-1319000,20389000,571000,368000,-2507000,-102000,- -,273043000,78858000,78685000,145397000,161552000,516700000,116459000,189676000
95,Cash Used/Provided by Financing Activities,-4000000,10600000,-4900000,21600000,-6300000,-9275000,2813000,-33483000,25853000,5546000,-11337000,-16666000,-5268000,11168000,45359000,-3101000,19550000,-56965000,-26013000,-19071000,-9942000,-2484000,152732000,-48196000,-77117000,-12400000,22208000,349223000,-164242000,-23001000
96,Effect of Forex Changes on Cash,-100000,-100000,-200000,100000,- -,-156000,44000,-98000,-220000,-81000,314000,226000,-341000,-145000,288000,68000,-512000,652000,-429000,63000,772000,692000,-2538000,-2277000,90000,1452000,-1090000,172000,1964000,-1308000
