,https://roic.ai/company/CHSCP,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,265263000,70251000,-13320000,922966000,-112248000,-22358000,1172498000,71970000,276945000,88234000,-461692000,-2337564000,-232453000,577102000,319854000,1887652000,-1293602000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-218192000,308399000,- -
79,Inventory,-190081000,-198501000,-528288000,-517515000,895882000,-426328000,-796596000,-252842000,557331000,-37792000,71073000,338662000,-293549000,-169581000,284694000,104884000,-549221000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38229000,-330949000,1007229000
81,Other Working Capital,758703000,828954000,815634000,1738600000,1626352000,1603994000,2776492000,2848462000,3125407000,3213641000,2751949000,414385000,181932000,759034000,1078888000,2966540000,1672938000
82,Other Non-Cash Items,-375480000,-310683000,-551787000,-1156669000,1226047000,-605507000,-2250460000,-925859000,873961000,14912000,-135069000,2753556000,733281000,-612030000,-537458000,-2828751000,974303000
83,Cash Provided by Operating Activities,276531000,454942000,372622000,805762000,1735532000,149961000,301323000,718636000,2477800000,1427351000,570010000,1263498000,932994000,1072068000,1139931000,- -,757811000
84,CAPEX,-257470000,-234992000,-388883000,-343620000,-319707000,-332830000,-402799000,-492054000,-659373000,-943888000,-1186790000,-692780000,-444397000,-355412000,-443216000,-418359000,28010000
85,Acquisitions Net,38286000,- -,- -,-47001000,-76364000,-6307000,-67489000,-166033000,-34075000,-361630000,-369472000,-2867108000,-20319000,213235000,-119421000,231000,- -
86,Purchases of Investments,-25938000,-72989000,-95834000,-370248000,-120181000,-38062000,-6090000,-94757000,-21364000,-80140000,- -,- -,-16645000,- -,-5086000,- -,- -
87,Sales/Maturities of Investments,161315000,7283000,15853000,165121000,81609000,119331000,264681000,31152000,14271000,138485000,19927000,73050000,- -,- -,- -,- -,- -
88,Other Investing Activites,-8095000,35350000,-42010000,-71363000,142268000,-32735000,-339272000,27497000,165583000,-94409000,-372333000,-260133000,76320000,62653000,-93560000,424242000,216122000
89,Cash Used for Investing Activites,-91902000,-265348000,-495291000,-663712000,-289944000,-289589000,-550969000,-694195000,-534958000,-1341582000,-1908668000,-3746971000,-405041000,-79524000,-661283000,6114000,-101672000
90,Debt Repayment,-93475000,-97691000,-60955000,-667987000,-490974000,-95088000,405835000,-117827000,-113583000,-157770000,-209631000,-29232842000,-37580959000,-36525136000,-29450339000,-24948926000,-31806918000
91,Common Stock Issued,2814000,- -,85412000,61110000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-10513000,- -,- -,- -,-23135000,-61193000,-145722000,-193413000,-99609000,- -,- -,- -,- -,-211179000,- -,- -
93,Dividends Paid,-60756000,-73333000,-146162000,-211292000,-247634000,-182012000,-166057000,-285210000,-24544000,-50761000,-133710000,-163324000,-167642000,-168668000,-168668000,-168668000,-168668000
94,Other Financing Activites,71315000,-136550000,489561000,454947000,-70921000,63449000,608330000,-90114000,-111634000,548670000,497169000,31210362000,37127408000,35961634000,29104540000,25146723000,31649001000
95,Cash Used/Provided by Financing Activities,-80102000,-318087000,367856000,-363222000,-809529000,-236786000,786915000,-638873000,-443174000,240530000,153828000,1814196000,-621193000,-732170000,-725646000,29129000,-326585000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-1522000,5753000,-9224000,-5165000,-1624000,5436000,-5223000,-4694000,8864000,2733000,- -,-4063000
97,Net Change In Cash,104527000,-128493000,245187000,-221172000,636059000,-377936000,543022000,-623656000,1494503000,324675000,-1179394000,-674500000,-97934000,269238000,-332761000,-82682000,325491000
98,Cash at the End of Period,241018000,112525000,357712000,136540000,772599000,394663000,937685000,314029000,1808532000,2133207000,953813000,279313000,181379000,450617000,211179000,216993000,542484000
99,Cash at the Beginning of Period,136491000,241018000,112525000,357712000,136540000,772599000,394663000,937685000,314029000,1808532000,2133207000,953813000,279313000,181379000,543940000,299675000,216993000
100,Free Cash Flow,19061000,219950000,-16261000,462142000,1415825000,-182869000,-101476000,226582000,1818427000,483463000,-616780000,570718000,488597000,716656000,696715000,-418359000,785821000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/823277/000095013405021891/0000950134-05-021891-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000095013706012798/0000950137-06-012798-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000095013707017576/0000950137-07-017576-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000095013708013893/0000950137-08-013893-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000095012309060736/0000950123-09-060736-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000095012310104712/0000950123-10-104712-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000095012311097699/0000950123-11-097699-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000144530512003500/0001445305-12-003500-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000082327713000037/0000823277-13-000037-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000082327714000032/0000823277-14-000032-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000082327715000024/0000823277-15-000024-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000082327716000065/0000823277-16-000065-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000082327717000053/0000823277-17-000053-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000082327718000065/0000823277-18-000065-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000082327719000036/0000823277-19-000036-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000082327720000034/0000823277-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000082327721000044/0000823277-21-000044-index.htm
102,false,,,,,,,,,,,,,,,,,
