,https://roic.ai/company/CPS,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,62204000,56322000,40877000,111521000,380254000,294450000,361745000,270555000,184370000,267270000,378243000,480092000,515952000,264980000,359536000,438438000,248010000
34,Net Receivables,323476000,383779000,546794000,352052000,355543000,380915000,433947000,499576000,521955000,501047000,558064000,551477000,606610000,559713000,571330000,547691000,489182000
35,Inventory,106620000,120865000,155321000,116952000,111575000,122043000,139726000,143253000,179766000,166531000,149645000,146449000,170196000,175572000,143439000,143742000,158075000
36,Other Current Assets,25330000,21420000,29277000,43029000,98607000,60913000,70103000,77088000,109241000,119150000,103529000,118163000,133983000,249459000,127965000,129858000,99630000
37,Total Current Assets,517630000,582386000,772269000,623554000,945979000,858321000,1005521000,990472000,995332000,1053998000,1189481000,1296181000,1426741000,1249724000,1202270000,1259729000,994897000
38,PP&E,464634000,542536000,722373000,623987000,586179000,589504000,619717000,628608000,732902000,716013000,765369000,832269000,952178000,984241000,1071653000,1002104000,895400000
39,Goodwill,398295000,435636000,290588000,244961000,87728000,137000000,136406000,133716000,139701000,135169000,149219000,167441000,171852000,143681000,142187000,142250000,142282000
40,Intangible Assets,286200000,284539000,256258000,227453000,10549000,149642000,131691000,116724000,101436000,82309000,70702000,81363000,69091000,99602000,84369000,67679000,60375000
41,Intangible Assets,684495000,720175000,546846000,472414000,98277000,286642000,268097000,250440000,241137000,217478000,219921000,248804000,240943000,243283000,226556000,209929000,202657000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,72718000,34235000,41059000,49299000,46419000,33834000,70007000,56662000,66111000,27805000
44,Other Non-Current Assets,67461000,66336000,120767000,98296000,106972000,119309000,110453000,83739000,99148000,104219000,80222000,68029000,71952000,75848000,78441000,74071000,105734000
45,Total Non-Current Assets,1216590000,1329047000,1389986000,1194697000,791428000,995455000,998267000,1035505000,1107422000,1078769000,1114811000,1195521000,1298907000,1373379000,1433312000,1352215000,1231596000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1734220000,1911433000,2162255000,1818251000,1737407000,1853776000,2003788000,2025977000,2102754000,2132767000,2304292000,2491702000,2725648000,2623103000,2635582000,2611944000,2226493000
48,Accounts Payable,165059000,165992000,295638000,192948000,166346000,176001000,256671000,271355000,355394000,322422000,400604000,475426000,523296000,452320000,426055000,385284000,348133000
49,Short-Term Debt,11602000,17414000,51999000,94136000,193204000,19965000,33093000,32556000,28329000,36789000,45494000,33439000,34921000,101323000,85543000,62442000,78663000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,127463000,147928000,181379000,164581000,158596000,212553000,193219000,183005000,186448000,169991000,235322000,250477000,268740000,262706000,208327000,223554000,170819000
53,Total Current Liabilities,304124000,331334000,529016000,451665000,518146000,408519000,482983000,486916000,570171000,529202000,681420000,759342000,826957000,816349000,719925000,671280000,597615000
54,Long-Term Debt,890847000,1038047000,1088162000,1049959000,11059000,456758000,455559000,450809000,656095000,749085000,732418000,729480000,723325000,729805000,746179000,982760000,1073364000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,65006000,34008000,28331000,28265000,7875000,18337000,18803000,10801000,11146000,5001000,4914000,9241000,9511000,8233000,10785000,8638000,8414000
57,Other Non-Current Liabilities,162013000,187335000,248188000,273185000,1506827000,407109000,430896000,326571000,249770000,300765000,270741000,271848000,310766000,209214000,282711000,325155000,215740000
58,Total Non-Current Liabilities,1117866000,1259390000,1364681000,1351409000,1525761000,882204000,905258000,788181000,917011000,1054851000,1008073000,1010569000,1043602000,947252000,1039675000,1316553000,1297518000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84328000,112228000,115312000
61,Total Liabilities,1421990000,1590724000,1893697000,1803074000,2043907000,1290723000,1388241000,1275097000,1487182000,1584053000,1689493000,1769911000,1870559000,1763601000,1759600000,1987833000,1895133000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,121649000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,32000,32000,35000,35000,35000,17000,17000,16000,17000,17000,17000,17000,18000,17000,17000,17000,17000
64,Retained Earnings,4269000,-4151000,-155339000,-280216000,-636278000,35842000,124674000,201907000,156775000,195233000,306713000,425972000,511367000,576025000,619448000,350270000,25553000
65,Other Comprehensive Income/Loss,-15549000,1050000,68988000,-59536000,-31037000,45881000,-12469000,-45448000,-27694000,-139243000,-217065000,-242563000,-197631000,-246088000,-253741000,-241896000,-205184000
66,Other Total Stockholders Equity,323478000,323778000,354874000,354894000,356316000,478706000,485637000,471851000,489052000,492959000,513764000,513934000,512815000,501511000,490451000,498719000,504497000
67,Total Stockholders Equity,312230000,320709000,268558000,15177000,-310964000,560446000,597859000,749975000,618150000,548966000,603429000,697360000,826569000,831465000,856175000,607110000,324883000
68,Total Liabilities And Stockholders Equity,1734220000,1911433000,2162255000,1818251000,1732943000,1851169000,1986100000,2025072000,2105332000,2133019000,2292922000,2467271000,2697128000,2595066000,2615775000,2594943000,2220016000
69,Minority Interest,- -,- -,- -,- -,4464000,2607000,17688000,905000,-2578000,-252000,11370000,24431000,28520000,28037000,19807000,17001000,6477000
70,Total Liabilities & Equity,1734220000,1911433000,2162255000,1818251000,1737407000,1853776000,2003788000,2025977000,2102754000,2132767000,2304292000,2491702000,2725648000,2623103000,2635582000,2611944000,2226493000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1320461/000095013606002619/file001.htm,https://www.sec.gov/Archives/edgar/data/1320461/000095013607002167/0000950136-07-002167-index.html,https://www.sec.gov/Archives/edgar/data/1320461/000095013608001652/file1.htm,https://www.sec.gov/Archives/edgar/data/1320461/000119312509068966/0001193125-09-068966-index.html,https://www.sec.gov/Archives/edgar/data/1320461/000119312510073348/0001193125-10-073348-index.html,https://www.sec.gov/Archives/edgar/data/1320461/000119312511072036/d10k.htm,https://www.sec.gov/Archives/edgar/data/1320461/000119312512109793/0001193125-12-109793-index.html,https://www.sec.gov/Archives/edgar/data/1320461/000119312513083884/0001193125-13-083884-index.html,https://www.sec.gov/Archives/edgar/data/1320461/000119312514075430/d640810d10k.htm,https://www.sec.gov/Archives/edgar/data/1320461/000132046115000038/a1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/1320461/000132046116000094/0001320461-16-000094-index.html,https://www.sec.gov/Archives/edgar/data/1320461/000132046117000014/0001320461-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1320461/000132046118000004/0001320461-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1320461/000132046119000009/0001320461-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1320461/000132046120000009/0001320461-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1320461/000132046121000045/0001320461-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1320461/000132046122000038/0001320461-22-000038-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,8814000,-8420000,-150993000,-121451000,-356062000,320300000,102844000,102804000,47941000,42779000,111880000,138988000,135303000,107766000,67529000,-267605000,-322835000
74,Depreciation and Amortization,111205000,138433000,136049000,140105000,113777000,102300000,124074000,122731000,111028000,112580000,114427000,122660000,138088000,146698000,151953000,154229000,139008000
75,Deferred Income Tax,-24529000,-32513000,4444000,14045000,-36797000,23300000,-525000,-41386000,27479000,8816000,-2698000,9082000,11076000,-40721000,15874000,-8722000,35756000
76,Stock Based Compensation,- -,- -,1549000,- -,- -,244000,12096000,15306000,11576000,12587000,13955000,24032000,24963000,8520000,11865000,10435000,5574000
77,Change in Working Capital,13641000,37546000,-7799000,-71364000,255944000,21969000,72736000,-18982000,-78395000,99635000,-16735000,28778000,62945000,-166409000,48970000,106104000,-1290000
78,Accounts Receivable,-30124000,12170000,-31750000,144920000,14886000,-33553000,-27246000,-61735000,-49786000,-17934000,-72546000,-579000,-26428000,17916000,- -,94125000,52677000
79,Inventory,11865000,16897000,14836000,28062000,9914000,-11824000,-4641000,-2237000,-31823000,888000,12848000,6651000,-13929000,1410000,29430000,-15236000,-18527000
80,Accounts Payable,33447000,-30629000,39945000,-86316000,50081000,-59180000,54883000,14581000,58369000,-11460000,61063000,70066000,11415000,-32502000,-14643000,-18370000,-25501000
81,Other Working Capital,213506000,251052000,243253000,171889000,427833000,449802000,522538000,503556000,425161000,524796000,508061000,536839000,599784000,433375000,482345000,588449000,30281000
82,Other Non-Cash Items,3821000,836000,202123000,175158000,153120000,-372913000,-138886000,-96072000,13628000,-105348000,49556000,40157000,-58891000,93534000,-198494000,-10375000,28277000
83,Cash Provided by Operating Activities,112952000,135882000,185373000,136493000,129982000,95200000,172339000,84401000,133257000,171049000,270385000,363697000,313484000,149388000,97697000,-15934000,-115510000
84,CAPEX,-54481000,-82874000,-107255000,-92125000,-46113000,-22935000,-108339000,-131067000,-183336000,-192089000,-166267000,-164368000,-186795000,-218071000,-164466000,-91794000,-96107000
85,Acquisitions Net,-79451000,-205737000,-158671000,4937000,- -,- -,44487000,-1084000,-11384000,30336000,-5196000,-34083000,-478000,-171653000,242910000,-17006000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-10500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,7746000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,967000,-889000,5909000,13331000,642000,-47965000,599000,-116486000,-179700000,-187732000,-161198000,-164183000,-200144000,-211338000,-158880000,-89874000,-91262000
89,Cash Used for Investing Activites,-132965000,-281754000,-260017000,-73857000,-45471000,-70900000,-73753000,-117570000,-191084000,-157396000,-166394000,-198266000,-200622000,-382991000,84030000,-106880000,-91262000
90,Debt Repayment,-10340000,-61715000,-37557000,-21834000,-12696000,-175000000,-4047000,-5110000,-3930000,-679888000,-8863000,-407943000,-19866000,-3437000,-4494000,-6192000,-5533000
91,Common Stock Issued,4610000,300000,30000000,- -,88000,355000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-540000,- -,355000000,-7470000,-43733000,-217549000,-5162000,- -,-23800000,-55123000,-59955000,-36550000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-3200000,-7116000,-6784000,-4747000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-1424000,209048000,62603000,36443000,178683000,-645800000,-5951000,-2449000,203179000,734461000,-2727000,368827000,-538000,48952000,-42948000,213907000,8742000
95,Cash Used/Provided by Financing Activities,-7154000,147633000,55046000,14069000,166075000,-114000000,-24584000,-58076000,-23047000,49411000,-11590000,-62916000,-75527000,-14440000,-83992000,207715000,3209000
96,Effect of Forex Changes on Cash,5713000,-7643000,4153000,-6061000,18147000,3900000,-6707000,55000,-5311000,19836000,18572000,-666000,-1475000,-3019000,-3392000,-3065000,11113000
97,Net Change In Cash,-21454000,-5882000,-15445000,70644000,268733000,-85800000,67295000,-91190000,-86185000,82900000,110973000,101849000,35860000,-251062000,94343000,81836000,-192450000
98,Cash at the End of Period,62204000,56322000,40877000,111521000,380254000,294500000,361745000,270555000,184370000,267270000,378243000,480092000,515952000,267399000,361742000,443578000,251128000
99,Cash at the Beginning of Period,83658000,62204000,56322000,40877000,111521000,380300000,294450000,361745000,270555000,184370000,267270000,378243000,480092000,518461000,267399000,361742000,443578000
100,Free Cash Flow,58471000,53008000,78118000,44368000,83869000,17800000,64000000,-46666000,-50079000,-21040000,104118000,199329000,126689000,-68683000,-66769000,-107728000,-211617000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1320461/000095013606002619/file001.htm,https://www.sec.gov/Archives/edgar/data/1320461/000095013607002167/0000950136-07-002167-index.html,https://www.sec.gov/Archives/edgar/data/1320461/000095013608001652/file1.htm,https://www.sec.gov/Archives/edgar/data/1320461/000119312509068966/0001193125-09-068966-index.html,https://www.sec.gov/Archives/edgar/data/1320461/000119312510073348/0001193125-10-073348-index.html,https://www.sec.gov/Archives/edgar/data/1320461/000119312511072036/d10k.htm,https://www.sec.gov/Archives/edgar/data/1320461/000119312512109793/0001193125-12-109793-index.html,https://www.sec.gov/Archives/edgar/data/1320461/000119312513083884/0001193125-13-083884-index.html,https://www.sec.gov/Archives/edgar/data/1320461/000119312514075430/d640810d10k.htm,https://www.sec.gov/Archives/edgar/data/1320461/000132046115000038/a1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/1320461/000132046116000094/0001320461-16-000094-index.html,https://www.sec.gov/Archives/edgar/data/1320461/000132046117000014/0001320461-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1320461/000132046118000004/0001320461-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1320461/000132046119000009/0001320461-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1320461/000132046120000009/0001320461-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1320461/000132046121000045/0001320461-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1320461/000132046122000038/0001320461-22-000038-index.htm
102,false,,,,,,,,,,,,,,,,,
