,https://roic.ai/company/CTRN,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
32,Short-Term Investments,- -,- -,- -,- -,- -,54500000,66000000,56200000,- -,33000000,600000,900000,12800000,6000000,15850000,32671000,38026000,31500000,50350000,27562000,- -,- -
33,Cash and Short-Term Investments,- -,4098000,- -,9954232,11801442,63600000,77700000,62400000,33516000,96000000,69800000,42900000,50100000,64900000,90364000,71787000,87279000,79951000,68213000,47485000,123177000,49788000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,11200000,1100000,400000,973000,1285000,1635000,- -,- -,1186000,- -,- -
35,Inventory,- -,- -,- -,22712369,36172832,54000000,73400000,82400000,86259000,100900000,121400000,131500000,141500000,126500000,131057000,137020000,134649000,137701000,139841000,138258000,103845000,123835000
36,Other Current Assets,- -,- -,- -,2301602,3739933,4700000,6900000,8700000,14072000,14900000,16200000,17800000,18100000,16000000,18963000,12201000,13749000,15694000,17544000,14278000,17420000,18984000
37,Total Current Assets,- -,- -,- -,34968203,51714207,122300000,158000000,153500000,133847000,211800000,207900000,203400000,210800000,207800000,241357000,222293000,237312000,233346000,225598000,201207000,244442000,192607000
38,PP&E,- -,- -,- -,12749601,17573767,23400000,34800000,52200000,58861000,63800000,85300000,90500000,71000000,56200000,47603000,50632000,59280000,61777000,56224000,234839000,243187000,277109000
39,Goodwill,- -,- -,- -,- -,- -,1400000,1400000,1400000,1371000,1400000,1400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,1371404,1371404,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,1371404,1371404,1400000,1400000,1400000,1371000,1400000,1400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,44000000,- -,9205000,18840000,5754000,19777000,22447000,30890000,26691000,25451000,8883000,15675000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,2480000,- -,- -,- -,- -,- -,6328000,- -,- -,- -,- -,- -,6195000,- -
44,Other Non-Current Assets,- -,- -,- -,123992,130182,200000,1900000,3100000,230000,3000000,2595000,2060000,4546000,7523000,638000,10693000,9231000,6497000,7284000,7424000,769000,4309000
45,Total Non-Current Assets,- -,- -,- -,14244997,19075353,25000000,38100000,56700000,106942000,68200000,98500000,111400000,81300000,83500000,77016000,92215000,95202000,93725000,72391000,257938000,250151000,281418000
46,Other Assets,25023000,29733000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,25023000,29733000,- -,49213200,70789560,147300000,196100000,210200000,240789000,280000000,306400000,314800000,292100000,291300000,318373000,314508000,332514000,327071000,297989000,459145000,494593000,474025000
48,Accounts Payable,- -,- -,- -,19577370,28132301,45800000,50900000,43600000,52295000,62700000,67900000,78900000,62700000,60000000,72245000,67419000,75433000,75947000,73391000,79596000,84832000,98879000
49,Short-Term Debt,- -,- -,- -,641429,797378,662196,1767364,1580000,1403000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42944000,46983000,47803000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,3024000,- -,- -,- -,- -,- -,- -,- -,1916000,395000,- -,4623000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,603000,660000,515000,- -,497000,471000,532000,526000,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,4255352,8445453,13237804,16932636,18820000,20238000,25900000,23700000,26097000,22540000,24285000,29757000,27742000,24505000,32691000,28452000,28322000,51030000,40792000
53,Total Current Liabilities,- -,- -,- -,24474151,37375132,59700000,69600000,64000000,73936000,88600000,91600000,105600000,85900000,84800000,102002000,95658000,100409000,109170000,102369000,150862000,182845000,187474000
54,Long-Term Debt,- -,- -,- -,1494302,1526110,500000,3000000,1400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145828000,168304000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,333445,818000,- -,- -,- -,- -,- -,- -,5829000,6088000,4711000,- -,4835000,8506000,5777000,6539000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,6407434,7305349,3300000,5300000,6600000,8646000,10000000,10000000,6971000,4212000,2889000,5749000,1781000,8000,2656000,1656000,137239000,2286000,2104000
58,Total Non-Current Liabilities,- -,- -,- -,8235181,9649459,3800000,8300000,8000000,8646000,10000000,10000000,12800000,10300000,7600000,5749000,6616000,8514000,8433000,8195000,137239000,148114000,170408000
59,Other Liabilities,21552000,23997000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,494547,688473,422128,2982661,1403000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178260000,192811000,216107000
61,Total Liabilities,21552000,23997000,- -,32709332,47024591,63500000,77900000,72000000,82582000,98600000,101600000,118400000,96200000,92400000,107751000,102274000,108923000,117603000,110564000,288101000,330959000,357882000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,3633,3639,100000,100000,100000,145000,100000,100000,100000,100000,200000,152000,154000,155000,156000,157000,157000,158000,- -
64,Retained Earnings,- -,- -,- -,12571384,19828629,34000000,55400000,69900000,87277000,107000000,127800000,117800000,115600000,116100000,125037000,138725000,148585000,158927000,176094000,186772000,209918000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-25000,-23643,-22700000,-29500000,-42000000,-58125000,-76200000,-94600000,-118900000,-142800000,-161900000,-181475000,-199284000,-212742000,-229699000,-245958000,-262570000,- -,- -
66,Other Total Stockholders Equity,3471000,5736000,- -,3953851,3956344,72349301,92209016,110147000,128910000,150443000,171504000,197403000,223071000,244471000,266908000,272639000,287593000,280084000,257132000,246685000,-46442000,- -
67,Total Stockholders Equity,3471000,5736000,- -,16503868,23764969,83749301,118209016,138147000,158207000,181343000,204804000,196403000,195971000,198871000,210622000,212234000,223591000,209468000,187425000,171044000,163634000,116143000
68,Total Liabilities And Stockholders Equity,25023000,29733000,- -,49213200,70789560,147249301,196109016,210147000,240789000,279943000,306404000,314803000,292171000,291271000,318373000,314508000,332514000,327071000,297989000,459145000,494593000,474025000
69,Minority Interest,- -,- -,- -,- -,- -,50699,-9016,53000,- -,57000,-4000,-3000,-71000,29000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,25023000,29733000,- -,49213200,70789560,147300000,196100000,210200000,240789000,280000000,306400000,314800000,292100000,291300000,318373000,314508000,332514000,327071000,297989000,459145000,494593000,474025000
71,SEC Link,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1318484/000110465907027716/0001104659-07-027716-index.html,https://www.sec.gov/Archives/edgar/data/1318484/000110465908024754/0001104659-08-024754-index.html,https://www.sec.gov/Archives/edgar/data/1318484/000110465909024215/0001104659-09-024215-index.html,https://www.sec.gov/Archives/edgar/data/1318484/000110465910019595/0001104659-10-019595-index.html,https://www.sec.gov/Archives/edgar/data/1318484/000110465911019862/0001104659-11-019862-index.html,https://www.sec.gov/Archives/edgar/data/1318484/000110465912024701/a11-32493_110k.htm,https://www.sec.gov/Archives/edgar/data/1318484/000110465913030133/0001104659-13-030133-index.html,https://www.sec.gov/Archives/edgar/data/1318484/000110465914027998/0001104659-14-027998-index.html,https://www.sec.gov/Archives/edgar/data/1318484/000110465915027586/0001104659-15-027586-index.html,https://www.sec.gov/Archives/edgar/data/1318484/000110465916111151/0001104659-16-111151-index.html,https://www.sec.gov/Archives/edgar/data/1318484/000155837017002393/0001558370-17-002393-index.html,https://www.sec.gov/Archives/edgar/data/1318484/000155837018003051/0001558370-18-003051-index.html,https://www.sec.gov/Archives/edgar/data/1318484/000155837019003051/0001558370-19-003051-index.html,https://www.sec.gov/Archives/edgar/data/1318484/000155837020006617/ctrn-20200201x10k.htm,https://www.sec.gov/Archives/edgar/data/1318484/000155837021004258/0001558370-21-004258-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,5917946,7257245,14200000,21400000,14200000,17383000,19700000,20900000,-10000000,-2200000,500000,8966000,15527000,13331000,14574000,21374000,16503000,23978000,- -
74,Depreciation and Amortization,- -,- -,- -,4032602,4871682,6087259,8326404,12583000,16261000,18431000,20535000,24958000,23950000,21974000,20177000,18577000,17090000,18883000,18886000,18535000,19259000,- -
75,Deferred Income Tax,- -,- -,- -,161883,-123841,-1301900,-2247966,-1401000,-333000,-1079000,98000,-144000,-2899000,-1692000,956000,699000,1482000,2729000,-762000,-130000,474000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,2495000,3095000,2573000,2743000,3355000,4007000,4148000,2923000,1632000,2238000,2121000,2912000,- -
77,Change in Working Capital,- -,- -,- -,741030,3845023,48260925,25800000,1100000,-29589000,63289000,-6900000,-18500000,27100000,-1900000,16355000,-12720000,10268000,-12727000,-947000,-72884000,11252000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,-5669857,-13460463,-17848047,-19339088,-9060000,-3839000,-14615000,-20558000,-10094000,-9947000,14972000,-4556000,-5963000,1665000,-3948000,-2330000,1216000,33564000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,10411000,5228000,11007000,-16251000,-2653000,12082000,-5000000,8009000,230000,-2844000,5560000,5083000,- -
81,Other Working Capital,- -,- -,- -,10494052,14339075,62600000,88400000,89500000,59911000,123200000,116300000,97800000,124900000,123000000,139355000,126635000,136903000,124176000,123229000,50345000,61597000,- -
82,Other Non-Cash Items,- -,- -,- -,335932,-3191160,-39413587,-35255526,-9841000,35868000,-60059000,-13469000,23216000,-46352000,13131000,-10135000,1257000,-5351000,17213000,-10379000,78464000,52983000,- -
83,Cash Provided by Operating Activities,- -,- -,- -,11189393,12658949,27832697,18022912,16641000,39590000,42777000,24259000,22103000,2342000,35368000,40326000,27488000,39743000,42304000,30410000,42609000,110858000,- -
84,CAPEX,- -,- -,- -,-6117954,-8631233,-11553817,-15652305,-30095000,-23025000,-23621000,-40769000,-38437000,-7332000,-8469000,-11002000,-19601000,-23932000,-20986000,-13256000,-24175000,-16956000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2941000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-67056690,-49476013,-33989000,-4000000,- -,-17497000,-11380000,- -,-24548000,-22183000,-44310000,-44882000,-37654000,-43882000,-43840000,-522000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,12598544,37978410,43780000,15675000,10800000,40731000,1429000,1217000,17292000,9667000,19046000,43726000,45420000,41600000,59836000,43759000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,268744,- -,- -,- -,- -,- -,- -,- -,- -,- -,421000,443000,195000,573000,416000,- -
89,Cash Used for Investing Activites,- -,- -,- -,-6117954,-8631233,-66011963,-26881164,-20304000,-11350000,-12821000,-17535000,-48388000,-6115000,-12784000,-23518000,-44865000,-24667000,-12777000,-15343000,-7606000,26697000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1403000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43700000,- -
91,Common Stock Issued,- -,- -,- -,- -,6000,41480349,914693,411000,475000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-3605000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15020000,- -,-25035000,-40400000,-28445000,-32861000,- -
93,Dividends Paid,- -,- -,- -,- -,-1366050,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1797000,-3513000,-4232000,-4207000,-3765000,-832000,- -
94,Other Financing Activites,- -,- -,- -,-942054,-820456,-2418137,10566651,1748000,-1402000,924000,-486000,-960000,-950000,-919000,-1222000,-1204000,-1426000,-1062000,-1048000,-733000,43092000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-942054,-2180506,35457212,11481344,2159000,-927000,-479000,-486000,-960000,-950000,-919000,-1222000,-18021000,-4939000,-30329000,-45655000,-32943000,-34301000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,4129385,1847210,-2722054,2623092,-1504000,27313000,29477000,6238000,-27245000,-4723000,21665000,15586000,-35398000,10137000,-802000,-30588000,2060000,103254000,- -
98,Cash at the End of Period,- -,- -,- -,9954232,11801442,9079388,11702480,6203000,33516000,62993000,69231000,41986000,37263000,58928000,74514000,39116000,49253000,48451000,17863000,19923000,123177000,- -
99,Cash at the Beginning of Period,- -,- -,- -,5824847,9954232,11801442,9079388,7707000,6203000,33516000,62993000,69231000,41986000,37263000,58928000,74514000,39116000,49253000,48451000,17863000,19923000,- -
100,Free Cash Flow,- -,- -,- -,5071439,4027716,16278880,2370607,-13454000,16565000,19156000,-16510000,-16334000,-4990000,26899000,29324000,7887000,15811000,21318000,17154000,18434000,93902000,- -
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1318484/000110465907027716/0001104659-07-027716-index.html,https://www.sec.gov/Archives/edgar/data/1318484/000110465908024754/0001104659-08-024754-index.html,https://www.sec.gov/Archives/edgar/data/1318484/000110465909024215/0001104659-09-024215-index.html,https://www.sec.gov/Archives/edgar/data/1318484/000110465910019595/0001104659-10-019595-index.html,https://www.sec.gov/Archives/edgar/data/1318484/000110465911019862/0001104659-11-019862-index.html,https://www.sec.gov/Archives/edgar/data/1318484/000110465912024701/a11-32493_110k.htm,https://www.sec.gov/Archives/edgar/data/1318484/000110465913030133/0001104659-13-030133-index.html,https://www.sec.gov/Archives/edgar/data/1318484/000110465914027998/0001104659-14-027998-index.html,https://www.sec.gov/Archives/edgar/data/1318484/000110465915027586/0001104659-15-027586-index.html,https://www.sec.gov/Archives/edgar/data/1318484/000110465916111151/0001104659-16-111151-index.html,https://www.sec.gov/Archives/edgar/data/1318484/000155837017002393/0001558370-17-002393-index.html,https://www.sec.gov/Archives/edgar/data/1318484/000155837018003051/0001558370-18-003051-index.html,https://www.sec.gov/Archives/edgar/data/1318484/000155837019003051/0001558370-19-003051-index.html,https://www.sec.gov/Archives/edgar/data/1318484/000155837020006617/ctrn-20200201x10k.htm,https://www.sec.gov/Archives/edgar/data/1318484/000155837021004258/0001558370-21-004258-index.htm,undefined
102,false,,,,,,,,,,,,,,,,,,,,,,
