,https://roic.ai/company/LSI,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,11043956,12493431,17603299,18486911,18632143,18057143,18305172,19163855,20005102,22812662,24731452,26919474,31456906,32642995,35680500,41208175,41511310,44037468,46945689,49528074,53068818,64776178,69558810,69751144,69875445,71054907,78425000
28,Weighted Average Shares Outstanding Diluted,11043956,12493431,17693112,18486911,18632143,18057143,18518023,19397561,20142123,22961765,25000272,27061905,31456906,32674206,35695500,41270917,41587678,44233537,47179924,49786009,53400780,65111194,69734553,69894978,69979594,71177763,78608000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/703360/000109581101001568/0001095811-01-001568-index.html,https://www.sec.gov/Archives/edgar/data/703360/000089161802001449/0000891618-02-001449-index.html,https://www.sec.gov/Archives/edgar/data/944314/000090480203000005/ss10k303.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/944314/000090480206000007/s10k306.htm,https://www.sec.gov/Archives/edgar/data/944314/000095015207001678/l24966ae10vk.htm,https://www.sec.gov/Archives/edgar/data/944314/000095015208001491/l29820ae10vk.htm,https://www.sec.gov/Archives/edgar/data/944314/000095015209001878/0000950152-09-001878-index.html,https://www.sec.gov/Archives/edgar/data/944314/000095012310018131/0000950123-10-018131-index.html,https://www.sec.gov/Archives/edgar/data/944314/000095012311018700/l41286e10vk.htm,https://www.sec.gov/Archives/edgar/data/944314/000119312512085879/0001193125-12-085879-index.html,https://www.sec.gov/Archives/edgar/data/703360/000119312513077227/0001193125-13-077227-index.html,https://www.sec.gov/Archives/edgar/data/944314/000119312514072946/d650257d10k.htm,https://www.sec.gov/Archives/edgar/data/944314/000119312515060048/d837422d10k.htm,https://www.sec.gov/Archives/edgar/data/944314/000119312516478278/0001193125-16-478278-index.html,https://www.sec.gov/Archives/edgar/data/944314/000119312517059149/d302464d10k.htm,https://www.sec.gov/Archives/edgar/data/944314/000156459018003512/lsi-10k_20171231.htm,https://www.sec.gov/Archives/edgar/data/944314/000156459019004470/lsi-10k_20181231.htm,https://www.sec.gov/Archives/edgar/data/1060224/000156459020006451/0001564590-20-006451-index.html,https://www.sec.gov/Archives/edgar/data/944314/000156459021007648/0001564590-21-007648-index.htm,https://www.sec.gov/Archives/edgar/data/944314/000095017022002120/0000950170-22-002120-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,16687000,2567000,2984000,1032000,1421000,1883000,2063000,20101000,3105000,4911000,47730000,4010000,4486000,10710000,5766000,7321000,7255000,9524000,8543000,7032000,23685000,9167000,13560000,17458000,54400000,171865000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,16687000,2567000,2984000,1032000,1421000,1883000,2063000,20101000,3105000,4911000,47730000,4010000,4486000,10710000,5766000,7321000,7255000,9524000,8543000,7032000,23685000,9167000,13560000,17458000,54400000,171865000
34,Net Receivables,- -,482000,834000,1699000,1796000,18920000,1865000,3906000,3869000,4213000,2855000,2203000,2829000,3321000,2578000,2630000,3597000,4306000,6002000,6341000,7734000,6692000,8728000,8811000,13520000,16528000,18117000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4691000,4250000,4408000,3987000,4947000,5978000,6533000,5431000,6649000,6757000,7251000,7771000,8326000,9918000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12498000,17538000,12804000,14905000,16508000,21504000,21417000,20197000,37026000,24652000,29622000,38749000,79254000,199900000
38,PP&E,- -,215254000,321397000,481163000,523020000,517468000,552198000,635497000,647338000,701766000,763430000,988061000,1145381000,1172557000,1142405000,1148159000,1290518000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2523000,2891000,1092000,2204000,1303000,16500000,16500000,16500000,16500000,16500000,16500000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,289000,- -,- -,2523000,2891000,1092000,2204000,1303000,16500000,16500000,16500000,16500000,16500000,16500000
42,Investments,- -,- -,- -,- -,- -,- -,- -,3386000,2926000,1113000,2236000,2274000,- -,20111000,19944000,19730000,31939000,34255000,30391000,57803000,62520000,67300000,133458000,145911000,154984000,143042000,213003000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7171000,5314000,4848000,4850000,1430787000,1508888000,1773376000,2038152000,3737158000,3702164000,3700179000,4022731000,4489052000,6127194000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200128000,1167663000,1172737000,1329830000,1467933000,1540371000,1833383000,2101975000,3820958000,3852122000,3862590000,4194215000,4648594000,6356697000
46,Other Assets,- -,235415000,327073000,490124000,529719000,547139000,567838000,652337000,683457000,719573000,784376000,1053210000,1164636000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,235415000,327073000,490124000,529719000,547139000,567838000,652337000,683457000,719573000,784376000,1053210000,1164636000,1212626000,1185201000,1185541000,1344735000,1484441000,1561875000,1854800000,2122172000,3857984000,3876774000,3892212000,4232964000,4727848000,6556597000
48,Accounts Payable,- -,1197000,2167000,3542000,9949000,4888000,6549000,5024000,10132000,9121000,64000,2683000,134272000,23979000,22339000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,128000000,9000000,43000000,90000000,- -,100000000,514000000,400000000,- -,- -,105000000,49000000,49000000,79000000,253000000,105000000,91000000,65000000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5659000,5060000,4925000,6305000,6416000,6708000,7290000,7511000,9700000,9374000,9191000,11699000,17416000,27277000
52,Other Current Liabilities,- -,10603000,57433000,145858000,151651000,157612000,176951000,54076000,49368000,- -,51136000,57617000,-63572000,39580000,- -,23991000,32254000,36667000,37741000,43551000,47839000,75132000,92941000,87446000,103942000,112654000,131778000
53,Total Current Liabilities,- -,11800000,59600000,149400000,161600000,162500000,183500000,187100000,68500000,52121000,141200000,60300000,170700000,583218000,427399000,28916000,38559000,148083000,93449000,99841000,134350000,337832000,207315000,187637000,180641000,130070000,159055000
54,Long-Term Debt,- -,- -,39559000,190059000,198000000,231223000,239000000,250519000,255819000,289075000,339144000,462027000,456000000,109261000,81219000,488954000,625423000,579251000,577254000,752127000,751993000,1400552000,1621763000,1623122000,1893122000,2193234000,2784868000
55,Deferred Revenue,- -,1367000,1994000,2943000,3322000,3221000,3157000,3468000,3498000,3824000,4227000,5292000,5647000,- -,- -,4925000,- -,6416000,6708000,7290000,7511000,9700000,9374000,9191000,11699000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,-37953000,-114902000,-121022000,-127244000,-134957000,-131487000,-12517000,- -,-94271000,-5319000,4853000,- -,26529000,5603000,10748000,21961000,13755000,19673000,26003000,21406000,9999000,14525000,14608000,26446000,233675000
58,Total Non-Current Liabilities,- -,- -,3600000,78100000,80300000,107200000,107200000,122500000,246800000,292899000,249100000,462000000,466500000,109261000,107748000,499482000,636171000,607628000,597717000,779090000,785507000,1431658000,1641136000,1646838000,1919429000,2219680000,3018543000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,262987000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,1933000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,8131000,50319000,203439000,218281000,246309000,255999000,278755000,285876000,315108000,365037000,495352000,610805000,692479000,535147000,528398000,674730000,755711000,691166000,878931000,919857000,1769490000,1848451000,1834475000,2100070000,2349750000,3177598000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,95714000,95714000,53227000,26613000,26613000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,107000,122000,124000,127000,128000,132000,140000,154000,171000,187000,216000,228000,232000,287000,288000,301000,316000,337000,353000,367000,464000,466000,466000,467000,495000,836000
64,Retained Earnings,- -,-4158000,-6161000,-9689000,-13357000,-18282000,-25746000,-35124000,-48069000,-61751000,-71995000,-83609000,-98437000,-116728000,-139863000,-148264000,-169799000,-172773000,-162450000,-167692000,-171980000,-239062000,-327727000,-308011000,-238338000,-288667000,-314713000
65,Other Comprehensive Income/Loss,- -,-5457000,-11639000,-21339000,-33453000,-45253000,-59091000,-10020000,-7580000,-3254000,1454000,2128000,-1368000,-25162000,-11265000,-10254000,-10255000,-15242000,-6402000,-13005000,-14415000,-21475000,-7587000,-6875000,-5958000,-5041000,-4124000
66,Other Total Stockholders Equity,- -,236792000,294432000,317589000,358121000,364237000,396544000,292064000,327978000,389058000,437826000,585563000,626966000,639458000,787813000,789811000,835292000,916429000,1039224000,1156213000,1388343000,2348567000,2363171000,2372157000,2376723000,2671311000,- -
67,Total Stockholders Equity,- -,227284000,276754000,286685000,311438000,300830000,311839000,342774000,368197000,377451000,394085000,530911000,527389000,497800000,636972000,631581000,655539000,728730000,870709000,975869000,1202315000,2088494000,2028323000,2057737000,2132894000,2378098000,3378999000
68,Total Liabilities And Stockholders Equity,- -,235415000,327073000,490124000,529719000,547139000,567838000,621529000,654073000,692559000,759122000,1026263000,1138194000,1190279000,1172119000,1159979000,1330269000,1484441000,1561875000,1854800000,2122172000,3857984000,3876774000,3892212000,4232964000,4727848000,6556597000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,30808000,29384000,27014000,25254000,26947000,26442000,22347000,13082000,25562000,14466000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,235415000,327073000,490124000,529719000,547139000,567838000,652337000,683457000,719573000,784376000,1053210000,1164636000,1212626000,1185201000,1185541000,1344735000,1484441000,1561875000,1854800000,2122172000,3857984000,3876774000,3892212000,4232964000,4727848000,6556597000
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/703360/000109581101001568/0001095811-01-001568-index.html,https://www.sec.gov/Archives/edgar/data/703360/000089161802001449/0000891618-02-001449-index.html,https://www.sec.gov/Archives/edgar/data/944314/000090480203000005/ss10k303.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/944314/000090480206000007/s10k306.htm,https://www.sec.gov/Archives/edgar/data/944314/000095015207001678/l24966ae10vk.htm,https://www.sec.gov/Archives/edgar/data/944314/000095015208001491/l29820ae10vk.htm,https://www.sec.gov/Archives/edgar/data/944314/000095015209001878/0000950152-09-001878-index.html,https://www.sec.gov/Archives/edgar/data/944314/000095012310018131/0000950123-10-018131-index.html,https://www.sec.gov/Archives/edgar/data/944314/000095012311018700/l41286e10vk.htm,https://www.sec.gov/Archives/edgar/data/944314/000119312512085879/0001193125-12-085879-index.html,https://www.sec.gov/Archives/edgar/data/703360/000119312513077227/0001193125-13-077227-index.html,https://www.sec.gov/Archives/edgar/data/944314/000119312514072946/d650257d10k.htm,https://www.sec.gov/Archives/edgar/data/944314/000119312515060048/d837422d10k.htm,https://www.sec.gov/Archives/edgar/data/944314/000119312516478278/0001193125-16-478278-index.html,https://www.sec.gov/Archives/edgar/data/944314/000119312517059149/d302464d10k.htm,https://www.sec.gov/Archives/edgar/data/944314/000156459018003512/lsi-10k_20171231.htm,https://www.sec.gov/Archives/edgar/data/944314/000156459019004470/lsi-10k_20181231.htm,https://www.sec.gov/Archives/edgar/data/1060224/000156459020006451/0001564590-20-006451-index.html,https://www.sec.gov/Archives/edgar/data/944314/000156459021007648/0001564590-21-007648-index.htm,https://www.sec.gov/Archives/edgar/data/944314/000095017022002120/0000950170-22-002120-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,6700000,15659000,23119000,23540000,25585000,25707000,24189000,26301000,28423000,32004000,34790000,36610000,39214000,37399000,19916000,40642000,30592000,55128000,74126000,88531000,112524000,85225000,96365000,206590000,258699000,151571000,249317000
74,Depreciation and Amortization,1700000,4583000,7005000,10303000,13138000,14273000,15035000,17392000,18980000,19895000,22012000,26340000,34999000,35659000,35656000,34186000,36578000,41679000,45546000,51749000,58506000,117081000,127485000,102530000,107130000,122925000,147119000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2578000,1386000,1328000,496000,34000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1661000,302000,2793000,3295000,4900000,6523000,7397000,7163000,6042000,4192000,4559000,6604000
77,Change in Working Capital,-2400000,-47800000,-89800000,-12200000,-900000,-21000000,-3600000,118600000,68500000,-141200000,80900000,-110400000,-400020000,160859000,393749000,-7542000,-107921000,59630000,-6479000,-35729000,-186653000,118143000,24648000,16123000,91076000,6295995000,15393000
78,Accounts Receivable,- -,-300000,-400000,-1900000,-500000,-761000,330000,-574000,-276000,-68000,109000,-407000,223000,-171000,509000,-21000,-523000,-451000,-1659000,-606000,-1038000,4814000,-1862000,-529000,-4534000,-2915000,-2140000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-1200000,200000,800000,500000,1100000,33000,-775000,56000,2218000,1596000,1478000,1011000,6836000,619000,-1677000,2257000,7988000,4240000,1079000,5187000,5847000,18494000,10692000,-5528000,5295000,4787000,13888000
81,Other Working Capital,-11800000,-59600000,-149400000,-161600000,-162500000,-183500000,-187100000,-68500000,- -,-141200000,-60300000,-170700000,-570720000,-409861000,-16112000,-23654000,-131575000,-71945000,-78424000,-114153000,-300806000,-182663000,-158015000,-141892000,-50816000,6245179000,4483000
82,Other Non-Cash Items,1200000,47710000,90835000,12508000,2679000,20448000,5298000,-116683000,-63830000,143168000,-77468000,111983000,410884000,-156785000,-390178000,4724000,120759000,-60226000,4158000,36617000,195310000,-102296000,-4503000,-70373000,-183583000,-6276580000,15434000
83,Cash Provided by Operating Activities,7200000,20152000,31159000,34151000,40502000,39428000,40922000,45610000,52073000,53867000,60234000,64533000,85077000,77132000,59143000,73671000,80310000,99004000,120646000,146068000,186210000,225550000,248580000,262298000,278842000,298966000,433901000
84,CAPEX,-156800000,-57160000,-98970000,-153367000,-53090000,-23390000,-31483000,-97150000,-31164000,-83590000,-78566000,-130251000,-138059000,-64256000,-22261000,-56233000,-178508000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-8187000,-65629000,- -,-8181000,- -,-5183000,- -,- -,- -,-3813000,3123000,-28650000,-6151000,-6438000,-69911000,-7718000,-25659000,1625000,-75881000
86,Purchases of Investments,- -,- -,- -,- -,- -,-1370000,-102000,-15000,- -,- -,- -,- -,- -,-20287000,-331000,-80000,-13984000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,3000,5000,15000,38000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1200000,-1986000,205000,- -,2254000,-514000,13834000,-2079000,8077000,78227000,-605000,-38173000,-52218000,7015000,18144000,23708000,2200000,-172093000,-117468000,-306343000,-322538000,-1789631000,-86599000,-47982000,-276863000,-577620000,-1604853000
89,Cash Used for Investing Activites,-158000000,-59146000,-98765000,-153367000,-50836000,-25274000,-17751000,-99244000,-31271000,-70987000,-79156000,-176567000,-190267000,-82711000,-4448000,-32605000,-190292000,-175906000,-114345000,-334993000,-328689000,-1796069000,-156510000,-55700000,-302522000,-575995000,-1680734000
90,Debt Repayment,- -,- -,- -,-500000,-18000,-3030000,-33000,-50671000,-128000000,-40000000,-9000000,-184000000,-12000000,-210898000,-172042000,-27159000,-389042000,-95172000,-534997000,-202127000,-300134000,-1078197000,-649353000,-249764000,-431458000,-453169000,-459489000
91,Common Stock Issued,150500000,76973000,42273000,900000,6604000,2064000,6374000,22034000,42425000,49125000,21652000,148601000,13345000,10842000,146710000,842000,47001000,78943000,119522000,112676000,225701000,948129000,15677000,2976000,376000,295962000,1019357000
92,Common Stock Repurchased,- -,- -,- -,-1990000,-6454000,-7784000,-1809000,-5188000,-3950000,-35031000,- -,- -,- -,-55256000,-51133000,- -,- -,- -,- -,- -,- -,- -,-8234000,- -,- -,- -,-805000
93,Dividends Paid,-4000000,-16997000,-24787000,-26772000,-29138000,-30665000,-31337000,-34952000,-40568000,-43200000,-43896000,-46350000,-53061000,- -,-2006000,-49663000,-49900000,-53014000,-63279000,-90035000,-113039000,-156249000,-183711000,-185837000,-186571000,-202357000,-241200000
94,Other Financing Activites,5000000,-5027000,36000000,147995000,37388000,25650000,4096000,122591000,127329000,68943000,51972000,236602000,113186000,261367000,30000000,29970000,503478000,146079000,474722000,367430000,328440000,1873501000,719033000,230633000,648824000,673808000,1046633000
95,Cash Used/Provided by Financing Activities,151500000,54949000,53486000,119633000,8382000,-13765000,-22709000,53814000,-2764000,-163000,20728000,154853000,61470000,6055000,-48471000,-46010000,111537000,76836000,-4032000,187944000,140968000,1587184000,-106588000,-201992000,31171000,314244000,1364496000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,151500000,15955000,-14120000,417000,-1952000,389000,462000,180000,18038000,-16996000,1806000,42819000,-43720000,476000,6224000,-4944000,1555000,-66000,2269000,-981000,-1511000,16665000,-14518000,4606000,7491000,37215000,117663000
98,Cash at the End of Period,- -,16687000,2567000,2984000,1032000,1421000,1883000,2063000,20101000,3105000,4911000,47730000,4010000,4486000,10710000,5766000,7321000,7255000,9524000,8543000,7032000,23685000,9167000,14065000,21556000,58771000,176434000
99,Cash at the Beginning of Period,- -,732000,16687000,2567000,2984000,1032000,1421000,1883000,2063000,20101000,3105000,4911000,47730000,4010000,4486000,10710000,5766000,7321000,7255000,9524000,8543000,7020000,23685000,9459000,14065000,21556000,58771000
100,Free Cash Flow,-149600000,-37008000,-67811000,-119216000,-12588000,16038000,9439000,-51540000,20909000,-29723000,-18332000,-65718000,-52982000,12876000,36882000,17438000,-98198000,99004000,120646000,146068000,186210000,225550000,248580000,262298000,278842000,298966000,433901000
