,https://roic.ai/company/HT,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,568750,568750,568750,568750,629955,1153579,4097951,5073388,6779566,10179681,11296031,12756935,33057812,42188345,46853817,49597612,49777302,47786811,42957199,41423804,39383763,38907894,38613563,38613563
28,Weighted Average Shares Outstanding Diluted,568750,1592425,1678999,1824149,735714,2375137,4850409,5083795,6779566,10179681,11296031,12756935,33057812,42188345,46853817,50479544,50299327,48369658,43530731,42056431,39383763,38907894,38613563,38613563
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1063344/000091664100000428/0000916641-00-000428-index.html,- -,https://www.sec.gov/Archives/edgar/data/1063344/000101540202001076/0001015402-02-001076-index.html,https://www.sec.gov/Archives/edgar/data/1063344/000101540203001018/0001015402-03-001018-index.html,https://www.sec.gov/Archives/edgar/data/1063344/000101540204001181/0001015402-04-001181-index.html,https://www.sec.gov/Archives/edgar/data/1063344/000101540205001359/0001015402-05-001359-index.html,https://www.sec.gov/Archives/edgar/data/1063344/000114036106004309/0001140361-06-004309-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000114036107005830/0001140361-07-005830-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000114036108006663/0001140361-08-006663-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000114036109006280/0001140361-09-006280-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000114036110010140/0001140361-10-010140-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000114036111013950/0001140361-11-013950-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000114036112011617/0001140361-12-011617-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000114036113008942/0001140361-13-008942-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000106334414000005/0001063344-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000106334415000025/0001063344-15-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000106334416000102/0001063344-16-000102-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000106334417000015/0001063344-17-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000106334418000034/0001063344-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000106334419000019/0001063344-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000106334420000029/0001063344-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000106334421000035/0001063344-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000106334422000029/0001063344-22-000029-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,373000,124000,- -,167000,140000,40707000,20614000,8780000,10316000,12327000,15697000,11404000,65596000,51889000,69059000,36213000,21675000,27955000,185644000,17945000,32598000,27012000,16637000,72238000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,373000,124000,- -,167000,140000,40707000,20614000,8780000,10316000,12327000,15697000,11404000,65596000,51889000,69059000,36213000,21675000,27955000,185644000,17945000,32598000,27012000,16637000,72238000
34,Net Receivables,460000,2116000,2877000,2376000,2795000,18013000,15782000,6876000,9538000,12458000,96306000,9497000,14680000,47100000,52287000,21971000,16007000,15708000,27101000,27344000,13535000,17114000,8331000,10986000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1387000,2263000,3859000,3602000,2160000,2046000,11460000,22452000,25156000,3182000,16174000,17384000,- -,73196000,110363000,24824000,38638000,116683000,34208000,18880000,21252000,111443000,12707000
37,Total Current Assets,- -,3627000,5140000,6402000,6537000,60880000,38442000,27116000,42306000,49941000,115185000,37075000,97660000,98989000,194542000,168547000,62506000,82301000,329428000,79497000,65013000,65378000,136411000,95931000
38,PP&E,27164000,51900000,87671000,88100000,93814000,121076000,163923000,317980000,807784000,893297000,982082000,938954000,1245851000,1340876000,- -,- -,- -,- -,- -,- -,- -,45384000,44126000,43442000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,855000,1720000,1515000,1165000,1322000,- -,4681000,5594000,5619000,7300000,7542000,7934000,8013000,8698000,7603000,7316000,13389000,16944000,16388000,13644000,2137000,- -,- -
41,Intangible Assets,1348000,855000,1720000,1515000,1165000,1322000,- -,4681000,5594000,5619000,7300000,7542000,7934000,8013000,8698000,7603000,7316000,13389000,16944000,16388000,13644000,2137000,1739000,1335000
42,Investments,- -,- -,- -,- -,1130000,6576000,9069000,55981000,50234000,53399000,47831000,39182000,35561000,38839000,17555000,13592000,12698000,11864000,12989000,5117000,5552000,9994000,8181000,5580000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3355000,8766000,11448000,14590000,16197000,10934000,11078000,11390000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,-1130000,6714000,49587000,49597000,62290000,65351000,27057000,88291000,70271000,144192000,1483529000,1549589000,1761571000,1847628000,1779978000,2026400000,2043343000,1988145000,1790531000,1686856000
45,Total Non-Current Assets,- -,52755000,89391000,89615000,94979000,135688000,222579000,428239000,925902000,1017666000,1064270000,1073969000,1359617000,1531920000,1513137000,1579550000,1793033000,1887471000,1826108000,2058839000,2073617000,2057050000,1844577000,1737213000
46,Other Assets,29879000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,29879000,56382000,94531000,96017000,101516000,196568000,261021000,455355000,968208000,1067607000,1179455000,1111044000,1457277000,1630909000,1707679000,1748097000,1855539000,1969772000,2155536000,2138336000,2138630000,2122428000,1980988000,1833144000
48,Accounts Payable,- -,161000,3179000,2511000,1854000,10474000,5400000,6969000,14740000,17728000,17745000,16216000,28601000,31140000,33838000,40852000,54115000,59226000,65106000,58770000,70947000,47626000,58453000,43207000
49,Short-Term Debt,- -,18742000,11400000,- -,61538000,- -,1027000,- -,24000000,43700000,88421000,79200000,46000000,51000000,- -,- -,- -,27000000,- -,16100000,10000000,48000000,133053000,118684000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,6997000,18821000,28789000,-34792000,3826000,4707000,9936000,12282000,11713000,12592000,5062000,10744000,16840000,20024000,66605000,25112000,25304000,77478000,17115000,17129000,17058000,- -,7767000
53,Total Current Liabilities,- -,25900000,33400000,31300000,28600000,14300000,11134000,16905000,51022000,73141000,118758000,100478000,85345000,98980000,53862000,107457000,79227000,111530000,142584000,91985000,98076000,112684000,191506000,169658000
54,Long-Term Debt,- -,6284000,50050000,61535000,5106000,71837000,110819000,256521000,556542000,619308000,655360000,645351000,648720000,707374000,792708000,773501000,918923000,1150087000,1051899000,1076913000,1083031000,1080199000,1117233000,1052880000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,12416000,50000,-7035000,56394000,- -,447000,- -,- -,- -,- -,35625000,19894000,61758000,15321000,- -,- -,- -,81314000,81284000,2708000,57744000,- -,- -
58,Total Non-Current Liabilities,- -,18700000,50100000,54500000,61500000,71837000,111266000,256521000,556542000,619308000,655360000,680976000,668614000,769132000,808029000,773501000,918923000,1150087000,1133213000,1158197000,1085739000,1137943000,1117233000,1052880000
59,Other Liabilities,24765000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,447000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54548000,53852000,53691000
61,Total Liabilities,24765000,25597000,65838000,65371000,69880000,86137000,122400000,273426000,607564000,692449000,774118000,781454000,753959000,868112000,861891000,880958000,998150000,1261617000,1275797000,1250182000,1183815000,1250627000,1308739000,1222538000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,24000,24000,24000,24000,24000,24000,70000,70000,76000,76000,76000,147000,147000,147000,147000,147000,147000
63,Common Stock,- -,31000,23000,23000,26000,124000,203000,203000,405000,412000,483000,577000,1692000,1699000,1986000,2028000,1989000,444000,418000,399000,395000,387000,389000,394000
64,Retained Earnings,- -,-186000,-977000,-1781000,-2327000,-5160000,-15807000,-29079000,-50635000,-67135000,-114207000,-185725000,-236159000,-310974000,-348734000,-364568000,-365381000,-408274000,-364831000,-335373000,-267740000,-338695000,-509243000,-595454000
65,Other Comprehensive Income/Loss,-4835000,- -,- -,- -,- -,- -,33000,327000,233000,-23000,-109000,-160000,-338000,-1151000,-1786000,-376000,-358000,-466000,1373000,3749000,4227000,1010000,-19275000,-2747000
66,Other Total Stockholders Equity,9949000,30940000,29647000,32404000,13679000,76496000,135363000,193228000,381592000,397127000,463772000,487481000,918215000,1041027000,1178292000,1200798000,1193056000,1086259000,1198311000,1164946000,1155776000,1144808000,1150985000,1155034000
67,Total Stockholders Equity,5114000,30785000,28693000,30646000,11378000,71460000,119792000,164703000,331619000,330405000,349963000,302197000,683434000,730671000,829828000,837958000,829382000,678039000,835418000,833868000,892805000,807657000,623003000,557374000
68,Total Liabilities And Stockholders Equity,29879000,56382000,94531000,96017000,81258000,157597000,242192000,438129000,939183000,1022854000,1124081000,1083651000,1437393000,1598783000,1691719000,1718916000,1827532000,1939656000,2111215000,2084050000,2076620000,2058284000,1931742000,1779912000
69,Minority Interest,- -,- -,- -,- -,20258000,38971000,18829000,17226000,29025000,44753000,55374000,27393000,19884000,32126000,15960000,29181000,28007000,30116000,44321000,54286000,62010000,64144000,49246000,53232000
70,Total Liabilities & Equity,29879000,56382000,94531000,96017000,101516000,196568000,261021000,455355000,968208000,1067607000,1179455000,1111044000,1457277000,1630909000,1707679000,1748097000,1855539000,1969772000,2155536000,2138336000,2138630000,2122428000,1980988000,1833144000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1063344/000091664100000428/0000916641-00-000428-index.html,- -,https://www.sec.gov/Archives/edgar/data/1063344/000101540202001076/0001015402-02-001076-index.html,https://www.sec.gov/Archives/edgar/data/1063344/000101540203001018/0001015402-03-001018-index.html,https://www.sec.gov/Archives/edgar/data/1063344/000101540204001181/0001015402-04-001181-index.html,https://www.sec.gov/Archives/edgar/data/1063344/000101540205001359/0001015402-05-001359-index.html,https://www.sec.gov/Archives/edgar/data/1063344/000114036106004309/0001140361-06-004309-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000114036107005830/0001140361-07-005830-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000114036108006663/0001140361-08-006663-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000114036109006280/0001140361-09-006280-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000114036110010140/0001140361-10-010140-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000114036111013950/0001140361-11-013950-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000114036112011617/0001140361-12-011617-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000114036113008942/0001140361-13-008942-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000106334414000005/0001063344-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000106334415000025/0001063344-15-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000106334416000102/0001063344-16-000102-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000106334417000015/0001063344-17-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000106334418000034/0001063344-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000106334419000019/0001063344-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000106334420000029/0001063344-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000106334421000035/0001063344-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000106334422000029/0001063344-22-000029-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1948000,1338000,847000,834000,1292000,785000,2049000,3297000,5098000,17847000,-8808000,-49861000,-16357000,-25234000,22376000,49613000,67255000,41796000,116980000,99868000,9990000,-3669000,-166345000,-40173000
74,Depreciation and Amortization,1604000,2064000,3892000,4476000,4212000,4790000,7200000,11368000,21249000,36775000,43177000,46287000,54798000,59443000,59751000,64346000,70732000,75499000,76666000,85554000,91713000,98119000,100067000,83309000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3355000,-5500000,-2685000,-3141000,-4888000,5262000,-144000,-312000,11290000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,99000,339000,852000,1502000,2143000,6649000,7590000,9678000,9746000,6028000,6523000,8048000,9286000,11436000,10803000,9488000,12033000
77,Change in Working Capital,-1004000,-22273000,-5987000,3362000,2835000,68643000,-19272000,-17097000,-18927000,-14484000,19627000,-59830000,75718000,-12306000,140671000,-79590000,-77811000,-12508000,216073000,-199332000,-20575000,-14243000,-7789000,1602431000
78,Accounts Receivable,- -,-2500000,-1845000,62000,-962000,-223000,-1553000,-435000,-1731000,-2500000,420000,-312000,-1694000,-1358000,-235000,2419000,-350000,993000,1024000,-135000,1760000,1028000,3523000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,300000,230000,-288000,646000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2236000,6326000,-2373000,3888000,-1788000,-17155000,10719000,2280000,-10586000,- -
81,Other Working Capital,- -,-22273000,-28260000,-24898000,-22063000,46580000,27308000,10211000,-8716000,-23200000,-3573000,-63403000,12315000,9000,140680000,61090000,-16721000,-29229000,186844000,-12488000,-33063000,-47306000,-55095000,1547336000
82,Other Non-Cash Items,95000,21946000,6280000,-1844000,-362000,-69025000,22171000,17746000,19458000,18310000,-1604000,82793000,-74562000,29175000,-157365000,51646000,49375000,13648000,-326321000,107768000,22402000,12414000,-4176000,-1657600000
83,Cash Provided by Operating Activities,2643000,3075000,5032000,6828000,7977000,5193000,12148000,15413000,27217000,59300000,53894000,21532000,46246000,58668000,71756000,90261000,112894000,121817000,86558000,108406000,114822000,103112000,-57465000,- -
84,CAPEX,-3297000,-8149000,-14095000,-5086000,-5142000,-31943000,-54010000,-138017000,-406425000,-49442000,-82909000,-15453000,-296559000,-212714000,-28443000,-42854000,-38342000,-27366000,-33267000,-51916000,-65629000,-48936000,-26340000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6471000,-32120000,-32836000,-103017000,-148944000,-116126000,429221000,11624000,-1000000,-6100000,-1125000,- -
86,Purchases of Investments,-501000,-1000000,- -,- -,- -,-15000000,-13939000,-34059000,-52673000,-65700000,-64200000,-2000000,- -,-1570000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6456000,9024000,100000,13285000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,620000,-940000,-1878000,10530000,4997000,-11427000,-12923000,-22118000,34151000,52331000,6500000,-6630000,-21756000,-25204000,-22981000,-22457000,-31560000,-27783000,-279297000,-111218000,-16965000,-47466000,-390000,- -
89,Cash Used for Investing Activites,-3132000,-9149000,-14895000,5513000,-145000,-58370000,-78378000,-191236000,-413881000,-46027000,-114870000,-8921000,-314358000,-230758000,-55817000,-125474000,-180504000,-143909000,149924000,-99594000,-17965000,-53566000,-1515000,- -
90,Debt Repayment,- -,-11560000,-17016000,-17837000,-3857000,-42822000,-51621000,-178327000,-80222000,-20717000,-57421000,-48453000,-94979000,-8193000,-238478000,-54398000,-61348000,-184356000,-276859000,-128882000,-25711000,-57418000,-21026000,- -
91,Common Stock Issued,- -,11991000,- -,- -,1711000,77262000,38279000,- -,191015000,- -,61845000,21342000,420441000,- -,128558000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-1449000,-8951000,-30000,- -,- -,- -,- -,- -,- -,- -,-60000000,-15418000,-128239000,-167055000,-35178000,-10833000,-14195000,- -,- -
93,Dividends Paid,13000,-1114000,-1638000,-1638000,-1774000,-5506000,-13985000,-17407000,-25653000,-38359000,-42711000,-31462000,-30253000,-47132000,-58391000,-65075000,-64642000,-68397000,-64639000,-78805000,-68350000,-67933000,-16853000,- -
94,Other Financing Activites,155000,6881000,28393000,7301000,-3939000,66259000,82415000,359753000,303060000,47814000,102633000,41669000,27095000,186387000,196863000,181840000,194480000,409364000,429760000,66354000,23234000,86202000,83481000,- -
95,Cash Used/Provided by Financing Activities,168000,6198000,9739000,-12174000,-7859000,93744000,46137000,163989000,388200000,-11262000,64346000,-16904000,322304000,131062000,28552000,2367000,53072000,28372000,-78793000,-176511000,-81660000,-53344000,45602000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-321000,6198000,9739000,-12174000,-27000,40567000,-20093000,-11834000,1536000,2011000,3370000,-4293000,54192000,-41028000,44491000,-32846000,-14538000,6280000,157689000,-167699000,15197000,-3798000,-13378000,- -
98,Cash at the End of Period,373000,124000,- -,167000,140000,40707000,20614000,8780000,10316000,12327000,15697000,11404000,65596000,24568000,69059000,36213000,21675000,27955000,185644000,17945000,40783000,36985000,23607000,- -
99,Cash at the Beginning of Period,694000,- -,124000,- -,167000,140000,40707000,20614000,8780000,10316000,12327000,15697000,11404000,65596000,24568000,69059000,36213000,21675000,27955000,185644000,25586000,40783000,36985000,- -
100,Free Cash Flow,-654000,-5074000,-9063000,1742000,2835000,-26750000,-41862000,-122604000,-379208000,9858000,-29015000,6079000,-250313000,-154046000,43313000,47407000,74552000,94451000,53291000,56490000,49193000,54176000,-83805000,- -
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1063344/000091664100000428/0000916641-00-000428-index.html,- -,https://www.sec.gov/Archives/edgar/data/1063344/000101540202001076/0001015402-02-001076-index.html,https://www.sec.gov/Archives/edgar/data/1063344/000101540203001018/0001015402-03-001018-index.html,https://www.sec.gov/Archives/edgar/data/1063344/000101540204001181/0001015402-04-001181-index.html,https://www.sec.gov/Archives/edgar/data/1063344/000101540205001359/0001015402-05-001359-index.html,https://www.sec.gov/Archives/edgar/data/1063344/000114036106004309/0001140361-06-004309-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000114036107005830/0001140361-07-005830-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000114036108006663/0001140361-08-006663-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000114036109006280/0001140361-09-006280-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000114036110010140/0001140361-10-010140-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000114036111013950/0001140361-11-013950-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000114036112011617/0001140361-12-011617-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000114036113008942/0001140361-13-008942-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000106334414000005/0001063344-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000106334415000025/0001063344-15-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000106334416000102/0001063344-16-000102-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000106334417000015/0001063344-17-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000106334418000034/0001063344-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000106334419000019/0001063344-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000106334420000029/0001063344-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000106334421000035/0001063344-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1063344/000106334422000029/0001063344-22-000029-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
