,https://roic.ai/company/BGFV,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,- -,42650000,45100000,48200000,- -,63800000,88159000,93200000,94200000,- -,81800000,81300000,72100000,75600000,78440000,- -,82036000,77265000,76488000,331002000,- -,335852000
39,Goodwill,- -,4433000,4400000,4400000,- -,4400000,4433000,4400000,4400000,- -,4400000,4400000,4400000,4400000,4433000,- -,4433000,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,2600000,1900000,- -,600000,- -,1000000,1200000,- -,1100000,2300000,3400000,3300000,2257000,- -,2228000,- -,3457000,3315000,- -,- -
41,Intangible Assets,- -,4433000,7000000,6300000,- -,5000000,4433000,5400000,5600000,- -,5500000,6700000,7800000,7700000,6690000,- -,6661000,- -,3457000,3315000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,12353000,- -,2700000,- -,- -,7795000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14172000,- -,- -,- -,13831000
44,Other Non-Current Assets,- -,11849000,15500000,1300000,- -,6500000,1107000,12900000,13400000,- -,11300000,12500000,14800000,13600000,12792000,- -,23402000,2732000,14543000,13619000,- -,2914000
45,Total Non-Current Assets,- -,71285000,67600000,58500000,- -,75300000,101494000,111500000,113200000,- -,98600000,100500000,94700000,96900000,97922000,- -,112099000,94169000,94488000,347936000,- -,352597000
46,Other Assets,260919000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,260919000,252528000,258000000,281700000,- -,312700000,364099000,403900000,388400000,- -,366100000,392400000,406700000,441900000,455576000,- -,445029000,445060000,419561000,688800000,- -,699994000
48,Accounts Payable,- -,62308000,67900000,89700000,- -,98300000,96128000,95300000,88100000,- -,85700000,94800000,92700000,104800000,92369000,- -,89961000,113740000,80613000,83655000,- -,80882000
49,Short-Term Debt,- -,- -,- -,- -,- -,6667000,1995000,1649000,1942000,- -,1904000,1925000,1720000,1567000,1197000,- -,1435000,1754000,2322000,74220000,- -,75826000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10214000,10110000,10432000,- -,11307000,9674000,10198000,9607000,- -,11609000
51,Deferred Revenue,- -,- -,9658000,9628000,- -,15525000,- -,10070000,8333000,- -,7723000,9447000,9905000,13564000,11025000,- -,11100000,- -,14543000,13619000,- -,- -
52,Other Current Liabilities,- -,52643000,40042000,41872000,- -,44408000,62933000,52381000,47525000,- -,51573000,54928000,57675000,56369000,59374000,- -,58424000,68226000,53116000,51316000,- -,82877000
53,Total Current Liabilities,- -,114951000,117600000,141200000,- -,164900000,161056000,159400000,145900000,- -,146900000,161100000,162000000,176300000,163965000,- -,160920000,183720000,150594000,222810000,- -,239585000
54,Long-Term Debt,- -,153351000,125100000,99700000,- -,78100000,77086000,105600000,99400000,- -,57200000,49900000,50300000,44600000,67467000,- -,57238000,45000000,69823000,71346000,- -,220292000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21386000,21078000,20736000,- -,19516000,- -,14615000,-9200000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9905000,12000000,11025000,- -,11100000,- -,4823000,2094000,- -,- -
57,Other Non-Current Liabilities,- -,66702000,11600000,18700000,- -,15400000,25497000,29800000,31300000,- -,30200000,30600000,-1391000,-2878000,-2621000,- -,-2576000,29271000,4845000,221378000,- -,7479000
58,Total Non-Current Liabilities,- -,220053000,136700000,118400000,- -,93500000,102583000,135400000,130700000,- -,87400000,80500000,80200000,74800000,96607000,- -,85278000,74271000,94106000,285618000,- -,227771000
59,Other Liabilities,355247000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,2992000,2279000,2948000,- -,4182000,3494000,4575000,3162000,2352000,- -,3827000,4554000,7145000,285813000,- -,296118000
61,Total Liabilities,355247000,335004000,254300000,259600000,- -,258400000,263639000,294800000,276600000,- -,234300000,241600000,242200000,251100000,260572000,- -,246198000,257991000,244700000,508428000,- -,467356000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,156000,200000,200000,- -,200000,228000,200000,200000,- -,200000,200000,200000,200000,245000,- -,246000,249000,250000,252000,- -,255000
64,Retained Earnings,- -,-89690000,-80600000,-62100000,- -,-30200000,14126000,34100000,40200000,- -,57700000,73900000,87500000,106600000,112521000,- -,118998000,112424000,98787000,102593000,- -,153073000
65,Other Comprehensive Income/Loss,- -,-40446000,-47900000,-59200000,- -,-70500000,-92236000,-108800000,-121600000,- -,-136200000,-152200000,-178600000,-195900000,-195910000,- -,- -,-256005000,-268544000,-279796000,- -,- -
66,Other Total Stockholders Equity,- -,47504000,131974000,151064000,- -,154776000,178342000,183655000,193000000,- -,210161000,228826000,255320000,279870000,278148000,- -,79587000,330401000,344368000,357323000,- -,79310000
67,Total Stockholders Equity,-94328000,-82476000,3674000,29964000,- -,54276000,100460000,109155000,111800000,- -,131861000,150726000,164420000,190770000,195004000,- -,198831000,187069000,174861000,180372000,- -,232638000
68,Total Liabilities And Stockholders Equity,260919000,252528000,257974000,289564000,- -,312676000,364099000,403955000,388400000,- -,366161000,392326000,406620000,441870000,455576000,- -,445029000,445060000,419561000,688800000,- -,699994000
69,Minority Interest,- -,- -,26000,-7864000,- -,24000,- -,-55000,- -,- -,-61000,74000,80000,30000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,260919000,252528000,258000000,281700000,- -,312700000,364099000,403900000,388400000,- -,366100000,392400000,406700000,441900000,455576000,- -,445029000,445060000,419561000,688800000,- -,699994000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1156388/000095014803000695/0000950148-03-000695-index.html,https://www.sec.gov/Archives/edgar/data/1156388/000095014804000571/v97156e10vk.htm,undefined,https://www.sec.gov/Archives/edgar/data/1156388/000095012905008997/v12151e10vk.htm,https://www.sec.gov/Archives/edgar/data/1156388/000095012407001402/v28025e10vk.htm,https://www.sec.gov/Archives/edgar/data/1156388/000095012408001136/v38524e10vk.htm,https://www.sec.gov/Archives/edgar/data/1156388/000095014809000026/0000950148-09-000026-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1156388/000095012310020032/0000950123-10-020032-index.html,https://www.sec.gov/Archives/edgar/data/1156388/000095012311021261/v58809e10vk.htm,https://www.sec.gov/Archives/edgar/data/1156388/000119312513080292/0001193125-13-080292-index.html,https://www.sec.gov/Archives/edgar/data/1156388/000119312514069244/d638381d10k.htm,https://www.sec.gov/Archives/edgar/data/1156388/000119312515062119/d825540d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1156388/000156459016013854/0001564590-16-013854-index.html,https://www.sec.gov/Archives/edgar/data/1156388/000156459018003743/0001564590-18-003743-index.html,https://www.sec.gov/Archives/edgar/data/1156388/000156459019004817/0001564590-19-004817-index.html,https://www.sec.gov/Archives/edgar/data/1156388/000156459020006672/0001564590-20-006672-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1156388/000156459021010511/0001564590-21-010511-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,10301000,14965000,17300000,23400000,- -,242600000,30835000,28100000,13900000,- -,21800000,20600000,14900000,27900000,14876000,- -,15297000,1104000,-3531000,8445000,- -,55940000
74,Depreciation and Amortization,9464000,13963000,12257000,11006000,- -,12707000,17266000,17736000,19187000,- -,19400000,18627000,18895000,20192000,21505000,- -,21410000,19222000,19538000,19537000,- -,18450000
75,Deferred Income Tax,- -,806000,4050000,30000,- -,-1311000,-2944000,-3691000,-865000,- -,2684000,-2793000,-3054000,-864000,1747000,- -,415000,9527000,-578000,1046000,- -,-212000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2139000,1727000,1736000,1877000,1924000,- -,2235000,2301000,2192000,1926000,- -,1714000
77,Change in Working Capital,- -,66292000,6508000,9200000,- -,-9500000,8449000,31451000,-3700000,- -,-8700000,10200000,-6900000,18700000,24989000,- -,-21679000,30199000,7308000,-56425000,- -,-10242000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3213000,-1602000,-2441000,-1004000,621000,- -,1500000,1314000,2535000,1334000,- -,-6193000
79,Inventory,- -,5301000,-5849000,-10026000,- -,-21095000,-5449000,-23707000,19672000,- -,2051000,-23306000,-6072000,-30602000,-9136000,- -,10642000,-19586000,18525000,-15202000,- -,58135000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1564000,10070000,12853000,4234000,-349000,- -,-7368000,-3903000,-16930000,1050000,- -,9243000
81,Other Working Capital,- -,66292000,72800000,82000000,- -,72500000,101549000,133000000,129300000,- -,120600000,130800000,150000000,168700000,193689000,- -,172010000,167171000,174479000,118054000,- -,107812000
82,Other Non-Cash Items,-19765000,-64505000,-8000000,-10957000,- -,-205350000,-11140000,-48932000,10981000,- -,16764000,-18494000,14027000,-41518000,-36506000,- -,21967000,-66737000,-410000,39751000,- -,83093000
83,Cash Provided by Operating Activities,- -,31521000,32115000,32679000,- -,39146000,42466000,24664000,39503000,- -,54087000,29867000,39604000,26287000,28535000,- -,39645000,-4384000,24519000,14280000,- -,148743000
84,CAPEX,-11787000,-10510000,-10207000,-10482000,- -,-21445000,-16471000,-20769000,-20447000,- -,-5764000,-15628000,-12901000,-22035000,-22565000,- -,-24567000,-16462000,-15460000,-9363000,- -,-7347000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,223000,- -,47000,- -,- -,4000,251000,- -,100000,- -,- -,- -,- -,167000,- -,1987000
89,Cash Used for Investing Activites,- -,-10510000,-10207000,-10482000,- -,-21445000,-16248000,-20769000,-20400000,- -,-5764000,-15624000,-12650000,-22035000,-22465000,- -,-24567000,-16462000,-15460000,-9196000,- -,-5360000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47742000,-119617000,-229654000,-254513000,-194394000,- -,-215283000,-219142000,-193467000,-206076000,- -,-206713000
91,Common Stock Issued,- -,- -,86314000,- -,- -,228000,- -,503000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-1000,-77219000,- -,- -,- -,-1279000,-14211000,-5305000,- -,- -,- -,-3518000,-75000,-2529000,- -,-4180000,-7728000,-428000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-1587000,-7717000,-8080000,-7781000,- -,-4295000,-4326000,-6474000,-8791000,-8888000,- -,-8808000,-12985000,-10660000,-4398000,- -,-5470000
94,Other Financing Activites,- -,-16898000,-29427000,-22608000,- -,-18626000,-18131000,22489000,-6700000,- -,421000,109555000,215427000,260892000,201844000,- -,208809000,259976000,195091000,206848000,- -,125231000
95,Cash Used/Provided by Financing Activities,- -,-16899000,-20332000,-22608000,- -,-19985000,-27127000,701000,-19786000,- -,-51616000,-14388000,-24219000,-2487000,-3967000,- -,-19462000,20121000,-9464000,-3626000,- -,-86952000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,4112000,1576000,-411000,- -,-2284000,-909000,4596000,-683000,- -,-3293000,-145000,2735000,1765000,2103000,- -,-4384000,-725000,-405000,1458000,- -,56431000
98,Cash at the End of Period,- -,7865000,9441000,9030000,- -,6746000,5145000,9741000,9058000,- -,5765000,5620000,7635000,9400000,11503000,- -,7119000,7170000,6765000,8223000,- -,64654000
99,Cash at the Beginning of Period,- -,3753000,7865000,9441000,- -,9030000,6054000,5145000,9741000,- -,9058000,5765000,4900000,7635000,9400000,- -,11503000,7895000,7170000,6765000,- -,8223000
100,Free Cash Flow,- -,21011000,21908000,22197000,- -,17701000,25995000,3895000,19056000,- -,48323000,14239000,26703000,4252000,5970000,- -,15078000,-20846000,9059000,4917000,- -,141396000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1156388/000095014803000695/0000950148-03-000695-index.html,https://www.sec.gov/Archives/edgar/data/1156388/000095014804000571/v97156e10vk.htm,undefined,https://www.sec.gov/Archives/edgar/data/1156388/000095012905008997/v12151e10vk.htm,https://www.sec.gov/Archives/edgar/data/1156388/000095012407001402/v28025e10vk.htm,https://www.sec.gov/Archives/edgar/data/1156388/000095012408001136/v38524e10vk.htm,https://www.sec.gov/Archives/edgar/data/1156388/000095014809000026/0000950148-09-000026-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1156388/000095012310020032/0000950123-10-020032-index.html,https://www.sec.gov/Archives/edgar/data/1156388/000095012311021261/v58809e10vk.htm,https://www.sec.gov/Archives/edgar/data/1156388/000119312513080292/0001193125-13-080292-index.html,https://www.sec.gov/Archives/edgar/data/1156388/000119312514069244/d638381d10k.htm,https://www.sec.gov/Archives/edgar/data/1156388/000119312515062119/d825540d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1156388/000156459016013854/0001564590-16-013854-index.html,https://www.sec.gov/Archives/edgar/data/1156388/000156459018003743/0001564590-18-003743-index.html,https://www.sec.gov/Archives/edgar/data/1156388/000156459019004817/0001564590-19-004817-index.html,https://www.sec.gov/Archives/edgar/data/1156388/000156459020006672/0001564590-20-006672-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1156388/000156459021010511/0001564590-21-010511-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
