,https://roic.ai/company/WLL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1255474/000089706905000552/0000897069-05-000552-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000095013406003950/0000950134-06-003950-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000095013407004406/0000950134-07-004406-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547408000004/0001255474-08-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547409000003/0001255474-09-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547410000002/0001255474-10-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547411000004/0001255474-11-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547412000005/0001255474-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547413000005/0001255474-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547414000005/0001255474-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547415000004/0001255474-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547416000024/0001255474-16-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547417000005/0001255474-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547418000008/0001255474-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547419000009/0001255474-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547420000007/0001255474-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547421000009/0001255474-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547422000008/0001255474-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,4833281,53585000,1660000,10382000,10372000,14778000,9624000,11960000,18952000,15811000,44800000,699460000,78100000,16053000,55975000,879379000,13607000,8652000,25607000,41245000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,4833281,53585000,1660000,10382000,10372000,14778000,9624000,11960000,18952000,15811000,44800000,699460000,78100000,16053000,55975000,879379000,13607000,8652000,25607000,41245000
34,Net Receivables,- -,- -,30670108,24020000,63489000,101066000,97831000,110437000,122833000,152082000,199713000,262515000,318265000,341177000,543172000,332428000,173919000,284214000,294468000,308249000,142830000,279865000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,3542400,2666000,12934000,23026000,13509000,36952000,84617000,11983000,14878000,20377000,21347000,28981000,221727000,186709000,392708000,26035000,90351000,14082000,21984000,17158000
37,Total Current Assets,- -,- -,39045789,80271000,78083000,134474000,121712000,162167000,217074000,176025000,233543000,298703000,384412000,1069618000,842999000,535190000,622602000,1189628000,398426000,330983000,190421000,338268000
38,PP&E,- -,- -,404597107,427291000,992022000,2062858000,2432661000,2759696000,3734667000,3798106000,4355223000,5638740000,6763533000,7595045000,12142712000,10749700000,9143418000,7183439000,7326362000,7255457000,1812796000,2082295000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,875676000,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,875676000,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,18735000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,4825232,9988000,22101000,37864000,31030000,30148000,77340000,55411000,60011000,108166000,124474000,168807000,158117000,104195000,110122000,29967000,34785000,50281000,40723000,37368000
45,Total Non-Current Assets,- -,- -,409422339,456014000,1014123000,2100722000,2463691000,2789844000,3812007000,3853517000,4415234000,5746906000,6888007000,7763852000,13176505000,10853895000,9253540000,7213406000,7361147000,7305738000,1853519000,2119663000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,448468128,536285000,1092206000,2235196000,2585403000,2952011000,4029081000,4029542000,4648777000,6045609000,7272419000,8833470000,14019504000,11389085000,9876142000,8403034000,7759573000,7636721000,2043940000,2457931000
48,Accounts Payable,- -,- -,8474201,15918000,21865000,68033000,21077000,19280000,64610000,14023000,35016000,56673000,131370000,107692000,62664000,77276000,32126000,32761000,42520000,80100000,23697000,48641000
49,Short-Term Debt,- -,- -,- -,- -,3167000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55291000,45015000,995578000,37499000,38262000,23457000,32408000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,20038000,21188000,30291000,31195000,33283000,50052000,63822000,47789000,39547000,28771000,31357000,26844000,11997000,18864000
51,Deferred Revenue,- -,- -,4258922,- -,- -,- -,- -,- -,14650000,12966000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,6925194,13093000,27062000,100481000,121965000,235384000,271908000,255743000,424189000,510361000,505609000,669993000,1145852000,467246000,401190000,524989000,456912000,432052000,274840000,556684000
53,Total Current Liabilities,- -,- -,19658317,29011000,52094000,168514000,143042000,254664000,351168000,282732000,459205000,567034000,636979000,777685000,1208516000,599813000,478331000,1553328000,536931000,550414000,321994000,637733000
54,Long-Term Debt,- -,- -,265471716,188017000,325261000,875098000,995396000,868248000,1239751000,779585000,800000000,1380000000,1800000000,2653834000,5628782000,5197704000,3535303000,2764716000,2792321000,2799885000,360000000,14710000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,73216000,58462000,41460000,29619000,110395000,79065000,60305000,48974000,35424000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,28234768,- -,34281000,91577000,165031000,242964000,390902000,341037000,539071000,823643000,1063681000,1278030000,1230630000,593792000,475689000,- -,1373000,73593000,- -,- -
57,Other Non-Current Liabilities,- -,- -,12285398,59679000,68184000,102145000,95264000,95309000,165253000,297641000,277726000,216182000,208192000,208157000,188227000,190214000,202203000,165848000,158632000,187858000,133142000,141863000
58,Total Non-Current Liabilities,- -,- -,305991882,247696000,427726000,1068820000,1255691000,1206521000,1869122000,1476725000,1658257000,2449444000,3182268000,4219086000,7107944000,6030684000,4248619000,2930564000,2952326000,3061336000,493142000,156573000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55291000,45015000,36865000,37499000,69984000,40872000,47118000
61,Total Liabilities,- -,- -,325650199,276707000,479820000,1237334000,1398733000,1461185000,2220290000,1759457000,2117462000,3016478000,3819247000,4996771000,8316460000,6630497000,4726950000,4483892000,3489257000,3611750000,815136000,794306000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1000,19000,30000,37000,37000,42000,43000,51000,59000,118000,119000,120000,168000,206000,367000,92000,92000,92000,38000,39000
64,Retained Earnings,- -,- -,71130150,89415000,159461000,281383000,437747000,568024000,820167000,702983000,975666000,1466276000,1879388000,2244905000,2309712000,90530000,-1248572000,-2486440000,-2143946000,-2385112000,39073000,466979000
65,Other Comprehensive Income/Loss,- -,- -,-1550000,-223000,-2740000,-36651000,-5902000,-46116000,17271000,20413000,5768000,240000,-1236000,- -,-3083572000,-3323102000,-4222071000,-4244735000,-5003509000,-5735239000,- -,- -
66,Other Total Stockholders Equity,- -,- -,53236779,170367000,455635000,753093000,754788000,968876000,971310000,1546635000,1549822000,1554223000,1566717000,1583542000,6468666000,7982970000,10611506000,10650225000,11417679000,12145230000,1189693000,- -
67,Total Stockholders Equity,- -,- -,122817929,259578000,612386000,997862000,1186670000,1490826000,1808791000,2270085000,2531315000,3020857000,3444988000,3828567000,5694974000,4750604000,5141230000,3919142000,4270316000,4024971000,1228804000,1663625000
68,Total Liabilities And Stockholders Equity,- -,- -,448468128,536285000,1092206000,2235196000,2585403000,2952011000,4029081000,4029542000,4648777000,6037335000,7264235000,8825338000,14011434000,11381101000,9868180000,8403034000,7759573000,7636721000,2043940000,2457931000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8274000,8184000,8132000,8070000,7984000,7962000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,448468128,536285000,1092206000,2235196000,2585403000,2952011000,4029081000,4029542000,4648777000,6045609000,7272419000,8833470000,14019504000,11389085000,9876142000,8403034000,7759573000,7636721000,2043940000,2457931000
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1255474/000089706905000552/0000897069-05-000552-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000095013406003950/0000950134-06-003950-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000095013407004406/0000950134-07-004406-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547408000004/0001255474-08-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547409000003/0001255474-09-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547410000002/0001255474-10-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547411000004/0001255474-11-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547412000005/0001255474-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547413000005/0001255474-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547414000005/0001255474-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547415000004/0001255474-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547416000024/0001255474-16-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547417000005/0001255474-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547418000008/0001255474-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547419000009/0001255474-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547420000007/0001255474-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547421000009/0001255474-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547422000008/0001255474-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,33700000,41200000,7728610,18285000,70046000,121922000,156364000,130600000,252143000,-106882000,336653000,491687000,414189000,366055000,64807000,-2219182000,-1339102000,-1237648000,342494000,-241166000,39073000,427906000
74,Depreciation and Amortization,- -,- -,43672687,42347000,56056000,104576000,168039000,197833000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77502000,- -
75,Deferred Income Tax,- -,- -,10631274,11560000,40077000,65662000,64562000,76012000,154316000,-56189000,199811000,284838000,248581000,204882000,76545000,-773870000,-80456000,-475688000,1373000,72220000,-14501000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,4177000,7650000,8871000,13509000,18190000,22436000,23258000,28098000,25647000,21641000,12669000,7721000,515000,10745000
77,Change in Working Capital,- -,- -,19387472,31872528,-25271000,-60029000,12710000,-71167000,-41597000,27387000,-118955000,-42669000,15764000,544500000,-657450000,300894000,208894000,-507971000,225195000,-80926000,87858000,-10508000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-12396000,-27336000,-47631000,-62802000,-55750000,-22912000,17618000,207367000,155416000,-110879000,-11571000,-24343000,-7100000,-140102000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58647000,33360000,-86480000,-117136000,-62774000,-24953000,11368000,40117000,-42922000,17096000
81,Other Working Capital,- -,- -,19387472,51260000,25989000,-34040000,-21330000,-92497000,-134094000,-106707000,-225662000,-268331000,-252567000,291933000,-365517000,-64623000,144271000,-363700000,-138505000,-219431000,-131573000,- -
82,Other Non-Cash Items,8600000,21100000,-18839360,-7702528,-5361000,98303000,9534000,60754000,393990000,563646000,570909000,444718000,704491000,606872000,2308142000,3715452000,1780027000,2776775000,510272000,998111000,-108279000,312100000
83,Cash Provided by Operating Activities,42300000,62300000,62580683,96362000,135547000,330434000,411209000,394032000,763029000,435612000,997289000,1192083000,1401215000,1744745000,1815302000,1051392000,595010000,577109000,1092003000,755960000,82168000,740243000
84,CAPEX,-139100000,- -,-165442636,-47555000,-532038000,-1096495000,-551969000,-497988000,-1330853000,-585797000,-923776000,-1804312000,-2171459000,-2818046000,-2968365000,-2496933000,-553181000,-856577000,-957800000,-805847000,-2486000,-540924000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-21568000,193692000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44900000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,5420000,- -,- -,- -,764000,- -,- -,- -,322257000,2371000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,7968309,-4453000,744000,-30433000,24390000,52585000,1450000,80462000,9202000,44276000,68884000,958076000,107848000,514814000,330605000,929974000,4746000,72000000,-33621000,-53709000
89,Cash Used for Investing Activites,- -,- -,-157474327,-52008000,-525874000,-1126928000,-527579000,-466971000,-1134947000,-505335000,-914574000,-1760036000,-1780318000,-1902499000,-2860517000,-1982119000,-222576000,73397000,-953054000,-733847000,-36107000,-360196000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-738236000,-952701000,-1485603000,-1181871000,-1920000000,-3313988000,-1675000000,-5739929000,-1601919000,-2725121000,-3204288000,-2672419000,-1773000,-2195020000
91,Common Stock Issued,- -,- -,- -,- -,239686000,277117000,- -,210394000,- -,234753000,- -,- -,- -,- -,- -,1111148000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47529000,- -,-5695000,-5611000,-11652000,-1126000,-844000,-6081000,-4744000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10302000,-16441000,-1077000,-1077000,-538000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,23900000,98709947,4398000,98716000,528099000,116360000,-133049000,1105000000,800309000,1473850000,1747760000,2334864000,4132551000,2110507000,5498587000,1287501000,2886850000,2204311000,2645351000,-65328000,1827851000
95,Cash Used/Provided by Financing Activities,- -,23900000,98709947,4398000,338402000,805216000,116360000,77345000,366764000,72059000,-75723000,564812000,408092000,812414000,423855000,868680000,-315262000,155648000,-1004721000,-27068000,-67101000,-367169000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,23900000,3816303,48752000,-51925000,8722000,-10000,4406000,-5154000,2336000,6992000,-3141000,28989000,654660000,-621360000,-62047000,57172000,806154000,-865772000,-4955000,- -,12878000
98,Cash at the End of Period,- -,- -,4833281,53585000,1660000,10382000,10372000,14778000,9624000,11960000,18952000,15811000,44800000,699460000,78100000,16053000,73225000,879379000,13607000,8652000,- -,41245000
99,Cash at the Beginning of Period,- -,- -,1016978,4833000,53585000,1660000,10382000,10372000,14778000,9624000,11960000,18952000,15811000,44800000,699460000,78100000,16053000,73225000,879379000,13607000,- -,28367000
100,Free Cash Flow,-96800000,62300000,-102861953,48807000,-396491000,-766061000,-140760000,-103956000,-567824000,-150185000,73513000,-612229000,-770244000,-1073301000,-1153063000,-1445541000,41829000,-279468000,134203000,-49887000,79682000,199319000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1255474/000089706905000552/0000897069-05-000552-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000095013406003950/0000950134-06-003950-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000095013407004406/0000950134-07-004406-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547408000004/0001255474-08-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547409000003/0001255474-09-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547410000002/0001255474-10-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547411000004/0001255474-11-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547412000005/0001255474-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547413000005/0001255474-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547414000005/0001255474-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547415000004/0001255474-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547416000024/0001255474-16-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547417000005/0001255474-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547418000008/0001255474-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547419000009/0001255474-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547420000007/0001255474-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547421000009/0001255474-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1255474/000125547422000008/0001255474-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
