,https://roic.ai/company/ORCL,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,46500000,108200000,180000000,382900000,664700000,814300000,849000000,1018300000,1186600000,1685900000,2171465000,2834085000,3459005000,3890223000,4107289000,4286541000,3696000000,3693000000,3975000000,4771000000,6187000000,7672000000,9440000000,9903000000,11218000000,14496000000,15206000000,15635000000,16056000000,16405000000,16464000000,16983000000,17431000000,17489000000,16928000000,16971000000
11,COGS and Expenses,44500000,102900000,218300000,460700000,781000000,1010000000,1064800000,1261800000,1581200000,2317100000,3267478000,4384551000,5732612000,6954371000,7049968000,7082581000,6102000000,6035000000,6292000000,7422000000,9422000000,11863000000,14421000000,14697000000,16982000000,22894000000,23064000000,22748000000,23292000000,23937000000,23943000000,24452000000,25512000000,25484000000,24866000000,24826000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163000000,231000000,237000000,263000000,349000000,538000000,802000000,1201000000,1092000000,527000000,101000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,630000000,754000000,808000000,766000000,797000000,914000000,1143000000,1467000000,1798000000,2025000000,2082000000,1995000000,2496000000
14,Depreciation and Amortization,2000000,5300000,13000000,23200000,44100000,70700000,65800000,79200000,104600000,147800000,219494000,264773000,328563000,375384000,390925000,346896000,363000000,327000000,234000000,425000000,855000000,1127000000,1480000000,1976000000,2271000000,2796000000,2916000000,2931000000,2908000000,2861000000,2509000000,2451000000,2785000000,2919000000,2968000000,2916000000
15,EBITDA,12500000,33200000,78000000,143500000,216800000,57500000,161900000,253700000,528000000,806800000,1139004000,1548300000,1656382000,2357462000,10514359000,4318126000,3771000000,3752000000,4179000000,4476000000,5665000000,7113000000,9314000000,10440000000,11268000000,15015000000,16644000000,17626000000,17526000000,16838000000,15418000000,15766000000,17701000000,17269000000,17026000000,18411000000
16,EBITDA ratio,0.2256,0.2529,0.2765,0.2458,0.2233,0.0559,0.1374,0.1688,0.2639,0.2719,0.2697,0.2724,0.2319,0.2671,1.0379,0.3976,0.3898,0.3960,0.4115,0.3794,0.3939,0.3953,0.4152,0.4490,0.4201,0.4215,0.4484,0.4741,0.4579,0.4405,0.4162,0.4179,0.4444,0.4371,0.4358,0.4548
17,Operating Income,10900000,28400000,63800000,123000000,189800000,17900000,113700000,241000000,419900000,649800000,904891000,1262985000,1244200000,1872881000,3080160000,3777091000,3571000000,3440000000,3864000000,4022000000,4736000000,5974000000,7844000000,8321000000,9062000000,12033000000,13706000000,14684000000,14759000000,13871000000,12604000000,12710000000,13679000000,13535000000,13896000000,15213000000
18,Operating Income ratio,0.1968,0.2163,0.2262,0.2107,0.1955,0.0174,0.0965,0.1604,0.2098,0.2190,0.2143,0.2222,0.1742,0.2122,0.3041,0.3478,0.3692,0.3631,0.3805,0.3409,0.3293,0.3320,0.3497,0.3579,0.3379,0.3378,0.3692,0.3949,0.3856,0.3629,0.3402,0.3369,0.3434,0.3426,0.3557,0.3758
19,Total Other Income Expenses (Gains),-400000,-500000,1200000,-2700000,-17100000,-31100000,-17600000,-23000000,3500000,9200000,14619000,20542000,83619000,109197000,7043274000,194139000,-163000000,-15000000,81000000,29000000,74000000,12000000,-10000000,-487000000,-819000000,-622000000,-744000000,-786000000,-1055000000,-1037000000,-1162000000,-1193000000,-788000000,-1267000000,-1833000000,-2214000000
20,Income Before Tax,10500000,27900000,65000000,120300000,172700000,-13200000,96100000,218000000,423400000,659000000,919510000,1283527000,1327819000,1982078000,10123434000,3971230000,3408000000,3425000000,3945000000,4051000000,4810000000,5986000000,7834000000,7834000000,8243000000,11411000000,12962000000,13898000000,13704000000,12834000000,11442000000,11517000000,12891000000,12268000000,12063000000,12999000000
21,Income Before Tax Ratio,0.1895,0.2125,0.2304,0.2061,0.1779,-0.0128,0.0815,0.1451,0.2116,0.2221,0.2177,0.2258,0.1859,0.2245,0.9993,0.3657,0.3523,0.3615,0.3884,0.3433,0.3345,0.3326,0.3493,0.3369,0.3073,0.3203,0.3492,0.3738,0.3580,0.3357,0.3089,0.3053,0.3236,0.3105,0.3088,0.3211
22,Income Tax expense (Gain),4600000,12300000,22100000,38500000,55300000,-800000,34600000,76300000,139700000,217500000,316231000,462070000,514124000,692320000,3826631000,1410134000,1184000000,1118000000,1264000000,1165000000,1429000000,1712000000,2313000000,2241000000,2108000000,2864000000,2981000000,2973000000,2749000000,2896000000,2541000000,2182000000,9066000000,1185000000,1928000000,-747000000
23,Net Income,5900000,15600000,42900000,81800000,117400000,-12400000,61500000,98200000,283700000,441500000,603279000,821457000,813695000,1289758000,6296803000,2561096000,2224000000,2307000000,2681000000,2886000000,3381000000,4274000000,5521000000,5593000000,6135000000,8547000000,9981000000,10925000000,10955000000,9938000000,8901000000,9335000000,3825000000,11083000000,10135000000,13746000000
24,Net Income ratio,0.1065,0.1188,0.1521,0.1401,0.1209,-0.0121,0.0522,0.0653,0.1418,0.1488,0.1428,0.1445,0.1139,0.1461,0.6216,0.2358,0.2299,0.2435,0.2640,0.2446,0.2351,0.2375,0.2461,0.2405,0.2287,0.2399,0.2689,0.2938,0.2862,0.2600,0.2403,0.2474,0.0960,0.2805,0.2594,0.3396
25,EPS,0.01,0.01,0.01,0.02,0.03,-0.01,0.02,0.02,0.05,0.07,0.10,0.14,0.14,0.22,1.11,0.46,0.40,0.44,0.51,0.56,0.65,0.83,1.08,1.10,1.22,1.69,1.99,2.29,2.42,2.26,2.11,2.27,0.93,3.05,3.16,4.67
26,EPS Diluted,0.01,0.01,0.01,0.02,0.03,-0.01,0.02,0.02,0.05,0.07,0.10,0.14,0.14,0.22,1.05,0.44,0.39,0.43,0.50,0.55,0.64,0.81,1.06,1.09,1.21,1.67,1.96,2.26,2.38,2.21,2.07,2.21,0.90,2.97,3.08,4.55
27,Weighted Average Shares Outstanding,4264700000,4654664000,4290000000,4090000000,3913333333,5509008000,5654508000,4910000000,5988613500,5988586500,6035922000,6055767000,5865594000,5782352000,5678838000,5596721000,5518000000,5302000000,5215000000,5136000000,5196000000,5170000000,5133000000,5070000000,5014000000,5048000000,5015000000,4769000000,4528000000,4404000000,4221000000,4115000000,4121000000,3634000000,3211000000,2945000000
28,Weighted Average Shares Outstanding Diluted,4264700000,4654664000,4290000000,4090000000,3913333333,5509008000,5654508000,4910000000,5988613500,5988586500,6384014000,6130136000,5998350000,5936900000,5995842000,5864806000,5689000000,5418000000,5326000000,5231000000,5287000000,5269000000,5229000000,5130000000,5073000000,5128000000,5095000000,4844000000,4604000000,4503000000,4305000000,4217000000,4238000000,3732000000,3294000000,3022000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1341439/000119312506151154/d10k.htm,https://www.sec.gov/Archives/edgar/data/1341439/000095013407014478/0000950134-07-014478-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000095013408012257/0000950134-08-012257-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000095012309018689/0000950123-09-018689-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000119312510151896/0001193125-10-151896-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000119312511174819/0001193125-11-174819-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000119312512284007/d369484d10k.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312513272832/0001193125-13-272832-index.html,- -,https://www.sec.gov/Archives/edgar/data/1341439/000119312515235239/0001193125-15-235239-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000119312516628942/0001193125-16-628942-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000119312517214833/0001193125-17-214833-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000119312518201034/0001193125-18-201034-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000156459019023119/0001564590-19-023119-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000156459020030125/0001564590-20-030125-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459021033616/0001564590-21-033616-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,12500000,37600000,48600000,49400000,44800000,101500000,153300000,284600000,404800000,480200000,715742000,890162000,1273681000,1785715000,7429206000,4449166000,3095000000,4737000000,4138000000,3894000000,6659000000,6218000000,8262000000,8995000000,9914000000,16163000000,14955000000,14613000000,17769000000,21716000000,20152000000,21784000000,21620000000,20514000000,37239000000,30098000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125166000,323028000,645518000,777049000,332792000,1438495000,2746000000,1782000000,4449000000,908000000,946000000,802000000,2781000000,3629000000,8555000000,12685000000,15721000000,17603000000,21050000000,32652000000,35973000000,44294000000,45641000000,17313000000,5818000000,16456000000
33,Cash and Short-Term Investments,12500000,37600000,48600000,49400000,44800000,101500000,153300000,284600000,404800000,480200000,840908000,1213190000,1919199000,2562764000,7761998000,5887661000,5841000000,6519000000,8587000000,4802000000,7605000000,7020000000,11043000000,12624000000,18469000000,28848000000,30676000000,32216000000,38819000000,54368000000,56125000000,66078000000,67261000000,37827000000,43057000000,46554000000
34,Net Receivables,27700000,69200000,139400000,278200000,497000000,386000000,401000000,478800000,575600000,846300000,1203976000,1708939000,2065024000,2478996000,2790167000,2713913000,2329000000,2221000000,2334000000,2900000000,3420000000,4589000000,5799000000,4430000000,5585000000,6628000000,6377000000,6049000000,6087000000,5618000000,5385000000,5300000000,5279000000,5134000000,5551000000,5409000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,259000000,303000000,158000000,240000000,189000000,314000000,212000000,300000000,- -,- -,- -,- -
36,Other Current Assets,1300000,2300000,3800000,9300000,27500000,98700000,86400000,78900000,95200000,290700000,239581000,348967000,338827000,405514000,331169000,361576000,558000000,487000000,415000000,777000000,949000000,1274000000,1261000000,1527000000,2691000000,3395000000,2812000000,3187000000,3043000000,2883000000,2591000000,2837000000,3424000000,3425000000,3532000000,3604000000
37,Total Current Assets,41500000,109100000,191800000,336900000,569300000,586200000,640700000,842300000,1075600000,1617200000,2284465000,3271096000,4323050000,5447274000,10883334000,8963150000,8728000000,9227000000,11336000000,8479000000,11974000000,12883000000,18103000000,18581000000,27004000000,39174000000,40023000000,41692000000,48138000000,63183000000,64313000000,74515000000,75964000000,46386000000,52140000000,55567000000
38,PP&E,14300000,26900000,47600000,94500000,171900000,194200000,207000000,189200000,378500000,535000000,685754000,868948000,934350000,987482000,934455000,974751000,987000000,1062000000,1068000000,1442000000,1391000000,1603000000,1688000000,1922000000,2763000000,2857000000,3021000000,3053000000,3061000000,3686000000,4000000000,5315000000,5897000000,6252000000,6244000000,7049000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9809000000,13479000000,17991000000,18842000000,20425000000,21553000000,25119000000,27343000000,29652000000,34087000000,34590000000,43045000000,43755000000,43779000000,43769000000,43935000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,93700000,- -,- -,- -,- -,- -,- -,476481000,1148990000,716229000,446000000,345000000,- -,10376000000,4528000000,5964000000,8395000000,7269000000,9321000000,7860000000,7899000000,6640000000,6137000000,6406000000,4943000000,7679000000,6670000000,5279000000,3738000000,2430000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,93700000,- -,- -,- -,- -,- -,- -,476481000,1148990000,716229000,446000000,345000000,- -,10376000000,14337000000,19443000000,26386000000,26111000000,29746000000,29413000000,33018000000,33983000000,35789000000,40493000000,39533000000,50724000000,50425000000,49058000000,47507000000,46365000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,233000000,197000000,92000000,32000000,- -,- -,- -,- -,- -,1076000000,595000000,766000000,837000000,795000000,1291000000,1143000000,1491000000,2696000000,3252000000,13636000000
44,Other Non-Current Assets,1600000,7800000,10200000,28800000,46000000,77200000,14200000,152500000,140900000,272300000,387024000,484256000,561611000,348417000,110000000,376030000,406000000,233000000,267000000,358000000,1327000000,643000000,1091000000,802000000,2065000000,1015000000,1670000000,2318000000,2519000000,2746000000,3043000000,3294000000,3487000000,4317000000,6295000000,8490000000
45,Total Non-Current Assets,15900000,34700000,57800000,123300000,217900000,271400000,314900000,341700000,519400000,807300000,1072778000,1353204000,1495961000,1812380000,2193445000,2067010000,2072000000,1837000000,1427000000,12208000000,17055000000,21689000000,29165000000,28835000000,34574000000,34361000000,38304000000,40120000000,42206000000,47720000000,47867000000,60476000000,61300000000,62323000000,63298000000,75540000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,57400000,143800000,249600000,460200000,787200000,857600000,955600000,1184000000,1595000000,2424500000,3357243000,4624300000,5819011000,7259654000,13076779000,11030160000,10800000000,11064000000,12763000000,20687000000,29029000000,34572000000,47268000000,47416000000,61578000000,73535000000,78327000000,81812000000,90344000000,110903000000,112180000000,134991000000,137264000000,108709000000,115438000000,131107000000
48,Accounts Payable,- -,- -,- -,- -,64900000,49700000,62800000,72900000,95800000,124800000,169895000,185444000,239698000,283896000,287495000,270112000,228000000,228000000,191000000,230000000,268000000,315000000,383000000,271000000,775000000,701000000,438000000,419000000,471000000,806000000,504000000,599000000,529000000,580000000,637000000,745000000
49,Short-Term Debt,3200000,5200000,6500000,23300000,42500000,180100000,16500000,10700000,6900000,9600000,5623000,3361000,2924000,3638000,2691000,2849000,- -,153000000,9000000,2693000000,159000000,1358000000,1001000000,1001000000,3145000000,1150000000,2950000000,- -,1508000000,1999000000,3750000000,9797000000,4491000000,4494000000,2371000000,8250000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,416000000,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1409000000,1497000000,2289000000,2830000000,3492000000,4492000000,4592000000,5900000000,6802000000,7035000000,7118000000,7269000000,7245000000,7655000000,8233000000,8429000000,8374000000,8002000000,8775000000
52,Other Current Liabilities,19100000,43200000,95700000,155000000,176200000,249600000,326700000,467700000,579400000,920700000,1279446000,1733334000,2241543000,2758889000,5572052000,3643658000,3732000000,2368000000,2575000000,2851000000,3673000000,4222000000,4153000000,3285000000,4871000000,5539000000,4965000000,5335000000,5141000000,5241000000,5299000000,5549000000,5746000000,5182000000,6190000000,6394000000
53,Total Current Liabilities,22300000,48400000,102200000,178300000,283600000,479400000,406000000,551300000,682100000,1055100000,1454964000,1922139000,2484165000,3046423000,5862238000,3916619000,3960000000,4158000000,4272000000,8063000000,6930000000,9387000000,10029000000,9149000000,14691000000,14192000000,15388000000,12872000000,14389000000,15291000000,17208000000,24178000000,19195000000,18630000000,17200000000,24164000000
54,Long-Term Debt,5600000,9000000,5400000,33500000,89100000,18000000,95900000,86400000,82800000,81700000,897000,300836000,304337000,304140000,300770000,300847000,298000000,175000000,163000000,159000000,5735000000,6235000000,10235000000,9237000000,11510000000,14772000000,13524000000,18494000000,22667000000,39959000000,40105000000,48112000000,56128000000,51673000000,69226000000,75995000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,800000,3700000,7400000,12100000,22000000,6300000,10100000,8200000,38900000,10400000,9207000,7402000,15856000,135887000,266130000,327788000,204000000,186000000,59000000,1010000000,564000000,1121000000,1218000000,480000000,424000000,59000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,7864000000
57,Other Non-Current Liabilities,- -,- -,- -,5700000,4900000,9200000,8600000,10100000,50600000,65900000,21726000,24211000,57095000,77937000,186178000,207135000,221000000,225000000,274000000,618000000,788000000,910000000,2761000000,3460000000,3754000000,4267000000,5328000000,5301000000,5841000000,6555000000,7077000000,8455000000,15717000000,16043000000,16295000000,17132000000
58,Total Non-Current Liabilities,6400000,12700000,12800000,51300000,116000000,33500000,114600000,104700000,172300000,158000000,31830000,332449000,377288000,517964000,753078000,835770000,723000000,586000000,496000000,1787000000,7087000000,8266000000,14214000000,13177000000,15688000000,19098000000,18852000000,23795000000,28508000000,46514000000,47182000000,56567000000,71845000000,67716000000,85521000000,100991000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,28700000,61100000,115000000,229600000,399600000,512900000,520600000,656000000,854400000,1213100000,1486794000,2254588000,2861453000,3564387000,6615316000,4752389000,4683000000,4744000000,4768000000,9850000000,14017000000,17653000000,24243000000,22326000000,30379000000,33290000000,34240000000,36667000000,42897000000,61805000000,64390000000,80745000000,91040000000,86346000000,102721000000,125155000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,475833000,696018000,976275000,1475763000,3112126000,4820869000,5029000000,5101000000,5456000000,6596000000,9246000000,10293000000,12446000000,12980000000,14648000000,16653000000,17489000000,18893000000,21077000000,23156000000,24217000000,27065000000,28950000000,26909000000,26486000000,26533000000
64,Retained Earnings,9800000,25400000,68300000,150100000,267500000,204300000,265800000,332400000,488600000,854100000,1382203000,1686170000,2023056000,2266915000,3343857000,1610480000,1210000000,1092000000,2383000000,4043000000,5538000000,6223000000,9961000000,11894000000,16146000000,22581000000,26087000000,25854000000,25965000000,26503000000,23888000000,27598000000,18412000000,-3496000000,-12696000000,-20120000000
65,Other Comprehensive Income/Loss,-200000,-8100000,-2700000,-33400000,-66600000,-111700000,-111700000,-201300000,-235500000,-323400000,-442840000,-608326000,-798978000,-1035965000,-1190575000,-1328886000,-1350000000,-1494000000,-1585000000,243000000,258000000,403000000,618000000,216000000,4000000,542000000,112000000,-99000000,-164000000,-996000000,-816000000,-803000000,-1689000000,-1628000000,-1716000000,-1175000000
66,Other Total Stockholders Equity,19100000,65400000,69000000,113900000,186700000,252100000,280900000,396900000,487500000,680700000,455253000,595850000,757205000,988554000,1196055000,1175308000,1228000000,1621000000,1741000000,-45000000,-30000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53000000,- -,- -,- -
67,Total Stockholders Equity,28700000,82700000,134600000,230600000,387600000,344700000,435000000,528000000,740600000,1211400000,1870449000,2369712000,2957558000,3695267000,6461463000,6277771000,6117000000,6320000000,7995000000,10837000000,15012000000,16919000000,23025000000,25090000000,30798000000,39776000000,43688000000,44648000000,46878000000,48663000000,47289000000,53860000000,45726000000,21785000000,12074000000,5238000000
68,Total Liabilities And Stockholders Equity,57400000,143800000,249600000,460200000,787200000,857600000,955600000,1184000000,1595000000,2424500000,3357243000,4624300000,5819011000,7259654000,13076779000,11030160000,10800000000,11064000000,12763000000,20687000000,29029000000,34572000000,47268000000,47416000000,61177000000,73066000000,77928000000,81315000000,89775000000,110468000000,111679000000,134605000000,136766000000,108131000000,114795000000,130393000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,401000000,469000000,399000000,497000000,569000000,435000000,501000000,386000000,498000000,578000000,643000000,714000000
70,Total Liabilities & Equity,57400000,143800000,249600000,460200000,787200000,857600000,955600000,1184000000,1595000000,2424500000,3357243000,4624300000,5819011000,7259654000,13076779000,11030160000,10800000000,11064000000,12763000000,20687000000,29029000000,34572000000,47268000000,47416000000,61578000000,73535000000,78327000000,81812000000,90344000000,110903000000,112180000000,134991000000,137264000000,108709000000,115438000000,131107000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1341439/000119312506151154/d10k.htm,https://www.sec.gov/Archives/edgar/data/1341439/000095013407014478/0000950134-07-014478-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000095013408012257/0000950134-08-012257-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000095012309018689/0000950123-09-018689-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000119312510151896/0001193125-10-151896-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000119312511174819/0001193125-11-174819-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000119312512284007/d369484d10k.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312513272832/0001193125-13-272832-index.html,- -,https://www.sec.gov/Archives/edgar/data/1341439/000119312515235239/0001193125-15-235239-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000119312516628942/0001193125-16-628942-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000119312517214833/0001193125-17-214833-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000119312518201034/0001193125-18-201034-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000156459019023119/0001564590-19-023119-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000156459020030125/0001564590-20-030125-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459021033616/0001564590-21-033616-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,117400000,-12400000,61500000,98200000,283700000,441500000,603279000,821457000,813695000,1289758000,6296803000,2561096000,2224000000,2307000000,2681000000,2886000000,3381000000,4274000000,5521000000,5593000000,6135000000,8547000000,9981000000,10925000000,10955000000,9938000000,8901000000,9335000000,3825000000,11083000000,10135000000,13746000000
74,Depreciation and Amortization,- -,- -,- -,- -,44100000,70700000,65800000,79200000,104600000,147800000,219494000,264773000,328563000,375384000,390925000,346896000,363000000,327000000,234000000,425000000,855000000,1127000000,1480000000,1976000000,2271000000,2796000000,2916000000,2931000000,2908000000,2861000000,2509000000,2451000000,2785000000,2919000000,2968000000,2916000000
75,Deferred Income Tax,- -,- -,- -,- -,7700000,-15400000,3700000,400000,28800000,-13300000,-25341000,6286000,23086000,20367000,-16728000,17970000,- -,90000000,58000000,6000000,-40000000,56000000,-135000000,-395000000,-511000000,-253000000,9000000,-117000000,-248000000,-548000000,-105000000,-486000000,-611000000,-1191000000,-851000000,-2425000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,355000000,436000000,510000000,659000000,755000000,805000000,933000000,1037000000,1350000000,1607000000,1653000000,1590000000,1837000000
