,https://roic.ai/company/STAR,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,1100000,1200000,-4300000,2900000,3000000,12400000,29700000,268200000,5300000,51900000,95100000,103100000,41500000,94905000,32153000,77349000,13015000,62870000,222265000,-219340000,-368000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,-400000,- -,- -,38900000,218500000,232000000,223300000,285300000,199700000,280700000,350500000,209500000,-301300000,-770600000,-207500000,-58700000,-304200000,-221400000,-70266000,-107411000,-33550000,-41146000,-17511000,334763000,-30618000,16456000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,-2.0000,- -,- -,0.1469,0.4630,0.4791,0.4248,0.4703,0.2876,0.3515,0.3576,0.1470,-0.2209,-0.8626,-0.3607,-0.1356,-0.7597,-0.5665,-0.1521,-0.2165,-0.0737,-0.0606,-0.0219,0.6982,-0.0577,0.0533
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4700000,8400000,-700000,3912000,7639000,-10166000,-948000,815000,438000,-235000,-118000
23,Net Income,3400000,4700000,4800000,-500000,3700000,-300000,-100000,-600000,- -,59900000,38900000,217600000,229900000,215300000,292200000,260400000,287900000,374800000,239000000,-196800000,-768800000,79700000,-22100000,-239900000,-112000000,-73474000,-96251000,-9990000,83633000,-32262000,324042000,-30853000,132481000
24,Net Income ratio,0.8718,0.8868,0.8889,-0.0962,0.7708,-Infinity,-1.0000,-3.0000,- -,0.7182,0.1469,0.4611,0.4748,0.4095,0.4817,0.3750,0.3606,0.3824,0.1676,-0.1443,-0.8606,0.1386,-0.0511,-0.5992,-0.2866,-0.1590,-0.1940,-0.0219,0.1231,-0.0404,0.6758,-0.0581,0.4293
25,EPS,59.86,64.49,66.63,-7.48,51.66,-4.63,-1.78,-7.84,0.36,1.39,0.25,2.11,2.24,1.98,2.52,1.87,2.13,2.82,1.52,-1.78,-7.88,0.39,-0.70,-3.26,-1.83,-0.57,-0.62,0.60,1.56,-0.95,4.51,-0.87,1.94
26,EPS Diluted,59.86,64.49,66.63,-7.48,51.66,-4.63,-1.78,-7.84,0.36,1.35,0.25,2.10,2.19,1.93,2.43,1.83,2.11,2.79,1.51,-1.78,-7.88,0.39,-0.70,-3.26,-1.83,-0.57,-0.62,0.55,1.56,-0.95,3.73,-0.87,1.71
27,Weighted Average Shares Outstanding,637000,637000,637000,637000,637000,637000,637000,637000,1884000,43222129,57749000,85629384,86162500,83937374,101289286,111821925,115301878,115023000,126801000,131153000,100071000,93244000,88688000,83742000,84990000,85031000,84987000,73453000,71021000,67958000,64696000,75684000,71299000
28,Weighted Average Shares Outstanding Diluted,637000,637000,637000,637000,637000,637000,637000,637000,1884000,44493368,60393000,86037143,88129680,86111917,105040741,114266120,116394787,116219000,127792000,131153000,100071000,93244000,88688000,83742000,84990000,85031000,84987000,98467000,71021000,67958000,80666000,75684000,80487000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1095651/000091205701505831/0000912057-01-505831-index.html,https://www.sec.gov/Archives/edgar/data/1095651/000091205702012640/0000912057-02-012640-index.html,https://www.sec.gov/Archives/edgar/data/1095651/000104746903010592/0001047469-03-010592-index.html,https://www.sec.gov/Archives/edgar/data/1095651/000104746904007908/0001047469-04-007908-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000104746905006685/0001047469-05-006685-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000110465906016965/0001104659-06-016965-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000110465907015152/0001104659-07-015152-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000104746908002058/0001047469-08-002058-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000104746909001990/0001047469-09-001990-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000104746910001576/0001047469-10-001576-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000104746911002559/0001047469-11-002559-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000104746912001896/0001047469-12-001896-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000144530513000422/0001445305-13-000422-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000109565114000007/0001095651-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000109565115000007/0001095651-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000109565116000037/0001095651-16-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000109565117000004/0001095651-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000109565118000004/0001095651-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000109565119000006/0001095651-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000109565120000012/0001095651-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000109565121000006/0001095651-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000109565122000004/0001095651-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7900000,- -,100000,100000,2500000,900000,900000,1900000,300000,10100000,34400000,22752000,15670000,15934000,80090000,88422000,115370000,105951000,104507000,496537000,224632000,504865000,356826000,256344000,513568000,472061000,711101000,328744000,657688000,931751000,307172000,98633000,339601000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124930000
33,Cash and Short-Term Investments,7900000,- -,100000,100000,2500000,900000,900000,1900000,300000,10100000,34400000,22752000,15670000,15934000,80090000,88422000,115370000,105951000,104507000,496537000,224632000,504865000,356826000,256344000,513568000,472061000,711101000,328744000,657688000,931751000,307172000,98633000,464531000
34,Net Receivables,38000000,45200000,44700000,39800000,- -,- -,- -,3700000,100000,13100000,17400000,20167000,47883000,63543000,77523000,87725000,109040000,152452000,243540000,87151000,54780000,24408000,16878000,1941463000,1370515000,1317916000,1678110000,1534538000,1366282000,1021956000,755875000,732330000,261155000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,301000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-77523000,-87725000,-109040000,-152452000,-243540000,-87151000,-54780000,-24408000,-16878000,677861000,409286000,305265000,163931000,109647000,88633000,65344000,53684000,-732330000,2397321000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80090000,88422000,115370000,105951000,104507000,496537000,224632000,504865000,356826000,2875668000,2293369000,2095242000,2553142000,1972929000,2112603000,2019051000,1116731000,98633000,3123308000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28501000,24800000,- -,- -,3084794000,3309866000,3044811000,2885896000,2617569000,2930898000,7537000,6557000,5409000,1006368000,951256000,864963000,602068000,1181468000,- -,309099000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4186000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100652000,50088000,71446000,63098000,27124000,156281000,174973000,- -,1209000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9203000,28409000,43278000,4186000,- -,- -,- -,- -,100652000,50088000,71446000,63098000,27124000,156281000,174973000,- -,1209000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,398843000,349136000,541790000,316461000,294322000,410817000,426401000,1061091000,1339098000,1297281000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3095467000,-3309866000,-3044811000,- -,- -,4230113000,2868741000,2892297000,2770604000,1675475000,1543909000,1315571000,1810476000,1550846000,- -,109637000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9203000,17736000,43278000,4186000,- -,- -,7161011000,3275121000,3348642000,3367891000,3069750000,2852585000,2618475000,2995226000,3968378000,- -,1717226000
46,Other Assets,46000000,45300000,44800000,39900000,2700000,2400000,2200000,5700000,13400000,2059600000,3813600000,4034775000,4378560000,5611697000,6580500000,7131815000,- -,- -,- -,- -,12585943000,8669649000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4763175000,- -
47,Total Assets,46000000,45300000,44800000,39900000,2700000,2400000,2200000,5700000,13400000,2059600000,3813600000,4034775000,4378560000,5611697000,6660590000,7220237000,124573000,123687000,147785000,500723000,12810575000,9174514000,7517837000,6150789000,5642011000,5463133000,5622892000,4825514000,4731078000,5014277000,5085109000,4861808000,4840534000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84954000,103080000,- -,- -,- -,30122000,132460000,170831000,180902000,- -,211570000,238004000,- -,- -,467922000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5970533000,- -,545254000,- -,- -,- -,- -,- -,- -,- -,3286975000,1325000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9077000,- -,- -,- -,- -,- -,- -,- -,- -,58128000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111000000,115000000,96000000,124000000,131000000,159000000,226000000,155046000,445920000,391000000,310000000,-5789533000,111801000,-40831000,-71976000,-60141000,124018000,-84844000,-87036000,139676000,109568000,- -,1151525000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111000000,115000000,96000000,124000000,131000000,159000000,226000000,240000000,549000000,391000000,310000000,181000000,151000000,636883000,98855000,120761000,124018000,126726000,150968000,139676000,109568000,3813025000,2476525000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1055700000,1901200000,2131967000,2495369000,3461590000,4113732000,4605674000,5859592000,7833437000,12399558000,12516023000,10894903000,7345433000,5837540000,4146240000,4158125000,4022684000,4296009000,3549229000,3578825000,3631570000,3422718000,- -,1170441000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11294000,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,33000,-369000,410000,268000,326000,408000,-437000,442000,-23000,97000,-433000,460000,43218000,83566000,71340000,101535000,89875000,87036000,178916000,314863000,- -,130362000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1055700000,1901000000,2132000000,2495000000,3462000000,4114000000,4606000000,5860000000,7833000000,12400000000,12516000000,10895000000,7345000000,5838000000,4200752000,4241691000,4094024000,4397544000,3639104000,3665861000,3810486000,3737581000,- -,1300803000
59,Other Liabilities,2000000,1800000,1700000,2500000,200000,100000,- -,200000,1800000,2144600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181931000,200592000,23267000
61,Total Liabilities,2000000,1800000,1700000,2500000,200000,100000,- -,200000,1800000,1088900000,2009700000,2240666000,2588132000,3583816000,4240256000,4745749000,6052114000,8034394000,12894869000,12870515000,11147013000,7478493000,5944233000,4837635000,4340546000,4214785000,4521562000,3765830000,3816829000,3950162000,3847149000,3797425000,3777328000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000,20000,22000,22000,22000,22000,22000,22000,22000,22000,22000,26000,26000,26000,26000,16000,16000,12000,12000,12000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17900000,17028000,87000,98000,107000,111000,113000,127000,135000,137000,138000,138000,140000,143000,144000,146000,81000,72000,68000,68000,78000,74000,69000
64,Retained Earnings,-800000,-1300000,-1700000,-7400000,-42300000,-42600000,-42700000,-43400000,-43300000,-2500000,-130000000,-154789000,-174874000,-227769000,-242449000,-349097000,-442758000,-479695000,-752440000,-1232506000,-2051376000,-2014013000,-2078397000,-2360647000,-2521618000,-2556469000,-2625474000,-2581488000,-2470564000,-2472061000,-2205838000,- -,-2227213000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000000,17000000,-2000000,2000000,6000000,2000000,-346316000,-1000000,-4000000,-1000000,-5000000,-4000000,-2000000,-17000000,-39000000,-53000000,-21587000
66,Other Total Stockholders Equity,44800000,44800000,44800000,44800000,44800000,44900000,44900000,45000000,49700000,973200000,1913400000,1925646000,1962565000,2252960000,2657550000,2804206000,2875294000,3449409000,3653764000,3619727000,3650901000,3659988000,3952907000,3600426000,3768708000,3754389000,3689479000,3601954000,3352183000,3351955000,3285170000,923883000,3100015000
67,Total Stockholders Equity,44000000,43500000,43100000,37400000,2500000,2300000,2200000,1600000,6400000,970700000,1801300000,1787885000,1787778000,2025300000,2415228000,2455242000,2446671000,2986863000,2899481000,2389380000,1605685000,1648135000,1528356000,1238944000,1243260000,1197092000,1059112000,1016564000,879703000,862978000,1040422000,870969000,851296000
68,Total Liabilities And Stockholders Equity,46000000,45300000,44800000,39900000,2700000,2400000,- -,1800000,8200000,2059600000,3811000000,4028551000,4375910000,5609116000,6655484000,7200991000,8498785000,11021257000,15794350000,15259895000,12752698000,9126628000,7472589000,6076579000,5583806000,5411877000,5580674000,4782394000,4696532000,4813140000,4887571000,4668394000,4628624000
69,Minority Interest,- -,- -,- -,- -,- -,- -,2200000,3900000,5200000,- -,2600000,6224000,2650000,2581000,5106000,19246000,-8374212000,-10897570000,-15646565000,-14759172000,57877000,47886000,45248000,74210000,58205000,51256000,42218000,43120000,34546000,201137000,197538000,193414000,211910000
70,Total Liabilities & Equity,46000000,45300000,44800000,39900000,2700000,2400000,2200000,5700000,13400000,2059600000,3813600000,4034775000,4378560000,5611697000,6660590000,7220237000,124573000,123687000,147785000,500723000,12810575000,9174514000,7517837000,6150789000,5642011000,5463133000,5622892000,4825514000,4731078000,5014277000,5085109000,4861808000,4840534000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1095651/000091205701505831/0000912057-01-505831-index.html,https://www.sec.gov/Archives/edgar/data/1095651/000091205702012640/0000912057-02-012640-index.html,https://www.sec.gov/Archives/edgar/data/1095651/000104746903010592/0001047469-03-010592-index.html,https://www.sec.gov/Archives/edgar/data/1095651/000104746904007908/0001047469-04-007908-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000104746905006685/0001047469-05-006685-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000110465906016965/0001104659-06-016965-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000110465907015152/0001104659-07-015152-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000104746908002058/0001047469-08-002058-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000104746909001990/0001047469-09-001990-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000104746910001576/0001047469-10-001576-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000104746911002559/0001047469-11-002559-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000104746912001896/0001047469-12-001896-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000144530513000422/0001445305-13-000422-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000109565114000007/0001095651-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000109565115000007/0001095651-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000109565116000037/0001095651-16-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000109565117000004/0001095651-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000109565118000004/0001095651-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000109565119000006/0001095651-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000109565120000012/0001095651-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000109565121000006/0001095651-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000109565122000004/0001095651-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3400000,4700000,4800000,-500000,3700000,-300000,-100000,-600000,- -,59900000,38900000,217600000,229900000,215300000,292200000,260400000,287900000,374800000,239000000,-196800000,-768800000,79700000,-22100000,-239900000,-112000000,-73474000,-96251000,-9990000,83633000,-32262000,324042000,-30853000,132481000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10100000,-9600000,20343000,14977000,38420000,28460000,39206000,39080000,33776000,-107988000,104453000,99287000,70770000,63928000,70786000,71530000,73571000,65247000,54329000,49934000,58699000,58259000,58092000,59294000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1777000,1318000,6040000,3772000,- -,-13729000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19697000,23592000,19355000,29702000,15293000,19261000,13314000,12013000,10889000,18812000,17563000,30436000,39354000,69261000
77,Change in Working Capital,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-111000000,-4000000,19000000,-28000000,73090000,-19668000,-40052000,-23419000,-310444000,550030000,-190905000,409233000,-118039000,2032959000,-44271000,-220033000,454643000,-582921000,115432000,-82260000,-872212000,-4721555000,-8266000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1337000,2310000,-1426000,-2068000,3634000,1424000,949000,417000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11725000,5945000,7245000,-17112000,-453000,7299000,-28335000,-47655000,-1863000,-1764000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-111000000,-115000000,-96000000,-124000000,-50910000,-70578000,-110630000,-134049000,-444493000,105537000,-85368000,323865000,205826000,2238785000,2194514000,1974481000,2429124000,1846203000,1961635000,1879375000,1007163000,-3714392000,-11995000
82,Other Non-Cash Items,400000,-100000,400000,5400000,-1200000,-100000,-100000,400000,3200000,5100000,204200000,-41474000,958000,123073000,-55488000,83194000,228991000,51059000,739451000,-64891000,909330000,-626454000,28453000,-2071070000,-114985000,196280000,-495599000,547697000,-187599000,14132000,413850000,4676848000,-273097000
83,Cash Provided by Operating Activities,3600000,4600000,5200000,4900000,2500000,-400000,-200000,-200000,3200000,54900000,122500000,192469000,264835000,348793000,338262000,363132000,515919000,434439000,561337000,418529000,76276000,-47396000,-31785000,-191932000,-180465000,-10342000,-59947000,20004000,80212000,-24128000,-45625000,21886000,-20327000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000000,-9011000,-25384000,-7498000,-8612000,-21970000,-55918000,- -,-44828000,-102892000,-20751000,-42863000,-64169000,-83070000,-211767000,-142787000,-169744000,-173616000,-158467000,-189038000,-157460000,-56752000,-30691000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31720000,-1891571000,993827000,64566000,- -,- -,- -,220281000,- -,-11531000,43936000,-224219000,13608000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-30900000,-200000,-19800000,-31300000,-1023700000,- -,- -,- -,- -,- -,- -,- -,-3700789000,-2929116000,-32073000,-31535000,-100349000,-61820000,-67993000,-270384000,-781852000,-11531000,-58197000,-224219000,-94578000,-656720000,-260121000,-216997000
87,Sales/Maturities of Investments,- -,- -,- -,- -,39400000,29500000,300000,21000000,21600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,311432000,51407000,27060000,213344000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111429000
