,https://roic.ai/company/SCL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,9300000,14000000,19300000,20500000,11700000,22300000,18800000,17300000,19600000,22500000,25000000,32300000,34900000,38800000,34800000,24403000,25926000,30268000,5271000,14633000,17646000,7389000,23715000,54878000,97131000,101479000,104894000,115722000,95630000,75535000,102856000,113816000,139237000,139923000,125899000,171067000,172537000
21,Income Before Tax Ratio,0.0394,0.0539,0.0668,0.0616,0.0338,0.0572,0.0454,0.0397,0.0447,0.0507,0.0473,0.0602,0.0600,0.0636,0.0522,0.0349,0.0364,0.0404,0.0067,0.0156,0.0164,0.0063,0.0178,0.0343,0.0761,0.0709,0.0569,0.0642,0.0508,0.0392,0.0579,0.0644,0.0723,0.0702,0.0677,0.0915,0.0735
22,Income Tax expense (Gain),3800000,6500000,8300000,7100000,3900000,7800000,6300000,6900000,8800000,8700000,8900000,13200000,14500000,15300000,12700000,9395000,9726000,10139000,360000,4320000,4170000,900000,8687000,17615000,34028000,35888000,32292000,36035000,23293000,18454000,26819000,27618000,47690000,27173000,22798000,43411000,34642000
23,Net Income,5500000,7500000,11000000,13400000,7800000,14500000,12500000,15800000,10800000,13800000,16100000,19100000,20400000,23500000,22100000,15008000,16072000,20129000,4911000,10324000,13159000,6670000,15118000,37172000,63049000,65427000,71976000,79396000,72828000,57101000,75968000,86191000,91578000,112762000,103129000,126770000,137804000
24,Net Income ratio,0.0233,0.0289,0.0381,0.0402,0.0225,0.0372,0.0302,0.0363,0.0246,0.0311,0.0305,0.0356,0.0351,0.0385,0.0331,0.0215,0.0226,0.0269,0.0063,0.0110,0.0122,0.0057,0.0114,0.0232,0.0494,0.0457,0.0391,0.0440,0.0387,0.0296,0.0428,0.0488,0.0476,0.0566,0.0555,0.0678,0.0587
25,EPS,0.24,0.32,0.46,0.60,0.35,0.66,0.57,0.73,0.49,0.65,0.76,0.90,0.98,1.15,1.11,0.76,0.83,1.09,0.23,0.53,0.69,0.32,0.77,1.91,3.15,3.18,3.44,3.71,3.22,2.51,3.34,3.78,3.99,4.90,4.47,5.52,6.02
26,EPS Diluted,0.24,0.32,0.46,0.60,0.35,0.66,0.57,0.71,0.48,0.63,0.73,0.85,0.93,1.06,1.04,0.73,0.80,1.02,0.23,0.53,0.68,0.32,0.75,1.76,2.92,2.95,3.21,3.49,3.18,2.49,3.32,3.73,3.92,4.83,4.42,5.45,5.94
27,Weighted Average Shares Outstanding,22916667,23437500,23913043,22333333,21971831,21969697,21739130,21496599,19795918,19848000,19968000,20004000,19662000,19686000,19184000,18710000,18498000,17722000,17778000,17940000,18010000,18266000,18632000,19132000,19740000,20326000,20726000,21273000,22621000,22758000,22730000,22793000,22946000,23022000,23054000,22949000,22898000
28,Weighted Average Shares Outstanding Diluted,22916667,23437500,23913043,22333333,21971831,21969697,21739130,22097902,20208333,20158730,22054795,22339181,21935484,22169811,20865385,20472000,20266000,19604000,18172000,18076000,19450000,18568000,20226000,21098000,21592000,22180000,22440000,22730000,22924000,22917000,22858000,23094000,23377000,23325000,23316000,23256000,23219000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/94049/0000950131-94-000378-index.html,https://www.sec.gov/Archives/edgar/data/94049/000095012495000943/0000950124-95-000943-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/94049/000119312504041610/d10k.htm,https://www.sec.gov/Archives/edgar/data/94049/000119312505042706/d10k.htm,https://www.sec.gov/Archives/edgar/data/94049/000119312506045672/d10k.htm,https://www.sec.gov/Archives/edgar/data/94049/000119312507049148/d10k.htm,https://www.sec.gov/Archives/edgar/data/94049/000119312508047239/d10k.htm,https://www.sec.gov/Archives/edgar/data/94049/000119312509040288/0001193125-09-040288-index.html,https://www.sec.gov/Archives/edgar/data/94049/000119312510042807/0001193125-10-042807-index.html,https://www.sec.gov/Archives/edgar/data/94049/000119312511049619/d10k.htm,https://www.sec.gov/Archives/edgar/data/94049/000119312512081957/0001193125-12-081957-index.html,https://www.sec.gov/Archives/edgar/data/94049/000119312513079199/0001193125-13-079199-index.html,https://www.sec.gov/Archives/edgar/data/94049/000119312514069059/d648187d10k.htm,https://www.sec.gov/Archives/edgar/data/94049/000156459015001079/scl-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/94049/000156459016013219/0001564590-16-013219-index.html,https://www.sec.gov/Archives/edgar/data/94049/000156459017002324/0001564590-17-002324-index.html,https://www.sec.gov/Archives/edgar/data/94049/000156459018003442/0001564590-18-003442-index.html,https://www.sec.gov/Archives/edgar/data/94049/000156459019004767/0001564590-19-004767-index.html,https://www.sec.gov/Archives/edgar/data/94049/000156459020007326/0001564590-20-007326-index.html,https://www.sec.gov/Archives/edgar/data/94049/000156459021009289/0001564590-21-009289-index.htm,https://www.sec.gov/Archives/edgar/data/94049/000156459022006982/0001564590-22-006982-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1500000,200000,1700000,900000,1600000,1600000,2300000,2900000,1500000,2500000,3100000,4800000,5500000,1000000,4000000,3536000,4224000,3188000,4235000,6261000,16641000,5369000,5739000,8258000,98518000,111198000,84099000,76875000,133347000,85215000,176143000,225743000,298894000,300194000,315383000,349938000,159186000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30652000,- -
33,Cash and Short-Term Investments,1500000,200000,1700000,900000,1600000,1600000,2300000,2900000,1500000,2500000,3100000,4800000,5500000,1000000,4000000,3536000,4224000,3188000,4235000,6261000,16641000,5369000,5739000,8258000,98518000,111198000,84099000,76875000,133347000,85215000,176143000,225743000,298894000,300194000,315383000,380590000,159186000
34,Net Receivables,30700000,35000000,38600000,43300000,48500000,51800000,55100000,57000000,57300000,70400000,79800000,85000000,81000000,81900000,97100000,98488000,103190000,99249000,113353000,135978000,149922000,160525000,184277000,188444000,157117000,199245000,260784000,255858000,265721000,270436000,249602000,263408000,293541000,280025000,276841000,- -,- -
35,Inventory,18700000,23600000,22900000,26300000,29700000,39900000,44000000,47800000,48900000,45500000,54400000,50200000,49000000,52500000,51800000,60132000,59330000,67985000,70548000,76176000,76399000,82837000,86344000,103243000,74693000,96552000,111175000,162013000,172368000,183233000,170424000,173663000,172748000,200165000,203647000,218783000,- -
36,Other Current Assets,3400000,3200000,3300000,2200000,3300000,2700000,2600000,10900000,11500000,11000000,12900000,13700000,11000000,14400000,13800000,15057000,14043000,14690000,16324000,17069000,16286000,19738000,17572000,28478000,19264000,20831000,23684000,28332000,37114000,36672000,23404000,22727000,23553000,22146000,22918000,306278000,754182000
37,Total Current Assets,54300000,62000000,66500000,72700000,83100000,96000000,104000000,118600000,119200000,129400000,150200000,153700000,146500000,149800000,166700000,177213000,180787000,185112000,204460000,235484000,259248000,268469000,293932000,328423000,349592000,427826000,479742000,523078000,608550000,575556000,619573000,685541000,788736000,802530000,818789000,905651000,913368000
38,PP&E,82800000,85600000,99000000,104700000,122500000,143300000,157100000,167900000,168900000,183700000,192500000,207200000,206600000,215100000,209500000,199147000,211433000,211050000,210665000,208870000,211119000,225604000,234062000,238166000,248618000,353585000,383983000,422022000,494042000,524195000,555463000,582714000,598443000,608892000,677703000,682667000,850604000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7841000,4543000,4410000,4502000,6717000,7000000,7199000,11726000,11502000,11265000,25308000,25118000,22954000,26086000,27972000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20102000,19637000,18338000,16189000,7360000,6687000,6307000,4931000,5257000,11181000,8778000,23669000,20803000,17957000,22339000,18538000,14244000,15352000,24068000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20102000,19637000,18338000,16189000,15201000,11230000,10717000,9433000,11974000,18181000,15977000,35395000,32305000,29222000,47647000,43656000,37198000,41438000,52040000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11351000,10539000,11904000,12464000,14093000,18305000,20217000,20910000,24055000,28270000,25082000,28227000,30652000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,2200000,5200000,7200000,8200000,9800000,7700000,10300000,10600000,12400000,11800000,19800000,20100000,21800000,39500000,38400000,38689000,46535000,23403000,29455000,30084000,29603000,36781000,33961000,23240000,16021000,6142000,6748000,10308000,10910000,9741000,14493000,13933000,11756000,10964000,13210000,81326000,301640000
45,Total Non-Current Assets,85000000,90800000,106200000,112900000,132300000,151000000,167400000,178500000,181300000,195500000,212300000,227300000,228400000,254600000,247900000,237836000,257968000,254555000,259757000,257292000,256911000,277586000,279253000,283474000,284611000,383605000,421376000,462400000,558652000,586458000,620088000,668349000,682125000,682136000,760578000,846685000,1152244000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,139300000,152800000,172700000,185600000,215400000,247000000,271400000,297100000,300500000,324900000,362500000,381000000,374900000,404400000,414600000,415049000,438755000,439667000,464217000,492776000,516159000,546055000,573185000,611897000,634203000,811431000,901118000,985478000,1167202000,1162014000,1239661000,1353890000,1470861000,1484666000,1579367000,1752336000,2065612000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,31400000,37500000,34800000,37900000,42500000,43400000,42900000,44000000,48700000,57255000,62410000,51516000,74113000,98322000,102264000,108084000,125071000,117247000,94666000,115248000,137764000,141668000,157277000,156983000,128605000,158316000,204977000,205954000,194276000,236750000,- -
49,Short-Term Debt,4900000,6900000,2700000,3000000,2900000,2900000,2800000,6600000,7400000,8000000,6900000,7000000,6000000,6800000,7700000,9586000,10745000,13387000,23670000,17973000,16777000,23761000,31024000,38264000,10173000,31609000,34487000,32838000,35377000,27034000,18806000,28154000,22500000,37058000,23571000,37857000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20745000,- -
52,Other Current Liabilities,28700000,31700000,37100000,41200000,43200000,54100000,27800000,30300000,28400000,34600000,37500000,33000000,33800000,37100000,41600000,41500000,35004000,40114000,35156000,41307000,43863000,48650000,44883000,56624000,58456000,58770000,60975000,72661000,76339000,65496000,95833000,110795000,92776000,95570000,121267000,121202000,500476000
53,Total Current Liabilities,33600000,38600000,39800000,44200000,46100000,57000000,62000000,74400000,70600000,80500000,86900000,83400000,82700000,87900000,98000000,108341000,108159000,105017000,132939000,157602000,162904000,180495000,200978000,212135000,163295000,205627000,233226000,247167000,268993000,249513000,243244000,297265000,320253000,338582000,339114000,416554000,500476000
54,Long-Term Debt,37000000,34900000,44400000,45400000,68600000,77300000,89800000,90500000,89700000,89800000,109000000,102600000,94900000,107700000,107400000,96466000,109588000,104304000,92004000,94018000,108945000,107403000,96939000,104725000,93911000,159963000,164967000,149564000,235246000,246897000,313817000,288859000,268299000,239022000,198532000,160812000,322862000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1614000,4045000,3318000,2988000,1863000,1539000,1215000,891000,- -,- -
56,Deferred Tax Liabilities,19100000,24300000,28600000,29200000,29900000,29900000,28800000,32700000,36000000,33000000,36500000,36000000,32300000,39900000,42000000,39170000,28603000,20065000,14570000,7758000,2210000,2046000,3680000,2137000,2837000,5154000,8644000,9200000,20616000,15804000,9455000,12497000,10962000,18672000,23391000,20745000,12491000
57,Other Non-Current Liabilities,- -,- -,- -,- -,100000,100000,-100000,- -,- -,10300000,7500000,27400000,27400000,21000000,12100000,16896000,38054000,51452000,62637000,64223000,74361000,74574000,64861000,83667000,83733000,87616000,87816000,97053000,84561000,109538000,111773000,117490000,128894000,102649000,124943000,165860000,155590000
58,Total Non-Current Liabilities,56100000,59200000,73000000,74600000,98600000,107300000,118500000,123200000,125700000,133100000,153000000,166000000,154600000,168600000,161500000,152532000,176245000,175821000,169211000,165999000,185516000,184023000,165480000,190529000,180481000,252733000,262427000,257431000,344468000,375557000,438033000,420709000,409694000,361558000,347757000,347417000,490943000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29654000,51567000,- -
61,Total Liabilities,89700000,97800000,112800000,118800000,144700000,164300000,180500000,197600000,196300000,213600000,239900000,249400000,237300000,256500000,259500000,260873000,284404000,280838000,302150000,323601000,348420000,364518000,366458000,402664000,343776000,458360000,495653000,504598000,613461000,625070000,681277000,717974000,729947000,700140000,686871000,763971000,991419000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14566000,14552000,14537000,14381000,14321000,14194000,13761000,13660000,13002000,12957000,1548000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9700000,9411000,9604000,9742000,9900000,10032000,10143000,10343000,10457000,10841000,11229000,11512000,11709000,25142000,25564000,25640000,25709000,25895000,26071000,26309000,26493000,26658000,- -
64,Retained Earnings,46400000,51800000,60300000,71100000,76000000,75700000,84600000,76800000,82500000,82400000,93300000,106500000,120900000,127500000,134200000,133308000,144658000,157448000,154780000,157373000,162663000,161184000,168338000,197481000,250973000,305830000,366293000,420472000,478826000,520540000,580208000,649070000,721741000,813448000,922464000,1023829000,- -
65,Other Comprehensive Income/Loss,-77800000,-88900000,-101200000,-113700000,-129000000,-145400000,-165200000,-186100000,-208600000,-234000000,-261600000,-290700000,-321100000,-353500000,-387400000,-420149000,-454684000,-491239000,-534432000,-568593000,-24000000,-14000000,-674781000,-41000000,-26000000,-26000000,-41000000,-38000000,-30000000,-84000000,-125000000,-127000000,-100000000,-141000000,-136000000,-136881000,-153236000
66,Other Total Stockholders Equity,81000000,92100000,100800000,109400000,123700000,152400000,171500000,208800000,230300000,262900000,290900000,315800000,337800000,373900000,398600000,431606000,454773000,468312000,517267000,554892000,3647000,8938000,687843000,27061000,39423000,45147000,51252000,69823000,77896000,73366000,76067000,86639000,92284000,85009000,78826000,73087000,- -
67,Total Stockholders Equity,49600000,55000000,59900000,66800000,70700000,82700000,90900000,99500000,104200000,111300000,122600000,131600000,137600000,147900000,155100000,154176000,154351000,158829000,162067000,168241000,166834000,180786000,206051000,208144000,289285000,349491000,401211000,478985000,552286000,535546000,556984000,634604000,740096000,783766000,891783000,986693000,1074193000
68,Total Liabilities And Stockholders Equity,139300000,152800000,172700000,185600000,215400000,247000000,271400000,297100000,300500000,324900000,362500000,381000000,374900000,404400000,414600000,415049000,438755000,439667000,464217000,491842000,515254000,545304000,572509000,610808000,633061000,807851000,896864000,983583000,1165747000,1160616000,1238261000,1352578000,1470043000,1483906000,1578654000,1750664000,2065612000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,934000,905000,751000,676000,1089000,1142000,3580000,4254000,1895000,1455000,1398000,1400000,1312000,818000,760000,713000,1672000,- -
70,Total Liabilities & Equity,139300000,152800000,172700000,185600000,215400000,247000000,271400000,297100000,300500000,324900000,362500000,381000000,374900000,404400000,414600000,415049000,438755000,439667000,464217000,492776000,516159000,546055000,573185000,611897000,634203000,811431000,901118000,985478000,1167202000,1162014000,1239661000,1353890000,1470861000,1484666000,1579367000,1752336000,2065612000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/94049/0000950131-94-000378-index.html,https://www.sec.gov/Archives/edgar/data/94049/000095012495000943/0000950124-95-000943-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/94049/000119312504041610/d10k.htm,https://www.sec.gov/Archives/edgar/data/94049/000119312505042706/d10k.htm,https://www.sec.gov/Archives/edgar/data/94049/000119312506045672/d10k.htm,https://www.sec.gov/Archives/edgar/data/94049/000119312507049148/d10k.htm,https://www.sec.gov/Archives/edgar/data/94049/000119312508047239/d10k.htm,https://www.sec.gov/Archives/edgar/data/94049/000119312509040288/0001193125-09-040288-index.html,https://www.sec.gov/Archives/edgar/data/94049/000119312510042807/0001193125-10-042807-index.html,https://www.sec.gov/Archives/edgar/data/94049/000119312511049619/d10k.htm,https://www.sec.gov/Archives/edgar/data/94049/000119312512081957/0001193125-12-081957-index.html,https://www.sec.gov/Archives/edgar/data/94049/000119312513079199/0001193125-13-079199-index.html,https://www.sec.gov/Archives/edgar/data/94049/000119312514069059/d648187d10k.htm,https://www.sec.gov/Archives/edgar/data/94049/000156459015001079/scl-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/94049/000156459016013219/0001564590-16-013219-index.html,https://www.sec.gov/Archives/edgar/data/94049/000156459017002324/0001564590-17-002324-index.html,https://www.sec.gov/Archives/edgar/data/94049/000156459018003442/0001564590-18-003442-index.html,https://www.sec.gov/Archives/edgar/data/94049/000156459019004767/0001564590-19-004767-index.html,https://www.sec.gov/Archives/edgar/data/94049/000156459020007326/0001564590-20-007326-index.html,https://www.sec.gov/Archives/edgar/data/94049/000156459021009289/0001564590-21-009289-index.htm,https://www.sec.gov/Archives/edgar/data/94049/000156459022006982/0001564590-22-006982-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,12500000,15800000,10800000,13800000,16100000,19100000,20400000,23500000,22100000,15008000,16072000,20129000,4911000,10324000,13159000,6670000,15118000,37172000,63049000,65427000,71976000,79396000,72828000,57101000,75968000,86191000,91578000,112762000,103129000,126770000,137804000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,21100000,23900000,27700000,28900000,30400000,32100000,35300000,37300000,39500000,39277000,39972000,40117000,41426000,39169000,38769000,38384000,37176000,36928000,37171000,40351000,47099000,51294000,56400000,63804000,66985000,74967000,79022000,81115000,78701000,81860000,90876000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-1200000,2400000,2700000,400000,2400000,-1700000,1100000,4300000,3700000,-3905000,-2431000,-466000,-5770000,-4310000,-5406000,-10143000,4701000,1278000,8190000,5365000,5056000,134000,259000,5306000,3001000,-8426000,550000,10864000,-5016000,-4506000,-33605000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3700000,4754000,3789000,3676000,3122000,2783000,-68000,4374000,12618000,7151000,6837000,8872000,10080000,6895000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,-2200000,2200000,4400000,300000,14400000,7000000,-6500000,-1900000,6800000,172000,3756000,7467000,-8574000,6361000,18462000,-8370000,4980000,23334000,70009000,35902000,24317000,29395000,63646000,-13514000,50286000,11947000,80207000,-4535000,15727000,9422000,-76205000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3906000,-12749000,-21229000,4160000,-17180000,-16358000,5196000,4894000,-23417000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-4100000,-3800000,-1100000,3500000,-8900000,4100000,1200000,-2800000,600000,-8283000,-167000,-8655000,-2563000,-4009000,-1516000,-4613000,-710000,-24044000,31819000,-16975000,-12854000,-50260000,-3794000,-18521000,2851000,-3774000,5655000,-26832000,28460000,-15358000,-79258000
