,https://roic.ai/company/HSC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,1138300000,1048700000,1064000000,1221900000,1322100000,1637700000,1820000000,1477200000,1295200000,1283100000,1351100000,1389600000,1446600000,1547800000,1551200000,1808679000,1944859000,1800761000,1944624000,2292210000,2497262000,3060383000,3222900000,3555834000,2770427000,2968693000,3221253000,2861994000,2724837000,1938386000,1602983000,1375134000,1459622000,1532975000,1402084000,1831989000,1763745000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3608000,2928000,2668000,2751000,3676000,2087000,1702000,1574000,2475000,2469000,2155000,1975000,2174000,2231000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73160000,62746000,60623000,48735000,47381000,49654000,47111000,46804000,51584000,47552000,38148000,44290000,61609000,63235000
14,Depreciation and Amortization,49800000,51900000,56100000,53800000,56200000,56600000,57700000,57100000,74900000,99600000,104900000,109400000,116500000,131400000,135900000,159099000,176531000,155661000,168935000,184371000,198065000,252982000,306413000,337949000,311531000,315239000,310441000,272117000,237041000,176326000,156475000,141486000,129937000,132785000,138395000,159702000,166673000
15,EBITDA,157800000,137300000,163900000,108200000,78400000,172200000,177300000,190500000,218800000,245700000,266200000,304700000,460500000,306300000,278200000,302707000,285238000,288007000,302860000,354616000,419493000,546903000,723503000,743874000,511563000,386892000,397514000,100137000,93666000,225816000,237145000,114040000,269114000,320889000,706818000,192191000,235748000
16,EBITDA ratio,0.1251,0.1215,0.1402,0.0846,0.0580,0.0979,0.0912,0.1172,0.1538,0.1810,0.1780,0.1956,0.2829,0.1765,0.1617,0.1510,0.1353,0.1457,0.1430,0.1417,0.1516,0.1598,0.1962,0.1875,0.1711,0.1273,0.1204,0.0329,0.0323,0.1093,0.1376,0.0786,0.1675,0.1863,0.4700,0.1031,0.1275
17,Operating Income,122900000,81600000,105200000,57100000,29100000,121800000,123100000,147700000,127100000,74600000,121600000,164700000,178300000,187600000,169600000,196062000,163615000,175971000,173892000,209849000,268948000,358469000,457805000,411988000,218656000,78431000,87649000,-174790000,-134799000,63471000,88536000,63469000,142799000,190927000,104279000,21081000,88376000
18,Operating Income ratio,0.0974,0.0722,0.0900,0.0446,0.0215,0.0692,0.0634,0.0909,0.0894,0.0549,0.0813,0.1057,0.1096,0.1081,0.0986,0.0978,0.0776,0.0890,0.0821,0.0839,0.0972,0.1047,0.1241,0.1038,0.0731,0.0258,0.0265,-0.0574,-0.0465,0.0307,0.0514,0.0437,0.0889,0.1109,0.0693,0.0113,0.0478
19,Total Other Income Expenses (Gains),-14900000,3800000,2600000,-2700000,-6900000,-6200000,-3500000,-7100000,10000000,71500000,39700000,30600000,-12700000,-12700000,-27300000,-52454000,-49820000,-39272000,-37990000,-38610000,-38679000,-56577000,-75366000,-68651000,-59314000,-57955000,-45984000,-43705000,-48533000,-55149000,-53721000,-142940000,-47348000,-33673000,-47808000,-52206000,-50870000
20,Income Before Tax,108000000,85400000,107800000,54400000,22200000,115600000,119600000,140600000,137100000,146100000,161300000,195300000,165600000,174900000,142300000,143608000,113795000,136699000,135902000,171239000,230269000,301892000,382439000,343337000,159342000,20476000,41665000,-218495000,-183332000,8322000,34815000,-79471000,95451000,157254000,56471000,-31125000,37506000
21,Income Before Tax Ratio,0.0856,0.0756,0.0922,0.0425,0.0164,0.0657,0.0616,0.0865,0.0964,0.1076,0.1079,0.1254,0.1018,0.1008,0.0827,0.0716,0.0540,0.0692,0.0641,0.0684,0.0832,0.0882,0.1037,0.0865,0.0533,0.0067,0.0126,-0.0717,-0.0633,0.0040,0.0202,-0.0548,0.0594,0.0913,0.0376,-0.0167,0.0203
22,Income Tax expense (Gain),47500000,35800000,44500000,23300000,10800000,43100000,43100000,49100000,56300000,59500000,63900000,76300000,65200000,67400000,51600000,46805000,36982000,42240000,41708000,49034000,64771000,97523000,117598000,91820000,18509000,4276000,49848000,35251000,34912000,27171000,27678000,6637000,83803000,12899000,20214000,-2779000,9089000
23,Net Income,60500000,49600000,63300000,31100000,11400000,72500000,76500000,84300000,87600000,86600000,97400000,119000000,278800000,107500000,90700000,96803000,71725000,90106000,92217000,121211000,156657000,196398000,299492000,240945000,118777000,6754000,-11510000,-254612000,-227941000,-24792000,6188000,-85667000,7822000,137057000,503919000,-26341000,-3249000
24,Net Income ratio,0.0480,0.0439,0.0541,0.0243,0.0084,0.0412,0.0394,0.0519,0.0616,0.0638,0.0651,0.0764,0.1713,0.0619,0.0527,0.0483,0.0340,0.0456,0.0435,0.0484,0.0566,0.0574,0.0812,0.0607,0.0397,0.0022,-0.0035,-0.0836,-0.0787,-0.0120,0.0036,-0.0590,0.0049,0.0796,0.3351,-0.0141,-0.0018
25,EPS,0.09,0.10,0.14,0.07,0.03,0.17,0.18,0.20,0.20,0.86,0.96,0.60,2.86,1.18,1.11,1.21,0.90,1.11,1.14,1.48,1.88,2.34,3.56,2.88,1.48,0.08,-0.15,-3.16,-2.82,-0.31,0.08,-1.07,0.10,1.70,6.33,-0.33,0.03
26,EPS Diluted,0.09,0.10,0.14,0.07,0.03,0.17,0.18,0.20,0.20,0.86,0.96,0.60,2.83,1.17,1.10,1.21,0.90,1.10,1.13,1.46,1.86,2.33,3.53,2.87,1.47,0.08,-0.15,-3.16,-2.82,-0.31,0.08,-1.07,0.09,1.64,6.19,-0.33,0.03
27,Weighted Average Shares Outstanding,119388000,117400000,108660000,105744000,104844000,104892000,104944000,101520000,99112000,100460000,100984000,199532000,97508000,91136000,81764000,79928000,79752000,80720000,81380000,82258000,83284000,83906000,84169000,83599000,80295000,80569000,80736000,80632000,80755000,80884000,80234000,80333000,80553000,80716000,79632000,78939000,79287000
28,Weighted Average Shares Outstanding Diluted,119388000,117400000,108660000,105744000,104844000,104892000,104944000,101520000,99112000,100460000,100984000,199532000,98342152,91880342,82034000,80044000,80132000,81360000,81946000,83196000,84160000,84430000,84724000,84029000,80586000,80761000,80987000,80632000,80755000,80884000,80365000,80333000,82840000,83595000,81375000,78939000,80275000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/45876/000004587695000007/0000045876-95-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/45876/000095012397002557/0000950123-97-002557-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/45876/000095012302002758/y58444e10-k405.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/45876/000107261306000595/form10-k_14195.htm,- -,https://www.sec.gov/Archives/edgar/data/45876/000107261308000597/form-10k_15722.htm,https://www.sec.gov/Archives/edgar/data/45876/000107261309000388/0001072613-09-000388-index.html,https://www.sec.gov/Archives/edgar/data/45876/000107261310000302/0001072613-10-000302-index.html,https://www.sec.gov/Archives/edgar/data/45876/000104746911001273/a2202115z10-k.htm,https://www.sec.gov/Archives/edgar/data/45876/000104746912001683/0001047469-12-001683-index.html,https://www.sec.gov/Archives/edgar/data/45876/000004587613000041/0000045876-13-000041-index.html,https://www.sec.gov/Archives/edgar/data/45876/000004587614000028/hsc-201310k.htm,https://www.sec.gov/Archives/edgar/data/45876/000004587615000026/hsc-201410kq4.htm,https://www.sec.gov/Archives/edgar/data/45876/000004587616000095/0000045876-16-000095-index.html,https://www.sec.gov/Archives/edgar/data/45876/000004587617000006/0000045876-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/45876/000004587618000014/0000045876-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/45876/000004587619000007/0000045876-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/45876/000004587620000026/0000045876-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/45876/000004587621000016/0000045876-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/45876/000004587622000009/0000045876-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,72900000,17500000,32400000,11600000,11400000,10500000,120200000,50400000,58700000,43500000,76700000,45900000,221600000,41600000,51300000,56422000,67409000,70132000,80210000,94093000,120929000,101260000,121833000,91336000,94184000,124238000,121184000,95250000,93605000,62843000,79756000,71879000,62098000,64260000,57259000,76454000,82908000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,72900000,17500000,32400000,11600000,11400000,10500000,120200000,50400000,58700000,43500000,76700000,45900000,221600000,41600000,51300000,56422000,67409000,70132000,80210000,94093000,120929000,101260000,121833000,91336000,94184000,124238000,121184000,95250000,93605000,62843000,79756000,71879000,62098000,64260000,57259000,76454000,82908000
34,Net Receivables,165100000,182100000,183600000,208900000,194600000,217000000,273900000,317300000,322900000,350600000,272900000,268200000,259600000,310900000,331100000,413654000,396185000,388872000,446875000,555191000,666252000,753168000,824094000,694912000,629183000,614600000,662906000,640100000,399651000,353249000,285272000,257607000,308258000,369649000,362421000,496397000,410940000
35,Inventory,203600000,189800000,217100000,289900000,339800000,332500000,225100000,202600000,202400000,121200000,123300000,126000000,135200000,175800000,172200000,199117000,183812000,181712000,190221000,217026000,251080000,285229000,310931000,309530000,291174000,271617000,241934000,236512000,155689000,177265000,216967000,187681000,178293000,133111000,156991000,173013000,70493000
36,Other Current Assets,31800000,36500000,30400000,36500000,52800000,33100000,42300000,28000000,16100000,21500000,60900000,68400000,97300000,59100000,58400000,57222000,68661000,61686000,47045000,58614000,62762000,91965000,88479000,109710000,154797000,144491000,133407000,94581000,189810000,88465000,82527000,60523000,43443000,38014000,76141000,69959000,310632000
37,Total Current Assets,473400000,425900000,463500000,546900000,598600000,593100000,661500000,598300000,600100000,536800000,533800000,508500000,713700000,587400000,613000000,726415000,716067000,702402000,764351000,924924000,1101023000,1231622000,1345337000,1205488000,1169338000,1154946000,1159431000,1066443000,838755000,681822000,664522000,577690000,592092000,605034000,652812000,815823000,874973000
38,PP&E,275300000,266300000,263600000,281200000,284200000,300700000,296600000,278700000,491700000,435000000,459800000,513100000,511900000,626200000,671500000,896781000,840489000,807935000,866918000,932298000,1139808000,1322467000,1535214000,1482833000,1510801000,1366973000,1274484000,1266225000,711346000,663244000,564035000,490255000,479747000,469900000,613851000,765058000,755489000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,353564000,- -,- -,- -,- -,612480000,720069000,631490000,699041000,690787000,680901000,429198000,431265000,416155000,400367000,382251000,401758000,411552000,738369000,902074000,883109000
40,Intangible Assets,20000000,18700000,17400000,17300000,16100000,16600000,15100000,13500000,221100000,213500000,205800000,195400000,187700000,273700000,258700000,369199000,- -,377220000,407846000,433125000,638468000,88164000,188864000,141493000,150746000,120959000,93501000,77726000,53261000,58524000,53058000,41567000,38251000,79825000,299082000,438565000,402801000
41,Intangible Assets,20000000,18700000,17400000,17300000,16100000,16600000,15100000,13500000,221100000,213500000,205800000,195400000,187700000,273700000,258700000,369199000,353564000,377220000,407846000,433125000,638468000,700644000,908933000,772983000,849787000,811746000,774402000,506924000,484526000,474679000,453425000,423818000,440009000,491377000,1037451000,1340639000,1285910000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,298856000,288505000,252609000,1944000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51574000,49114000,14288000,15274000,17883000
44,Other Non-Current Assets,55200000,43900000,57800000,47700000,79300000,80600000,86500000,100700000,114700000,129300000,111300000,107400000,63900000,136300000,116600000,188553000,180646000,111740000,98920000,99409000,96505000,71690000,115946000,101666000,109314000,135555000,130560000,133377000,108265000,155551000,136736000,87679000,15263000,17442000,49065000,56493000,119653000
45,Total Non-Current Assets,350500000,328900000,338800000,346200000,379600000,397900000,398200000,392900000,827500000,777800000,776900000,815900000,763500000,1036200000,1046800000,1454533000,1374699000,1296895000,1373684000,1464832000,1874781000,2094801000,2560093000,2357482000,2469902000,2314274000,2179446000,1909526000,1602993000,1581979000,1406805000,1003696000,986593000,1027833000,1714655000,2177464000,2178935000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,823900000,754800000,802300000,893100000,978200000,991000000,1059700000,991200000,1427600000,1314600000,1310700000,1324400000,1477200000,1623600000,1659800000,2180948000,2090766000,1999297000,2138035000,2389756000,2975804000,3326423000,3905430000,3562970000,3639240000,3469220000,3338877000,2975969000,2441748000,2263801000,2071327000,1581386000,1578685000,1632867000,2367467000,2993287000,3053908000
48,Accounts Payable,- -,- -,- -,- -,- -,111400000,94000000,72100000,98000000,92200000,112700000,111900000,120100000,142700000,132400000,192148000,169434000,166871000,188430000,220322000,247179000,287006000,307814000,262783000,215504000,261509000,252329000,221479000,181410000,146506000,136018000,107954000,126249000,149410000,176755000,218039000,186126000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,25700000,108700000,26200000,26500000,54600000,36600000,62295000,41771000,34057000,29106000,31062000,104029000,198204000,68707000,121066000,83193000,35208000,54972000,11838000,27746000,41936000,55313000,29833000,19829000,16567000,18857000,45888000,43564000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13395000,5931000,9718000,8409000,10109000,7199000,1985000,4408000,4301000,5106000,2634000,18692000,3499000,6378000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111429000,47696000,24053000,117398000,107250000,117329000,117958000,31317000,53906000,39917000,- -
52,Other Current Liabilities,188100000,167700000,186900000,311600000,387400000,255100000,282800000,209300000,319300000,164500000,167100000,155900000,225900000,277500000,261500000,281736000,263469000,272922000,277539000,327013000,397195000,425565000,497449000,504577000,452405000,471147000,363538000,356562000,373560000,259720000,207542000,172838000,210092000,219702000,215376000,234111000,371701000
53,Total Current Liabilities,188100000,167700000,186900000,311600000,387400000,366500000,376800000,281400000,417300000,282400000,388500000,294000000,372500000,474800000,430500000,536179000,474674000,473850000,495075000,578397000,748403000,910775000,873970000,888426000,751102000,767864000,782268000,637575000,606769000,565560000,506123000,427954000,474128000,416996000,464894000,537955000,601391000
54,Long-Term Debt,118700000,63000000,135900000,131300000,127300000,122700000,120500000,119800000,364900000,340200000,179900000,227400000,198900000,309100000,418500000,774450000,720197000,605613000,584425000,594747000,905859000,864817000,1012087000,891817000,901734000,849724000,853800000,957428000,783158000,829709000,855751000,629239000,566794000,585662000,775498000,1341049000,1434017000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37675000,6408000,45017000,- -
56,Deferred Tax Liabilities,32900000,40000000,26100000,17800000,15800000,21800000,24000000,16700000,33400000,29200000,36100000,34200000,37000000,55200000,52900000,88480000,103082000,62096000,66855000,95702000,123334000,103592000,174423000,35442000,90993000,35642000,27430000,18880000,8217000,6379000,12095000,2621000,- -,- -,- -,40653000,33826000
57,Other Non-Current Liabilities,16500000,10700000,9400000,11100000,53200000,42900000,58700000,78200000,88900000,81600000,80200000,87500000,87100000,99200000,107800000,107660000,106640000,213198000,214692000,206720000,204314000,300875000,278831000,333609000,385577000,347845000,455461000,500462000,436769000,503819000,386555000,384009000,322598000,279158000,331008000,315214000,178904000
58,Total Non-Current Liabilities,168100000,113700000,171400000,160200000,196300000,187400000,203200000,214700000,487200000,451000000,296200000,349100000,323000000,463500000,579200000,970590000,929919000,880907000,865972000,897169000,1233507000,1269284000,1465341000,1260868000,1378304000,1233211000,1336691000,1476770000,1228144000,1339907000,1254401000,1015869000,889392000,902495000,1112914000,1741933000,1646747000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49518000,94722000,100161000
61,Total Liabilities,356200000,281400000,358300000,471800000,583700000,553900000,580000000,496100000,904500000,733400000,684700000,643100000,695500000,938300000,1009700000,1506769000,1404593000,1354757000,1361047000,1475566000,1981910000,2180059000,2339311000,2149294000,2129406000,2001075000,2118959000,2114345000,1834913000,1905467000,1760524000,1443823000,1363520000,1319491000,1577808000,2279888000,2248138000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82800000,82887000,83106000,83793000,84197000,84889000,85322000,85614000,138665000,138925000,139234000,139514000,139914000,140080000,140248000,140444000,140503000,140625000,141110000,141842000,143400000,144288000,144883000
64,Retained Earnings,382300000,400800000,434700000,435600000,415500000,456500000,500800000,550500000,603200000,654000000,713800000,794500000,1033800000,1101800000,1155600000,1214659000,1247680000,1296855000,1345787000,1420637000,1526216000,1666761000,1904502000,2079170000,2133297000,2073920000,1996234000,1675490000,1381321000,1290208000,1236355000,1150688000,1157801000,1298752000,1824100000,1797759000,1794510000
65,Other Comprehensive Income/Loss,-434500000,-411200000,-446900000,-473000000,-484500000,-510000000,-539400000,-536700000,-569100000,-550000000,-620500000,-674300000,-690900000,-811900000,-828300000,-874713000,-946496000,-242978000,-169427000,-127491000,-168436000,-169334000,-2501000,-208299000,-201684000,-185932000,-364191000,-411168000,-370615000,-532491000,-515688000,-606722000,-546582000,-567107000,-587622000,-645741000,-560139000
66,Other Total Stockholders Equity,519900000,483800000,456200000,458700000,463500000,490600000,518300000,481300000,489000000,477200000,532700000,561100000,438800000,395400000,240000000,251346000,301883000,-493130000,-483569000,-463845000,-449208000,-436677000,-474547000,-596120000,-597270000,-595808000,-595578000,-592560000,-587212000,-584149000,-589600000,-588290000,-581878000,-605224000,-638298000,-639152000,- -
67,Total Stockholders Equity,467700000,473400000,444000000,421300000,394500000,437100000,479700000,495100000,523100000,581200000,626000000,681300000,781700000,685300000,650100000,674179000,686173000,644540000,776988000,914190000,993894000,1146364000,1566119000,1413676000,1473577000,1431694000,1176379000,811842000,563742000,314012000,271570000,96301000,170451000,268263000,741580000,657154000,748160000
68,Total Liabilities And Stockholders Equity,823900000,754800000,802300000,893100000,978200000,991000000,1059700000,991200000,1427600000,1314600000,1310700000,1324400000,1477200000,1623600000,1659800000,2180948000,2090766000,1999297000,2138035000,2389756000,2975804000,3326423000,3905430000,3562970000,3602983000,3432769000,3295338000,2926187000,2398655000,2219479000,2032094000,1540124000,1533971000,1587754000,2319388000,2937042000,2996298000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36257000,36451000,43539000,49782000,43093000,44322000,39233000,41262000,44714000,45113000,48079000,56245000,57610000
70,Total Liabilities & Equity,823900000,754800000,802300000,893100000,978200000,991000000,1059700000,991200000,1427600000,1314600000,1310700000,1324400000,1477200000,1623600000,1659800000,2180948000,2090766000,1999297000,2138035000,2389756000,2975804000,3326423000,3905430000,3562970000,3639240000,3469220000,3338877000,2975969000,2441748000,2263801000,2071327000,1581386000,1578685000,1632867000,2367467000,2993287000,3053908000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/45876/000004587695000007/0000045876-95-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/45876/000095012397002557/0000950123-97-002557-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/45876/000095012302002758/y58444e10-k405.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/45876/000107261306000595/form10-k_14195.htm,- -,https://www.sec.gov/Archives/edgar/data/45876/000107261308000597/form-10k_15722.htm,https://www.sec.gov/Archives/edgar/data/45876/000107261309000388/0001072613-09-000388-index.html,https://www.sec.gov/Archives/edgar/data/45876/000107261310000302/0001072613-10-000302-index.html,https://www.sec.gov/Archives/edgar/data/45876/000104746911001273/a2202115z10-k.htm,https://www.sec.gov/Archives/edgar/data/45876/000104746912001683/0001047469-12-001683-index.html,https://www.sec.gov/Archives/edgar/data/45876/000004587613000041/0000045876-13-000041-index.html,https://www.sec.gov/Archives/edgar/data/45876/000004587614000028/hsc-201310k.htm,https://www.sec.gov/Archives/edgar/data/45876/000004587615000026/hsc-201410kq4.htm,https://www.sec.gov/Archives/edgar/data/45876/000004587616000095/0000045876-16-000095-index.html,https://www.sec.gov/Archives/edgar/data/45876/000004587617000006/0000045876-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/45876/000004587618000014/0000045876-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/45876/000004587619000007/0000045876-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/45876/000004587620000026/0000045876-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/45876/000004587621000016/0000045876-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/45876/000004587622000009/0000045876-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,11400000,72500000,76500000,84300000,87600000,86600000,97400000,119000000,278800000,107500000,90700000,96803000,71725000,90106000,92217000,121211000,156657000,196398000,299492000,240945000,118777000,6754000,-11510000,-254612000,-227941000,-24792000,6188000,-85667000,7822000,137057000,503919000,-26341000,-3249000
74,Depreciation and Amortization,- -,- -,- -,- -,56200000,56600000,57700000,57100000,74900000,99600000,104900000,109400000,116500000,131400000,135900000,159099000,176531000,155661000,168935000,184371000,198065000,252982000,306413000,337949000,311531000,315239000,310441000,272117000,237041000,176326000,156475000,141486000,129937000,132785000,138395000,159702000,166673000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19000000,-800000,-8200000,3900000,200000,22806000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10708000,-18427000,7551000,5174000,-7654000,57349000,-6522000,6815000,1115000,-16930000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,58800000,15400000,58100000,32200000,-134100000,71600000,-109100000,69200000,126700000,-228600000,69900000,7736000,51157000,-12841000,40724000,77251000,6093000,-31773000,150520000,-154305000,101174000,-31154000,-9919000,51705000,-196882000,-115724000,42137000,-8663000,-31772000,70074000,-120000,89950000,-85576000
