,https://roic.ai/company/FL,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3476000000,3182000000,2876000000,2515000000,2232000000,2290000000,2486000000,2689000000,3237000000,3312000000,3249000000,3248000000,2877000000,2816000000,2896000000,3050000000,3367000000,3487000000,3577000000,3775000000,3840000000,3961000000,3820000000,6589000000,7043000000,7721000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,334000000,327000000,245000000,233000000,264000000,272000000,251000000,234000000,381000000,361000000,256000000,233000000,187000000,215000000,223000000,240000000,298000000,263000000,301000000,279000000,249000000,258000000,387000000,333000000,402000000,596000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,250000000,71000000,- -,- -,1000000,- -,18000000,51000000,14000000,- -,- -,- -,- -,- -,- -,3000000,2000000,1000000,- -,- -,- -,518000000,682000000,6000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000000,48000000,56000000,66000000,95000000,71000000,74000000,69000000,61000000,177000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44000000,- -,- -,- -,- -,43000000,49000000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,522000000,407000000,469000000,473000000,365000000,267000000,320000000,311000000,285000000,305000000,246000000,268000000,231000000,218000000,266000000,308000000,338000000,360000000,349000000,420000000,363000000,358000000,377000000,300000000,511000000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,856000000,756000000,964000000,777000000,629000000,539000000,572000000,545000000,684000000,717000000,516000000,501000000,418000000,433000000,489000000,548000000,636000000,626000000,696000000,700000000,612000000,616000000,764000000,1194000000,1644000000,602000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,580000000,535000000,511000000,312000000,259000000,365000000,356000000,335000000,347000000,275000000,220000000,221000000,142000000,138000000,137000000,135000000,133000000,136000000,132000000,129000000,127000000,125000000,124000000,122000000,2507000000,451000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,- -,- -,5000000,5000000,18000000,14000000,13000000,3000000,15000000,6000000,2000000,18000000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,706000000,572000000,363000000,287000000,331000000,394000000,448000000,434000000,376000000,293000000,218000000,255000000,381000000,297000000,245000000,252000000,216000000,211000000,239000000,380000000,388000000,686000000,420000000,2798000000,98000000,3839000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1286000000,1155000000,874000000,599000000,590000000,759000000,804000000,769000000,723000000,568000000,438000000,476000000,535000000,435000000,382000000,392000000,354000000,365000000,385000000,522000000,518000000,826000000,550000000,2922000000,2623000000,4290000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,2000000,1000000,- -,- -,- -,3196000000,3079000000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2142000000,1911000000,1838000000,1376000000,1219000000,1298000000,1376000000,1314000000,1407000000,1285000000,954000000,977000000,953000000,868000000,871000000,940000000,990000000,991000000,1081000000,1222000000,1130000000,1442000000,1314000000,4116000000,4267000000,4892000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,299000000,- -,328000000,336000000,349000000,363000000,378000000,411000000,608000000,635000000,653000000,676000000,- -,709000000,735000000,779000000,856000000,921000000,979000000,1108000000,900000000,842000000,809000000,764000000,779000000,770000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1050000000,1033000000,897000000,945000000,705000000,797000000,946000000,1132000000,1386000000,1601000000,1785000000,1760000000,1581000000,1535000000,1611000000,1788000000,2076000000,2387000000,2780000000,3182000000,2254000000,2019000000,2104000000,2103000000,2326000000,2900000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30000000,-1065000000,-374000000,-284000000,-82000000,-336000000,-213000000,-167000000,-162000000,-171000000,-96000000,-66000000,-246000000,-193000000,-169000000,-204000000,-171000000,-186000000,-319000000,-366000000,-363000000,-279000000,-370000000,-394000000,-331000000,-343000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,1303000000,187000000,142000000,41000000,168000000,-1000000,-1000000,- -,- -,- -,-99000000,589000000,-103000000,-152000000,-253000000,-384000000,-626000000,-944000000,-1371000000,-81000000,-63000000,-37000000,- -,-3000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1334000000,1271000000,1038000000,1139000000,1013000000,992000000,1110000000,1375000000,1830000000,2027000000,2295000000,2271000000,1924000000,1948000000,2025000000,2110000000,2377000000,2496000000,2496000000,2553000000,2710000000,2519000000,2506000000,2473000000,2771000000,3243000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3476000000,3182000000,2876000000,2515000000,2232000000,2290000000,2486000000,2689000000,3237000000,3312000000,3249000000,3248000000,2877000000,2816000000,2896000000,3050000000,3367000000,3487000000,3577000000,3775000000,3840000000,3961000000,3820000000,6589000000,7038000000,8135000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,-414000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3476000000,3182000000,2876000000,2515000000,2232000000,2290000000,2486000000,2689000000,3237000000,3312000000,3249000000,3248000000,2877000000,2816000000,2896000000,3050000000,3367000000,3487000000,3577000000,3775000000,3840000000,3961000000,3820000000,6589000000,7043000000,7721000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/850209/000120677408000652/footlocker_10k.htm,https://www.sec.gov/Archives/edgar/data/850209/000120677409000650/0001206774-09-000650-index.html,https://www.sec.gov/Archives/edgar/data/850209/000114420410016376/0001144204-10-016376-index.html,https://www.sec.gov/Archives/edgar/data/850209/000114420411017589/v213718_10k.htm,https://www.sec.gov/Archives/edgar/data/850209/000114420412017162/0001144204-12-017162-index.html,https://www.sec.gov/Archives/edgar/data/850209/000114420413019239/0001144204-13-019239-index.html,https://www.sec.gov/Archives/edgar/data/850209/000114420414019510/v367190_10k.htm,https://www.sec.gov/Archives/edgar/data/850209/000114420415019391/v403865_10k.htm,https://www.sec.gov/Archives/edgar/data/850209/000114420416090138/0001144204-16-090138-index.html,https://www.sec.gov/Archives/edgar/data/850209/000085020917000003/0000850209-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/850209/000085020918000004/0000850209-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/0001558370-19-002753-index.html,https://www.sec.gov/Archives/edgar/data/850209/000085020920000007/0000850209-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/850209/000085020921000003/0000850209-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/850209/000085020922000003/0000850209-22-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,329000000,317000000,-53000000,280000000,-495000000,47000000,-164000000,169000000,-10000000,-136000000,48000000,-240000000,92000000,153000000,207000000,293000000,264000000,251000000,51000000,-80000000,48000000,169000000,278000000,397000000,429000000,520000000,541000000,664000000,284000000,541000000,491000000,323000000,892000000
74,Depreciation and Amortization,- -,- -,- -,- -,204000000,234000000,261000000,254000000,257000000,233000000,239000000,187000000,168000000,152000000,182000000,151000000,154000000,149000000,147000000,154000000,171000000,175000000,166000000,130000000,112000000,106000000,110000000,118000000,133000000,139000000,148000000,158000000,173000000,178000000,179000000,176000000,197000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-96000000,93000000,-300000000,66000000,-100000000,18000000,32000000,30000000,-13000000,21000000,38000000,38000000,-5000000,50000000,24000000,21000000,-129000000,-44000000,2000000,84000000,29000000,20000000,19000000,20000000,-6000000,-1000000,105000000,9000000,5000000,-9000000,74000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,13000000,18000000,20000000,25000000,24000000,22000000,22000000,15000000,22000000,18000000,15000000,29000000
77,Change in Working Capital,- -,- -,- -,- -,-131000000,- -,- -,- -,- -,- -,967000000,-264000000,-392000000,1000000,59000000,204000000,137000000,262000000,174000000,149000000,221000000,45000000,-217000000,-7000000,106000000,86000000,196000000,-3000000,36000000,146000000,115000000,-86000000,-181000000,-562000000,-1000000,277000000,-840000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-245000000,-78000000,-34000000,-191000000,661000000,-24000000,287000000,63000000,-99000000,-78000000,30000000,-36000000,-69000000,-22000000,-63000000,-183000000,-111000000,-38000000,55000000,128000000,111000000,-19000000,-17000000,-91000000,-20000000,-81000000,-49000000,-25000000,69000000,-16000000,51000000,294000000,-259000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,19000000,57000000,-48000000,51000000,-17000000,-31000000,- -,135000000,-51000000,58000000,161000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,967000000,703000000,311000000,312000000,371000000,575000000,712000000,974000000,1148000000,1297000000,1518000000,1563000000,1346000000,1339000000,1445000000,1531000000,1727000000,1724000000,1760000000,1906000000,2021000000,1935000000,1754000000,1192000000,1191000000,1468000000,628000000
