,https://roic.ai/company/CRMT,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.1358,-0.1622,-0.0896,0.2018,-0.2500,-23.0000,-203.0000,123.0000,89.0000,0.0195,0.1894,0.0760,0.0211,-0.1206,0.0909,0.0897,0.0878,0.0713,0.0176,0.0547,0.0599,0.0792,0.0825,0.0853,0.0692,0.0432,0.0556,0.0204,0.0344,0.0596,0.0712,0.0690,0.1134
25,EPS,0.28,-0.32,-0.21,0.42,-0.07,-0.16,-1.34,0.69,0.53,0.03,1.15,1.07,0.51,-1.41,1.34,1.39,1.53,1.41,0.36,1.27,1.52,2.29,2.59,3.36,3.53,2.36,3.42,1.38,2.57,5.04,6.99,7.74,15.70
26,EPS Diluted,0.28,-0.32,-0.21,0.42,-0.07,-0.16,-1.34,0.69,0.53,0.03,1.12,1.03,0.49,-1.41,1.20,1.32,1.49,1.39,0.35,1.26,1.52,2.27,2.54,3.24,3.36,2.25,3.25,1.33,2.49,4.90,6.73,7.39,14.95
27,Weighted Average Shares Outstanding,3926608,5622189,5622189,5473454,5451820,13979497,15149254,17972635,16540615,14744088,15143421,13824276,11545858,10193191,10523988,11318946,11737398,11852804,11850247,11825657,11747183,11681880,10861403,9793616,9111851,8930592,8617864,8370478,7854238,7232014,6810879,6630023,6628749
28,Weighted Average Shares Outstanding Diluted,3926608,5622189,5622189,5473454,5451820,13979497,15155989,18205183,18452312,14858728,15600756,14431992,12023751,10193191,11743116,11945139,12026745,12018541,11953987,11907321,11806732,11815629,11088243,10156355,9569702,9391667,9048957,8666031,8110777,7441358,7071768,6945652,6961575
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/799850/000095013400005980/0000950134-00-005980-index.html,- -,https://www.sec.gov/Archives/edgar/data/799850/000095013402008609/0000950134-02-008609-index.html,- -,https://www.sec.gov/Archives/edgar/data/799850/000104746904022753/a2139674z10-k.htm,https://www.sec.gov/Archives/edgar/data/799850/000110465905032475/a05-12195_110k.htm,https://www.sec.gov/Archives/edgar/data/799850/000118811206002159/t10969_10k.htm,https://www.sec.gov/Archives/edgar/data/799850/000118811207002125/0001188112-07-002125-index.html,https://www.sec.gov/Archives/edgar/data/799850/000118811208002122/0001188112-08-002122-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184309000662/0001171843-09-000662-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184310001126/0001171843-10-001126-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184311001836/0001171843-11-001836-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184312002294/f10k_061512.htm,https://www.sec.gov/Archives/edgar/data/799850/000117184313002561/0001171843-13-002561-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184314002771/0001171843-14-002771-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184315003406/0001171843-15-003406-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184316010722/0001171843-16-010722-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184317003603/0001171843-17-003603-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184318004631/0001171843-18-004631-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184319004116/0001171843-19-004116-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184320004544/0001171843-20-004544-index.htm,https://www.sec.gov/Archives/edgar/data/799850/000117184321004687/0001171843-21-004687-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,300000,700000,1000000,600000,100000,1800000,1700000,700000,21100000,6500000,12900000,9843310,2193342,1229920,783786,1128349,459177,254824,257000,153000,168000,268000,223000,276000,272000,289000,790000,602000,434000,1022000,1752000,59560000,2893000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,300000,700000,1000000,600000,100000,1800000,1700000,700000,21100000,6500000,12900000,9843310,2193342,1229920,783786,1128349,459177,254824,257000,153000,168000,268000,223000,276000,272000,289000,790000,602000,434000,1022000,1752000,59560000,2893000
34,Net Receivables,600000,2500000,1700000,1700000,1300000,1000000,900000,700000,300000,2300000,91000000,5489686,218248390,84163978,92168623,104193412,123623012,150197053,141821000,167577000,182819000,206384000,224658000,253975000,292223000,295129000,326791000,337403000,359259000,387256000,419781000,469239000,628486000
35,Inventory,700000,500000,800000,600000,200000,- -,- -,- -,- -,3800000,9300000,14948365,10993585,3540538,4056027,5975292,7985959,10923200,13682000,13532000,15476000,20367000,23595000,27242000,32827000,30115000,34267000,29879000,30129000,33610000,37483000,36414000,82263000
36,Other Current Assets,200000,800000,800000,100000,- -,200000,- -,100000,15300000,55700000,13400000,199286855,45216876,251729,353014,387641,295452,802274,600000,832000,1460000,1176000,2046000,1545000,2407000,3496000,4195000,3302000,3942000,4747000,4634000,4441000,6120000
37,Total Current Assets,1800000,4500000,4300000,3000000,1600000,3000000,2600000,1500000,36700000,68300000,126600000,229568216,276652193,89186165,97361450,111684694,132363600,162177351,156360000,182094000,199923000,228195000,250522000,283038000,327729000,329029000,366043000,371186000,393764000,426635000,463650000,569654000,719762000
38,PP&E,800000,2700000,2300000,1700000,1400000,12400000,42100000,17900000,1600000,9200000,22100000,27736105,17016321,2626711,4479132,5556757,11304658,15435852,16883000,18140000,19346000,22722000,25532000,27547000,30181000,33913000,33963000,34755000,30139000,28594000,28537000,90853000,95117000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,6817000,7280000
40,Intangible Assets,1000000,1700000,1600000,- -,- -,9500000,9400000,- -,- -,9600000,14300000,17239955,8851602,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,1000000,1700000,1600000,- -,- -,9500000,9400000,- -,- -,9600000,14300000,17239955,8851602,- -,- -,- -,- -,- -,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,6817000,7280000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119052,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3000000,3400000,2700000,2200000,1500000,6100000,400000,19900000,-100000,6600000,5100000,16363043,- -,36210434,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,4800000,7800000,6600000,3900000,2900000,28000000,51900000,37800000,1500000,25400000,41500000,61339103,25867923,38956197,4479132,5556757,11304658,15435852,17238000,18495000,19701000,23077000,25887000,27902000,30536000,34268000,34318000,35110000,30494000,28949000,28892000,97670000,102397000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6600000,12300000,10900000,6900000,4500000,31000000,54500000,39300000,38200000,93700000,168100000,290907319,302520116,128142362,101840582,117241451,143668258,177613203,173598000,200589000,219624000,251272000,276409000,310940000,358265000,363297000,400361000,406296000,424258000,455584000,492542000,667324000,822159000
48,Accounts Payable,- -,3100000,2000000,1700000,200000,200000,1000000,100000,- -,2000000,4700000,8606983,6441606,1984918,2084472,2122927,2796086,3094825,2473000,3871000,3928000,5796000,7742000,7352000,8832000,8542000,11022000,12313000,11224000,13609000,13659000,13117000,18208000
49,Short-Term Debt,300000,100000,- -,- -,- -,- -,29400000,100000,- -,- -,7800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128000,1537000,1085000,1587000,101000,774000,889000,1274000,- -,1802000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,308000,23000,- -,1785000,- -,782000,- -,- -,885000,- -,- -,3841000,150000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4631000,7353000,8229000,11933000,13781000,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,900000,1100000,1000000,300000,- -,200000,3200000,800000,2100000,2000000,9000000,23156667,17294840,6282639,7827017,8006928,8461701,11678502,6233000,11063000,13150000,12698000,8379000,26906000,3461000,4780000,4405000,4825000,5712000,3544000,5238000,9471000,5321000
53,Total Current Liabilities,1200000,4300000,3000000,2000000,200000,400000,33600000,1000000,2100000,4000000,21500000,31763650,23736446,8267557,9911489,10129855,11257787,14773327,8706000,19565000,24431000,26723000,28054000,48167000,13830000,14407000,17014000,17239000,17710000,18042000,20171000,22588000,25331000
54,Long-Term Debt,1100000,5000000,6000000,- -,- -,- -,2300000,4900000,- -,46000000,88400000,191051603,209387602,39791957,25968220,22534120,29145090,43588443,40829000,40337000,29839000,38766000,47539000,77900000,99563000,97032000,102685000,107801000,117839000,151145000,152079000,215123000,288810000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16374000,17467000,25236000,27339000,28083000,30155000,31959000,36121000,56810000
56,Deferred Tax Liabilities,100000,- -,- -,700000,600000,4400000,500000,3300000,400000,3000000,800000,- -,4963154,27269661,- -,- -,- -,- -,335000,3465000,8377000,9193000,13405000,- -,20603000,17757000,21940000,21016000,21812000,15828000,17830000,15953000,25911000
57,Other Non-Current Liabilities,- -,-100000,- -,- -,- -,100000,200000,-100000,- -,2300000,2600000,4207117,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,400000,400000,5227000,3228000,3954000,3684000,5406000,9479000,9593000,74380000,18401000
58,Total Non-Current Liabilities,1200000,4900000,6000000,700000,600000,4500000,3000000,8100000,400000,51300000,91800000,195258720,214350756,67061618,25968220,22534120,29145090,43588443,41164000,43802000,38216000,48359000,61344000,78300000,141767000,135484000,153815000,159840000,173140000,206607000,211461000,341577000,389932000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1117000,839000,63255000,62886000
61,Total Liabilities,2400000,9200000,9000000,2700000,800000,4900000,36600000,9100000,2500000,55300000,113300000,227022370,238087202,75329175,35879709,32663975,40402877,58361770,49870000,63367000,62647000,75082000,89398000,126467000,155597000,149891000,170829000,177079000,190850000,224649000,231632000,364165000,415263000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,400000,400000,400000,400000,400000,400000,400000,400000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,82478,69804,69444,72080,77578,118437,119293,120000,121000,122000,123000,123000,124000,124000,125000,127000,127000,129000,131000,134000,135000,136000
64,Retained Earnings,1000000,-800000,-2000000,400000,-100000,-3700000,-24000000,-11700000,-2900000,-2500000,15000000,29823944,35786772,21481758,35556687,51361133,69337499,86042067,90274000,105307000,123213000,150012000,178187000,211134000,243259000,264348000,293798000,305354000,325519000,361988000,409573000,460876000,564975000
65,Other Comprehensive Income/Loss,-100000,-600000,-1100000,-1000000,-1200000,-100000,-200000,-17900000,-200000,-700000,-1900000,-3949291,-4367930,-1022836,-759945,-958713,-1322820,1497530,-2816000,-3916000,-5211000,-7152000,-8907000,-11142000,-13821000,-15843000,-19535000,-22383000,-26182000,-28077000,-31585000,-35160000,- -
66,Other Total Stockholders Equity,3300000,4500000,5000000,4800000,5000000,29900000,42100000,59800000,38800000,41600000,41600000,37927818,32944268,32284821,31092051,34097478,35132265,31592543,36150000,35710000,38853000,33107000,17508000,-15743000,-27394000,-35724000,-45358000,-54381000,-66558000,-103607000,-117712000,-123192000,-158715000
67,Total Stockholders Equity,4200000,3100000,1900000,4200000,3700000,26100000,17900000,30200000,35700000,38400000,54800000,63884949,64432914,52813187,65960873,84577476,103265381,119251433,123728000,137222000,156977000,176090000,186911000,184373000,202568000,213306000,229432000,229117000,233308000,230835000,260810000,303059000,406796000
68,Total Liabilities And Stockholders Equity,6600000,12300000,10900000,6900000,4500000,31000000,54500000,39300000,38200000,93700000,168100000,290907319,302520116,128142362,101840582,117241451,143668258,177613203,173598000,200589000,219624000,251172000,276309000,310840000,358165000,363197000,400261000,406196000,424158000,455484000,492442000,667224000,822059000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
70,Total Liabilities & Equity,6600000,12300000,10900000,6900000,4500000,31000000,54500000,39300000,38200000,93700000,168100000,290907319,302520116,128142362,101840582,117241451,143668258,177613203,173598000,200589000,219624000,251272000,276409000,310940000,358265000,363297000,400361000,406296000,424258000,455584000,492542000,667324000,822159000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/799850/000095013400005980/0000950134-00-005980-index.html,- -,https://www.sec.gov/Archives/edgar/data/799850/000095013402008609/0000950134-02-008609-index.html,- -,https://www.sec.gov/Archives/edgar/data/799850/000104746904022753/a2139674z10-k.htm,https://www.sec.gov/Archives/edgar/data/799850/000110465905032475/a05-12195_110k.htm,https://www.sec.gov/Archives/edgar/data/799850/000118811206002159/t10969_10k.htm,https://www.sec.gov/Archives/edgar/data/799850/000118811207002125/0001188112-07-002125-index.html,https://www.sec.gov/Archives/edgar/data/799850/000118811208002122/0001188112-08-002122-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184309000662/0001171843-09-000662-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184310001126/0001171843-10-001126-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184311001836/0001171843-11-001836-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184312002294/f10k_061512.htm,https://www.sec.gov/Archives/edgar/data/799850/000117184313002561/0001171843-13-002561-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184314002771/0001171843-14-002771-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184315003406/0001171843-15-003406-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184316010722/0001171843-16-010722-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184317003603/0001171843-17-003603-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184318004631/0001171843-18-004631-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184319004116/0001171843-19-004116-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184320004544/0001171843-20-004544-index.htm,https://www.sec.gov/Archives/edgar/data/799850/000117184321004687/0001171843-21-004687-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-1800000,-1200000,2300000,-400000,-2300000,-20300000,12300000,8900000,300000,17500000,14836419,5962828,-14305014,14074929,15804446,17976366,16704568,4232000,15033000,17906000,26839000,28215000,32987000,32165000,21129000,29490000,11596000,20205000,36509000,47625000,51343000,104139000
74,Depreciation and Amortization,- -,1200000,1500000,1600000,400000,400000,3600000,500000,200000,500000,1200000,2132628,4066020,283641,299203,321053,425624,708658,994000,1148000,1395000,1694000,1928000,2329000,2826000,3285000,3830000,4208000,4272000,4250000,3969000,3839000,3719000
75,Deferred Income Tax,- -,-100000,- -,1100000,-100000,-1200000,-3900000,3500000,-2300000,-1000000,900000,-3557335,-1019778,5282435,1281756,454192,369800,-898055,-754000,3130000,4912000,816000,4212000,3316000,1446000,-2923000,3934000,-898000,638000,-6360000,1701000,-1280000,7028000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2112000,2727000,2885000,2172000,1852000,1391000,780000,1519000,1293000,1603000,3703000,4732000,5962000
77,Change in Working Capital,- -,500000,1100000,-300000,400000,1200000,-33600000,31500000,34100000,29700000,40800000,92704566,55111181,-171997139,6531353,14104878,19550974,26298211,249976,14875000,12963000,25980000,20996000,12403000,79028000,723000,34407000,4918000,22107000,32539000,34886000,103587000,147365000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-180182000,-181380000,-206560000,-212333000,-229835000,-234537000,-246766000,-282317000,-392462000
79,Inventory,- -,100000,-200000,300000,200000,- -,- -,- -,- -,900000,8800000,20937112,32254660,4857252,-515489,-1919265,7953505,10692003,16811000,20249000,20024000,18740000,26408000,33495000,34072000,50009000,40686000,48154000,42493000,38793000,47641000,53827000,5019000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2847000,-905000,3862000,1115000,676000,4712000,2226000,1009000,14766000
81,Other Working Capital,- -,200000,1300000,1000000,1400000,2600000,-31000000,500000,34600000,64300000,105100000,197804566,252915747,80918608,87449961,101554839,121105813,147404024,147654000,162529000,175492000,201472000,222468000,234871000,313899000,314622000,349029000,353947000,376054000,408593000,443479000,547066000,694431000
82,Other Non-Cash Items,- -,300000,-1700000,-4700000,-700000,400000,39600000,-51000000,-42200000,-42000000,-31700000,-45957493,29844444,181477090,-16844429,-26444385,-39836920,-50574405,3587024,-31111000,-25010000,-49939000,-41372000,-41511000,-118653000,-1730000,-60054000,-7057000,-41181000,-58547000,-66982000,-141304000,-322025000
83,Cash Provided by Operating Activities,- -,100000,-300000,- -,-400000,-1500000,-14600000,-3200000,-1300000,-12500000,28700000,60158785,93964695,741013,5342812,4240184,-1514156,-7761023,8309000,3075000,14278000,8117000,16864000,11696000,-1336000,21875000,12387000,14286000,7334000,9994000,24902000,20917000,-53812000
84,CAPEX,- -,-1100000,-400000,-300000,- -,-6900000,-18900000,-4500000,-1100000,-19500000,-50800000,-7781061,-3885202,-1345733,-2167703,-1398678,-6173525,-5011459,-2716000,-2559000,-2664000,-6465000,-4801000,-4452000,-5726000,-7095000,-4009000,-4526000,-1587000,-2258000,-4029000,-5422000,-8952000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-866741,- -,- -,- -,- -,- -,-1200000,-460000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-4000000,-5600000,-6600000,-1808805,-970615,-77206,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4648000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,11600000,3800000,33100000,16762326,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-2700000,- -,6000000,- -,800000,- -,1400000,19500000,10200000,-39800000,-81495383,-113820076,-106306,8873661,- -,- -,156994,357000,455000,62000,1020000,8000,17000,208000,2000,112000,7000,932000,554000,142000,184000,694000
89,Cash Used for Investing Activites,- -,-3800000,-400000,5700000,- -,-6100000,-18900000,-3100000,26000000,-11100000,-64100000,-75189664,-118675893,-1529245,6705958,-1398678,-6173525,-6054465,-2819000,-2104000,-2602000,-5445000,-4793000,-4435000,-5518000,-7093000,-3897000,-4519000,-655000,-1704000,-3887000,-9886000,-8258000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100528000,-114581000,-140664000,-294186000,-308519000,-331748000,-371316000,-369298000,-376811000,-400669000,-449883000,-379608000,-63090000
91,Common Stock Issued,- -,1000000,- -,- -,- -,13300000,7400000,- -,- -,100000,- -,- -,60937,113498,1497119,2583517,939175,479971,81000,322000,164000,110000,103000,118000,143000,151000,146000,186000,142000,115000,147000,190000,258000
