,https://roic.ai/company/DAN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,111554054,102261905,87329193,81100000,81543210,82173913,79411765,87816092,92558140,98787879,101300000,101800000,104300000,165100000,165000000,152000000,148000000,148000000,148000000,149000000,150000000,150000000,150000000,104000000,110000000,141000000,146600000,148000000,146400000,158000000,159000000,146000000,145100000,145000000,144000000,144500000,144800000
28,Weighted Average Shares Outstanding Diluted,111554054,102261905,87329193,85368421,85225806,83076923,79411765,87816092,92558140,98787879,101300000,101800000,105759312,167000000,166000000,153000000,148000000,149000000,149000000,151000000,151000000,150000000,150000000,104000000,110000000,141000000,215300000,214700000,146400000,173500000,160000000,146800000,146900000,146500000,145100000,144500000,146200000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/26780/000095015296000796/0000950152-96-000796-index.html,https://www.sec.gov/Archives/edgar/data/26780/000095015297001669/0000950152-97-001669-index.html,https://www.sec.gov/Archives/edgar/data/26780/000095015298001593/0000950152-98-001593-index.html,https://www.sec.gov/Archives/edgar/data/26780/000095015299001305/0000950152-99-001305-index.html,- -,https://www.sec.gov/Archives/edgar/data/26780/000095015201500070/0000950152-01-500070-index.html,https://www.sec.gov/Archives/edgar/data/26780/000095012302001898/0000950123-02-001898-index.html,https://www.sec.gov/Archives/edgar/data/26780/000095015203002163/l99096ae10vk.htm,- -,https://www.sec.gov/Archives/edgar/data/26780/000095015205001912/l11933ae10vk.htm,https://www.sec.gov/Archives/edgar/data/26780/000095015206003614/l17856be10vk.htm,https://www.sec.gov/Archives/edgar/data/26780/000095015207002289/l24221ae10vk.htm,https://www.sec.gov/Archives/edgar/data/26780/000095015208001968/l30266ae10vk.htm,https://www.sec.gov/Archives/edgar/data/26780/000095015209002661/0000950152-09-002661-index.html,https://www.sec.gov/Archives/edgar/data/26780/000095012310016351/0000950123-10-016351-index.html,https://www.sec.gov/Archives/edgar/data/26780/000114420411010809/v209951_10k.htm,https://www.sec.gov/Archives/edgar/data/26780/000114420412010573/0001144204-12-010573-index.html,https://www.sec.gov/Archives/edgar/data/26780/000114420413010507/0001144204-13-010507-index.html,https://www.sec.gov/Archives/edgar/data/26780/000002678014000005/dan-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/26780/000002678015000004/dan-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/26780/000002678016000019/0000026780-16-000019-index.html,https://www.sec.gov/Archives/edgar/data/26780/000002678017000004/0000026780-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/26780/000002678018000004/0000026780-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/26780/000002678019000004/0000026780-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/26780/000002678020000006/0000026780-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/26780/000143774921003221/0001437749-21-003221-index.htm,https://www.sec.gov/Archives/edgar/data/26780/000143774922004203/0001437749-22-004203-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,28800000,51200000,44300000,- -,82000000,85500000,73200000,75400000,77600000,48200000,30300000,105300000,93300000,230200000,111000000,179000000,199000000,571000000,731000000,634000000,762000000,719000000,1271000000,777000000,947000000,1134000000,931000000,1059000000,1256000000,1121000000,791000000,707000000,603000000,510000000,508000000,559000000,268000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,64000000,36300000,122500000,301000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56000000,60000000,110000000,169000000,162000000,30000000,40000000,21000000,19000000,21000000,17000000
33,Cash and Short-Term Investments,28800000,51200000,44300000,- -,82000000,85500000,73200000,75400000,77600000,112200000,66600000,227800000,394300000,230200000,111000000,179000000,199000000,571000000,731000000,634000000,762000000,719000000,1271000000,777000000,947000000,1134000000,987000000,1119000000,1366000000,1290000000,953000000,737000000,643000000,531000000,527000000,580000000,285000000
34,Net Receivables,504000000,511500000,688600000,- -,1428000000,795400000,673900000,711100000,790500000,960400000,1081600000,1069100000,1162900000,1810700000,2346000000,1866000000,1742000000,1668000000,1374000000,1710000000,1308000000,1366000000,1492000000,997000000,869000000,1000000000,1172000000,988000000,1016000000,872000000,788000000,831000000,1166000000,1243000000,1305000000,1432000000,1541000000
35,Inventory,706800000,690000000,726300000,- -,711500000,695800000,596100000,632300000,649900000,740200000,874800000,912900000,909800000,1731600000,1784000000,1564000000,1299000000,1116000000,743000000,907000000,664000000,725000000,812000000,901000000,608000000,708000000,784000000,742000000,670000000,654000000,625000000,638000000,969000000,1031000000,1193000000,1149000000,1564000000
36,Other Current Assets,59700000,83200000,57200000,- -,222300000,15500000,- -,- -,- -,200000,- -,200000,- -,564500000,560000000,714000000,557000000,763000000,1685000000,217000000,690000000,514000000,217000000,58000000,158000000,91000000,106000000,104000000,113000000,138000000,108000000,78000000,104000000,102000000,137000000,127000000,196000000
37,Total Current Assets,1299300000,1335900000,1516400000,- -,2443800000,1592200000,1343200000,1418800000,1518000000,1813000000,2023000000,2210000000,2467000000,4337000000,4801000000,4323000000,3797000000,4118000000,4533000000,3468000000,3424000000,3324000000,3792000000,2733000000,2582000000,2933000000,3049000000,2953000000,3165000000,2954000000,2474000000,2284000000,2882000000,2907000000,3162000000,3288000000,3586000000
38,PP&E,736700000,765300000,820400000,- -,1118100000,1231700000,1182300000,1112900000,1142100000,1347200000,1649500000,1824800000,2044800000,3303800000,3450000000,3509000000,3133000000,2556000000,2210000000,2153000000,1628000000,1776000000,1763000000,1841000000,1484000000,1351000000,1285000000,1239000000,1225000000,1176000000,1167000000,1413000000,1807000000,1850000000,2443000000,2441000000,2446000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,568000000,558000000,593000000,439000000,416000000,349000000,108000000,111000000,104000000,100000000,101000000,106000000,90000000,80000000,90000000,127000000,264000000,493000000,479000000,482000000
40,Intangible Assets,190300000,182000000,176800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,569000000,438000000,352000000,400000000,325000000,227000000,169000000,102000000,109000000,174000000,164000000,240000000,236000000,233000000
41,Intangible Assets,190300000,182000000,176800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,568000000,558000000,593000000,439000000,416000000,349000000,677000000,549000000,456000000,500000000,426000000,333000000,259000000,182000000,199000000,301000000,428000000,733000000,715000000,715000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2311000000,2316000000,2833000000,1895000000,1218000000,520000000,342000000,345000000,359000000,198000000,202000000,210000000,204000000,150000000,150000000,163000000,208000000,182000000,201000000,174000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,226600000,206000000,147500000,112100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89000000,73000000,217000000,78000000,588000000,420000000,445000000,580000000,611000000,580000000
44,Other Non-Current Assets,198000000,242100000,288400000,- -,1663500000,1689300000,1653800000,1811200000,1971800000,1724000000,1815500000,1977700000,2494800000,2496700000,2872000000,3404000000,3277000000,- -,- -,- -,- -,- -,1000000,- -,104000000,- -,273000000,235000000,123000000,120000000,275000000,226000000,71000000,80000000,120000000,120000000,131000000
45,Total Non-Current Assets,1125000000,1189400000,1285600000,- -,2781600000,2921000000,2836100000,2924100000,3113900000,3297800000,3671000000,3950000000,4651700000,5800500000,6322000000,6913000000,6410000000,5435000000,5084000000,5579000000,3962000000,3410000000,2633000000,2860000000,2482000000,2166000000,2256000000,2191000000,1964000000,1976000000,1852000000,2576000000,2762000000,3011000000,4058000000,4088000000,4046000000
46,Other Assets,- -,- -,- -,4786400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2424300000,2525300000,2802000000,4786400000,5225400000,4513200000,4179300000,4342900000,4631900000,5110800000,5694000000,6160000000,7118700000,10137500000,11123000000,11236000000,10207000000,9553000000,9617000000,9047000000,7386000000,6734000000,6425000000,5593000000,5064000000,5099000000,5305000000,5144000000,5129000000,4930000000,4326000000,4860000000,5644000000,5918000000,7220000000,7376000000,7632000000
48,Accounts Payable,- -,- -,- -,- -,697500000,681000000,696200000,771100000,310600000,390200000,430600000,460300000,535600000,995600000,1129000000,1015000000,1045000000,1004000000,1076000000,1317000000,948000000,886000000,1072000000,824000000,601000000,779000000,942000000,766000000,804000000,791000000,712000000,819000000,1165000000,1217000000,1255000000,1331000000,1571000000
49,Short-Term Debt,191200000,252700000,424700000,- -,670400000,767000000,606900000,395700000,474100000,583100000,791400000,640300000,504200000,1698100000,1418000000,1945000000,1120000000,287000000,493000000,155000000,2578000000,293000000,283000000,70000000,34000000,167000000,71000000,101000000,57000000,65000000,22000000,69000000,40000000,28000000,76000000,77000000,74000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,264000000,161000000,204000000,284000000,- -,- -,- -,- -,38000000,116000000,97000000,66000000,62000000,49000000,45000000,96000000,100000000,111000000,91000000,95000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,10000000,9000000,8000000,6000000,12000000,6000000,6000000,7000000,8000000
52,Other Current Liabilities,496400000,492700000,607800000,- -,- -,- -,- -,100000,- -,748700000,742000000,736400000,983200000,1292900000,1341000000,1371000000,1324000000,1533000000,1396000000,1217000000,1366000000,907000000,1597000000,552000000,521000000,461000000,480000000,436000000,397000000,396000000,349000000,359000000,485000000,496000000,508000000,526000000,521000000
53,Total Current Liabilities,687600000,745400000,1032500000,- -,1367900000,1448000000,1303100000,1166900000,784700000,1722000000,1964000000,1837000000,2023000000,3986600000,3888000000,4331000000,3489000000,2824000000,2965000000,2689000000,4892000000,2086000000,2952000000,1446000000,1156000000,1407000000,1493000000,1310000000,1268000000,1261000000,1091000000,1253000000,1702000000,1747000000,1845000000,1941000000,2174000000
54,Long-Term Debt,353600000,617700000,690000000,1323600000,1522300000,1486400000,1541100000,1467000000,1207400000,1186500000,1315100000,1697700000,2178300000,1717900000,2732000000,2649000000,3008000000,3215000000,2605000000,2054000000,67000000,22000000,19000000,1181000000,969000000,780000000,831000000,803000000,1567000000,1613000000,1553000000,1595000000,1759000000,1755000000,2336000000,2574000000,2595000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,106500000,117000000,101000000,- -,249100000,241400000,195600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110000000,100000000,33000000,83000000,37000000,59000000,28000000,40000000,38000000,32000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1262500000,1250900000,1196300000,1216700000,1337500000,1398000000,1507000000,1640000000,1925000000,1901000000,1746000000,1798000000,5379000000,4141000000,845000000,1160000000,1128000000,1143000000,973000000,781000000,843000000,768000000,733000000,1010000000,946000000,1031000000,989000000,658000000
58,Total Non-Current Liabilities,460100000,734700000,791000000,1323600000,1771400000,1727800000,1736700000,1467000000,1207400000,2449000000,2566000000,2894000000,3395000000,3055400000,4130000000,4156000000,4648000000,5140000000,4506000000,3800000000,1865000000,5401000000,4160000000,2026000000,2129000000,1908000000,1974000000,1886000000,2448000000,2489000000,2404000000,2365000000,2828000000,2729000000,3407000000,3601000000,3285000000
59,Other Liabilities,1002000000,1559700000,1681300000,5150400000,4483100000,3614300000,3503800000,3807100000,4111000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,182000000,197000000,252000000
61,Total Liabilities,1229500000,1570400000,1922800000,3826800000,4079600000,3334500000,3070200000,3507000000,3688300000,4018800000,4375700000,4560400000,5263400000,7042000000,8018000000,8487000000,8137000000,7964000000,7471000000,6489000000,6757000000,7487000000,7112000000,3472000000,3285000000,3315000000,3467000000,3196000000,3716000000,3750000000,3495000000,3618000000,4530000000,4476000000,5252000000,5542000000,5459000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,771000000,771000000,762000000,753000000,753000000,372000000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,98800000,101500000,103000000,105100000,165700000,163000000,148000000,149000000,149000000,149000000,150000000,150000000,- -,150000000,1000000,1000000,1000000,1000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000
64,Retained Earnings,1041000000,1061700000,1145000000,1230600000,1297300000,1307400000,1255100000,803400000,809200000,887700000,1096300000,1304900000,1565400000,2454500000,2762000000,2909000000,2471000000,2283000000,2491000000,2500000000,819000000,- -,-468000000,-720000000,-1169000000,-1191000000,-1001000000,-762000000,-812000000,-532000000,-410000000,195000000,86000000,456000000,622000000,530000000,662000000
65,Other Comprehensive Income/Loss,-669000000,-719300000,-787500000,- -,-1055800000,-1169900000,-1225100000,-1327100000,-1387200000,- -,- -,- -,- -,- -,- -,- -,- -,-1120000000,-761000000,-405000000,-618000000,-834000000,-666000000,-359000000,-504000000,-496000000,-650000000,-793000000,-727000000,-997000000,-1174000000,-1284000000,-1342000000,-1362000000,-987000000,-1026000000,-985000000
66,Other Total Stockholders Equity,822800000,612500000,521700000,- -,904300000,1041200000,1079100000,1359600000,1521600000,105500000,120600000,191700000,184800000,475300000,180000000,- -,- -,170000000,171000000,190000000,194000000,512000000,202000000,2321000000,2580000000,2609000000,2634000000,2643000000,2474000000,2607000000,2310000000,2244000000,2267000000,2249000000,2236000000,2252000000,2243000000
67,Total Stockholders Equity,1194800000,954900000,879200000,959600000,1145800000,1178700000,1109100000,835900000,943600000,1092000000,1318400000,1599600000,1855300000,3095500000,3105000000,2749000000,2070000000,1482000000,2050000000,2435000000,545000000,-834000000,-782000000,2014000000,1679000000,1685000000,1737000000,1843000000,1309000000,1080000000,728000000,1157000000,1013000000,1345000000,1873000000,1758000000,1922000000
68,Total Liabilities And Stockholders Equity,2424300000,2525300000,2802000000,4786400000,5225400000,4513200000,4179300000,4342900000,4631900000,5110800000,5694100000,6160000000,7118700000,10137500000,11123000000,11236000000,10207000000,9446000000,9521000000,8924000000,7302000000,6653000000,6330000000,5486000000,4964000000,5000000000,5204000000,5039000000,5025000000,4830000000,4223000000,4775000000,5543000000,5821000000,7125000000,7300000000,7381000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,107000000,96000000,123000000,84000000,81000000,95000000,107000000,100000000,99000000,101000000,105000000,104000000,100000000,103000000,85000000,101000000,97000000,95000000,76000000,251000000
70,Total Liabilities & Equity,2424300000,2525300000,2802000000,4786400000,5225400000,4513200000,4179300000,4342900000,4631900000,5110800000,5694000000,6160000000,7118700000,10137500000,11123000000,11236000000,10207000000,9553000000,9617000000,9047000000,7386000000,6734000000,6425000000,5593000000,5064000000,5099000000,5305000000,5144000000,5129000000,4930000000,4326000000,4860000000,5644000000,5918000000,7220000000,7376000000,7632000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/26780/000095015296000796/0000950152-96-000796-index.html,https://www.sec.gov/Archives/edgar/data/26780/000095015297001669/0000950152-97-001669-index.html,https://www.sec.gov/Archives/edgar/data/26780/000095015298001593/0000950152-98-001593-index.html,https://www.sec.gov/Archives/edgar/data/26780/000095015299001305/0000950152-99-001305-index.html,- -,https://www.sec.gov/Archives/edgar/data/26780/000095015201500070/0000950152-01-500070-index.html,https://www.sec.gov/Archives/edgar/data/26780/000095012302001898/0000950123-02-001898-index.html,https://www.sec.gov/Archives/edgar/data/26780/000095015203002163/l99096ae10vk.htm,- -,https://www.sec.gov/Archives/edgar/data/26780/000095015205001912/l11933ae10vk.htm,https://www.sec.gov/Archives/edgar/data/26780/000095015206003614/l17856be10vk.htm,https://www.sec.gov/Archives/edgar/data/26780/000095015207002289/l24221ae10vk.htm,https://www.sec.gov/Archives/edgar/data/26780/000095015208001968/l30266ae10vk.htm,https://www.sec.gov/Archives/edgar/data/26780/000095015209002661/0000950152-09-002661-index.html,https://www.sec.gov/Archives/edgar/data/26780/000095012310016351/0000950123-10-016351-index.html,https://www.sec.gov/Archives/edgar/data/26780/000114420411010809/v209951_10k.htm,https://www.sec.gov/Archives/edgar/data/26780/000114420412010573/0001144204-12-010573-index.html,https://www.sec.gov/Archives/edgar/data/26780/000114420413010507/0001144204-13-010507-index.html,https://www.sec.gov/Archives/edgar/data/26780/000002678014000005/dan-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/26780/000002678015000004/dan-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/26780/000002678016000019/0000026780-16-000019-index.html,https://www.sec.gov/Archives/edgar/data/26780/000002678017000004/0000026780-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/26780/000002678018000004/0000026780-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/26780/000002678019000004/0000026780-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/26780/000002678020000006/0000026780-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/26780/000143774921003221/0001437749-21-003221-index.htm,https://www.sec.gov/Archives/edgar/data/26780/000143774922004203/0001437749-22-004203-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,132100000,75600000,13500000,-382000000,79600000,228200000,288100000,306000000,369100000,534100000,513000000,334000000,-298000000,-182000000,222000000,82000000,-1605000000,-739000000,-551000000,18000000,-431000000,10000000,219000000,300000000,244000000,319000000,159000000,640000000,111000000,427000000,226000000,-31000000,197000000
