,https://roic.ai/company/CSPI,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,2400000,2100000,-200000,-700000,- -,100000,600000,1400000,2400000,2100000,100000,-700000,-1900000,2400000,2300000,1171000,-2912000,-3720000,-3008000,1615000,1061000,418000,6552000,-1451000,-4929000,1142000,809000,4969000,701000,1683000,226000,3801000,3772000,-1601000,-826000,-1424000,-1362000
18,Operating Income ratio,- -,0.1644,0.1500,-0.0213,-0.0729,- -,0.0088,0.0458,0.0875,0.1333,0.1077,0.0054,-0.0424,-0.0974,0.0378,0.0445,0.0189,-1.9413,-0.1323,-0.0925,0.0306,0.0185,0.0061,0.0697,-0.0189,-0.0591,0.0120,0.0110,0.0586,0.0080,0.0199,0.0025,0.0368,0.0338,-0.0220,-0.0104,-0.0230,-0.0277
19,Total Other Income Expenses (Gains),- -,800000,800000,800000,1000000,1000000,900000,800000,800000,500000,400000,500000,900000,700000,300000,300000,497000,1912000,348000,1456000,136000,226000,466000,737000,583000,-27000,7000,-94000,-100000,-12000,-228000,-210000,-201000,21000,495000,384000,362000,2040000
20,Income Before Tax,- -,3200000,2900000,- -,- -,1200000,1000000,1400000,2200000,2900000,2500000,600000,200000,-1200000,2700000,2600000,1668000,-1000000,-3372000,-1552000,1751000,1287000,884000,7289000,-868000,-4956000,1149000,715000,4869000,689000,1455000,16000,3600000,3793000,-1106000,-442000,-1062000,678000
21,Income Before Tax Ratio,- -,0.2192,0.2071,- -,- -,0.1000,0.0885,0.1069,0.1375,0.1611,0.1282,0.0324,0.0121,-0.0615,0.0425,0.0503,0.0269,-0.6667,-0.1200,-0.0477,0.0331,0.0224,0.0128,0.0775,-0.0113,-0.0595,0.0121,0.0097,0.0574,0.0079,0.0172,0.0002,0.0348,0.0340,-0.0152,-0.0056,-0.0172,0.0138
22,Income Tax expense (Gain),- -,1200000,1200000,- -,- -,300000,200000,300000,500000,900000,800000,200000,100000,-400000,1300000,1400000,993000,-400000,2291000,-168000,540000,517000,-1131000,3240000,-461000,-1173000,235000,346000,-1740000,321000,121000,226000,996000,1287000,882000,-71000,384000,444000
23,Net Income,- -,2000000,1700000,500000,300000,900000,800000,1100000,1700000,2000000,1700000,400000,100000,-700000,1400000,1300000,675000,-700000,-5663000,-1384000,1211000,753000,1975000,4049000,-407000,-3783000,914000,369000,6609000,368000,1334000,-210000,2604000,2506000,14440000,-371000,-1446000,699000
24,Net Income ratio,- -,0.1370,0.1214,0.0532,0.0313,0.0750,0.0708,0.0840,0.1062,0.1111,0.0872,0.0216,0.0061,-0.0359,0.0220,0.0251,0.0109,-0.4667,-0.2015,-0.0426,0.0229,0.0131,0.0286,0.0431,-0.0053,-0.0454,0.0096,0.0050,0.0779,0.0042,0.0158,-0.0024,0.0252,0.0225,0.1980,-0.0047,-0.0234,0.0142
25,EPS,- -,0.39,0.34,0.11,0.05,0.18,0.17,0.22,0.34,0.40,0.35,0.08,0.02,-0.15,0.31,0.35,0.19,-0.82,-1.61,-0.39,0.34,0.21,0.54,1.07,-0.11,-1.05,0.26,0.11,1.93,0.11,0.37,-0.06,0.69,0.64,3.62,-0.09,-0.36,0.16
26,EPS Diluted,- -,0.39,0.34,0.11,0.05,0.18,0.17,0.22,0.34,0.40,0.34,0.08,0.02,-0.15,0.31,0.35,0.18,-0.82,-1.61,-0.39,0.32,0.20,0.52,1.03,-0.11,-1.05,0.25,0.10,1.91,0.10,0.37,-0.06,0.67,0.63,3.55,-0.09,-0.36,0.16
27,Weighted Average Shares Outstanding,- -,3755000,3762000,4753571,3622000,3622000,4629565,3557000,4575312,4436667,4436667,4436667,4436667,4095385,4457895,3714286,3572000,3527000,3524000,3534000,3562000,3619000,3686000,3777000,3783000,3594000,3538000,3439000,3362000,3389000,3448000,3548000,3609000,3723000,3822000,3924000,4028000,4151000
28,Weighted Average Shares Outstanding Diluted,- -,3755000,3762000,4753571,3622000,3622000,4629565,3557000,4575312,4436667,4436667,4436667,4436667,4095385,4578378,3714286,3663000,3527000,3524000,3534000,3743000,3822000,3805000,3933000,3783000,3594000,3567000,3482000,3405000,3441000,3499000,3548000,3734000,3817000,3901000,3924000,4028000,4220000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/356037/000090389395000061/0000903893-95-000061-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/356037/000104746998042277/0001047469-98-042277-index.html,https://www.sec.gov/Archives/edgar/data/356037/000091205799006593/0000912057-99-006593-index.html,https://www.sec.gov/Archives/edgar/data/356037/000035603700000020/0000356037-00-000020-index.html,https://www.sec.gov/Archives/edgar/data/356037/000092701601503966/0000927016-01-503966-index.html,https://www.sec.gov/Archives/edgar/data/356037/000092701602006062/0000927016-02-006062-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000119312503098665/0001193125-03-098665-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000119312505009940/0001193125-05-009940-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000119312506057352/0001193125-06-057352-index.htm,- -,https://www.sec.gov/Archives/edgar/data/356037/000119312507271436/0001193125-07-271436-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000119312508260881/0001193125-08-260881-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000119312509258092/0001193125-09-258092-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000143774910004526/0001437749-10-004526-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000143774912000518/0001437749-12-000518-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000143774912013044/0001437749-12-013044-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000035603713000072/0000356037-13-000072-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000035603714000030/0000356037-14-000030-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000162828015009925/0001628280-15-009925-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000035603717000005/0000356037-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000035603717000061/0000356037-17-000061-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000035603718000042/0000356037-18-000042-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000035603719000049/0000356037-19-000049-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000035603720000023/0000356037-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000035603721000021/0000356037-21-000021-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,11400000,11600000,13300000,11400000,13400000,13800000,14200000,10700000,12400000,8600000,11070000,10930000,4340000,3910000,3750000,3923000,1398000,3835000,3129000,2880000,9724000,8683000,13687000,13494000,18904000,15531000,15874000,20493000,18619000,16448000,11181000,13103000,13885000,25107000,18099000,19264000,20007000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6480000,6130000,5580000,9160000,10050000,9150000,12330000,11991000,7365000,10015000,3003000,2173000,7690000,5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,246000,367000,336000,68000
33,Cash and Short-Term Investments,- -,11400000,11600000,13300000,11400000,13400000,13800000,14200000,10700000,12400000,8600000,17550000,17060000,9920000,13070000,13800000,13073000,13728000,15826000,10494000,12895000,12727000,10856000,21377000,18494000,18904000,15531000,15874000,20493000,18619000,16448000,11181000,13103000,13885000,25353000,18466000,19600000,20075000
34,Net Receivables,- -,2900000,3500000,2500000,2200000,1800000,2100000,2500000,1400000,2900000,5100000,3930000,4150000,8620000,7700000,7400000,6841000,5731000,2500000,6524000,7292000,6891000,10359000,10705000,13244000,8570000,12911000,13379000,14438000,14153000,12950000,19931000,19564000,28402000,13626000,15601000,13362000,20354000
35,Inventory,- -,1800000,1800000,1900000,2400000,2000000,1900000,1900000,1000000,1300000,3200000,2150000,2410000,6230000,6310000,5810000,5793000,5312000,2834000,2034000,3611000,3711000,7407000,6072000,8125000,5935000,5862000,6777000,6276000,4791000,6446000,5749000,6148000,5971000,7558000,7818000,5285000,3989000
36,Other Current Assets,- -,300000,300000,200000,200000,200000,200000,500000,8000000,7100000,8100000,840000,820000,1810000,2320000,2630000,1904000,1863000,1133000,1480000,878000,923000,2993000,1816000,1485000,2457000,1647000,1848000,3499000,3355000,3602000,3221000,3002000,3461000,1878000,4649000,3342000,4616000
37,Total Current Assets,- -,16400000,17200000,17900000,16200000,17400000,18000000,19100000,21100000,23700000,25000000,24470000,24440000,26580000,29400000,29640000,27611000,26634000,22293000,20532000,24676000,24252000,31615000,39970000,41348000,35866000,35951000,37878000,44706000,40918000,39446000,40082000,41817000,51719000,48415000,46534000,41589000,49034000
38,PP&E,- -,1400000,1400000,1100000,2600000,2800000,2800000,2900000,2900000,3100000,3300000,3630000,3770000,4020000,3530000,3660000,3201000,1417000,1182000,944000,1213000,1179000,1141000,1044000,1003000,832000,873000,833000,991000,1420000,1472000,1564000,1680000,1508000,847000,1273000,1047000,2122000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1560000,1330000,1230000,- -,754000,- -,- -,- -,- -,2779000,2779000,3941000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,939000,- -,582000,2996000,2996000,2779000,- -,- -,913000,800000,687000,574000,492000,410000,545000,416000,287000,167000,48000,37000,28000,19000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1560000,1330000,1230000,939000,754000,582000,2996000,2996000,2779000,2779000,2779000,4854000,800000,687000,574000,492000,410000,545000,416000,287000,167000,48000,37000,28000,19000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,620000,470000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,564000,417000,81000,15000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1602000,- -,- -,264000,356000,327000,254000,267000,275000,880000,663000,2373000,1771000,1892000,1687000,1723000,1434000,1895000,1946000,- -,- -
44,Other Non-Current Assets,- -,400000,400000,400000,700000,800000,700000,900000,1000000,1100000,1600000,1180000,1330000,2840000,2800000,2110000,5305000,1942000,1705000,1953000,1964000,2378000,2588000,2394000,2547000,2713000,2988000,3160000,2504000,2706000,2952000,3247000,3200000,4100000,3506000,9162000,-81000,11784000
45,Total Non-Current Assets,- -,1800000,1800000,1500000,3300000,3600000,3500000,3800000,3900000,4200000,4900000,4810000,5100000,8420000,8280000,7470000,9445000,5715000,3469000,5893000,6437000,6692000,6835000,6471000,8671000,4620000,5428000,5230000,6360000,6307000,6861000,6914000,6890000,7209000,6860000,12835000,1075000,13940000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,18200000,19000000,19400000,19500000,21000000,21500000,22900000,25000000,27900000,29900000,29280000,29540000,35000000,37680000,37110000,37056000,32349000,25762000,26425000,31113000,30944000,38450000,46441000,50019000,40486000,41379000,43108000,51066000,47225000,46307000,46996000,48707000,58928000,55275000,59369000,42664000,62974000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,1200000,1700000,1700000,610000,400000,2330000,1850000,1810000,5189000,4221000,3344000,5409000,8185000,6200000,10695000,3989000,11237000,6901000,6349000,12103000,9458000,6940000,6748000,10559000,7511000,10941000,4466000,13495000,8523000,11271000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1501000,- -,- -,- -,13000,- -,- -,- -,- -,3110000,3247000,2776000,4139000,2314000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000,380000,121000,500000,376000,218000,25000,519000,1308000,313000,353000,161000,136000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3461000,3645000,2059000,3078000,2937000,3693000,3816000,4101000,2931000,4704000,6202000,1197000,741000,1149000,1893000
52,Other Current Liabilities,- -,2000000,1000000,900000,900000,1200000,900000,1300000,100000,100000,200000,1000000,1240000,4370000,5920000,4370000,813000,485000,737000,1074000,1068000,1381000,1321000,6410000,1392000,4197000,4521000,830000,5004000,4369000,3662000,3892000,5168000,5770000,5151000,3015000,-834000,2349000
53,Total Current Liabilities,- -,2000000,1000000,900000,900000,1200000,900000,1300000,1300000,1800000,1900000,1610000,1640000,6700000,7770000,6180000,6002000,4706000,4081000,6483000,9253000,7581000,12016000,13860000,17775000,13157000,13948000,15870000,18168000,15125000,14511000,17382000,17383000,26023000,14061000,20027000,12977000,17827000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,684000,1390000,1697000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,300000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99000,166000,236000,388000,553000,146000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,200000,500000,700000,1100000,1200000,1200000,1500000,1800000,1800000,1940000,2090000,3280000,3370000,3570000,3608000,3869000,7373000,8010000,7737000,7129000,7283000,6859000,7743000,8488000,8952000,9342000,9857000,9065000,10509000,10024000,13669000,11904000,7412000,8230000,202000,9404000
58,Total Non-Current Liabilities,- -,300000,300000,500000,700000,1100000,1200000,1200000,1500000,1800000,1800000,1940000,2090000,3280000,3370000,3570000,3608000,3869000,7373000,8010000,7836000,7295000,7519000,7247000,8296000,8634000,8952000,9342000,9857000,9065000,10509000,10024000,13669000,11904000,7412000,8914000,1592000,11101000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12726000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000,24000,- -,13000,- -,- -,- -,- -,- -,- -,- -,2343000,1437000
61,Total Liabilities,- -,2300000,1300000,1400000,1600000,2300000,2100000,2500000,2800000,3600000,3700000,3550000,3730000,9980000,11140000,9750000,9610000,8575000,11454000,14493000,17089000,14876000,19535000,21107000,26071000,21791000,22900000,25212000,28025000,24190000,25020000,27406000,31052000,37927000,21473000,28941000,24111000,28928000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000,30000,40000,40000,40000,41000,41000,41000,41000,41000,37000,37000,39000,38000,36000,35000,34000,34000,35000,36000,37000,39000,40000,40000,42000,43000,45000
64,Retained Earnings,- -,6300000,8000000,8500000,8700000,9600000,10400000,11500000,13200000,15100000,16800000,17220000,17400000,16670000,18030000,19290000,19962000,16359000,10038000,8654000,9865000,9285000,11187000,15236000,15385000,11602000,12516000,12885000,18744000,17728000,17517000,15689000,16623000,17407000,29926000,27246000,24492000,25191000
65,Other Comprehensive Income/Loss,- -,-2600000,-3100000,-3600000,-4000000,-4500000,-4900000,-5400000,-5800000,-6400000,-7000000,140000,-8850000,-420000,-200000,-920000,-6538000,-4887000,-4097000,-5207000,-4428000,-3631000,-3266000,-1648000,-3287000,-4268000,-5352000,-5903000,-6612000,-5865000,-7924000,-8385000,-11931000,-10163000,-10825000,-12593000,-11995000,-9448000
66,Other Total Stockholders Equity,- -,12200000,12800000,13100000,13200000,13600000,13900000,14300000,14800000,15600000,16400000,8340000,17220000,8730000,8670000,8960000,13981000,12261000,8326000,8444000,8546000,10377000,- -,11707000,11812000,11325000,11280000,10880000,10875000,11137000,11658000,12249000,12924000,13717000,14661000,15733000,16994000,- -
67,Total Stockholders Equity,- -,15900000,17700000,18000000,17900000,18700000,19400000,20400000,22200000,24300000,26200000,25730000,25800000,25020000,26540000,27370000,27446000,23774000,14308000,11932000,14024000,16068000,18915000,25334000,23948000,18695000,18479000,17896000,23041000,23035000,21287000,19590000,17655000,21001000,33802000,30428000,29534000,34046000
68,Total Liabilities And Stockholders Equity,- -,18200000,19000000,19400000,19500000,21000000,21500000,22900000,25000000,27900000,29900000,29280000,29530000,35000000,37680000,37120000,37056000,32349000,25762000,26425000,31113000,30944000,38450000,46441000,50019000,40486000,41379000,43108000,51066000,47225000,46307000,46996000,48707000,58928000,55275000,59369000,53645000,62974000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,- -,- -,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10981000,- -
70,Total Liabilities & Equity,- -,18200000,19000000,19400000,19500000,21000000,21500000,22900000,25000000,27900000,29900000,29280000,29540000,35000000,37680000,37110000,37056000,32349000,25762000,26425000,31113000,30944000,38450000,46441000,50019000,40486000,41379000,43108000,51066000,47225000,46307000,46996000,48707000,58928000,55275000,59369000,42664000,62974000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/356037/000090389395000061/0000903893-95-000061-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/356037/000104746998042277/0001047469-98-042277-index.html,https://www.sec.gov/Archives/edgar/data/356037/000091205799006593/0000912057-99-006593-index.html,https://www.sec.gov/Archives/edgar/data/356037/000035603700000020/0000356037-00-000020-index.html,https://www.sec.gov/Archives/edgar/data/356037/000092701601503966/0000927016-01-503966-index.html,https://www.sec.gov/Archives/edgar/data/356037/000092701602006062/0000927016-02-006062-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000119312503098665/0001193125-03-098665-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000119312505009940/0001193125-05-009940-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000119312506057352/0001193125-06-057352-index.htm,- -,https://www.sec.gov/Archives/edgar/data/356037/000119312507271436/0001193125-07-271436-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000119312508260881/0001193125-08-260881-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000119312509258092/0001193125-09-258092-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000143774910004526/0001437749-10-004526-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000143774912000518/0001437749-12-000518-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000143774912013044/0001437749-12-013044-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000035603713000072/0000356037-13-000072-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000035603714000030/0000356037-14-000030-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000162828015009925/0001628280-15-009925-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000035603717000005/0000356037-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000035603717000061/0000356037-17-000061-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000035603718000042/0000356037-18-000042-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000035603719000049/0000356037-19-000049-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000035603720000023/0000356037-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000035603721000021/0000356037-21-000021-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,1700000,2000000,1700000,400000,100000,-700000,1400000,1300000,675000,-2885000,-5663000,-1384000,1211000,753000,1975000,4049000,-407000,-3783000,914000,369000,6609000,368000,1334000,-210000,2604000,2506000,14440000,-371000,-1446000,699000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,600000,700000,700000,800000,1000000,1700000,1500000,1200000,1388000,964000,837000,755000,575000,596000,578000,655000,567000,579000,512000,483000,460000,520000,634000,646000,699000,673000,625000,416000,452000,388000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-100000,- -,-200000,-500000,-900000,400000,-387000,-318000,2671000,291000,412000,183000,-1339000,1664000,140000,-964000,-360000,179000,-2855000,600000,-98000,2000,-18000,262000,173000,-209000,797000,1149000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,265000,223000,169000,92000,149000,361000,375000,414000,577000,691000,792000,982000,981000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,1800000,2100000,1200000,-240000,-60000,-2920000,1750000,1830000,-1851000,319000,-3716000,-4163000,1374000,1248000,2928000,6511000,-2537000,-864000,-706000,5000,4530000,-745000,-858000,-2235000,1734000,1262000,8658000,-7847000,2105000,2595000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3863000,-4914000,-1150000,825000,-1135000,647000,-8226000,-8000,-8095000,5191000,-2128000,1755000,-5375000
