,https://roic.ai/company/HPQ,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,758000000,780000000,962000000,1142000000,1151000000,1056000000,1127000000,1325000000,1783000000,2423000000,3632000000,3694000000,4455000000,4091000000,4194000000,4625000000,702000000,-1052000000,2888000000,4196000000,3543000000,7191000000,9177000000,10473000000,9415000000,10974000000,8982000000,-11933000000,6510000000,6557000000,4732000000,3761000000,3276000000,3013000000,2523000000,3231000000,7511000000
21,Income Before Tax Ratio,0.1165,0.1098,0.1189,0.1162,0.0967,0.0798,0.0778,0.0807,0.0878,0.0970,0.1152,0.0961,0.1039,0.0869,0.0990,0.0948,0.0155,-0.0186,0.0395,0.0525,0.0409,0.0785,0.0880,0.0885,0.0822,0.0871,0.0706,-0.0991,0.0580,0.0588,0.0458,0.0780,0.0629,0.0515,0.0429,0.0570,0.1183
22,Income Tax expense (Gain),269000000,264000000,318000000,326000000,322000000,317000000,372000000,444000000,606000000,824000000,1199000000,1108000000,1336000000,1146000000,1090000000,1064000000,78000000,-129000000,349000000,699000000,1145000000,993000000,1913000000,2144000000,1755000000,2213000000,1908000000,717000000,1397000000,1544000000,178000000,1095000000,750000000,-2314000000,-629000000,387000000,1008000000
23,Net Income,489000000,516000000,644000000,816000000,829000000,739000000,755000000,549000000,1177000000,1599000000,2433000000,2586000000,3119000000,2945000000,3491000000,3697000000,408000000,-903000000,2539000000,3497000000,2398000000,6198000000,7264000000,8329000000,7660000000,8761000000,7074000000,-12650000000,5113000000,5013000000,4554000000,2496000000,2526000000,5327000000,3152000000,2844000000,6503000000
24,Net Income ratio,0.0752,0.0727,0.0796,0.0830,0.0697,0.0558,0.0521,0.0335,0.0579,0.0640,0.0772,0.0673,0.0727,0.0626,0.0824,0.0758,0.0090,-0.0160,0.0348,0.0438,0.0277,0.0676,0.0697,0.0704,0.0669,0.0695,0.0556,-0.1051,0.0455,0.0450,0.0441,0.0517,0.0485,0.0911,0.0536,0.0502,0.1024
25,EPS,0.24,0.26,0.32,0.42,0.44,0.39,0.38,0.27,0.59,0.77,1.16,1.23,1.48,1.43,1.73,1.87,0.21,-0.36,0.83,1.16,0.83,2.23,2.76,3.35,3.21,3.78,3.38,-6.41,2.64,2.66,2.51,1.44,1.50,3.30,2.08,2.01,5.38
26,EPS Diluted,0.24,0.26,0.32,0.42,0.44,0.39,0.38,0.27,0.59,0.77,1.16,1.23,1.48,1.39,1.67,1.80,0.21,-0.36,0.83,1.15,0.82,2.18,2.68,3.25,3.14,3.69,3.32,-6.41,2.62,2.62,2.48,1.43,1.48,3.26,2.07,2.00,5.33
27,Weighted Average Shares Outstanding,2037500000,1984615385,2012500000,1942857143,1884090909,1894871795,1986842105,2033333333,1994915254,2083387622,2104000000,2104000000,2114000000,2068000000,2018000000,1979000000,1936000000,2499000000,3047000000,3024000000,2879000000,2782000000,2630000000,2483000000,2388000000,2319000000,2094000000,1974000000,1934000000,1882000000,1814000000,1730000000,1688000000,1615000000,1515000000,1413000000,1185000000
28,Weighted Average Shares Outstanding Diluted,2037500000,1984615385,2012500000,1942857143,1884090909,1894871795,1986842105,2033333333,1994915254,2083387622,2104000000,2106000000,2114000000,2144000000,2104000000,2077000000,1974000000,2499000000,3063000000,3055000000,2909000000,2852000000,2716000000,2567000000,2437000000,2372000000,2128000000,1974000000,1950000000,1912000000,1836000000,1743000000,1702000000,1634000000,1524000000,1420000000,1199000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/47217/000089161895000009/0000891618-95-000009-index.html,https://www.sec.gov/Archives/edgar/data/47217/000089843096000245/0000898430-96-000245-index.html,https://www.sec.gov/Archives/edgar/data/47217/000089161897000198/0000891618-97-000198-index.html,https://www.sec.gov/Archives/edgar/data/47217/0000891618-98-000244-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/47217/000091205701002796/0000912057-01-002796-index.html,https://www.sec.gov/Archives/edgar/data/47217/000101287002000299/0001012870-02-000299-index.html,https://www.sec.gov/Archives/edgar/data/47217/000104746903002015/a2096381z10-k.htm,https://www.sec.gov/Archives/edgar/data/47217/000104746904001113/a2125373z10-k.htm,https://www.sec.gov/Archives/edgar/data/47217/000104746905000929/a2148694z10-k.htm,https://www.sec.gov/Archives/edgar/data/47217/000104746905028479/a2165549z10-k.htm,https://www.sec.gov/Archives/edgar/data/47217/000104746906015253/a2174889z10-k.htm,https://www.sec.gov/Archives/edgar/data/47217/000104746907010151/0001047469-07-010151-index.html,https://www.sec.gov/Archives/edgar/data/47217/000104746908013240/0001047469-08-013240-index.html,https://www.sec.gov/Archives/edgar/data/47217/000104746909010806/0001047469-09-010806-index.html,https://www.sec.gov/Archives/edgar/data/47217/000104746910010444/0001047469-10-010444-index.html,https://www.sec.gov/Archives/edgar/data/47217/000104746911010094/0001047469-11-010094-index.html,https://www.sec.gov/Archives/edgar/data/47217/000104746912011417/0001047469-12-011417-index.html,https://www.sec.gov/Archives/edgar/data/47217/000104746913011417/0001047469-13-011417-index.html,https://www.sec.gov/Archives/edgar/data/47217/000104746914009977/0001047469-14-009977-index.html,https://www.sec.gov/Archives/edgar/data/47217/000104746915009251/0001047469-15-009251-index.html,https://www.sec.gov/Archives/edgar/data/47217/000004721716000093/0000047217-16-000093-index.html,https://www.sec.gov/Archives/edgar/data/47217/000004721717000043/0000047217-17-000043-index.html,https://www.sec.gov/Archives/edgar/data/47217/000004721718000052/0000047217-18-000052-index.html,https://www.sec.gov/Archives/edgar/data/47217/000004721719000071/0000047217-19-000071-index.html,https://www.sec.gov/Archives/edgar/data/47217/000004721720000045/0000047217-20-000045-index.htm,https://www.sec.gov/Archives/edgar/data/47217/000004721721000060/0000047217-21-000060-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,1357000000,1973000000,2885000000,3072000000,4046000000,5411000000,3415000000,4197000000,11192000000,14188000000,12663000000,13911000000,16400000000,11293000000,10153000000,13279000000,10929000000,8043000000,11301000000,12163000000,15133000000,17433000000,6288000000,6997000000,5166000000,4537000000,4864000000,4299000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1121000000,643000000,442000000,1497000000,21000000,179000000,592000000,139000000,237000000,403000000,311000000,18000000,22000000,152000000,93000000,55000000,5000000,- -,- -,- -,- -,- -,- -,1149000000,711000000,- -,274000000,5000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,2478000000,2616000000,3327000000,4569000000,4067000000,5590000000,4007000000,4336000000,11429000000,14591000000,12974000000,13929000000,16422000000,11445000000,10246000000,13334000000,10934000000,8043000000,11301000000,12163000000,15133000000,17433000000,6288000000,8146000000,5877000000,4537000000,5138000000,4304000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,5028000000,6735000000,7126000000,8173000000,7752000000,7847000000,8568000000,6671000000,11909000000,11886000000,18010000000,17364000000,18555000000,21582000000,25439000000,19212000000,27570000000,21386000000,25506000000,24024000000,21325000000,21511000000,6609000000,7162000000,8003000000,8939000000,8443000000,8849000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,4273000000,6013000000,6401000000,6763000000,6184000000,4863000000,5699000000,5204000000,5797000000,6065000000,7071000000,6877000000,7750000000,8033000000,7879000000,6128000000,6466000000,7490000000,6317000000,6046000000,6415000000,6485000000,4484000000,5786000000,6062000000,5734000000,5963000000,7930000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,730000000,875000000,1137000000,1442000000,3581000000,3342000000,4970000000,5094000000,6940000000,8454000000,4846000000,5164000000,5537000000,6342000000,8164000000,13865000000,9214000000,14102000000,7513000000,8131000000,7272000000,6358000000,1087000000,1224000000,1445000000,967000000,1104000000,1087000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,12509000000,16239000000,17991000000,20947000000,21584000000,21642000000,23244000000,21305000000,36075000000,40996000000,42901000000,43334000000,48264000000,47402000000,51728000000,52539000000,54184000000,51021000000,50637000000,50364000000,50145000000,51787000000,18468000000,22318000000,21387000000,20177000000,20648000000,22170000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,4328000000,4711000000,5536000000,6312000000,6358000000,4333000000,4500000000,4397000000,6924000000,6482000000,6649000000,6451000000,6863000000,7798000000,10838000000,11262000000,11763000000,12292000000,11954000000,11463000000,11340000000,11090000000,1736000000,1878000000,2198000000,2794000000,3734000000,3738000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16853000000,21773000000,32335000000,33109000000,38483000000,44551000000,31069000000,31124000000,31139000000,32941000000,5622000000,5622000000,5968000000,6372000000,6380000000,6803000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19951000000,19250000000,19931000000,20030000000,3352000000,4079000000,7962000000,6600000000,7848000000,10898000000,4515000000,3169000000,2128000000,2014000000,- -,- -,453000000,661000000,540000000,784000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19951000000,19250000000,19931000000,20030000000,20205000000,25852000000,40297000000,39709000000,46331000000,55449000000,35584000000,34293000000,33267000000,34955000000,5622000000,5622000000,6421000000,7033000000,6920000000,7587000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61000000,53000000,56000000,58000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1475000000,961000000,792000000,1750000000,2070000000,1283000000,1581000000,1346000000,740000000,871000000,254000000,342000000,2431000000,2620000000,2515000000,2917000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2730000000,3477000000,4172000000,4490000000,5731000000,9322000000,6265000000,6882000000,7760000000,7980000000,6657000000,7502000000,5174000000,6686000000,9676000000,9539000000,10155000000,9472000000,9012000000,8210000000,7714000000,8179000000,2930000000,2692000000,2132000000,787000000,806000000,2198000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,7058000000,8188000000,9708000000,10802000000,12089000000,13655000000,10765000000,11279000000,34635000000,33712000000,33237000000,33983000000,33717000000,41297000000,61603000000,62260000000,70319000000,78496000000,58131000000,55312000000,53061000000,55095000000,10542000000,10595000000,13235000000,13290000000,14033000000,16440000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,19567000000,24427000000,27699000000,31749000000,33673000000,35297000000,34009000000,32584000000,70710000000,74708000000,76138000000,77317000000,81981000000,88699000000,113331000000,114799000000,124503000000,129517000000,108768000000,105676000000,103206000000,106882000000,29010000000,32913000000,34622000000,33467000000,34681000000,38610000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1466000000,2422000000,2375000000,3185000000,3203000000,3517000000,5049000000,3791000000,7012000000,9285000000,9377000000,10223000000,12102000000,11787000000,14138000000,14809000000,14365000000,14750000000,13350000000,14019000000,15903000000,15956000000,11103000000,13279000000,14816000000,14793000000,14704000000,16075000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2469000000,3214000000,2125000000,1226000000,1245000000,3105000000,1555000000,1722000000,1793000000,1080000000,2511000000,1831000000,2705000000,3186000000,10176000000,1850000000,7046000000,8083000000,6647000000,5979000000,3486000000,2885000000,78000000,1072000000,1463000000,357000000,949000000,1456000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,910000000,4018000000,3462000000,4110000000,3906000000,3286000000,3201000000,986000000,1109000000,1322000000,1297000000,1274000000,1523000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,598000000,782000000,951000000,1152000000,1453000000,1437000000,1759000000,1867000000,3260000000,3657000000,2958000000,3815000000,4309000000,5025000000,6287000000,6182000000,6727000000,7449000000,7494000000,6477000000,6143000000,6199000000,919000000,1012000000,1095000000,1178000000,1208000000,1277000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3697000000,4526000000,5172000000,5656000000,7572000000,6262000000,6834000000,6584000000,12245000000,12608000000,13742000000,15591000000,16734000000,19262000000,22338000000,20162000000,21265000000,20160000000,19175000000,19046000000,18203000000,17151000000,6708000000,7049000000,7757000000,8965000000,9359000000,10288000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,8230000000,10944000000,10623000000,11219000000,13473000000,14321000000,15197000000,13964000000,24310000000,26630000000,28588000000,31460000000,35850000000,39260000000,52939000000,43003000000,49403000000,50442000000,46666000000,45521000000,43735000000,42191000000,18808000000,22412000000,25131000000,25293000000,26220000000,29096000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,547000000,663000000,2579000000,3158000000,2063000000,1764000000,3402000000,3729000000,6035000000,6494000000,4623000000,3392000000,2490000000,4997000000,7676000000,13980000000,15258000000,22551000000,21789000000,16608000000,16039000000,21780000000,6758000000,6747000000,4524000000,4780000000,5543000000,7322000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3249000000,3303000000,3453000000,3371000000,3907000000,3931000000,4373000000,865000000,921000000,1005000000,1069000000,1072000000,1099000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3162000000,4230000000,5239000000,5163000000,2948000000,2668000000,1124000000,295000000,1116000000,1410000000,100000000,60000000,25000000,57000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,864000000,981000000,1059000000,1217000000,1218000000,917000000,1201000000,938000000,4103000000,3838000000,5363000000,5289000000,5497000000,5916000000,10612000000,9820000000,10519000000,8904000000,11161000000,9316000000,11250000000,10092000000,5352000000,4831000000,4501000000,3458000000,4049000000,2686000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1411000000,1644000000,3638000000,4375000000,3281000000,2681000000,4603000000,4667000000,10138000000,10332000000,9986000000,8681000000,7987000000,10913000000,21450000000,31279000000,34319000000,40071000000,39269000000,32499000000,32344000000,36540000000,14091000000,13909000000,10130000000,9367000000,10689000000,11164000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1179000000,1286000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,9641000000,12588000000,14261000000,15594000000,16754000000,17002000000,19800000000,18631000000,34448000000,36962000000,38574000000,40141000000,43837000000,50173000000,74389000000,74282000000,83722000000,90513000000,85935000000,78020000000,76079000000,78731000000,32899000000,36321000000,35261000000,34660000000,36909000000,40260000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,1033000000,871000000,1014000000,1187000000,10000000,10000000,19000000,19000000,30000000,30000000,29000000,28000000,27000000,26000000,24000000,24000000,22000000,20000000,20000000,19000000,18000000,18000000,17000000,16000000,16000000,15000000,13000000,11000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,8893000000,10968000000,12424000000,14968000000,16909000000,18285000000,14097000000,13693000000,11973000000,13332000000,15649000000,16679000000,20729000000,21560000000,24971000000,29936000000,32695000000,35266000000,21521000000,25563000000,29164000000,32089000000,-3498000000,-2386000000,-473000000,-818000000,-1961000000,-2461000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3610000000,-4036000000,-4662000000,-5464000000,-6212000000,-4587000000,-5005000000,-5411000000,-401000000,-203000000,-243000000,-21000000,-578000000,559000000,-64000000,-3247000000,-3837000000,-3498000000,-5559000000,-3778000000,-5881000000,-6302000000,-1438000000,-1418000000,-845000000,-1225000000,-1243000000,-260000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3610000000,4036000000,4662000000,5464000000,6212000000,4587000000,5098000000,5652000000,24660000000,24587000000,22129000000,20490000000,17966000000,16381000000,14011000000,13804000000,11569000000,6837000000,6454000000,5465000000,3430000000,1963000000,1030000000,380000000,663000000,835000000,963000000,1060000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,9926000000,11839000000,13438000000,16155000000,16919000000,18295000000,14209000000,13953000000,36262000000,37746000000,37564000000,37176000000,38144000000,38526000000,38942000000,40517000000,40449000000,38625000000,22436000000,27269000000,26731000000,27768000000,-3889000000,-3408000000,-639000000,-1193000000,-2228000000,-1650000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,19567000000,24427000000,27699000000,31749000000,33673000000,35297000000,34009000000,32584000000,70710000000,74708000000,76138000000,77317000000,81981000000,88699000000,113331000000,114799000000,124171000000,129138000000,108371000000,105289000000,102810000000,106499000000,29010000000,32913000000,34622000000,33467000000,34681000000,38610000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,332000000,379000000,397000000,387000000,396000000,383000000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,19567000000,24427000000,27699000000,31749000000,33673000000,35297000000,34009000000,32584000000,70710000000,74708000000,76138000000,77317000000,81981000000,88699000000,113331000000,114799000000,124503000000,129517000000,108768000000,105676000000,103206000000,106882000000,29010000000,32913000000,34622000000,33467000000,34681000000,38610000000
