,https://roic.ai/company/LUMN,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,39600000,43900000,39700000,46500000,52100000,57300000,70800000,86200000,103600000,113800000,132000000,159500000,328600000,348800000,388056000,473384000,422901000,470641000,898006000,920920000,893778000,925788000,922922000,1989051000,2571542000,7001000000,8024000000,8043000000,7775000000,7517000000,7365000000,7444000000,9285000000,8544000000,8174000000,6914000000
11,COGS and Expenses,96800000,104400000,137600000,162600000,187700000,205900000,247200000,308400000,370800000,442000000,526400000,633800000,1097300000,1168600000,1320513000,1559550000,1396590000,1630349000,1653419000,1742849000,1782192000,1863163000,1878395000,3741138000,4981590000,13326000000,15663000000,15550000000,15621000000,15295000000,15139000000,15647000000,20147000000,18621000000,17108000000,15402000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,370414000,557478000,1072000000,1319000000,1298000000,1311000000,1312000000,1318000000,1481000000,2177000000,2021000000,1668000000,1522000000
14,Depreciation and Amortization,30200000,33900000,39700000,46500000,52100000,57300000,70800000,86200000,103600000,113800000,132000000,159500000,328600000,348800000,388056000,473384000,411626000,470641000,500904000,531934000,523506000,536255000,523786000,974710000,1433553000,4026000000,4780000000,4541000000,4428000000,4189000000,3916000000,3936000000,5120000000,4829000000,4710000000,4019000000
15,EBITDA,65100000,73700000,74200000,79400000,100600000,114800000,147700000,192500000,265100000,296900000,335700000,567900000,716100000,778100000,774241000,1026440000,1316787000,1002600000,1048276000,1069704000,1114655000,1155197000,1083875000,2294216000,3521687000,6046000000,7349000000,6063000000,6849000000,6817000000,6254000000,5957000000,5734000000,2084000000,5596000000,8242000000
16,EBITDA ratio,0.4411,0.4697,0.4033,0.3724,0.4043,0.4085,0.4140,0.4444,0.4907,0.4605,0.4478,0.6300,0.4776,0.4641,0.4194,0.4847,0.6677,0.4211,0.4354,0.4315,0.4554,0.4349,0.4169,0.4612,0.5001,0.3939,0.3999,0.3351,0.3798,0.3808,0.3580,0.3374,0.2446,0.0930,0.2702,0.4187
17,Operating Income,50800000,52500000,46400000,50600000,61100000,75100000,109600000,124800000,169400000,202800000,223300000,267700000,402000000,508100000,525413000,557919000,575406000,750396000,753953000,736403000,665538000,793078000,721352000,1233101000,2059944000,2025000000,2713000000,1453000000,2410000000,2605000000,2331000000,2009000000,570000000,-2726000000,962000000,4285000000
18,Operating Income ratio,0.3442,0.3346,0.2522,0.2373,0.2456,0.2673,0.3072,0.2881,0.3136,0.3145,0.2979,0.2969,0.2681,0.3030,0.2846,0.2635,0.2918,0.3152,0.3132,0.2970,0.2719,0.2986,0.2775,0.2479,0.2925,0.1319,0.1476,0.0803,0.1337,0.1455,0.1334,0.1138,0.0243,-0.1217,0.0464,0.2177
19,Total Other Income Expenses (Gains),-15900000,-12700000,-11900000,-17700000,-12600000,-17600000,-17000000,-18500000,-7900000,-19700000,-19600000,140700000,-14500000,-78800000,-139228000,-4863000,-281950000,-218437000,-206581000,- -,-74389000,-174136000,-161263000,-418589000,-527859000,-1077000000,-1463000000,-1229000000,-1300000000,-1289000000,-1311000000,-1469000000,-2133000000,-2040000000,-1744000000,-1584000000
20,Income Before Tax,34900000,39800000,34500000,32900000,48500000,57500000,92600000,106300000,161500000,183100000,203700000,408400000,387500000,429300000,386185000,553056000,293456000,531959000,547372000,736403000,591149000,618942000,560089000,814512000,1532085000,948000000,1250000000,224000000,1110000000,1316000000,1020000000,540000000,-1563000000,-4766000000,-782000000,2701000000
21,Income Before Tax Ratio,0.2364,0.2537,0.1875,0.1543,0.1949,0.2046,0.2595,0.2454,0.2990,0.2840,0.2717,0.4530,0.2585,0.2560,0.2092,0.2612,0.1488,0.2234,0.2274,0.2970,0.2415,0.2330,0.2154,0.1637,0.2176,0.0618,0.0680,0.0124,0.0616,0.0735,0.0584,0.0306,-0.0667,-0.2128,-0.0378,0.1372
22,Income Tax expense (Gain),17700000,16500000,11100000,10700000,17400000,20100000,32600000,37300000,61300000,68300000,74600000,152400000,158700000,189500000,154711000,210025000,103537000,187252000,210128000,203291000,221122000,200572000,194357000,301881000,582951000,375000000,473000000,463000000,338000000,438000000,394000000,-849000000,170000000,503000000,450000000,668000000
23,Net Income,17200000,23300000,23400000,22200000,31100000,37400000,44300000,69000000,100200000,114800000,129100000,256000000,228800000,239800000,231474000,343031000,801624000,344707000,337244000,334479000,370027000,418370000,365732000,647211000,947705000,573000000,777000000,-239000000,772000000,878000000,626000000,1389000000,-1733000000,-5269000000,-1232000000,2033000000
24,Net Income ratio,0.1165,0.1485,0.1272,0.1041,0.1250,0.1331,0.1242,0.1593,0.1855,0.1780,0.1722,0.2840,0.1526,0.1430,0.1254,0.1620,0.4065,0.1448,0.1401,0.1349,0.1512,0.1575,0.1407,0.1301,0.1346,0.0373,0.0423,-0.0132,0.0428,0.0491,0.0358,0.0787,-0.0739,-0.2352,-0.0595,0.1033
25,EPS,0.29,0.39,0.25,0.22,0.30,0.35,0.40,0.58,0.84,0.88,0.96,1.89,1.67,1.72,1.65,2.43,5.66,2.40,2.45,2.55,3.17,3.82,3.57,3.23,3.13,1.07,1.25,-0.40,1.36,1.58,1.16,2.21,-1.63,-4.92,-1.14,1.91
26,EPS Diluted,0.29,0.39,0.25,0.22,0.30,0.35,0.40,0.58,0.80,0.87,0.95,1.87,1.64,1.70,1.63,2.41,5.61,2.38,2.41,2.49,3.07,3.72,3.56,3.23,3.13,1.07,1.25,-0.40,1.36,1.58,1.16,2.21,-1.63,-4.92,-1.14,1.90
27,Weighted Average Shares Outstanding,57931034,59230769,92800000,100454545,103333333,106571429,110750000,118965517,119920213,131116751,134686047,134947183,136766467,138848000,140069000,140743000,141613000,143583000,137215000,130841000,116671000,109360000,102268000,198813000,300619000,532780000,620205000,600892000,568435000,554278000,539549000,627808000,1065866000,1071441000,1079130000,1062084000
28,Weighted Average Shares Outstanding Diluted,57931034,59230769,92800000,100454545,103333333,106571429,110750000,118965517,125250000,132461538,135315421,136875000,139268293,141432000,141864000,142307000,142879000,144700000,142144000,136087000,122229000,113094000,102871000,199057000,301297000,534121000,622285000,600892000,569739000,555093000,540679000,628693000,1065866000,1071441000,1079130000,1069157000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/18926/000001892605000025/0000018926-05-000025-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/18926/000001892609000008/0000018926-09-000008-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/18926/000104746912001666/0001047469-12-001666-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000104746913002037/0001047469-13-002037-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000144530514000656/0001445305-14-000656-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892615000008/0000018926-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892616000047/0000018926-16-000047-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892617000013/0000018926-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892618000012/0000018926-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892619000006/0000018926-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892620000009/0000018926-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892621000017/0000018926-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892622000007/0000018926-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,24000000,23700000,16500000,44000000,32600000,11600000,9800000,9800000,7200000,8500000,8400000,26000000,5700000,56600000,19039000,13362000,3661000,203181000,167215000,158846000,25668000,34402000,243327000,161807000,172943000,128000000,211000000,168000000,128000000,126000000,222000000,551000000,488000000,1690000000,406000000,354000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,24000000,23700000,16500000,44000000,32600000,11600000,9800000,9800000,7200000,8500000,8400000,26000000,5700000,56600000,19039000,13362000,3661000,203181000,167215000,158846000,25668000,34402000,243327000,161807000,172943000,128000000,211000000,168000000,128000000,126000000,222000000,551000000,488000000,1690000000,406000000,354000000
34,Net Receivables,13400000,14600000,18000000,24900000,28000000,44400000,42500000,56200000,64000000,75200000,86400000,227300000,185400000,193000000,307165000,254094000,272992000,236187000,232580000,236714000,227346000,223027000,230292000,801273000,815279000,1979000000,1959000000,1977000000,1988000000,1943000000,2017000000,2815000000,2614000000,2336000000,2035000000,1544000000
35,Inventory,6400000,7100000,5600000,5400000,4000000,3800000,4500000,4400000,7100000,6600000,8200000,22000000,23700000,28800000,38532000,20239000,10150000,9229000,5361000,6998000,6628000,8558000,8862000,35755000,32717000,- -,125000000,167000000,132000000,144000000,134000000,128000000,120000000,105000000,105000000,- -
36,Other Current Assets,800000,600000,600000,1300000,1300000,1500000,3300000,2100000,2900000,5000000,6200000,8200000,11400000,7700000,11768000,12578000,9099000,14342000,14691000,20458000,30475000,26412000,72926000,124756000,122190000,1416000000,1318000000,1595000000,1328000000,437000000,2789000000,700000000,598000000,637000000,630000000,9638000000
37,Total Current Assets,44600000,46000000,40700000,75600000,65900000,61300000,60100000,72500000,81200000,95300000,109200000,283500000,226200000,286100000,376504000,300273000,295902000,462939000,419847000,423016000,290117000,292399000,555407000,1123591000,1143129000,3523000000,3613000000,3907000000,3576000000,2650000000,5162000000,4194000000,3820000000,4768000000,3176000000,11536000000
38,PP&E,364200000,380300000,400800000,474200000,491000000,535000000,675900000,827800000,947100000,1047800000,1149000000,2258600000,2351500000,2256500000,2959293000,2999563000,3531645000,3455481000,3341401000,3304486000,3109277000,3108376000,2895892000,9097139000,8754476000,19436000000,19032000000,18646000000,18433000000,18069000000,17039000000,26852000000,26408000000,27765000000,26338000000,20895000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2471484000,3427281000,- -,- -,- -,3431136000,4010916000,4015674000,10251758000,10260640000,21724000000,21732000000,20674000000,20755000000,20742000000,19650000000,30475000000,28031000000,21534000000,18870000000,15986000000
40,Intangible Assets,- -,- -,- -,- -,- -,114300000,217700000,297200000,441400000,493700000,532400000,1767400000,1956700000,1644900000,2509033000,- -,503775000,3425001000,3433864000,3432649000,- -,- -,787222000,2090241000,1879853000,11456000000,8847000000,7737000000,6540000000,5483000000,4328000000,12773000000,10779000000,9567000000,8219000000,6970000000
41,Intangible Assets,- -,- -,- -,- -,- -,114300000,217700000,297200000,441400000,493700000,532400000,1767400000,1956700000,1644900000,2509033000,2471484000,3931056000,3425001000,3433864000,3432649000,3431136000,4010916000,4802896000,12341999000,12140493000,33180000000,30579000000,28411000000,27295000000,26225000000,23978000000,43248000000,38810000000,31101000000,27089000000,22956000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,52300000,48500000,56300000,141800000,149500000,53900000,86800000,121900000,173600000,225600000,237900000,399900000,401100000,517900000,548460000,547364000,11805000,552431000,601841000,602556000,610477000,772862000,- -,- -,- -,- -,796000000,823000000,843000000,660000000,838000000,1317000000,1218000000,1108000000,2791000000,2606000000
45,Total Non-Current Assets,416500000,428800000,457100000,616000000,640500000,703200000,980400000,1246900000,1562100000,1767100000,1919300000,4425900000,4709300000,4419300000,6016786000,6018411000,7474506000,7432913000,7377106000,7339691000,7150890000,7892154000,7698788000,21439138000,20894969000,52616000000,50407000000,47880000000,46571000000,44954000000,41855000000,71417000000,66436000000,59974000000,56218000000,46457000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,461100000,474800000,497800000,691600000,706400000,764500000,1040500000,1319400000,1643300000,1862400000,2028500000,4709400000,4935500000,4705400000,6393290000,6318684000,7770408000,7895852000,7796953000,7762707000,7441007000,8184553000,8254195000,22562729000,22038098000,56139000000,54020000000,51787000000,50147000000,47604000000,47017000000,75611000000,70256000000,64742000000,59394000000,57993000000
48,Accounts Payable,- -,- -,- -,11900000,13800000,18400000,34600000,49500000,52300000,55300000,60500000,83400000,87600000,78500000,127287000,87439000,64825000,113274000,141618000,104444000,129350000,178018000,135086000,394687000,299619000,1399000000,1207000000,1111000000,1226000000,968000000,1179000000,1555000000,1933000000,1724000000,1134000000,758000000
49,Short-Term Debt,18100000,15700000,22100000,29100000,37500000,28100000,42100000,83400000,170700000,29500000,19900000,55200000,53000000,62100000,425962000,53000000,70737000,72453000,249617000,276736000,178012000,279898000,20407000,500065000,11583000,480000000,1205000000,785000000,550000000,1503000000,1503000000,443000000,652000000,2716000000,2806000000,1939000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,383000000,356000000,339000000,309000000,318000000,301000000,370000000,337000000,311000000,314000000,228000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51614000,- -,- -,182374000,190443000,580000000,642000000,737000000,726000000,743000000,672000000,892000000,832000000,804000000,753000000,617000000
52,Other Current Liabilities,30800000,40300000,42000000,26900000,31900000,29500000,44000000,46300000,63700000,55100000,63700000,183400000,164200000,168600000,190121000,1153517000,252542000,285656000,300383000,365050000,258589000,278619000,302897000,630069000,509397000,1560000000,1541000000,1776000000,1416000000,1390000000,1995000000,1967000000,2114000000,2014000000,1941000000,3855000000
53,Total Current Liabilities,48900000,56000000,64100000,67900000,83200000,76000000,120700000,179200000,286700000,139900000,144100000,322000000,304800000,309200000,743370000,1293956000,388104000,471383000,691618000,746230000,617565000,736535000,458390000,1707195000,1011042000,4019000000,4595000000,4409000000,3918000000,4604000000,5349000000,4857000000,5531000000,7258000000,6634000000,7169000000
54,Long-Term Debt,194700000,181600000,180100000,257700000,230700000,254800000,391900000,460900000,518600000,622900000,625900000,2609500000,2558000000,2078300000,3050292000,2087500000,3578132000,3109302000,2762019000,2376070000,2412852000,2734357000,3294119000,7253653000,7316004000,21356000000,19400000000,20181000000,20121000000,18722000000,18185000000,37283000000,35409000000,32394000000,29410000000,27428000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,56200000,67300000,72700000,80400000,83800000,87000000,39100000,60100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,673061000,810571000,1338446000,2256579000,2368698000,3823000000,3644000000,4753000000,4030000000,3569000000,3471000000,2413000000,2527000000,2918000000,3342000000,4049000000
57,Other Non-Current Liabilities,32700000,25200000,28500000,27500000,27700000,26700000,103300000,105400000,187800000,211100000,230400000,477600000,541200000,469900000,567549000,599848000,716168000,836651000,933551000,1023134000,537352000,486067000,- -,1878503000,1695195000,6114000000,7092000000,5253000000,7055000000,6649000000,6613000000,7567000000,6961000000,8702000000,8846000000,7507000000
58,Total Non-Current Liabilities,283600000,274100000,281300000,365600000,342200000,368500000,534300000,626400000,706400000,834000000,856300000,3087100000,3099200000,2548200000,3617841000,2687348000,4294300000,3945953000,3695570000,3399204000,3623265000,4030995000,4632565000,11388735000,11379897000,31293000000,30136000000,30187000000,31206000000,28940000000,28269000000,47263000000,44897000000,44014000000,41598000000,38984000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1758000000,379000000,385000000
61,Total Liabilities,332500000,330100000,345400000,433500000,425400000,444500000,655000000,805600000,993100000,973900000,1000400000,3409100000,3404000000,2857400000,4361211000,3981304000,4682404000,4417336000,4387188000,4145434000,4240830000,4767530000,5090955000,13095930000,12390939000,35312000000,34731000000,34596000000,35124000000,33544000000,33618000000,52120000000,50428000000,51272000000,48232000000,46153000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7975000,7975000,7975000,7850000,7450000,6971000,236000,236000,236000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,139900000,140667000,141233000,142956000,144364000,132374000,131074000,113254000,108492000,100277000,299189000,304948000,619000000,626000000,584000000,569000000,544000000,547000000,1069000000,1080000000,1090000000,1097000000,1024000000
64,Retained Earnings,47700000,60700000,73300000,83300000,101500000,125500000,155700000,208900000,292000000,387400000,494700000,728000000,932600000,1147000000,1351626000,1666004000,2437472000,2750162000,3055545000,3358162000,3150933000,3245302000,3146255000,3232769000,3302469000,2319000000,1285000000,66000000,147000000,272000000,-1000000,1103000000,-1643000000,-6814000000,-8031000000,-5998000000
65,Other Comprehensive Income/Loss,-138800000,-148400000,-179200000,-221700000,-243900000,-16100000,-328500000,-342700000,-367100000,-39200000,-536700000,-1586900000,-1938200000,-1938200000,-2955223000,-3308447000,-38203000,-500000,-8334000,-9619000,-104942000,-42707000,-123489000,-85306000,-141153000,-1012000000,-1701000000,-802000000,-2017000000,-1934000000,-2117000000,-1995000000,-2461000000,-2680000000,-2813000000,-2158000000
66,Other Total Stockholders Equity,219700000,232400000,258300000,396500000,423400000,210600000,558300000,647600000,725300000,540300000,1070100000,2159200000,2537100000,2499300000,3495009000,3838590000,537804000,576515000,222205000,129806000,24256000,91147000,39961000,6014051000,6174741000,18901000000,19079000000,17343000000,16324000000,15178000000,14970000000,23314000000,22852000000,21874000000,20909000000,- -
67,Total Stockholders Equity,128600000,144700000,152400000,258100000,281000000,320000000,385500000,513800000,650200000,888500000,1028100000,1300300000,1531500000,1848000000,2032079000,2337380000,3088004000,3478516000,3409765000,3617273000,3190951000,3409205000,3163240000,9460939000,9641241000,20827000000,19289000000,17191000000,15023000000,14060000000,13399000000,23491000000,19828000000,13470000000,11162000000,11840000000
68,Total Liabilities And Stockholders Equity,461100000,474800000,497800000,691600000,706400000,764500000,1040500000,1319400000,1643300000,1862400000,2028500000,4709400000,4935500000,4705400000,6393290000,6318684000,7770408000,7895852000,7796953000,7762707000,7431781000,8176735000,8254195000,22556869000,22032180000,56139000000,54020000000,51787000000,50147000000,47604000000,47017000000,75611000000,70256000000,64742000000,59394000000,57993000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9226000,7818000,- -,5860000,5918000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,461100000,474800000,497800000,691600000,706400000,764500000,1040500000,1319400000,1643300000,1862400000,2028500000,4709400000,4935500000,4705400000,6393290000,6318684000,7770408000,7895852000,7796953000,7762707000,7441007000,8184553000,8254195000,22562729000,22038098000,56139000000,54020000000,51787000000,50147000000,47604000000,47017000000,75611000000,70256000000,64742000000,59394000000,57993000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/18926/000001892605000025/0000018926-05-000025-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/18926/000001892609000008/0000018926-09-000008-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/18926/000104746912001666/0001047469-12-001666-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000104746913002037/0001047469-13-002037-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000144530514000656/0001445305-14-000656-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892615000008/0000018926-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892616000047/0000018926-16-000047-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892617000013/0000018926-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892618000012/0000018926-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892619000006/0000018926-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892620000009/0000018926-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892621000017/0000018926-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892622000007/0000018926-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,22200000,31100000,37400000,44300000,69000000,100200000,114800000,129100000,256000000,228800000,239800000,231474000,343031000,801624000,344707000,337244000,334479000,370027000,418370000,365732000,647211000,947705000,573000000,777000000,-239000000,772000000,878000000,626000000,1389000000,-1733000000,-5269000000,-1232000000,2033000000
74,Depreciation and Amortization,- -,- -,- -,46500000,52100000,57300000,70800000,86200000,103600000,113800000,132000000,159500000,328600000,348800000,388056000,473384000,411626000,470641000,500904000,531934000,523506000,536255000,523786000,974710000,1433553000,4026000000,4780000000,4541000000,4428000000,4189000000,3916000000,3936000000,5120000000,4829000000,4710000000,4019000000
75,Deferred Income Tax,- -,- -,- -,700000,1200000,-300000,-1400000,6900000,7400000,9600000,7900000,16200000,17700000,-17100000,41820000,56645000,71112000,128706000,74374000,69530000,49685000,1018000,67518000,153950000,131768000,395000000,394000000,391000000,291000000,350000000,6000000,-931000000,522000000,440000000,366000000,598000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55153000,38168000,- -,- -,- -,79000000,73000000,80000000,111000000,186000000,162000000,175000000,120000000
77,Change in Working Capital,- -,- -,- -,-12200000,-25000000,2600000,-45900000,-46100000,-98800000,160900000,9700000,-3600000,-40100000,55500000,-343766000,-626817000,901481000,83758000,-263327000,-51443000,-4234000,-116688000,541153000,-680621000,715691000,-628087000,-486000000,480000000,160000000,-1612000000,1767000000,-476000000,-1048000000,-779000000,-968000000,-408000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23778000,- -,-102000000,-154000000,-212000000,-163000000,-132000000,-266000000,31000000,25000000,-5000000,115000000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32209000,-95068000,-58000000,-72000000,-76000000,70000000,-168000000,109000000,-123000000,124000000,-261000000,-543000000,- -
