,https://roic.ai/company/WIRE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,400000,300000,100000,200000,1500000,500000,900000,300000,400000,460000,2390000,672082,5112219,6910293,19749748,9013586,8503000,788000,2331000,6377000,1899000,11331000,6769000,3541000,2340000,2479000,2372000,1723000,1889000,2651000,3167000
37,Total Current Assets,8300000,17500000,21500000,47700000,55200000,62200000,77000000,78100000,102900000,97387000,94095000,97596703,146277125,162164326,255233456,371050151,395975000,411758000,407499000,342097000,377054000,306850000,330066000,345315000,370155000,376382000,446984000,519237000,549238000,555133000,1035050000
38,PP&E,5700000,8200000,21500000,27200000,29400000,28800000,51300000,78700000,79400000,74261000,77384000,85366728,78924227,88678860,93137145,102986570,117831000,121442000,126856000,134985000,138832000,164924000,194254000,226506000,254768000,281389000,286798000,298658000,333179000,410768000,494916000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,200000,- -,300000,200000,100000,100000,500000,100000,100000,191000,217000,165912,97880,671899,105017,119873,106000,139000,203000,194000,260000,693000,1506000,930000,3193000,193000,193000,165000,737000,553000,570000
45,Total Non-Current Assets,5900000,8200000,21800000,27400000,29500000,28900000,51800000,78800000,79500000,74452000,77601000,85532640,79022107,89350759,93242162,103106443,117937000,121581000,127059000,135179000,139092000,165617000,195760000,227436000,257961000,281582000,286991000,298823000,333916000,411321000,495486000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,14200000,25700000,43300000,75100000,84700000,91100000,128800000,156900000,182400000,171839000,171696000,183129343,225299232,251515085,348475618,474156594,513912000,533339000,534558000,477276000,516146000,472467000,525826000,572751000,628116000,657964000,733975000,818060000,883154000,966454000,1530536000
48,Accounts Payable,1900000,5400000,8800000,11100000,15500000,15500000,23400000,16800000,18100000,18487000,20174000,10735329,24430205,15090694,17276887,13412749,22170000,4639000,11942000,32897000,14676000,20112000,23465000,31147000,28743000,18577000,36330000,36706000,40509000,56726000,75353000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100430000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2065000,3983000,4744000,4673000,3510000,3444000,8251000,4098000,3962000,4011000,4427000,5018000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,5800000,2700000,2900000,4400000,4200000,7600000,9900000,8400000,10600000,10353000,11558000,11182181,15590070,14391216,38843892,23771944,26895000,29086000,18245000,25256000,27894000,25245000,24453000,28191000,33972000,32305000,35301000,36866000,34787000,36866000,78747000
53,Total Current Liabilities,7700000,8100000,11700000,15500000,19700000,23100000,33300000,25200000,28700000,28840000,31732000,21917510,40020275,29481910,56120779,37184693,49065000,33725000,130617000,58153000,42570000,45357000,47918000,59338000,62715000,50882000,71631000,73572000,75296000,93592000,154100000
54,Long-Term Debt,2800000,- -,10800000,16900000,23000000,18500000,22200000,44000000,60600000,42600000,30000000,47500000,53425000,49836482,70438087,98974291,100910000,100675000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,400000,600000,700000,1100000,1600000,2600000,3200000,4100000,5700000,6853000,7036000,7193209,10077560,12652428,10619537,9850908,8968000,9320000,10957000,11746000,15833000,16946000,21327000,20226000,26762000,33973000,20999000,24032000,28762000,35133000,37347000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,100000,-100000,- -,- -,- -,- -,- -,- -,761913,1025709,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,3200000,600000,11500000,18000000,24600000,21100000,25500000,48000000,66300000,49453000,37036000,54693209,63502560,62488910,81819537,109850908,109878000,109995000,10957000,11746000,15833000,16946000,21327000,20226000,26762000,33973000,20999000,24032000,28762000,35133000,37347000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,10900000,8700000,23200000,33500000,44300000,44200000,58800000,73200000,95000000,78293000,68768000,76610719,103522835,91970820,137940316,147035601,158943000,143720000,141574000,69899000,58403000,62303000,69245000,79564000,89477000,84855000,92630000,97604000,104058000,128725000,191447000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,200000,166000,169000,169584,169668,258631,259391,260353,261000,262000,263000,264000,266000,266000,266000,267000,267000,268000,269000,269000,269000,270000,271000
64,Retained Earnings,500000,3900000,6500000,13200000,12600000,19800000,41500000,59100000,65700000,73711000,82841000,88804707,103180371,136540408,186618864,301286530,330217000,368140000,369933000,383367000,431631000,449734000,494990000,530456000,576404000,608586000,673940000,750421000,806874000,881292000,1421079000
65,Other Comprehensive Income/Loss,-800000,-1500000,-2500000,-4500000,-7600000,-10900000,-14800000,-20700000,-28300000,-37420000,-46499000,-1318774,-492454,-78515439,-89364409,-100966005,-113397000,-125632000,-136653000,-149972000,-161550000,-175030000,-189288000,-203502000,-215953000,-225499000,-238463000,-252754000,-266688000,- -,- -
66,Other Total Stockholders Equity,3600000,14600000,16100000,32900000,35400000,38000000,43300000,45300000,49800000,57089000,66417000,18863107,18918812,101260665,113021456,126540115,137888000,146849000,159441000,173718000,187396000,135194000,150613000,165966000,177921000,189754000,205599000,222520000,238641000,-43833000,-82261000
67,Total Stockholders Equity,3300000,17000000,20100000,41600000,40400000,46900000,70000000,83700000,87400000,93546000,102928000,106518624,121776397,159544265,210535302,327120993,354969000,389619000,392984000,407377000,457743000,410164000,456581000,493187000,538639000,573109000,641345000,720456000,779096000,837729000,1339089000
68,Total Liabilities And Stockholders Equity,14200000,25700000,43300000,75100000,84700000,91100000,128800000,156900000,182400000,171839000,171696000,183129343,225299232,251515085,348475618,474156594,513912000,533339000,534558000,477276000,516146000,472467000,525826000,572751000,628116000,657964000,733975000,818060000,883154000,966454000,1530536000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,14200000,25700000,43300000,75100000,84700000,91100000,128800000,156900000,182400000,171839000,171696000,183129343,225299232,251515085,348475618,474156594,513912000,533339000,534558000,477276000,516146000,472467000,525826000,572751000,628116000,657964000,733975000,818060000,883154000,966454000,1530536000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/850460/000095013405005041/d22594e10vk.htm,https://www.sec.gov/Archives/edgar/data/850460/000095013406005027/d33440e10vk.htm,https://www.sec.gov/Archives/edgar/data/850460/000095013407005300/d43562e10vk.htm,https://www.sec.gov/Archives/edgar/data/850460/000095013408004373/d54669e10vk.htm,https://www.sec.gov/Archives/edgar/data/850460/000095013409004933/0000950134-09-004933-index.html,https://www.sec.gov/Archives/edgar/data/850460/000095012310021645/0000950123-10-021645-index.html,https://www.sec.gov/Archives/edgar/data/850460/000095012311022274/d79609e10vk.htm,https://www.sec.gov/Archives/edgar/data/850460/000119312512093858/0001193125-12-093858-index.html,https://www.sec.gov/Archives/edgar/data/850460/000119312513076495/0001193125-13-076495-index.html,https://www.sec.gov/Archives/edgar/data/850460/000119312514076562/d639105d10k.htm,https://www.sec.gov/Archives/edgar/data/850460/000162828015001025/wire-2014x12x31x10k.htm,https://www.sec.gov/Archives/edgar/data/850460/000085046016000028/0000850460-16-000028-index.html,https://www.sec.gov/Archives/edgar/data/850460/000085046017000006/0000850460-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/850460/000085046018000008/0000850460-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/850460/000085046019000006/0000850460-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/850460/000085046020000019/0000850460-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/850460/000085046021000016/0000850460-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/850460/000085046022000024/0000850460-22-000024-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2000000,3300000,2600000,6700000,-500000,7200000,21700000,17600000,6600000,8050000,9130000,5964060,14375664,33360037,50078456,115133194,30796000,39771000,3636000,15290000,50131000,19811000,46910000,37123000,47605000,33839000,67017000,78150000,58129000,76067000,541422000
74,Depreciation and Amortization,500000,700000,1000000,2000000,3100000,3400000,4100000,5900000,8100000,9187000,9633000,10686444,12630221,11626004,12275471,12437245,13819000,13933000,13691000,13716000,13728000,14280000,14788000,15453000,16063000,16811000,15684000,16513000,17707000,19459000,23288000
75,Deferred Income Tax,- -,300000,300000,600000,200000,900000,100000,2100000,3000000,255000,1213000,-1019713,2070702,4912410,-3886901,-1948260,5151000,5601000,-6240000,-4801000,9980000,-6085000,5415000,2349000,16315000,-1262000,-12974000,3033000,3376000,6429000,2264000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,451000,467000,416000,746000,364000,703000,802000,1596000,955000,1444000,1619000,1878000,3786000
77,Change in Working Capital,-3300000,8800000,400000,22400000,3300000,3600000,4600000,9200000,21300000,-5653000,-6184000,13316193,30577657,26425566,66430261,134752781,13044542,31123000,-101151000,7062000,50540000,-72991000,20655000,3829000,21463000,18060000,49853000,70312000,28277000,-12401000,-158173000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7270000,-57492000,-9002000,1424000,-17760000,8831000,20843000,1210000,-44030000,-6468000,12255000,-53383000,-216808000
79,Inventory,-1400000,-1700000,-4800000,-8800000,-6700000,-2700000,-3300000,-7300000,-16800000,11771000,-1969000,-5328313,-9178972,20232482,-28820306,-36015677,21934000,16480000,22970000,459000,-21387000,-165000,-7124000,-7471000,-17003000,1980000,909000,-10002000,12683000,-2638000,-8494000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3617000,2921000,9309000,-5859000,-8583000,25004000,165000,2040000,- -,66886000
81,Other Working Capital,600000,9400000,9800000,32200000,35500000,39100000,43700000,52900000,74200000,68547000,62363000,75679193,106256850,132682416,199112677,333865458,346910000,378033000,276882000,283944000,334484000,261493000,282148000,285977000,307440000,325500000,375353000,445665000,473942000,461541000,305000
82,Other Non-Cash Items,300000,-13300000,-300000,-43600000,-6400000,-6900000,-8800000,-19300000,-44200000,11051000,12329000,-27419527,-59581673,-51394312,-129900025,-246123966,21974458,71664000,118218000,-29290000,-98626000,74299000,-40914000,3665000,-31480000,-10484000,-72522000,-87862000,-2987000,-33970000,5831000
83,Cash Provided by Operating Activities,-500000,-200000,4000000,-11900000,-300000,8200000,21700000,15500000,-5200000,22890000,26121000,1527457,72571,24929705,-5002738,14250994,84785000,162092000,28605000,2444000,26169000,30060000,47218000,63122000,70768000,58560000,48013000,81590000,106121000,57462000,418418000
84,CAPEX,-2100000,-3200000,-14200000,-7700000,-5300000,-2900000,-26600000,-33300000,-8900000,-4169000,-14531000,-19452755,-6124366,-23805702,-17232744,-22423428,-28491000,-17962000,-22950000,-21718000,-25007000,-40301000,-44505000,-44274000,-43711000,-45374000,-21754000,-26181000,-52484000,-86082000,-118252000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38137,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,100000,-400000,200000,200000,6000,1683000,651249,302032,2529559,342506,311257,259000,327000,4167000,89000,8061000,17000,1039000,43000,242000,3792000,1064000,116000,28000,91000,97000
89,Cash Used for Investing Activites,-2100000,-3200000,-14200000,-7700000,-5300000,-2800000,-27000000,-33100000,-8700000,-4163000,-12840000,-18801506,-5822334,-21314280,-16890238,-22112171,-28232000,-17635000,-18783000,-21629000,-16946000,-40284000,-43466000,-44231000,-43469000,-41582000,-20690000,-26065000,-52456000,-85991000,-118155000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-102919000,- -,- -,- -,- -,- -,- -,- -,-67300000,- -,- -,- -
91,Common Stock Issued,- -,10300000,300000,14700000,100000,- -,1500000,600000,100000,1510000,1881000,97344,55789,2761040,511596,692257,622000,156000,758000,462000,1788000,198000,622000,529000,1728000,1416000,1948000,1186000,568000,2999000,1083000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-700000,-100000,-4600000,-2900000,-3436000,-1366000,-1415355,- -,- -,- -,- -,-1867000,-3954000,- -,-25000,-202000,-66638000,- -,- -,-2922000,- -,- -,- -,- -,-20662000,-43296000
93,Dividends Paid,- -,- -,- -,- -,-800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2040000,-1853000,-1840000,-1855000,-1863000,-1763000,-1654000,-1657000,-1657000,-1656000,-1661000,-1668000,-1673000,-1650000,-1633000
94,Other Financing Activites,2500000,-6900000,10100000,6100000,6000000,-4400000,3700000,21900000,16600000,-18000000,-12600000,17500000,5925000,-4128000,21363519,29150048,1024000,-35000,363000,5000,100000,12000,175000,123000,40000,-137000,-1000,67300000,- -,- -,-550000
95,Cash Used/Provided by Financing Activities,2500000,3400000,10400000,20800000,5300000,-5100000,5100000,17900000,13800000,-19926000,-12085000,16181989,5980789,-1366960,21875115,29842305,-2261000,-5686000,-719000,-104332000,-177000,-68191000,-857000,-1005000,-2811000,-377000,286000,-482000,-1105000,-19313000,-44396000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-1200000,1196000,-1092060,231026,2248465,-17861,21981128,54292000,138771000,9103000,-123517000,9046000,-78415000,2895000,17886000,24488000,16601000,27609000,55043000,52560000,-47842000,255867000
