,https://roic.ai/company/TXN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),3700000,58800000,157800000,150100000,63100000,18000000,105000000,122000000,220000000,351000000,531000000,23000000,411000000,210000000,613000000,1491000000,-225000000,-2000000,52000000,560000000,664000000,987000000,1051000000,561000000,547000000,1323000000,719000000,176000000,592000000,1053000000,1230000000,1335000000,2398000000,1106000000,711000000,422000000,1150000000
23,Net Income,-118700000,39900000,256900000,366300000,291700000,-39000000,-409000000,247000000,472000000,691000000,1088000000,63000000,1805000000,407000000,1406000000,3058000000,-201000000,-344000000,1198000000,1861000000,2324000000,4341000000,2657000000,1920000000,1470000000,3228000000,2236000000,1759000000,2162000000,2821000000,2986000000,3595000000,3682000000,5580000000,5017000000,5595000000,7769000000
24,Net Income ratio,-0.0241,0.0080,0.0459,0.0582,0.0447,-0.0059,-0.0603,0.0332,0.0554,0.0670,0.0829,0.0063,0.1851,0.0481,0.1485,0.2575,-0.0245,-0.0410,0.1218,0.1479,0.1735,0.3045,0.1920,0.1536,0.1410,0.2311,0.1628,0.1372,0.1771,0.2163,0.2297,0.2689,0.2461,0.3535,0.3488,0.3869,0.4235
25,EPS,-0.10,0.03,0.19,0.26,0.19,-0.06,-0.34,0.16,0.32,0.45,0.70,0.04,1.17,0.26,0.88,1.78,-0.12,-0.20,0.69,1.08,1.42,2.84,1.88,1.47,1.16,2.66,1.91,1.53,1.94,2.70,2.95,3.61,3.72,5.75,5.36,6.07,8.44
26,EPS Diluted,-0.10,0.03,0.19,0.26,0.19,-0.06,-0.34,0.16,0.32,0.45,0.70,0.04,1.14,0.26,0.84,1.71,-0.12,-0.20,0.68,1.05,1.39,2.78,1.84,1.45,1.15,2.62,1.88,1.51,1.91,2.57,2.82,3.48,3.61,5.59,5.24,5.97,8.33
27,Weighted Average Shares Outstanding,1187000000,946666667,1272105263,1291923077,1331578947,1250000000,1302941176,1312500000,1375200000,1520770289,1546003552,1527272727,1539445629,1565384615,1606857143,1717977528,1675000000,1720000000,1736231884,1730000000,1640000000,1528000000,1417000000,1308000000,1260000000,1199000000,1151000000,1132000000,1098000000,1046626812,1011268412,995983961,991000000,970000000,936000000,921000000,921000000
28,Weighted Average Shares Outstanding Diluted,1187000000,946666667,1272105263,1291923077,1331578947,1250000000,1302941176,1312500000,1497696000,1528304000,1546584000,1534760000,1590308370,1596078431,1673809524,1788304094,1675000000,1720000000,1761764706,1768000000,1671000000,1560000000,1446000000,1324000000,1269000000,1213000000,1171000000,1146000000,1113000000,1080000000,1043000000,1021000000,1012000000,990000000,952000000,933000000,933000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/97476/000093066103000885/0000930661-03-000885-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000119312504031317/0001193125-04-031317-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000119312505038623/0001193125-05-038623-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000119312506041333/0001193125-06-041333-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000119312507042451/0001193125-07-042451-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000119312508038572/0001193125-08-038572-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000120677409000314/0001206774-09-000314-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000114036110007923/0001140361-10-007923-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000114036111012312/0001140361-11-012312-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747612000010/0000097476-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747613000009/0000097476-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747614000007/0000097476-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747615000003/0000097476-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000156459016013126/0001564590-16-013126-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000156459017002142/0001564590-17-002142-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000156459018002832/0001564590-18-002832-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000156459019003839/0001564590-19-003839-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747620000009/0000097476-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747621000006/0000097476-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747622000009/0000097476-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,760000000,1364000000,964000000,1015000000,540000000,662000000,745000000,431000000,949000000,1818000000,2668000000,1219000000,1183000000,1328000000,1046000000,1182000000,1319000000,992000000,1416000000,1627000000,1199000000,1000000000,1154000000,1656000000,2438000000,2437000000,3107000000,4631000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,530000000,189000000,14000000,2005000000,1709000000,2000000000,3258000000,2513000000,2063000000,2511000000,3690000000,4116000000,2534000000,1596000000,1494000000,1743000000,1753000000,1943000000,2549000000,2202000000,2342000000,2218000000,2336000000,2813000000,1795000000,2950000000,3461000000,5108000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1290000000,1553000000,978000000,3020000000,2249000000,2662000000,4003000000,2944000000,3012000000,4329000000,6358000000,5335000000,3717000000,2924000000,2540000000,2925000000,3072000000,2935000000,3965000000,3829000000,3541000000,3218000000,3490000000,4469000000,4233000000,5387000000,6568000000,9739000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,1442000000,2320000000,1799000000,1705000000,1343000000,1843000000,2204000000,1198000000,1217000000,1451000000,1696000000,1812000000,1774000000,1742000000,913000000,1277000000,1518000000,1545000000,1230000000,1203000000,1246000000,1165000000,1267000000,1278000000,1207000000,1074000000,1414000000,1701000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,882000000,1135000000,703000000,742000000,596000000,845000000,1233000000,751000000,790000000,984000000,1256000000,1273000000,1437000000,1418000000,1375000000,1202000000,1520000000,1788000000,1757000000,1731000000,1784000000,1691000000,1790000000,1957000000,2217000000,2001000000,1955000000,1910000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,403000000,510000000,974000000,636000000,658000000,705000000,675000000,882000000,1107000000,945000000,880000000,765000000,926000000,834000000,962000000,710000000,950000000,1560000000,1278000000,1256000000,1197000000,1000000000,910000000,1030000000,440000000,299000000,302000000,335000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4017000000,5518000000,4454000000,6103000000,4846000000,6055000000,8115000000,5775000000,6126000000,7709000000,10190000000,9185000000,7854000000,6918000000,5790000000,6114000000,7060000000,7828000000,8230000000,8019000000,7768000000,7074000000,7457000000,8734000000,8097000000,8761000000,10239000000,13685000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,2568000000,3187000000,4162000000,4180000000,3373000000,3835000000,5447000000,5589000000,4794000000,4132000000,3918000000,3899000000,3950000000,3609000000,3304000000,3158000000,3680000000,4428000000,3912000000,3399000000,2840000000,2596000000,2512000000,2664000000,3183000000,3303000000,3269000000,5141000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,503000000,- -,748000000,- -,- -,- -,- -,792000000,838000000,840000000,926000000,924000000,4452000000,4362000000,4362000000,4362000000,4362000000,4362000000,4362000000,4362000000,4362000000,4362000000,4362000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,961000000,- -,823000000,862000000,812000000,777000000,306000000,342000000,273000000,243000000,281000000,3106000000,2700000000,2341000000,1985000000,1629000000,1316000000,1056000000,717000000,409000000,274000000,85000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,503000000,961000000,748000000,823000000,862000000,812000000,777000000,1098000000,1180000000,1113000000,1169000000,1205000000,7558000000,7062000000,6703000000,6347000000,5991000000,5678000000,5418000000,5079000000,4771000000,4636000000,4447000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,236000000,287000000,267000000,653000000,637000000,453000000,265000000,215000000,216000000,224000000,221000000,235000000,268000000,251000000,300000000,49000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,243000000,229000000,192000000,134000000,23000000,41000000,106000000,421000000,618000000,626000000,449000000,393000000,601000000,510000000,990000000,926000000,927000000,321000000,280000000,207000000,172000000,201000000,374000000,264000000,295000000,197000000,343000000,263000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,161000000,281000000,552000000,432000000,3008000000,4594000000,3091000000,3246000000,2318000000,2181000000,930000000,573000000,140000000,183000000,73000000,115000000,76000000,97000000,322000000,394000000,371000000,147000000,175000000,294000000,232000000,686000000,815000000,1140000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2972000000,3697000000,4906000000,4746000000,6404000000,8973000000,9605000000,10004000000,8553000000,7801000000,6109000000,5878000000,6076000000,5749000000,6133000000,6005000000,6341000000,12669000000,11791000000,10919000000,9954000000,9156000000,8974000000,8908000000,9040000000,9257000000,9112000000,10991000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,6989000000,9215000000,9360000000,10849000000,11250000000,15028000000,17720000000,15779000000,14679000000,15510000000,16299000000,15063000000,13930000000,12667000000,11923000000,12119000000,13401000000,20497000000,20021000000,18938000000,17722000000,16230000000,16431000000,17642000000,17137000000,18018000000,19351000000,24676000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1877000000,2573000000,1940000000,2082000000,1582000000,1682000000,1921000000,1205000000,511000000,1496000000,552000000,750000000,560000000,657000000,324000000,503000000,621000000,625000000,444000000,422000000,437000000,386000000,396000000,466000000,478000000,388000000,415000000,653000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,27000000,314000000,71000000,267000000,313000000,148000000,38000000,422000000,437000000,11000000,301000000,43000000,- -,- -,- -,- -,1381000000,1500000000,1000000000,1001000000,1000000000,631000000,500000000,749000000,500000000,550000000,500000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000000,128000000,109000000,101000000,206000000,227000000,71000000,95000000,83000000,128000000,103000000,46000000,134000000,121000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,310000000,588000000,232000000,343000000,347000000,633000000,744000000,337000000,1001000000,267000000,1362000000,1295000000,1475000000,1368000000,1208000000,1084000000,1360000000,1493000000,1486000000,1325000000,1224000000,1169000000,1237000000,1292000000,1247000000,1235000000,1425000000,1416000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2199000000,3188000000,2486000000,2496000000,2196000000,2628000000,2813000000,1580000000,1934000000,2200000000,1925000000,2346000000,2078000000,2025000000,1532000000,1587000000,1981000000,3499000000,3430000000,2747000000,2662000000,2555000000,2264000000,2258000000,2474000000,2123000000,2390000000,2569000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,808000000,804000000,1697000000,1286000000,1027000000,1097000000,1216000000,1211000000,833000000,395000000,368000000,360000000,- -,- -,- -,- -,- -,4211000000,4186000000,4158000000,3641000000,3120000000,2978000000,3577000000,4319000000,5303000000,6497000000,7624000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,366000000,- -,378000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,381000000,994000000,469000000,331000000,129000000,59000000,40000000,23000000,23000000,49000000,59000000,67000000,86000000,607000000,572000000,548000000,399000000,37000000,33000000,78000000,42000000,78000000,90000000,87000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,943000000,1128000000,1080000000,1153000000,1119000000,1054000000,634000000,778000000,1049000000,992000000,903000000,397000000,469000000,618000000,640000000,743000000,519000000,1228000000,872000000,678000000,630000000,572000000,683000000,1392000000,1308000000,1607000000,1187000000,1063000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1751000000,1932000000,2777000000,2439000000,2527000000,3145000000,2319000000,2320000000,2011000000,1446000000,1311000000,780000000,492000000,667000000,1065000000,810000000,983000000,6046000000,5630000000,5384000000,4670000000,3729000000,3694000000,5047000000,5669000000,6988000000,7774000000,8774000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,259000000,249000000,383000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3950000000,5120000000,5263000000,4935000000,4723000000,5773000000,5132000000,3900000000,3945000000,3646000000,3236000000,3126000000,2570000000,2692000000,2597000000,2397000000,2964000000,9545000000,9060000000,8131000000,7332000000,6284000000,5958000000,7305000000,8143000000,9111000000,10164000000,11343000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,93000000,190000000,190000000,390000000,392000000,814000000,1733000000,1740000000,1740000000,1738000000,1738000000,1739000000,1739000000,1740000000,1740000000,1740000000,1740000000,1741000000,1741000000,1741000000,1741000000,1741000000,1741000000,1741000000,1741000000,1741000000,1741000000,1741000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,1912000000,2881000000,2814000000,4488000000,4795000000,6175000000,9323000000,8975000000,8484000000,9535000000,11242000000,13394000000,17529000000,19788000000,21168000000,22066000000,24695000000,26278000000,27205000000,28173000000,29653000000,31176000000,33107000000,34662000000,37906000000,39898000000,42051000000,45919000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2327000000,-2444000000,-2550000000,-3234000000,-3006000000,-3285000000,-3652000000,-4094000000,-303000000,-175000000,-187000000,-82000000,-363000000,-324000000,-790000000,-621000000,-701000000,-776000000,-699000000,-528000000,-532000000,-532000000,-526000000,-384000000,-473000000,-347000000,-360000000,-157000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3361000000,3468000000,3643000000,4270000000,4346000000,5551000000,5184000000,5258000000,813000000,766000000,270000000,-3114000000,-7545000000,-11229000000,-12792000000,-13463000000,-15297000000,-16291000000,-17286000000,-18579000000,-20472000000,-22439000000,-23849000000,-25682000000,-30180000000,-32385000000,-34245000000,-34170000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3039000000,4095000000,4097000000,5914000000,6527000000,9255000000,12588000000,11879000000,10734000000,11864000000,13063000000,11937000000,11360000000,9975000000,9326000000,9722000000,10437000000,10952000000,10961000000,10807000000,10390000000,9946000000,10473000000,10337000000,8994000000,8907000000,9187000000,13333000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,6989000000,9215000000,9360000000,10849000000,11250000000,15028000000,17720000000,15779000000,14679000000,15510000000,16299000000,15063000000,13930000000,12667000000,11923000000,12119000000,13401000000,20497000000,20021000000,18938000000,17722000000,16230000000,16431000000,17642000000,17137000000,18018000000,19351000000,24676000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,6989000000,9215000000,9360000000,10849000000,11250000000,15028000000,17720000000,15779000000,14679000000,15510000000,16299000000,15063000000,13930000000,12667000000,11923000000,12119000000,13401000000,20497000000,20021000000,18938000000,17722000000,16230000000,16431000000,17642000000,17137000000,18018000000,19351000000,24676000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/97476/000093066103000885/0000930661-03-000885-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000119312504031317/0001193125-04-031317-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000119312505038623/0001193125-05-038623-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000119312506041333/0001193125-06-041333-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000119312507042451/0001193125-07-042451-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000119312508038572/0001193125-08-038572-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000120677409000314/0001206774-09-000314-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000114036110007923/0001140361-10-007923-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000114036111012312/0001140361-11-012312-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747612000010/0000097476-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747613000009/0000097476-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747614000007/0000097476-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747615000003/0000097476-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000156459016013126/0001564590-16-013126-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000156459017002142/0001564590-17-002142-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000156459018002832/0001564590-18-002832-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000156459019003839/0001564590-19-003839-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747620000009/0000097476-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747621000006/0000097476-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747622000009/0000097476-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,291700000,-39000000,-409000000,247000000,472000000,691000000,1088000000,63000000,1805000000,407000000,1406000000,3058000000,-201000000,-344000000,1198000000,1861000000,2324000000,4341000000,2657000000,1920000000,1470000000,3228000000,2236000000,1759000000,2162000000,2821000000,2986000000,3595000000,3682000000,5580000000,5017000000,5595000000,7769000000
