,https://roic.ai/company/DIS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1653900000,1967400000,2170300000,2649400000,583200000,676800000,955300000,907800000,1192600000,1770500000,2036600000,4253000000,5325000000,3990000000,3975000000,4769000000,767000000,21000000,18000000,- -,27475000000,28392000000,28681000000,30439000000,30944000000,31607000000,33167000000,33515000000,35805000000,10853000000,10877000000,11281000000,10958000000,11871000000,13093000000,17714000000,18628000000
11,COGS and Expenses,1653900000,1967400000,2170300000,2649400000,3484900000,4556700000,5178300000,6216900000,6968900000,8251600000,9850000000,15715000000,18528000000,19197000000,20367000000,22659000000,22437000000,22945000000,24348000000,26704000000,27837000000,28807000000,28729000000,30439000000,30452000000,31337000000,33112000000,33415000000,35591000000,37273000000,39241000000,41274000000,41264000000,44597000000,55111000000,61594000000,63759000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122000000,47000000,92000000,103000000,114000000,317000000,148000000,94000000,122000000,108000000,268000000,156000000,140000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,466000000,456000000,435000000,472000000,349000000,294000000,265000000,354000000,507000000,682000000,1246000000,1647000000,1546000000
14,Depreciation and Amortization,- -,- -,- -,- -,463600000,538300000,794500000,759600000,1028400000,1608300000,1853000000,3944000000,4958000000,3754000000,3779000000,4664000000,1754000000,1042000000,1077000000,1210000000,1339000000,1436000000,1491000000,1582000000,1631000000,1713000000,1841000000,1987000000,2192000000,2288000000,2354000000,2527000000,2782000000,3011000000,4160000000,5345000000,5111000000
15,EBITDA,309900000,462200000,778800000,841900000,1616500000,1863000000,1813000000,2061400000,1730900000,3311100000,3969700000,6005000000,8345000000,6911000000,6093000000,7190000000,2655000000,3131000000,3133000000,4752000000,5113000000,6700000000,9052000000,8682000000,7453000000,8446000000,9868000000,11228000000,11661000000,14325000000,16017000000,17350000000,16691000000,17954000000,19525000000,4827000000,8677000000
16,EBITDA ratio,0.1538,0.1871,0.2662,0.2407,0.3518,0.3188,0.2933,0.2747,0.2029,0.3293,0.3277,0.3205,0.3713,0.3008,0.2604,0.2830,0.1051,0.1236,0.1158,0.1545,0.1601,0.1954,0.2549,0.2294,0.2062,0.2219,0.2413,0.2656,0.2589,0.2935,0.3053,0.3119,0.3027,0.3021,0.2807,0.0738,0.1287
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-51600000,-41300000,-29100000,-5800000,43500000,37700000,14400000,14700000,-486300000,-100700000,-145400000,-963000000,-558000000,-622000000,-721000000,-217000000,-2712000000,-194000000,-459000000,-309000000,-120000000,-31000000,944000000,-2000000,-39000000,-99000000,262000000,397000000,170000000,706000000,644000000,510000000,-85000000,-108000000,-515000000,-5537000000,-1098000000
20,Income Before Tax,309900000,462200000,726400000,841900000,1152900000,1324700000,1018500000,1301800000,1074000000,1702800000,2116700000,2061000000,3387000000,3157000000,2314000000,2526000000,120000000,2190000000,2254000000,3739000000,3987000000,5447000000,7725000000,7402000000,5658000000,6627000000,8043000000,9260000000,9620000000,12246000000,13868000000,14868000000,13788000000,14729000000,13944000000,-1743000000,2561000000
21,Income Before Tax Ratio,0.1538,0.1871,0.2483,0.2407,0.2509,0.2267,0.1647,0.1735,0.1259,0.1693,0.1748,0.1100,0.1507,0.1374,0.0989,0.0994,0.0047,0.0865,0.0833,0.1216,0.1248,0.1589,0.2175,0.1956,0.1565,0.1741,0.1967,0.2190,0.2136,0.2509,0.2643,0.2673,0.2501,0.2478,0.2004,-0.0267,0.0380
22,Income Tax expense (Gain),136400000,214900000,334100000,319900000,449600000,500700000,381900000,485100000,402700000,592400000,736600000,847000000,1421000000,1307000000,1014000000,1606000000,1059000000,853000000,789000000,1197000000,1241000000,1890000000,2874000000,2673000000,2049000000,2314000000,2785000000,3087000000,2984000000,4242000000,5016000000,5078000000,4422000000,1663000000,3065000000,699000000,25000000
23,Net Income,173500000,247300000,444700000,522000000,703300000,824000000,636600000,816700000,299800000,1110400000,1380100000,1214000000,1966000000,1850000000,1300000000,920000000,-158000000,1236000000,1267000000,2345000000,2533000000,3374000000,4687000000,4427000000,3307000000,3963000000,4807000000,5682000000,6136000000,7501000000,8382000000,9391000000,8980000000,12598000000,11054000000,-2864000000,1995000000
24,Net Income ratio,0.0861,0.1001,0.1520,0.1493,0.1531,0.1410,0.1030,0.1088,0.0351,0.1104,0.1139,0.0648,0.0875,0.0805,0.0556,0.0362,-0.0063,0.0488,0.0468,0.0763,0.0793,0.0984,0.1320,0.1170,0.0915,0.1041,0.1176,0.1344,0.1362,0.1537,0.1598,0.1688,0.1629,0.2120,0.1589,-0.0438,0.0296
25,EPS,0.00,0.01,0.02,0.03,0.04,0.04,0.03,0.17,0.06,0.23,0.29,0.65,0.95,0.91,0.63,0.58,-0.02,0.60,0.62,1.14,1.25,1.68,2.34,2.34,1.78,2.07,2.56,3.17,3.42,4.31,4.95,5.76,5.73,8.40,6.68,-1.58,1.10
26,EPS Diluted,0.00,0.01,0.02,0.03,0.04,0.04,0.03,0.17,0.06,0.23,0.29,0.65,0.95,0.89,0.62,0.57,-0.02,0.60,0.62,1.12,1.22,1.64,2.25,2.28,1.76,2.03,2.52,3.13,3.38,4.26,4.90,5.73,5.69,8.36,6.64,-1.58,1.09
27,Weighted Average Shares Outstanding,1554066000,1569970000,1581982000,1600000000,1625225000,1583183000,1563964000,1574775000,1608108000,1573874000,1574775000,1857000000,2061000000,2037000000,2056000000,2103000000,2085000000,2044000000,2067000000,2049000000,2028000000,2005000000,2004000000,1890000000,1856000000,1915000000,1878000000,1794000000,1792000000,1740000000,1694000000,1629000000,1568000000,1499000000,1656000000,1808000000,1816000000
28,Weighted Average Shares Outstanding Diluted,1554066000,1569970000,1581982000,1600000000,1625225000,1583183000,1563964000,1574775000,1608108000,1573874000,1574775000,1857000000,2061000000,2079000000,2083000000,2103000000,2100000000,2044000000,2067000000,2106000000,2089000000,2076000000,2092000000,1948000000,1875000000,1948000000,1909000000,1818000000,1813000000,1759000000,1709000000,1639000000,1578000000,1507000000,1666000000,1808000000,1828000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1744489/000174448919000225/0001744489-19-000225-index.html,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000197/0001744489-20-000197-index.htm,https://www.sec.gov/Archives/edgar/data/1744489/000174448921000220/0001744489-21-000220-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,380800000,819800000,886100000,764800000,363000000,186900000,1076500000,278000000,317000000,127000000,414000000,842000000,618000000,1239000000,1583000000,2042000000,1723000000,2411000000,3670000000,3001000000,3417000000,2722000000,3185000000,3387000000,3931000000,3421000000,4269000000,4610000000,4017000000,4150000000,5418000000,17914000000,15959000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3903000000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,380800000,819800000,886100000,764800000,363000000,186900000,1076500000,278000000,317000000,127000000,414000000,842000000,618000000,1239000000,1583000000,2042000000,1723000000,2411000000,3670000000,3001000000,3417000000,2722000000,3185000000,3387000000,3931000000,3421000000,4269000000,4610000000,4017000000,4150000000,5418000000,21817000000,15959000000
34,Net Receivables,- -,- -,- -,- -,908500000,851500000,1128200000,1298900000,1390300000,1670500000,1792800000,3343000000,3726000000,3999000000,3633000000,3599000000,3343000000,4049000000,4238000000,4558000000,4585000000,4707000000,5032000000,5373000000,4854000000,5784000000,6182000000,6540000000,6967000000,7822000000,8019000000,9065000000,8633000000,9334000000,15481000000,12708000000,13367000000
35,Inventory,- -,- -,- -,- -,224300000,269200000,311600000,462800000,608900000,668300000,824000000,951000000,942000000,899000000,796000000,702000000,671000000,697000000,703000000,775000000,626000000,694000000,641000000,1124000000,1271000000,1442000000,1595000000,1537000000,1487000000,1574000000,1571000000,1390000000,1373000000,1392000000,1649000000,1583000000,1331000000
36,Other Current Assets,- -,- -,- -,- -,662300000,588100000,782400000,2167500000,3249400000,2919400000,2965700000,4366000000,6298000000,4350000000,5357000000,4864000000,2397000000,1864000000,1790000000,1994000000,1911000000,1750000000,1971000000,2168000000,2347000000,2277000000,2795000000,2245000000,1724000000,2359000000,2899000000,1901000000,1866000000,1949000000,5576000000,-857000000,3000000000
37,Total Current Assets,- -,- -,- -,- -,2175900000,2528600000,3108300000,4694000000,5611600000,5445100000,6659000000,8938000000,11283000000,9375000000,10200000000,10007000000,7029000000,7849000000,8314000000,9369000000,8845000000,9562000000,11314000000,11666000000,11889000000,12225000000,13757000000,13709000000,14109000000,15176000000,16758000000,16966000000,15889000000,16825000000,28124000000,35251000000,33657000000
38,PP&E,- -,- -,- -,- -,3397300000,3910500000,4571600000,4798700000,5228200000,5814500000,6190300000,8031000000,8951000000,10346000000,11346000000,12310000000,12907000000,12780000000,12678000000,16482000000,16968000000,17167000000,17433000000,17532000000,17597000000,17806000000,19695000000,21512000000,22380000000,23332000000,25179000000,27349000000,28406000000,29540000000,31603000000,32078000000,32624000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22505000000,22085000000,22151000000,21683000000,24100000000,24145000000,25110000000,27324000000,27881000000,27826000000,27810000000,31426000000,31269000000,80293000000,77689000000,78071000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17978000000,16011000000,15769000000,15695000000,16117000000,14540000000,19859000000,19752000000,19781000000,19705000000,8142000000,7617000000,7822000000,2247000000,5081000000,5121000000,5015000000,7370000000,7434000000,7172000000,6949000000,6995000000,6812000000,46025000000,19173000000,17115000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17978000000,16011000000,15769000000,15695000000,16117000000,14540000000,19859000000,19752000000,19781000000,19705000000,30647000000,29702000000,29973000000,23930000000,29181000000,29266000000,30125000000,34694000000,35315000000,34998000000,34759000000,38421000000,38081000000,126318000000,96862000000,95186000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1226000000,1315000000,995000000,2249000000,2554000000,2513000000,2435000000,2723000000,2849000000,2696000000,2643000000,4280000000,3202000000,2899000000,3224000000,3903000000,3935000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7902000000,- -,7246000000
44,Other Non-Current Assets,2897300000,3121000000,3806300000,5108900000,1084000000,1583200000,1748600000,1369000000,911300000,1566700000,1756500000,2359000000,1531000000,5888000000,6438000000,6593000000,9223000000,9557000000,9244000000,8270000000,6414000000,1307000000,1484000000,1077000000,7147000000,7481000000,6971000000,6829000000,7209000000,7667000000,8604000000,8679000000,9871000000,11253000000,-3187000000,33455000000,30961000000
45,Total Non-Current Assets,2897300000,3121000000,3806300000,5108900000,4481300000,5493700000,6320200000,6167700000,6139500000,7381200000,7946800000,28368000000,26493000000,32003000000,33479000000,35020000000,36670000000,42196000000,41674000000,44533000000,44313000000,50436000000,49614000000,50831000000,51228000000,56981000000,58367000000,61189000000,67132000000,69010000000,71424000000,75067000000,79900000000,81773000000,165860000000,166298000000,169952000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2897300000,3121000000,3806300000,5108900000,6657200000,8022300000,9428500000,10861700000,11751100000,12826300000,14605800000,37306000000,37776000000,41378000000,43679000000,45027000000,43699000000,50045000000,49988000000,53902000000,53158000000,59998000000,60928000000,62497000000,63117000000,69206000000,72124000000,74898000000,81241000000,84186000000,88182000000,92033000000,95789000000,98598000000,193984000000,201549000000,203609000000
48,Accounts Payable,- -,- -,- -,- -,1011400000,1158100000,1433800000,1791900000,2530100000,2474800000,2842500000,6374000000,5577000000,4767000000,3628000000,4278000000,3822000000,3820000000,4095000000,4531000000,5339000000,5917000000,3996000000,4355000000,4002000000,4413000000,4546000000,4619000000,4899000000,5371000000,5504000000,6860000000,6490000000,6503000000,13778000000,12663000000,16357000000
49,Short-Term Debt,- -,- -,- -,- -,513800000,337300000,128900000,181400000,- -,117600000,- -,4304000000,2863000000,2123000000,2415000000,2502000000,829000000,1663000000,2457000000,4093000000,2310000000,2682000000,3280000000,3529000000,1206000000,2350000000,3055000000,3614000000,1512000000,2164000000,4563000000,3687000000,6172000000,3790000000,8857000000,5711000000,5866000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2112000000,2541000000,2671000000,2806000000,3389000000,3533000000,3927000000,4025000000,4568000000,4591000000,4722000000,4116000000,4317000000
52,Other Current Liabilities,- -,- -,- -,- -,250900000,200300000,296200000,381000000,291000000,267400000,200200000,582000000,995000000,635000000,1664000000,1622000000,1568000000,2336000000,2117000000,2435000000,1519000000,1611000000,4115000000,3707000000,1614000000,1696000000,1816000000,1774000000,1904000000,2224000000,2340000000,2270000000,2365000000,2976000000,3984000000,4138000000,4537000000
53,Total Current Liabilities,- -,- -,- -,- -,1776100000,1695700000,1858900000,2354300000,2821100000,2859800000,3042700000,11260000000,9435000000,7525000000,7707000000,8402000000,6219000000,7819000000,8669000000,11059000000,9168000000,10210000000,11391000000,11591000000,8934000000,11000000000,12088000000,12813000000,11704000000,13292000000,16334000000,16842000000,19595000000,17860000000,31341000000,26628000000,31077000000
54,Long-Term Debt,823100000,540000000,529500000,423800000,346800000,1247300000,2084900000,2041000000,2385800000,2819300000,2984300000,8038000000,8205000000,9562000000,9278000000,6959000000,8940000000,12467000000,10643000000,9395000000,10157000000,10843000000,11892000000,11110000000,11495000000,10130000000,10922000000,10697000000,12776000000,12676000000,12773000000,16483000000,19119000000,17084000000,38129000000,52917000000,51769000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000000,244000000,233000000,220000000,298000000,- -,- -,- -,- -,- -,- -,- -,7246000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,577600000,748800000,753900000,889000000,673000000,939000000,1067300000,743000000,1679000000,2488000000,2660000000,2833000000,2730000000,2597000000,2712000000,2950000000,2430000000,2651000000,2573000000,2350000000,1819000000,2630000000,2866000000,2251000000,4050000000,4098000000,4051000000,3679000000,4480000000,3109000000,7902000000,7288000000,7246000000
57,Other Non-Current Liabilities,889300000,1162300000,1431400000,2325800000,912700000,841900000,859500000,872800000,840700000,699900000,860700000,1179000000,1172000000,2415000000,3059000000,2377000000,2756000000,3283000000,3745000000,3619000000,3945000000,3131000000,3024000000,3779000000,5194000000,5860000000,6562000000,6959000000,4263000000,5942000000,6369000000,7706000000,7591000000,7713000000,27735000000,26453000000,13260000000
58,Total Non-Current Liabilities,1712400000,1702300000,1960900000,2749600000,1837100000,2838000000,3698300000,3802800000,3899500000,4458200000,4912300000,9960000000,11056000000,14465000000,14997000000,12169000000,14426000000,18347000000,17100000000,15964000000,16532000000,16625000000,17489000000,17239000000,18758000000,18864000000,20583000000,20127000000,21387000000,22716000000,23193000000,27868000000,31190000000,27906000000,73766000000,86658000000,79521000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,339000000,- -,- -,274000000,- -,226000000,224000000,288000000,284000000,274000000,- -,- -,- -,- -,- -,- -,- -,3229000000
61,Total Liabilities,1712400000,1702300000,1960900000,2749600000,3613200000,4533700000,5557200000,6157100000,6720600000,7318000000,7955000000,21220000000,20491000000,21990000000,22704000000,20571000000,20645000000,26166000000,25769000000,27023000000,25700000000,26835000000,28880000000,28830000000,27692000000,29864000000,32671000000,32940000000,33091000000,36008000000,39527000000,44710000000,50785000000,45766000000,105107000000,113286000000,110598000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9324000000,9920000000,12096000000,12107000000,12154000000,12447000000,13288000000,22377000000,24207000000,26546000000,27038000000,28736000000,30296000000,31731000000,33440000000,34301000000,35122000000,35859000000,36248000000,36779000000,53907000000,54497000000,55471000000
64,Retained Earnings,929200000,1135500000,1538200000,2009700000,2651200000,3401100000,3950500000,4661900000,4833100000,5790300000,6990400000,7933000000,9557000000,10981000000,12281000000,12767000000,12171000000,12979000000,13817000000,15732000000,17775000000,20630000000,24805000000,28413000000,31033000000,34327000000,38375000000,42965000000,47758000000,53734000000,59028000000,66088000000,72606000000,82679000000,42494000000,38315000000,40429000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-1217300000,-1405100000,-1667800000,-1999600000,-2286400000,-2627100000,-3038500000,-4448000000,-4857000000,-5382000000,-6220000000,-6892000000,-7728000000,-8133000000,-653000000,-236000000,-572000000,-8000000,-157000000,-81000000,-1644000000,-1881000000,-2630000000,-3266000000,-1187000000,-1968000000,-2421000000,-3979000000,-3528000000,-3097000000,-6617000000,-8322000000,-6440000000
66,Other Total Stockholders Equity,255700000,283200000,307200000,349600000,1610100000,1492600000,1588600000,2042300000,2483800000,2345100000,2698900000,12601000000,12585000000,13789000000,5590000000,8661000000,6515000000,6926000000,-1527000000,-1862000000,-4281000000,-11179000000,-18102000000,-22555000000,-22693000000,-23663000000,-28656000000,-31671000000,-34582000000,-41109000000,-47204000000,-54703000000,-64011000000,-67588000000,-907000000,-907000000,-907000000
67,Total Stockholders Equity,1184900000,1418700000,1845400000,2359300000,3044000000,3488600000,3871300000,4704600000,5030500000,5508300000,6650800000,16086000000,17285000000,19388000000,20975000000,24456000000,23054000000,23879000000,23791000000,26081000000,26210000000,31820000000,30753000000,32323000000,33734000000,37519000000,37385000000,39759000000,45429000000,44958000000,44525000000,43265000000,41315000000,48773000000,88877000000,83583000000,88553000000
68,Total Liabilities And Stockholders Equity,2897300000,3121000000,3806300000,5108900000,6657200000,8022300000,9428500000,10861700000,11751100000,12826300000,14605800000,37306000000,37776000000,41378000000,43679000000,45027000000,43699000000,50045000000,49560000000,53104000000,51910000000,58655000000,59633000000,61153000000,61426000000,67383000000,70056000000,72699000000,78520000000,80966000000,84052000000,87975000000,92100000000,94539000000,193984000000,196869000000,199151000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,428000000,798000000,1248000000,1343000000,1295000000,1344000000,1691000000,1823000000,2068000000,2199000000,2721000000,3220000000,4130000000,4058000000,3689000000,4059000000,- -,4680000000,4458000000
70,Total Liabilities & Equity,2897300000,3121000000,3806300000,5108900000,6657200000,8022300000,9428500000,10861700000,11751100000,12826300000,14605800000,37306000000,37776000000,41378000000,43679000000,45027000000,43699000000,50045000000,49988000000,53902000000,53158000000,59998000000,60928000000,62497000000,63117000000,69206000000,72124000000,74898000000,81241000000,84186000000,88182000000,92033000000,95789000000,98598000000,193984000000,201549000000,203609000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1744489/000174448919000225/0001744489-19-000225-index.html,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000197/0001744489-20-000197-index.htm,https://www.sec.gov/Archives/edgar/data/1744489/000174448921000220/0001744489-21-000220-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,703300000,824000000,636600000,816700000,299800000,1110400000,1380100000,1214000000,1966000000,1850000000,1300000000,920000000,-158000000,1236000000,1267000000,2345000000,2533000000,3374000000,4687000000,4427000000,3307000000,3963000000,4807000000,5682000000,6136000000,7501000000,8382000000,9391000000,8980000000,12598000000,11054000000,-2864000000,1995000000
74,Depreciation and Amortization,- -,- -,- -,- -,463600000,538300000,794500000,759600000,1028400000,1608300000,1853000000,3944000000,4958000000,3754000000,3779000000,4664000000,1754000000,1042000000,1077000000,1210000000,1339000000,1436000000,1491000000,1582000000,1631000000,1713000000,1841000000,1987000000,2192000000,2288000000,2354000000,2527000000,2782000000,3011000000,4160000000,5345000000,5111000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-78000000,292000000,- -,-20000000,231000000,58000000,-74000000,441000000,-98000000,-262000000,-136000000,-260000000,-128000000,323000000,133000000,127000000,472000000,92000000,517000000,-102000000,1214000000,334000000,-1573000000,117000000,-392000000,-1241000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,457000000,522000000,423000000,408000000,402000000,408000000,410000000,393000000,364000000,393000000,711000000,525000000,600000000
77,Change in Working Capital,- -,- -,- -,- -,72300000,433100000,416500000,1090300000,450800000,-205200000,1031000000,-5938300000,4170000000,2000000,643000000,-888000000,-795000000,-780000000,-385000000,-1335000000,1367000000,-325000000,571000000,152000000,2880000000,-1730000000,444000000,-773000000,1509000000,-521000000,-1460000000,-300000000,-3830000000,2671000000,-2182000000,11840000000,-6043000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-64400000,-44900000,-42400000,-151200000,-146100000,-59400000,-155700000,-95000000,-6000000,-46000000,103000000,65000000,54000000,-35000000,-6000000,-40000000,22000000,-63000000,52000000,-329000000,-117000000,-127000000,-199000000,18000000,51000000,-81000000,1000000,186000000,-5000000,-17000000,-223000000,14000000,252000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2410000000
