,https://roic.ai/company/NS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),3100000,3097000,-1304000,-632000,-1692000,-13444000,-19606000,-41306000,-55545000,-30853000,-45049000,-37910000,-51846000,-75514000,-125559000,-153635000,-121931000,-70046000,-197133000,-178377000,-146361000,-179328000,-405422000,-194341000
20,Income Before Tax,58806000,69319000,39845000,45873000,55538000,69593000,78418000,112388000,155767000,161746000,265024000,235406000,250711000,238480000,-155638000,-172756000,224970000,320658000,161976000,157901000,217202000,211588000,-196320000,42113000
21,Income Before Tax Ratio,0.6008,0.6315,0.4328,0.4642,0.4688,0.3835,0.3552,0.1704,0.1372,0.1097,0.0549,0.0611,0.0569,0.0363,-0.0261,-0.0499,0.0732,0.1539,0.0922,0.0870,0.1107,0.1412,-0.1325,0.0260
22,Income Tax expense (Gain),- -,- -,- -,- -,395000,- -,- -,4713000,5861000,11448000,11006000,10531000,11741000,16879000,22494000,12753000,10801000,14712000,11973000,9937000,11408000,4754000,2663000,3888000
23,Net Income,36289000,42798000,70657000,45873000,55143000,69593000,78418000,111073000,149530000,150298000,254018000,224875000,238970000,221461000,-226616000,-273770000,210773000,306720000,150003000,152160000,-173352000,-108352000,-201076000,35829000
24,Net Income ratio,0.3707,0.3899,0.7676,0.4642,0.4655,0.3835,0.3552,0.1684,0.1317,0.1019,0.0526,0.0583,0.0543,0.0337,-0.0381,-0.0790,0.0685,0.1472,0.0854,0.0839,-0.0884,-0.0723,-0.1357,0.0221
25,EPS,3.78,4.46,7.36,1.82,2.72,3.02,3.15,2.86,2.83,2.74,4.22,3.47,3.19,2.78,-3.61,-4.00,2.10,3.30,1.27,0.64,-2.77,-2.30,-3.15,-0.99
26,EPS Diluted,3.78,4.46,7.36,1.82,2.72,3.02,3.15,2.86,2.83,2.74,4.22,3.47,3.19,2.78,-3.61,-4.00,2.10,3.30,1.27,0.64,-2.77,-2.30,-3.15,-0.99
27,Weighted Average Shares Outstanding,9599322,9599322,9599322,19198644,19250867,21706164,23041394,35023250,46809749,47158790,53182741,55232467,62946987,65018301,72957417,77886078,77886078,77886078,78080484,88825964,99490495,107789030,109155117,109585635
28,Weighted Average Shares Outstanding Diluted,9599322,9599322,9599322,19198644,19250867,21706164,23041394,35023250,46809749,47158790,53182741,55232467,62946987,65018301,72957417,77886078,77886078,77886078,78080484,88825964,99490495,107854699,109155117,109585635
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1110805/000091205702011661/0000912057-02-011661-index.html,https://www.sec.gov/Archives/edgar/data/1110805/000095012903001288/0000950129-03-001288-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000119312504040548/0001193125-04-040548-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000119312505050568/0001193125-05-050568-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000104746906003372/0001047469-06-003372-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000119312507042873/0001193125-07-042873-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000119312508042138/0001193125-08-042138-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000119312509040717/0001193125-09-040717-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000119312510043080/0001193125-10-043080-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000119312511047582/0001193125-11-047582-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080512000002/0001110805-12-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080513000002/0001110805-13-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080514000010/0001110805-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080515000010/0001110805-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080516000046/0001110805-16-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080517000006/0001110805-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080518000004/0001110805-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080519000049/0001110805-19-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080520000024/0001110805-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080521000009/0001110805-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080522000008/0001110805-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,7796000,33533000,15745000,16147000,36054000,68838000,89838000,45375000,62006000,181121000,17497000,83602000,100743000,87912000,118862000,35942000,24292000,13644000,16192000,153625000,5637000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,7796000,33533000,15745000,16147000,36054000,68838000,89838000,45375000,62006000,181121000,17497000,83602000,100743000,87912000,118862000,35942000,24292000,13644000,16192000,153625000,5637000
34,Net Receivables,- -,- -,- -,9147000,9984000,21114000,22590000,131939000,105976000,131140000,178216000,211797000,302053000,551956000,499041000,333220000,208478000,145064000,280610000,176775000,148308000,152530000,133473000,135126000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,17473000,16979000,88532000,220574000,377230000,413537000,587785000,173228000,138147000,55713000,38749000,37945000,26857000,22713000,12393000,11059000,16644000
36,Other Current Assets,- -,- -,- -,- -,177000,1275000,1242000,109945000,21205000,37624000,42321000,83686000,42796000,43685000,183572000,61439000,37044000,31176000,22686000,22508000,17493000,21933000,25400000,27135000
37,Total Current Assets,- -,- -,- -,16943000,43694000,38134000,39979000,295411000,212998000,347134000,486486000,734719000,939507000,1200923000,939443000,633549000,389147000,333851000,377183000,250432000,202158000,203048000,323557000,184542000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3957512000,3541642000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,774441000,785019000,806330000,807742000,813270000,846717000,951024000,617429000,617429000,696637000,696637000,1097475000,1036976000,1005853000,766416000,732356000
40,Intangible Assets,- -,- -,- -,4715000,4715000,4715000,4715000,826746000,53532000,47762000,51704000,44127000,43033000,38923000,92435000,71249000,58670000,112011000,127083000,784479000,733056000,681632000,630209000,557785000
41,Intangible Assets,- -,- -,- -,4715000,4715000,4715000,4715000,826746000,827973000,832781000,858034000,851869000,856303000,885640000,1043459000,688678000,676099000,808648000,823720000,1881954000,1770032000,1687485000,1396625000,1290141000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68813000,68728000,69603000,66687000,102945000,68735000,74223000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,10622000,12427000,13893000,8138000,9141000,3108000,5769000,4429000,2858000,2051000,233000,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,301728000,367099000,784708000,812813000,2244835000,2441895000,2592550000,3033837000,3105464000,3512842000,3718799000,3524134000,3635455000,3774898000,4003905000,3827591000,4402614000,4376950000,4295459000,139324000,140007000
45,Total Non-Current Assets,- -,- -,- -,306443000,371814000,789423000,817528000,3071581000,3269868000,3435953000,3973111000,4039954000,4446886000,4680267000,4673646000,4398637000,4529649000,4815411000,4653362000,6284801000,6146982000,5982944000,5493461000,4971790000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,323386000,415508000,827557000,857507000,3366992000,3482866000,3783087000,4459597000,4774673000,5386393000,5881190000,5613089000,5032186000,4918796000,5149262000,5030545000,6535233000,6349140000,6185992000,5817018000,5156332000
48,Accounts Payable,- -,- -,- -,4084000,8133000,16145000,16055000,104320000,86307000,163309000,145963000,205605000,282382000,454326000,397633000,298751000,162056000,125147000,118686000,145932000,143121000,109834000,71731000,82446000
49,Short-Term Debt,- -,- -,- -,462000,747000,935000,990000,1046000,647000,663000,22833000,20770000,832000,364959000,287830000,8325000,92128000,98799000,54000000,384990000,18500000,457867000,457867000,14194000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14475000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,2369000,2401000,2125000,4714000,- -,8866000,10476000,8225000,10884000,14290000,14355000,18243000,46936000,21083000,22019000,15443000
52,Other Current Liabilities,- -,- -,- -,1643000,3797000,14290000,16564000,100222000,67412000,76112000,81103000,107665000,110015000,115649000,150032000,77271000,100124000,93977000,102355000,102341000,114878000,142779000,-330432000,102643000
53,Total Current Liabilities,- -,- -,- -,6189000,12677000,31370000,33609000,205588000,156735000,242485000,252024000,338754000,393229000,943800000,845971000,392572000,365192000,332213000,289396000,651506000,323435000,731563000,221185000,214726000
54,Long-Term Debt,- -,- -,- -,25660000,108911000,353257000,384171000,1169659000,1359469000,1445626000,1872015000,1828993000,2136248000,1928071000,2142653000,2696692000,2782989000,3111429000,3014364000,3263069000,3111996000,2934918000,3539258000,3183555000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,13576000,21584000,34196000,27370000,26909000,29565000,35437000,32114000,27350000,27308000,24810000,22204000,22272000,12428000,12427000,13011000,11831000
57,Other Non-Current Liabilities,- -,- -,- -,2000,25000,4767000,1416000,77390000,69397000,65948000,101191000,95049000,124651000,109547000,7356000,11778000,27097000,70966000,92964000,118297000,79558000,148939000,212063000,764395000
58,Total Non-Current Liabilities,- -,- -,- -,25662000,108936000,358024000,385587000,1260625000,1450450000,1545770000,2000576000,1950951000,2290464000,2073055000,2182123000,2735820000,2837394000,3207205000,3129532000,3403638000,3203982000,3096284000,3764332000,3959781000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14962000,68967000,67124000
61,Total Liabilities,- -,- -,- -,31851000,121613000,389394000,419196000,1466213000,1607185000,1788255000,2252600000,2289705000,2683693000,3016855000,3028094000,3128392000,3202586000,3539418000,3418928000,4055144000,3527417000,3827847000,3985517000,4174507000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,169305000,170655000,310589000,310507000,1749007000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-121389000,-137663000,-163884000,-196361000,-1000000,7000000,27000000,-14000000,8000000,47000000,-27000000,-59000000,-63000000,-68000000,-89000000,-94000000,-85000000,-55000000,-68000000,-96656000,-73978000
66,Other Total Stockholders Equity,- -,- -,- -,243619000,260903000,291458000,324165000,152772000,1868681000,1967832000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1928157000,- -
67,Total Stockholders Equity,- -,- -,- -,291535000,293895000,438163000,438311000,1900779000,1875681000,1994832000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,- -,- -,- -,323386000,415508000,827557000,857507000,3366992000,3482866000,3783087000,2252600000,2289705000,2683693000,3016855000,3028094000,3128392000,3202586000,3539418000,3418928000,4055144000,3527417000,3827847000,5817018000,4174507000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2206997000,2484968000,2702700000,2864335000,2584995000,1903794000,1716210000,1609844000,1611617000,2480089000,2821723000,2358145000,- -,981825000
70,Total Liabilities & Equity,- -,- -,- -,323386000,415508000,827557000,857507000,3366992000,3482866000,3783087000,4459597000,4774673000,5386393000,5881190000,5613089000,5032186000,4918796000,5149262000,5030545000,6535233000,6349140000,6185992000,5817018000,5156332000
71,SEC Link,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1110805/000091205702011661/0000912057-02-011661-index.html,https://www.sec.gov/Archives/edgar/data/1110805/000095012903001288/0000950129-03-001288-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000119312504040548/0001193125-04-040548-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000119312505050568/0001193125-05-050568-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000104746906003372/0001047469-06-003372-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000119312507042873/0001193125-07-042873-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000119312508042138/0001193125-08-042138-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000119312509040717/0001193125-09-040717-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000119312510043080/0001193125-10-043080-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000119312511047582/0001193125-11-047582-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080512000002/0001110805-12-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080513000002/0001110805-13-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080514000010/0001110805-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080515000010/0001110805-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080516000046/0001110805-16-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080517000006/0001110805-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080518000004/0001110805-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080519000049/0001110805-19-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080520000024/0001110805-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080521000009/0001110805-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080522000008/0001110805-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,36289000,42798000,70657000,45873000,55143000,69593000,78418000,111073000,149530000,150298000,254018000,224875000,238970000,221461000,-226616000,-273770000,210773000,306720000,150003000,152160000,-173352000,-108352000,-201076000,35829000
74,Depreciation and Amortization,12451000,12318000,12260000,13480000,16440000,26267000,33149000,66667000,100266000,108777000,135709000,145743000,153802000,168286000,170651000,184363000,191708000,210210000,216736000,264232000,297874000,281460000,285101000,274380000
75,Deferred Income Tax,- -,- -,- -,- -,54000,- -,- -,4283000,-74000,276000,37000,- -,-1733000,4351000,1542000,-6739000,3467000,2058000,-469000,6000,2043000,-476000,212000,-1369000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7579000,8132000,12004000,14386000,11477000,14209000
77,Change in Working Capital,- -,- -,- -,10754000,20263000,-24253000,-394000,83453000,-33560000,48386000,129813000,161503000,150313000,-289155000,-163651000,147505000,-217022000,-22317000,86149000,-488861000,279797000,-407238000,630887000,-132556000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52372000,-31505000,-90587000,-234583000,160435000,107209000,72298000,67257000,-23234000,-865000,22482000,-23480000,14589000,-2105000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,257000,-71457000,193992000,-156234000,-26595000,-160139000,112589000,31975000,82075000,16776000,940000,11936000,3819000,-866000,1340000,-5585000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16419000,59284000,80980000,140898000,-43451000,-96330000,-153671000,-32152000,14071000,-30409000,8003000,8068000,-25455000,10202000
81,Other Working Capital,- -,- -,- -,10754000,31017000,6764000,6370000,89823000,56263000,104649000,234462000,395965000,546278000,257123000,93472000,240977000,23955000,1638000,87787000,-401074000,-121277000,-528515000,102372000,-30184000
82,Other Non-Cash Items,-98000,-1062000,-60800000,4151000,-14244000,33981000,-1552000,-79046000,34649000,-85065000,-34396000,-351539000,-178852000,-10475000,517277000,433860000,329597000,28266000,-23237000,471130000,125841000,728977000,-200603000,310985000
83,Cash Provided by Operating Activities,48642000,54054000,22117000,74258000,77656000,105588000,109621000,186430000,250811000,222672000,485181000,180582000,362500000,94468000,299203000,485219000,518523000,524937000,436761000,406799000,544207000,508757000,525998000,501478000
84,CAPEX,-12297000,-9373000,-7022000,-17926000,-5704000,-31561000,-29403000,-68086000,-124022000,-251251000,-202143000,-208556000,-269830000,-335660000,-410595000,-348704000,-352062000,-327964000,-215421000,-347735000,-465135000,-546299000,-208724000,-179869000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-47000000,-154000000,- -,-810000000,30000000,-43000000,-101000000,-316000000,- -,- -,-143000000,-96000000,-1462000000,-38000000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3469000,-8990000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,454109000,- -,- -,- -,11382000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,14703000,2787000,-6241000,2874000,-74903000,-410789000,-29108000,-428023000,64788000,12855000,-146517000,-209087000,-253746000,-333264000,-29800000,-310961000,-340231000,-309029000,-215078000,-234441000,-115778000,-319247000,-98084000,75978000
89,Cash Used for Investing Activites,14703000,2787000,-6241000,-15052000,-80607000,-442350000,-58511000,-89000000,-213234000,-238396000,-956517000,-167705000,-300215000,-443254000,-345800000,-310961000,-340231000,-452029000,-311078000,-1696441000,-153778000,-319247000,-98084000,75978000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2761821000,-1641119000,-1405643000,-801950000,-2720355000,-2150743000,-1121670000,-1316910000,-1456152000,-2487539000,-2381776000,-1249400000,-2475067000,-1389842000
91,Common Stock Issued,- -,- -,- -,111912000,- -,269026000,- -,- -,- -,143083000,236215000,288761000,240148000,317285000,336415000,- -,- -,- -,27710000,643878000,10000000,15000000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-134065000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-65916000,- -,- -,-183290000,-197333000,-241940000,-263896000,-305154000,-322046000,-365279000,-392204000,-392204000,-392204000,-392962000,-485139000,-391447000,-380047000,-320825000,-302814000
94,Other Financing Activites,-63345000,-56841000,-15875000,-163326000,28688000,249929000,-50708000,-77178000,179391000,91310000,3207609000,1613582000,1526915000,993432000,2859888000,2393597000,1325689000,1679885000,1610080000,3605072000,2363356000,1436797000,2504508000,967077000
95,Cash Used/Provided by Financing Activities,-63345000,-56841000,-15875000,-51414000,28688000,318974000,-50708000,-77178000,-3899000,37060000,440063000,-2672000,56266000,186721000,110669000,-149350000,-188185000,-29229000,-211324000,1276272000,-399867000,-177650000,-291384000,-725579000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-345000,-894000,-336000,-13190000,6426000,564000,-1559000,2033000,-7767000,-2938000,-12729000,2721000,1720000,-1210000,-524000,916000,136000
97,Net Change In Cash,-63345000,-56841000,-15875000,7792000,25737000,-17788000,402000,19907000,32784000,21000000,-44463000,16631000,119115000,-163624000,66105000,17141000,-12831000,30950000,-82920000,-11650000,-10648000,11336000,137446000,-147987000
98,Cash at the End of Period,- -,- -,- -,7796000,33533000,15745000,16147000,36054000,68838000,89838000,45375000,62006000,181121000,17497000,83602000,100743000,87912000,118862000,35942000,24292000,13644000,24980000,162426000,14439000
99,Cash at the Beginning of Period,- -,- -,- -,4000,7796000,33533000,15745000,16147000,36054000,68838000,89838000,45375000,62006000,181121000,17497000,83602000,100743000,87912000,118862000,35942000,24292000,13644000,24980000,162426000
100,Free Cash Flow,36345000,44681000,15095000,56332000,71952000,74027000,80218000,118344000,126789000,-28579000,283038000,-27974000,92670000,-241192000,-111392000,136515000,166461000,196973000,221340000,59064000,79072000,-37542000,317274000,321609000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1110805/000091205702011661/0000912057-02-011661-index.html,https://www.sec.gov/Archives/edgar/data/1110805/000095012903001288/0000950129-03-001288-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000119312504040548/0001193125-04-040548-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000119312505050568/0001193125-05-050568-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000104746906003372/0001047469-06-003372-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000119312507042873/0001193125-07-042873-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000119312508042138/0001193125-08-042138-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000119312509040717/0001193125-09-040717-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000119312510043080/0001193125-10-043080-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000119312511047582/0001193125-11-047582-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080512000002/0001110805-12-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080513000002/0001110805-13-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080514000010/0001110805-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080515000010/0001110805-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080516000046/0001110805-16-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080517000006/0001110805-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080518000004/0001110805-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080519000049/0001110805-19-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080520000024/0001110805-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080521000009/0001110805-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080522000008/0001110805-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
