,https://roic.ai/company/CNK,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,35476000,44649000,- -,-25408000,841000,88920000,-48325000,97108000,146120000,130557000,168949000,148470000,192610000,216869000,255091000,264180000,213827000,191386000,-616828000,-422783000
74,Depreciation and Amortization,- -,- -,- -,86359000,100305000,154403000,160712000,150904000,143508000,154449000,147675000,163970000,175656000,189206000,209071000,237513000,261162000,261155000,259776000,265363000
75,Deferred Income Tax,- -,- -,- -,-12332000,-7011000,-34614000,-25975000,-12614000,-8603000,21676000,5280000,-37790000,526000,11095000,-5467000,-15015000,23187000,-1843000,-38900000,-22630000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,4304000,8352000,9692000,15070000,16886000,12818000,15758000,13394000,12681000,14336000,14615000,19404000,29271000
77,Change in Working Capital,- -,- -,- -,46621000,-71090000,220182000,-23502000,54254000,78648000,16978000,184866000,-173070000,-7284000,-51245000,-42266000,-44435000,-104316000,-158151000,360116000,252873000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33804000,-26370000,-706000,-13195000,-4584000,11326000,58457000,-43577000
79,Inventory,- -,- -,- -,-309000,787000,-942000,- -,- -,- -,- -,- -,- -,400000,-2535000,-1007000,-541000,-1813000,-2367000,9093000,-2858000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32570000,43827000,-30516000,23405000,-11408000,36106000,-97273000,175500000
81,Other Working Capital,- -,- -,- -,46621000,-24469000,195713000,172211000,226465000,305113000,322091000,506957000,333887000,326603000,275358000,233092000,188657000,84341000,-73810000,286306000,805000
82,Other Non-Cash Items,114643000,90873000,- -,70030000,132617000,-152855000,194384000,-117193000,-103274000,57849000,-126635000,191200000,80308000,74188000,22011000,73553000,148719000,254833000,-313666000,64125000
83,Cash Provided by Operating Activities,150119000,135522000,- -,165270000,155662000,276036000,257294000,176763000,264751000,391201000,395205000,309666000,454634000,455871000,451834000,528477000,556915000,561995000,-330098000,166219000
84,CAPEX,-38032000,-51002000,- -,-75605000,-107081000,-146304000,-106109000,-133858000,-156102000,-184819000,-220727000,-259670000,-244705000,-331726000,-326908000,-380862000,-346073000,-303627000,-83930000,-95542000
85,Acquisitions Net,- -,- -,- -,- -,-531383000,- -,- -,-51450000,- -,-66958000,-15560000,-139302000,-11179000,-6362000,-17882000,-44712000,-109217000,-10170000,-50000,- -
86,Purchases of Investments,- -,- -,- -,-7329000,- -,-1500000,-4000000,- -,-1756000,-1520000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13451000,- -,- -,- -,- -,- -
88,Other Investing Activites,3282000,3851000,- -,1317000,6717000,240982000,15167000,2178000,21791000,6230000,1976000,34271000,2545000,9966000,3570000,15098000,3920000,3155000,-83316000,6246000
89,Cash Used for Investing Activites,-34750000,-47151000,- -,-81617000,-631747000,93178000,-94942000,-183130000,-136067000,-247067000,-234311000,-364701000,-253339000,-328122000,-327769000,-410476000,-451370000,-310642000,-83366000,-89296000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-292726000,-19361000,-174424000,-918117000,-483300000,-23881000,-24933000,-235948000,-27396000,-33337000,-22584000,-22123000,-1179973000
91,Common Stock Issued,- -,- -,- -,5000000,35000,249475000,1292000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-33061000,-77534000,-78643000,-84502000,-95838000,-96367000,-106045000,-115625000,-115863000,-125490000,-135079000,-149492000,-159281000,-42311000,- -
94,Other Financing Activites,-96140000,-45738000,- -,-8750000,439942000,-400129000,-58849000,449668000,-2787000,191848000,1077908000,513161000,-7327000,-10351000,208803000,4988000,-9819000,-4641000,648842000,1160043000
95,Cash Used/Provided by Financing Activities,-96140000,-45738000,- -,-3750000,439977000,-183715000,-135091000,78299000,-106650000,-78414000,63424000,-76184000,-146833000,-151147000,-152635000,-157487000,-192648000,-186506000,584408000,-19930000
96,Effect of Forex Changes on Cash,- -,- -,- -,2048000,1008000,5445000,-15701000,16401000,5027000,-9309000,-3062000,-11516000,-15522000,-26932000,1266000,798000,-9222000,-2756000,-3919000,-4992000
97,Net Change In Cash,- -,- -,- -,81951000,-35100000,190944000,11560000,88333000,27061000,56411000,221256000,-142735000,38940000,-50330000,-27304000,-38688000,-96325000,62091000,167025000,52001000
98,Cash at the End of Period,- -,- -,- -,182199000,147099000,338043000,349603000,437936000,464997000,521408000,742664000,599929000,638869000,588539000,561235000,522547000,426222000,488313000,655338000,707339000
99,Cash at the Beginning of Period,- -,- -,- -,100248000,182199000,147099000,338043000,349603000,437936000,464997000,521408000,742664000,599929000,638869000,588539000,561235000,522547000,426222000,488313000,655338000
100,Free Cash Flow,112087000,84520000,- -,89665000,48581000,129732000,151185000,42905000,108649000,206382000,174478000,49996000,209929000,124145000,124926000,147615000,210842000,258368000,-414028000,70677000
101,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1385280/000095013408005619/d55075e10vk.htm,https://www.sec.gov/Archives/edgar/data/1385280/000095013409005288/0000950134-09-005288-index.html,https://www.sec.gov/Archives/edgar/data/1385280/000095012310023033/0000950123-10-023033-index.html,https://www.sec.gov/Archives/edgar/data/1385280/000095012311020026/d79952e10vk.htm,https://www.sec.gov/Archives/edgar/data/1385280/000119312512089012/0001193125-12-089012-index.html,https://www.sec.gov/Archives/edgar/data/1385280/000119312513083890/0001193125-13-083890-index.html,https://www.sec.gov/Archives/edgar/data/1385280/000119312514077445/d641540d10k.htm,https://www.sec.gov/Archives/edgar/data/1385280/000119312515069425/d839071d10k.htm,https://www.sec.gov/Archives/edgar/data/1385280/000119312516474577/0001193125-16-474577-index.html,https://www.sec.gov/Archives/edgar/data/1385280/000119312517052899/0001193125-17-052899-index.html,https://www.sec.gov/Archives/edgar/data/1385280/000156459018002969/0001564590-18-002969-index.html,https://www.sec.gov/Archives/edgar/data/1385280/000156459019005358/0001564590-19-005358-index.html,https://www.sec.gov/Archives/edgar/data/1385280/000156459020005646/0001564590-20-005646-index.html,https://www.sec.gov/Archives/edgar/data/1385280/000156459021009190/0001564590-21-009190-index.htm,https://www.sec.gov/Archives/edgar/data/1385280/000095017022002035/0000950170-22-002035-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
