,https://roic.ai/company/DTE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,167000000,79000000,71000000,52000000,-154000000,48000000,259000000,-226000000,-252000000,-44000000,49000000,111000000,-146000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18800000,41800000,-36000000,-40000000,-5000000,13000000,-76000000,-71000000,-61000000,-40000000,-6000000,-49000000,80000000,96000000,28000000,-133000000,-129000000,35000000,123000000,-177000000,1000000,37000000,-4000000,-32000000,59000000,45000000,-153000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-162000000,12000000,-23000000,40000000,14000000,128000000,-158000000,145000000,129000000,146000000,-288000000,- -,308000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86700000,-91600000,-82000000,-160000000,-294000000,-359000000,-352000000,-449000000,-167000000,-13000000,-238000000,-203000000,-236000000,315000000,232000000,418000000,568000000,147000000,-383000000,510000000,47000000,325000000,269000000,-1178000000,-911000000,807000000,389000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,636800000,772300000,579400000,503000000,748000000,615000000,479000000,647000000,367000000,281000000,542000000,960000000,43000000,114000000,1165000000,552000000,927000000,1973000000,1859000000,-1460000000,558000000,-303000000,-187000000,1769000000,-379000000,-1239000000,452000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,912900000,1078600000,1006000000,868000000,1097000000,1018000000,811000000,974000000,950000000,995000000,1001000000,1456000000,1125000000,1559000000,1819000000,1825000000,2008000000,2209000000,2154000000,1839000000,1911000000,2084000000,2117000000,2680000000,2649000000,3697000000,3067000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-453800000,-530500000,-667000000,-555000000,-739000000,-587000000,-1096000000,-984000000,-751000000,-904000000,-1065000000,-1403000000,-1299000000,-1373000000,-1035000000,-1099000000,-1484000000,-1820000000,-1876000000,-2049000000,-2020000000,-2045000000,-2250000000,-2713000000,-2997000000,-3857000000,-3772000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1212000000,- -,- -,- -,- -,-42000000,1594000000,-50000000,- -,- -,- -,57000000,- -,- -,-339000000,-1386000000,-299000000,-637000000,-2619000000,-163000000,-8000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8200000,- -,- -,- -,- -,22000000,- -,- -,- -,-66000000,- -,- -,- -,-409000000,-459000000,-100000000,-102000000,-1134000000,-1156000000,-898000000,-1463000000,-1226000000,-1188000000,-794000000,-2350000000,-1046000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,295000000,377000000,80000000,97000000,1118000000,1146000000,885000000,1457000000,1240000000,1203000000,788000000,2350000000,1047000000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70500000,-78100000,-74000000,-482000000,-29000000,- -,- -,-131000000,761000000,223000000,329000000,251000000,35000000,-100000000,85000000,-45000000,-56000000,-1000000,-14000000,-1000000,168000000,49000000,-29000000,-12000000,-110000000,-50000000,-3856000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-522400000,-616800000,-741000000,-1037000000,-768000000,-587000000,-2286000000,-1115000000,10000000,-681000000,-802000000,-1194000000,330000000,-1523000000,-1064000000,-1226000000,-1560000000,-1769000000,-1906000000,-2060000000,-2204000000,-3388000000,-2564000000,-3347000000,-5732000000,-4070000000,-3863000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-903000000,-840000000,-1455000000,-639000000,-961000000,-1237000000,-286000000,-866000000,-385000000,-105000000,-821000000,-882000000,-3522000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,445000000,44000000,41000000,172000000,17000000,- -,- -,35000000,36000000,- -,39000000,39000000,- -,9000000,654000000,- -,- -,2288000000,2000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-185000000,- -,-150000000,- -,- -,-438000000,-189000000,-3000000,- -,-13000000,-61000000,-708000000,-16000000,- -,- -,-18000000,- -,- -,-52000000,- -,-33000000,-51000000,- -,- -,- -,-66000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-298500000,-298900000,-299000000,-299000000,-299000000,-319000000,-325000000,-338000000,-346000000,-354000000,-360000000,-365000000,-364000000,-344000000,-348000000,-360000000,-389000000,-407000000,-445000000,-470000000,-501000000,-531000000,-592000000,-620000000,-692000000,-760000000,-791000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34200000,10200000,80000000,703000000,-127000000,-92000000,2442000000,88000000,-734000000,1000000,34000000,206000000,-396000000,276000000,427000000,578000000,1417000000,564000000,1106000000,1976000000,1060000000,2135000000,1449000000,1379000000,2325000000,2436000000,4694000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-333700000,-473700000,-219000000,254000000,-426000000,-411000000,1679000000,6000000,-1039000000,-312000000,-167000000,-203000000,-1468000000,-84000000,-789000000,-586000000,-445000000,-443000000,-261000000,217000000,282000000,1359000000,421000000,654000000,3100000000,796000000,315000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56800000,-11900000,46000000,85000000,-97000000,20000000,204000000,-135000000,-79000000,2000000,32000000,59000000,-13000000,-48000000,-34000000,13000000,3000000,-3000000,-13000000,-4000000,-11000000,55000000,-26000000,-13000000,17000000,423000000,-481000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64900000,53000000,99000000,130000000,33000000,24000000,268000000,133000000,54000000,56000000,88000000,147000000,123000000,86000000,52000000,65000000,68000000,65000000,52000000,48000000,37000000,92000000,66000000,76000000,93000000,516000000,35000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8100000,64900000,53000000,45000000,130000000,4000000,64000000,268000000,133000000,54000000,56000000,88000000,136000000,134000000,86000000,52000000,65000000,68000000,65000000,52000000,48000000,37000000,92000000,89000000,76000000,93000000,516000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,459100000,548100000,339000000,313000000,358000000,431000000,-285000000,-10000000,199000000,91000000,-64000000,53000000,-174000000,186000000,784000000,726000000,524000000,389000000,278000000,-210000000,-109000000,39000000,-133000000,-33000000,-348000000,-160000000,-705000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/936340/0000950124-98-000894-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/936340/000095012402001121/k68272e10-k405.htm,https://www.sec.gov/Archives/edgar/data/936340/000095012403000824/k74326e10vk.htm,https://www.sec.gov/Archives/edgar/data/936340/000095012404000639/k81862e10vk.htm,https://www.sec.gov/Archives/edgar/data/936340/000095012405001542/k91838e10vk.htm,https://www.sec.gov/Archives/edgar/data/936340/000095012406001039/k01978e10vk.htm,https://www.sec.gov/Archives/edgar/data/936340/000095012407001240/k12582e10vk.htm,https://www.sec.gov/Archives/edgar/data/936340/000095012408001093/k23278e10vk.htm,https://www.sec.gov/Archives/edgar/data/936340/000095015209001957/0000950152-09-001957-index.html,https://www.sec.gov/Archives/edgar/data/936340/000095012310015829/0000950123-10-015829-index.html,https://www.sec.gov/Archives/edgar/data/936340/000095012311015771/k49859e10vk.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634012000004/0000936340-12-000004-index.html,https://www.sec.gov/Archives/edgar/data/936340/000093634013000028/0000936340-13-000028-index.html,https://www.sec.gov/Archives/edgar/data/936340/000093634014000014/dteenergy2013123110k.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634015000014/dteenergy2014123110k.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634016000243/dteenergy2015123110k.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634017000064/dteenergy2016123110k.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634018000082/dteenergy2017123110k.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634019000086/dteenergy2018123110k.htm,https://www.sec.gov/Archives/edgar/data/28385/000093634020000127/0000936340-20-000127-index.html,https://www.sec.gov/Archives/edgar/data/936340/000093634021000112/0000936340-21-000112-index.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634022000077/0000936340-22-000077-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
