,https://roic.ai/company/LXU,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,149400000,160900000,165100000,207100000,215200000,206600000,194600000,207400000,240900000,242737000,267566000,307729000,323845000,308813000,255152000,285853000,327723000,236893000,309576000,360478000,381757000,464398000,527396000,689812000,491128000,561145000,668928000,665069000,636883000,683175000,720614000,464059000,461595000,401185000,404161000,366851000,455191000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133000,77000,87000,165000,301000,396000,765000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6746000,7427000,6658000,4237000,13986000,21599000,7381000,30945000,37267000,43064000,46389000,51115000,49378000
14,Depreciation and Amortization,3700000,2200000,3000000,- -,-7100000,-9100000,-9500000,-11900000,-6500000,- -,- -,- -,12450000,13200000,11391000,10554000,11365000,10563000,11216000,11295000,12026000,12549000,14353000,15016000,16358000,17980000,19202000,20681000,28310000,35664000,40496000,64286000,69143000,72627000,69574000,70841000,- -
15,EBITDA,-12900000,5700000,700000,4100000,-2600000,-19400000,-10400000,-2100000,6800000,23767000,-3582000,-3695000,-10565000,11380000,-38219000,16884000,19977000,10718000,14327000,13168000,17246000,29380000,63775000,70365000,59712000,74768000,155910000,117116000,132679000,89297000,-10438000,165443000,36434000,45205000,31622000,55296000,88367000
16,EBITDA ratio,-0.0863,0.0337,0.0041,0.0187,-0.0122,-0.0987,-0.0444,-0.0085,0.0246,0.0951,-0.0131,-0.0118,-0.0330,0.0351,-0.1503,0.0581,0.0593,0.0378,0.0452,0.0362,0.0435,0.0597,0.1088,0.0939,0.1123,0.1226,0.1936,0.1543,0.1953,0.1219,-0.0147,0.4417,0.0852,0.1195,0.0866,0.1574,0.1589
17,Operating Income,- -,8200000,4500000,12200000,-2500000,-10000000,39600000,39400000,35700000,7232000,6549000,6322000,-3656000,15507000,-916000,4767000,8907000,5788000,7687000,3575000,14965000,27554000,59011000,59155000,40710000,55925000,136443000,95655000,105308000,53362000,-50752000,-90223000,-34091000,-23025000,-39091000,-15535000,101048000
18,Operating Income ratio,- -,0.0485,0.0265,0.0556,-0.0118,-0.0509,0.1691,0.1596,0.1291,0.0289,0.0239,0.0201,-0.0114,0.0478,-0.0036,0.0164,0.0265,0.0204,0.0242,0.0098,0.0377,0.0560,0.1006,0.0790,0.0765,0.0917,0.1694,0.1260,0.1550,0.0728,-0.0713,-0.2409,-0.0797,-0.0609,-0.1071,-0.0442,0.1817
19,Total Other Income Expenses (Gains),-8000000,-4700000,-6800000,-8100000,7000000,-300000,-40500000,-29600000,-22400000,-6949000,-10131000,-10017000,-14740000,-17327000,-30573000,-15422000,-2871000,-3032000,-4576000,-1166000,-9846000,-11291000,-10814000,-4756000,-4833000,-7426000,-6794000,-3956000,-15182000,-21318000,-7505000,-39866000,-36961000,-47461000,-45250000,-51125000,-62059000
20,Income Before Tax,- -,3500000,-2300000,4100000,4500000,-10300000,-900000,9800000,13300000,283000,-3582000,-3695000,-18396000,-1820000,-31489000,-10655000,6036000,2756000,3111000,2409000,5119000,16263000,48197000,54399000,35877000,48499000,129649000,91699000,90126000,32044000,-58257000,-130089000,-71052000,-70486000,-84341000,-66660000,38989000
21,Income Before Tax Ratio,- -,0.0207,-0.0136,0.0187,0.0212,-0.0524,-0.0038,0.0397,0.0481,0.0011,-0.0131,-0.0118,-0.0575,-0.0056,-0.1239,-0.0367,0.0179,0.0097,0.0098,0.0066,0.0129,0.0331,0.0822,0.0726,0.0675,0.0795,0.1610,0.1208,0.1327,0.0437,-0.0818,-0.3473,-0.1662,-0.1864,-0.2310,-0.1897,0.0701
22,Income Tax expense (Gain),- -,900000,-600000,2600000,500000,400000,200000,500000,900000,-700000,150000,150000,50000,100000,157000,135000,55000,56000,- -,- -,118000,901000,2540000,18776000,15024000,19787000,46208000,33594000,35421000,12400000,-23550000,-41956000,-40759000,1740000,-20924000,-4749000,-4556000
23,Net Income,-16600000,2600000,-1700000,1500000,4000000,-10700000,-1100000,9300000,12400000,24467000,-3732000,-3845000,-23065000,-1920000,-49767000,6195000,8557000,99000,3111000,1873000,5102000,15930000,46882000,36573000,21584000,29574000,83842000,58604000,54962000,19634000,-34765000,112168000,-29217000,-72226000,-63417000,-61911000,43545000
24,Net Income ratio,-0.1111,0.0154,-0.0100,0.0068,0.0188,-0.0544,-0.0047,0.0377,0.0448,0.0979,-0.0136,-0.0122,-0.0720,-0.0059,-0.1958,0.0213,0.0254,0.0003,0.0098,0.0051,0.0129,0.0324,0.0799,0.0488,0.0406,0.0485,0.1041,0.0772,0.0809,0.0268,-0.0488,0.2994,-0.0683,-0.1910,-0.1737,-0.1762,0.0783
25,EPS,-2.59,0.32,-0.59,-0.05,0.25,-1.77,-0.37,0.72,0.59,1.18,-0.41,-0.42,-1.57,-0.32,-3.45,0.22,0.41,-0.15,0.05,-0.02,0.16,0.72,1.62,1.32,0.77,1.06,2.92,2.01,1.87,0.66,-1.28,1.95,-1.68,-2.88,-2.65,-2.72,-4.40
26,EPS Diluted,-2.59,0.31,-0.59,-0.05,0.24,-1.77,-0.37,0.51,0.59,1.12,-0.41,-0.42,-1.57,-0.32,-3.45,0.22,0.38,-0.15,0.04,-0.02,0.15,0.60,1.42,1.22,0.74,1.02,2.75,1.92,1.79,0.64,-1.28,1.95,-1.68,-2.88,-2.65,-2.72,-4.40
27,Weighted Average Shares Outstanding,6403561,8047619,6451900,6259259,8125000,7178261,7065217,7800000,20935065,17923117,17074151,17030000,16755980,15937381,15378013,15348966,15428302,15244211,16986667,19456667,17450952,18591398,25429479,27521543,27683214,27518639,28550982,29067957,29204500,29347568,29586534,33144882,35450046,35712112,36445727,36613229,89793000
28,Weighted Average Shares Outstanding Diluted,6403561,8171429,6451900,6259259,8387097,7178261,7065217,8666667,20935065,18905205,17074151,17030000,16755980,25000000,15378013,15348966,16354000,15244211,20384000,19456667,19287895,22166667,29160978,31372559,29240179,30256062,30549014,30600139,30676100,30767711,29586534,33144882,35450046,35712112,36445727,36613229,89793000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/60714/000006071402000010/0000060714-02-000010-index.html,- -,https://www.sec.gov/Archives/edgar/data/60714/000006071404000030/lsb10k04.htm,- -,https://www.sec.gov/Archives/edgar/data/60714/000119312506070789/d10k.htm,https://www.sec.gov/Archives/edgar/data/60714/000006071407000053/form_10k.htm,https://www.sec.gov/Archives/edgar/data/60714/000006071408000010/form_10k.htm,- -,https://www.sec.gov/Archives/edgar/data/60714/000006071410000004/0000060714-10-000004-index.html,https://www.sec.gov/Archives/edgar/data/60714/000006071411000006/form_10k.htm,https://www.sec.gov/Archives/edgar/data/60714/000095012312003694/0000950123-12-003694-index.html,https://www.sec.gov/Archives/edgar/data/60714/000119312513084410/0001193125-13-084410-index.html,https://www.sec.gov/Archives/edgar/data/60714/000119312514070134/d635174d10k.htm,https://www.sec.gov/Archives/edgar/data/60714/000119312515070433/d838912d10k.htm,https://www.sec.gov/Archives/edgar/data/60714/000156459016013735/0001564590-16-013735-index.html,https://www.sec.gov/Archives/edgar/data/60714/000156459017002567/0001564590-17-002567-index.html,https://www.sec.gov/Archives/edgar/data/60714/000156459018003240/0001564590-18-003240-index.html,https://www.sec.gov/Archives/edgar/data/60714/000156459019004486/0001564590-19-004486-index.html,https://www.sec.gov/Archives/edgar/data/60714/000156459020006380/0001564590-20-006380-index.html,https://www.sec.gov/Archives/edgar/data/60714/000156459021008804/0001564590-21-008804-index.htm,https://www.sec.gov/Archives/edgar/data/60714/000156459022006694/0001564590-22-006694-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1000000,1100000,100000,- -,5500000,48700000,23300000,33300000,11700000,2610000,1420000,1620000,4934000,1555000,3130000,3063000,628000,2091000,3189000,1020000,4653000,2255000,58224000,46204000,61739000,66946000,124929000,98020000,143750000,186811000,127314000,60017000,33619000,26048000,22791000,16264000,82144000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10051000,10003000,10005000,- -,- -,14500000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1000000,1100000,100000,- -,5500000,48700000,23300000,33300000,11700000,2610000,1420000,1620000,4934000,1555000,3130000,3063000,628000,2091000,3189000,1020000,4653000,2255000,58224000,46204000,71790000,76949000,134934000,98020000,143750000,201311000,127314000,60017000,33619000,26048000,22791000,16264000,82144000
34,Net Receivables,24500000,31600000,31400000,- -,69200000,57100000,31900000,363000000,376300000,42720000,43975000,50791000,52191000,52730000,44549000,48333000,43388000,35060000,35357000,41888000,49437000,67571000,70577000,78846000,57762000,74259000,87351000,82801000,80570000,88074000,92602000,51299000,59570000,66692000,39942000,42551000,86428000
35,Inventory,43900000,42300000,45600000,- -,42200000,41100000,40900000,48400000,48400000,59333000,66265000,67982000,68200000,63845000,30480000,31639000,31067000,26976000,26939000,28657000,37271000,45449000,56876000,60810000,51013000,78956000,59506000,88356000,84322000,85351000,84836000,55687000,56996000,53785000,48000000,51648000,58086000
36,Other Current Assets,3100000,4100000,5800000,- -,12300000,9200000,13500000,37200000,32500000,6386000,5684000,7217000,7595000,7809000,4617000,5977000,7400000,10060000,9225000,11973000,13049000,17220000,29831000,36053000,30930000,12504000,46315000,15570000,45197000,44146000,27945000,14143000,13555000,19888000,20140000,19117000,16478000
37,Total Current Assets,72500000,79100000,82900000,- -,129200000,156100000,109600000,481900000,468900000,111049000,117344000,127610000,132920000,125939000,82776000,89012000,82483000,74187000,74710000,83538000,104410000,132495000,215508000,221913000,211495000,242668000,328106000,284747000,353839000,418882000,332697000,181146000,163740000,166413000,130873000,129580000,243136000
38,PP&E,20300000,21400000,22000000,- -,50000000,59600000,58500000,58000000,65700000,73684000,86270000,103143000,118331000,99228000,83814000,80884000,76679000,73588000,71934000,70219000,74082000,76404000,79692000,104292000,117962000,135755000,164547000,281871000,416801000,619205000,1005488000,1078958000,1014038000,974248000,951804000,917601000,885797000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1724000,1724000,1724000,1724000,1724000,1724000,1724000,1724000,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,2500000,- -,25500000,24300000,22000000,19900000,22200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12595000,19900000,10316000,11404000,7672000,5812000,6121000,- -
41,Intangible Assets,- -,- -,2500000,- -,25500000,24300000,22000000,19900000,22200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1724000,1724000,1724000,1724000,1724000,1724000,1724000,1724000,- -,12595000,19900000,10316000,11404000,7672000,5812000,6121000,3907000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3838000,4016000,2910000,1809000,209990000,25000000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,5300000,6300000,5100000,- -,457700000,409700000,415400000,22400000,40700000,36548000,34562000,30531000,19402000,23480000,22045000,22999000,19823000,14488000,11650000,9645000,8747000,9304000,10630000,7838000,3614000,3818000,4722000,6461000,102467000,61323000,3742000,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,25600000,27700000,29600000,- -,533200000,493600000,495900000,100300000,128600000,110232000,120832000,133674000,137733000,122708000,105859000,103883000,96502000,88076000,83584000,79864000,84553000,87432000,92046000,113854000,127138000,145313000,173903000,291865000,729258000,718123000,1029130000,1089274000,1025442000,981920000,957616000,923722000,889704000
46,Other Assets,- -,- -,- -,545600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,98100000,106800000,112500000,545600000,662400000,649700000,605500000,582200000,597500000,221281000,238176000,261284000,270653000,248647000,188635000,192895000,178985000,162263000,158294000,163402000,188963000,219927000,307554000,335767000,338633000,387981000,502009000,576612000,1083097000,1137005000,1361827000,1270420000,1189182000,1148333000,1088489000,1053302000,1132840000
48,Accounts Payable,- -,- -,- -,- -,17000000,16500000,17700000,18900000,22600000,29496000,28508000,41796000,28137000,24043000,18791000,26765000,24920000,24018000,22027000,27892000,31687000,42870000,39060000,43014000,37553000,51025000,57891000,68333000,61775000,81456000,108002000,54246000,55992000,62589000,58477000,46551000,49458000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,9716000,14925000,13007000,15874000,13954000,33719000,42101000,43696000,38889000,31630000,4833000,3348000,11579000,1962000,3788000,6222000,6149000,10581000,14052000,23011000,22635000,31587000,21963000,17731000,21095000,19339000,30377000,22170000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,30000000,28500000,29000000,- -,134000000,83200000,10100000,78300000,126300000,9353000,9663000,13316000,16933000,19764000,18563000,29536000,16416000,16709000,23172000,16427000,26009000,30792000,38942000,39236000,23054000,31507000,28677000,34698000,49107000,51166000,52331000,44037000,35573000,42129000,25484000,30367000,33301000
53,Total Current Liabilities,30000000,28500000,29000000,- -,151000000,99700000,27800000,97200000,148900000,48565000,53096000,68119000,60944000,57761000,71073000,98402000,85032000,79616000,76829000,49152000,61044000,85241000,79964000,86038000,66829000,88681000,97149000,117083000,133893000,155257000,191920000,120246000,109296000,125813000,103300000,107295000,104929000
54,Long-Term Debt,61500000,50900000,60700000,53600000,43600000,57100000,56300000,130500000,30300000,81965000,103355000,119277000,165067000,155688000,124713000,93904000,88015000,74472000,71645000,101674000,108776000,86113000,121064000,103600000,98596000,93064000,74525000,67643000,453705000,446638000,497954000,406475000,400253000,412681000,449634000,487234000,537758000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5330000,6454000,11975000,14261000,21826000,21020000,66698000,83128000,52179000,93831000,54787000,56612000,35717000,30939000,26633000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,152000,149000,146000,146000,139000,6883000,10031000,7900000,7672000,4139000,4178000,5687000,5929000,6913000,9631000,10626000,12605000,15239000,16369000,17086000,17934000,20922000,12326000,11691000,8861000,17618000,6090000,3030000
58,Total Non-Current Liabilities,61500000,51700000,60700000,53600000,43600000,57100000,56300000,130500000,30300000,82117000,103504000,119423000,165213000,155827000,131596000,103935000,95915000,82144000,75784000,105852000,114463000,92042000,133307000,119685000,121197000,119930000,111590000,105032000,537489000,547700000,571055000,512632000,466731000,478154000,502969000,524263000,567421000
59,Other Liabilities,123300000,105800000,141100000,593600000,529700000,593400000,623500000,597000000,403800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11404000,19845000,19568000
61,Total Liabilities,91800000,82600000,109400000,540000000,637100000,636000000,595000000,563700000,522400000,130682000,156600000,187542000,226157000,213588000,202669000,202337000,180947000,161760000,152613000,155004000,175507000,177283000,213271000,205723000,188026000,208611000,208739000,222115000,671382000,702957000,762975000,632878000,576027000,603967000,606269000,631558000,672350000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34427000,34427000,34177000,34177000,28870000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,180272000,148029000,177959000,205169000,237893000,275101000,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,1462000,1476000,1489000,1504000,1511000,1511000,1516000,1521000,1524000,1582000,1640000,1708000,2022000,2447000,2496000,2537000,2548000,2664000,2673000,2685000,2697000,2713000,3128000,3128000,3128000,3128000,3128000,9117000
64,Retained Earnings,-12500000,-9600000,-13500000,-12400000,-10500000,-21600000,-24700000,-17200000,-7500000,12883000,5148000,-2706000,-29773000,-35166000,-86675000,-80480000,-71923000,-71824000,-68713000,-66840000,-61738000,-48952000,-16437000,19804000,41082000,70351000,153888000,212192000,266854000,286188000,248150000,314301000,256214000,153773000,57632000,-41487000,-31255000
65,Other Comprehensive Income/Loss,-20500000,-22400000,-24900000,- -,-31700000,-37500000,-43500000,-49900000,-49900000,-59675000,-66460000,-74907000,- -,- -,-78959000,-85572000,-74905000,-1859000,-1570000,-1280000,-990000,-701000,-411000,-120000,- -,-144900000,-161630000,-143318000,-162123000,-194204000,-271684000,-267541000,-267529000,-325701000,-376771000,- -,- -
66,Other Total Stockholders Equity,39300000,56200000,41500000,18000000,67500000,72800000,78700000,85600000,132500000,135929000,141412000,149866000,72765000,68714000,150089000,155094000,143345000,38235000,39955000,40701000,40299000,61405000,105684000,104864000,103988000,248371000,295348000,279950000,301299000,336367000,439401000,439625000,443383000,507997000,560338000,185002000,482628000
67,Total Stockholders Equity,6300000,24200000,3100000,5600000,25300000,13700000,10500000,18500000,75100000,90599000,81576000,73742000,44496000,35059000,-14034000,-9442000,-1962000,503000,5681000,8398000,13456000,42644000,94283000,130044000,150607000,179370000,293270000,354497000,411715000,434048000,598852000,637542000,613155000,544366000,482220000,421744000,460490000
68,Total Liabilities And Stockholders Equity,98100000,106800000,112500000,545600000,662400000,649700000,605500000,582200000,597500000,221281000,238176000,261284000,270653000,248647000,188635000,192895000,178985000,162263000,158294000,163402000,188963000,219927000,307554000,335767000,338633000,387981000,502009000,576612000,1083097000,1137005000,1361827000,1270420000,1189182000,1148333000,1088489000,1053302000,1132840000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,98100000,106800000,112500000,545600000,662400000,649700000,605500000,582200000,597500000,221281000,238176000,261284000,270653000,248647000,188635000,192895000,178985000,162263000,158294000,163402000,188963000,219927000,307554000,335767000,338633000,387981000,502009000,576612000,1083097000,1137005000,1361827000,1270420000,1189182000,1148333000,1088489000,1053302000,1132840000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/60714/000006071402000010/0000060714-02-000010-index.html,- -,https://www.sec.gov/Archives/edgar/data/60714/000006071404000030/lsb10k04.htm,- -,https://www.sec.gov/Archives/edgar/data/60714/000119312506070789/d10k.htm,https://www.sec.gov/Archives/edgar/data/60714/000006071407000053/form_10k.htm,https://www.sec.gov/Archives/edgar/data/60714/000006071408000010/form_10k.htm,- -,https://www.sec.gov/Archives/edgar/data/60714/000006071410000004/0000060714-10-000004-index.html,https://www.sec.gov/Archives/edgar/data/60714/000006071411000006/form_10k.htm,https://www.sec.gov/Archives/edgar/data/60714/000095012312003694/0000950123-12-003694-index.html,https://www.sec.gov/Archives/edgar/data/60714/000119312513084410/0001193125-13-084410-index.html,https://www.sec.gov/Archives/edgar/data/60714/000119312514070134/d635174d10k.htm,https://www.sec.gov/Archives/edgar/data/60714/000119312515070433/d838912d10k.htm,https://www.sec.gov/Archives/edgar/data/60714/000156459016013735/0001564590-16-013735-index.html,https://www.sec.gov/Archives/edgar/data/60714/000156459017002567/0001564590-17-002567-index.html,https://www.sec.gov/Archives/edgar/data/60714/000156459018003240/0001564590-18-003240-index.html,https://www.sec.gov/Archives/edgar/data/60714/000156459019004486/0001564590-19-004486-index.html,https://www.sec.gov/Archives/edgar/data/60714/000156459020006380/0001564590-20-006380-index.html,https://www.sec.gov/Archives/edgar/data/60714/000156459021008804/0001564590-21-008804-index.htm,https://www.sec.gov/Archives/edgar/data/60714/000156459022006694/0001564590-22-006694-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,4000000,-10700000,-1100000,9300000,12400000,24467000,-3732000,-3845000,-23065000,-1920000,-49767000,6195000,8557000,99000,3111000,1873000,5102000,15930000,46882000,36573000,21584000,29574000,83842000,58604000,54962000,19634000,-34765000,112168000,-29217000,-72226000,-63417000,-61911000,43545000
74,Depreciation and Amortization,- -,- -,- -,- -,-7100000,-9100000,-9500000,-11900000,-6500000,- -,- -,- -,12450000,13200000,11391000,10554000,11365000,10563000,11216000,11295000,12026000,12549000,14353000,15016000,16358000,17980000,19202000,20681000,28310000,35664000,40496000,64286000,69143000,72627000,69574000,70841000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4700000,13000,11231000,2310000,8688000,245000,35289000,12839000,-18519000,-42013000,-40445000,1825000,-20895000,-4778000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1021000,1005000,1099000,1652000,- -,- -,- -,3992000,5213000,8358000,2220000,1761000,- -
77,Change in Working Capital,- -,- -,- -,- -,-18100000,78200000,25400000,302900000,-64700000,-257516000,1764000,-4757000,12485000,-3798000,-56475000,-21093000,6841000,-2880000,3310000,36505000,8980000,3888000,88290000,331000,8791000,9321000,76970000,-63293000,52282000,43679000,-122848000,-79877000,-6456000,-13844000,-13027000,-5288000,115922000
78,Accounts Receivable,- -,- -,- -,- -,-23900000,16400000,25900000,1500000,-12300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22118000,-17340000,-13451000,7935000,2268000,-7637000,5571000,-6000,-6321000,-2167000,8800000,-4702000,- -
79,Inventory,- -,- -,- -,- -,5600000,1100000,3300000,-5900000,2300000,-13692000,-6091000,-1717000,-1892000,1514000,3934000,-2172000,-123000,658000,473000,-2266000,-8888000,-7287000,-11044000,-7758000,11880000,-9277000,60000,-8861000,-1845000,-1333000,-2194000,1539000,-2175000,-6819000,5158000,3634000,- -
80,Accounts Payable,- -,- -,- -,- -,-2500000,-400000,1200000,-300000,-700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6154000,15556000,2175000,980000,-6032000,-1044000,-3895000,16632000,1374000,14208000,-7987000,-6561000,- -
81,Other Working Capital,- -,- -,- -,- -,-21800000,56400000,81800000,384700000,320000000,62484000,64248000,59491000,71976000,68178000,11703000,-9390000,-2549000,-5429000,-2119000,34386000,43366000,47254000,135544000,135875000,144666000,153987000,230957000,167664000,219946000,263625000,140777000,60900000,54444000,40600000,27573000,22285000,138207000
