,https://roic.ai/company/BIG,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
10,Operating Expenses,130100000,215100000,224200000,248200000,259400000,289800000,354000000,409800000,450900000,533900000,908400000,1464900000,1498600000,1766300000,1200300000,1368400000,1485300000,1616031000,1709900000,1704800000,1723600000,1603800000,1602506000,1594300000,1655100000,1724800000,1819200000,1874900000,1819466000,1831353000,1851416000,1841089000,1903386000,1779856000,2103891000,- -
11,COGS and Expenses,361200000,564400000,585000000,597200000,664100000,733100000,864900000,979300000,1179400000,1402000000,2450900000,3821200000,3990000000,4529800000,3091600000,3460600000,3721900000,4044055000,4307500000,4403000000,4575200000,4419800000,4390360000,4401800000,4594900000,4856700000,5101700000,5111500000,4952590000,4954795000,4945992000,4963009000,5019596000,4988354000,5805691000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,175000,612000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,-7200000,-8000000,-16800000,- -,-24300000,-25300000,-22900000,-22947000,-20100000,- -,-24845000,-6272000,581000,2513000,- -,1840000,2573000,3530000,4192000,3339000,2588000,3683000,5091000,6711000,10338000,16827000,11031000,9281000
14,Depreciation and Amortization,4400000,9200000,12800000,14800000,15500000,16100000,19500000,23700000,26500000,30000000,48400000,79200000,84000000,100464000,62290000,68986000,81509000,91634000,101969000,114617000,95613000,83103000,73787000,71501000,74041000,82851000,95602000,102196000,105849000,108054000,108315000,106004000,114025000,135686000,138848000,143713000
15,EBITDA,41100000,32000000,49800000,200000,22100000,48500000,79800000,95400000,111300000,124300000,182000000,241400000,226400000,228564000,-277110000,90034000,187993000,196860000,113811000,103434000,278066000,332139000,320242000,395716000,431951000,428138000,394042000,291953000,307952000,338452000,357692000,408069000,331976000,470061000,994485000,384805000
16,EBITDA ratio,0.1035,0.0542,0.0795,0.0003,0.0325,0.0629,0.0859,0.0904,0.0870,0.0822,0.0687,0.0595,0.0540,0.0486,-0.0846,0.0262,0.0486,0.0472,0.0260,0.0233,0.0586,0.0713,0.0689,0.0837,0.0872,0.0823,0.0730,0.0551,0.0595,0.0652,0.0689,0.0775,0.0634,0.0883,0.1604,0.0626
17,Operating Income,36000000,26300000,41600000,11500000,15200000,38400000,64400000,76000000,98700000,112000000,196500000,234100000,203600000,170418000,185466000,-27259000,146652000,130328000,67525000,26873000,167814000,236480000,254923000,325010000,357345000,345595000,298454000,190439000,224488000,235732000,247973000,301353000,218509000,334826000,856548000,- -
18,Operating Income ratio,0.0906,0.0445,0.0664,0.0189,0.0224,0.0498,0.0693,0.0720,0.0772,0.0741,0.0742,0.0577,0.0485,0.0363,0.0566,-0.0079,0.0379,0.0312,0.0154,0.0061,0.0354,0.0508,0.0549,0.0688,0.0722,0.0664,0.0553,0.0359,0.0434,0.0454,0.0477,0.0572,0.0417,0.0629,0.1382,- -
19,Total Other Income Expenses (Gains),700000,-3500000,-4600000,-26100000,-8600000,-6000000,-4100000,-4300000,-6700000,-9700000,-16600000,-71900000,-24200000,-25318000,-22966000,-20241000,-20152000,-15382000,-24225000,-5973000,2686000,2720000,-5217000,-1710000,-1945000,-3695000,-4154000,-4539000,-2588000,-8882000,-3674000,-5999000,-10896000,-17278000,-11942000,- -
20,Income Before Tax,36700000,22800000,37000000,-14600000,6600000,32400000,60300000,71700000,92000000,102300000,179900000,162200000,179400000,145100000,162500000,-47500000,126500000,114946000,43300000,20900000,170500000,239200000,249706000,323300000,355400000,341900000,294300000,185900000,221900000,226850000,244299000,295354000,207613000,317548000,844606000,231811000
21,Income Before Tax Ratio,0.0924,0.0386,0.0590,-0.0240,0.0097,0.0420,0.0649,0.0679,0.0720,0.0676,0.0680,0.0400,0.0428,0.0309,0.0496,-0.0138,0.0327,0.0275,0.0099,0.0047,0.0359,0.0514,0.0538,0.0684,0.0718,0.0657,0.0545,0.0351,0.0429,0.0437,0.0470,0.0561,0.0396,0.0597,0.1362,0.0377
22,Income Tax expense (Gain),17200000,9800000,14400000,-7600000,2100000,12300000,23200000,28700000,36800000,37900000,66500000,76300000,69900000,57300000,64200000,64195000,49984000,24051000,12887000,5189000,57872000,88023000,94908000,121975000,132837000,134657000,117148000,61118000,85239000,83842000,91458000,105522000,50719000,75084000,215415000,54033000
23,Net Income,19500000,13000000,22600000,-7000000,4500000,20100000,37100000,43000000,55200000,64400000,83900000,85900000,96800000,96100000,-380700000,-20200000,76600000,81175000,23800000,-10100000,124000000,158500000,151547000,200400000,222500000,207100000,177100000,125300000,114276000,142873000,152828000,189832000,156894000,242464000,629191000,177778000
24,Net Income ratio,0.0491,0.0220,0.0361,-0.0115,0.0066,0.0261,0.0399,0.0407,0.0432,0.0426,0.0317,0.0212,0.0231,0.0204,-0.1162,-0.0059,0.0198,0.0194,0.0054,-0.0023,0.0261,0.0340,0.0326,0.0424,0.0449,0.0398,0.0328,0.0236,0.0221,0.0275,0.0294,0.0361,0.0300,0.0455,0.1015,0.0289
25,EPS,0.29,0.18,0.32,-0.10,0.06,0.28,0.50,0.75,0.95,0.80,1.21,0.80,0.89,0.87,-3.42,-0.18,0.66,0.70,0.21,-0.09,1.12,1.56,1.87,2.46,2.87,3.03,2.96,2.18,2.08,2.83,3.37,4.43,3.84,6.18,16.46,4.65
26,EPS Diluted,0.29,0.18,0.32,-0.10,0.06,0.28,0.50,0.73,0.92,0.78,1.17,0.77,0.86,0.85,-3.42,-0.18,0.66,0.69,0.21,-0.09,1.11,1.55,1.85,2.43,2.83,2.99,2.93,2.16,2.06,2.80,3.32,4.38,3.83,6.16,16.11,4.55
27,Weighted Average Shares Outstanding,67241379,72222222,70625000,70000000,75000000,71785714,74200000,57333333,58105263,80500000,69338843,107375000,108764045,111000000,113279000,113660000,115865000,115964286,113157143,112088889,110754464,101577564,81111000,81619000,77596000,68316000,59852000,57415000,54935000,50517000,45316000,42818000,40809000,39244000,38233000,38233000
28,Weighted Average Shares Outstanding Diluted,67241379,72222222,70625000,70000000,75000000,71785714,74200000,58904110,60000000,82564103,71709402,111558442,112558140,111000000,113279000,113660000,116707000,117644928,113157143,112088889,111752252,102232903,82076000,82681000,78581000,69419000,60476000,57958000,55552000,50964000,45974000,43300000,40962000,39351000,39067000,39067000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/768835/000095015295000707/0000950152-95-000707-index.html,https://www.sec.gov/Archives/edgar/data/768835/000095015296001984/0000950152-96-001984-index.html,https://www.sec.gov/Archives/edgar/data/768835/000095015297003107/0000950152-97-003107-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/768835/000095015200003270/0000950152-00-003270-index.html,https://www.sec.gov/Archives/edgar/data/768835/000095015201501312/0000950152-01-501312-index.html,https://www.sec.gov/Archives/edgar/data/768835/000095015202003748/0000950152-02-003748-index.html,https://www.sec.gov/Archives/edgar/data/768835/000095015203004335/l00215ae10vk.htm,https://www.sec.gov/Archives/edgar/data/768835/000095015204002511/l06594ae10vk.htm,https://www.sec.gov/Archives/edgar/data/768835/000120677405000641/d16721_10k.htm,https://www.sec.gov/Archives/edgar/data/768835/000120677406000762/d19008_10k.htm,https://www.sec.gov/Archives/edgar/data/768835/000120677407000893/0001206774-07-000893-index.html,https://www.sec.gov/Archives/edgar/data/768835/000120677408000667/0001206774-08-000667-index.html,https://www.sec.gov/Archives/edgar/data/768835/000120677409000649/0001206774-09-000649-index.html,https://www.sec.gov/Archives/edgar/data/768835/000120677410000795/0001206774-10-000795-index.html,https://www.sec.gov/Archives/edgar/data/768835/000120677411000661/biglots_10k.htm,https://www.sec.gov/Archives/edgar/data/768835/000076883512000045/0000768835-12-000045-index.html,https://www.sec.gov/Archives/edgar/data/768835/000076883513000024/0000768835-13-000024-index.html,https://www.sec.gov/Archives/edgar/data/768835/000076883514000016/0000768835-14-000016-index.html,https://www.sec.gov/Archives/edgar/data/768835/000076883515000022/big-2015131x10k.htm,https://www.sec.gov/Archives/edgar/data/768835/000076883516000096/0000768835-16-000096-index.html,https://www.sec.gov/Archives/edgar/data/768835/000076883517000033/0000768835-17-000033-index.html,https://www.sec.gov/Archives/edgar/data/768835/000076883518000030/0000768835-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/768835/000076883519000021/0000768835-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/768835/000076883520000033/0000768835-20-000033-index.html,https://www.sec.gov/Archives/edgar/data/768835/000076883521000028/0000768835-21-000028-index.htm,https://www.sec.gov/Archives/edgar/data/768835/000076883522000038/0000768835-22-000038-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4700000,5400000,16800000,7500000,3900000,39100000,35300000,24900000,40400000,13000000,30000000,41700000,75900000,96300000,30700000,28800000,167000000,191228000,2500000,1700000,281700000,37100000,34773000,283700000,177500000,68500000,60600000,68600000,52261000,54144000,51164000,51176000,46034000,52721000,559556000,53722000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4700000,5400000,16800000,7500000,3900000,39100000,35300000,24900000,40400000,13000000,30000000,41700000,75900000,96300000,30700000,28800000,167000000,191228000,2500000,1700000,281700000,37100000,34773000,283700000,177500000,68500000,60600000,68600000,52261000,54144000,51164000,51176000,46034000,52721000,559556000,53722000
34,Net Receivables,4100000,1800000,2300000,2500000,2300000,1800000,1600000,4900000,5500000,9000000,9300000,- -,- -,- -,84000000,9300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,91400000,122500000,140500000,159200000,160600000,161900000,202800000,252900000,302100000,388300000,792700000,910700000,1096800000,1146400000,744900000,705300000,776200000,829569000,895000000,836100000,758200000,747900000,736616000,731300000,762100000,825200000,918000000,915000000,851669000,849982000,858689000,872790000,969561000,921266000,940294000,1237797000
36,Other Current Assets,28300000,14900000,24400000,20800000,11300000,16400000,21900000,28100000,33300000,41700000,94500000,155100000,162500000,177000000,241000000,250700000,126000000,146803000,137300000,156000000,109100000,106100000,99482000,108000000,112100000,113000000,112000000,137500000,134499000,90306000,84526000,98007000,112408000,89962000,85939000,119449000
37,Total Current Assets,128500000,144600000,184000000,190000000,178100000,219200000,261600000,310800000,381300000,452000000,926500000,1107500000,1335200000,1419700000,1100600000,994100000,1069200000,1167600000,1034800000,993800000,1149000000,891100000,870871000,1123000000,1051700000,1006700000,1090600000,1121100000,1038429000,994432000,994379000,1021973000,1128003000,1063949000,1585789000,1410968000
38,PP&E,73700000,99900000,99300000,115500000,107400000,107500000,126800000,147800000,161500000,177300000,380100000,613500000,683400000,730000000,481900000,515000000,532300000,605527000,648700000,584100000,505600000,481400000,490041000,491300000,524900000,572800000,593600000,569700000,550555000,559924000,525851000,565977000,822338000,2051399000,2366225000,2467821000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12300000,13500000,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12300000,13500000,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,17100000,19900000,37000000,- -,105100000,107300000,64600000,79800000,- -,422000,- -,- -,- -,- -,53763000,- -,- -,- -,2700000,- -,7139000,- -,- -,- -,- -,48610000,16329000,10973000
44,Other Non-Current Assets,3100000,2700000,2900000,2700000,2600000,2600000,2500000,9600000,-8300000,-9400000,-13100000,25400000,-81200000,-70200000,-61700000,-55700000,40800000,11139000,50100000,47600000,65900000,71300000,17783000,55200000,43000000,49500000,53200000,48800000,39768000,86014000,87477000,63776000,73006000,25323000,68914000,37491000
45,Total Non-Current Assets,76800000,102600000,102200000,118200000,110000000,110100000,129300000,157400000,170300000,187800000,404000000,638900000,707300000,767100000,484800000,539100000,573100000,617088000,698800000,631700000,571500000,552700000,561587000,546500000,567900000,634600000,663000000,618500000,597462000,645938000,613328000,629753000,895344000,2125332000,2451468000,2516285000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,205300000,247200000,286200000,308200000,288100000,329300000,390900000,468200000,551600000,639800000,1330500000,1746400000,2042500000,2186800000,1585400000,1533200000,1642300000,1784688000,1733600000,1625500000,1720500000,1443800000,1432458000,1669500000,1619600000,1641300000,1753600000,1739600000,1635891000,1640370000,1607707000,1651726000,2023347000,3189281000,4037257000,3927253000
48,Accounts Payable,- -,- -,- -,56400000,56400000,63200000,77600000,81500000,103400000,129200000,295700000,280100000,337400000,418700000,201600000,205500000,241900000,161884000,149800000,161500000,194000000,260300000,235973000,309900000,302800000,350100000,393700000,365800000,358932000,382277000,400495000,351226000,396903000,378241000,398433000,587496000
49,Short-Term Debt,1100000,1300000,1400000,1700000,1200000,- -,- -,- -,- -,- -,- -,71900000,- -,- -,- -,- -,- -,- -,- -,27205000,12660000,- -,66743000,4786000,3552000,3115000,3069000,- -,- -,- -,- -,- -,- -,226171000,243765000,242275000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18993000,25215000,36775000,40538000,14392000,2316000,24936000,31265000,7668000,1237000,3930000,153295000,894000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,207358000,61221000,- -,73845000,78539000,60292000,53178000,- -,51012000,50252000,42784000,37696000,59781000,- -,47739000,46469000,13986000,8633000,4762000,- -,- -
52,Other Current Liabilities,49000000,58000000,73800000,5400000,20500000,35700000,41700000,54800000,67300000,69000000,161500000,173300000,122500000,292100000,123400000,-90958000,107779000,301702000,188855000,169256000,207248000,186822000,212379000,176802000,185296000,188801000,195135000,151819000,228897000,248432000,231631000,224396000,233024000,261646000,358426000,294816000
53,Total Current Liabilities,50100000,59300000,75200000,63500000,78100000,98900000,119300000,136300000,170700000,198200000,457200000,525300000,459900000,710800000,325000000,321900000,410900000,463586000,412500000,436500000,474200000,500300000,515095000,542500000,541900000,584800000,629600000,577400000,587829000,678448000,678595000,589608000,638560000,870820000,1000624000,1124587000
54,Long-Term Debt,38400000,54700000,53300000,91100000,50100000,50000000,50000000,50000000,40000000,25000000,151300000,115300000,295600000,60500000,268000000,204000000,204000000,204000000,159200000,5500000,- -,163700000,- -,- -,- -,65900000,172000000,77100000,62100000,81724000,121164000,211020000,518577000,283946000,1502439000,1573213000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59320000,73658000,76364000,- -,59454000,56035000,58246000,60700000,- -,- -,21413000
56,Deferred Tax Liabilities,2500000,5200000,6700000,9000000,10000000,9900000,12200000,16300000,- -,- -,- -,71300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42784000,2693000,- -,- -,17789000,15853000,14929000,14189000,48610000,7762000,21413000
57,Other Non-Current Liabilities,- -,- -,- -,-200000,- -,- -,-100000,7100000,25700000,27100000,39900000,- -,105100000,115400000,64600000,79800000,1200000,1042000,86400000,104800000,116600000,141300000,142518000,125600000,130900000,65296000,117549000,107336000,196412000,82485000,85430000,108336000,98280000,1140441000,248701000,179264000
58,Total Non-Current Liabilities,40900000,59900000,60000000,99900000,60100000,59900000,62100000,73400000,65700000,52100000,191200000,186600000,400700000,175900000,332600000,283800000,205200000,205042000,245600000,110300000,116600000,305000000,142518000,125600000,130900000,233300000,365900000,260800000,258512000,241452000,278482000,392531000,691746000,1472997000,1758902000,1795303000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4786000,3552000,3115000,3069000,- -,- -,- -,- -,- -,144477000,1247521000,1695940000,- -
61,Total Liabilities,91000000,119200000,135200000,163400000,138200000,158800000,181400000,209700000,236400000,250300000,648400000,711900000,860600000,886700000,657600000,605700000,616100000,668628000,658100000,546800000,590800000,805300000,657613000,668100000,672800000,818100000,995500000,838200000,846341000,919900000,957077000,982139000,1330306000,2343817000,2759526000,2919890000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,500000,500000,700000,- -,1100000,1100000,1100000,1100000,1200000,1169000,1200000,1200000,1200000,1200000,1175000,1200000,1200000,1200000,1200000,1200000,1175000,1175000,1175000,1175000,1175000,1175000,1175000,- -
64,Retained Earnings,32000000,45000000,67700000,60700000,65200000,85300000,122500000,165500000,220700000,285100000,369000000,698400000,795200000,891300000,510700000,490400000,567000000,648151000,667400000,657300000,781300000,937600000,1088984000,1289400000,1511900000,1718900000,1896100000,2021400000,2107100000,2210239000,2323318000,2468258000,2575267000,2769793000,3351002000,3487268000
65,Other Comprehensive Income/Loss,-6900000,-15900000,-27700000,-38600000,-49600000,-61900000,-77000000,-77000000,400000,-1000000,-1000000,-376900000,-428900000,-507800000,-445000000,-499900000,-562200000,-639635000,-1814000,-2114000,-5933000,-6501000,-15305000,-13135000,-10470000,-15519000,-13330000,-13511000,-14656000,-15977000,- -,- -,- -,-1351540000,-1221321000,- -
66,Other Total Stockholders Equity,89200000,98900000,111000000,122700000,134300000,147100000,164000000,170000000,93600000,105000000,313400000,713000000,814500000,915500000,861000000,935900000,1020181000,1106375000,408704000,422338000,353136000,-293813000,-300009000,-276053000,-555837000,-881348000,-1125828000,-1107662000,-1304069000,-1474967000,-1673863000,-1799846000,-1883401000,-573964000,-853125000,- -
67,Total Stockholders Equity,114300000,128000000,151000000,144800000,149900000,170500000,209500000,258500000,315200000,389600000,682100000,1034500000,1181900000,1300100000,927800000,927500000,1026181000,1116060000,1075490000,1078724000,1129703000,638486000,774845000,1001412000,946793000,823233000,758142000,901427000,789550000,720470000,650630000,669587000,693041000,845464000,1277731000,1007363000
68,Total Liabilities And Stockholders Equity,205300000,247200000,286200000,308200000,288100000,329300000,390900000,468200000,551600000,639900000,1330500000,1746400000,2042500000,2186800000,1585400000,1533200000,1642281000,1784688000,1733590000,1625524000,1720503000,1443786000,1432458000,1669512000,1619593000,1641333000,1753642000,1739627000,1635891000,1640370000,1607707000,1651726000,2023347000,3189281000,4037257000,3927253000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,19000,- -,10000,-24000,-3000,14000,- -,-12000,7000,-33000,-42000,-27000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,205300000,247200000,286200000,308200000,288100000,329300000,390900000,468200000,551600000,639800000,1330500000,1746400000,2042500000,2186800000,1585400000,1533200000,1642300000,1784688000,1733600000,1625500000,1720500000,1443800000,1432458000,1669500000,1619600000,1641300000,1753600000,1739600000,1635891000,1640370000,1607707000,1651726000,2023347000,3189281000,4037257000,3927253000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/768835/000095015295000707/0000950152-95-000707-index.html,https://www.sec.gov/Archives/edgar/data/768835/000095015296001984/0000950152-96-001984-index.html,https://www.sec.gov/Archives/edgar/data/768835/000095015297003107/0000950152-97-003107-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/768835/000095015200003270/0000950152-00-003270-index.html,https://www.sec.gov/Archives/edgar/data/768835/000095015201501312/0000950152-01-501312-index.html,https://www.sec.gov/Archives/edgar/data/768835/000095015202003748/0000950152-02-003748-index.html,https://www.sec.gov/Archives/edgar/data/768835/000095015203004335/l00215ae10vk.htm,https://www.sec.gov/Archives/edgar/data/768835/000095015204002511/l06594ae10vk.htm,https://www.sec.gov/Archives/edgar/data/768835/000120677405000641/d16721_10k.htm,https://www.sec.gov/Archives/edgar/data/768835/000120677406000762/d19008_10k.htm,https://www.sec.gov/Archives/edgar/data/768835/000120677407000893/0001206774-07-000893-index.html,https://www.sec.gov/Archives/edgar/data/768835/000120677408000667/0001206774-08-000667-index.html,https://www.sec.gov/Archives/edgar/data/768835/000120677409000649/0001206774-09-000649-index.html,https://www.sec.gov/Archives/edgar/data/768835/000120677410000795/0001206774-10-000795-index.html,https://www.sec.gov/Archives/edgar/data/768835/000120677411000661/biglots_10k.htm,https://www.sec.gov/Archives/edgar/data/768835/000076883512000045/0000768835-12-000045-index.html,https://www.sec.gov/Archives/edgar/data/768835/000076883513000024/0000768835-13-000024-index.html,https://www.sec.gov/Archives/edgar/data/768835/000076883514000016/0000768835-14-000016-index.html,https://www.sec.gov/Archives/edgar/data/768835/000076883515000022/big-2015131x10k.htm,https://www.sec.gov/Archives/edgar/data/768835/000076883516000096/0000768835-16-000096-index.html,https://www.sec.gov/Archives/edgar/data/768835/000076883517000033/0000768835-17-000033-index.html,https://www.sec.gov/Archives/edgar/data/768835/000076883518000030/0000768835-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/768835/000076883519000021/0000768835-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/768835/000076883520000033/0000768835-20-000033-index.html,https://www.sec.gov/Archives/edgar/data/768835/000076883521000028/0000768835-21-000028-index.htm,https://www.sec.gov/Archives/edgar/data/768835/000076883522000038/0000768835-22-000038-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,22600000,-7000000,4500000,20100000,37100000,43000000,55200000,64400000,83900000,85900000,96800000,96100000,-380700000,-20200000,76600000,81175000,23800000,-10100000,124000000,158500000,151547000,200400000,222500000,207100000,177100000,125300000,114276000,142873000,152828000,189832000,156894000,242464000,629191000,177778000
74,Depreciation and Amortization,- -,- -,12800000,14800000,15500000,16100000,19500000,23700000,26500000,30000000,48400000,79200000,84000000,100464000,62290000,68986000,81509000,91634000,101969000,114617000,95613000,83103000,73787000,71501000,74041000,82851000,95602000,102196000,105849000,108054000,108315000,106004000,114025000,135686000,138848000,143713000
75,Deferred Income Tax,- -,- -,2700000,600000,300000,-3500000,-300000,-2200000,300000,-1000000,-18100000,2900000,29700000,400000,-119321000,-20209000,50020000,-3841000,-826000,-10483000,-13641000,457000,13518000,18014000,20485000,10456000,12482000,-32138000,22628000,-617000,-9171000,32578000,5353000,52374000,-52415000,19007000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20275000,24628000,24993000,17879000,13183000,10534000,13479000,33029000,27825000,26335000,13051000,26155000,39601000
