,https://roic.ai/company/ACCO,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,1.00,1.37,1.60,1.82,1.51,-3.60,0.15,-1.24,-5.04,-0.20,0.91,1.43,0.13,-0.02,-6.26,-2.32,0.23,1.03,1.23,0.68,0.81,0.79,0.89,1.22,1.02,1.07,0.65,1.07
26,EPS Diluted,1.00,1.37,1.60,1.80,1.50,-3.60,0.15,-1.24,-5.04,-0.20,0.88,1.40,0.13,-0.02,-6.26,-2.32,0.22,0.98,1.20,0.67,0.79,0.78,0.87,1.19,1.00,1.06,0.65,1.06
27,Weighted Average Shares Outstanding,15763000,15740000,15743000,15760000,15724000,15733000,15725000,15761000,15883000,15978000,16171000,41500000,53400000,54000000,54200000,54500000,54800000,55200000,94100000,113500000,113700000,108800000,107000000,108100000,104800000,99500000,94900000,94900000
28,Weighted Average Shares Outstanding Diluted,15763000,15740000,15743000,15926111,15861333,15733000,15725000,15761000,15883000,15978000,16839000,42400000,54300000,54000000,54200000,54500000,57200000,57600000,96100000,115700000,116300000,110600000,109200000,110900000,107000000,101000000,96100000,96100000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/712034/000095013707003108/c12801e10vk.htm,https://www.sec.gov/Archives/edgar/data/712034/000104746908002056/a2183030z10-k.htm,https://www.sec.gov/Archives/edgar/data/712034/000119312509042751/0001193125-09-042751-index.html,https://www.sec.gov/Archives/edgar/data/712034/000119312510043137/0001193125-10-043137-index.html,https://www.sec.gov/Archives/edgar/data/712034/000119312511045429/d10k.htm,https://www.sec.gov/Archives/edgar/data/712034/000119312512075522/0001193125-12-075522-index.html,https://www.sec.gov/Archives/edgar/data/712034/000071203413000009/0000712034-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/712034/000071203414000011/acco-2013x10k.htm,https://www.sec.gov/Archives/edgar/data/712034/000071203415000008/acco-2014x10k.htm,https://www.sec.gov/Archives/edgar/data/712034/000071203416000064/0000712034-16-000064-index.html,https://www.sec.gov/Archives/edgar/data/712034/000071203417000012/0000712034-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/712034/000071203418000013/0000712034-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/712034/000071203419000013/0000712034-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/712034/000071203420000013/0000712034-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/712034/000071203421000015/0000712034-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/712034/000071203422000009/0000712034-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5569000,6864000,6721000,3753000,6095000,11068000,9137000,59936000,18251000,9568000,6259000,91100000,50000000,42300000,18100000,43600000,83200000,121200000,50000000,53500000,53200000,55400000,42900000,76900000,67000000,27800000,36600000,41200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,510000000,616000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5569000,6864000,6721000,3753000,6095000,11068000,9137000,59936000,18251000,9568000,6259000,91100000,50000000,42300000,18100000,553600000,699200000,121200000,50000000,53500000,53200000,55400000,42900000,76900000,67000000,27800000,36600000,41200000
34,Net Receivables,74413000,79942000,115865000,160787000,187939000,163216000,149784000,114606000,121709000,128391000,141445000,438900000,427400000,415300000,274800000,259900000,283200000,269500000,498700000,471900000,420500000,369300000,391000000,469300000,428400000,453700000,356000000,416100000
35,Inventory,76010000,79605000,96734000,143569000,164517000,126347000,122736000,97982000,91920000,86240000,97996000,268200000,277600000,299400000,266500000,202400000,216100000,197700000,265500000,254700000,229900000,203600000,210000000,254200000,340600000,283300000,305100000,428000000
36,Other Current Assets,15162000,14237000,17894000,19636000,40092000,58402000,38968000,32528000,33419000,33914000,26480000,62800000,67200000,64900000,105300000,-478800000,-577800000,34500000,60100000,61600000,75200000,25300000,26800000,29200000,44200000,41200000,30500000,39600000
37,Total Current Assets,171154000,180648000,237214000,327745000,398643000,359033000,320625000,305052000,265299000,258113000,272180000,861000000,822200000,821900000,664700000,537100000,620700000,622900000,874300000,841700000,778800000,653600000,670700000,829600000,880200000,806000000,728200000,924900000
38,PP&E,65530000,61461000,69011000,113421000,126436000,141591000,135108000,124612000,110026000,94986000,84693000,239800000,217200000,238300000,194800000,181100000,163500000,147200000,273600000,253300000,235500000,209100000,198400000,278500000,263700000,369000000,330600000,319800000
39,Goodwill,31099000,31363000,43510000,204543000,304649000,283059000,273016000,261247000,- -,- -,- -,- -,438300000,415200000,139500000,143400000,144400000,135000000,589400000,568300000,544900000,496900000,587100000,670300000,708900000,718600000,827400000,802500000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,674400000,233600000,229800000,149900000,145800000,138200000,130400000,646600000,607000000,571400000,520900000,565700000,839900000,787000000,758600000,977000000,902200000
41,Intangible Assets,31099000,31363000,43510000,204543000,304649000,283059000,273016000,261247000,156156000,152008000,150383000,674400000,671900000,645000000,289400000,289200000,282600000,265400000,1236000000,1175300000,1116300000,1017800000,1152800000,1510200000,1495900000,1477200000,1804400000,1704700000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,802000,- -,- -,17400000,79200000,91900000,81700000,31500000,10600000,16700000,36400000,37300000,31700000,25100000,27300000,137900000,115100000,119000000,136500000,115900000
44,Other Non-Current Assets,16495000,25400000,43971000,47205000,56110000,38809000,32559000,28259000,19695000,25476000,33158000,136900000,59100000,101400000,51600000,67900000,72200000,64500000,87400000,75300000,64100000,47800000,15300000,42900000,31500000,17400000,49000000,26000000
45,Total Non-Current Assets,113124000,118224000,156492000,365169000,487195000,463459000,440683000,414118000,286679000,272470000,268234000,1068500000,1027400000,1076600000,617500000,569700000,528900000,493800000,1633400000,1541200000,1447600000,1299800000,1393800000,1969500000,1906200000,1982600000,2320500000,2166400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,284278000,298872000,393706000,692914000,885838000,822492000,761308000,719170000,551978000,530583000,540414000,1929500000,1849600000,1898500000,1282200000,1106800000,1149600000,1116700000,2507700000,2382900000,2226400000,1953400000,2064500000,2799100000,2786400000,2788600000,3048700000,3091300000
48,Accounts Payable,20647000,23600000,28506000,42979000,51669000,64487000,57178000,46665000,50459000,51253000,49758000,150100000,189200000,202600000,143800000,101000000,114800000,127100000,152400000,177900000,159100000,147600000,135100000,178200000,274600000,245700000,180200000,308200000
49,Short-Term Debt,23814000,17428000,31700000,40969000,28434000,15538000,10298000,7800000,26654000,19995000,33713000,30100000,4800000,6800000,64500000,700000,200000,200000,1300000,100000,1600000,- -,68500000,43200000,39500000,55000000,99100000,67400000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000000,35000000,33000000,2000000,3000000,2000000,31000000,20000000,27000000,113000000,27000000,137000000,115000000,119000000,- -,- -
52,Other Current Liabilities,40143000,42800000,51923000,68154000,77115000,88702000,93824000,85264000,84048000,85119000,90205000,272800000,265100000,253800000,222500000,195200000,209900000,176800000,244700000,247100000,207700000,94700000,175800000,180000000,170100000,169100000,277600000,333000000
53,Total Current Liabilities,84604000,83828000,112129000,152102000,157218000,168727000,161300000,139729000,161161000,156367000,173676000,453000000,496100000,498200000,463800000,298900000,327900000,306100000,429400000,445100000,395400000,355300000,406400000,538400000,599200000,588800000,556900000,708600000
54,Long-Term Debt,42020000,43890000,87029000,324070000,490591000,454459000,397005000,410668000,314766000,282019000,255165000,911800000,800300000,768500000,644200000,725100000,727400000,668800000,1070800000,920800000,799000000,720500000,627700000,889200000,843000000,777200000,1131100000,1043100000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,7225000,7158000,12187000,14331000,21082000,29399000,33831000,21866000,- -,3408000,- -,94100000,99700000,103400000,42800000,86600000,81500000,85600000,165000000,169100000,172200000,142300000,146700000,177100000,176200000,177500000,170600000,145200000
57,Other Non-Current Liabilities,9340000,9855000,10229000,11368000,13760000,20296000,21493000,23052000,33920000,34580000,33727000,62300000,69500000,90100000,134800000,113400000,92600000,118100000,203300000,145600000,178800000,154100000,175000000,420300000,378300000,471400000,447400000,329600000
58,Total Non-Current Liabilities,58585000,60903000,109445000,349769000,525433000,504154000,452329000,455586000,348686000,320007000,288892000,1068200000,969500000,962000000,821800000,925100000,901500000,872500000,1439100000,1235500000,1150000000,1016900000,949400000,1486600000,1397500000,1426100000,1749100000,1517900000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111600000,99100000,113400000
61,Total Liabilities,143189000,144731000,221574000,501871000,682651000,672881000,613629000,595315000,509847000,476374000,462568000,1521200000,1465600000,1460200000,1285600000,1224000000,1229400000,1178600000,1868500000,1680600000,1545400000,1372200000,1355800000,2025000000,1996700000,2014900000,2306000000,2226500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2262000,2262000,2262000,2262000,2262000,2262000,2262000,2262000,2262000,2262000,2262000,500000,600000,600000,600000,500000,600000,600000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1000000,1000000,1000000
64,Retained Earnings,153330000,168219000,186663000,208394000,225112000,163719000,166152000,146681000,66671000,63409000,78171000,-947200000,-940000000,-940900000,-1280200000,-1406300000,-1393900000,-1337200000,-1221800000,-1144700000,-1053100000,-967200000,-871700000,-739200000,-656800000,-574200000,-537300000,-462000000
65,Other Comprehensive Income/Loss,-65095000,-65210000,-71940000,-77020000,-78223000,-112735000,-126610000,-143194000,-25731000,-14601000,-7634000,5800000,-50100000,-9200000,-117500000,-107000000,-86100000,-131000000,-156100000,-185600000,-292600000,-429200000,-419400000,-461100000,-461700000,-505700000,-564200000,-535500000
66,Other Total Stockholders Equity,50592000,48870000,55147000,57407000,54036000,96365000,105875000,118106000,-1071000,3139000,5047000,- -,1373500000,1387800000,1393700000,1395600000,1399600000,1405700000,2016000000,2031500000,2025600000,1976500000,1998700000,1973300000,1907100000,1852600000,1843200000,- -
67,Total Stockholders Equity,141089000,154141000,172132000,191043000,203187000,149611000,147679000,123855000,42131000,54209000,77846000,408300000,384000000,438300000,-3400000,-117200000,-79800000,-61900000,639200000,702300000,681000000,581200000,708700000,774100000,789700000,773700000,742700000,864800000
68,Total Liabilities And Stockholders Equity,284278000,298872000,393706000,692914000,885838000,822492000,761308000,719170000,551978000,530583000,540414000,1929500000,1849600000,1898500000,1282200000,1106800000,1149600000,1116700000,2507700000,2382900000,2226400000,1953400000,2064500000,2799100000,2786400000,2788600000,3048700000,3091300000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,284278000,298872000,393706000,692914000,885838000,822492000,761308000,719170000,551978000,530583000,540414000,1929500000,1849600000,1898500000,1282200000,1106800000,1149600000,1116700000,2507700000,2382900000,2226400000,1953400000,2064500000,2799100000,2786400000,2788600000,3048700000,3091300000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/712034/000095013707003108/c12801e10vk.htm,https://www.sec.gov/Archives/edgar/data/712034/000104746908002056/a2183030z10-k.htm,https://www.sec.gov/Archives/edgar/data/712034/000119312509042751/0001193125-09-042751-index.html,https://www.sec.gov/Archives/edgar/data/712034/000119312510043137/0001193125-10-043137-index.html,https://www.sec.gov/Archives/edgar/data/712034/000119312511045429/d10k.htm,https://www.sec.gov/Archives/edgar/data/712034/000119312512075522/0001193125-12-075522-index.html,https://www.sec.gov/Archives/edgar/data/712034/000071203413000009/0000712034-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/712034/000071203414000011/acco-2013x10k.htm,https://www.sec.gov/Archives/edgar/data/712034/000071203415000008/acco-2014x10k.htm,https://www.sec.gov/Archives/edgar/data/712034/000071203416000064/0000712034-16-000064-index.html,https://www.sec.gov/Archives/edgar/data/712034/000071203417000012/0000712034-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/712034/000071203418000013/0000712034-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/712034/000071203419000013/0000712034-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/712034/000071203420000013/0000712034-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/712034/000071203421000015/0000712034-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/712034/000071203422000009/0000712034-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,15703000,21500000,25213000,28667000,23792000,-56676000,2433000,-19471000,-80010000,-3262000,14762000,59500000,7200000,-900000,-339200000,-126100000,12400000,56700000,115400000,77100000,91600000,85900000,95500000,131700000,106700000,106800000,62000000,101900000
74,Depreciation and Amortization,12081000,12814000,15018000,27208000,33913000,40284000,38693000,39266000,28412000,25162000,21549000,38500000,55800000,48900000,42800000,39300000,36500000,32900000,54400000,64600000,57500000,52000000,52000000,71200000,70700000,70300000,70700000,85700000
75,Deferred Income Tax,- -,- -,- -,2381000,- -,-8121000,3804000,5766000,-3604000,-150000,- -,15300000,-20900000,-13300000,-26900000,112700000,12300000,3900000,-155000000,-12300000,20600000,27400000,6000000,-45200000,22700000,8700000,-7600000,-21000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5500000,3000000,4200000,6300000,9200000,16400000,15700000,16000000,19400000,17000000,8800000,10100000,6500000,15200000
77,Change in Working Capital,-21946000,10270000,28265000,50558000,65782000,-51119000,-30981000,5998000,-61185000,-2392000,-3242000,309496000,-81900000,-2400000,-122800000,37300000,54600000,24000000,128100000,-48300000,-13200000,-85100000,-34000000,26900000,-10200000,-63800000,-45900000,-50800000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80800000,41500000,-18500000,600000,-153800000,500000,20400000,-3900000,13400000,10200000,46000000,-14800000,101600000,-77600000
79,Inventory,-8870000,-4154000,-10536000,-23615000,-15173000,1005000,-5312000,9575000,3973000,5400000,-13728000,7100000,-10000000,-15600000,-8400000,78700000,-9800000,5400000,61800000,6500000,11600000,9800000,16700000,2500000,-92900000,71400000,2200000,-131800000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36900000,-54900000,14800000,16800000,-25000000,26800000,-10100000,-2600000,-19300000,-18700000,101000000,-32800000,-68800000,131200000
81,Other Working Capital,86550000,96820000,125085000,175643000,241425000,190306000,159325000,165323000,104138000,101746000,98504000,408000000,326100000,323700000,200900000,238200000,292800000,316800000,444900000,396600000,383400000,298300000,264300000,291200000,281000000,217200000,171300000,- -
82,Other Non-Cash Items,-617000,-17600000,-66216000,-88097000,-99360000,155998000,61045000,19207000,162853000,32266000,-10359000,-357496000,160700000,48900000,477800000,5300000,-65100000,-62000000,-159600000,97000000,-500000,75000000,27000000,3300000,-3900000,71800000,33500000,28600000
83,Cash Provided by Operating Activities,5221000,26984000,2280000,20717000,24127000,80366000,74994000,50766000,46466000,51624000,22710000,65300000,120900000,81200000,37200000,71500000,54900000,61800000,-7500000,194500000,171700000,171200000,165900000,204900000,194800000,203900000,119200000,159600000
84,CAPEX,-12788000,-15046000,-27778000,-29619000,-29926000,-22823000,-19609000,-14897000,-9010000,-8468000,-7347000,-34500000,-33100000,-59100000,-43500000,-13700000,-12600000,-14900000,-30300000,-36600000,-29600000,-27600000,-18500000,-31000000,-34100000,-32800000,-15300000,-21200000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,470000,- -,- -,-1400000,- -,- -,- -,- -,- -,-1600000,-397500000,-1300000,- -,- -,-88800000,-292300000,-38000000,-41300000,-339400000,15400000
86,Purchases of Investments,- -,- -,- -,- -,-147961000,- -,- -,-110000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-12962000,-13378000,-52983000,-266147000,-7524000,-19901000,-17724000,-14359000,-8140000,-10528000,-8243000,3500000,11700000,3900000,24800000,9800000,-2300000,56500000,4600000,4600000,3800000,3000000,900000,4200000,200000,-5500000,- -,- -
89,Cash Used for Investing Activites,-12962000,-13378000,-52983000,-266147000,-155485000,-19901000,-17724000,-14469000,-7670000,-10528000,-8243000,-32400000,-21400000,-55200000,-18700000,-3900000,-14900000,40000000,-423200000,-33300000,-25800000,-24600000,-106400000,-319100000,-71900000,-79600000,-354700000,-5800000
90,Debt Repayment,- -,- -,- -,- -,-73685000,-180000000,-262000,- -,-274265000,-126740000,-235403000,- -,- -,- -,-70000000,-513500000,-1500000,-63000000,-872000000,-679500000,-121100000,-370100000,-685100000,-296500000,-249500000,-396400000,-151900000,-766300000
91,Common Stock Issued,438000,624000,1463000,942000,1415000,636000,- -,526000,1164000,737000,1661000,- -,13000000,4300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-975000,-1141000,-1645000,-1011000,-3566000,-536000,- -,-17000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19400000,-60000000,- -,-36600000,-75000000,-65000000,-18900000,- -
93,Dividends Paid,-6384000,-6611000,-6769000,-6935000,-7075000,-4717000,- -,- -,- -,- -,- -,-625000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25100000,-24400000,-24600000,-25800000
94,Other Financing Activites,15788000,-5013000,57417000,250447000,217825000,130406000,-61131000,11964000,194230000,84580000,220645000,607500000,-158000000,-39700000,32300000,469000000,1400000,-100000,1232100000,524000000,-1500000,292300000,609900000,475300000,224000000,322400000,440100000,644900000
95,Cash Used/Provided by Financing Activities,8867000,-12141000,50466000,243443000,134914000,-54211000,-61393000,12473000,-78871000,-41423000,-13097000,-17500000,-145000000,-35400000,-37700000,-44500000,-100000,-63100000,360100000,-155500000,-142000000,-137800000,-75200000,142200000,-125600000,-163400000,244700000,-147200000
96,Effect of Forex Changes on Cash,-19000,-170000,94000,-981000,-1214000,-1281000,2192000,2029000,-1610000,-8356000,-4679000,-4100000,4400000,1700000,-5000000,2400000,-300000,-700000,-600000,-2200000,-4200000,-6600000,3200000,6000000,-7200000,-100000,-400000,-2000000
97,Net Change In Cash,1107000,1295000,-143000,-2968000,2342000,4973000,-1931000,50799000,-41685000,-8683000,-3309000,11300000,-41100000,-7700000,-24200000,25500000,39600000,38000000,-71200000,3500000,-300000,2200000,-12500000,34000000,-9900000,-39200000,8800000,4600000
98,Cash at the End of Period,5569000,6864000,6721000,3753000,6095000,11068000,9137000,59936000,18251000,9568000,6259000,91100000,50000000,42300000,18100000,43600000,83200000,121200000,50000000,53500000,53200000,55400000,42900000,76900000,67000000,27800000,36600000,41200000
99,Cash at the Beginning of Period,4462000,5569000,6864000,6721000,3753000,6095000,11068000,9137000,59936000,18251000,9568000,79800000,91100000,50000000,42300000,18100000,43600000,83200000,121200000,50000000,53500000,53200000,55400000,42900000,76900000,67000000,27800000,36600000
100,Free Cash Flow,-7567000,11938000,-25498000,-8902000,-5799000,57543000,55385000,35869000,37456000,43156000,15363000,30800000,87800000,22100000,-6300000,57800000,42300000,46900000,-37800000,157900000,142100000,143600000,147400000,173900000,160700000,171100000,103900000,138400000
