,https://roic.ai/company/QCOM,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,488571429,650640000,700000000,806666667,760000000,862857143,1127488000,1162640000,1183392000,1299776000,1600242000,1511938000,1618658000,1635510000,1675000000,1694000000,1711000000,1693000000,1660000000,1673000000,1658000000,1691000000,1741000000,1754000000,1714000000,1639000000,1498000000,1490000000,1463000000,1220000000,1149000000,1149000000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/804328/000093639296001149/0000936392-96-001149-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/804328/000091205700047095/0000912057-00-047095-index.html,https://www.sec.gov/Archives/edgar/data/804328/000093639201500225/0000936392-01-500225-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/804328/000093639205000362/a14009e10vk.htm,https://www.sec.gov/Archives/edgar/data/804328/000093639206000996/a24679e10vk.htm,https://www.sec.gov/Archives/edgar/data/804328/000093639207000836/0000936392-07-000836-index.html,https://www.sec.gov/Archives/edgar/data/804328/000093639208000707/0000936392-08-000707-index.html,https://www.sec.gov/Archives/edgar/data/804328/000095012309057827/0000950123-09-057827-index.html,https://www.sec.gov/Archives/edgar/data/804328/000095012310100207/0000950123-10-100207-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445211000360/0001234452-11-000360-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445212000371/0001234452-12-000371-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445213000483/0001234452-13-000483-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445214000320/0001234452-14-000320-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445215000271/0001234452-15-000271-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445216000552/0001234452-16-000552-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445217000190/0001234452-17-000190-index.html,https://www.sec.gov/Archives/edgar/data/804328/000172894918000095/0001728949-18-000095-index.html,https://www.sec.gov/Archives/edgar/data/804328/000172894919000072/0001728949-19-000072-index.html,https://www.sec.gov/Archives/edgar/data/804328/000172894920000067/0001728949-20-000067-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000172894921000076/0001728949-21-000076-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,500600000,110100000,248837000,175846000,660016000,716871000,1388602000,- -,2045094000,1214000000,2070000000,1607000000,2411000000,1840000000,2717000000,3547000000,5462000000,3807000000,6142000000,7907000000,7560000000,5946000000,35029000000,11777000000,11839000000,6707000000,7116000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,448235000,127478000,954415000,1055522000,894577000,- -,2516003000,4768000000,4478000000,4114000000,4170000000,4571000000,8352000000,6732000000,6190000000,8567000000,8824000000,9658000000,9761000000,12702000000,2279000000,311000000,421000000,4507000000,5298000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,500600000,110100000,697072000,303324000,1614431000,1772393000,2283179000,- -,4561097000,5982000000,6548000000,5721000000,6581000000,6411000000,11069000000,10279000000,11652000000,12374000000,14966000000,17565000000,17321000000,18648000000,37308000000,12088000000,12260000000,11214000000,12414000000
34,Net Receivables,- -,- -,- -,- -,- -,82700000,217400000,556883000,668410000,910017000,735494000,527902000,- -,489588000,581000000,544000000,700000000,715000000,4187000000,700000000,730000000,993000000,1459000000,2142000000,2412000000,1964000000,2219000000,3632000000,2904000000,2471000000,4003000000,3579000000
35,Inventory,- -,- -,- -,- -,- -,44000000,171500000,225156000,386536000,257941000,85366000,95863000,- -,110351000,154000000,177000000,250000000,469000000,521000000,453000000,528000000,765000000,1030000000,1302000000,1458000000,1492000000,1556000000,2035000000,1693000000,1400000000,2598000000,3228000000
36,Other Current Assets,- -,- -,- -,- -,- -,77300000,252200000,70484000,178950000,195849000,136727000,147814000,- -,787728000,510000000,522000000,378000000,1056000000,753000000,348000000,596000000,883000000,782000000,1145000000,978000000,1322000000,558000000,618000000,699000000,634000000,704000000,854000000
37,Total Current Assets,- -,- -,- -,- -,- -,704600000,751200000,1549595000,1537220000,2978238000,2729980000,3054758000,- -,5948764000,7227000000,7791000000,7049000000,8821000000,11872000000,12570000000,12133000000,14293000000,15645000000,19555000000,22413000000,22099000000,22981000000,43593000000,17384000000,16765000000,18519000000,20075000000
38,PP&E,- -,- -,- -,- -,- -,185500000,352700000,425090000,609682000,555991000,431705000,431396000,- -,622265000,675000000,1022000000,1482000000,1788000000,2162000000,2387000000,2373000000,2414000000,2851000000,2995000000,2487000000,2534000000,2306000000,3216000000,2975000000,3081000000,3711000000,4559000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,571000000,1230000000,1325000000,1517000000,1492000000,1488000000,3432000000,3917000000,3976000000,4488000000,5479000000,5679000000,6623000000,6498000000,6282000000,6323000000,7246000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,821834000,585046000,- -,346464000,356000000,- -,- -,- -,3104000000,3065000000,3022000000,3099000000,2938000000,2553000000,2580000000,3742000000,3500000000,3737000000,2955000000,2172000000,1653000000,1458000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,821834000,585046000,- -,346464000,356000000,571000000,1230000000,1325000000,4621000000,4557000000,4510000000,6531000000,6855000000,6529000000,7068000000,9221000000,9179000000,10360000000,9453000000,8454000000,7976000000,8704000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6673000000,8123000000,9261000000,14463000000,14440000000,14457000000,13626000000,13702000000,1270000000,35000000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,406746000,493000000,- -,- -,318000000,227000000,47000000,- -,- -,1412000000,- -,- -,- -,- -,- -,904000000,103000000,1351000000,1591000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,50600000,81400000,299995000,419811000,1000721000,2079463000,1675933000,- -,1498197000,2069000000,3095000000,5447000000,6243000000,5830000000,1211000000,3433000000,3923000000,1786000000,1997000000,2149000000,3316000000,4191000000,7047000000,1935000000,4554000000,4037000000,6311000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,236100000,434100000,725085000,1029493000,1556712000,3333002000,2692375000,- -,2873672000,3593000000,4688000000,8159000000,9674000000,12840000000,14875000000,18439000000,22129000000,27367000000,25961000000,26161000000,28697000000,29378000000,21893000000,15302000000,16192000000,17075000000,21165000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,940700000,1185300000,2274680000,2566713000,4534950000,6062982000,5747133000,- -,8822436000,10820000000,12479000000,15208000000,18495000000,24712000000,27445000000,30572000000,36422000000,43012000000,45516000000,48574000000,50796000000,52359000000,65486000000,32686000000,32957000000,35594000000,41240000000
48,Accounts Payable,- -,- -,- -,- -,- -,95800000,229800000,409156000,660428000,705208000,112856000,106433000,- -,195065000,286000000,376000000,420000000,635000000,570000000,636000000,764000000,969000000,1298000000,1554000000,2183000000,1300000000,1858000000,1971000000,1825000000,1368000000,2248000000,2750000000
49,Short-Term Debt,- -,- -,- -,- -,- -,1000000,82900000,113238000,154058000,115099000,- -,- -,- -,102625000,- -,- -,- -,- -,- -,- -,1086000000,994000000,- -,- -,- -,1000000000,1749000000,999000000,1005000000,499000000,500000000,2044000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,47000000,1443000000,18000000,- -,- -,- -,- -,- -,- -,- -,2088000000,549000000,862000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,174271000,172000000,163000000,197000000,218000000,394000000,441000000,623000000,610000000,545000000,501000000,785000000,583000000,509000000,502000000,500000000,565000000,568000000,612000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,8200000,13300000,45084000,67123000,56070000,359437000,414556000,- -,336241000,436000000,531000000,805000000,1405000000,1476000000,1736000000,2995000000,2716000000,3459000000,3158000000,3045000000,3217000000,3195000000,7435000000,7906000000,6503000000,5356000000,6545000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,105000000,326000000,567478000,881609000,876377000,472293000,520989000,- -,808202000,894000000,1070000000,1422000000,2258000000,2440000000,2813000000,5468000000,5289000000,5302000000,5213000000,6013000000,6100000000,7311000000,10907000000,11236000000,8935000000,8672000000,11951000000
54,Long-Term Debt,- -,- -,- -,- -,- -,33500000,10900000,7729000,3863000,795000,- -,- -,- -,123302000,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000,- -,9969000000,10008000000,19442000000,15365000000,13448000000,15226000000,13701000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3485000000,3541000000,3739000000,3666000000,2967000000,2496000000,2377000000,2003000000,1620000000,1160000000,761000000,364000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,321000000,537000000,- -,573000000,577000000,1453000000,2030000000,2900000000,- -,2088000000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,2600000,3500000,15295000,25115000,74872000,27718000,330442000,- -,292310000,262000000,290000000,380000000,402000000,4328000000,4316000000,440000000,104000000,426000000,-41000000,-152000000,-643000000,-1145000000,-512000000,3537000000,2417000000,4858000000,5274000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,36100000,14400000,23024000,28978000,75667000,27718000,330442000,- -,415612000,262000000,290000000,380000000,402000000,4328000000,4316000000,4246000000,4182000000,4165000000,4215000000,3392000000,13275000000,13270000000,23833000000,20522000000,19113000000,20845000000,19339000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,141100000,340400000,590502000,910587000,952044000,500011000,851431000,- -,1223814000,1156000000,1360000000,1802000000,2660000000,6768000000,7129000000,9714000000,9471000000,9467000000,9428000000,9405000000,19375000000,20581000000,34740000000,31758000000,28048000000,29517000000,31290000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,7000,7000,16000,75000,76000,- -,81000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,414000000,274000000,- -,343000000,586000000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,4800000,25900000,117798000,- -,200879000,871090000,322347000,- -,1297289000,2709000000,4328000000,6100000000,8541000000,10717000000,11235000000,13305000000,16204000000,20701000000,25461000000,30799000000,31226000000,30936000000,30088000000,663000000,4466000000,5284000000,9822000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-66400000,-117300000,-200934000,-329634000,-334761000,-381604000,-408524000,- -,-23769000,15000000,38000000,64000000,237000000,-284000000,588000000,697000000,353000000,866000000,753000000,634000000,195000000,428000000,384000000,265000000,100000000,207000000,128000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,861200000,936300000,1107307000,1287223000,3005621000,5026767000,4975916000,- -,- -,- -,6753000000,7242000000,7057000000,7511000000,8493000000,6856000000,10394000000,11956000000,9874000000,7736000000,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,799600000,844900000,1024178000,957596000,2871755000,5516328000,4889815000,- -,7598572000,9664000000,11119000000,13406000000,15835000000,17944000000,20316000000,20858000000,26951000000,33523000000,36088000000,39169000000,31421000000,31778000000,30746000000,928000000,4909000000,6077000000,9950000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,940700000,1185300000,1614680000,1868183000,3823799000,6016339000,5741246000,- -,8822386000,10820000000,12479000000,15208000000,18495000000,24712000000,27445000000,30572000000,36422000000,42990000000,45516000000,48574000000,50796000000,52359000000,65486000000,32686000000,32957000000,35594000000,41240000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,660000000,698530000,711151000,46643000,5887000,- -,50000,- -,- -,- -,- -,- -,- -,- -,- -,22000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,940700000,1185300000,2274680000,2566713000,4534950000,6062982000,5747133000,- -,8822436000,10820000000,12479000000,15208000000,18495000000,24712000000,27445000000,30572000000,36422000000,43012000000,45516000000,48574000000,50796000000,52359000000,65486000000,32686000000,32957000000,35594000000,41240000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/804328/000093639296001149/0000936392-96-001149-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/804328/000091205700047095/0000912057-00-047095-index.html,https://www.sec.gov/Archives/edgar/data/804328/000093639201500225/0000936392-01-500225-index.html,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/804328/000093639205000362/a14009e10vk.htm,https://www.sec.gov/Archives/edgar/data/804328/000093639206000996/a24679e10vk.htm,https://www.sec.gov/Archives/edgar/data/804328/000093639207000836/0000936392-07-000836-index.html,https://www.sec.gov/Archives/edgar/data/804328/000093639208000707/0000936392-08-000707-index.html,https://www.sec.gov/Archives/edgar/data/804328/000095012309057827/0000950123-09-057827-index.html,https://www.sec.gov/Archives/edgar/data/804328/000095012310100207/0000950123-10-100207-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445211000360/0001234452-11-000360-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445212000371/0001234452-12-000371-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445213000483/0001234452-13-000483-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445214000320/0001234452-14-000320-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445215000271/0001234452-15-000271-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445216000552/0001234452-16-000552-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445217000190/0001234452-17-000190-index.html,https://www.sec.gov/Archives/edgar/data/804328/000172894918000095/0001728949-18-000095-index.html,https://www.sec.gov/Archives/edgar/data/804328/000172894919000072/0001728949-19-000072-index.html,https://www.sec.gov/Archives/edgar/data/804328/000172894920000067/0001728949-20-000067-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000172894921000076/0001728949-21-000076-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-8400000,-4100000,12100000,15200000,30200000,21000000,91934000,108532000,200879000,670211000,-548743000,359677000,827441000,1720000000,2143000000,2470000000,3303000000,3160000000,1592000000,3247000000,4260000000,6109000000,6853000000,7967000000,5271000000,5705000000,2445000000,-4864000000,4386000000,5198000000,9043000000
74,Depreciation and Amortization,- -,5800000,7200000,9800000,18800000,30900000,56800000,93598000,141892000,158429000,243842000,319811000,394257000,179694000,163000000,200000000,272000000,383000000,456000000,635000000,666000000,1061000000,897000000,1017000000,1150000000,1214000000,1428000000,1461000000,1561000000,1401000000,1393000000,1582000000
75,Deferred Income Tax,- -,- -,- -,- -,-4000000,-3000000,- -,-21531000,18237000,-96595000,481621000,29948000,12394000,332964000,- -,- -,- -,- -,- -,- -,116000000,-1204000000,395000000,268000000,298000000,47000000,-200000000,-400000000,4502000000,1976000000,-309000000,-245000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,612000000,824000000,1035000000,1105000000,1059000000,1026000000,943000000,914000000,883000000,1037000000,1212000000,1663000000
77,Change in Working Capital,- -,3200000,- -,- -,- -,599600000,- -,-174400000,556917000,-326506000,1446250000,155826000,276082000,2606793000,1192438000,388000000,-1094000000,936000000,2869000000,325000000,-3092000000,2339000000,1339000000,3999000000,2058000000,-401000000,-329000000,17016000000,-26538000000,1682000000,2017000000,-461000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3083000000,-18000000,-140000000,-456000000,-680000000,-281000000,550000000,-232000000,-1104000000,734000000,1373000000,-1529000000,426000000
79,Inventory,- -,-500000,-600000,-7600000,-1600000,-28400000,-127500000,-53645000,-161380000,40102000,-68776000,-40735000,11187000,-21303000,-50000000,-23000000,-71000000,-234000000,-47000000,69000000,-80000000,-62000000,-252000000,-300000000,-155000000,93000000,-49000000,-200000000,337000000,273000000,-1157000000,-622000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57000000,148000000,-26000000,371000000,307000000,619000000,-908000000,541000000,-45000000,-94000000,-443000000,907000000,495000000
81,Other Working Capital,- -,- -,- -,- -,- -,599600000,599600000,425200000,982117000,655611000,2101861000,2257687000,2533769000,5140562000,6333000000,6721000000,5627000000,6563000000,9432000000,9757000000,6665000000,9004000000,10343000000,14342000000,16400000000,15999000000,15670000000,32686000000,6148000000,7830000000,9847000000,-202000000
82,Other Non-Cash Items,- -,1400000,-2500000,-9200000,-3500000,-620000000,-147600000,-18224000,-850245000,246026000,-2029812000,734649000,-74443000,-2165008000,-607438000,-45000000,1605000000,-811000000,-2927000000,4620000000,2527000000,-2380000000,-3777000000,-4464000000,-3645000000,-1651000000,-147000000,-16743000000,28351000000,-3196000000,-3697000000,-1046000000
83,Cash Provided by Operating Activities,- -,2000000,600000,12700000,26500000,37700000,-69800000,-28623000,-24667000,182233000,812112000,691491000,967967000,1781884000,2468000000,2686000000,3253000000,3811000000,3558000000,7172000000,4076000000,4900000000,5998000000,8778000000,8887000000,5506000000,7400000000,4693000000,3895000000,7286000000,5814000000,10536000000
84,CAPEX,- -,-6700000,-8300000,-49600000,-68700000,-99500000,-216600000,-163115000,-321566000,-180237000,-163182000,-114191000,-141578000,-238869000,-332000000,-576000000,-685000000,-818000000,-1397000000,-761000000,-1490000000,-593000000,-1284000000,-1048000000,-1185000000,-994000000,-539000000,-690000000,-784000000,-887000000,-1407000000,-1888000000
