,https://roic.ai/company/SYN,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,- -,- -,- -,- -,30000,-20000,40000,1180000,2400000,610000,1380000,- -,- -,- -,- -,- -,- -,105787,32335,- -,- -,- -,- -,267000,492000,12455000,302000,473000,186000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,30000,1580000,1040000,3180000,4400000,5610000,11880000,- -,- -,- -,- -,- -,- -,105787,32335,- -,- -,- -,- -,267000,492000,12455000,302000,473000,186000,1403000
59,Other Liabilities,- -,- -,100000,- -,- -,- -,- -,6362695,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29794,24400,- -,- -,- -,- -,- -,- -,- -,- -,722000,473000,- -
61,Total Liabilities,- -,100000,1000000,400000,1100000,2900000,2200000,4377582,5864377,11142554,16900642,- -,- -,2143758,729019,1687528,620716,531431,532484,417000,395000,1027000,9588000,15842000,20249000,22248000,3686000,5748000,3152000,4957000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18056000,17305000,15275000,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,273088,287916,290016,295637,300000,300000,1450,48684,20433,20883,21449,23339,31000,44000,58000,72000,91000,117000,129000,15000,17000,29000,132000
64,Retained Earnings,- -,-5900000,-12200000,-19600000,-26600000,-36200000,-55200000,-73409828,-80967524,-92496964,-103438129,- -,- -,-3914268,-8774363,-31076518,-38281676,-42013081,-43724240,-51873000,-68941000,-81258000,-101042000,-144779000,-172034000,-194170000,-219461000,-235537000,-248094000,-271284000
65,Other Comprehensive Income/Loss,- -,- -,- -,-100000,-200000,-200000,-300000,-311752,-235389,-355014,-332721,- -,- -,- -,-32935,- -,-591876,-985963,-1138670,-372000,-242000,-19000,-39000,-105000,-186000,-429000,-695000,-887000,- -,- -
66,Other Total Stockholders Equity,- -,7600000,11600000,21500000,28500000,34200000,56200000,74119565,80501277,83475686,88089229,- -,- -,3203980,20545011,- -,45617261,46521782,48418086,59273000,82167000,96449000,110565000,160844000,175948000,192974000,231449000,233467000,240821000,336560000
67,Total Stockholders Equity,- -,1700000,-600000,1800000,1700000,-2200000,700000,671073,-413720,-9086276,-15385984,- -,- -,-703838,11786397,11945524,6764592,3544187,3578515,7059000,13028000,15230000,9556000,16051000,3845000,-1496000,29364000,14365000,8031000,65408000
68,Total Liabilities And Stockholders Equity,- -,1800000,400000,2200000,2800000,700000,2900000,5048655,5450657,2056278,1514658,- -,- -,1439920,12515416,13633052,7385308,4075618,4110999,7476000,13423000,16257000,19144000,31893000,24094000,20752000,33050000,20113000,11183000,70365000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1048000,-1596000,-1914000,-2909000,-2878000,-2773000,- -
70,Total Liabilities & Equity,- -,1800000,400000,2200000,2800000,700000,2900000,5048655,5450657,2056278,1514658,- -,- -,1439920,12515416,13633052,7385308,4075618,4110999,7476000,13423000,16257000,19144000,30845000,22498000,18838000,30141000,17235000,8410000,70365000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/894158/000089415805000011/0000894158-05-000011-index.htm,https://www.sec.gov/Archives/edgar/data/894158/000089415805000019/0000894158-05-000019-index.htm,https://www.sec.gov/Archives/edgar/data/894158/000129534506000015/0001295345-06-000015-index.htm,https://www.sec.gov/Archives/edgar/data/894158/000089016307000211/0000890163-07-000211-index.htm,- -,https://www.sec.gov/Archives/edgar/data/894158/000113207209000150/0001132072-09-000150-index.htm,https://www.sec.gov/Archives/edgar/data/894158/000089016310000093/0000890163-10-000093-index.htm,https://www.sec.gov/Archives/edgar/data/894158/000114420411019139/0001144204-11-019139-index.htm,https://www.sec.gov/Archives/edgar/data/894158/000114420412018627/0001144204-12-018627-index.htm,https://www.sec.gov/Archives/edgar/data/894158/000114420413022048/0001144204-13-022048-index.htm,https://www.sec.gov/Archives/edgar/data/894158/000114420414019505/0001144204-14-019505-index.htm,https://www.sec.gov/Archives/edgar/data/894158/000114420415016433/0001144204-15-016433-index.htm,https://www.sec.gov/Archives/edgar/data/894158/000114420416087267/0001144204-16-087267-index.htm,https://www.sec.gov/Archives/edgar/data/894158/000114420417012545/0001144204-17-012545-index.htm,https://www.sec.gov/Archives/edgar/data/894158/000114420418010286/0001144204-18-010286-index.htm,https://www.sec.gov/Archives/edgar/data/894158/000114420419010592/0001144204-19-010592-index.htm,https://www.sec.gov/Archives/edgar/data/894158/000110465920023415/0001104659-20-023415-index.htm,https://www.sec.gov/Archives/edgar/data/894158/000110465921032150/0001104659-21-032150-index.htm,https://www.sec.gov/Archives/edgar/data/894158/000141057822000405/0001410578-22-000405-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1950000,-3900000,-6300000,-7400000,-7000000,-9500000,-18600000,-17384788,-5763151,-9479137,-8617582,15360000,- -,-1355842,-4099095,-9892433,-7205158,-3731405,-1711159,-8149000,-17068000,-12317000,-19784000,-43737000,-27255000,-15174000,-13367000,-15303000,-10043000,-14268000
74,Depreciation and Amortization,20000,-100000,- -,- -,-100000,-100000,-100000,-86341,-118775,-130554,-154128,30000,- -,2260,30675,199629,404623,382089,358708,201000,63000,43000,20000,72000,157000,245000,272000,240000,201000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1280360,323936,660649,1232000,1851000,1669000,2459000,3198000,4009000,3409000,2074000,340000,350000,- -
77,Change in Working Capital,-10000,1500000,-2300000,2400000,-200000,-2300000,2300000,1944174,94946,-7599943,-26792,4187615,- -,-985968,12475077,-1620199,-4562714,-2977257,501692,3874369,5363000,3121000,-5704000,5277000,-12949000,6337000,17977000,-14976000,-6183000,60336000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,1000000,- -,- -,- -,- -,- -,- -,- -,-48292,-438341,-480000,14000,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,800000,-400000,600000,400000,-300000,154418,615636,352646,2002977,333163000,- -,- -,- -,- -,-60928,-138264,-195418,153000,7000,-253000,854000,3417000,-2420000,27000,-987000,1282000,-1429000,- -
81,Other Working Capital,- -,1500000,-800000,1600000,1400000,-900000,1400000,3344174,3439120,-4160823,-4187615,- -,- -,-985968,11489109,9868910,5306196,2328939,2830631,6705000,12068000,15189000,9485000,14762000,1813000,8150000,26127000,11151000,4968000,65304000
82,Other Non-Cash Items,40000,-1000000,4100000,-2500000,1300000,5200000,-2300000,-616477,140738,9142711,2973918,-20207615,- -,1257441,-10772476,4706144,5231214,3083773,-949786,-33369,875000,-235000,6930000,-3700000,8137000,-15021000,-24235000,15826000,3507000,-46068000
83,Cash Provided by Operating Activities,-1900000,-3500000,-4500000,-7500000,-6000000,-6700000,-18700000,-16143432,-5646242,-8066923,-5824584,-630000,- -,-1082109,-2365819,-6606859,-4851675,-2918864,-1139896,-2875000,-8916000,-7719000,-16079000,-38890000,-27901000,-20204000,-17279000,-13873000,-12168000,- -
84,CAPEX,- -,- -,- -,- -,-100000,-100000,-100000,-136588,-86107,-200570,-31029,-20000,- -,- -,-45833,-1965574,-21398,-1850,-12663,- -,-10000,-36000,-48000,-501000,-569000,-212000,-7000,- -,-9000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-154662,- -,- -,- -,-665000,- -,- -,-195517,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4370000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,200000,- -,- -,419674,249661,- -,- -,- -,- -,- -,- -,- -,- -,- -,4293000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-200000,- -,-100000,- -,- -,10000,- -,- -,4750,- -,- -,- -,- -,- -,132265,25200,77260,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-200000,- -,-200000,100000,- -,-126588,333567,49091,-180941,-20000,- -,- -,-710833,-1965574,110867,-172167,64597,-75000,-10000,-36000,-48000,-501000,-569000,-212000,-7000,- -,-9000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-765000,- -,-200000,- -,- -,-900000,-11337,-5394,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13926362,7552378,4390,10734,1129778,7518000,12202000,12425000,20672000,46041000,27323000,6358000,29088000,- -,3359000,- -
92,Common Stock Repurchased,1020000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-152200,- -,-579569,- -,-49706,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24000
94,Other Financing Activites,1000000,5000000,3200000,9300000,6400000,5200000,20700000,17688167,4480186,5835182,5473422,1085000,- -,2587053,184926,900000,- -,-1,-115276,-539000,- -,1000,-1645000,-3357000,-616000,12119000,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,2020000,5000000,3200000,9300000,6400000,5200000,20700000,17688167,4480186,5835182,5473422,320000,- -,2234853,14111288,7872809,-895610,-50310,1009108,6979000,12202000,12426000,19027000,42684000,26707000,18477000,29088000,- -,3359000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,130000,5000000,3200000,1800000,6400000,5200000,20700000,1418147,-832489,-2182650,-532103,-330000,- -,1152744,11034636,-699624,-5636418,-3141340,-66191,4029000,3276000,4671000,2900000,3293000,-1763000,-1939000,11802000,-13873000,-8818000,- -
98,Cash at the End of Period,29048000,- -,- -,1900000,- -,- -,- -,3874437,3041948,859298,327195,- -,- -,1157790,12192426,11492802,5856384,2715044,2648853,6678000,9954000,14625000,17525000,20818000,19055000,17116000,28918000,15045000,6227000,- -
99,Cash at the Beginning of Period,28918000,100000,1700000,100000,1900000,2000000,400000,2456290,3874437,3041948,859298,330000,- -,5046,1157790,12192426,11492802,5856384,2715044,2649000,6678000,9954000,14625000,17525000,20818000,19055000,17116000,28918000,15045000,6227000
100,Free Cash Flow,-1900000,-3500000,-4500000,-7500000,-6100000,-6800000,-18800000,-16280020,-5732349,-8267493,-5855613,-650000,- -,-1082109,-2411652,-8572433,-4873073,-2920714,-1152559,-2875000,-8926000,-7755000,-16127000,-39391000,-28470000,-20416000,-17286000,-13873000,-12177000,- -
