,https://roic.ai/company/XL,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,2403121000,2304303000,3693475000,2223748000,3880030000,4353826000,3643697000,3022868000,3825125000,2618378000,1800832000,2521814000,3256236000,3426988000,3435954000,- -,3386000,329641000,351676000
32,Short-Term Investments,697450000,1760714000,2546073000,2338487000,1803198000,1466323000,1777360000,2048607000,359063000,322703000,456288000,256727000,677720000,634756000,830446000,- -,- -,- -,- -
33,Cash and Short-Term Investments,3100571000,4065017000,6239548000,4562235000,5683228000,5820149000,5421057000,5071475000,4184188000,2941081000,2257120000,2778541000,3933956000,4061744000,4266400000,- -,3386000,329641000,351676000
34,Net Receivables,10626805000,11674486000,11283576000,9725661000,9152854000,3476471000,2682219000,2436628000,2411611000,6025392000,6311482000,6127385000,10625023000,11720163000,15313834000,- -,1159000,10559000,6477000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2240000,3574000,15262000
36,Other Current Assets,-11324255000,-13435200000,-13829649000,-12064148000,-10956052000,-9296619000,-4459579000,30356316000,31365191000,30200949000,30235761000,29460907000,31601633000,30055969000,28345847000,- -,296000,1546000,1190000
37,Total Current Assets,2403121000,2304303000,3693475000,2223748000,3880030000,1000,3643697000,37864419000,37960990000,39167422000,38804363000,38366833000,46160612000,45837876000,47926081000,- -,7081000,345320000,374605000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,840000,579000,8059000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,822247000,- -,392882000,396245000,415936000,1213630000,1213524000,1234150000,- -,489000,489000,8606000
40,Intangible Assets,1845507000,1827782000,1814544000,1818096000,1841591000,853550000,845129000,17261000,407321000,15645000,15366000,32016000,996636000,990129000,991601000,- -,809000,593000,1863000
41,Intangible Assets,1845507000,1827782000,1814544000,1818096000,1841591000,853550000,845129000,839508000,407321000,408527000,411611000,447952000,2210266000,2203653000,2225751000,- -,1298000,1082000,10469000
42,Investments,- -,- -,- -,- -,- -,1552789000,1185604000,1069028000,1052729000,1126875000,1370943000,1637620000,1708899000,2177645000,1911996000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,-1552789000,-1185604000,5250396000,5205037000,4684955000,5065970000,4594414000,8603161000,8214928000,11372408000,- -,30000,32000,88000
45,Total Non-Current Assets,1845507000,1827782000,1814544000,1818096000,1841591000,853550000,845129000,7158932000,6665087000,6220357000,6848524000,6679986000,12522326000,12596226000,15510155000,- -,2168000,1693000,18616000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4248628000,4132085000,5508019000,4041844000,5721621000,853551000,4488826000,45023351000,44626077000,45387779000,45652887000,45046819000,58682938000,58434102000,63436236000,- -,9249000,347013000,393221000
48,Accounts Payable,- -,- -,- -,- -,- -,786463000,378887000,122250000,90552000,245224000,362561000,535521000,2247787000,2677726000,4039105000,- -,549000,4372000,3799000
49,Short-Term Debt,697450000,1760714000,2546073000,2338487000,1803198000,1466323000,1777360000,2048607000,359063000,322703000,456288000,256727000,677720000,634756000,830446000,- -,11886000,110000,978000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,638000,926000,- -
52,Other Current Liabilities,1208033000,960717000,866625000,1029889000,1065533000,936948000,295170000,3836223000,5096247000,5088355000,5255501000,5501865000,8831821000,8875336000,9758182000,- -,2416000,3675000,11856000
53,Total Current Liabilities,1905483000,2721431000,3412698000,3368376000,2868731000,3189734000,2451417000,6007080000,5545862000,5656282000,6074350000,6294113000,11757328000,12187818000,14627733000,- -,15489000,9083000,16633000
54,Long-Term Debt,1905483000,2721431000,3412698000,3368376000,2868731000,3189734000,2451417000,2464410000,2275327000,1672778000,2263203000,1662580000,2644970000,2647677000,3220769000,- -,1849000,98000,3620000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133000,305000,691000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,141803000,86330000,66246000,120651000,77271000,57574000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,105667000,98420000,- -,- -,- -,- -,- -,- -,- -,5478000,5336000,10467000
58,Total Non-Current Liabilities,1905483000,2721431000,3412698000,3368376000,2868731000,3189734000,2451417000,2570077000,2373747000,1814581000,2349533000,1728826000,2765621000,2724948000,3278343000,- -,7460000,5739000,14778000
59,Other Liabilities,33767146000,41202497000,49908834000,48615583000,47809284000,39565174000,36147258000,30973299000,30684552000,29689681000,30578772000,40481532000,36036768000,36010553000,40625526000,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4499000
61,Total Liabilities,33767146000,41202497000,49908834000,48615583000,47809284000,39565174000,36147258000,34410302000,33856667000,33531382000,34303589000,45046819000,45028475000,45473423000,51974916000,- -,22949000,14822000,31411000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1373000,1389000,1795000,1810000,1779000,3308000,3421000,3165000,3157000,2987000,2783000,2552000,2947000,2669000,2560000,- -,8000,13000,14000
64,Retained Earnings,2541843000,3396639000,1824191000,3266175000,2578393000,-315529000,94460000,513777000,-99961000,402321000,1264093000,1187640000,2077349000,2151794000,1198386000,- -,-67595000,-93186000,-99411000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-934000,-1340000,- -
66,Other Total Stockholders Equity,4393699000,4340667000,6645825000,6863181000,7367970000,6427454000,9332231000,10093811000,9521742000,10104764000,8730757000,8843560000,9596783000,8784049000,8647371000,- -,54821000,426704000,- -
67,Total Stockholders Equity,6936915000,7738695000,8471811000,10131166000,9948142000,6115233000,9430112000,10610753000,9424938000,10510072000,9997633000,10033752000,11677079000,10938512000,9848317000,- -,-13700000,332191000,361810000
68,Total Liabilities And Stockholders Equity,40704061000,48941192000,58380645000,58746749000,57757426000,45680407000,45577370000,45021055000,43281605000,44041454000,44301222000,55080571000,56705554000,56411935000,61823233000,- -,9249000,347013000,393221000
69,Minority Interest,-36455433000,-44809107000,-52872626000,-54704905000,-52035805000,-44826856000,-41088544000,2296000,1344472000,1346325000,1351665000,-10033752000,1977384000,2022167000,1613003000,- -,- -,- -,- -
70,Total Liabilities & Equity,4248628000,4132085000,5508019000,4041844000,5721621000,853551000,4488826000,45023351000,44626077000,45387779000,45652887000,45046819000,58682938000,58434102000,63436236000,- -,9249000,347013000,393221000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/875159/000093041304001132/0000930413-04-001132-index.htm,https://www.sec.gov/Archives/edgar/data/875159/000093041305001799/0000930413-05-001799-index.htm,https://www.sec.gov/Archives/edgar/data/875159/000093041306001850/0000930413-06-001850-index.htm,https://www.sec.gov/Archives/edgar/data/875159/000093041307001866/0000930413-07-001866-index.htm,https://www.sec.gov/Archives/edgar/data/875159/000093041308001380/0000930413-08-001380-index.htm,https://www.sec.gov/Archives/edgar/data/875159/000093041309001131/0000930413-09-001131-index.htm,https://www.sec.gov/Archives/edgar/data/875159/000093041310001202/0000930413-10-001202-index.htm,https://www.sec.gov/Archives/edgar/data/875159/000093041311001261/0000930413-11-001261-index.htm,https://www.sec.gov/Archives/edgar/data/875159/000093041312001121/0000930413-12-001121-index.html,https://www.sec.gov/Archives/edgar/data/875159/000093041313001175/0000930413-13-001175-index.html,https://www.sec.gov/Archives/edgar/data/875159/000087515914000013/0000875159-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/875159/000087515915000011/0000875159-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/875159/000087515916000097/0000875159-16-000097-index.html,https://www.sec.gov/Archives/edgar/data/875159/000087515917000016/0000875159-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/875159/000087515918000015/0000875159-18-000015-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1772720/000119312520091080/0001193125-20-091080-index.htm,https://www.sec.gov/Archives/edgar/data/1772720/000121390021019311/0001213900-21-019311-index.htm,https://www.sec.gov/Archives/edgar/data/1772720/000121390022010097/0001213900-22-010097-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,411979000,1166613000,-1251976000,1762767000,275889000,-2553813000,74991000,643377000,-474760000,651134000,1059916000,188340000,1207152000,440968000,-560398000,- -,-14901000,-25591000,28790000
74,Depreciation and Amortization,67344000,124960000,93962000,29083000,35480000,2968000,8183000,40423000,49800000,57280000,56229000,56118000,92313000,118063000,97038000,- -,319000,622000,1756000
75,Deferred Income Tax,10547000,21478000,-29800000,20729000,-20100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,31291000,29377000,47472000,46489000,81287000,74431000,81001000,64199000,- -,208000,978000,7880000
77,Change in Working Capital,-1182220000,-914766000,697905000,-1425405000,2155927000,-4201032000,4382013000,30665059000,557789000,1096012000,-781127000,-657293000,2330564000,-753226000,-351710000,- -,-33306756000,344645000,662000
78,Accounts Receivable,-916026000,-1062346000,16617000,1782354000,901697000,111789000,634893000,94649000,-31286000,340322000,-124548000,-47176000,-281061000,-1618781000,-3103382000,- -,2610000,-9400000,7597000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,215000,-1334000,-10415000
80,Accounts Payable,4416758000,4854915000,5777933000,-1583306000,-447052000,- -,- -,- -,-31846000,48159000,161132000,160916000,229205000,398738000,1120507000,- -,-1089000,3823000,-1667000
81,Other Working Capital,497638000,-417128000,280777000,-1144628000,1011299000,-3189733000,1192280000,31857339000,32415128000,33511140000,32730013000,32072720000,34403284000,33650058000,33298348000,- -,-8408000,336237000,103000
82,Other Non-Cash Items,4122683000,3974225000,4739345000,2051481000,-206330000,6324617000,-4507947000,-30785394000,164996000,-795792000,398470000,1294732000,-3088904000,1028531000,784190000,- -,33309579000,-340535000,-87582000
83,Cash Provided by Operating Activities,3430333000,4372510000,4249436000,2438655000,2240866000,-427260000,-42760000,594756000,327202000,1056106000,779977000,963184000,615556000,915337000,33319000,- -,-11551000,-19881000,-48494000
84,CAPEX,-3338000,- -,- -,-4087000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28000,-145000,-3641000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-45646571000,-34774839000,-33703557000,-30214913000,-26357962000,-14279935000,-17501131000,-8256825000,-8161131000,-9344001000,-9678329000,-7603762000,-20285398000,-16561136000,-19608407000,- -,- -,- -,- -
87,Sales/Maturities of Investments,45590567000,34863836000,25761273000,30370271000,26431738000,17705038000,17038226000,8493452000,9029314000,8406060000,8595300000,9069315000,21284137000,17454068000,19930171000,- -,- -,- -,- -
88,Other Investing Activites,-5718833000,-6680193000,38140000,-3110996000,77500000,- -,-134781000,24854000,-36080000,-79101000,47891000,-193491000,-310011000,199024000,-76543000,- -,- -,- -,-11188000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28000,-145000,-14829000
90,Debt Repayment,- -,-974384000,-100000000,-45291000,-825000000,-255000000,-1096568000,- -,-575000000,-600000000,- -,-600000000,-87447000,-8248000,-17909000,- -,-3108000,-18027000,-502000
91,Common Stock Issued,42113000,41480000,2478065000,31972000,878439000,2231000000,745000000,1182000,576333000,5413000,12623000,6367000,9976000,9854000,50634000,- -,- -,352060000,75000
92,Common Stock Repurchased,-1574000,-4602000,-5532000,-5626000,-1135950000,-4966000,-105344000,-616181000,-671137000,-402930000,-675617000,-801953000,-468971000,-1051050000,-983106000,- -,- -,- -,- -
93,Dividends Paid,-303497000,-310773000,-316977000,-318004000,-274037000,-326373000,-225008000,-211525000,-138050000,-134799000,-160155000,-169620000,-208516000,-222761000,-228232000,- -,-10000,- -,- -
94,Other Financing Activites,1496285000,1199552000,2298183000,-631239000,-365968000,-5531708000,-389575000,-646819000,-295901000,-212437000,-164309000,-298502000,-178831000,-152405000,-123476000,- -,12326000,12248000,85785000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9208000,346281000,85358000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1154694000,-525324000,1489749000,-1469727000,1656282000,473796000,-710129000,-620829000,802257000,-1206747000,-817546000,720982000,734422000,170752000,8966000,- -,-2371000,326255000,22035000
98,Cash at the End of Period,2403121000,2304303000,3693475000,2223748000,3880030000,4353826000,3643697000,3022868000,3825125000,2618378000,1800832000,2521814000,3256236000,3426988000,3435954000,- -,3536000,329791000,351826000
99,Cash at the Beginning of Period,3557815000,2829627000,2203726000,3693475000,2223748000,3880030000,4353826000,3643697000,3022868000,3825125000,2618378000,1800832000,2521814000,3256236000,3426988000,- -,5907000,3536000,329791000
100,Free Cash Flow,3426995000,4372510000,4249436000,2434568000,2240866000,-427260000,-42760000,594756000,327202000,1056106000,779977000,963184000,615556000,915337000,33319000,- -,-11579000,-20026000,-52135000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/875159/000093041304001132/0000930413-04-001132-index.htm,https://www.sec.gov/Archives/edgar/data/875159/000093041305001799/0000930413-05-001799-index.htm,https://www.sec.gov/Archives/edgar/data/875159/000093041306001850/0000930413-06-001850-index.htm,https://www.sec.gov/Archives/edgar/data/875159/000093041307001866/0000930413-07-001866-index.htm,https://www.sec.gov/Archives/edgar/data/875159/000093041308001380/0000930413-08-001380-index.htm,https://www.sec.gov/Archives/edgar/data/875159/000093041309001131/0000930413-09-001131-index.htm,https://www.sec.gov/Archives/edgar/data/875159/000093041310001202/0000930413-10-001202-index.htm,https://www.sec.gov/Archives/edgar/data/875159/000093041311001261/0000930413-11-001261-index.htm,https://www.sec.gov/Archives/edgar/data/875159/000093041312001121/0000930413-12-001121-index.html,https://www.sec.gov/Archives/edgar/data/875159/000093041313001175/0000930413-13-001175-index.html,https://www.sec.gov/Archives/edgar/data/875159/000087515914000013/0000875159-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/875159/000087515915000011/0000875159-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/875159/000087515916000097/0000875159-16-000097-index.html,https://www.sec.gov/Archives/edgar/data/875159/000087515917000016/0000875159-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/875159/000087515918000015/0000875159-18-000015-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1772720/000119312520091080/0001193125-20-091080-index.htm,https://www.sec.gov/Archives/edgar/data/1772720/000121390021019311/0001213900-21-019311-index.htm,https://www.sec.gov/Archives/edgar/data/1772720/000121390022010097/0001213900-22-010097-index.htm
102,false,,,,,,,,,,,,,,,,,,,
