,https://roic.ai/company/SBGI,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,100800000,160900000,289600000,390100000,544500000,567900000,633203000,668760000,551159000,565718000,551048000,522612000,555955000,558930000,579046000,517908000,522026000,539270000,732401000,1035719000,1519067000,1796122000,2140125000,2275484000,2435483000,3862000000,4566000000,6110000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,743000,59000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),25400000,39300000,84300000,- -,139000000,- -,148906000,143574000,126500000,128228000,120400000,118592000,115217000,95866000,77718000,80021000,116046000,106128000,128553000,162937000,174862000,191447000,211143000,212315000,291976000,422000000,656000000,618000000
14,Depreciation and Amortization,55600000,80400000,121800000,152100000,201700000,250900000,259187000,279600000,197822000,175469000,168854000,142398000,160325000,165233000,63367000,65572000,55397000,51382000,87542000,141374000,228787000,264887000,282324000,275925000,280088000,1061000000,1752000000,2827000000
15,EBITDA,76900000,125000000,214100000,157500000,369500000,443700000,490274000,243770000,-238803000,343758000,324458000,485363000,385136000,323013000,-216890000,-22613000,287817000,278093000,428613000,419028000,713360000,685552000,860896000,988893000,877530000,1434000000,-726000000,2858000000
16,EBITDA ratio,0.6227,0.6065,0.5657,0.3050,0.5015,0.6048,0.6215,0.3432,-0.3246,0.4653,0.4581,0.7013,0.5385,0.4498,-0.2875,-0.0344,0.3752,0.3634,0.4037,0.3074,0.3609,0.3089,0.3145,0.3617,0.2872,0.3382,-0.1222,0.4659
17,Operating Income,22700000,45200000,88900000,126300000,192300000,165700000,155659000,37685000,184630000,173023000,157231000,169455000,159183000,159170000,-288459000,-111230000,240357000,225620000,329278000,324020000,494651000,422736000,602853000,737506000,659661000,470000000,-2772000000,95000000
18,Operating Income ratio,0.1838,0.2193,0.2349,0.2446,0.2610,0.2259,0.1973,0.0531,0.2509,0.2342,0.2220,0.2449,0.2226,0.2217,-0.3823,-0.1694,0.3133,0.2948,0.3101,0.2377,0.2503,0.1905,0.2203,0.2697,0.2159,0.1108,-0.4664,0.0155
19,Total Other Income Expenses (Gains),-26800000,-35000000,-80900000,-114800000,-152400000,-182800000,-186618000,-202879000,-179411000,-134603000,-132045000,-96777000,-103566000,-119955000,-69375000,-59230000,-124506000,-104247000,-116938000,-218512000,-182104000,-188943000,-229963000,-218762000,-349438000,-461000000,-377000000,-594000000
20,Income Before Tax,-4100000,10200000,8000000,11500000,39900000,-17100000,-30959000,-165194000,5219000,38420000,25186000,72678000,55617000,39215000,-357834000,-170460000,115851000,121373000,212340000,105508000,312547000,233793000,372890000,518744000,310223000,9000000,-3149000000,-499000000
21,Income Before Tax Ratio,-0.0332,0.0495,0.0211,0.0223,0.0542,-0.0233,-0.0392,-0.2326,0.0071,0.0520,0.0356,0.1050,0.0778,0.0546,-0.4743,-0.2597,0.1510,0.1586,0.2000,0.0774,0.1581,0.1054,0.1362,0.1897,0.1015,0.0021,-0.5299,-0.0813
22,Income Tax expense (Gain),-600000,5200000,6900000,16000000,45700000,25100000,4816000,-51682000,1369000,15669000,11182000,37063000,6970000,18800000,-116484000,-32512000,40226000,44785000,67852000,41249000,97432000,57694000,122128000,-75360000,-35775000,-96000000,-720000000,-173000000
23,Net Income,-3500000,100000,1100000,-10600000,-16900000,167700000,77365000,-127722000,-564494000,24392000,24022000,187310000,102624000,43114000,-241491000,-135694000,76148000,75798000,144666000,73468000,212279000,171524000,245301000,576013000,341241000,47000000,-2414000000,-414000000
24,Net Income ratio,-0.0283,0.0005,0.0029,-0.0205,-0.0229,0.2286,0.0981,-0.1798,-0.7672,0.0330,0.0339,0.2707,0.1435,0.0600,-0.3201,-0.2067,0.0993,0.0990,0.1363,0.0539,0.1074,0.0773,0.0896,0.2107,0.1117,0.0111,-0.4062,-0.0675
25,EPS,-0.05,0.00,0.01,-0.18,-0.29,1.63,0.73,-1.64,-6.74,0.16,0.16,2.14,0.63,0.26,0.72,-1.70,0.95,0.94,1.79,0.79,2.19,1.81,2.62,5.77,3.38,0.52,-30.20,-5.60
26,EPS Diluted,-0.05,0.00,0.01,-0.18,-0.29,1.63,0.73,-1.64,-6.74,0.16,0.16,2.14,0.63,0.26,0.72,-1.70,0.94,0.94,1.78,0.78,2.17,1.79,2.60,5.72,3.35,0.51,-30.20,-5.60
27,Weighted Average Shares Outstanding,70000000,61428571,74762000,71902000,94321000,96615000,91405000,84352000,85337000,85651000,85590000,85380000,85680000,86910000,85652000,79981000,80245000,80217000,81020000,93207000,97114000,95003000,93567000,99844000,100913000,92015000,79924000,73974000
28,Weighted Average Shares Outstanding Diluted,70000000,61428571,74762000,80156000,95692000,96635000,91432000,84624000,85580000,85793000,85741000,85389000,85694000,87015000,92070000,79981000,83606000,80532000,81310000,93845000,97819000,95728000,94433000,100789000,101718000,93185000,79924000,73974000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912752/000110465902001206/0001104659-02-001206-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000104746903007299/0001047469-03-007299-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000110465904005951/0001104659-04-005951-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000110465905011487/0001104659-05-011487-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000110465906017425/0001104659-06-017425-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000110465907017779/0001104659-07-017779-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000110465908014107/0001104659-08-014107-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000110465909014310/0001104659-09-014310-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000110465910012414/0001104659-10-012414-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000110465911012400/0001104659-11-012400-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000110465912015324/0001104659-12-015324-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000110465913019785/0001104659-13-019785-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000110465914015395/0001104659-14-015395-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000110465915015845/0001104659-15-015845-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000091275216000020/0000912752-16-000020-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000091275217000006/0000912752-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000091275218000006/0000912752-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000091275219000012/0000912752-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000091275220000013/0000912752-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000091275221000012/0000912752-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000091275222000024/0000912752-22-000024-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2400000,112500000,2300000,139300000,3300000,16400000,4091000,32063000,5327000,28730000,10491000,9655000,67408000,20980000,16470000,23224000,21974000,12967000,22865000,280104000,17682000,149972000,259984000,681326000,1060330000,1333000000,1259000000,816000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2270000000,- -
33,Cash and Short-Term Investments,2400000,112500000,2300000,139300000,3300000,16400000,4091000,32063000,5327000,28730000,10491000,9655000,67408000,20980000,16470000,23224000,21974000,12967000,22865000,280104000,17682000,149972000,259984000,681326000,1060330000,1333000000,3529000000,816000000
34,Net Receivables,37900000,50000000,112400000,123000000,196900000,210300000,165913000,188600000,185908000,141713000,132686000,127913000,133864000,144134000,109775000,114934000,121371000,133392000,240477000,383480000,475015000,516897000,603055000,666001000,662844000,1293000000,1290000000,1245000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,27300000,25800000,53100000,68500000,124500000,339600000,99713000,113457000,105819000,90350000,186973000,85440000,90093000,73502000,76880000,87640000,60936000,63358000,41106000,34287000,33468000,34894000,42049000,367420000,60732000,287000000,-1602000000,410000000
37,Total Current Assets,67600000,188300000,167800000,330800000,324700000,566300000,269717000,334120000,297054000,260793000,330150000,223008000,291365000,238616000,203125000,225798000,204281000,209717000,304448000,697871000,526165000,701763000,905088000,1714747000,1783906000,2913000000,3217000000,2471000000
38,PP&E,41200000,42800000,154300000,161700000,280400000,251800000,280987000,286353000,337250000,355817000,339779000,304355000,274962000,284551000,336964000,296227000,272231000,281521000,383294000,529034000,639024000,626031000,627489000,651242000,648489000,962000000,995000000,208000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1007268000,1010594000,824188000,660017000,660017000,660117000,1074032000,1380082000,1964553000,1931093000,1990746000,2124033000,2123902000,4716000000,2092000000,2088000000
40,Intangible Assets,181100000,268800000,1256300000,1322200000,3100400000,2487000000,2684106000,2562258000,1828632000,1805624000,1686118000,1674527000,663954000,593863000,132422000,51988000,232027000,222343000,708528000,1228784000,1953338000,1884035000,2100709000,1961041000,1785102000,8135000000,5795000000,150000000
41,Intangible Assets,181100000,268800000,1256300000,1322200000,3100400000,2487000000,2684106000,2562258000,1828632000,1805624000,1686118000,1674527000,1671222000,1604457000,956610000,712005000,892044000,882460000,1782560000,2608866000,3917891000,3815128000,4091455000,4085074000,3909004000,12851000000,7887000000,2238000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94924000,98385000,107847000,116031000,168572000,184255000,116996000,511000000,901000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,197000000,293000000
44,Other Non-Current Assets,107600000,105400000,128900000,219500000,149100000,314400000,165830000,182900000,143837000,142348000,109616000,83763000,35049000,97031000,319978000,363691000,117368000,197719000,164471000,213316000,261245000,173362000,170564000,149152000,113697000,133000000,185000000,7331000000
45,Total Non-Current Assets,329900000,417000000,1539500000,1703400000,3529900000,3053200000,3130923000,3031511000,2309719000,2303789000,2135513000,2062645000,1981233000,1986039000,1613552000,1371923000,1281643000,1361700000,2425249000,3449601000,4926007000,4730552000,5058080000,5069723000,4788186000,14457000000,10165000000,10070000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,397500000,605300000,1707300000,2034200000,3854600000,3619500000,3400640000,3365631000,2606773000,2564582000,2465663000,2285653000,2272598000,2224655000,1816677000,1597721000,1485924000,1571417000,2729697000,4147472000,5452172000,5432315000,5963168000,6784470000,6572092000,17370000000,13382000000,12541000000
48,Accounts Payable,3300000,2200000,11900000,5200000,18100000,7600000,6865000,29317000,15573000,8301000,7056000,3799000,4849000,3732000,4817000,3746000,5952000,8872000,10086000,13989000,12248000,- -,- -,- -,- -,- -,90000000,- -
49,Short-Term Debt,27700000,3500000,64000000,38300000,54100000,192900000,105856000,7268000,4449000,42282000,48946000,37937000,102250000,46789000,69911000,40632000,22752000,41209000,49326000,48713000,115741000,167350000,174735000,161049000,42564000,71000000,58000000,139000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,3537000,2971000,3153000,28813000,16042000,2388000,2143000,2657000,2810000,2522000,1978000,18233000,23447000,32843000,32917000,31732000,133863000,83270000,- -,- -,- -
52,Other Current Liabilities,39100000,52800000,97700000,111200000,196700000,187100000,251051000,183824000,185561000,191482000,203846000,166910000,176459000,172582000,170950000,155513000,136670000,143523000,229955000,257232000,333174000,334736000,430006000,431437000,446751000,1063000000,886000000,1063000000
53,Total Current Liabilities,70100000,58500000,173600000,154700000,268900000,387600000,363772000,223946000,208554000,245218000,288661000,224688000,285946000,225246000,248335000,202701000,167896000,195582000,307600000,343381000,494006000,535003000,636473000,726349000,572585000,1134000000,1034000000,1202000000
54,Long-Term Debt,318600000,414600000,1224200000,1242400000,2473100000,1798700000,1510570000,1678362000,1547521000,1690175000,1590669000,1441906000,1311373000,1297560000,1306185000,1322681000,1218906000,1164816000,2224053000,2985327000,3812975000,3687010000,4029113000,3887601000,3849891000,12367000000,12523000000,905000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,500000,24100000,184700000,233900000,255088000,233679000,173209000,190614000,216937000,278399000,282317000,313364000,199204000,177219000,210335000,247552000,233465000,311041000,602243000,585072000,609317000,515236000,413253000,407000000,- -,- -
57,Other Non-Current Liabilities,22000000,33500000,67800000,66000000,108300000,20500000,153703000,453350000,463563000,207004000,141578000,117677000,125632000,132644000,130354000,97342000,45869000,74829000,64632000,102019000,137605000,125552000,130329000,120918000,136043000,1768000000,1010000000,11943000000
58,Total Non-Current Liabilities,340600000,448100000,1292500000,1332500000,2766100000,2053100000,1919361000,2365391000,2184293000,2087793000,1949184000,1837982000,1719322000,1743568000,1635743000,1597242000,1475110000,1487197000,2522150000,3398387000,4552823000,4397634000,4768759000,4523755000,4399187000,14542000000,13533000000,12848000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255000000,232000000,- -
61,Total Liabilities,410700000,506600000,1466100000,1487200000,3035000000,2440700000,2283133000,2589337000,2392847000,2333011000,2237845000,2062670000,2005268000,1968814000,1884078000,1799943000,1643006000,1682779000,2829750000,3741768000,5046829000,4932637000,5405232000,5250104000,4971772000,15676000000,14567000000,14050000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,35000,35000,33000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,1000000,845000,843000,856000,858000,851000,854000,859000,873000,810000,799000,804000,809000,812000,1001000,955000,947000,903000,1018000,946000,1000000,1000000,1000000
64,Retained Earnings,-20400000,-20100000,-18900000,-32300000,-59500000,97900000,164958000,26886000,-547958000,-533916000,-526463000,-369214000,-328406000,-360324000,-669417000,-813876000,-771953000,-734511000,-713697000,-696996000,-545820000,-437029000,-255804000,248845000,517620000,492000000,-1986000000,-2460000000
65,Other Comprehensive Income/Loss,-16200000,-20100000,-20100000,-47100000,-69300000,-90000000,-129668000,-155925000,-186496000,-225117000,-245555000,-277920000,-2000000,-2000000,-3000000,-4000000,-4000000,-5000000,-5000000,-3000000,-6000000,-1000000,-1000000,-1000000,-1000000,-2000000,-10000000,-2000000
66,Other Total Stockholders Equity,21000000,136600000,276300000,622700000,944800000,966000000,876395000,900156000,944743000,987145000,997685000,868297000,596192000,614225000,587904000,605127000,609726000,617527000,600935000,1095365000,978747000,962892000,843884000,1319875000,1121270000,1011000000,721000000,1188000000
67,Total Stockholders Equity,-15600000,96400000,237300000,543300000,816000000,974900000,912530000,771960000,211180000,229005000,226551000,222017000,266645000,252774000,-83703000,-211950000,-165423000,-121175000,-116950000,396370000,427882000,525810000,587983000,1568738000,1638836000,1502000000,-1274000000,-1273000000
68,Total Liabilities And Stockholders Equity,395100000,603000000,1703400000,2030500000,3851000000,3415600000,3195663000,3361297000,2604027000,2562016000,2464396000,2284687000,2271913000,2221588000,1800375000,1587993000,1477583000,1561604000,2712800000,4138138000,5474711000,5458447000,5993215000,6818842000,6610608000,17178000000,13293000000,12777000000
69,Minority Interest,2400000,2300000,3900000,3700000,3600000,203900000,204977000,4334000,2746000,2566000,1267000,966000,685000,3067000,16302000,9728000,8341000,9813000,16897000,9334000,-22539000,-26132000,-30047000,-34372000,-38516000,192000000,89000000,-236000000
70,Total Liabilities & Equity,397500000,605300000,1707300000,2034200000,3854600000,3619500000,3400640000,3365631000,2606773000,2564582000,2465663000,2285653000,2272598000,2224655000,1816677000,1597721000,1485924000,1571417000,2729697000,4147472000,5452172000,5432315000,5963168000,6784470000,6572092000,17370000000,13382000000,12541000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912752/000110465902001206/0001104659-02-001206-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000104746903007299/0001047469-03-007299-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000110465904005951/0001104659-04-005951-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000110465905011487/0001104659-05-011487-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000110465906017425/0001104659-06-017425-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000110465907017779/0001104659-07-017779-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000110465908014107/0001104659-08-014107-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000110465909014310/0001104659-09-014310-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000110465910012414/0001104659-10-012414-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000110465911012400/0001104659-11-012400-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000110465912015324/0001104659-12-015324-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000110465913019785/0001104659-13-019785-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000110465914015395/0001104659-14-015395-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000110465915015845/0001104659-15-015845-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000091275216000020/0000912752-16-000020-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000091275217000006/0000912752-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000091275218000006/0000912752-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000091275219000012/0000912752-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000091275220000013/0000912752-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000091275221000012/0000912752-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/912752/000091275222000024/0000912752-22-000024-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3500000,100000,1100000,-10600000,-16900000,167700000,77365000,-127722000,-564494000,24392000,24022000,187310000,102624000,43114000,-241491000,-135694000,76148000,75798000,144666000,73468000,212279000,171524000,245301000,576013000,341241000,47000000,-2414000000,-414000000
74,Depreciation and Amortization,55600000,80400000,121800000,152100000,201700000,250900000,259187000,279600000,197822000,175469000,168854000,142398000,160325000,165233000,63367000,65572000,55397000,51382000,87542000,141374000,228787000,264887000,282324000,275925000,280088000,1061000000,1752000000,2827000000
75,Deferred Income Tax,-9200000,-5100000,2300000,20600000,30700000,25200000,6418000,-10595000,8174000,17250000,16953000,80612000,17656000,39842000,-116198000,-24949000,38636000,43972000,8313000,22518000,-818000,-28446000,6118000,-159462000,-102621000,-5000000,-604000000,-92000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6083000,- -,- -,- -,- -,- -,14296000,18315000,16939000,15886000,26516000,33000000,52000000,60000000
77,Change in Working Capital,-22100000,132300000,-135600000,181900000,-120300000,122900000,-272755000,204229000,-21674000,-72925000,25914000,-43169000,7099000,7951000,-58580000,68307000,13288000,-22250000,-17287000,357642000,-322331000,134601000,101855000,719783000,222923000,567679000,404000000,-914000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22884000,823000,- -,-11616000,-23225000,-90635000,-44253000,-38666000,-71718000,-41908000,-36680000,70000000,70000000,-187000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14491000,- -,35885000,7954000,53312000,-18134000,60086000,34857000,23666000,334000000,-3000000,113000000
81,Other Working Capital,-2500000,129800000,-5800000,176100000,55800000,178700000,-94055000,110174000,88500000,15575000,41489000,-1680000,5419000,13370000,-45210000,23097000,36385000,14135000,-3152000,354490000,32159000,166760000,268615000,988398000,1211321000,1779000000,2183000000,1269000000
82,Other Non-Cash Items,-7100000,-155000000,79400000,-247400000,55300000,-436500000,-1088000,-286624000,529787000,4567000,-115630000,-312602000,-132371000,-109926000,557953000,132200000,-28508000,-389000,14241000,-434425000,298241000,-160186000,-60771000,-997041000,-120729000,-787679000,2358000000,-1140000000
83,Cash Provided by Operating Activities,13700000,52700000,69000000,96600000,150500000,130200000,69127000,58888000,149615000,148753000,120113000,54549000,155333000,146214000,211134000,105436000,154961000,148513000,237475000,160577000,430454000,400695000,591766000,431104000,647418000,916000000,1548000000,327000000
84,CAPEX,-2400000,-1700000,-12600000,-110000000,-2077400000,-268100000,-33256000,-29017000,-84087000,-69531000,-44881000,-16673000,-16923000,-23226000,-42292000,- -,-21800000,-47757000,-1179334000,-1049532000,-1566497000,-108432000,-94465000,-83812000,-105061000,-156000000,-157000000,-80000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-89936000,-490000,- -,-18000000,- -,-15540000,-1710000,-39075000,-52159000,-10601000,- -,- -,-24052000,-10767000,-8104000,-44715000,-477104000,-326402000,-35805000,-8999000000,-16000000,-4000000
86,Purchases of Investments,- -,- -,- -,- -,- -,-14200000,- -,- -,- -,-5699000,-5549000,-970000,- -,- -,-41971000,- -,-7360000,-16894000,-1493000,-11604000,-8104000,-44715000,-19500000,- -,- -,-452000000,-139000000,-256000000
87,Sales/Maturities of Investments,- -,- -,- -,400000,700000,- -,- -,- -,- -,- -,- -,62000,- -,- -,- -,- -,117000,1166000,183000,- -,- -,- -,- -,19500000,- -,- -,- -,- -
88,Other Investing Activites,-248500000,-117500000,-999300000,-109400000,264000000,735300000,333012000,-3831000,136909000,233000,32728000,317948000,3489000,5928000,-5900000,-83245000,50872000,-57613000,-1079936000,-985482000,-1299690000,29540000,-14934000,192689000,22655000,77000000,153000000,94000000
89,Cash Used for Investing Activites,-250900000,-119200000,-1011900000,-219000000,-1812700000,453000000,209820000,-33338000,52822000,-92997000,-17702000,284827000,-15144000,-56373000,-142322000,-93846000,31935000,-112248000,-1149284000,-1051241000,-1397356000,-151311000,-606003000,-198025000,-118211000,-9530000000,-159000000,-246000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-258923000,-934430000,-430544000,-153657000,-182238000,-1522219000,-582764000,-395147000,-671215000,-336501000,-166785000,-1236000000,-1739000000,-601000000
91,Common Stock Issued,- -,111500000,- -,318000000,336200000,1800000,53000,583000,2807000,1431000,1152000,178000,1065000,13379000,- -,- -,- -,1808000,- -,483821000,- -,- -,- -,487883000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-700000,-4600000,-26700000,-5000000,-107322000,-4397000,- -,-1544000,-14302000,- -,-36062000,- -,-29836000,-1454000,- -,- -,- -,- -,-133157000,-28823000,-136283000,-30287000,-220889000,-442000000,-890000000,-61000000
93,Dividends Paid,- -,- -,- -,-2400000,-10400000,-10400000,-10350000,-10350000,-10350000,-10350000,-14454000,-24205000,- -,-49490000,-66683000,-16038000,-34225000,-38356000,-123852000,-56767000,-61103000,-62733000,-65909000,-71364000,-74566000,-106000000,-99000000,-60000000
94,Other Financing Activites,221600000,65000000,833500000,-51600000,1227000000,-556400000,-173645000,16586000,-221630000,-21890000,-93046000,-316185000,-47439000,-100158000,282120000,947086000,276623000,144933000,1227797000,2243068000,1481504000,369609000,997656000,138532000,-2577000,10671000000,1268000000,198000000
95,Cash Used/Provided by Financing Activities,221600000,176500000,832800000,259400000,1526100000,-570000000,-291264000,2422000,-229173000,-32353000,-120650000,-340212000,-82436000,-136269000,-73322000,-4836000,-188146000,-45272000,921707000,1147903000,704480000,-117094000,124249000,188263000,-464817000,8887000000,-1460000000,-524000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
