,https://roic.ai/company/MKTX,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1142000,842000
14,Depreciation and Amortization,- -,6829173,4687589,3468000,4606000,6728000,7170000,7879000,6790000,6350000,6781000,8233000,13051000,17379000,18542000,17838000,19274000,23080000,32652000,42838000,60246000
15,EBITDA,-65096000,-29246065,9089737,20784000,16167000,15332000,24421000,20713000,36839000,57260000,85514000,94919000,127784000,135915000,166442000,209440000,221042000,241166000,290076000,418339000,395011000
16,EBITDA ratio,-9.8660,-1.5638,0.1555,0.2742,0.2058,0.1840,0.2608,0.2225,0.3219,0.3916,0.4722,0.4789,0.5353,0.5172,0.5491,0.5662,0.5561,0.5537,0.5673,0.6071,0.5651
17,Operating Income,-65096000,47274162,4402148,17316000,11561000,8604000,17251000,12834000,30049000,50910000,78733000,86686000,107280000,118536000,147900000,191602000,201768000,212584000,250882000,374728000,337235000
18,Operating Income ratio,-9.8660,2.5278,0.0753,0.2285,0.1472,0.1033,0.1842,0.1379,0.2626,0.3482,0.4348,0.4374,0.4494,0.4511,0.4880,0.5180,0.5076,0.4881,0.4906,0.5438,0.4825
19,Total Other Income Expenses (Gains),- -,674415,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5502000,6542000,-369000,-3312000
20,Income Before Tax,-65096000,- -,4402148,17316000,11561000,8604000,17251000,12834000,30049000,50910000,78733000,86686000,107280000,118536000,147900000,191602000,201768000,218086000,257424000,374359000,333923000
21,Income Before Tax Ratio,-9.8660,- -,0.0753,0.2285,0.1472,0.1033,0.1842,0.1379,0.2626,0.3482,0.4348,0.4374,0.4494,0.4511,0.4880,0.5180,0.5076,0.5007,0.5034,0.5432,0.4777
22,Income Tax expense (Gain),- -,- -,189500,-41330000,3419000,3183000,6931000,4935000,13947000,19482000,31029000,26617000,38717000,43730000,51863000,65430000,53679000,45234000,52522000,74982000,76035000
23,Net Income,-65096000,-36075238,4212648,58646000,8142000,5421000,10320000,7899000,16102000,31428000,47704000,60069000,76016000,74806000,96037000,126172000,148089000,172852000,204902000,299377000,257888000
24,Net Income ratio,-9.8660,-1.9290,0.0721,0.7737,0.1036,0.0651,0.1102,0.0849,0.1407,0.2149,0.2634,0.3031,0.3184,0.2847,0.3169,0.3411,0.3726,0.3968,0.4007,0.4344,0.3690
25,EPS,-24.08,-14.39,0.14,6.90,0.29,0.18,0.32,0.23,0.44,0.86,1.29,1.65,2.06,2.03,2.62,3.42,4.02,4.68,5.53,8.01,6.88
26,EPS Diluted,-24.08,-14.39,0.13,1.91,0.23,0.15,0.30,0.22,0.42,0.80,1.20,1.59,2.01,1.97,2.55,3.34,3.89,4.57,5.40,7.85,6.77
27,Weighted Average Shares Outstanding,3097994,3290326,31189923,7097682,28156505,30563437,32293036,32831000,33264000,33159177,37006000,36516000,36886000,36930000,36690000,36844000,36864000,36958000,37083000,37359000,37508000
28,Weighted Average Shares Outstanding Diluted,3097994,3290326,32899111,30638644,35512346,35077348,34453195,35737000,38082000,39051186,39608000,37816000,37888000,37889000,37637000,37738000,38038000,37855000,37956000,38144000,38097000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1278021/000095012306003136/y18398e10vk.htm,https://www.sec.gov/Archives/edgar/data/1278021/000095012307003811/y31603e10vk.htm,https://www.sec.gov/Archives/edgar/data/1278021/000095012308002433/y50504e10vk.htm,https://www.sec.gov/Archives/edgar/data/1278021/000095012309003922/0000950123-09-003922-index.html,https://www.sec.gov/Archives/edgar/data/1278021/000095012310017821/0000950123-10-017821-index.html,https://www.sec.gov/Archives/edgar/data/1278021/000095012311017944/c12988e10vk.htm,https://www.sec.gov/Archives/edgar/data/1278021/000119312512066932/0001193125-12-066932-index.html,https://www.sec.gov/Archives/edgar/data/1278021/000119312513069592/0001193125-13-069592-index.html,https://www.sec.gov/Archives/edgar/data/1278021/000119312514065153/d663037d10k.htm,https://www.sec.gov/Archives/edgar/data/1278021/000156459015000953/mktx-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1278021/000156459016013407/0001564590-16-013407-index.html,https://www.sec.gov/Archives/edgar/data/1278021/000156459017001915/0001564590-17-001915-index.html,https://www.sec.gov/Archives/edgar/data/1278021/000156459018002713/0001564590-18-002713-index.html,https://www.sec.gov/Archives/edgar/data/1278021/000156459019003476/0001564590-19-003476-index.html,https://www.sec.gov/Archives/edgar/data/1278021/000156459020004935/0001564590-20-004935-index.html,https://www.sec.gov/Archives/edgar/data/1278021/000156459021006981/0001564590-21-006981-index.htm,https://www.sec.gov/Archives/edgar/data/1278021/000095017022001811/0000950170-22-001811-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,20590661,97652000,58189000,82000000,72711000,107323000,103341000,124994000,169620000,128908000,132691000,168924000,199728000,168243000,167014000,246322000,270124000,460858000,506735000
32,Short-Term Investments,- -,14643741,15590518,9596000,63755000,52813000,56034000,35227000,70997000,4939000,78110000,51208000,67742000,64863000,84706000,- -,- -,- -,- -,- -,11195000
33,Cash and Short-Term Investments,- -,14643741,36181179,107248000,121944000,134813000,128745000,142550000,174338000,129933000,247730000,180116000,200433000,233787000,284434000,168243000,167014000,246322000,270124000,460858000,517930000
34,Net Receivables,- -,- -,9062768,14375000,14796000,17429000,18397000,13283000,23150000,25682000,36170000,31044000,34158000,33836000,40459000,50668000,52636000,57535000,62017000,359492000,472227000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,3199502,-2791000,42880000,41122000,47835000,4316000,4971000,72552000,- -,8096000,10640000,6685000,9880000,11618000,18717000,22468000,30770000,79098000,77225000
37,Total Current Assets,- -,- -,48443449,118832000,179620000,193364000,194977000,160149000,202459000,228167000,283900000,219256000,245231000,274308000,334773000,230529000,238367000,326325000,362911000,899448000,1067382000
38,PP&E,- -,3527212,3038332,5079000,4643000,4304000,2931000,3369000,6856000,9448000,14460000,18009000,32703000,32185000,30897000,31104000,38548000,63010000,153194000,161128000,167021000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,31784000,- -,31784000,59713000,59711000,59710000,59712000,59713000,59713000,146861000,147388000,154789000
40,Intangible Assets,- -,322390,4435747,- -,- -,6610000,9148000,44067000,40950000,7325000,- -,1350000,8984000,6708000,4431000,3731000,3346000,2962000,60986000,95354000,116376000
41,Intangible Assets,- -,322390,4435747,5587000,6199000,6610000,9148000,44067000,40950000,39109000,34544000,33134000,68697000,66419000,64141000,63443000,63059000,62675000,207847000,242742000,271165000
42,Investments,- -,- -,- -,5797000,59956000,49015000,51579000,- -,- -,- -,- -,- -,- -,- -,- -,194404000,239521000,240105000,230477000,28111000,24883000
43,Tax Assets,- -,- -,- -,41410000,39804000,38901000,37207000,35666000,23980000,19813000,8089000,9442000,4947000,6972000,9229000,8562000,1737000,3424000,501000,331000,- -
44,Other Non-Current Assets,- -,- -,1265056,- -,-99760000,-87916000,-97476000,3177000,3041000,2984000,8465000,- -,- -,- -,- -,- -,- -,- -,- -,-331000,- -
45,Total Non-Current Assets,- -,- -,8739135,57873000,10842000,10914000,3389000,86279000,74827000,71354000,65558000,60585000,106347000,105576000,104267000,297513000,342865000,369214000,592019000,431981000,463069000
46,Other Assets,- -,39436744,- -,234578000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,926139000
47,Total Assets,- -,39436744,57182584,176705000,190462000,204278000,198366000,246428000,277286000,299521000,349458000,279841000,351578000,379884000,439040000,528042000,581232000,695539000,954930000,1331429000,1530452000
48,Accounts Payable,- -,- -,4772224,5821000,6824000,5514000,- -,- -,- -,- -,- -,12344000,14692000,11961000,12257000,15149000,14241000,29366000,19294000,44354000,71218000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42750000,40456000
51,Deferred Revenue,- -,- -,3670798,- -,- -,- -,- -,2303000,4262000,4571000,5326000,4864000,2713000,2465000,2312000,2515000,2660000,2810000,3499000,4248000,- -
52,Other Current Liabilities,- -,- -,9345997,- -,- -,- -,- -,19317000,26207000,30159000,31693000,- -,- -,5940000,4463000,7582000,13061000,16432000,16690000,171828000,269781000
53,Total Current Liabilities,- -,- -,17789019,- -,- -,- -,- -,21620000,30469000,34730000,37019000,17208000,17405000,20366000,19032000,25246000,29962000,48608000,39483000,220430000,340999000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93612000,88425000
55,Deferred Revenue,- -,- -,- -,2804000,926000,857000,826000,- -,- -,- -,- -,4864000,2713000,2465000,2312000,2515000,2660000,2810000,3499000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,159663671,- -,- -,- -,- -,30315000,30315000,30315000,- -,15052000,21098000,22845000,26984000,32268000,33842000,36243000,141857000,62326000,59719000
58,Total Non-Current Liabilities,- -,- -,159663671,- -,- -,- -,- -,30315000,30315000,30315000,- -,19916000,23811000,25310000,29296000,34783000,36502000,39053000,145356000,155938000,148144000
59,Other Liabilities,- -,34599524,- -,20428000,19598000,18993000,23969000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97991000,93612000,88425000
61,Total Liabilities,- -,34599524,177452690,20428000,19598000,18993000,23969000,51935000,60784000,65045000,37019000,37124000,41216000,45676000,48328000,60029000,66464000,87661000,184839000,376368000,489143000
62,Preferred Stock,- -,- -,1754,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,7941,8002,82000,89000,99000,108000,111000,113000,117000,113000,118000,119000,120000,121000,120000,121000,122000,122000,123000,123000
64,Retained Earnings,- -,-141341514,-148583487,-99578000,-92495000,-87074000,-76754000,-68855000,-55403000,-34605000,-584000,-5644000,51042000,101813000,168011000,255140000,353583000,463252000,591086000,799369000,956966000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-1000000,-1000000,-1000000,-1000000,-2000000,-2000000,-3000000,-4000000,-5000000,-5000000,-12000000,-10000000,-12000000,-10000000,-4650000,-13330000
66,Other Total Stockholders Equity,- -,146170793,28303625,255773000,263270000,273260000,252043000,264237000,272792000,270964000,314910000,251243000,263201000,237275000,227581000,224753000,171064000,156504000,188883000,160219000,97550000
67,Total Stockholders Equity,- -,4837220,-120270106,156277000,170864000,185285000,174397000,194493000,216502000,234476000,312439000,242717000,310362000,334208000,390713000,468013000,514768000,607878000,770091000,955061000,1041309000
68,Total Liabilities And Stockholders Equity,- -,39436744,57182584,176705000,190462000,204278000,198366000,246428000,277286000,299521000,349458000,279841000,351578000,379884000,439041000,528042000,581232000,695539000,954930000,1331429000,1530452000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,39436744,57182584,176705000,190462000,204278000,198366000,246428000,277286000,299521000,349458000,279841000,351578000,379884000,439040000,528042000,581232000,695539000,954930000,1331429000,1530452000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1278021/000095012306003136/y18398e10vk.htm,https://www.sec.gov/Archives/edgar/data/1278021/000095012307003811/y31603e10vk.htm,https://www.sec.gov/Archives/edgar/data/1278021/000095012308002433/y50504e10vk.htm,https://www.sec.gov/Archives/edgar/data/1278021/000095012309003922/0000950123-09-003922-index.html,https://www.sec.gov/Archives/edgar/data/1278021/000095012310017821/0000950123-10-017821-index.html,https://www.sec.gov/Archives/edgar/data/1278021/000095012311017944/c12988e10vk.htm,https://www.sec.gov/Archives/edgar/data/1278021/000119312512066932/0001193125-12-066932-index.html,https://www.sec.gov/Archives/edgar/data/1278021/000119312513069592/0001193125-13-069592-index.html,https://www.sec.gov/Archives/edgar/data/1278021/000119312514065153/d663037d10k.htm,https://www.sec.gov/Archives/edgar/data/1278021/000156459015000953/mktx-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1278021/000156459016013407/0001564590-16-013407-index.html,https://www.sec.gov/Archives/edgar/data/1278021/000156459017001915/0001564590-17-001915-index.html,https://www.sec.gov/Archives/edgar/data/1278021/000156459018002713/0001564590-18-002713-index.html,https://www.sec.gov/Archives/edgar/data/1278021/000156459019003476/0001564590-19-003476-index.html,https://www.sec.gov/Archives/edgar/data/1278021/000156459020004935/0001564590-20-004935-index.html,https://www.sec.gov/Archives/edgar/data/1278021/000156459021006981/0001564590-21-006981-index.htm,https://www.sec.gov/Archives/edgar/data/1278021/000095017022001811/0000950170-22-001811-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-36075238,4212648,58646000,8142000,5421000,10320000,7899000,16102000,31428000,47704000,60069000,76016000,74806000,96037000,126172000,148089000,172852000,204902000,299377000,257888000
74,Depreciation and Amortization,- -,6829173,4687589,3468000,4606000,6728000,7170000,7879000,6790000,6350000,6781000,8233000,13051000,17379000,18542000,17838000,19274000,23080000,32652000,42838000,60246000
75,Deferred Income Tax,- -,- -,- -,-41410000,547000,903000,4696000,4819000,12255000,15767000,16129000,-643000,1001000,-374000,-2424000,-2581000,6590000,-1258000,2682000,10099000,3118000
76,Stock Based Compensation,- -,- -,1542790,- -,- -,- -,- -,7061000,8414000,8969000,6859000,8385000,8879000,9769000,12519000,14511000,14421000,15850000,25294000,25613000,27314000
77,Change in Working Capital,- -,3455018,30654430,-30654430,179620000,13744000,1613000,-56448000,33461000,21447000,53444000,-44833000,25778000,26116000,61799000,-110458000,3122000,69312000,45711000,355590000,-66009000
78,Accounts Receivable,- -,718175,-5973385,-7306000,-856000,-2439000,-1281000,5785000,- -,-3134000,-11665000,4607000,-1714000,827000,-6748000,-10429000,-2353000,-5117000,-2962000,-200886000,-141311000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,1009334,-245494,2638000,-833000,-605000,2169000,-3238000,2820000,- -,- -,-714000,1181000,-950000,-9000,2344000,-1614000,14374000,-1509000,139332000,96214000
81,Other Working Capital,- -,- -,30654430,- -,179620000,193364000,194977000,138529000,171990000,193437000,246881000,202048000,227826000,253942000,315741000,205283000,208405000,277717000,323428000,679018000,-4913000
82,Other Non-Cash Items,- -,8163212,-23936577,30322430,-176007000,-9695000,5321000,56424000,-33695000,-19815000,-65439000,50371000,-33846000,-17744000,-66277000,34807000,-23461000,-55919000,-45306000,-329028000,-466000
83,Cash Provided by Operating Activities,- -,-17627835,17160880,20372000,16908000,17101000,29120000,27634000,43327000,64146000,65478000,81582000,90879000,109952000,120196000,80289000,168035000,223917000,265935000,404489000,282091000
84,CAPEX,- -,-1059093,-4721390,-10376000,-6167000,-9448000,-6436000,-4042000,-6798000,-7109000,-7225000,-10360000,-23282000,-14787000,-15384000,-18503000,-25557000,-47593000,-34700000,-45628000,-50616000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-3000000,-35000000,-1000000,- -,- -,- -,-28000000,- -,- -,- -,- -,- -,-97000000,-23297000,-17078000
86,Purchases of Investments,- -,-45653120,-45314000,-55885000,-152644000,-80110000,-48722000,-29959000,-57406000,-66008000,-32302000,-16543000,-60755000,-16423000,-57175000,-81438000,-215831000,-336533000,-160827000,-32865000,- -
87,Sales/Maturities of Investments,- -,57622044,41167721,65387000,98391000,182255000,45585000,46281000,22062000,65365000,27419000,41976000,43415000,17574000,35248000,46347000,187794000,333791000,170936000,170657000,- -
88,Other Investing Activites,- -,-1369925,-3330306,-3588000,-3395000,-95253000,-3509000,-2144000,-2912000,-1872000,-533000,-5250000,-17790000,-9549000,-11231000,-11704000,-13530000,-11666000,-22868000,-30618000,-33123000
89,Cash Used for Investing Activites,- -,9539906,-8867669,2520000,-59034000,4231000,-11179000,-22499000,-44165000,-7720000,-8576000,15030000,-78467000,-13025000,-37953000,-53180000,-53653000,-50296000,-122051000,68867000,-67694000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-578356000,-70348000
91,Common Stock Issued,- -,8400000,80449,59052000,2709000,2653000,5191000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-141,- -,- -,- -,-2653000,-39765000,-2773000,- -,-30000000,-6935000,-75133000,- -,-37974000,-23158000,-23925000,-42461000,-25171000,-17256000,-16135000,-63189000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-2650000,-10630000,-13683000,-64041000,-19837000,-23941000,-29534000,-38495000,-48888000,-62432000,-76231000,-90566000,-99792000
94,Other Financing Activites,- -,- -,-4,-4883000,- -,2818000,7559000,33084000,4000,6781000,9419000,2999000,2763000,1692000,1638000,6584000,-25719000,-5070000,-24613000,539945000,43554000
95,Cash Used/Provided by Financing Activities,- -,8399859,80445,54169000,2709000,2818000,-27015000,30311000,-2646000,-33849000,-11199000,-136175000,-17074000,-60223000,-51054000,-55836000,-117068000,-92673000,-118100000,-145112000,-189775000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-46000,-339000,-215000,-834000,-498000,-924000,-1077000,-1149000,-901000,-471000,-385000,-2758000,1457000,-1640000,1011000,5553000,-7105000
97,Net Change In Cash,- -,311930,8373656,77061000,-39463000,23811000,-9289000,34612000,-3982000,21653000,44626000,-40712000,3783000,36233000,30804000,-31485000,-1229000,79308000,26795000,333797000,17517000
98,Cash at the End of Period,- -,12217005,20590661,97652000,58189000,82000000,72711000,107323000,103341000,124994000,169620000,128908000,132691000,168924000,199728000,168243000,167014000,247458000,274253000,608050000,625567000
99,Cash at the Beginning of Period,- -,11905075,12217005,20591000,97652000,58189000,82000000,72711000,107323000,103341000,124994000,169620000,128908000,132691000,168924000,199728000,168243000,168150000,247458000,274253000,608050000
100,Free Cash Flow,- -,-18686928,12439490,9996000,10741000,7653000,22684000,23592000,36529000,57037000,58253000,71222000,67597000,95165000,104812000,61786000,142478000,176324000,231235000,358861000,231475000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1278021/000095012306003136/y18398e10vk.htm,https://www.sec.gov/Archives/edgar/data/1278021/000095012307003811/y31603e10vk.htm,https://www.sec.gov/Archives/edgar/data/1278021/000095012308002433/y50504e10vk.htm,https://www.sec.gov/Archives/edgar/data/1278021/000095012309003922/0000950123-09-003922-index.html,https://www.sec.gov/Archives/edgar/data/1278021/000095012310017821/0000950123-10-017821-index.html,https://www.sec.gov/Archives/edgar/data/1278021/000095012311017944/c12988e10vk.htm,https://www.sec.gov/Archives/edgar/data/1278021/000119312512066932/0001193125-12-066932-index.html,https://www.sec.gov/Archives/edgar/data/1278021/000119312513069592/0001193125-13-069592-index.html,https://www.sec.gov/Archives/edgar/data/1278021/000119312514065153/d663037d10k.htm,https://www.sec.gov/Archives/edgar/data/1278021/000156459015000953/mktx-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1278021/000156459016013407/0001564590-16-013407-index.html,https://www.sec.gov/Archives/edgar/data/1278021/000156459017001915/0001564590-17-001915-index.html,https://www.sec.gov/Archives/edgar/data/1278021/000156459018002713/0001564590-18-002713-index.html,https://www.sec.gov/Archives/edgar/data/1278021/000156459019003476/0001564590-19-003476-index.html,https://www.sec.gov/Archives/edgar/data/1278021/000156459020004935/0001564590-20-004935-index.html,https://www.sec.gov/Archives/edgar/data/1278021/000156459021006981/0001564590-21-006981-index.htm,https://www.sec.gov/Archives/edgar/data/1278021/000095017022001811/0000950170-22-001811-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
