,https://roic.ai/company/LAZ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,47373000,34618000,45074000,89942000,81945000,29233000,20967000,14609000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,53875000,78365000,104254000,137110000,139899000,107890000,97709000,90126000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,16938000,17284000,40600000,149252000,25421000,27531000,30579000,36495000,39214000,44864000,40851000,38606000,68511000,41012000,18206000,54982000,36890000,38315000
15,EBITDA,- -,- -,- -,346162000,315696000,306651000,522020000,193837000,11190000,352494000,346478000,154623000,256769000,553530000,15427000,579978000,860194000,693648000,436464000,538800000,747682000
16,EBITDA ratio,- -,- -,- -,0.2716,0.2426,0.2053,0.2722,0.1245,0.0073,0.1850,0.1894,0.0775,0.1244,0.2342,0.0064,0.2433,0.3188,0.2404,0.1637,0.2036,0.2284
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123885000,216807000,519465000,-16620000,517461000,825446000,680766000,392698000,502141000,723848000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0621,0.1050,0.2198,-0.0069,0.2171,0.3060,0.2360,0.1472,0.1897,0.2211
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,304880000,357861000,438736000,269842000,220047000,161797000,235658000,25140000,-182234000,243650000,235499000,123885000,216807000,519465000,-16620000,517461000,825446000,680766000,392698000,502141000,723848000
21,Income Before Tax Ratio,Infinity,Infinity,Infinity,0.2118,0.1691,0.1083,0.1229,0.0161,-0.1191,0.1279,0.1287,0.0621,0.1050,0.2198,-0.0069,0.2171,0.3060,0.2360,0.1472,0.1897,0.2211
22,Income Tax expense (Gain),- -,- -,- -,28375000,58985000,68812000,80616000,25379000,6011000,49227000,44940000,31100000,51693000,85402000,-1009552000,123769000,565599000,148317000,94982000,99449000,181303000
23,Net Income,305777000,297447000,250383000,246974000,161062000,92985000,155042000,3138000,-130242000,174979000,174917000,84309000,160212000,427277000,986373000,387698000,253583000,527125000,286500000,402461000,528064000
24,Net Income ratio,Infinity,Infinity,Infinity,0.1938,0.1238,0.0623,0.0808,0.0020,-0.0851,0.0918,0.0956,0.0423,0.0776,0.1808,0.4102,0.1626,0.0940,0.1827,0.1074,0.1521,0.1613
25,EPS,8.15,7.93,6.68,0.88,1.45,2.42,3.04,0.06,-1.68,1.68,1.48,0.72,1.33,3.49,7.87,3.11,2.09,4.43,2.57,3.69,4.94
26,EPS Diluted,8.15,7.93,6.68,0.88,1.45,2.31,2.79,0.06,-1.68,1.36,1.36,0.65,1.21,3.20,7.40,2.92,1.91,4.06,2.44,3.54,4.94
27,Weighted Average Shares Outstanding,37500001,37500001,37500001,37500001,37500000,38432815,51185639,60874734,78311947,104411253,118032020,116953989,120854267,122351836,125366272,124770401,121573442,119006531,110189862,106862739,104689273
28,Weighted Average Shares Outstanding Diluted,37500001,37500001,37500001,37500001,37561138,44166131,62212617,60874734,78311947,138469654,137629525,129325622,133737079,133813123,133244546,132633630,132479728,129767592,116079806,113483380,112278982
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1311370/000119312506060148/d10k.htm,https://www.sec.gov/Archives/edgar/data/1311370/000119312507043025/d10k.htm,https://www.sec.gov/Archives/edgar/data/1311370/000119312508042008/d10k.htm,https://www.sec.gov/Archives/edgar/data/1311370/000119312509041325/0001193125-09-041325-index.html,https://www.sec.gov/Archives/edgar/data/1311370/000119312510043338/0001193125-10-043338-index.html,https://www.sec.gov/Archives/edgar/data/1311370/000119312511050089/d10k.htm,https://www.sec.gov/Archives/edgar/data/1311370/000119312512086393/0001193125-12-086393-index.html,https://www.sec.gov/Archives/edgar/data/1311370/000119312513084745/0001193125-13-084745-index.html,https://www.sec.gov/Archives/edgar/data/1311370/000119312514073418/d621507d10k.htm,https://www.sec.gov/Archives/edgar/data/1311370/000119312515066358/d813020d10k.htm,https://www.sec.gov/Archives/edgar/data/1311370/000119312516478536/0001193125-16-478536-index.html,https://www.sec.gov/Archives/edgar/data/1311370/000156459017002432/0001564590-17-002432-index.html,https://www.sec.gov/Archives/edgar/data/1311370/000156459018003288/0001564590-18-003288-index.html,https://www.sec.gov/Archives/edgar/data/1311370/000156459019004164/0001564590-19-004164-index.html,https://www.sec.gov/Archives/edgar/data/1311370/000156459020006094/0001564590-20-006094-index.html,https://www.sec.gov/Archives/edgar/data/1311370/000156459021009197/0001564590-21-009197-index.htm,https://www.sec.gov/Archives/edgar/data/1311370/000156459022007675/0001564590-22-007675-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,273668000,492309000,969483000,1055844000,909707000,917329000,1566234000,1289828000,850190000,841482000,1066580000,1132083000,1158785000,1483836000,1246537000,1231593000,1389876000,1465022000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,292494000,244879000,207760000,389861000,419668000,935431000,1006969000,1180686000,1134463000,1347544000
33,Cash and Short-Term Investments,- -,- -,- -,273668000,492309000,969483000,1055844000,909707000,917329000,1566234000,1289828000,1142684000,1086361000,1274340000,1521944000,1578453000,2419267000,2253506000,2412279000,2524339000,2812566000
34,Net Receivables,- -,- -,- -,891524000,748020000,1234896000,1097178000,712526000,669475000,568704000,633709000,615437000,622689000,650756000,527892000,670049000,610420000,720973000,722186000,792288000,805809000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,654572000,987341000,1499482000,1065554000,1243178000,-27493000,-138382000,150980000,165193000,154491000,173749000,114386000,152489000,181007000,160976000,228343000,617448000
37,Total Current Assets,- -,- -,- -,- -,1894901000,3191720000,3652504000,2687787000,2829982000,2107445000,1785155000,1909101000,1874243000,2079587000,2223585000,2362888000,3182176000,3155486000,3295441000,3544970000,4235823000
38,PP&E,- -,- -,- -,199453000,156630000,168310000,185509000,171443000,166913000,150524000,168429000,225033000,248796000,222569000,207165000,209021000,205301000,212946000,771346000,771510000,466054000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,313229000,356657000,364328000,345453000,335402000,320761000,373117000,385292000,371561000,371773000,383861000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,48210000,36442000,28494000,18424000,12036000,6215000,8907000,6072000,3757000,1821000,210000,- -
41,Intangible Assets,- -,- -,- -,17205000,15996000,16945000,187909000,175144000,317780000,361439000,393099000,392822000,363877000,347438000,326976000,382024000,391364000,375318000,373594000,384071000,379571000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,414673000,478105000,620352000,541911000,459422000,427186000,575148000,531995000,658532000,1007339000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1130595000,1075777000,650260000,597776000,586750000,538448000,435308000
44,Other Non-Current Assets,- -,- -,- -,- -,-156630000,-168310000,-185509000,-171443000,-166913000,803124000,735253000,45264000,46116000,62290000,56534000,67376000,72390000,80567000,80455000,74330000,623086000
45,Total Non-Current Assets,- -,- -,- -,- -,15996000,16945000,187909000,175144000,317780000,1315087000,1296781000,1077792000,1136894000,1252649000,2263181000,2193620000,1746501000,1841755000,2344140000,2426891000,2911358000
46,Other Assets,- -,2460725000,3257229000,3499224000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2460725000,3257229000,3499224000,1910897000,3208665000,3840413000,2862931000,3147762000,3422532000,3081936000,2986893000,3011137000,3332236000,4486766000,4556508000,4928677000,4997241000,5639581000,5971861000,7147181000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,288427000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121854000,119940000,131280000,109438000,99278000,123548000,130261000,138363000,139705000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,269763000,275434000,314284000,506665000,472283000,992338000,1154207000,1246200000,1291865000,1442701000
52,Other Current Liabilities,- -,- -,- -,- -,1559500000,2161900000,2032600000,1374600000,1555500000,1543200000,990473000,269048000,256617000,264008000,237934000,223999000,279099000,296373000,317638000,320429000,- -
53,Total Current Liabilities,- -,- -,- -,- -,1559500000,2161900000,2032600000,1374600000,1555500000,1543200000,1278900000,538811000,532051000,578292000,744599000,696282000,1271437000,1450580000,1563838000,1612294000,1442701000
54,Long-Term Debt,- -,- -,- -,370777000,1222082000,1287057000,1737500000,1237750000,1236850000,1226850000,1076850000,1076850000,1048350000,1048350000,998350000,1188600000,1190383000,1434260000,1679562000,2289704000,2237749000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,269763000,275434000,25942000,30178000,35717000,45390000,80995000,97964000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112691000,- -,- -,- -,11104000,9168000,9407000,5571000,3511000,1041000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,18000,43000,- -,50000,50000,50000,-112641000,449929000,525304000,909595000,1335229000,1332928000,1153155000,1055742000,1613132000,1069389000,1813767000
58,Total Non-Current Liabilities,- -,- -,- -,370777000,1222100000,1287100000,1737500000,1237800000,1236900000,1226900000,1076900000,1796542000,1849088000,1983887000,2374861000,2566413000,2398335000,2576568000,3394169000,3360134000,4051516000
59,Other Liabilities,- -,1811814000,2721504000,3310483000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,51546000,23844000,25445000,27122000,26825000,24628000,22903000,20084000,17863000,15834000,12015000,9028000,7205000,- -,- -,644345000,606963000,552522000
61,Total Liabilities,- -,1811814000,2721504000,2939706000,2669839000,3393521000,3717299000,2551179000,2624665000,2626415000,2215080000,2335353000,2381139000,2562179000,3119460000,3262695000,3669772000,4027148000,4958007000,4972428000,5494217000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,375000,516000,517000,763000,922000,1197000,1230000,1282000,1291000,1298000,1298000,1298000,1298000,1298000,1128000,1128000,1128000
64,Retained Earnings,- -,- -,- -,- -,48986000,127608000,248551000,221410000,52726000,166468000,258646000,182647000,203236000,464655000,1123728000,1134186000,1080413000,1195563000,1193570000,1295386000,1560636000
65,Other Comprehensive Income/Loss,- -,- -,- -,384798000,-34342000,32494000,52491000,-79435000,-57048000,-46158000,-88364000,-110541000,-133004000,-200766000,-234356000,-314222000,-232518000,-273818000,-293648000,-238368000,-223847000
66,Other Total Stockholders Equity,- -,648911000,535725000,559518000,-885690000,-400971000,-231220000,107842000,358791000,530891000,554631000,496268000,488686000,441557000,422785000,414725000,350610000,-6192000,-291059000,-146374000,-362697000
67,Total Stockholders Equity,- -,648911000,535725000,384798000,-870671000,-240353000,70339000,250580000,355391000,652398000,726143000,569656000,560209000,706744000,1313455000,1235987000,1199803000,916851000,609991000,911772000,975220000
68,Total Liabilities And Stockholders Equity,- -,2460725000,3257229000,3324504000,1799168000,3153168000,3787638000,2801759000,2980056000,3278813000,2941223000,2905009000,2941348000,3268923000,4432915000,4498682000,4869575000,4943999000,5567998000,5884200000,6469437000
69,Minority Interest,- -,- -,- -,174720000,111729000,55497000,52775000,61172000,167706000,143719000,140713000,81884000,69789000,63313000,53851000,57826000,59102000,53242000,71583000,87661000,677744000
70,Total Liabilities & Equity,- -,2460725000,3257229000,3499224000,1910897000,3208665000,3840413000,2862931000,3147762000,3422532000,3081936000,2986893000,3011137000,3332236000,4486766000,4556508000,4928677000,4997241000,5639581000,5971861000,7147181000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1311370/000119312506060148/d10k.htm,https://www.sec.gov/Archives/edgar/data/1311370/000119312507043025/d10k.htm,https://www.sec.gov/Archives/edgar/data/1311370/000119312508042008/d10k.htm,https://www.sec.gov/Archives/edgar/data/1311370/000119312509041325/0001193125-09-041325-index.html,https://www.sec.gov/Archives/edgar/data/1311370/000119312510043338/0001193125-10-043338-index.html,https://www.sec.gov/Archives/edgar/data/1311370/000119312511050089/d10k.htm,https://www.sec.gov/Archives/edgar/data/1311370/000119312512086393/0001193125-12-086393-index.html,https://www.sec.gov/Archives/edgar/data/1311370/000119312513084745/0001193125-13-084745-index.html,https://www.sec.gov/Archives/edgar/data/1311370/000119312514073418/d621507d10k.htm,https://www.sec.gov/Archives/edgar/data/1311370/000119312515066358/d813020d10k.htm,https://www.sec.gov/Archives/edgar/data/1311370/000119312516478536/0001193125-16-478536-index.html,https://www.sec.gov/Archives/edgar/data/1311370/000156459017002432/0001564590-17-002432-index.html,https://www.sec.gov/Archives/edgar/data/1311370/000156459018003288/0001564590-18-003288-index.html,https://www.sec.gov/Archives/edgar/data/1311370/000156459019004164/0001564590-19-004164-index.html,https://www.sec.gov/Archives/edgar/data/1311370/000156459020006094/0001564590-20-006094-index.html,https://www.sec.gov/Archives/edgar/data/1311370/000156459021009197/0001564590-21-009197-index.htm,https://www.sec.gov/Archives/edgar/data/1311370/000156459022007675/0001564590-22-007675-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,246974000,161062000,92985000,155042000,3138000,-130242000,174979000,174917000,84309000,160212000,427277000,986373000,387698000,253583000,527125000,286500000,402461000,528064000
74,Depreciation and Amortization,- -,- -,- -,16938000,17284000,40600000,149252000,25421000,27531000,30579000,36495000,39214000,44864000,40851000,38606000,68511000,41012000,18206000,54982000,36890000,38315000
75,Deferred Income Tax,- -,- -,- -,- -,-7558000,-4290000,-16391000,-31652000,-23434000,8116000,7214000,-4457000,14454000,15628000,-553094000,63660000,298617000,38891000,24369000,46709000,90643000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,394114000
77,Change in Working Capital,- -,- -,- -,74449000,335401000,694419000,590084000,-306717000,-38705000,-710237000,-57990000,864035000,-28098000,159103000,-22309000,187620000,244133000,-205833000,26697000,201073000,860446000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,335401000,1029820000,1619904000,1313187000,1274482000,564245000,506255000,1370290000,1342192000,1501295000,1478986000,1666606000,1910739000,1704906000,1731603000,1932676000,2793122000
82,Other Non-Cash Items,- -,- -,- -,87920000,387414000,-585675000,-806257000,815700000,409625000,665361000,237166000,-501193000,335265000,93158000,437720000,-106202000,178097000,320649000,285405000,-111202000,-1045503000
83,Cash Provided by Operating Activities,- -,- -,- -,426281000,893603000,238039000,71730000,505890000,244775000,168798000,397802000,481908000,526697000,736017000,887296000,601287000,1015442000,699038000,677953000,575931000,866079000
84,CAPEX,- -,- -,- -,-19012000,-7815000,-8192000,-14526000,-18509000,-11913000,-13382000,-46438000,-89301000,-60964000,-22184000,-26629000,-38749000,-27670000,-49593000,-42757000,-64286000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-135060000,-74855000,-39139000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-73235000,-147340000,-139561000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,88033000,93472000,424675000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-10296000,3879000,-8192000,-14526000,743000,583000,432000,1161000,4368000,6411000,2085000,677000,1096000,750000,3384000,509000,1347000,-39056000
89,Cash Used for Investing Activites,- -,- -,- -,-10296000,3879000,-8192000,-222821000,-151928000,-96558000,411725000,-45277000,-84933000,-54553000,-20099000,-25952000,-37653000,-26920000,-46209000,-42248000,-62939000,-39056000
90,Debt Repayment,- -,- -,- -,-16421000,-74265000,-35697000,-147423000,-489959000,-3615000,-12775000,-131829000,-2519000,-581123000,-2171000,-510924000,-103060000,-7337000,-255611000,-255746000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,437500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-277064000,-50479000,-157229000,-205629000,-354464000,-132477000,-192657000,-172772000,-300217000,-306741000,-552872000,-494687000,-95227000,- -
93,Dividends Paid,- -,- -,- -,- -,-593885000,-13480000,-18308000,-100636000,-33451000,-50581000,-70572000,-135108000,-121620000,-146241000,-290684000,-336138000,-341450000,-359639000,-254924000,-196598000,-195944000
94,Other Financing Activites,- -,- -,- -,-453466000,-29551000,279066000,409001000,-6856000,-78017000,-57301000,-144329000,-71129000,348148000,-94300000,227576000,252463000,-84865000,442018000,561307000,-255526000,391780000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-469887000,-697701000,229889000,243270000,-437015000,-165562000,-277886000,-552359000,-563220000,-487072000,-435369000,-746804000,-486952000,-740393000,-726104000,-444050000,-547351000,195836000
96,Effect of Forex Changes on Cash,- -,- -,- -,11753000,-13225000,17438000,-5818000,-63084000,24967000,-10271000,-6070000,12644000,6220000,-55451000,-49037000,-49980000,76922000,-89646000,-27981000,147627000,-161672000
97,Net Change In Cash,- -,- -,- -,-42149000,186556000,477174000,86361000,-146137000,7622000,292366000,-205904000,-153601000,-8708000,225098000,65503000,26702000,325051000,-162921000,163674000,113268000,861187000
98,Cash at the End of Period,- -,- -,- -,273668000,492309000,969483000,1055844000,909707000,917329000,1209695000,1003791000,850190000,841482000,1066580000,1132083000,1158785000,1483836000,2291885000,2455559000,2568827000,- -
99,Cash at the Beginning of Period,- -,- -,- -,315817000,305753000,492309000,969483000,1055844000,909707000,917329000,1209695000,1003791000,850190000,841482000,1066580000,1132083000,1158785000,2454806000,2291885000,2455559000,- -
100,Free Cash Flow,- -,- -,- -,407269000,885788000,229847000,57204000,487381000,232862000,155416000,351364000,392607000,465733000,713833000,860667000,562538000,987772000,649445000,635196000,511645000,866079000
101,SEC Link,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1311370/000119312506060148/d10k.htm,https://www.sec.gov/Archives/edgar/data/1311370/000119312507043025/d10k.htm,https://www.sec.gov/Archives/edgar/data/1311370/000119312508042008/d10k.htm,https://www.sec.gov/Archives/edgar/data/1311370/000119312509041325/0001193125-09-041325-index.html,https://www.sec.gov/Archives/edgar/data/1311370/000119312510043338/0001193125-10-043338-index.html,https://www.sec.gov/Archives/edgar/data/1311370/000119312511050089/d10k.htm,https://www.sec.gov/Archives/edgar/data/1311370/000119312512086393/0001193125-12-086393-index.html,https://www.sec.gov/Archives/edgar/data/1311370/000119312513084745/0001193125-13-084745-index.html,https://www.sec.gov/Archives/edgar/data/1311370/000119312514073418/d621507d10k.htm,https://www.sec.gov/Archives/edgar/data/1311370/000119312515066358/d813020d10k.htm,https://www.sec.gov/Archives/edgar/data/1311370/000119312516478536/0001193125-16-478536-index.html,https://www.sec.gov/Archives/edgar/data/1311370/000156459017002432/0001564590-17-002432-index.html,https://www.sec.gov/Archives/edgar/data/1311370/000156459018003288/0001564590-18-003288-index.html,https://www.sec.gov/Archives/edgar/data/1311370/000156459019004164/0001564590-19-004164-index.html,https://www.sec.gov/Archives/edgar/data/1311370/000156459020006094/0001564590-20-006094-index.html,https://www.sec.gov/Archives/edgar/data/1311370/000156459021009197/0001564590-21-009197-index.htm,https://www.sec.gov/Archives/edgar/data/1311370/000156459022007675/0001564590-22-007675-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
