,https://roic.ai/company/SLB,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,5244000000,4475800000,4165000000,4458300000,4217300000,4648600000,5414200000,5629600000,6071500000,6100000000,6861300000,7944700000,8999300000,10524200000,8088600000,8797955000,12476982000,15475043000,12989217000,9894084000,11548131000,14334120000,16809030000,20465060000,18820000000,23068000000,32918000000,34629000000,36921000000,39090000000,29909000000,25525000000,27762000000,29624000000,29911000000,21945000000,20164000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119000000,61000000,50000000,40000000,30000000,33000000,51000000,52000000,110000000,128000000,60000000,41000000,33000000,33000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,247252000,221000000,207000000,298000000,340000000,391000000,369000000,346000000,570000000,566000000,575000000,609000000,563000000,539000000
14,Depreciation and Amortization,- -,- -,- -,- -,519700000,552300000,659600000,708800000,790200000,776200000,820200000,885200000,972500000,1136300000,1020900000,1270754000,1896119000,1545053000,1570851000,1307931000,1350969000,1561410000,1953987000,2268508000,2476000000,2759000000,3281000000,3500000000,3666000000,4094000000,4078000000,4094000000,3837000000,3556000000,3589000000,2566000000,2120000000
15,EBITDA,616900000,-1911700000,398600000,588500000,1050400000,1250700000,1641300000,1456800000,1206100000,1393700000,1590600000,1561000000,2640900000,2459200000,1528400000,2233598000,2993760000,-495820000,2163239000,2808750000,4239863000,6460829000,8578436000,9380685000,6601000000,8123000000,10121000000,11053000000,12637000000,11829000000,7242000000,2699000000,3228000000,6716000000,-6250000000,-8201000000,4986000000
16,EBITDA ratio,0.1008,-0.4185,0.0905,0.1195,0.2242,0.2357,0.2671,0.2301,0.1799,0.2081,0.2087,0.1743,0.2480,0.2081,0.1821,0.2324,0.2140,-0.0364,0.1539,0.2447,0.2963,0.3360,0.3685,0.3455,0.2907,0.2960,0.2560,0.2622,0.2792,0.2435,0.2041,0.0971,0.1060,0.2047,-0.1899,-0.3475,0.2175
17,Operating Income,875000000,92600000,237000000,466200000,468700000,657600000,731000000,701900000,634000000,596800000,760400000,1011500000,1648300000,1291400000,306300000,813507000,1511082000,-1862313000,1069880000,1586081000,2761051000,4896358000,6467512000,6687707000,3885000000,4379000000,6622000000,7520000000,8345000000,9490000000,5566000000,2285000000,2678000000,3191000000,3006000000,1656000000,3365000000
18,Operating Income ratio,0.1430,0.0203,0.0538,0.0947,0.1000,0.1239,0.1190,0.1109,0.0945,0.0891,0.0998,0.1129,0.1548,0.1093,0.0365,0.0846,0.1080,-0.1368,0.0761,0.1382,0.1930,0.2546,0.2779,0.2463,0.1711,0.1595,0.1675,0.1784,0.1844,0.1953,0.1569,0.0822,0.0880,0.0972,0.0913,0.0702,0.1468
19,Total Other Income Expenses (Gains),-258100000,-1641300000,381600000,122300000,62000000,40800000,250700000,46100000,29900000,20700000,10000000,-335700000,20100000,31500000,163800000,147174000,-384896000,-367973000,-502137000,-258644000,210679000,51800000,156937000,164748000,49000000,777000000,-284000000,-329000000,346000000,-1851000000,-2685000000,-4190000000,-3861000000,-567000000,-13424000000,-12954000000,-991000000
20,Income Before Tax,616900000,-1548700000,618600000,588500000,530700000,698400000,981700000,748000000,663900000,617500000,770400000,675800000,1668400000,1322900000,470100000,960681000,1126186000,-2230286000,567743000,1327437000,2971730000,4948158000,6624449000,6852455000,3934000000,5156000000,6338000000,7191000000,8691000000,7639000000,2881000000,-1905000000,-1183000000,2624000000,-10418000000,-11298000000,2374000000
21,Income Before Tax Ratio,0.1008,-0.3390,0.1405,0.1195,0.1133,0.1316,0.1598,0.1181,0.0990,0.0922,0.1011,0.0755,0.1567,0.1120,0.0560,0.1000,0.0805,-0.1638,0.0404,0.1156,0.2077,0.2573,0.2846,0.2524,0.1733,0.1879,0.1603,0.1706,0.1920,0.1572,0.0812,-0.0685,-0.0389,0.0800,-0.3165,-0.4787,0.1035
22,Income Tax expense (Gain),265900000,105900000,116000000,134600000,110700000,128100000,166000000,86400000,81100000,81400000,121200000,-175700000,372700000,308700000,140800000,228248000,575424000,279122000,209386000,276949000,681927000,1189568000,1447933000,1430124000,770000000,890000000,1545000000,1723000000,1848000000,1928000000,746000000,-278000000,330000000,447000000,-311000000,-812000000,446000000
23,Net Income,351000000,-2017600000,282600000,453900000,420000000,570300000,815700000,661600000,334800000,536100000,649200000,851500000,1295700000,1014200000,366700000,734596000,522217000,-2319995000,383002000,1223870000,2206967000,3709851000,5176516000,5434801000,3134000000,4267000000,4997000000,5490000000,6732000000,5438000000,2072000000,-1687000000,-1505000000,2138000000,-10137000000,-10518000000,1881000000
24,Net Income ratio,0.0574,-0.4416,0.0642,0.0922,0.0896,0.1075,0.1327,0.1045,0.0499,0.0801,0.0852,0.0951,0.1217,0.0858,0.0437,0.0764,0.0373,-0.1704,0.0272,0.1066,0.1542,0.1929,0.2224,0.2002,0.1380,0.1555,0.1264,0.1303,0.1487,0.1119,0.0584,-0.0607,-0.0494,0.0652,-0.3080,-0.4457,0.0820
25,EPS,0.29,-1.75,0.26,0.43,0.45,0.60,0.85,0.69,0.34,0.55,0.67,0.87,1.31,0.94,0.34,0.65,0.46,-2.00,0.33,1.04,1.88,3.14,4.36,4.54,2.59,3.41,3.71,4.13,5.09,4.20,1.65,-1.24,-1.08,1.54,-7.32,-7.57,0.00
26,EPS Diluted,0.29,-1.75,0.26,0.43,0.45,0.60,0.85,0.69,0.34,0.55,0.66,0.87,1.26,0.91,0.33,0.64,0.46,-2.00,0.33,1.02,1.82,3.01,4.20,4.45,2.59,3.38,3.67,4.10,5.05,4.16,1.63,-1.24,-1.08,1.53,-7.32,-7.57,0.00
27,Weighted Average Shares Outstanding,1189830508,1149629630,1108235294,1055581395,943820225,950500000,954035088,958840580,970434783,974727273,976240602,980084000,990430000,1088676000,1097360000,1140056000,1148656000,1157176000,1167808000,1178178000,1178576000,1181683000,1187944000,1196237000,1198000000,1250000000,1349000000,1330000000,1323000000,1295000000,1256367980,1357000000,1388000000,1385000000,1385000000,1390000000,1402000000
28,Weighted Average Shares Outstanding Diluted,1189830508,1149629630,1108235294,1055581395,943820225,950500000,954035088,958840580,999402985,974727273,983636364,980084000,1028690000,1123710000,1127578000,1160152000,1160428000,1157176000,1172982000,1225744000,1229716000,1242196000,1238675000,1223894000,1214000000,1263000000,1361000000,1339000000,1333000000,1308000000,1271165644,1357000000,1388000000,1393000000,1385000000,1390000000,1424000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/87347/000095013003001530/0000950130-03-001530-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000119312504033890/0001193125-04-033890-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000119312505041937/0001193125-05-041937-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000119312506037849/0001193125-06-037849-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000119312507033647/0001193125-07-033647-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000119312508029168/0001193125-08-029168-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000119312509024868/0001193125-09-024868-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000119312510023041/0001193125-10-023041-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000095012311009144/0000950123-11-009144-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000119312512034426/0001193125-12-034426-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000119312513031766/0001193125-13-031766-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459014000090/0001564590-14-000090-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459015000337/0001564590-15-000337-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459016012009/0001564590-16-012009-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459017000589/0001564590-17-000589-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459018000821/0001564590-18-000821-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459019000928/0001564590-19-000928-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459020001578/0001564590-20-001578-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459021002477/0001564590-21-002477-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459022002421/0001564590-22-002421-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1358900000,1761100000,3956700000,4389800000,3040150000,177704000,168110000,234192000,223503000,190954000,165817000,197233000,188928000,243000000,1764000000,1705000000,1905000000,3472000000,3130000000,2793000000,2929000000,1799000000,1433000000,1137000000,844000000,1757000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1439997000,1567906000,2874781000,2773922000,3304727000,2833056000,2971800000,3502742000,4373000000,3226000000,3122000000,4369000000,4898000000,4371000000,10241000000,6328000000,3290000000,1344000000,1030000000,2162000000,1382000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1358900000,1761100000,3956700000,4389800000,3040150000,1617701000,1736016000,3108973000,2997425000,3495681000,2998873000,3169033000,3691670000,4616000000,4990000000,4827000000,6274000000,8370000000,7501000000,13034000000,9257000000,5089000000,2777000000,2167000000,3006000000,3139000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2260100000,2819900000,2968100000,2429800000,2768848000,4028450000,3489406000,2568425000,2663642000,3383803000,4242000000,5361114000,6257861000,6088000000,8278000000,9500000000,11351000000,11497000000,11171000000,8780000000,9387000000,8084000000,7881000000,7747000000,5247000000,5315000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,939000000,1094100000,1333100000,1268500000,1111585000,1204263000,1043057000,796559000,819745000,1010448000,1246887000,1638192000,1918503000,1866000000,3804000000,4700000000,4785000000,4603000000,4628000000,3756000000,4225000000,4046000000,4010000000,4130000000,3354000000,3272000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,484600000,396100000,547300000,517900000,572628000,854476000,916961000,3895164000,578937000,663981000,697902000,887044000,1025643000,1080000000,1026000000,1512000000,1746000000,1755000000,1394000000,1342000000,1058000000,1278000000,1063000000,1486000000,1312000000,928000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5042600000,6071200000,8805200000,8606000000,7493211000,7704890000,7185440000,10369121000,7059749000,8553913000,9185662000,11055383000,12893677000,13650000000,18098000000,20539000000,24156000000,26225000000,24694000000,26912000000,23927000000,18497000000,15731000000,15530000000,12919000000,12654000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3358600000,3769000000,4694000000,3561000000,4394514000,4827879000,4663756000,3799711000,3761729000,4200638000,5576041000,8007991000,9690340000,9660000000,12071000000,12993000000,14780000000,15096000000,15396000000,13415000000,12821000000,11576000000,11679000000,9270000000,6826000000,6982000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1225300000,1167600000,1302700000,1333700000,1575710000,- -,- -,- -,- -,- -,4988558000,5142083000,5188996000,5305000000,13952000000,14154000000,14585000000,14706000000,15487000000,15605000000,24990000000,25118000000,24931000000,16042000000,12980000000,12990000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7072318000,4788657000,3687573000,3135881000,3242394000,907874000,902700000,819986000,786000000,5162000000,4882000000,4802000000,4709000000,4654000000,4569000000,9855000000,9354000000,8727000000,7089000000,3455000000,3365000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1225300000,1167600000,1302700000,1333700000,1575710000,7072318000,4788657000,3687573000,3135881000,3242394000,5896432000,6044783000,6008982000,6091000000,19114000000,19036000000,19387000000,19415000000,20141000000,20174000000,34845000000,34472000000,33658000000,23131000000,16435000000,16355000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2339757000,3044000000,1555000000,1522000000,1747000000,3680000000,3677000000,3729000000,1481000000,1519000000,1538000000,1565000000,2061000000,3830000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204000000,202800000,202600000,209600000,271059000,126057000,147013000,316277000,343584000,331037000,412802000,214745000,564648000,376000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,494600000,886100000,1073400000,1370900000,3438237000,2595223000,2650329000,1868644000,1699834000,1749510000,1761201000,2530470000,493321000,644000000,929000000,1111000000,1477000000,2684000000,2996000000,3775000000,4882000000,5923000000,7901000000,6816000000,4193000000,1690000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5282500000,6025500000,7272700000,6475200000,9679520000,14621477000,12249755000,9672205000,8941028000,9523579000,13646476000,16797989000,19097048000,19815000000,33669000000,34662000000,37391000000,40875000000,42210000000,41093000000,54029000000,53490000000,54776000000,40782000000,29515000000,28857000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10325100000,12096700000,16077900000,15081200000,17172731000,22326367000,19435195000,20041326000,16000777000,18077492000,22832138000,27853372000,31990725000,33465000000,51767000000,55201000000,61547000000,67100000000,66904000000,68005000000,77956000000,71987000000,70507000000,56312000000,42434000000,41511000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2200200000,2297400000,2540000000,2282900000,2910725000,4506634000,4580762000,3247545000,2980790000,3564854000,3848017000,1554000000,5268019000,5003000000,2649000000,3389000000,3550000000,4155000000,4344000000,3243000000,4004000000,4614000000,4709000000,4790000000,2937000000,3205000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,813800000,854500000,795700000,257600000,592221000,1015181000,1135533000,1808127000,715872000,796578000,1321529000,1671635000,1597371000,1125000000,2595000000,1377000000,2121000000,2783000000,2765000000,4557000000,3153000000,3324000000,1407000000,524000000,850000000,909000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1015000000,879000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1088000000,752000000,877000000,910000000,941000000,1088000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,460400000,478000000,583000000,934000000,487959000,695970000,734623000,1739058000,1004538000,1153304000,1285249000,4279216000,1259260000,1131000000,5621000000,5772000000,6697000000,6587000000,7067000000,6321000000,6814000000,6592000000,6493000000,6874000000,5763000000,5157000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3474400000,3629900000,3918700000,3474500000,3990905000,6217785000,6450918000,6794730000,4701200000,5514736000,6454795000,7504851000,8124650000,7259000000,10865000000,10538000000,12368000000,13525000000,14176000000,14121000000,15059000000,15282000000,13486000000,13098000000,10491000000,10359000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,637200000,1069100000,3285400000,3183200000,3573047000,6215709000,6028549000,6097418000,3944180000,3591338000,4663942000,3794466000,3693517000,4355000000,5504000000,8548000000,9509000000,10393000000,10565000000,14442000000,16463000000,14875000000,14644000000,14770000000,16036000000,13286000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1636000000,1731000000,1493000000,1708000000,1296000000,1075000000,1880000000,1650000000,1441000000,491000000,19000000,94000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,587100000,702800000,754700000,702500000,1313563000,877493000,796063000,869559000,822222000,874651000,1293518000,1616286000,3238266000,2622000000,2318000000,2992000000,3319000000,1839000000,2818000000,2462000000,3025000000,2919000000,4350000000,3777000000,3399000000,2486000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1224300000,1771900000,4040100000,3885700000,4886610000,7093202000,6824612000,6966977000,4766402000,4465989000,5957460000,5410752000,6931783000,6977000000,9458000000,13271000000,14321000000,13940000000,14679000000,17979000000,21368000000,19444000000,20435000000,19038000000,19454000000,15866000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4698700000,5401800000,7958800000,7360200000,8877515000,13310987000,13275530000,13761707000,9467602000,9980725000,12412255000,12915603000,15056433000,14236000000,20323000000,23809000000,26689000000,27465000000,28855000000,32100000000,36427000000,34726000000,33921000000,32136000000,29945000000,26225000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,818800000,931100000,1539400000,1820200000,1963905000,2045437000,2170965000,2258488000,2454219000,2750570000,- -,- -,4667999000,4777000000,11920000000,11639000000,11912000000,12192000000,12495000000,12693000000,12801000000,12975000000,13132000000,13078000000,12970000000,12608000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7137700000,8061700000,8882500000,7916600000,8223476000,8314766000,5560712000,5505744000,6287905000,7999770000,11118479000,15461767000,19890842000,22019000000,25210000000,28860000000,32887000000,37966000000,41333000000,40870000000,36470000000,32190000000,31658000000,18751000000,7018000000,8199000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6219000000,-6441000000,-6964000000,-6078000000,-6427000000,-6351121000,-6938244000,-6938244000,-7307000000,-1045000000,-1169000000,-1173000000,-2901000000,-2674000000,-2768000000,-3557000000,-3888000000,-2554000000,-4206000000,-4558000000,-4643000000,-4274000000,-4622000000,-4438000000,-4884000000,-3570000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3888900000,4143100000,4661200000,4062200000,4534835000,4369399000,4812705000,5055301000,4681613000,-2113755000,470404000,587121000,-4795472000,-5002000000,-3136000000,-5679000000,-6160000000,-8135000000,-11772000000,-13372000000,-3550000000,-4049000000,-4006000000,-3631000000,-3033000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5626400000,6694900000,8119100000,7721000000,8295216000,8378481000,5606138000,5881289000,6116737000,7591585000,10419883000,14875888000,16862369000,19120000000,31226000000,31263000000,34751000000,39469000000,37850000000,35633000000,41078000000,36842000000,36162000000,23760000000,12071000000,15004000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10325100000,12096700000,16077900000,15081200000,17172731000,21689468000,18881668000,19642996000,15584339000,17572310000,22832138000,27791491000,31918802000,33356000000,51549000000,55072000000,61440000000,66934000000,66705000000,67733000000,77505000000,71568000000,70083000000,55896000000,42016000000,41229000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,636899000,553527000,398330000,416438000,505182000,- -,61881000,71923000,109000000,218000000,129000000,107000000,166000000,199000000,272000000,451000000,419000000,424000000,416000000,418000000,282000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10325100000,12096700000,16077900000,15081200000,17172731000,22326367000,19435195000,20041326000,16000777000,18077492000,22832138000,27853372000,31990725000,33465000000,51767000000,55201000000,61547000000,67100000000,66904000000,68005000000,77956000000,71987000000,70507000000,56312000000,42434000000,41511000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/87347/000095013003001530/0000950130-03-001530-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000119312504033890/0001193125-04-033890-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000119312505041937/0001193125-05-041937-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000119312506037849/0001193125-06-037849-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000119312507033647/0001193125-07-033647-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000119312508029168/0001193125-08-029168-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000119312509024868/0001193125-09-024868-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000119312510023041/0001193125-10-023041-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000095012311009144/0000950123-11-009144-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000119312512034426/0001193125-12-034426-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000119312513031766/0001193125-13-031766-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459014000090/0001564590-14-000090-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459015000337/0001564590-15-000337-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459016012009/0001564590-16-012009-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459017000589/0001564590-17-000589-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459018000821/0001564590-18-000821-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459019000928/0001564590-19-000928-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459020001578/0001564590-20-001578-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459021002477/0001564590-21-002477-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459022002421/0001564590-22-002421-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,420000000,570300000,815700000,661600000,334800000,536100000,649200000,851500000,1295700000,1014200000,366700000,734596000,522217000,-2319995000,383002000,1223870000,2206967000,3709851000,5176516000,5434801000,3134000000,4267000000,4997000000,5490000000,6732000000,5438000000,2072000000,-1687000000,-1505000000,2138000000,-10137000000,-10518000000,1881000000
