,https://roic.ai/company/TRC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,2900000,3000000,2600000,2700000,2700000,3000000,2900000,3100000,3100000,3400000,3800000,4000000,4600000,5700000,6053000,3347000,3824000,366000,6623000,7881000,13173000,8547000,8539000,7311000,5612000,12277000,13272000,12641000,10646000,12808000,12550000,10141000,9705000,9361000,9430000,9843000
11,COGS and Expenses,22400000,23500000,22900000,10900000,12700000,11300000,12100000,13400000,14400000,14300000,18400000,15800000,35700000,47200000,53100000,66823000,18343000,21281000,19409000,23723000,27162000,37136000,34918000,38640000,36027000,30274000,42224000,43961000,44162000,49126000,54343000,53483000,43201000,45183000,50954000,44577000,55873000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,632000,- -,892000,366000,1026000,2565000,2975000,3509000,2169000,- -,- -,- -,1242000,941000,696000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70000,9000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,1100000,1000000,900000,700000,700000,700000,800000,800000,900000,900000,1000000,1200000,1700000,2000000,2500000,3024000,2846000,2592000,2602000,2297000,2274000,2176000,2410000,2885000,3122000,2317000,4270000,4954000,4226000,4871000,5090000,4549000,4551000,5424000,5036000,4938000,4594000
15,EBITDA,1000000,3100000,4200000,13200000,4700000,4000000,3200000,3300000,5500000,3200000,1700000,4000000,6200000,6700000,4400000,2138000,3173000,3136000,-2153000,1902000,4774000,-2267000,13910000,9041000,-2539000,8921000,27531000,12118000,10477000,13223000,9165000,5443000,1873000,10999000,19596000,5027000,13763000
16,EBITDA ratio,0.0446,0.1188,0.1597,0.9362,0.3113,0.3101,0.2481,0.2308,0.3073,0.2065,0.0939,0.2273,0.1558,0.1291,0.0796,0.0314,0.1643,0.1444,-0.1151,0.0910,0.1811,-0.0798,0.4301,0.2253,-0.0899,0.2512,0.4363,0.2573,0.2311,0.2580,0.1792,0.1194,0.0525,0.2411,0.3957,0.1329,0.2475
17,Operating Income,- -,2600000,3400000,3200000,2400000,1600000,800000,900000,3500000,1200000,-300000,1800000,4100000,4700000,2200000,1368000,969000,430000,-700000,-2811000,-802000,-8714000,-2574000,1481000,-7776000,5239000,20874000,3128000,1176000,2126000,-3196000,-7906000,-7544000,436000,-1431000,-6747000,-260000
18,Operating Income ratio,- -,0.0996,0.1293,0.2270,0.1589,0.1240,0.0620,0.0629,0.1955,0.0774,-0.0166,0.1023,0.1030,0.0906,0.0398,0.0201,0.0502,0.0198,-0.0374,-0.1344,-0.0304,-0.3066,-0.0796,0.0369,-0.2752,0.1475,0.3308,0.0664,0.0259,0.0415,-0.0625,-0.1735,-0.2116,0.0096,-0.0289,-0.1784,-0.0047
19,Total Other Income Expenses (Gains),900000,-500000,-100000,-800000,1500000,1700000,1600000,1600000,1100000,1100000,1000000,1000000,400000,-100000,-300000,-2254000,-695000,363000,-4055000,1065000,3302000,4271000,14074000,4675000,1989000,1572000,2274000,3878000,5013000,6333000,7233000,8757000,4842000,5119000,15990000,6829000,9423000
20,Income Before Tax,-100000,2100000,3300000,2400000,3900000,3300000,2400000,2500000,4600000,2300000,700000,2800000,4500000,4600000,1900000,-886000,274000,793000,-4755000,-1746000,2500000,-4443000,11500000,6156000,-5787000,6811000,23148000,7006000,6189000,8459000,4037000,851000,-2702000,5555000,14559000,82000,9163000
21,Income Before Tax Ratio,-0.0045,0.0805,0.1255,0.1702,0.2583,0.2558,0.1860,0.1748,0.2570,0.1484,0.0387,0.1591,0.1131,0.0886,0.0344,-0.0130,0.0142,0.0365,-0.2542,-0.0835,0.0948,-0.1563,0.3556,0.1534,-0.2048,0.1918,0.3669,0.1488,0.1365,0.1650,0.0789,0.0187,-0.0758,0.1218,0.2940,0.0022,0.1648
22,Income Tax expense (Gain),-2300000,900000,1500000,1000000,1500000,1300000,900000,1000000,1600000,800000,300000,1100000,1500000,1600000,700000,-341000,33000,301000,-1828000,-784000,954000,-1714000,4167000,2044000,-2354000,2852000,7367000,2723000,2086000,2697000,1125000,336000,-1123000,1320000,3980000,829000,3821000
23,Net Income,2200000,1200000,1800000,11500000,2500000,2000000,1500000,1500000,3000000,1500000,400000,1700000,3000000,3100000,1200000,-545000,294000,243000,-2927000,389000,1546000,-2729000,7333000,4112000,-3377000,3743000,15894000,4441000,4165000,5655000,2950000,558000,-1555000,4255000,10580000,-740000,5348000
24,Net Income ratio,0.0982,0.0460,0.0684,0.8156,0.1656,0.1550,0.1163,0.1049,0.1676,0.0968,0.0221,0.0966,0.0754,0.0597,0.0217,-0.0080,0.0152,0.0112,-0.1564,0.0186,0.0586,-0.0960,0.2267,0.1025,-0.1195,0.1054,0.2519,0.0943,0.0919,0.1103,0.0577,0.0122,-0.0436,0.0933,0.2136,-0.0196,0.0962
25,EPS,0.16,0.09,0.13,0.86,0.19,0.14,0.11,0.11,0.22,0.11,0.03,0.12,0.23,0.24,0.09,-0.04,0.02,0.01,-0.19,0.03,0.09,-0.15,0.41,0.23,-0.19,0.22,0.78,0.21,0.20,0.26,0.14,0.03,-0.07,0.16,0.41,-0.03,0.20
26,EPS Diluted,0.16,0.09,0.13,0.86,0.19,0.14,0.11,0.11,0.22,0.11,0.03,0.12,0.23,0.24,0.09,-0.04,0.02,0.01,-0.19,0.03,0.09,-0.15,0.40,0.22,-0.19,0.21,0.78,0.21,0.19,0.26,0.14,0.03,-0.07,0.16,0.40,-0.03,0.20
27,Weighted Average Shares Outstanding,13635744,12644054,13547201,13315624,13170889,14048949,13170889,13170889,13743537,13170889,14048949,13778777,13170889,13065522,14048949,14356269,15488966,12714299,15420477,13662603,18099729,17971679,17968769,17853327,17920555,19079861,20496613,20654297,20805138,21222655,21295168,21369475,21677981,25948189,26031391,26205923,26205923
28,Weighted Average Shares Outstanding Diluted,13635744,12644054,13547201,13315624,13170889,14048949,13170889,13170889,13743537,15805067,14048949,15805067,13170889,13065522,14048949,14356269,15488966,12714299,15420477,13662603,18099729,17971679,18396597,18513187,18407440,19136896,20562997,20731699,21006397,21260816,21369236,21417741,21718390,25975904,26149115,26346450,26346450
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96869/000089843099001221/0000898430-99-001221-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96869/000089843003002121/0000898430-03-002121-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000119312504042213/0001193125-04-042213-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000119312505051499/0001193125-05-051499-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000119312506055002/0001193125-06-055002-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000119312507042550/0001193125-07-042550-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000119312508043580/0001193125-08-043580-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000119312509042772/0001193125-09-042772-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000119312510044758/0001193125-10-044758-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000119312511057714/0001193125-11-057714-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000119312512109149/0001193125-12-109149-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000144530513000628/0001445305-13-000628-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000009686914000005/0000096869-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000009686915000003/0000096869-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000009686916000013/0000096869-16-000013-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000009686917000002/0000096869-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000009686918000005/0000096869-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000009686919000004/0000096869-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000009686920000007/0000096869-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000009686921000005/0000096869-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000009686922000005/0000096869-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3900000,4600000,8600000,25900000,27500000,3800000,- -,- -,200000,100000,- -,700000,1000000,700000,400000,2286000,10889000,12935000,9323000,6692000,114000,4662000,9454000,3032000,683000,22027000,18372000,7219000,9031000,5638000,1930000,1258000,20107000,15908000,27106000,55320000,36195000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9900000,11055000,12574000,12305000,11247000,57700000,61924000,73404000,67559000,52007000,30156000,48985000,68566000,65049000,55436000,42140000,32815000,26675000,70868000,63749000,39084000,2771000,10983000
33,Cash and Short-Term Investments,3900000,4600000,8600000,25900000,27500000,3800000,- -,- -,200000,100000,- -,700000,1000000,700000,10300000,13341000,23463000,25240000,20570000,64392000,62038000,78066000,77013000,55039000,30839000,71012000,86938000,72268000,64467000,47778000,34745000,27933000,90975000,79657000,66190000,58091000,47178000
34,Net Receivables,1600000,3100000,2700000,1900000,1900000,2200000,2600000,2500000,3100000,2100000,4500000,4300000,8400000,7400000,5000000,8240000,5850000,7843000,4887000,8204000,7513000,7835000,9352000,8281000,7117000,9812000,7832000,8768000,7108000,8506000,6511000,8740000,7608000,10876000,9950000,4592000,6473000
35,Inventory,12500000,10000000,9200000,1800000,1400000,1300000,2500000,2500000,2900000,3100000,2800000,3400000,12200000,17400000,22800000,23924000,1230000,1249000,1246000,1346000,2093000,2578000,4129000,2007000,1766000,2982000,3587000,3839000,3510000,4098000,3517000,3084000,2469000,2618000,2792000,2990000,5702000
36,Other Current Assets,2100000,700000,300000,500000,1000000,25600000,28100000,28000000,27500000,25000000,21400000,21500000,18900000,18500000,1200000,1260000,7461000,1925000,2264000,1761000,4821000,7481000,9059000,5663000,4620000,5011000,5416000,5878000,8159000,5545000,4120000,4458000,2849000,3348000,3252000,2842000,3619000
37,Total Current Assets,20100000,18400000,20800000,30100000,31800000,32900000,33200000,33000000,33700000,30300000,28700000,29900000,40500000,44000000,39300000,46765000,38004000,36257000,28967000,75703000,76465000,95960000,99553000,70990000,44342000,88817000,103773000,90753000,83244000,65927000,48893000,44215000,103901000,96499000,82184000,68515000,62972000
38,PP&E,12800000,12500000,12000000,10200000,10300000,10700000,10900000,11400000,12000000,13300000,15100000,16300000,21800000,27600000,50700000,50669000,61016000,62323000,67844000,59802000,66441000,45657000,50357000,65255000,120461000,117275000,128430000,146590000,146542000,282974000,44469000,46034000,45332000,46086000,45072000,46246000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56698000,50997000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56698000,50997000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46337000,48302000,53893000,82587000,109358000,77953000,74486000,76216000,77161000,80434000,92395000,33524000,43418000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4235000,5798000,3985000,6845000,5376000,1592000,3487000,4659000,2282000,1562000,1229000,713000,- -,- -
44,Other Non-Current Assets,1300000,1200000,1200000,1300000,1300000,1500000,1200000,1300000,1200000,1300000,1400000,1200000,1400000,1400000,1500000,853000,128000,2216000,4024000,2699000,4885000,17500000,25593000,46592000,17806000,29712000,29035000,2550000,2143000,1774000,259412000,270954000,290243000,304800000,319058000,331366000,388649000
45,Total Non-Current Assets,14100000,13700000,13200000,11500000,11600000,12200000,12100000,12700000,13200000,14600000,16500000,17500000,23200000,29000000,52200000,51522000,61144000,64539000,71868000,62501000,71326000,63157000,75950000,116082000,190402000,199274000,218203000,237103000,259635000,366188000,383026000,395486000,414298000,432549000,457238000,467834000,483064000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,34200000,32100000,34000000,41600000,43400000,45100000,45300000,45700000,46900000,44900000,45200000,47400000,63700000,73000000,91500000,98287000,99148000,100796000,100835000,138204000,147791000,159117000,175503000,187072000,234744000,288091000,321976000,327856000,342879000,432115000,431919000,439701000,518199000,529048000,539422000,536349000,546036000
48,Accounts Payable,- -,- -,- -,- -,2100000,1700000,1600000,900000,1000000,1100000,900000,500000,2900000,3200000,3300000,5415000,3332000,2507000,1731000,1752000,1635000,1553000,1511000,2824000,1363000,2187000,2447000,3845000,5028000,3347000,3252000,2415000,3545000,6037000,6145000,3367000,4545000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,3000000,12500000,20200000,19400000,22843000,1853000,1971000,425000,103000,25000,27000,28000,2780000,9583000,35000,37000,41000,234000,7094000,815000,11553000,4004000,4018000,4182000,4295000,4475000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2484000,- -,- -,1703000,1237000,- -,- -,- -,- -,- -,1217000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,410000,1035000,1643000,1024000,1349000,2997000,572000,760000,1478000,601000,2125000,1195000,865000,1164000,1525000,1529000,1118000,2863000,1346000,1972000,1907000
52,Other Current Liabilities,8200000,5300000,5800000,3000000,200000,900000,700000,3000000,3700000,2400000,1100000,1700000,600000,800000,300000,1585000,962000,229000,189000,595000,1767000,658000,2015000,659000,560000,1334000,5558000,2132000,2647000,4477000,4729000,3188000,1810000,3575000,3463000,3305000,4668000
53,Total Current Liabilities,8200000,5300000,5800000,3000000,2300000,2600000,2300000,3900000,4700000,3500000,3900000,5200000,16000000,24200000,23000000,29843000,6557000,5742000,3988000,3474000,4776000,5235000,4126000,7023000,12984000,4157000,10167000,7213000,8774000,16082000,10321000,18685000,10477000,16493000,15136000,12939000,15595000
54,Long-Term Debt,8200000,8000000,7800000,7500000,7300000,7100000,6900000,5200000,3600000,2000000,1800000,1800000,3900000,1900000,20600000,21183000,14563000,14336000,16127000,469000,444000,417000,389000,358000,325000,290000,253000,212000,4459000,74215000,73223000,69853000,65816000,61780000,57476000,52587000,48155000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2277000,2277000,2664000,2248000,2248000,3683000,3816000,3662000,3405000,3405000,5731000,5550000,8409000
56,Deferred Tax Liabilities,500000,1200000,1600000,2000000,2700000,3100000,3100000,2700000,2400000,2700000,2500000,2700000,3300000,4200000,4700000,4287000,3619000,3740000,3566000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,925000,2898000
57,Other Non-Current Liabilities,1300000,1000000,700000,200000,200000,100000,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,1606000,2783000,1981000,2168000,3740000,4435000,5934000,6385000,4777000,4715000,8453000,9924000,7211000,13802000,13251000,13034000,11691000,12698000,15455000,19017000,14468000
58,Total Non-Current Liabilities,10000000,10200000,10100000,9700000,10200000,10300000,10000000,7900000,6000000,4600000,4300000,4500000,7200000,6100000,25300000,25470000,19788000,20859000,21674000,2637000,4184000,4852000,6323000,6743000,7379000,7282000,11370000,12384000,13918000,91700000,90290000,86549000,80912000,77883000,78662000,78079000,73930000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,18200000,15500000,15900000,12700000,12500000,12900000,12300000,11800000,10700000,8100000,8200000,9700000,23200000,30300000,48300000,55313000,26345000,26601000,25662000,6111000,8960000,10087000,10449000,13766000,20363000,11439000,21537000,19597000,22692000,107782000,100611000,105234000,91389000,94376000,93798000,91018000,89525000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6300000,6356000,7163000,7206000,7278000,8193000,8254000,8388000,8450000,8493000,8509000,9874000,9988000,10043000,10282000,10318000,10344000,10405000,12947000,12986000,13048000,13137000,13200000
64,Retained Earnings,9300000,9900000,11300000,22200000,24100000,25500000,26300000,27200000,29500000,30400000,30200000,31300000,33700000,36200000,36700000,36156000,36450000,36693000,33766000,34155000,35701000,32972000,40305000,44417000,41040000,45215000,61109000,65550000,62785000,68439000,71389000,71947000,70392000,74647000,85227000,84487000,89835000
65,Other Comprehensive Income/Loss,-9400000,-9700000,-10300000,-9600000,-10200000,-10600000,-11300000,-11900000,-12600000,-13200000,-13600000,-14600000,-16100000,-17800000,-19000000,-152000,-23068000,-1995000,-1478000,-2211000,-3277000,-2888000,-2071000,-2797000,-2151000,-2191000,-4756000,-5118000,-3333000,-6899000,-6902000,-6239000,-5264000,-4857000,-6771000,-9720000,-6822000
66,Other Total Stockholders Equity,16100000,16400000,17100000,16300000,17000000,17300000,18000000,18600000,19300000,19600000,20400000,21000000,22900000,24300000,19200000,129000,51584000,31690000,35077000,91956000,98153000,110558000,118370000,123193000,126829000,183816000,194273000,198117000,210848000,212763000,216803000,229762000,320167000,336520000,338745000,342059000,- -
67,Total Stockholders Equity,16000000,16600000,18100000,28900000,30900000,32200000,33000000,33900000,36200000,36800000,37000000,37700000,40500000,42700000,43200000,42489000,72129000,73594000,74643000,132093000,138831000,149030000,165054000,173306000,174227000,236714000,260614000,268592000,280582000,284621000,291634000,305875000,398242000,419296000,430249000,429963000,441149000
68,Total Liabilities And Stockholders Equity,34200000,32100000,34000000,41600000,43400000,45100000,45300000,45700000,46900000,44900000,45200000,47400000,63700000,73000000,91500000,97802000,98474000,100195000,100305000,138204000,147791000,159117000,175503000,187072000,194590000,248153000,282151000,288189000,303274000,392403000,392245000,411109000,489631000,513672000,524047000,520981000,530674000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,485000,674000,601000,530000,- -,- -,- -,- -,- -,40154000,39938000,39825000,39667000,39605000,39712000,39674000,28592000,28568000,15376000,15375000,15368000,15362000
70,Total Liabilities & Equity,34200000,32100000,34000000,41600000,43400000,45100000,45300000,45700000,46900000,44900000,45200000,47400000,63700000,73000000,91500000,98287000,99148000,100796000,100835000,138204000,147791000,159117000,175503000,187072000,234744000,288091000,321976000,327856000,342879000,432115000,431919000,439701000,518199000,529048000,539422000,536349000,546036000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96869/000089843099001221/0000898430-99-001221-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96869/000089843003002121/0000898430-03-002121-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000119312504042213/0001193125-04-042213-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000119312505051499/0001193125-05-051499-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000119312506055002/0001193125-06-055002-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000119312507042550/0001193125-07-042550-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000119312508043580/0001193125-08-043580-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000119312509042772/0001193125-09-042772-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000119312510044758/0001193125-10-044758-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000119312511057714/0001193125-11-057714-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000119312512109149/0001193125-12-109149-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000144530513000628/0001445305-13-000628-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000009686914000005/0000096869-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000009686915000003/0000096869-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000009686916000013/0000096869-16-000013-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000009686917000002/0000096869-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000009686918000005/0000096869-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000009686919000004/0000096869-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000009686920000007/0000096869-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000009686921000005/0000096869-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000009686922000005/0000096869-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2200000,1200000,- -,11500000,2500000,2000000,1500000,1500000,3000000,1500000,400000,1700000,3000000,3100000,1200000,-545000,294000,243000,-2927000,389000,1546000,-2729000,7333000,4112000,-3377000,3743000,15894000,4441000,4165000,5655000,2950000,558000,-1555000,4255000,10580000,-740000,5348000
74,Depreciation and Amortization,1100000,1000000,- -,700000,700000,700000,800000,800000,900000,900000,1000000,1200000,1700000,2000000,2500000,3024000,2846000,2592000,2602000,2297000,2274000,2176000,2410000,2885000,3122000,2317000,4270000,4954000,4226000,4871000,5090000,4549000,4551000,5424000,5036000,4938000,4594000
75,Deferred Income Tax,- -,- -,- -,- -,700000,400000,- -,-300000,-300000,- -,-200000,100000,600000,1000000,500000,-557000,352000,350000,-2208000,-1185000,-1007000,-1677000,-976000,-314000,-1072000,-1351000,-162000,1810000,-8000,112000,-120000,1939000,66000,175000,1259000,2253000,1134000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3557000,-2944000,5340000,5440000,929000,3534000,3757000,4585000,3552000,3248000,3198000,4494000,4271000
77,Change in Working Capital,- -,1900000,- -,12100000,2400000,800000,600000,-1800000,-100000,-2200000,-2000000,-100000,-200000,-4700000,-3500000,622000,14525000,-932000,-5536000,47250000,-540000,19036000,4702000,-31460000,-32609000,53302000,8946000,-10066000,-9070000,-24625000,-11273000,-13042000,67894000,-13418000,-12958000,-11472000,-96000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-962000,- -,- -,- -,- -,- -,- -,- -,- -,-2888000,- -,5427000,- -
79,Inventory,- -,- -,- -,- -,400000,- -,-1300000,- -,-400000,-300000,300000,-600000,-8400000,-5200000,-5400000,-1220000,-130000,-19000,3000,-275000,-747000,-495000,-1571000,215000,225000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5427000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
