,https://roic.ai/company/MSI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,498000000,499000000,454000000,453000000,1022000000,1560000000,1781000000,1154000000,1180000000,-962000000,817000000,1318000000,-3937000000,-2485000000,893000000,1532000000,4578000000,3661000000,-49000000,-4244000000,-51000000,633000000,1158000000,881000000,1099000000,1299000000,610000000,560000000,-155000000,966000000,868000000,949000000,1245000000
74,Depreciation and Amortization,- -,- -,- -,- -,650000000,790000000,886000000,1029000000,1196000000,1547000000,1931000000,2316000000,2339000000,2208000000,2193000000,2522000000,2552000000,2108000000,1667000000,659000000,613000000,558000000,903000000,831000000,751000000,572000000,366000000,208000000,228000000,173000000,150000000,295000000,343000000,360000000,394000000,409000000,438000000
75,Deferred Income Tax,- -,- -,- -,- -,-31000000,-62000000,-5000000,-23000000,50000000,-177000000,-55000000,-160000000,-98000000,-933000000,-415000000,239000000,-2273000000,-1570000000,1000000,456000000,1000000000,838000000,-747000000,1698000000,50000000,346000000,63000000,242000000,-231000000,-557000000,160000000,213000000,1100000000,9000000,-84000000,-25000000,34000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,296000000,273000000,168000000,184000000,153000000,94000000,78000000,68000000,66000000,73000000,118000000,129000000,129000000
77,Change in Working Capital,- -,- -,- -,- -,94000000,- -,- -,3008000000,- -,-291000000,607000000,857000000,-2090000000,1996000000,-459000000,3823000000,-127000000,1150000000,2035000000,4872000000,169000000,-5828000000,-2979000000,1028000000,673000000,-3491000000,-887000000,-266000000,829000000,-2240000000,-1589000000,219000000,157000000,-437000000,99000000,468000000,-34000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000000,-311000000,-250000000,81000000,-66000000,-62000000,21000000,-6000000,-60000000,62000000,-79000000,90000000,3000000
79,Inventory,- -,- -,- -,- -,-29000000,-72000000,3000000,-77000000,-539000000,-806000000,-856000000,308000000,-880000000,254000000,-661000000,-2305000000,1838000000,-102000000,77000000,-433000000,23000000,-718000000,556000000,-54000000,1349000000,-267000000,-14000000,-3000000,-10000000,-5000000,16000000,6000000,-46000000,71000000,-74000000,-14000000,-284000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,578000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,3008000000,3008000000,2717000000,3324000000,4181000000,2091000000,4087000000,3628000000,7451000000,7324000000,8474000000,10509000000,15381000000,15550000000,9722000000,6743000000,7771000000,8444000000,4953000000,4066000000,3800000000,4629000000,2389000000,800000000,1019000000,1176000000,739000000,838000000,1306000000,-126000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,81000000,23000000,-2525000000,46000000,-87000000,-977000000,23000000,1265000000,-1288000000,-208000000,-9066000000,5761000000,2136000000,-1825000000,-4453000000,-1755000000,4270000000,3582000000,929000000,-1090000000,3634000000,6000000,-179000000,-1134000000,641000000,1596000000,-190000000,-165000000,104000000,428000000,-317000000,25000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1211000000,1308000000,1358000000,1942000000,2314000000,2552000000,3287000000,4190000000,2596000000,1021000000,1928000000,-1164000000,1976000000,1339000000,2771000000,3066000000,4605000000,3499000000,710000000,242000000,629000000,1967000000,874000000,1070000000,944000000,-590000000,1005000000,1165000000,1346000000,1075000000,1823000000,1613000000,1837000000
84,CAPEX,- -,- -,- -,- -,-1094000000,-1256000000,-1317000000,-1386000000,-2187000000,-3320000000,-4225000000,-2973000000,-2874000000,-3221000000,-2684000000,-4131000000,-1321000000,-607000000,-655000000,-494000000,-583000000,-649000000,-527000000,-504000000,-275000000,-335000000,-186000000,-187000000,-191000000,-181000000,-175000000,-271000000,-227000000,-197000000,-248000000,-217000000,-243000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1912000000,-512000000,-94000000,-302000000,-476000000,-312000000,933000000,-4568000000,- -,265000000,106000000,1092000000,-109000000,-65000000,-47000000,-586000000,-1474000000,-404000000,-1164000000,-709000000,-287000000,-521000000
86,Purchases of Investments,- -,- -,- -,- -,-57000000,-110000000,- -,-22000000,-105000000,- -,-32000000,- -,-37000000,- -,-496000000,- -,- -,- -,-82000000,-13000000,-3157000000,-1417000000,- -,-282000000,-922000000,-6000000,- -,-38000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,81000000,- -,- -,40000000,- -,52000000,- -,164000000,- -,345000000,233000000,23000000,- -,682000000,1565000000,- -,7308000000,1334000000,223000000,447000000,1514000000,1075000000,2200000000,3403000000,230000000,670000000,183000000,95000000,16000000,11000000,16000000
88,Other Investing Activites,- -,- -,- -,- -,-92000000,-78000000,4000000,-86000000,-215000000,-688000000,-322000000,15000000,286000000,92000000,2452000000,1607000000,4077000000,239000000,1016000000,138000000,103000000,85000000,166000000,246000000,-234000000,-359000000,-188000000,-131000000,-125000000,-144000000,-172000000,-198000000,-227000000,-197000000,-241000000,-161000000,-237000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1243000000,-1444000000,-1232000000,-1494000000,-2507000000,-3968000000,-4579000000,-2906000000,-2625000000,-2965000000,-728000000,-4091000000,2477000000,-439000000,-23000000,-163000000,-2384000000,-1048000000,2379000000,794000000,-668000000,188000000,2418000000,797000000,2010000000,3212000000,-528000000,-1002000000,-448000000,-1266000000,-934000000,-437000000,-742000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-218000000,-1016000000,-1219000000,-413000000,-4000000,-465000000,-4000000,-686000000,-21000000,-892000000,-2365000000,-1714000000,-353000000
91,Common Stock Issued,- -,- -,- -,- -,29000000,55000000,19000000,167000000,113000000,1061000000,49000000,7000000,137000000,99000000,481000000,383000000,362000000,401000000,159000000,1680000000,1199000000,918000000,440000000,145000000,116000000,179000000,192000000,133000000,165000000,135000000,100000000,93000000,82000000,168000000,114000000,108000000,102000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-874000000,-3826000000,-3035000000,-138000000,- -,- -,-1110000000,-2438000000,-1694000000,-2546000000,-3177000000,-842000000,-483000000,-132000000,-315000000,-612000000,-528000000
93,Dividends Paid,- -,- -,- -,- -,-99000000,-100000000,-100000000,-100000000,-120000000,-149000000,-236000000,-261000000,-286000000,-288000000,-291000000,-333000000,-356000000,-364000000,-372000000,-378000000,-394000000,-443000000,-468000000,-453000000,-114000000,- -,-72000000,-270000000,-292000000,-318000000,-277000000,-280000000,-307000000,-337000000,-379000000,-436000000,-482000000
94,Other Financing Activites,- -,- -,- -,- -,138000000,215000000,-8000000,-140000000,409000000,359000000,1463000000,-242000000,110000000,2107000000,535000000,5069000000,-1826000000,-521000000,-1253000000,-1539000000,-1121000000,190000000,-163000000,-199000000,6000000,-14000000,-3383000000,694000000,618000000,1386000000,976000000,673000000,7000000,1413000000,1801000000,1688000000,832000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,68000000,170000000,-89000000,-73000000,402000000,1271000000,1276000000,-496000000,-39000000,1918000000,725000000,5119000000,-1820000000,-484000000,-1466000000,-237000000,-1190000000,-3161000000,-3226000000,-645000000,-210000000,-851000000,-5592000000,-2294000000,-1207000000,-1808000000,-2382000000,-1042000000,-722000000,220000000,-1144000000,-966000000,-429000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34000000,-33000000,-100000000,148000000,9000000,88000000,100000000,-103000000,148000000,73000000,-79000000,54000000,35000000,-27000000,14000000,10000000,-85000000,-69000000,-71000000,62000000,-40000000,-1000000,43000000,-46000000
97,Net Change In Cash,- -,- -,- -,- -,68000000,170000000,-89000000,-73000000,209000000,-145000000,-16000000,788000000,-68000000,8000000,1892000000,-236000000,2781000000,425000000,1370000000,2766000000,928000000,-562000000,-64000000,312000000,-195000000,1339000000,-2327000000,-413000000,1757000000,729000000,-1974000000,-950000000,238000000,-11000000,-256000000,253000000,620000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,886000000,741000000,725000000,1513000000,1445000000,1453000000,3345000000,3301000000,6082000000,6507000000,7877000000,10556000000,3774000000,3212000000,2752000000,3064000000,2869000000,4208000000,1881000000,1468000000,3225000000,3954000000,1980000000,1030000000,1268000000,1257000000,1001000000,1254000000,1874000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,195000000,231000000,265000000,302000000,677000000,886000000,741000000,725000000,1513000000,1445000000,1453000000,3537000000,3301000000,6082000000,6507000000,7790000000,2846000000,3774000000,2816000000,2752000000,3064000000,2869000000,4208000000,1881000000,1468000000,3225000000,3954000000,1980000000,1030000000,1268000000,1257000000,1001000000,1254000000
100,Free Cash Flow,- -,- -,- -,- -,117000000,52000000,41000000,556000000,127000000,-768000000,-938000000,1217000000,-278000000,-2200000000,-756000000,-5295000000,655000000,732000000,2116000000,2572000000,4022000000,2850000000,183000000,-262000000,354000000,1632000000,688000000,883000000,753000000,-771000000,830000000,894000000,1119000000,878000000,1575000000,1396000000,1594000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/68505/000091205796004991/0000912057-96-004991-index.html,https://www.sec.gov/Archives/edgar/data/68505/000095013197002031/0000950131-97-002031-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/68505/000095013701500523/0000950137-01-500523-index.html,https://www.sec.gov/Archives/edgar/data/68505/000091205702012645/0000912057-02-012645-index.html,- -,https://www.sec.gov/Archives/edgar/data/68505/000119312504040743/0001193125-04-040743-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000095013705002687/0000950137-05-002687-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000095013706002484/0000950137-06-002484-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000095013707003011/0000950137-07-003011-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000095013708002935/0000950137-08-002935-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000095013709001324/0000950137-09-001324-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000104746910000905/0001047469-10-000905-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000119312511039822/0001193125-11-039822-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000119312512063569/0001193125-12-063569-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000144530513000205/0001445305-13-000205-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000006850514000005/0000068505-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000006850515000003/0000068505-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000006850516000017/0000068505-16-000017-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000006850517000002/0000068505-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000006850518000009/0000068505-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000006850519000006/0000068505-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000006850520000006/0000068505-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000006850521000008/0000068505-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000006850522000010/0000068505-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
