,https://roic.ai/company/VGR,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,- -,474400000,452400000,1095200000,1243300000,726000000,650500000,333300000,330000000,352100000,277300000,305300000,429400000,578000000,561701000,329461000,315784000,294040000,227690000,403786000,430046000,429882000,657427000,935815000,990059000,929613000,856058000,1375452000,1429948000,1437911000,1567197000,1647997000,1671586000,1696669000,900960000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,492000,- -,- -,- -,6193000,6387000,7038000,6018000,7391000,11349000,12590000,6074000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68490000,84096000,100706000,125062000,144561000,166196000,120691000,142982000,173685000,203780000,138448000,121541000,112728000
14,Depreciation and Amortization,- -,4600000,4700000,34300000,40700000,10200000,19000000,6800000,9100000,8800000,8100000,8600000,7700000,12647000,9973000,13863000,16011000,11823000,11220000,9888000,10202000,10057000,10398000,14240000,10607000,10608000,12631000,24499000,25654000,22359000,18614000,18807000,17851000,17629000,- -
15,EBITDA,- -,53700000,51500000,431900000,-90100000,-57500000,131100000,92400000,-24500000,-52300000,-40700000,-23600000,325800000,269732000,45653000,-24284000,975000,11591000,100654000,78368000,136805000,104629000,107425000,183906000,234470000,189387000,220931000,260924000,246776000,285631000,275289000,302244000,290086000,273885000,394998000
16,EBITDA ratio,- -,0.1010,0.1028,0.3931,-0.0770,-0.0799,0.1947,0.2659,-0.0725,-0.1502,-0.1348,-0.0652,0.6512,0.4326,0.0770,-0.0781,0.0029,0.0359,0.3178,0.1548,0.2463,0.1851,0.1340,0.1730,0.2069,0.1746,0.2092,0.1640,0.1489,0.1689,0.1523,0.1616,0.1524,0.1368,0.3236
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154933000,112036000,213388000,199920000,232997000,233688000,224049000,231135000,245143000,320439000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1429,0.1061,0.1341,0.1206,0.1378,0.1293,0.1198,0.1214,0.1224,0.2625
19,Total Other Income Expenses (Gains),- -,-8400000,-1800000,394100000,-57900000,-18300000,-24900000,-56700000,-53000000,-59600000,-75300000,-92100000,247700000,206972000,4874000,-28954000,-42985000,-23040000,-8465000,-33986000,1219000,-40732000,-115530000,-41904000,-20164000,-101216000,-48549000,-130901000,-92215000,-106568000,-144520000,-144490000,-97307000,-110428000,-110478000
20,Income Before Tax,- -,49100000,46800000,397600000,-130800000,-24200000,-1900000,-42500000,-45000000,-63500000,-50700000,-35400000,318600000,252437000,36217000,-47661000,-17428000,6106000,80519000,68480000,126603000,94572000,28537000,85570000,123157000,53717000,63487000,82487000,107705000,126429000,89168000,79559000,133828000,134715000,209961000
21,Income Before Tax Ratio,- -,0.0923,0.0934,0.3619,-0.1118,-0.0336,-0.0028,-0.1223,-0.1331,-0.1824,-0.1679,-0.0978,0.6368,0.4049,0.0611,-0.1534,-0.0511,0.0189,0.2543,0.1353,0.2279,0.1673,0.0356,0.0805,0.1087,0.0495,0.0601,0.0518,0.0650,0.0748,0.0493,0.0425,0.0703,0.0673,0.1720
22,Income Tax expense (Gain),- -,18400000,16600000,21700000,18800000,8100000,5300000,-24500000,300000,1400000,1100000,-59600000,82500000,82867000,15017000,-6353000,574000,-6960000,40352000,25768000,52800000,34068000,3731000,31486000,48137000,23095000,24795000,33251000,41233000,49163000,-1582000,21552000,32813000,41777000,62807000
23,Net Income,- -,30700000,30200000,375900000,-149600000,-75800000,106800000,110100000,-33900000,-62500000,-49900000,27400000,235600000,174218000,20663000,-31794000,-15610000,6728000,49082000,42712000,73803000,60504000,24806000,54084000,75020000,30622000,38944000,36978000,59198000,71127000,84572000,58105000,100974000,92938000,219463000
24,Net Income ratio,- -,0.0577,0.0603,0.3421,-0.1278,-0.1053,0.1586,0.3168,-0.1003,-0.1795,-0.1653,0.0757,0.4709,0.2794,0.0348,-0.1023,-0.0457,0.0208,0.1550,0.0844,0.1329,0.1071,0.0309,0.0509,0.0662,0.0282,0.0369,0.0232,0.0357,0.0421,0.0468,0.0311,0.0530,0.0464,0.1798
25,EPS,- -,0.50,0.45,5.61,-2.47,-1.54,2.01,1.91,-0.34,-1.17,-0.98,0.48,4.04,2.93,0.29,-0.40,-0.18,0.08,0.56,0.39,0.65,0.53,0.21,0.46,0.63,0.25,0.31,0.27,0.40,0.48,0.54,0.35,0.64,0.60,1.42
26,EPS Diluted,- -,0.50,0.45,5.61,-2.47,-1.54,2.01,1.91,-0.34,-1.17,-0.98,0.39,3.32,2.49,0.24,-0.40,-0.18,0.08,0.54,0.38,0.63,0.47,0.21,0.46,0.63,0.25,0.31,0.27,0.40,0.48,0.54,0.35,0.63,0.60,1.42
27,Weighted Average Shares Outstanding,- -,61441546,66988707,8879776,60517606,49091160,53236064,57622208,50986419,51758709,50839330,57153164,58345438,59420298,71033944,80162148,84573321,86075410,87570131,102307589,107058179,110290003,113230344,118171881,116237789,123109226,122627700,134840970,146848039,147032845,158034966,164892568,157771875,154896667,154896667
28,Weighted Average Shares Outstanding Diluted,- -,61441546,66988707,8879776,60517606,49091160,53236064,57622208,79154560,51758709,50839330,69383196,71138289,69998941,85519012,80162148,84573321,89855489,91854927,104998810,110049305,121647939,113338546,118171881,116536972,123109226,122945964,134840970,146848039,149706170,158034966,164892568,160276190,154896667,154896667
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/59440/000095014405003085/0000950144-05-003085-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000095014406002439/0000950144-06-002439-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000095014407002355/0000950144-07-002355-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000095014408001553/0000950144-08-001553-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000095014409001779/0000950144-09-001779-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000095012310019359/0000950123-10-019359-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000095012311018301/0000950123-11-018301-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944012000012/0000059440-12-000012-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944013000007/0000059440-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944014000007/0000059440-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944015000009/0000059440-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944016000072/0000059440-16-000072-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944017000007/0000059440-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944018000007/0000059440-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944019000004/0000059440-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944020000004/0000059440-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944021000018/0000059440-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944022000010/0000059440-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,27300000,62000000,- -,33600000,14400000,15800000,4300000,3400000,1900000,4800000,7400000,20100000,157513000,217761000,100027000,74808000,110004000,181059000,146769000,238117000,211105000,209454000,299825000,240923000,405855000,234466000,326365000,240368000,393530000,301353000,584581000,371341000,352842000,193411000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47685000,173697000,128430000,67521000,14927000,18507000,18960000,45875000,28518000,51743000,78754000,76486000,69984000,172534000,346043000,181976000,156903000,150489000,131569000,129641000,135585000,146687000
33,Cash and Short-Term Investments,- -,27300000,62000000,- -,33600000,14400000,15800000,4300000,3400000,1900000,4800000,7400000,20100000,205198000,391458000,228457000,142329000,124931000,199566000,165729000,283992000,239623000,261197000,378579000,317409000,475839000,407000000,672408000,422344000,550433000,451842000,716150000,500982000,488427000,340098000
34,Net Receivables,- -,41000000,42200000,- -,124800000,64400000,53200000,32900000,26800000,20700000,13700000,16100000,31900000,21543000,35614000,17248000,13030000,3117000,13352000,15480000,3113000,9506000,8098000,1849000,34422000,18026000,12159000,26610000,26730000,34911000,40698000,34246000,36959000,40711000,16067000
35,Inventory,- -,84600000,59500000,- -,120700000,57000000,41500000,47100000,60500000,53700000,39300000,36300000,45200000,29752000,53194000,104649000,127351000,78941000,70395000,91299000,86825000,92581000,98486000,107079000,109228000,100392000,93496000,90323000,86516000,89834000,89790000,90997000,98762000,97545000,94615000
36,Other Current Assets,- -,5700000,9600000,- -,20500000,28900000,3900000,3200000,5200000,4300000,10200000,62800000,91500000,13449000,35461000,30737000,32667000,35135000,35786000,30648000,21696000,13573000,21427000,39256000,48682000,44799000,75656000,68505000,48149000,30285000,31379000,30828000,44911000,37220000,21023000
37,Total Current Assets,- -,158600000,173300000,- -,299600000,164700000,114400000,87500000,95900000,80600000,68000000,122600000,188700000,269942000,515727000,381091000,315377000,242124000,319099000,303156000,395626000,355283000,389208000,526763000,509741000,639056000,588311000,857846000,583739000,705463000,613709000,872221000,681614000,663903000,471803000
38,PP&E,- -,20600000,20000000,- -,66700000,36700000,27500000,25800000,49100000,80300000,45900000,93500000,154300000,48539000,102185000,181972000,143596000,65357000,62523000,59921000,54432000,50691000,44026000,55412000,56556000,57153000,79258000,84112000,75632000,80448000,85516000,86736000,231738000,223344000,47855000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72135000,70791000,70791000,70815000,77059000,77568000,78008000,31756000,- -
40,Intangible Assets,- -,18000000,18000000,- -,166400000,10300000,8400000,6700000,5500000,4400000,2600000,200000,- -,- -,- -,107511000,107511000,107511000,107511000,107511000,107511000,107511000,107511000,107511000,107511000,- -,198871000,199181000,193168000,191103000,190649000,189043000,187985000,175821000,107511000
41,Intangible Assets,- -,18000000,18000000,- -,166400000,10300000,8400000,6700000,5500000,4400000,2600000,200000,- -,- -,- -,107511000,107511000,107511000,107511000,107511000,107511000,107511000,107511000,107511000,107511000,107511000,271006000,269972000,263959000,261918000,267708000,266611000,265993000,207577000,107511000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112093000,167032000,159923000,155313000,157585000,203752000,279894000,274455000,269422000,207364000,193279000,137928000,53073000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9778000,12501000,13200000,18119000,69988000,43973000,26637000,45222000,- -,37828000,31017000,49142000,51474000,51129000,- -,- -,- -,- -,- -,- -,34768000
44,Other Non-Current Assets,- -,2900000,6900000,- -,48600000,20500000,14500000,109400000,75100000,12400000,10000000,12700000,161400000,143494000,61213000,25420000,48528000,102784000,44009000,122901000,201083000,159005000,82704000,55049000,63020000,78556000,112525000,106581000,107532000,81751000,91923000,116572000,132465000,110657000,156077000
45,Total Non-Current Assets,- -,41500000,44900000,- -,281700000,67500000,50400000,141900000,129700000,97100000,58500000,106400000,315700000,192033000,173176000,327404000,312835000,293771000,284031000,334306000,389663000,362429000,346334000,422832000,418027000,447675000,671848000,715546000,727017000,698572000,714569000,677283000,823475000,679506000,399284000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,200100000,218200000,- -,581300000,232200000,164800000,229400000,225600000,177700000,126500000,229000000,504400000,461975000,688903000,708495000,628212000,535895000,603130000,637462000,785289000,717712000,735542000,949595000,927768000,1086731000,1260159000,1573392000,1310756000,1404035000,1328278000,1549504000,1505089000,1343409000,871087000
48,Accounts Payable,- -,- -,- -,- -,70800000,26900000,16600000,12400000,22800000,32500000,10500000,13900000,36500000,9547000,16192000,17046000,8635000,10549000,15394000,7203000,6980000,6104000,4355000,9027000,9532000,6099000,26694000,- -,19639000,10573000,18552000,13144000,10222000,12846000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,31400000,6700000,55200000,7400000,21300000,42500000,23026000,4808000,31277000,10762000,6043000,9313000,52686000,20618000,97498000,21889000,51345000,135329000,36778000,151577000,52640000,8919000,39508000,33820000,256134000,227563000,39764000,3917000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19924000,30140000,24589000,26688000,18044000,24915000,26652000,10044000,12046000,19864000,23791000,19696000,10948000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7633000,- -
52,Other Current Liabilities,- -,58200000,66600000,- -,396200000,158900000,203600000,100600000,89700000,116800000,122600000,238200000,147700000,106202000,120545000,136061000,153689000,103243000,103393000,108897000,81739000,192557000,122764000,166500000,170337000,152282000,226734000,217455000,187734000,146067000,152267000,215642000,223348000,223072000,161373000
53,Total Current Liabilities,- -,58200000,66600000,- -,467000000,185800000,220200000,144400000,119200000,204500000,140500000,273400000,226700000,138775000,141545000,184384000,173086000,119835000,128100000,168786000,109337000,296159000,149008000,226872000,315198000,195159000,405005000,270095000,216292000,196148000,204639000,484920000,461133000,283315000,165290000
54,Long-Term Debt,- -,33800000,34300000,- -,329800000,457600000,389700000,405800000,406700000,378200000,399800000,262700000,148300000,39890000,214273000,307028000,299977000,254603000,243590000,103304000,277178000,210301000,334920000,506052000,493356000,586946000,540766000,860711000,886249000,1132943000,1194244000,1386697000,1397216000,1393729000,1407444000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34768000
56,Deferred Tax Liabilities,- -,2100000,2300000,- -,34400000,32900000,- -,- -,- -,- -,- -,- -,117300000,129887000,132528000,134762000,139927000,146284000,135785000,130533000,141904000,48807000,45120000,51815000,60642000,109532000,137650000,145639000,79429000,93085000,58801000,37411000,33695000,32456000,34768000
57,Other Non-Current Liabilities,- -,28100000,32300000,- -,78900000,44100000,69600000,54100000,55800000,50000000,74600000,87100000,145200000,68940000,31043000,15987000,18219000,46547000,62252000,139862000,156018000,128840000,211176000,211090000,147602000,274346000,198347000,274895000,250947000,235131000,202354000,187842000,298061000,293596000,70370000
58,Total Non-Current Liabilities,- -,64000000,68900000,- -,443100000,534600000,459300000,459900000,462500000,428200000,474400000,349800000,410800000,238717000,377844000,457777000,458123000,447434000,441627000,373699000,575100000,387948000,591216000,768957000,701600000,970824000,876763000,1281245000,1216625000,1461159000,1455399000,1611950000,1728972000,1719781000,1547350000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,175257000,181406000,- -
61,Total Liabilities,- -,122200000,135500000,- -,910100000,720400000,679500000,604300000,581700000,632700000,614900000,623200000,637500000,377492000,519389000,642161000,631209000,567269000,569727000,542485000,684437000,684107000,740224000,995829000,1016798000,1165983000,1281768000,1551340000,1432917000,1657307000,1660038000,2096870000,2190105000,2003096000,1712640000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2200000,2567000,3317000,3643000,3902000,4177000,4985000,5703000,6036000,6601000,7126000,7494000,7944000,8989000,9748000,11450000,12379000,12774000,13437000,14092000,14808000,15332000,15396000
64,Retained Earnings,- -,20800000,25600000,- -,-390700000,-516100000,-540900000,-420700000,-428200000,-490700000,-538800000,-512200000,-302200000,-148789000,-182645000,-236718000,-280598000,-303538000,-74359000,-28192000,- -,- -,- -,-45327000,-80440000,-65116000,-114787000,-90160000,-210113000,-333529000,-414785000,-542169000,-678464000,-653945000,-852398000
65,Other Comprehensive Income/Loss,- -,-3000000,-5000000,- -,-41900000,-19700000,-20000000,-24500000,-27900000,-31000000,-33200000,-33900000,-43100000,-40513000,-33413000,-11630000,-9335000,-10409000,-22291000,-2587000,18179000,-25242000,-14879000,4456000,-3677000,-10268000,22860000,34540000,-8313000,-11245000,-12571000,-19982000,-21808000,-21074000,-15723000
66,Other Total Stockholders Equity,- -,60100000,62100000,- -,101600000,47600000,46200000,70300000,100000000,66700000,83600000,151900000,210000000,199184000,326099000,267002000,239556000,224967000,125068000,120053000,76637000,52246000,3071000,-12857000,-12857000,-12857000,-12857000,-12857000,- -,- -,- -,- -,- -,- -,11172000
67,Total Stockholders Equity,- -,77900000,82700000,- -,-331000000,-488200000,-514700000,-374900000,-356100000,-455000000,-488400000,-394200000,-133100000,12449000,113358000,22297000,-46475000,-84803000,33403000,94977000,100852000,33605000,-4682000,-46234000,-89030000,-79252000,-95036000,-57027000,-206047000,-332000000,-413919000,-548059000,-685464000,-659687000,-841553000
68,Total Liabilities And Stockholders Equity,- -,200100000,218200000,- -,579100000,232200000,164800000,229400000,225600000,177700000,126500000,229000000,504400000,389941000,632747000,664458000,584734000,482466000,603130000,637462000,785289000,717712000,735542000,949595000,927768000,1086731000,1186732000,1494313000,1226870000,1325307000,1246119000,1548811000,1504641000,1343409000,871087000
69,Minority Interest,- -,- -,- -,- -,2200000,- -,- -,- -,- -,- -,- -,- -,- -,72034000,56156000,44037000,43478000,53429000,- -,- -,- -,- -,- -,- -,- -,- -,73427000,79079000,83886000,78728000,82159000,693000,448000,- -,- -
70,Total Liabilities & Equity,- -,200100000,218200000,- -,581300000,232200000,164800000,229400000,225600000,177700000,126500000,229000000,504400000,461975000,688903000,708495000,628212000,535895000,603130000,637462000,785289000,717712000,735542000,949595000,927768000,1086731000,1260159000,1573392000,1310756000,1404035000,1328278000,1549504000,1505089000,1343409000,871087000
71,SEC Link,undefined,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/59440/000095014405003085/0000950144-05-003085-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000095014406002439/0000950144-06-002439-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000095014407002355/0000950144-07-002355-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000095014408001553/0000950144-08-001553-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000095014409001779/0000950144-09-001779-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000095012310019359/0000950123-10-019359-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000095012311018301/0000950123-11-018301-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944012000012/0000059440-12-000012-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944013000007/0000059440-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944014000007/0000059440-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944015000009/0000059440-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944016000072/0000059440-16-000072-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944017000007/0000059440-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944018000007/0000059440-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944019000004/0000059440-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944020000004/0000059440-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944021000018/0000059440-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944022000010/0000059440-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-149600000,-75800000,106800000,110100000,-33900000,-62500000,-49900000,27400000,235600000,174218000,20663000,-31794000,-15610000,6728000,49082000,42712000,73803000,60504000,24806000,54084000,75020000,30622000,38944000,36978000,59198000,71127000,84572000,58105000,100974000,92938000,219463000
74,Depreciation and Amortization,- -,- -,- -,- -,40700000,10200000,19000000,6800000,9100000,8800000,8100000,8600000,7700000,12647000,9973000,13863000,16011000,11823000,11220000,9888000,10202000,10057000,10398000,14240000,10607000,10608000,12631000,24499000,25654000,22359000,18614000,18807000,17851000,17629000,- -
75,Deferred Income Tax,- -,- -,- -,- -,32300000,6700000,4700000,- -,- -,1100000,- -,-59600000,102200000,69522000,-16731000,1186000,-3314000,-14230000,20310000,-10379000,44656000,432000,-110183000,1225000,9366000,-7336000,466000,22026000,-13195000,12571000,-33311000,-17635000,-11198000,-673000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3642000,2704000,3183000,5563000,2519000,3251000,5621000,10034000,10887000,9951000,9469000,9483000,- -
77,Change in Working Capital,- -,- -,- -,- -,99600000,146300000,-84700000,48900000,33600000,-100600000,51400000,-78300000,112800000,169167000,243015000,-177475000,-54416000,-20002000,68710000,-56629000,151919000,-227165000,181076000,59691000,-105348000,249354000,-260591000,404445000,-220304000,141868000,-100245000,-21769000,-166820000,160107000,-74075000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13622000,5975000,-11197000,-1414000,-5809000,-17492000,-13372000,-7950000,- -,- -
79,Inventory,- -,- -,- -,- -,24100000,14300000,23700000,-9600000,-7500000,6800000,14400000,3000000,-9600000,-9011000,-23730000,-48590000,-26978000,10774000,8546000,-20904000,4474000,-5756000,-5905000,-8593000,-2149000,8837000,6897000,3173000,3806000,-3317000,43000,-1207000,-7767000,1217000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4497000,41047000,5708000,37936000,-22922000,14218000,4443000,-3983000,3237000,- -
81,Other Working Capital,- -,- -,- -,- -,-167400000,-21100000,-105800000,-56900000,-23300000,-123900000,-72500000,-150800000,-38000000,131167000,374182000,196707000,142291000,122289000,190999000,134370000,286289000,59124000,240200000,299891000,194543000,443897000,183306000,587751000,367447000,509315000,409070000,387301000,220481000,380588000,306513000
82,Other Non-Cash Items,- -,- -,- -,- -,1500000,-161200000,-23800000,-209900000,-31800000,149500000,-34700000,98600000,-400200000,-430451000,-233194000,182617000,73529000,59646000,-81133000,60423000,-171382000,247437000,-104072000,-64940000,43213000,-204725000,258057000,-383823000,287505000,-160323000,151069000,134375000,173795000,-11937000,-145388000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,24500000,-73800000,22000000,-44100000,-23000000,-3700000,-25100000,-3300000,58100000,-4897000,23726000,-11603000,16200000,43965000,68189000,46015000,109198000,91265000,5667000,67004000,36041000,84086000,52026000,107376000,144479000,97636000,131586000,181834000,124071000,267547000,- -
84,CAPEX,- -,- -,- -,- -,-16000000,-7400000,-3200000,-3000000,-8800000,-34200000,-20100000,-21000000,-61400000,-27603000,-77100000,-96636000,-8894000,-4294000,-10295000,-9558000,-5189000,-6309000,-3848000,-23391000,-11838000,-11265000,-13275000,-23404000,-10977000,-26691000,-19869000,-17682000,-12575000,-19063000,-13506000
