,https://roic.ai/company/MO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,3664000000,6693000000,7708000000,9260000000,17335000000,20160000000,23721000000,24532000000,17882000000,17698000000,17008000000,17321000000,17420000000,18741000000,19820000000,20575000000,23975000000,12833000000,12924000000,14824000000,15672000000,16036000000,8269000000,2356000000,2951000000,2924000000,2663000000,2249000000,2362000000,2541000000,2749000000,2650000000,2362000000,2756000000,2226000000,2154000000,2432000000
11,COGS and Expenses,9558000000,17077000000,23684000000,27220000000,37970000000,43223000000,47836000000,49072000000,43034000000,44327000000,42613000000,42784000000,42994000000,44455000000,48261000000,48597000000,57242000000,45581000000,44794000000,48677000000,52436000000,53516000000,24816000000,10626000000,10941000000,10628000000,10343000000,10186000000,9568000000,10326000000,10489000000,10396000000,9905000000,10129000000,9311000000,9972000000,9551000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70000000,4000000,3000000,4000000,2000000,4000000,49000000,4000000,13000000,31000000,32000000,42000000,14000000,26000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,237000000,1189000000,1136000000,1220000000,1128000000,1053000000,857000000,821000000,760000000,736000000,697000000,1322000000,1223000000,1188000000
14,Depreciation and Amortization,424000000,655000000,704000000,779000000,1194000000,1367000000,1497000000,1542000000,1619000000,2326000000,1671000000,1691000000,1700000000,1690000000,1702000000,1717000000,2337000000,1331000000,1440000000,1607000000,1675000000,1804000000,980000000,215000000,291000000,276000000,253000000,225000000,212000000,208000000,225000000,204000000,209000000,227000000,226000000,257000000,244000000
15,EBITDA,2753000000,3466000000,4052000000,4779000000,6252000000,7678000000,8468000000,10150000000,7338000000,10542000000,10990000000,12374000000,12311000000,10777000000,14397000000,15677000000,16304000000,18857000000,15795000000,15563000000,16728000000,18177000000,14862000000,7081000000,6355000000,7133000000,7052000000,7827000000,8207000000,8839000000,9122000000,22811000000,10768000000,10261000000,2319000000,8383000000,5256000000
16,EBITDA ratio,0.2266,0.1676,0.1463,0.1506,0.1397,0.1501,0.1500,0.1717,0.1450,0.1960,0.2068,0.2268,0.2194,0.1864,0.2331,0.2478,0.2235,0.3033,0.2602,0.2433,0.2427,0.2585,0.3906,0.4438,0.3777,0.4223,0.4243,0.4473,0.4646,0.4926,0.4838,1.1797,0.5524,0.5228,0.1171,0.4022,0.2490
17,Operating Income,2591000000,3604000000,4011000000,4522000000,6789000000,7946000000,8622000000,10059000000,7587000000,9449000000,10526000000,11769000000,13120000000,13357000000,13490000000,14679000000,15702000000,16601000000,15910000000,15180000000,16592000000,17413000000,13235000000,4882000000,5462000000,6228000000,6068000000,7253000000,8084000000,7620000000,8361000000,8762000000,9556000000,9115000000,10326000000,10873000000,11560000000
18,Operating Income ratio,0.2133,0.1743,0.1448,0.1425,0.1517,0.1553,0.1527,0.1701,0.1499,0.1757,0.1981,0.2157,0.2338,0.2310,0.2185,0.2320,0.2153,0.2670,0.2621,0.2373,0.2407,0.2476,0.3478,0.3059,0.3247,0.3687,0.3651,0.4145,0.4577,0.4246,0.4435,0.4531,0.4902,0.4644,0.5216,0.5217,0.5476
19,Total Other Income Expenses (Gains),-262000000,-793000000,-663000000,-522000000,-1731000000,-1635000000,-1651000000,-1451000000,-1391000000,-1233000000,-1179000000,-1086000000,-2509000000,-4270000000,-795000000,-719000000,-1418000000,1497000000,-1150000000,-1176000000,-1157000000,-877000000,-215000000,-93000000,-585000000,-505000000,-486000000,-776000000,-1142000000,154000000,-283000000,13090000000,272000000,226000000,-9560000000,-3983000000,-7736000000
20,Income Before Tax,2329000000,2811000000,3348000000,4000000000,5058000000,6311000000,6971000000,8608000000,6196000000,8216000000,9347000000,10683000000,10611000000,9087000000,12695000000,13960000000,14284000000,18098000000,14760000000,14004000000,15435000000,16536000000,13020000000,4789000000,4877000000,5723000000,5582000000,6477000000,6942000000,7774000000,8078000000,21852000000,9828000000,9341000000,766000000,6890000000,3824000000
21,Income Before Tax Ratio,0.1917,0.1359,0.1209,0.1260,0.1130,0.1233,0.1235,0.1456,0.1224,0.1528,0.1759,0.1958,0.1891,0.1572,0.2056,0.2206,0.1958,0.2910,0.2431,0.2189,0.2240,0.2351,0.3422,0.3001,0.2899,0.3388,0.3359,0.3701,0.3930,0.4332,0.4285,1.1301,0.5042,0.4759,0.0387,0.3306,0.1811
22,Income Tax expense (Gain),1074000000,1333000000,1506000000,1663000000,2112000000,2771000000,3044000000,3669000000,2628000000,3491000000,3869000000,4380000000,4301000000,3715000000,5020000000,5450000000,5407000000,6424000000,5151000000,4540000000,4618000000,4351000000,4096000000,1699000000,1669000000,1816000000,2189000000,2294000000,2407000000,2704000000,2835000000,7608000000,-399000000,2374000000,2064000000,2436000000,1349000000
23,Net Income,1255000000,1478000000,1842000000,2337000000,2946000000,3540000000,3927000000,4939000000,3091000000,4725000000,5450000000,6303000000,6310000000,5372000000,7675000000,8510000000,8560000000,11102000000,9204000000,9416000000,10435000000,12022000000,9786000000,4930000000,3206000000,3905000000,3390000000,4180000000,4535000000,5070000000,5241000000,14239000000,10222000000,6963000000,-1293000000,4467000000,2475000000
24,Net Income ratio,0.1033,0.0715,0.0665,0.0736,0.0658,0.0692,0.0696,0.0835,0.0611,0.0879,0.1026,0.1155,0.1124,0.0929,0.1243,0.1345,0.1174,0.1785,0.1516,0.1472,0.1514,0.1710,0.2572,0.3090,0.1906,0.2312,0.2040,0.2389,0.2568,0.2825,0.2780,0.7364,0.5244,0.3548,-0.0653,0.2143,0.1172
25,EPS,0.44,0.52,0.65,0.74,1.06,1.28,1.41,1.82,1.17,1.82,2.16,2.56,2.61,2.21,3.21,3.77,3.92,5.26,4.54,4.60,5.04,5.76,4.66,2.38,1.55,1.87,1.64,2.06,2.26,2.56,2.67,7.28,5.31,3.69,-0.70,2.40,1.33
26,EPS Diluted,0.44,0.52,0.65,0.73,1.05,1.27,1.40,1.80,1.17,1.82,2.16,2.56,2.58,2.20,3.19,3.75,3.87,5.21,4.52,4.56,4.99,5.71,4.62,2.36,1.54,1.87,1.64,2.06,2.26,2.56,2.67,7.28,5.31,3.68,-0.70,2.40,1.33
27,Weighted Average Shares Outstanding,2852272727,2842307692,2833846154,3158108108,2779245283,2765625000,2785106383,2713736264,2634363000,2600917431,2523148148,2462109375,2417624521,2430769231,2390965732,2257294430,2183673469,2110646388,2027312775,2046956522,2070436508,2087152778,2100000000,2071428571,2066000000,2077000000,2064000000,2024000000,1999000000,1978000000,1961000000,1952000000,1921000000,1887000000,1869000000,1858000000,1823175618
28,Weighted Average Shares Outstanding Diluted,2852272727,2842307692,2833846154,3201369863,2805714286,2787401575,2805000000,2743888889,2634363000,2600917431,2532000000,2462109375,2445736434,2441818182,2405956113,2269333333,2211886305,2130902111,2036283186,2064912281,2091182365,2105429072,2118181818,2088983051,2071000000,2079000000,2064000000,2024000000,1999000000,1978000000,1961000000,1952000000,1921000000,1888000000,1869000000,1859000000,1832000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764180/000095013095000460/0000950130-95-000460-index.html,https://www.sec.gov/Archives/edgar/data/764180/000095014696000483/0000950146-96-000483-index.html,- -,https://www.sec.gov/Archives/edgar/data/764180/0001047469-98-008784-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764180/000119312504040664/d10k.htm,https://www.sec.gov/Archives/edgar/data/764180/000095012305003146/y06457e10vk.htm,https://www.sec.gov/Archives/edgar/data/764180/000119312506051165/d10k.htm,https://www.sec.gov/Archives/edgar/data/764180/000119312507044345/d10k.htm,https://www.sec.gov/Archives/edgar/data/764180/000119312508041586/d10k.htm,https://www.sec.gov/Archives/edgar/data/764180/000119312509041005/0001193125-09-041005-index.html,https://www.sec.gov/Archives/edgar/data/764180/000119312510039027/0001193125-10-039027-index.html,https://www.sec.gov/Archives/edgar/data/764180/000119312511045778/d10k.htm,https://www.sec.gov/Archives/edgar/data/764180/000119312512064660/0001193125-12-064660-index.html,https://www.sec.gov/Archives/edgar/data/764180/000076418013000024/0000764180-13-000024-index.html,https://www.sec.gov/Archives/edgar/data/764180/000076418014000025/a2013form10-kq42013.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418015000022/a2014form10-kq42014.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418016000128/0000764180-16-000128-index.html,https://www.sec.gov/Archives/edgar/data/764180/000076418017000028/0000764180-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/764180/000076418018000028/0000764180-18-000028-index.html,https://www.sec.gov/Archives/edgar/data/764180/000076418019000023/0000764180-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/764180/000076418020000018/0000764180-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/764180/000076418021000037/0000764180-21-000037-index.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418022000019/0000764180-22-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,184000000,1138000000,240000000,2282000000,4081000000,5100000000,937000000,453000000,565000000,3777000000,5744000000,6258000000,5020000000,6498000000,7916000000,1871000000,2314000000,3270000000,2900000000,3175000000,3321000000,2369000000,4569000000,1253000000,1333000000,2117000000,4945000000,4544000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,184000000,1138000000,240000000,2282000000,4081000000,5100000000,937000000,453000000,565000000,3777000000,5744000000,6258000000,5020000000,6498000000,7916000000,1871000000,2314000000,3270000000,2900000000,3175000000,3321000000,2369000000,4569000000,1253000000,1333000000,2117000000,4945000000,4544000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,4382000000,4508000000,4466000000,4294000000,4691000000,4313000000,5019000000,5148000000,5139000000,5256000000,5754000000,5361000000,6070000000,3323000000,44000000,96000000,85000000,268000000,193000000,115000000,124000000,124000000,151000000,603000000,309000000,268000000,137000000,47000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,7987000000,7862000000,9002000000,9039000000,9445000000,9028000000,8765000000,8923000000,9127000000,9540000000,10041000000,10584000000,12186000000,10571000000,1069000000,1810000000,1803000000,1779000000,1746000000,1879000000,2040000000,2031000000,2051000000,2225000000,2331000000,2293000000,1966000000,1194000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1355000000,1371000000,1482000000,1825000000,2013000000,2454000000,2517000000,2751000000,2610000000,2809000000,4362000000,3578000000,2876000000,2498000000,2047000000,1996000000,1779000000,1814000000,1476000000,1421000000,1393000000,1562000000,489000000,263000000,326000000,146000000,69000000,298000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,13908000000,14879000000,15190000000,17440000000,20230000000,20895000000,17238000000,17275000000,17441000000,21382000000,25901000000,25781000000,26152000000,22890000000,11076000000,5773000000,5981000000,7131000000,6315000000,6590000000,6878000000,6086000000,7260000000,4344000000,4299000000,4824000000,7117000000,6083000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,11171000000,11116000000,17096000000,11621000000,12335000000,12271000000,15303000000,15137000000,14846000000,16067000000,16305000000,16678000000,17274000000,8857000000,2199000000,2684000000,2380000000,2216000000,2102000000,2028000000,1983000000,1982000000,1958000000,1914000000,1938000000,1999000000,2012000000,1553000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33235000000,8001000000,77000000,5174000000,5174000000,5174000000,5174000000,5174000000,5285000000,5285000000,5285000000,5307000000,5196000000,5177000000,5177000000,5177000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,19744000000,19319000000,18998000000,17789000000,17566000000,16879000000,33090000000,37548000000,37871000000,39545000000,39112000000,43415000000,12085000000,4953000000,3039000000,12138000000,12118000000,12098000000,12078000000,12058000000,12049000000,12028000000,12036000000,12400000000,12279000000,12687000000,12615000000,12306000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,19744000000,19319000000,18998000000,17789000000,17566000000,16879000000,33090000000,37548000000,37871000000,39545000000,39112000000,43415000000,45320000000,12954000000,3116000000,17312000000,17292000000,17272000000,17252000000,17232000000,17334000000,17313000000,17321000000,17707000000,17475000000,17864000000,17792000000,17483000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4261000000,4980000000,9898000000,9086000000,9218000000,8452000000,7797000000,6722000000,18880000000,18851000000,30496000000,23581000000,19529000000,13481000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,7826000000,8497000000,3587000000,9097000000,9789000000,11336000000,13436000000,15008000000,17382000000,19181000000,20330000000,22075000000,15524000000,12510000000,6563000000,5928000000,1851000000,1257000000,442000000,557000000,483000000,432000000,513000000,386000000,1430000000,1003000000,964000000,923000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,38741000000,38932000000,39681000000,38507000000,39690000000,40486000000,61829000000,67693000000,70099000000,74793000000,75747000000,82168000000,78118000000,34321000000,16139000000,30904000000,31421000000,29831000000,29014000000,28269000000,27597000000,26449000000,38672000000,38858000000,51339000000,44447000000,40297000000,33440000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,52649000000,53811000000,54871000000,55947000000,59920000000,61381000000,79067000000,84968000000,87540000000,96175000000,101648000000,107949000000,104270000000,57211000000,27215000000,36677000000,37402000000,36962000000,35329000000,34859000000,34475000000,32535000000,45932000000,43202000000,55638000000,49271000000,47414000000,39523000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,3789000000,3364000000,3409000000,3318000000,3359000000,3351000000,3787000000,3600000000,3088000000,3198000000,3466000000,3645000000,4016000000,1463000000,494000000,494000000,529000000,503000000,451000000,409000000,416000000,400000000,425000000,374000000,399000000,325000000,380000000,449000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1497000000,2719000000,2279000000,1673000000,2047000000,2242000000,9968000000,3451000000,1965000000,3376000000,4297000000,6266000000,4201000000,3083000000,135000000,775000000,- -,600000000,1459000000,525000000,1000000000,4000000,- -,864000000,13848000000,1000000000,1500000000,1105000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,8283000000,8861000000,9352000000,10080000000,10973000000,12424000000,13221000000,13602000000,14029000000,14819000000,15811000000,16247000000,17210000000,14236000000,6513000000,6723000000,6311000000,6540000000,6341000000,6124000000,6257000000,6674000000,6950000000,5554000000,6946000000,6849000000,7183000000,7025000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,13569000000,14944000000,15040000000,15071000000,16379000000,18017000000,26976000000,20653000000,19082000000,21393000000,23574000000,26158000000,25427000000,18782000000,7142000000,7992000000,6840000000,7643000000,8251000000,7058000000,7673000000,7078000000,7375000000,6792000000,21193000000,8174000000,9063000000,8579000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,14975000000,13107000000,12961000000,12430000000,12615000000,12226000000,19154000000,18651000000,21355000000,21163000000,18683000000,17868000000,14498000000,7963000000,7339000000,11185000000,12194000000,13089000000,12419000000,13992000000,13693000000,12915000000,13881000000,13030000000,11898000000,27042000000,27971000000,26939000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3395000000,3738000000,4367000000,4766000000,5080000000,5680000000,6665000000,10484000000,11633000000,13110000000,13553000000,14229000000,10851000000,7093000000,4995000000,8563000000,4618000000,7562000000,6652000000,6854000000,6088000000,5663000000,8416000000,5247000000,5172000000,5083000000,4532000000,3692000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,7924000000,8037000000,8285000000,8760000000,9649000000,10153000000,11267000000,11547000000,11626000000,10672000000,10360000000,9846000000,10347000000,4819000000,4911000000,4865000000,8523000000,4953000000,4837000000,2837000000,4011000000,4006000000,3487000000,2753000000,2586000000,2653000000,2923000000,1919000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,26294000000,24882000000,25613000000,25956000000,27344000000,28059000000,37086000000,40682000000,44614000000,44945000000,42596000000,41943000000,35696000000,19875000000,17245000000,24613000000,25335000000,25604000000,23908000000,23683000000,23792000000,22584000000,25784000000,21030000000,19656000000,34778000000,35426000000,32550000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,39863000000,39826000000,40653000000,41027000000,43723000000,46076000000,64062000000,61335000000,63696000000,66338000000,66170000000,68101000000,61123000000,38657000000,24387000000,32605000000,32175000000,33247000000,32159000000,30741000000,31465000000,29662000000,33159000000,27822000000,40849000000,42952000000,44489000000,41129000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,935000000,935000000,935000000,935000000,935000000,935000000,935000000,935000000,935000000,935000000,935000000,935000000,935000000,935000000,935000000,935000000,935000000,935000000,935000000,935000000,935000000,935000000,935000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,17489000000,19779000000,22478000000,24924000000,26261000000,29556000000,33481000000,37269000000,43259000000,47008000000,50595000000,54666000000,59879000000,34426000000,22131000000,22599000000,23459000000,23583000000,24316000000,25168000000,26277000000,27257000000,36906000000,42251000000,43962000000,36539000000,34679000000,30664000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7083000000,-7485000000,-8221000000,-8381000000,-8899000000,-9328000000,-9603000000,-10488000000,-9707000000,-11166000000,-12782000000,-1853000000,-3808000000,111000000,-2181000000,-1561000000,-1484000000,-1887000000,-2040000000,-1378000000,-2682000000,-3280000000,-2052000000,-1897000000,-2547000000,-2864000000,-4341000000,-3056000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2380000000,1691000000,- -,- -,- -,- -,- -,- -,-15009000000,-11700000000,-8034000000,-18041000000,-17387000000,-16918000000,-18057000000,-17904000000,-17718000000,-18951000000,-20043000000,-20606000000,-21516000000,-22032000000,-23019000000,-25912000000,-27563000000,-28388000000,-28434000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,12786000000,13985000000,14218000000,14920000000,16197000000,15305000000,15005000000,19620000000,19478000000,25077000000,30714000000,35707000000,39619000000,18554000000,2828000000,4069000000,5192000000,3680000000,3168000000,4119000000,3014000000,2880000000,12770000000,15377000000,14787000000,6222000000,2839000000,-1606000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,52649000000,53811000000,54871000000,55947000000,59920000000,61381000000,79067000000,80955000000,83174000000,91415000000,96884000000,103808000000,100742000000,57211000000,27215000000,36674000000,37367000000,36927000000,35327000000,34860000000,34479000000,32542000000,45929000000,43199000000,55636000000,49174000000,47328000000,39523000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4013000000,4366000000,4760000000,4764000000,4141000000,3528000000,- -,- -,3000000,35000000,35000000,2000000,-1000000,-4000000,-7000000,3000000,3000000,2000000,97000000,86000000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,52649000000,53811000000,54871000000,55947000000,59920000000,61381000000,79067000000,84968000000,87540000000,96175000000,101648000000,107949000000,104270000000,57211000000,27215000000,36677000000,37402000000,36962000000,35329000000,34859000000,34475000000,32535000000,45932000000,43202000000,55638000000,49271000000,47414000000,39523000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/764180/000095013095000460/0000950130-95-000460-index.html,https://www.sec.gov/Archives/edgar/data/764180/000095014696000483/0000950146-96-000483-index.html,- -,https://www.sec.gov/Archives/edgar/data/764180/0001047469-98-008784-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764180/000119312504040664/d10k.htm,https://www.sec.gov/Archives/edgar/data/764180/000095012305003146/y06457e10vk.htm,https://www.sec.gov/Archives/edgar/data/764180/000119312506051165/d10k.htm,https://www.sec.gov/Archives/edgar/data/764180/000119312507044345/d10k.htm,https://www.sec.gov/Archives/edgar/data/764180/000119312508041586/d10k.htm,https://www.sec.gov/Archives/edgar/data/764180/000119312509041005/0001193125-09-041005-index.html,https://www.sec.gov/Archives/edgar/data/764180/000119312510039027/0001193125-10-039027-index.html,https://www.sec.gov/Archives/edgar/data/764180/000119312511045778/d10k.htm,https://www.sec.gov/Archives/edgar/data/764180/000119312512064660/0001193125-12-064660-index.html,https://www.sec.gov/Archives/edgar/data/764180/000076418013000024/0000764180-13-000024-index.html,https://www.sec.gov/Archives/edgar/data/764180/000076418014000025/a2013form10-kq42013.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418015000022/a2014form10-kq42014.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418016000128/0000764180-16-000128-index.html,https://www.sec.gov/Archives/edgar/data/764180/000076418017000028/0000764180-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/764180/000076418018000028/0000764180-18-000028-index.html,https://www.sec.gov/Archives/edgar/data/764180/000076418019000023/0000764180-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/764180/000076418020000018/0000764180-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/764180/000076418021000037/0000764180-21-000037-index.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418022000019/0000764180-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
