,https://roic.ai/company/AINC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,- -,- -,- -,- -,-0.0229,-0.0363,-0.1290,-0.0043,-0.0386,-0.7529,-0.0135
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-8627000,-9166000,51000,-1705000,-2604000,-6113000,-5747000
20,Income Before Tax,-32817000,-38182000,-47712000,-46298000,-9978000,-11623000,-10471000,-2544000,-13834000,-230043000,-10980000
21,Income Before Tax Ratio,-Infinity,-Infinity,-49.7000,-2.6780,-0.1692,-0.1719,-0.1284,-0.0130,-0.0475,-0.7734,-0.0283
22,Income Tax expense (Gain),- -,- -,7000,783000,2066000,780000,9723000,-10364000,1540000,-14255000,-162000
23,Net Income,-32817000,-38182000,-47719000,-46410000,-1190000,-2396000,-18352000,10182000,-13855000,-212365000,-9925000
24,Net Income ratio,-Infinity,-Infinity,-49.7073,-2.6845,-0.0202,-0.0354,-0.2250,0.0521,-0.0476,-0.7140,-0.0255
25,EPS,-16.95,-19.72,-0.13,-24.16,-0.60,-1.19,-9.04,2.29,-12.03,-108.30,-4.35
26,EPS Diluted,-16.95,-19.72,-0.13,-24.16,-4.45,-2.56,-9.59,-2.11,-13.55,-108.30,-4.35
27,Weighted Average Shares Outstanding,1936000,1936000,1936000,1932000,1991000,2012000,2031000,2170000,2416000,2284000,2284000
28,Weighted Average Shares Outstanding Diluted,1936000,1995000,1936000,1932000,2203000,2209000,2067000,2332000,2568000,2284000,2284000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1604738/000160473815000020/0001604738-15-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1604738/000160473816000104/0001604738-16-000104-index.html,https://www.sec.gov/Archives/edgar/data/1604738/000160473817000014/0001604738-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1604738/000160473818000009/0001604738-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1604738/000160473819000013/0001604738-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1604738/000160473820000014/0001604738-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1604738/000160473821000019/0001604738-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1604738/000160473822000015/0001604738-22-000015-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,600000,29597000,50272000,84091000,36480000,51529000,35349000,45270000,37571000
32,Short-Term Investments,- -,- -,- -,- -,81072000,91000,- -,- -,1195000,290000,576000
33,Cash and Short-Term Investments,- -,- -,600000,29597000,131344000,84182000,36480000,51529000,36544000,45560000,38147000
34,Net Receivables,- -,- -,960000,10748000,9927000,16012000,20211000,12262000,13994000,19151000,19260000
35,Inventory,- -,- -,- -,- -,- -,- -,1066000,1202000,1642000,1546000,1555000
36,Other Current Assets,- -,240000,216000,4697000,7593000,11057000,11989000,11816000,25112000,45025000,44368000
37,Total Current Assets,- -,240000,1776000,45042000,148864000,111251000,69746000,76809000,77292000,111282000,103330000
38,PP&E,- -,400000,546000,4188000,6550000,12044000,21154000,47947000,147889000,119191000,110541000
39,Goodwill,- -,- -,- -,- -,- -,- -,12947000,59683000,205606000,56622000,56622000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,9713000,193194000,347961000,271432000,244726000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,22660000,252877000,553567000,328054000,301348000
42,Investments,- -,- -,- -,- -,3335000,500000,500000,500000,3476000,3687000,3581000
43,Tax Assets,- -,- -,- -,- -,4242000,6002000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,4000000,- -,750000,872000,276000,3225000,870000
45,Total Non-Current Assets,- -,400000,546000,4188000,18127000,18546000,45064000,302196000,705208000,454157000,416340000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,640000,2322000,49230000,166991000,129797000,114810000,379005000,782500000,565439000,519670000
48,Accounts Payable,- -,6792000,7828000,9307000,10447000,11314000,20451000,24880000,39160000,40378000,44771000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,1751000,2595000,7329000,9879000,11418000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,459000,148000,233000,12738000,2937000
52,Other Current Liabilities,- -,180000,232000,4825000,7449000,13118000,13659000,10623000,24837000,47685000,60473000
53,Total Current Liabilities,- -,6972000,8060000,14132000,17896000,24432000,36320000,38246000,71559000,110680000,119599000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,9956000,15177000,33033000,57349000,119625000
55,Deferred Revenue,- -,83000,21000,- -,629000,4515000,13440000,13396000,13047000,8621000,7968000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,31506000,69521000,37904000,32848000
57,Other Non-Current Liabilities,- -,- -,- -,20204000,11830000,10701000,24137000,13932000,79256000,73536000,3326000
58,Total Non-Current Liabilities,- -,83000,21000,20204000,12459000,15216000,47533000,74011000,194857000,177410000,163767000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,73780000,74556000,71649000
61,Total Liabilities,- -,7055000,8081000,34336000,30355000,39648000,83853000,112257000,266416000,288090000,283366000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,200847000,474060000,476947000,478000000
63,Common Stock,- -,- -,- -,20000,20000,20000,21000,24000,2000,3000,3000
64,Retained Earnings,- -,- -,- -,-213042000,-202546000,-200439000,-219396000,-214242000,-244084000,-491483000,-534999000
65,Other Comprehensive Income/Loss,- -,-783000,-961000,-530000,-1216000,-2167000,-135000,-498000,-216000,-1156000,-1206000
66,Other Total Stockholders Equity,- -,- -,- -,228533000,235907000,239963000,249695000,280159000,285694000,293159000,293799000
67,Total Stockholders Equity,- -,-6415000,-5759000,14981000,32165000,37377000,30185000,266290000,515456000,277470000,235597000
68,Total Liabilities And Stockholders Equity,- -,640000,2322000,49317000,62520000,77025000,114038000,378547000,781872000,565560000,518963000
69,Minority Interest,- -,- -,- -,-87000,104471000,52772000,772000,458000,628000,-121000,707000
70,Total Liabilities & Equity,- -,640000,2322000,49230000,166991000,129797000,114810000,379005000,782500000,565439000,519670000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1604738/000160473815000020/0001604738-15-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1604738/000160473816000104/0001604738-16-000104-index.html,https://www.sec.gov/Archives/edgar/data/1604738/000160473817000014/0001604738-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1604738/000160473818000009/0001604738-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1604738/000160473819000013/0001604738-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1604738/000160473820000014/0001604738-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1604738/000160473821000019/0001604738-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1604738/000160473822000015/0001604738-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-32817000,-38182000,-47719000,-46410000,-1190000,-2396000,-18352000,10182000,-13855000,-212365000,-9925000
74,Depreciation and Amortization,254000,216000,220000,359000,799000,1174000,2938000,13308000,31142000,45674000,327000
75,Deferred Income Tax,- -,- -,- -,- -,-4242000,-2075000,6002000,-12240000,-1930000,-22410000,- -
76,Stock Based Compensation,- -,17125000,- -,21505000,15609000,11573000,8469000,10019000,8874000,5562000,1671000
77,Change in Working Capital,-674000,-6732000,448000,37194000,100058000,-44149000,-53393000,5137000,-32830000,-5131000,-16871000
78,Accounts Receivable,- -,- -,- -,- -,-250000,234000,-725000,225000,-1210000,3666000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-205000,-132000,-397000,79000,- -
80,Accounts Payable,-655000,1181000,963000,1934000,2725000,4791000,1575000,2145000,5006000,5565000,- -
81,Other Working Capital,- -,-6732000,-6284000,30910000,130968000,86819000,33426000,38563000,5733000,602000,-16269000
82,Other Non-Cash Items,12414000,7845000,24606000,-37722000,-88580000,116663000,73751000,-4887000,33298000,220880000,24798000
83,Cash Provided by Operating Activities,-20823000,-19728000,-22445000,-25074000,22454000,80790000,19415000,21519000,24699000,32210000,- -
84,CAPEX,-115000,-167000,-366000,-3471000,-2137000,-6240000,-3580000,-25042000,-30043000,-2846000,205000
85,Acquisitions Net,- -,- -,- -,- -,-5500000,1375000,-18843000,2277000,2873000,-150000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-735000,-5334000,-1661000,-3034000,- -
89,Cash Used for Investing Activites,-115000,-167000,-366000,-3471000,-7637000,-4865000,-23158000,-28099000,-28831000,-6030000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-1229000,-22857000,-49914000,-34283000,-439000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,18930000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-87000,-20000,-24000,- -,-12389000,-18000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-4466000,-9710000,-20540000,-16706000
94,Other Financing Activites,20938000,19895000,23411000,57542000,5945000,-42086000,-43281000,28907000,69946000,57571000,-4503000
95,Cash Used/Provided by Financing Activities,20938000,19895000,23411000,57542000,5858000,-42106000,-44534000,20514000,-2067000,2730000,-21648000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-10000,-47000,5000,507000,33000
97,Net Change In Cash,20938000,19895000,23411000,28997000,20675000,33819000,-48287000,13887000,-6194000,29417000,-10217000
98,Cash at the End of Period,- -,- -,600000,29597000,50272000,84091000,45556000,59443000,53249000,82666000,72449000
99,Cash at the Beginning of Period,- -,- -,- -,600000,29597000,50272000,93843000,45556000,59443000,53249000,82666000
100,Free Cash Flow,-20938000,-19895000,-22811000,-28545000,20317000,74550000,15835000,-3523000,-5344000,29364000,205000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1604738/000160473815000020/0001604738-15-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1604738/000160473816000104/0001604738-16-000104-index.html,https://www.sec.gov/Archives/edgar/data/1604738/000160473817000014/0001604738-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1604738/000160473818000009/0001604738-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1604738/000160473819000013/0001604738-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1604738/000160473820000014/0001604738-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1604738/000160473821000019/0001604738-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1604738/000160473822000015/0001604738-22-000015-index.htm
102,false,,,,,,,,,,,
