,https://roic.ai/company/COKE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,113100000,155300000,143200000,109300000,141000000,161200000,175000000,239000000,234100000,- -,252600000,277300000,285900000,- -,326300000,402805000,405100000,483000000,502100000,- -,515800000,537915000,539251000,555700000,- -,525500000,544500000,565600000,585000000,619272000,- -,769419000,1444768000,1487640000,1489748000,1455531000,1515016000
11,COGS and Expenses,298200000,383100000,354100000,295300000,360500000,401300000,437900000,611900000,629700000,- -,700200000,713300000,738800000,- -,861200000,932927000,960700000,1150300000,1127500000,- -,1172100000,1346341000,1354116000,1404100000,- -,1348500000,1418300000,1525700000,1567700000,1660402000,- -,2174845000,4227489000,4557292000,4645795000,4693979000,5123543000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,974000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),27800000,32600000,- -,23500000,24700000,24100000,21600000,36900000,31000000,- -,33100000,-30400000,-37500000,- -,-39900000,53346000,-44300000,-49120000,-41914000,- -,-43983000,50286000,47641000,-39601000,- -,-37379000,-35127000,35338000,29403000,29272000,- -,28915000,41869000,50506000,45990000,36735000,33449000
14,Depreciation and Amortization,12300000,17600000,18000000,15500000,27500000,29500000,29700000,40500000,38600000,- -,39000000,40700000,46600000,- -,50100000,79582000,81077000,77753000,78590000,- -,73071000,67884000,68326000,68562000,- -,61368000,62826000,61859000,58671000,61130000,- -,80896000,168841000,187256000,179916000,179017000,180565000
15,EBITDA,52300000,26700000,-13600000,38000000,49800000,55800000,54200000,-33900000,93600000,- -,92300000,36000000,33400000,- -,33500000,142763000,48477000,66633000,74776000,- -,65588000,149330000,148206000,46461000,- -,78670000,85448000,146286000,127916000,141292000,- -,202891000,267404000,219701000,252946000,447188000,469163000
16,EBITDA ratio,0.1539,0.0684,-0.0384,0.1158,0.1296,0.1295,0.1166,-0.0517,0.1362,- -,0.1211,0.0465,0.0416,- -,0.0361,0.1435,0.0474,0.0535,0.0618,- -,0.0522,0.1044,0.1032,0.0317,- -,0.0545,0.0564,0.0906,0.0779,0.0809,- -,0.0880,0.0618,0.0475,0.0524,0.0893,0.0843
17,Operating Income,41700000,7200000,300000,32900000,23800000,29700000,26800000,43900000,57300000,- -,61700000,60600000,63300000,- -,67300000,62207000,62018000,96266000,83271000,- -,84349000,84664000,81883000,59478000,- -,94503000,96318000,88686000,73647000,85967000,- -,98144000,96179000,57902000,180754000,313378000,439171000
18,Operating Income ratio,0.1227,0.0184,0.0008,0.1002,0.0619,0.0689,0.0577,0.0669,0.0834,- -,0.0810,0.0783,0.0789,- -,0.0725,0.0625,0.0606,0.0772,0.0688,- -,0.0671,0.0592,0.0570,0.0406,- -,0.0655,0.0636,0.0549,0.0449,0.0492,- -,0.0426,0.0222,0.0125,0.0374,0.0626,0.0789
19,Total Other Income Expenses (Gains),-30000000,-30700000,-31900000,-33900000,-26200000,-27500000,-2400000,-39000000,-33300000,- -,-36500000,-34900000,-39000000,- -,-44100000,-52372000,-50318000,-58166000,-45171000,- -,-47749000,-53504000,-49644000,-41978000,- -,-39803000,-35118000,-35386000,-29447000,-30349000,- -,978000,-33173000,-71189000,-146529000,-72338000,-184022000
20,Income Before Tax,11700000,-23500000,-31600000,-1000000,-2400000,2200000,- -,4900000,24000000,- -,25200000,25700000,24300000,- -,23200000,9835000,11700000,38100000,38100000,- -,36600000,31160000,32239000,17500000,- -,54700000,61200000,53300000,44200000,55618000,- -,99122000,63006000,-13287000,34225000,241040000,255149000
21,Income Before Tax Ratio,0.0344,-0.0602,-0.0892,-0.0030,-0.0062,0.0051,- -,0.0075,0.0349,- -,0.0331,0.0332,0.0303,- -,0.0250,0.0099,0.0114,0.0306,0.0315,- -,0.0291,0.0218,0.0225,0.0120,- -,0.0379,0.0404,0.0330,0.0269,0.0318,- -,0.0430,0.0146,-0.0029,0.0071,0.0481,0.0459
22,Income Tax expense (Gain),3200000,-10500000,-9900000,800000,500000,2000000,- -,2800000,9200000,- -,9700000,9500000,9000000,- -,8400000,3541000,2200000,15200000,7400000,- -,14700000,7917000,12383000,8400000,- -,16581000,21649000,21889000,12142000,19536000,- -,34078000,-39841000,1869000,15665000,58943000,65569000
23,Net Income,9000000,-13000000,-21700000,-1800000,-2900000,200000,2900000,-114100000,14800000,- -,10500000,16200000,15300000,- -,14900000,6294000,9500000,22800000,30700000,- -,21800000,23243000,19856000,9100000,- -,38100000,36100000,27200000,27700000,31354000,- -,59002000,96535000,-19930000,11375000,172493000,189580000
24,Net Income ratio,0.0265,-0.0333,-0.0612,-0.0055,-0.0075,0.0005,0.0062,-0.1740,0.0215,- -,0.0138,0.0209,0.0191,- -,0.0160,0.0063,0.0093,0.0183,0.0254,- -,0.0173,0.0162,0.0138,0.0062,- -,0.0264,0.0238,0.0168,0.0169,0.0180,- -,0.0256,0.0223,-0.0043,0.0024,0.0344,0.0341
25,EPS,1.59,-2.01,-2.96,-0.23,-0.32,-0.02,0.32,-12.89,1.60,- -,1.13,1.74,1.82,- -,1.78,0.72,1.08,2.58,3.40,- -,2.41,2.55,2.18,0.99,- -,4.16,3.93,2.95,2.99,3.38,- -,6.35,10.35,-2.13,1.21,18.40,20.23
26,EPS Diluted,1.59,-2.01,-2.96,-0.23,-0.32,-0.02,0.32,-12.89,1.60,- -,1.13,1.74,1.79,- -,1.75,0.71,1.07,2.56,3.40,- -,2.41,2.55,2.17,0.99,- -,3.37,3.19,2.94,2.98,3.37,- -,6.33,10.30,-2.13,1.21,18.30,20.15
27,Weighted Average Shares Outstanding,5660377,6467662,7331081,7826087,9062500,10000000,6875000,9181000,9250000,- -,9294000,9280000,8407000,- -,8365000,8733000,8753000,8861000,9043000,- -,9063000,6645460,9124000,9144000,- -,9164000,9181000,9226000,9246000,9267000,- -,9288000,9329000,9350000,9370000,9373000,9373000
28,Weighted Average Shares Outstanding Diluted,5660377,6467662,7331081,7826087,9062500,10000000,6875000,9181000,9250000,- -,9303797,9392265,8509000,- -,8495000,8822000,8821000,8921000,9043000,- -,9063000,9120000,9141000,11676000,- -,11322000,11301000,9266000,9286000,9307000,- -,9328000,9369000,9350000,11649000,9427000,9407000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/317540/000095016896000508/0000950168-96-000508-index.html,https://www.sec.gov/Archives/edgar/data/317540/000095016897000681/0000950168-97-000681-index.html,https://www.sec.gov/Archives/edgar/data/317540/000095016898000895/0000950168-98-000895-index.html,undefined,https://www.sec.gov/Archives/edgar/data/317540/000095016899001069/0000950168-99-001069-index.html,https://www.sec.gov/Archives/edgar/data/317540/000095016801000629/0000950168-01-000629-index.html,- -,https://www.sec.gov/Archives/edgar/data/317540/000095010903001827/d10k.htm,https://www.sec.gov/Archives/edgar/data/317540/000119312504039101/d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/317540/000119312505051117/d10k.htm,https://www.sec.gov/Archives/edgar/data/317540/000119312507054274/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/317540/000095014409002180/0000950144-09-002180-index.html,undefined,https://www.sec.gov/Archives/edgar/data/317540/000095012310026007/0000950123-10-026007-index.html,https://www.sec.gov/Archives/edgar/data/317540/000095012311026807/g26462e10vk.htm,https://www.sec.gov/Archives/edgar/data/317540/000119312513107520/0001193125-13-107520-index.html,https://www.sec.gov/Archives/edgar/data/317540/000119312514100068/d642117d10k.htm,https://www.sec.gov/Archives/edgar/data/317540/000119312515091165/d839674d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/317540/000156459016015048/0001564590-16-015048-index.html,https://www.sec.gov/Archives/edgar/data/317540/000156459018003845/0001564590-18-003845-index.html,https://www.sec.gov/Archives/edgar/data/317540/000156459019005000/0001564590-19-005000-index.html,https://www.sec.gov/Archives/edgar/data/317540/000156459020006432/0001564590-20-006432-index.html,https://www.sec.gov/Archives/edgar/data/317540/000031754021000006/0000317540-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/317540/000031754022000009/0000317540-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2900000,3600000,1200000,1700000,3400000,3200000,1000000,1400000,1300000,- -,2400000,2900000,4400000,- -,6700000,8425000,16900000,18200000,45800000,- -,8900000,61823000,9871000,45400000,- -,17800000,45900000,10400000,11800000,9095000,- -,55498000,16902000,13548000,9614000,54793000,142314000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2900000,3600000,1200000,1700000,3400000,3200000,1000000,1400000,1300000,- -,2400000,2900000,4400000,- -,6700000,8425000,16900000,18200000,45800000,- -,8900000,61823000,9871000,45400000,- -,17800000,45900000,10400000,11800000,9095000,- -,55498000,16902000,13548000,9614000,54793000,142314000
34,Net Receivables,44300000,46500000,31500000,29300000,10800000,10600000,22600000,17900000,22400000,- -,28300000,67400000,70700000,- -,75300000,76288000,73200000,109500000,111000000,- -,98700000,104779000,104166000,116300000,- -,113800000,124700000,131900000,138600000,162998000,- -,236620000,529302000,503157000,529634000,490112000,546549000
35,Inventory,22600000,37500000,18100000,17400000,21200000,19300000,32500000,26600000,27500000,- -,28000000,30800000,38700000,- -,41000000,40502000,39900000,38600000,36900000,- -,48900000,67055000,63534000,65500000,- -,59100000,64900000,65900000,62000000,70740000,- -,89464000,214148000,210033000,225926000,252568000,329494000
36,Other Current Assets,4100000,900000,700000,1200000,1500000,2400000,3400000,3300000,7200000,- -,11600000,9500000,12800000,- -,15600000,14026000,13400000,4700000,7000000,- -,7900000,13485000,20758000,21100000,- -,39500000,29200000,33100000,26800000,44168000,- -,53337000,29766000,70680000,65102000,51347000,50591000
37,Total Current Assets,73900000,88500000,51500000,49600000,36900000,35500000,59500000,49200000,58400000,- -,70300000,110600000,126600000,- -,138600000,139241000,143400000,171000000,200700000,- -,164400000,247142000,198329000,248300000,- -,230200000,264700000,241300000,239200000,287001000,- -,434919000,790118000,797418000,830276000,848820000,1068948000
38,PP&E,143000000,156800000,123600000,122200000,140900000,140100000,184200000,170700000,163000000,- -,191800000,190100000,250900000,- -,258300000,429978000,462700000,511500000,489800000,- -,495700000,454315000,430792000,404900000,- -,378200000,369000000,361600000,352000000,401203000,- -,565965000,1061225000,1014252000,1126739000,1226972000,1234776000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65300000,63100000,- -,60800000,- -,112100000,155200000,155500000,- -,155500000,155487000,155487000,155500000,- -,102000000,102000000,102000000,102000000,106220000,- -,117954000,169316000,165903000,165903000,165903000,165903000
40,Intangible Assets,201800000,237200000,221100000,219000000,260800000,279600000,525200000,545400000,339900000,- -,315600000,238100000,231000000,- -,253200000,361354000,234000000,457700000,476300000,- -,473200000,471981000,471536000,473100000,- -,526000000,525500000,524700000,524400000,577820000,- -,663988000,931672000,916865000,890739000,866557000,847743000
41,Intangible Assets,201800000,237200000,221100000,219000000,260800000,279600000,525200000,545400000,339900000,- -,315600000,303400000,294100000,- -,314000000,361354000,346100000,612900000,631800000,- -,628700000,627468000,627023000,628600000,- -,628000000,627500000,626700000,626400000,684040000,- -,781942000,1100988000,1082768000,1056642000,1032460000,1013646000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64500000,63300000,- -,62800000,- -,60200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108400000,111600000,- -,120700000,- -,133700000,156000000,156100000,- -,170400000,- -,- -,139300000,- -,158500000,144000000,141000000,153400000,140000000,- -,146944000,- -,127174000,125130000,- -,- -
44,Other Non-Current Assets,21600000,16800000,11500000,8800000,9900000,12800000,16300000,20600000,87100000,- -,98900000,-74600000,-68500000,- -,-69200000,131524000,-81600000,-97900000,-128500000,- -,-145100000,35542000,35655000,-105300000,- -,-111800000,-97600000,-87100000,-94800000,-79168000,- -,-83205000,120629000,-11684000,-11861000,114198000,128200000
45,Total Non-Current Assets,366400000,410800000,356200000,350000000,411600000,432500000,725700000,736700000,590000000,- -,606300000,591800000,651400000,- -,686600000,922856000,921100000,1182500000,1149200000,- -,1149700000,1117325000,1093470000,1067500000,- -,1052900000,1042900000,1042200000,1037000000,1146075000,- -,1411646000,2282842000,2212510000,2296650000,2373630000,2376622000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,440300000,499300000,407700000,399600000,448500000,468000000,785200000,785900000,648400000,- -,676600000,702400000,778000000,- -,825200000,1062097000,1064500000,1353500000,1349900000,- -,1314100000,1364467000,1291799000,1315800000,- -,1283100000,1307600000,1283500000,1276200000,1433076000,- -,1846565000,3072960000,3009928000,3126926000,3222450000,3445570000
48,Accounts Payable,- -,- -,- -,- -,- -,42100000,62000000,64900000,81200000,- -,69100000,3200000,4100000,- -,5200000,84801000,36300000,48100000,50500000,- -,49200000,65798000,62920000,77700000,- -,64700000,66900000,79500000,69400000,109867000,- -,162002000,197049000,264465000,296175000,217560000,319318000
49,Short-Term Debt,5900000,11500000,1500000,1600000,1700000,1200000,4900000,1200000,700000,- -,100000,- -,- -,- -,- -,13229000,- -,3991000,1415000,- -,9826000,102435000,10002000,179474000,- -,3846000,3866000,25230000,25939000,6446000,- -,7063000,8221000,8617000,24427000,25626000,28108000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2068000,502000,- -,- -,408000,6862000,1910000,3722000,2430000,- -,1721000,6391000,4577000,8017000,6178000,6638000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155964000,156094000,- -,170437000,- -,- -,139338000,- -,158548000,143962000,140965000,153408000,140000000,- -,146944000,2286000,127174000,125130000,- -,- -
52,Other Current Liabilities,61100000,53100000,38700000,33400000,37900000,3500000,5700000,- -,- -,- -,11400000,73500000,102700000,- -,128700000,26919000,161300000,-52155000,-73709000,- -,-90963000,80709000,86375000,-50412000,- -,-65094000,-38028000,-29395000,-39947000,-28893000,- -,10544000,431896000,201481000,176463000,403874000,487430000
53,Total Current Liabilities,67000000,64600000,40200000,35000000,39600000,46800000,72600000,66100000,81900000,- -,80600000,76700000,106800000,- -,133900000,124949000,197600000,155900000,134300000,- -,138500000,248942000,159297000,346100000,- -,162000000,176700000,216300000,208800000,227420000,- -,326553000,639452000,601737000,622195000,647060000,834856000
54,Long-Term Debt,233200000,303400000,213900000,217000000,230000000,237600000,479400000,555100000,434400000,- -,419900000,439500000,493800000,- -,491200000,684020000,621100000,849800000,846900000,- -,779200000,591450000,669063000,489600000,- -,597200000,578500000,467700000,437600000,497363000,- -,668349000,1088018000,1131034000,1047323000,940465000,910495000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117330000,- -,- -,- -,106304000
56,Deferred Tax Liabilities,7600000,13800000,3100000,3600000,3400000,3700000,3800000,109900000,80100000,- -,97300000,- -,- -,- -,- -,148655000,- -,- -,- -,- -,- -,162694000,168540000,- -,- -,- -,- -,140965000,153408000,140000000,- -,146944000,112364000,127174000,125130000,158129000,136432000
57,Other Non-Current Liabilities,7400000,6400000,3700000,7300000,8800000,11800000,16700000,29000000,22400000,- -,39800000,163900000,168200000,- -,184300000,76061000,228700000,315000000,316200000,- -,331900000,221426000,126390000,403800000,- -,407600000,424500000,323235000,284992000,384684000,- -,461663000,656889000,791796000,985326000,963806000,745697000
58,Total Non-Current Liabilities,248200000,323600000,220700000,227900000,242200000,253100000,499900000,694000000,536900000,- -,557000000,603400000,662000000,- -,675500000,908736000,849800000,1164800000,1163100000,- -,1111100000,975570000,963993000,893400000,- -,1004800000,1003000000,931900000,876000000,1022047000,- -,1276956000,1974601000,2050004000,2157779000,2062400000,1898928000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42066000,44226000,- -,79202000,77506000,80215000,74833000,- -,63107000,59261000,69581000,64989000,59050000,- -,55784000,43469000,35248000,139595000,215533000,215160000
61,Total Liabilities,315200000,388200000,260900000,262900000,281800000,299900000,572500000,760100000,618800000,- -,637600000,680100000,768800000,- -,809400000,1033685000,1047400000,1320700000,1297400000,- -,1249600000,1224512000,1123290000,1239500000,- -,1166800000,1179700000,1148200000,1084800000,1249467000,- -,1603509000,2614053000,2651741000,2779974000,2709460000,2733784000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12100000,12100000,- -,12100000,12423000,12400000,12700000,12700000,- -,12800000,12793000,12813000,12800000,- -,12900000,12900000,12900000,12900000,12960000,- -,12981000,13023000,13043000,13064000,13064000,13064000
64,Retained Earnings,71800000,54400000,26700000,17700000,900000,-800000,800000,-113300000,-98500000,- -,-76000000,-59900000,-44600000,- -,-29700000,-21777000,-12300000,6000000,27700000,- -,40500000,68495000,79227000,79000000,- -,108000000,134900000,170400000,188900000,210957000,- -,260672000,388718000,359435000,381161000,544280000,724486000
65,Other Comprehensive Income/Loss,-51200000,-66500000,-76900000,-84900000,-94800000,-100300000,-109900000,-122800000,-134500000,- -,-153600000,-200000,-175800000,- -,-196600000,-274024000,-25600000,-20621000,-23930000,- -,-25803000,-27226000,-12751000,-57873000,- -,-46767000,-63433000,-94526000,-58176000,-89914000,- -,-82407000,-94202000,-77265000,-115002000,-119053000,-100463000
66,Other Total Stockholders Equity,104500000,123200000,197000000,203900000,260600000,269200000,321800000,261900000,262600000,- -,268600000,70300000,217600000,- -,230000000,311790000,42600000,34788000,36002000,- -,36942000,39891000,- -,42382000,- -,42158000,43528000,46485000,47696000,49606000,- -,51810000,59163000,62974000,67729000,74699000,- -
67,Total Stockholders Equity,125100000,111100000,146800000,136700000,166700000,168100000,212700000,25800000,29600000,- -,39000000,22300000,9300000,- -,15800000,28412000,17100000,32867000,52472000,- -,64439000,93953000,120504000,76309000,- -,116291000,127895000,135259000,191320000,183609000,- -,243056000,366702000,358187000,346952000,512990000,711786000
68,Total Liabilities And Stockholders Equity,440300000,499300000,407700000,399600000,448500000,468000000,785200000,785900000,648400000,- -,676600000,702400000,778100000,- -,825200000,1062097000,1064500000,1353567000,1349872000,- -,1314039000,1318465000,1243794000,1315809000,- -,1283091000,1307595000,1283459000,1276120000,1433076000,- -,1846565000,2980755000,3009928000,3126926000,3222450000,3445570000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,-67000,28000,- -,61000,46002000,48005000,-9000,- -,9000,5000,41000,80000,- -,- -,- -,92205000,- -,- -,- -,- -
70,Total Liabilities & Equity,440300000,499300000,407700000,399600000,448500000,468000000,785200000,785900000,648400000,- -,676600000,702400000,778000000,- -,825200000,1062097000,1064500000,1353500000,1349900000,- -,1314100000,1364467000,1291799000,1315800000,- -,1283100000,1307600000,1283500000,1276200000,1433076000,- -,1846565000,3072960000,3009928000,3126926000,3222450000,3445570000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/317540/000095016896000508/0000950168-96-000508-index.html,https://www.sec.gov/Archives/edgar/data/317540/000095016897000681/0000950168-97-000681-index.html,https://www.sec.gov/Archives/edgar/data/317540/000095016898000895/0000950168-98-000895-index.html,undefined,https://www.sec.gov/Archives/edgar/data/317540/000095016899001069/0000950168-99-001069-index.html,https://www.sec.gov/Archives/edgar/data/317540/000095016801000629/0000950168-01-000629-index.html,- -,https://www.sec.gov/Archives/edgar/data/317540/000095010903001827/d10k.htm,https://www.sec.gov/Archives/edgar/data/317540/000119312504039101/d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/317540/000119312505051117/d10k.htm,https://www.sec.gov/Archives/edgar/data/317540/000119312507054274/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/317540/000095014409002180/0000950144-09-002180-index.html,undefined,https://www.sec.gov/Archives/edgar/data/317540/000095012310026007/0000950123-10-026007-index.html,https://www.sec.gov/Archives/edgar/data/317540/000095012311026807/g26462e10vk.htm,https://www.sec.gov/Archives/edgar/data/317540/000119312513107520/0001193125-13-107520-index.html,https://www.sec.gov/Archives/edgar/data/317540/000119312514100068/d642117d10k.htm,https://www.sec.gov/Archives/edgar/data/317540/000119312515091165/d839674d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/317540/000156459016015048/0001564590-16-015048-index.html,https://www.sec.gov/Archives/edgar/data/317540/000156459018003845/0001564590-18-003845-index.html,https://www.sec.gov/Archives/edgar/data/317540/000156459019005000/0001564590-19-005000-index.html,https://www.sec.gov/Archives/edgar/data/317540/000156459020006432/0001564590-20-006432-index.html,https://www.sec.gov/Archives/edgar/data/317540/000031754021000006/0000317540-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/317540/000031754022000009/0000317540-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,9000000,-13000000,- -,-1800000,-2900000,200000,2900000,-114100000,14800000,- -,10500000,16200000,15300000,- -,14900000,6294000,9500000,22800000,30700000,- -,21800000,23243000,19856000,9100000,- -,38100000,36100000,27200000,27700000,31354000,- -,59002000,96535000,-19930000,11375000,172493000,189580000
74,Depreciation and Amortization,12300000,17600000,- -,15500000,27500000,29500000,29700000,40500000,38600000,- -,39000000,40700000,46600000,- -,50100000,79582000,81077000,77753000,78590000,- -,73071000,67884000,68326000,68562000,- -,61368000,62826000,61859000,58671000,61130000,- -,80896000,168841000,187256000,179916000,179017000,180565000
75,Deferred Income Tax,- -,- -,- -,- -,- -,400000,- -,2700000,7300000,- -,8900000,8800000,2600000,- -,8400000,3541000,2226000,14953000,7357000,- -,14244000,-7030000,-4165000,559000,- -,7633000,-4906000,7138000,-10017000,4220000,- -,10408000,-58111000,9366000,3987000,8737000,-27922000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,929000,1171000,- -,- -,2161000,2223000,2623000,2919000,3542000,- -,7300000,7922000,5606000,2045000,- -,- -
77,Change in Working Capital,- -,-12600000,- -,3300000,-17300000,-8600000,-1800000,-3800000,-6600000,- -,4100000,44200000,-14100000,- -,-15100000,17892000,-68492000,69300000,51300000,- -,-40500000,-66400000,40832000,-136832000,- -,166000000,19800000,15700000,5400000,29181000,- -,48785000,14762000,45015000,12400000,-6321000,22870000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1081000,-85000,- -,- -,2451000,-11987000,-4230000,-4414000,-25008000,- -,-67800000,-117931000,-27690000,-9517000,21315000,-46825000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2100000,- -,- -,- -,- -,- -,- -,-8822000,3521000,-1963000,- -,6375000,-7887000,234000,3937000,-5287000,- -,-13849000,2527000,-26415000,-15893000,169000,-77094000
